Orthogroup	APOSJ_ok	MOUSE
OG0000007	APOSJ_55940, APOSJ_55941	MOUSE07031, MOUSE07030
OG0000008	APOSJ_61175	MOUSE25728
OG0000008	APOSJ_63140, APOSJ_63139, APOSJ_65328, APOSJ_41882, APOSJ_18021, APOSJ_18020, APOSJ_07175, APOSJ_32183	MOUSE25499, MOUSE25498, MOUSE25349
OG0000010	APOSJ_03628	MOUSE09529
OG0000010	APOSJ_38780, APOSJ_21761	MOUSE14717
OG0000011	APOSJ_09282	MOUSE08113
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000012	APOSJ_20422	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000013	APOSJ_50056, APOSJ_01943	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627
OG0000014	APOSJ_28331, APOSJ_28332	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686
OG0000014	APOSJ_23867, APOSJ_22503	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976
OG0000015	APOSJ_33839	MOUSE30054, MOUSE30055, MOUSE30056
OG0000015	APOSJ_09441, APOSJ_10165	MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500
OG0000015	APOSJ_53813, APOSJ_50846, APOSJ_50844	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000016	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457	MOUSE48959, MOUSE48960, MOUSE15414
OG0000016	APOSJ_40020	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123
OG0000016	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717	MOUSE13078, MOUSE13077
OG0000016	APOSJ_31207	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	APOSJ_03790	MOUSE44334
OG0000016	APOSJ_11248	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335
OG0000019	APOSJ_49365	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640
OG0000020	APOSJ_03215	MOUSE05499, MOUSE05500
OG0000020	APOSJ_60863, APOSJ_38143, APOSJ_60862	MOUSE07164
OG0000020	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223	MOUSE33588
OG0000020	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910	MOUSE24012
OG0000020	APOSJ_51246, APOSJ_35639	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	APOSJ_08125, APOSJ_51104	MOUSE35162
OG0000020	APOSJ_16758	MOUSE09601, MOUSE09602
OG0000020	APOSJ_64610, APOSJ_31490	MOUSE37001, MOUSE37002
OG0000020	APOSJ_45120	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	APOSJ_47375, APOSJ_47376	MOUSE41024, MOUSE41023
OG0000021	APOSJ_00267, APOSJ_00268, APOSJ_01716	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263
OG0000021	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745	MOUSE44445, MOUSE53773
OG0000021	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000023	APOSJ_12541	MOUSE46773, MOUSE46772
OG0000023	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835
OG0000026	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353	MOUSE12605
OG0000026	APOSJ_19082, APOSJ_19084, APOSJ_19083, APOSJ_14166, APOSJ_53551, APOSJ_63979, APOSJ_46283, APOSJ_28315, APOSJ_01642, APOSJ_47589, APOSJ_31703, APOSJ_43474, APOSJ_20027, APOSJ_00259, APOSJ_43475	MOUSE38308, MOUSE38309
OG0000028	APOSJ_13359, APOSJ_13358	MOUSE44525
OG0000029	APOSJ_26876, APOSJ_26877, APOSJ_64430	MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995
OG0000029	APOSJ_01736, APOSJ_00280, APOSJ_39397, APOSJ_49234, APOSJ_49235, APOSJ_49236, APOSJ_02895, APOSJ_39949	MOUSE26337, MOUSE23727, MOUSE29998, MOUSE16471
OG0000030	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432
OG0000031	APOSJ_02555, APOSJ_52808, APOSJ_02551, APOSJ_02552, APOSJ_02553, APOSJ_02550, APOSJ_02554, APOSJ_02549	MOUSE55186
OG0000031	APOSJ_37355	MOUSE36273, MOUSE08529, MOUSE36272, MOUSE44530
OG0000031	APOSJ_56428	MOUSE26385
OG0000031	APOSJ_58452	MOUSE14840, MOUSE26448, MOUSE08530
OG0000031	APOSJ_20577, APOSJ_26215, APOSJ_20578, APOSJ_62690, APOSJ_62709, APOSJ_00509, APOSJ_07842, APOSJ_07841	MOUSE39309, MOUSE01505
OG0000031	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162	MOUSE13006, MOUSE13005
OG0000031	APOSJ_01762	MOUSE48656, MOUSE48889
OG0000031	APOSJ_03114, APOSJ_03115	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579
OG0000031	APOSJ_44849, APOSJ_44847, APOSJ_44846, APOSJ_44844	MOUSE13008
OG0000032	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569	MOUSE29123
OG0000034	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193	MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	APOSJ_17818, APOSJ_17819	MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011
OG0000034	APOSJ_09404, APOSJ_13545, APOSJ_44168	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	APOSJ_60565, APOSJ_21305	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105
OG0000034	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	APOSJ_63084, APOSJ_59127	MOUSE11491, MOUSE11490
OG0000034	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607	MOUSE20059
OG0000035	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929	MOUSE02570, MOUSE02571
OG0000035	APOSJ_13857	MOUSE51376, MOUSE51375, MOUSE51377
OG0000035	APOSJ_11969, APOSJ_09937	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507
OG0000035	APOSJ_14503	MOUSE27104
OG0000036	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	APOSJ_40313, APOSJ_57892, APOSJ_57894	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439
OG0000036	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668	MOUSE29724, MOUSE29725
OG0000036	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723
OG0000037	APOSJ_63529, APOSJ_64474, APOSJ_63530	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306
OG0000037	APOSJ_40888, APOSJ_40889	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378
OG0000037	APOSJ_41930, APOSJ_41929	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631
OG0000037	APOSJ_19984, APOSJ_19985, APOSJ_59245	MOUSE21441
OG0000038	APOSJ_44498, APOSJ_44500	MOUSE41992, MOUSE41494
OG0000038	APOSJ_30481	MOUSE22591, MOUSE22592
OG0000039	APOSJ_36538, APOSJ_23775, APOSJ_06567	MOUSE24093, MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091, MOUSE24088
OG0000039	APOSJ_23948	MOUSE32704
OG0000040	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000041	APOSJ_07883	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266
OG0000041	APOSJ_00247	MOUSE28829, MOUSE21621, MOUSE06756, MOUSE06702, MOUSE13395, MOUSE28657
OG0000044	APOSJ_20279, APOSJ_20278	MOUSE35862, MOUSE46639, MOUSE09513, MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857, MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857, MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643
OG0000044	APOSJ_57354, APOSJ_57355	MOUSE38798
OG0000045	APOSJ_29368, APOSJ_29369	MOUSE25074
OG0000046	APOSJ_42127, APOSJ_64323, APOSJ_42125	MOUSE48114, MOUSE48113
OG0000048	APOSJ_03221, APOSJ_10764	MOUSE42201, MOUSE42202
OG0000048	APOSJ_60260, APOSJ_60261, APOSJ_61046, APOSJ_60262, APOSJ_34779	MOUSE06701
OG0000048	APOSJ_57709, APOSJ_52242, APOSJ_26999, APOSJ_65398	MOUSE42203
OG0000048	APOSJ_12442	MOUSE49641, MOUSE49640, MOUSE49639
OG0000049	APOSJ_51843	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986
OG0000049	APOSJ_36502	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311
OG0000049	APOSJ_36462	MOUSE40908, MOUSE39155
OG0000051	APOSJ_30249, APOSJ_30251, APOSJ_01654, APOSJ_47098	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064
OG0000054	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352	MOUSE48109
OG0000054	APOSJ_07760, APOSJ_07758, APOSJ_52019, APOSJ_14269	MOUSE48108
OG0000056	APOSJ_39271, APOSJ_39270, APOSJ_48773, APOSJ_45665	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842
OG0000057	APOSJ_56231	MOUSE39640
OG0000057	APOSJ_24024, APOSJ_17502, APOSJ_17503, APOSJ_17501, APOSJ_17500, APOSJ_17499	MOUSE55281, MOUSE55280
OG0000058	APOSJ_27364, APOSJ_40682, APOSJ_27363	MOUSE21857, MOUSE21254
OG0000058	APOSJ_14084	MOUSE16601
OG0000058	APOSJ_01990, APOSJ_45171, APOSJ_56047, APOSJ_62157, APOSJ_01986, APOSJ_12231, APOSJ_01994, APOSJ_62154, APOSJ_01988, APOSJ_62155	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899
OG0000059	APOSJ_34977, APOSJ_41112, APOSJ_15943, APOSJ_15944	MOUSE52262, MOUSE52259, MOUSE52258
OG0000059	APOSJ_00361, APOSJ_32459	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589
OG0000060	APOSJ_62502, APOSJ_14511, APOSJ_62507, APOSJ_14509, APOSJ_53301, APOSJ_53299, APOSJ_62506, APOSJ_08035, APOSJ_62505	MOUSE52080, MOUSE52079
OG0000060	APOSJ_24727, APOSJ_46788	MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902
OG0000061	APOSJ_58339, APOSJ_18222, APOSJ_18226, APOSJ_18220, APOSJ_58336, APOSJ_24082, APOSJ_18227, APOSJ_18225, APOSJ_18223, APOSJ_24083, APOSJ_24098, APOSJ_58337, APOSJ_58338, APOSJ_18224	MOUSE26618, MOUSE38907, MOUSE38906
OG0000061	APOSJ_04549, APOSJ_04550	MOUSE22377, MOUSE22378, MOUSE53042, MOUSE06425, MOUSE42762, MOUSE17361, MOUSE03955, MOUSE03956, MOUSE23297, MOUSE23298, MOUSE53307, MOUSE39884, MOUSE39883, MOUSE39889, MOUSE39886, MOUSE39890, MOUSE39885, MOUSE39887, MOUSE39892, MOUSE39891, MOUSE08504, MOUSE08505
OG0000061	APOSJ_15713, APOSJ_15716, APOSJ_15714, APOSJ_33562, APOSJ_15715, APOSJ_53824, APOSJ_08464, APOSJ_14395	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785
OG0000062	APOSJ_36645, APOSJ_36644, APOSJ_36646, APOSJ_36641, APOSJ_36638, APOSJ_36643, APOSJ_36647, APOSJ_36642, APOSJ_61539, APOSJ_03520, APOSJ_50534, APOSJ_50538, APOSJ_50533, APOSJ_50536, APOSJ_39442	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586
OG0000062	APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182	MOUSE52081
OG0000063	APOSJ_62799, APOSJ_60703	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696
OG0000063	APOSJ_45342, APOSJ_45340, APOSJ_35186, APOSJ_45343, APOSJ_45341, APOSJ_16611	MOUSE10885, MOUSE10881
OG0000063	APOSJ_17401, APOSJ_34559, APOSJ_34558, APOSJ_34560, APOSJ_41274, APOSJ_48780	MOUSE33697
OG0000063	APOSJ_58298, APOSJ_58293, APOSJ_19476	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809
OG0000065	APOSJ_35430, APOSJ_06253	MOUSE25323, MOUSE25321, MOUSE25322, MOUSE50148, MOUSE32171
OG0000066	APOSJ_56697, APOSJ_30328	MOUSE53763
OG0000066	APOSJ_39917, APOSJ_61182, APOSJ_56923	MOUSE13756
OG0000067	APOSJ_18931, APOSJ_56850, APOSJ_56847, APOSJ_06153, APOSJ_13448, APOSJ_19493, APOSJ_58325, APOSJ_58331, APOSJ_58341, APOSJ_48159, APOSJ_48158, APOSJ_48156, APOSJ_19490, APOSJ_19487, APOSJ_13449, APOSJ_13447, APOSJ_13446, APOSJ_13442, APOSJ_13444, APOSJ_13443, APOSJ_13445, APOSJ_07651, APOSJ_07650, APOSJ_07653, APOSJ_07654, APOSJ_13441, APOSJ_11553, APOSJ_07655, APOSJ_07652, APOSJ_12441, APOSJ_12440, APOSJ_22342, APOSJ_56300, APOSJ_56301, APOSJ_56298, APOSJ_56299	MOUSE19580, MOUSE31455
OG0000068	APOSJ_18613	MOUSE02010
OG0000069	APOSJ_40539, APOSJ_40541, APOSJ_40540, APOSJ_60884	MOUSE30824
OG0000069	APOSJ_54585, APOSJ_57084, APOSJ_30273, APOSJ_57079, APOSJ_07076, APOSJ_54570, APOSJ_52419	MOUSE24596
OG0000069	APOSJ_04756	MOUSE24597, MOUSE24598, MOUSE24599
OG0000070	APOSJ_54993	MOUSE00174, MOUSE00175, MOUSE00176, MOUSE00177, MOUSE00178, MOUSE55320, MOUSE54102
OG0000070	APOSJ_32199, APOSJ_32200, APOSJ_19014, APOSJ_41483, APOSJ_41485, APOSJ_41484, APOSJ_45156, APOSJ_39050, APOSJ_15810, APOSJ_02571, APOSJ_07700, APOSJ_07702, APOSJ_07701	MOUSE01400, MOUSE01399
OG0000072	APOSJ_38815, APOSJ_48482	MOUSE30088, MOUSE45691
