Orthogroup	APOSJ_ok	CAPO3
OG0000035	APOSJ_39487, APOSJ_39488, APOSJ_39486, APOSJ_39485, APOSJ_39489, APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929, APOSJ_44451, APOSJ_04112, APOSJ_64100, APOSJ_64034, APOSJ_48933, APOSJ_44915, APOSJ_44916, APOSJ_44917, APOSJ_45491, APOSJ_13857, APOSJ_11969, APOSJ_09937, APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311, APOSJ_12145, APOSJ_12146, APOSJ_14503	CAPO307346, CAPO308354
OG0000039	APOSJ_36538, APOSJ_23775, APOSJ_06567	CAPO306958, CAPO306959
OG0000041	APOSJ_07883, APOSJ_00247	CAPO308025, CAPO306861
OG0000043	APOSJ_56130	CAPO308256
OG0000048	APOSJ_24514, APOSJ_01275, APOSJ_42611, APOSJ_42613, APOSJ_42612, APOSJ_42607, APOSJ_42609, APOSJ_42608, APOSJ_42610	CAPO306877
OG0000048	APOSJ_12442	CAPO304823
OG0000049	APOSJ_51843, APOSJ_36502, APOSJ_34401, APOSJ_00656, APOSJ_35690, APOSJ_21435, APOSJ_26887, APOSJ_00983, APOSJ_14701, APOSJ_26886, APOSJ_26888, APOSJ_25392, APOSJ_11159, APOSJ_25393, APOSJ_26890, APOSJ_14700, APOSJ_00988, APOSJ_05165, APOSJ_05164, APOSJ_55533, APOSJ_62002, APOSJ_23002, APOSJ_42387, APOSJ_50269, APOSJ_50261, APOSJ_42386, APOSJ_09319, APOSJ_59032, APOSJ_55361, APOSJ_34757, APOSJ_60078, APOSJ_57736, APOSJ_57738, APOSJ_60083, APOSJ_60080, APOSJ_60075, APOSJ_57737, APOSJ_60077, APOSJ_60082, APOSJ_36462	CAPO304018
OG0000051	APOSJ_11380, APOSJ_11382, APOSJ_11381, APOSJ_49294, APOSJ_31090, APOSJ_33080, APOSJ_33081, APOSJ_33079, APOSJ_33078, APOSJ_24712, APOSJ_12983, APOSJ_12984, APOSJ_12982, APOSJ_12981, APOSJ_12980, APOSJ_42696, APOSJ_22311, APOSJ_45471, APOSJ_36585, APOSJ_65392, APOSJ_36584, APOSJ_36582, APOSJ_36580, APOSJ_36579, APOSJ_28591, APOSJ_28590, APOSJ_19528, APOSJ_48652, APOSJ_48243, APOSJ_48242, APOSJ_48241, APOSJ_48240, APOSJ_13578, APOSJ_61106, APOSJ_03321, APOSJ_30249, APOSJ_30251, APOSJ_01654, APOSJ_47098	CAPO307809, CAPO301249
OG0000053	APOSJ_62689	CAPO302193
OG0000054	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352	CAPO302015
OG0000056	APOSJ_39271, APOSJ_39270, APOSJ_48773, APOSJ_45665, APOSJ_63771, APOSJ_63767, APOSJ_63270, APOSJ_63276, APOSJ_18319, APOSJ_18312, APOSJ_46008, APOSJ_20439, APOSJ_31509	CAPO305974, CAPO306012, CAPO306941
OG0000058	APOSJ_27364, APOSJ_40682, APOSJ_27363	CAPO305595
OG0000060	APOSJ_62502, APOSJ_14511, APOSJ_62507, APOSJ_14509, APOSJ_53301, APOSJ_53299, APOSJ_62506, APOSJ_08035, APOSJ_62505, APOSJ_41349, APOSJ_24347, APOSJ_24346, APOSJ_24345, APOSJ_24343, APOSJ_24727, APOSJ_46788	CAPO305373
OG0000062	APOSJ_36645, APOSJ_36644, APOSJ_36646, APOSJ_36641, APOSJ_36638, APOSJ_36643, APOSJ_36647, APOSJ_36642, APOSJ_61539, APOSJ_03520, APOSJ_50534, APOSJ_50538, APOSJ_50533, APOSJ_50536, APOSJ_39442, APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182, APOSJ_37626, APOSJ_37627, APOSJ_37625, APOSJ_10140, APOSJ_57083, APOSJ_07799	CAPO300910
OG0000063	APOSJ_62799, APOSJ_60703, APOSJ_45342, APOSJ_45340, APOSJ_35186, APOSJ_45343, APOSJ_45341, APOSJ_16611, APOSJ_54428, APOSJ_43445, APOSJ_43446, APOSJ_32981, APOSJ_59523, APOSJ_17401, APOSJ_34559, APOSJ_34558, APOSJ_34560, APOSJ_41274, APOSJ_48780, APOSJ_15420, APOSJ_15419, APOSJ_15421, APOSJ_15422, APOSJ_65066, APOSJ_55009, APOSJ_39001, APOSJ_55011, APOSJ_24896, APOSJ_58298, APOSJ_58293, APOSJ_19476	CAPO300270
OG0000066	APOSJ_38125, APOSJ_33408, APOSJ_33407, APOSJ_11432, APOSJ_11417, APOSJ_42410, APOSJ_42409, APOSJ_56697, APOSJ_30328, APOSJ_39917, APOSJ_61182, APOSJ_56923, APOSJ_05972, APOSJ_05971, APOSJ_08361	CAPO308057
OG0000069	APOSJ_40539, APOSJ_40541, APOSJ_40540	CAPO302182
OG0000069	APOSJ_54585, APOSJ_57084, APOSJ_30273, APOSJ_57079, APOSJ_07076, APOSJ_54570, APOSJ_52419	CAPO301523, CAPO305173
OG0000082	APOSJ_25535	CAPO304738
OG0000082	APOSJ_31175, APOSJ_61283, APOSJ_41067, APOSJ_61284, APOSJ_61286, APOSJ_61287	CAPO306626
OG0000082	APOSJ_21613, APOSJ_16506, APOSJ_10644, APOSJ_56248, APOSJ_56249, APOSJ_37517, APOSJ_37516, APOSJ_02572, APOSJ_34950, APOSJ_35579, APOSJ_10643, APOSJ_37511, APOSJ_37512, APOSJ_13539, APOSJ_10647, APOSJ_13536, APOSJ_37518, APOSJ_37514, APOSJ_35568, APOSJ_25153, APOSJ_13541, APOSJ_10646, APOSJ_10645, APOSJ_10640	CAPO300843
OG0000082	APOSJ_61585, APOSJ_61586, APOSJ_61587, APOSJ_41845, APOSJ_26454	CAPO306232
OG0000085	APOSJ_64863	CAPO303061
OG0000085	APOSJ_41027, APOSJ_41023, APOSJ_41020, APOSJ_41026, APOSJ_41024, APOSJ_41021, APOSJ_41025, APOSJ_41022, APOSJ_25761, APOSJ_04663, APOSJ_04662, APOSJ_64175, APOSJ_09405	CAPO303047
OG0000089	APOSJ_22069, APOSJ_63957, APOSJ_13902, APOSJ_13901, APOSJ_22060, APOSJ_46987, APOSJ_23425, APOSJ_26460, APOSJ_26461, APOSJ_35730, APOSJ_26462, APOSJ_29945, APOSJ_29202, APOSJ_36819, APOSJ_36818, APOSJ_32496, APOSJ_32445, APOSJ_52135, APOSJ_15609, APOSJ_45071, APOSJ_28254, APOSJ_31843, APOSJ_13904, APOSJ_11659, APOSJ_42252, APOSJ_01323, APOSJ_40758, APOSJ_40759	CAPO300386, CAPO300810, CAPO302098
OG0000091	APOSJ_50729, APOSJ_18380, APOSJ_07717, APOSJ_07719, APOSJ_34404, APOSJ_07714, APOSJ_07715, APOSJ_07718, APOSJ_44431, APOSJ_44430, APOSJ_03986, APOSJ_21276, APOSJ_03988, APOSJ_36560, APOSJ_36558, APOSJ_03990, APOSJ_36559, APOSJ_36556, APOSJ_03985, APOSJ_28449, APOSJ_36554, APOSJ_21277, APOSJ_27384, APOSJ_03984, APOSJ_55706, APOSJ_55704, APOSJ_57058, APOSJ_07048, APOSJ_32644, APOSJ_47851, APOSJ_47852, APOSJ_59618, APOSJ_41218, APOSJ_41215, APOSJ_41219, APOSJ_09663, APOSJ_44248	CAPO301134
OG0000095	APOSJ_39248, APOSJ_37770, APOSJ_23399, APOSJ_62237, APOSJ_03627, APOSJ_65068, APOSJ_08274, APOSJ_08273, APOSJ_08272, APOSJ_43782, APOSJ_43781, APOSJ_45895	CAPO301288, CAPO306046
OG0000096	APOSJ_25046, APOSJ_62713, APOSJ_62712, APOSJ_62714, APOSJ_62715, APOSJ_62711	CAPO301431
OG0000096	APOSJ_32190, APOSJ_32193	CAPO307955
OG0000096	APOSJ_37126	CAPO307522
OG0000096	APOSJ_52836	CAPO300294
OG0000096	APOSJ_32708, APOSJ_43628, APOSJ_43632, APOSJ_43630, APOSJ_43631	CAPO307017
OG0000101	APOSJ_12255, APOSJ_12254, APOSJ_42943, APOSJ_27406, APOSJ_27229, APOSJ_27226, APOSJ_27227, APOSJ_27230, APOSJ_27228, APOSJ_33916, APOSJ_33914, APOSJ_33915, APOSJ_33917	CAPO306858
OG0000103	APOSJ_43912, APOSJ_39175, APOSJ_52145, APOSJ_20990, APOSJ_39172, APOSJ_52143, APOSJ_52149, APOSJ_54042, APOSJ_56932, APOSJ_20989, APOSJ_20986, APOSJ_55632, APOSJ_39176, APOSJ_20985, APOSJ_39174, APOSJ_39173, APOSJ_20988, APOSJ_54037, APOSJ_54009, APOSJ_52142, APOSJ_55627, APOSJ_20987, APOSJ_52148	CAPO302453
OG0000106	APOSJ_28496, APOSJ_28495, APOSJ_28494, APOSJ_37502, APOSJ_63823, APOSJ_32714, APOSJ_07800, APOSJ_32795, APOSJ_57641, APOSJ_20665, APOSJ_20666, APOSJ_00824, APOSJ_36967	CAPO300017
OG0000110	APOSJ_08356, APOSJ_29062, APOSJ_29064, APOSJ_29063, APOSJ_55382, APOSJ_29061, APOSJ_53332, APOSJ_06994, APOSJ_24032, APOSJ_24036, APOSJ_22153, APOSJ_06996, APOSJ_24035, APOSJ_24640, APOSJ_24037, APOSJ_22166, APOSJ_06995, APOSJ_05587, APOSJ_27170, APOSJ_05585, APOSJ_25338, APOSJ_55799, APOSJ_62572, APOSJ_62556	CAPO300387
OG0000116	APOSJ_13923, APOSJ_18880, APOSJ_18879	CAPO305622
OG0000119	APOSJ_63143, APOSJ_31038, APOSJ_31040, APOSJ_31039, APOSJ_61657, APOSJ_37229, APOSJ_32882, APOSJ_37224, APOSJ_00637, APOSJ_00639, APOSJ_00638, APOSJ_00642, APOSJ_20604, APOSJ_20605, APOSJ_20606, APOSJ_31497, APOSJ_32889, APOSJ_37225, APOSJ_37226, APOSJ_37227, APOSJ_37228, APOSJ_49615, APOSJ_64187, APOSJ_64212, APOSJ_08202, APOSJ_08203, APOSJ_18195, APOSJ_18197, APOSJ_32503, APOSJ_32504, APOSJ_32505, APOSJ_06328, APOSJ_32502, APOSJ_08540, APOSJ_16256, APOSJ_54335, APOSJ_54337, APOSJ_54333, APOSJ_25080, APOSJ_58939, APOSJ_58936, APOSJ_59438, APOSJ_58938, APOSJ_58940, APOSJ_27524	CAPO304642
OG0000122	APOSJ_30607, APOSJ_30504, APOSJ_02725, APOSJ_30611, APOSJ_54367, APOSJ_60850, APOSJ_30506, APOSJ_50219, APOSJ_38086, APOSJ_60844, APOSJ_30501, APOSJ_21306, APOSJ_47766, APOSJ_23688, APOSJ_60845, APOSJ_26180, APOSJ_30499, APOSJ_54363, APOSJ_54362, APOSJ_30502, APOSJ_30609, APOSJ_54361, APOSJ_46966, APOSJ_46967, APOSJ_58242, APOSJ_58243, APOSJ_58241, APOSJ_58240	CAPO307824
OG0000124	APOSJ_61620	CAPO304324
OG0000124	APOSJ_08149	CAPO302553
OG0000126	APOSJ_48954	CAPO302484
OG0000126	APOSJ_23811, APOSJ_23810, APOSJ_23809, APOSJ_23812, APOSJ_23813, APOSJ_47026, APOSJ_08699, APOSJ_08702, APOSJ_55412, APOSJ_08700, APOSJ_08701	CAPO300572
OG0000128	APOSJ_39440, APOSJ_39441, APOSJ_32509, APOSJ_54023, APOSJ_42437, APOSJ_15682, APOSJ_15679, APOSJ_15681, APOSJ_15680, APOSJ_15678, APOSJ_13342, APOSJ_13343, APOSJ_36577, APOSJ_36578, APOSJ_40114, APOSJ_11627, APOSJ_23210, APOSJ_14842, APOSJ_14840, APOSJ_27939, APOSJ_14839, APOSJ_14845, APOSJ_14843, APOSJ_14844, APOSJ_14841, APOSJ_18549, APOSJ_64947, APOSJ_10048	CAPO306991, CAPO304956
OG0000129	APOSJ_57859, APOSJ_13376, APOSJ_14670	CAPO303361
OG0000137	APOSJ_42497, APOSJ_00679, APOSJ_16815, APOSJ_26755, APOSJ_37291, APOSJ_26754, APOSJ_27618, APOSJ_64294, APOSJ_64296, APOSJ_64444, APOSJ_64297, APOSJ_47355, APOSJ_57809, APOSJ_57807, APOSJ_34855, APOSJ_34857, APOSJ_34856, APOSJ_34858	CAPO305369
OG0000142	APOSJ_04660, APOSJ_22683, APOSJ_00412, APOSJ_44595, APOSJ_00413, APOSJ_53720, APOSJ_32104, APOSJ_07082, APOSJ_32108, APOSJ_32109, APOSJ_34618, APOSJ_07086, APOSJ_32106, APOSJ_07087, APOSJ_04135, APOSJ_07085, APOSJ_07084, APOSJ_32105	CAPO302031, CAPO302030
OG0000147	APOSJ_41231	CAPO308132
OG0000147	APOSJ_36866, APOSJ_10199	CAPO304230
OG0000149	APOSJ_64440, APOSJ_64438, APOSJ_08762, APOSJ_64435, APOSJ_64437, APOSJ_64439, APOSJ_40409, APOSJ_52748, APOSJ_34099, APOSJ_34098, APOSJ_38902, APOSJ_14335, APOSJ_01741	CAPO305206, CAPO306214
OG0000157	APOSJ_40938, APOSJ_40935	CAPO305956
OG0000157	APOSJ_18098, APOSJ_18099, APOSJ_49886	CAPO302981
OG0000157	APOSJ_61734, APOSJ_42770, APOSJ_23026, APOSJ_23027	CAPO305824
OG0000160	APOSJ_08872, APOSJ_08871, APOSJ_08870, APOSJ_56570, APOSJ_08869	CAPO301680
OG0000167	APOSJ_19007, APOSJ_19008, APOSJ_02229, APOSJ_35442, APOSJ_35434, APOSJ_05470, APOSJ_35437, APOSJ_35435, APOSJ_35444, APOSJ_48527, APOSJ_35441, APOSJ_19006, APOSJ_51524, APOSJ_64291, APOSJ_05282, APOSJ_05283, APOSJ_05281, APOSJ_05280, APOSJ_05279, APOSJ_05276, APOSJ_05278, APOSJ_05275, APOSJ_05277	CAPO301364, CAPO303476
OG0000171	APOSJ_28804, APOSJ_06522, APOSJ_06520, APOSJ_06521, APOSJ_06519, APOSJ_08456, APOSJ_08457, APOSJ_03119, APOSJ_03337, APOSJ_03336, APOSJ_03339, APOSJ_03341, APOSJ_20721, APOSJ_03335, APOSJ_03340, APOSJ_03338, APOSJ_20722	CAPO304813
OG0000174	APOSJ_32211, APOSJ_14533, APOSJ_61544, APOSJ_15407, APOSJ_31366, APOSJ_15406, APOSJ_39236, APOSJ_39238, APOSJ_39237, APOSJ_39232, APOSJ_64500, APOSJ_39234, APOSJ_20180, APOSJ_20175, APOSJ_20176, APOSJ_20177, APOSJ_39233, APOSJ_39235, APOSJ_20174, APOSJ_20178, APOSJ_45393, APOSJ_20179, APOSJ_41733, APOSJ_22905, APOSJ_22906, APOSJ_59613, APOSJ_22910, APOSJ_22908, APOSJ_13747, APOSJ_15089	CAPO304629
OG0000175	APOSJ_54026, APOSJ_47826, APOSJ_31805, APOSJ_31806, APOSJ_21511, APOSJ_21482, APOSJ_43588, APOSJ_43589, APOSJ_43590	CAPO303513
OG0000179	APOSJ_40922	CAPO303342
OG0000181	APOSJ_43145	CAPO302034
OG0000181	APOSJ_01572, APOSJ_22144, APOSJ_22141	CAPO307692
OG0000181	APOSJ_10650	CAPO300374
OG0000183	APOSJ_27776, APOSJ_16057, APOSJ_34003, APOSJ_58244, APOSJ_57678, APOSJ_16059, APOSJ_27778, APOSJ_39006, APOSJ_39008, APOSJ_39009, APOSJ_16051, APOSJ_58245, APOSJ_16052, APOSJ_22136, APOSJ_27777, APOSJ_24558, APOSJ_64295, APOSJ_64293, APOSJ_57681, APOSJ_39007, APOSJ_57685, APOSJ_64290	CAPO305638
OG0000183	APOSJ_57145, APOSJ_57147, APOSJ_46793, APOSJ_46794	CAPO305829
OG0000184	APOSJ_21882, APOSJ_11444	CAPO307711
OG0000184	APOSJ_42615, APOSJ_10213, APOSJ_28033, APOSJ_24926, APOSJ_46781, APOSJ_20197	CAPO304928
OG0000192	APOSJ_47101, APOSJ_36781	CAPO300533
OG0000192	APOSJ_60736, APOSJ_60738, APOSJ_37822	CAPO301980
OG0000193	APOSJ_31895, APOSJ_31896, APOSJ_13797, APOSJ_13798, APOSJ_19384, APOSJ_36648, APOSJ_08409, APOSJ_08406, APOSJ_08408, APOSJ_08407, APOSJ_08404, APOSJ_08405, APOSJ_59761	CAPO302628
OG0000194	APOSJ_02603, APOSJ_60106, APOSJ_48624, APOSJ_48623, APOSJ_42492, APOSJ_36544, APOSJ_42493, APOSJ_28376, APOSJ_15395, APOSJ_26062, APOSJ_26057, APOSJ_26060, APOSJ_26063, APOSJ_26059, APOSJ_26061, APOSJ_33247, APOSJ_26058, APOSJ_24355, APOSJ_24356, APOSJ_24357, APOSJ_45266, APOSJ_62558, APOSJ_47527, APOSJ_41771, APOSJ_41769, APOSJ_41767, APOSJ_41768, APOSJ_31690, APOSJ_54027, APOSJ_54025, APOSJ_63227, APOSJ_63228	CAPO305195
OG0000195	APOSJ_44360, APOSJ_28008, APOSJ_60208, APOSJ_64163, APOSJ_57397, APOSJ_54331, APOSJ_33123, APOSJ_33131, APOSJ_28788, APOSJ_28784, APOSJ_33125, APOSJ_33124, APOSJ_28790, APOSJ_28785, APOSJ_33127, APOSJ_28786, APOSJ_33132, APOSJ_26936, APOSJ_33126, APOSJ_28787, APOSJ_64735, APOSJ_28789, APOSJ_05187, APOSJ_05186, APOSJ_41993, APOSJ_53408	CAPO305454
OG0000201	APOSJ_02001, APOSJ_40885, APOSJ_20712, APOSJ_61379, APOSJ_20713, APOSJ_61381, APOSJ_20709, APOSJ_61383, APOSJ_20714, APOSJ_01998, APOSJ_20711, APOSJ_02000, APOSJ_61378, APOSJ_61382, APOSJ_61380, APOSJ_40883, APOSJ_01999, APOSJ_20710	CAPO307729
OG0000203	APOSJ_02100, APOSJ_24405, APOSJ_03246, APOSJ_41765	CAPO302139
OG0000204	APOSJ_35665, APOSJ_00435, APOSJ_35664, APOSJ_15152, APOSJ_21822, APOSJ_53980, APOSJ_53978, APOSJ_21820, APOSJ_53977, APOSJ_20115, APOSJ_34935, APOSJ_05578, APOSJ_05580, APOSJ_05581, APOSJ_20123, APOSJ_34934, APOSJ_34940, APOSJ_21817	CAPO303090
OG0000207	APOSJ_25005, APOSJ_04355, APOSJ_13996, APOSJ_13997, APOSJ_32397, APOSJ_44648	CAPO304105, CAPO304106, CAPO304714
OG0000211	APOSJ_58985, APOSJ_58986, APOSJ_60833, APOSJ_60832, APOSJ_53175, APOSJ_25074, APOSJ_25075, APOSJ_12610, APOSJ_12609	CAPO306209
OG0000218	APOSJ_63275, APOSJ_10307, APOSJ_64510, APOSJ_17786, APOSJ_17783, APOSJ_17784, APOSJ_27280, APOSJ_60450, APOSJ_60454, APOSJ_60451, APOSJ_60455, APOSJ_06815, APOSJ_60453, APOSJ_60452, APOSJ_57292, APOSJ_19119, APOSJ_57293, APOSJ_57291, APOSJ_11416	CAPO300559
OG0000220	APOSJ_40559, APOSJ_40562, APOSJ_40561, APOSJ_17296, APOSJ_04462, APOSJ_04461, APOSJ_27831, APOSJ_04463, APOSJ_39557, APOSJ_60508, APOSJ_58789, APOSJ_58784, APOSJ_58785, APOSJ_12606, APOSJ_58787, APOSJ_58788, APOSJ_58786, APOSJ_40260, APOSJ_58783, APOSJ_41340, APOSJ_41339, APOSJ_15868	CAPO306780, CAPO307695
OG0000221	APOSJ_13257, APOSJ_13258, APOSJ_13256, APOSJ_13255, APOSJ_04867, APOSJ_04868, APOSJ_04866, APOSJ_04870, APOSJ_30289, APOSJ_04869, APOSJ_41494	CAPO300247
OG0000222	APOSJ_34375, APOSJ_16290, APOSJ_01545, APOSJ_34379, APOSJ_34378, APOSJ_34377, APOSJ_34374, APOSJ_34373, APOSJ_34376, APOSJ_39633, APOSJ_39634, APOSJ_03427, APOSJ_03424, APOSJ_03422, APOSJ_42673, APOSJ_21374, APOSJ_03425, APOSJ_42675, APOSJ_42674, APOSJ_42671, APOSJ_03426, APOSJ_01543, APOSJ_42672, APOSJ_35367, APOSJ_21385, APOSJ_03423, APOSJ_11890, APOSJ_65101	CAPO304211
OG0000223	APOSJ_15756, APOSJ_15757, APOSJ_33754, APOSJ_33752, APOSJ_15755, APOSJ_33747, APOSJ_49659, APOSJ_54887, APOSJ_05544, APOSJ_47480, APOSJ_24060, APOSJ_47481, APOSJ_17948, APOSJ_17945, APOSJ_49762	CAPO308126
OG0000225	APOSJ_56112, APOSJ_56106, APOSJ_56110, APOSJ_56105, APOSJ_08401, APOSJ_32914, APOSJ_23325, APOSJ_22097, APOSJ_37698	CAPO305347
OG0000226	APOSJ_09447	CAPO306934
OG0000234	APOSJ_61085, APOSJ_61086, APOSJ_22301, APOSJ_22304, APOSJ_22307, APOSJ_22306, APOSJ_09890, APOSJ_22305, APOSJ_22308, APOSJ_22303, APOSJ_52039, APOSJ_57595, APOSJ_24003, APOSJ_55223, APOSJ_57592, APOSJ_25437, APOSJ_52041, APOSJ_61773, APOSJ_52038, APOSJ_52042, APOSJ_52037, APOSJ_57593, APOSJ_52040	CAPO301359
