Orthogroup	APOSJ_ok	BRALA
OG0000026	APOSJ_35516, APOSJ_06323, APOSJ_55016, APOSJ_59562, APOSJ_59558, APOSJ_59559, APOSJ_38381	BRALA17325, BRALA20027, BRALA16217, BRALA10481, BRALA13063, BRALA15952, BRALA05914, BRALA05915, BRALA10202, BRALA12591, BRALA01447, BRALA05916, BRALA05917, BRALA23569, BRALA17359
OG0000026	APOSJ_00259, APOSJ_43475	BRALA01767
OG0000027	APOSJ_61281, APOSJ_17811, APOSJ_17810, APOSJ_62251, APOSJ_62252, APOSJ_62253, APOSJ_62250, APOSJ_61176, APOSJ_57015, APOSJ_57014	BRALA16500, BRALA16502
OG0000028	APOSJ_13359, APOSJ_13358	BRALA08523
OG0000028	APOSJ_31043, APOSJ_25716, APOSJ_25715, APOSJ_57817	BRALA00011, BRALA12956, BRALA12957
OG0000029	APOSJ_13377	BRALA01099
OG0000029	APOSJ_45558	BRALA00240
OG0000030	APOSJ_26580	BRALA13443
OG0000030	APOSJ_46611, APOSJ_46610	BRALA32573
OG0000030	APOSJ_42302, APOSJ_42296, APOSJ_42301, APOSJ_42295, APOSJ_02556, APOSJ_42297, APOSJ_42298	BRALA13032
OG0000030	APOSJ_24666, APOSJ_08058	BRALA10449
OG0000030	APOSJ_13201	BRALA32176
OG0000030	APOSJ_45466	BRALA06142
OG0000031	APOSJ_37355	BRALA28310, BRALA01948, BRALA09437, BRALA32909, BRALA01946, BRALA12064, BRALA09438, BRALA01951, BRALA14885, BRALA09441, BRALA09439, BRALA32910, BRALA01947, BRALA01952, BRALA14882, BRALA23662, BRALA14883, BRALA19306, BRALA05713, BRALA17265, BRALA15256, BRALA15254, BRALA01977, BRALA22606
OG0000031	APOSJ_56428	BRALA04543
OG0000031	APOSJ_58452	BRALA04547
OG0000031	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293	BRALA13458
OG0000031	APOSJ_07842, APOSJ_07841	BRALA16640
OG0000031	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162	BRALA28311
OG0000031	APOSJ_44849, APOSJ_44847, APOSJ_44846, APOSJ_44844	BRALA15572
OG0000032	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569	BRALA11179, BRALA11177, BRALA09647
OG0000033	APOSJ_27205, APOSJ_27204	BRALA28522, BRALA30287, BRALA30197, BRALA08162, BRALA08034, BRALA23164, BRALA33510, BRALA33145
OG0000034	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193, APOSJ_42839, APOSJ_42842, APOSJ_42843	BRALA27570
OG0000034	APOSJ_17818, APOSJ_17819	BRALA08751
OG0000034	APOSJ_09404, APOSJ_13545, APOSJ_44168	BRALA08901, BRALA03079
OG0000034	APOSJ_60565, APOSJ_21305	BRALA17580
OG0000034	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928	BRALA08885
OG0000034	APOSJ_63084, APOSJ_59127	BRALA06594
OG0000034	APOSJ_09729	BRALA18444
OG0000034	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607	BRALA02412
OG0000035	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929	BRALA21367, BRALA35402
OG0000035	APOSJ_64100, APOSJ_64034, APOSJ_48933, APOSJ_44915, APOSJ_44916, APOSJ_44917, APOSJ_45491	BRALA13925
OG0000035	APOSJ_11969, APOSJ_09937	BRALA13921
OG0000035	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311	BRALA13915, BRALA22877
OG0000035	APOSJ_14503	BRALA13917
OG0000036	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280	BRALA22400, BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181
OG0000036	APOSJ_44483, APOSJ_44484	BRALA06754
OG0000036	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668	BRALA31321, BRALA06755, BRALA06753, BRALA18345
OG0000036	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054	BRALA22402, BRALA22404
OG0000037	APOSJ_63529, APOSJ_64474, APOSJ_63530	BRALA22282
OG0000037	APOSJ_40888, APOSJ_40889	BRALA22275
OG0000037	APOSJ_41930, APOSJ_41929	BRALA16015
OG0000037	APOSJ_19984, APOSJ_19985, APOSJ_59245	BRALA16388
OG0000038	APOSJ_06808, APOSJ_11405	BRALA32346
OG0000038	APOSJ_58733	BRALA13194
OG0000038	APOSJ_26569	BRALA18077
OG0000038	APOSJ_44501, APOSJ_44499, APOSJ_44497	BRALA04779
OG0000038	APOSJ_30481	BRALA27417
OG0000039	APOSJ_23948	BRALA01170, BRALA17648, BRALA19632, BRALA19635, BRALA01164
OG0000039	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535	BRALA19542
OG0000040	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679	BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606
OG0000041	APOSJ_07883	BRALA07763, BRALA29216, BRALA11960, BRALA35158
OG0000041	APOSJ_00247	BRALA27215
OG0000043	APOSJ_56130	BRALA06468, BRALA20694
OG0000044	APOSJ_20279, APOSJ_20278	BRALA16330, BRALA33207
OG0000044	APOSJ_22626, APOSJ_55615, APOSJ_55614, APOSJ_28339, APOSJ_28351, APOSJ_28336, APOSJ_22636, APOSJ_03631	BRALA28596
OG0000044	APOSJ_55841	BRALA34838
OG0000044	APOSJ_25176, APOSJ_21325	BRALA12952
OG0000045	APOSJ_29368, APOSJ_29369	BRALA29043, BRALA32667
OG0000045	APOSJ_45950, APOSJ_27349, APOSJ_04409, APOSJ_04407, APOSJ_04408	BRALA00161, BRALA00165, BRALA00163, BRALA00162
OG0000045	APOSJ_04410	BRALA00175, BRALA00172, BRALA00173
OG0000045	APOSJ_44902, APOSJ_44899, APOSJ_44901, APOSJ_54328, APOSJ_02525, APOSJ_27472	BRALA00168, BRALA00164
OG0000045	APOSJ_15992, APOSJ_12916, APOSJ_12920, APOSJ_12919, APOSJ_12914, APOSJ_12918, APOSJ_12915, APOSJ_12917	BRALA01913, BRALA01918, BRALA01920
OG0000046	APOSJ_42127, APOSJ_64323, APOSJ_42125	BRALA28946
OG0000046	APOSJ_02618, APOSJ_32175, APOSJ_31531	BRALA05184, BRALA05187, BRALA01521, BRALA01523, BRALA00548, BRALA15946
OG0000047	APOSJ_33981, APOSJ_33983, APOSJ_33984, APOSJ_33982	BRALA08165
OG0000047	APOSJ_25287	BRALA26369, BRALA32034, BRALA34020, BRALA28823, BRALA03575, BRALA05399, BRALA24725, BRALA07480, BRALA17974, BRALA28047, BRALA13926
OG0000047	APOSJ_39640, APOSJ_39638	BRALA33326, BRALA22587
OG0000047	APOSJ_07377	BRALA19798, BRALA16113, BRALA21906, BRALA29547, BRALA27015, BRALA09602, BRALA19327, BRALA19328, BRALA08009, BRALA30249, BRALA22247, BRALA27495, BRALA28592, BRALA15305, BRALA21551, BRALA30124, BRALA25680, BRALA18589, BRALA30988, BRALA33052
