Orthogroup	APOSJ_ok	HUMAN
OG0000003	APOSJ_16637, APOSJ_17591	HUMAN18698
OG0000003	APOSJ_57640	HUMAN10010
OG0000004	APOSJ_23993	HUMAN17550
OG0000004	APOSJ_50666, APOSJ_27471	HUMAN27575
OG0000005	APOSJ_43564, APOSJ_43561	HUMAN01465
OG0000006	APOSJ_12203, APOSJ_12202, APOSJ_12204	HUMAN20053
OG0000006	APOSJ_14510	HUMAN00944
OG0000006	APOSJ_43757	HUMAN22351, HUMAN05133
OG0000006	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178	HUMAN02118, HUMAN29294
OG0000006	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917	HUMAN01388, HUMAN06884, HUMAN04380
OG0000006	APOSJ_52128	HUMAN25905
OG0000006	APOSJ_25002	HUMAN23524
OG0000006	APOSJ_24425, APOSJ_24424	HUMAN03111
OG0000006	APOSJ_38154	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	APOSJ_46492	HUMAN08442, HUMAN17032, HUMAN15898
OG0000007	APOSJ_59584	HUMAN24418, HUMAN11538
OG0000007	APOSJ_54414, APOSJ_55946, APOSJ_54415	HUMAN09570, HUMAN28803
OG0000007	APOSJ_59909	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	APOSJ_46494	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971
OG0000007	APOSJ_04151	HUMAN24202, HUMAN17278, HUMAN03780
OG0000007	APOSJ_32909	HUMAN11539
OG0000007	APOSJ_33751	HUMAN24417, HUMAN11533
OG0000007	APOSJ_45510, APOSJ_50337	HUMAN12258, HUMAN07103, HUMAN07102
OG0000007	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	APOSJ_06582, APOSJ_20594	HUMAN25936, HUMAN13634
OG0000007	APOSJ_16847, APOSJ_57982, APOSJ_16846	HUMAN13395
OG0000007	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878	HUMAN00818, HUMAN00819, HUMAN05935
OG0000007	APOSJ_55940, APOSJ_55941	HUMAN08248
OG0000008	APOSJ_61175	HUMAN29311, HUMAN29312
OG0000008	APOSJ_63140, APOSJ_63139, APOSJ_65328, APOSJ_41882, APOSJ_18021, APOSJ_18020, APOSJ_07175, APOSJ_32183	HUMAN29384, HUMAN29385, HUMAN29383, HUMAN00569
OG0000010	APOSJ_38780, APOSJ_21761	HUMAN06405, HUMAN06406
OG0000011	APOSJ_09282	HUMAN08916
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160	HUMAN21758, HUMAN26719, HUMAN26720
OG0000012	APOSJ_20422	HUMAN11190
OG0000013	APOSJ_50056, APOSJ_01943	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000014	APOSJ_28331, APOSJ_28332	HUMAN25476, HUMAN30053
OG0000014	APOSJ_23867, APOSJ_22503	HUMAN13227
OG0000015	APOSJ_33839	HUMAN22985
OG0000015	APOSJ_06394	HUMAN25366
OG0000015	APOSJ_09441, APOSJ_10165	HUMAN24177, HUMAN22373, HUMAN09170
OG0000015	APOSJ_53813, APOSJ_50846, APOSJ_50844	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178
OG0000016	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457	HUMAN11007, HUMAN11006, HUMAN21858
OG0000016	APOSJ_40020	HUMAN10581, HUMAN10583, HUMAN12987
OG0000016	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717	HUMAN07767
OG0000016	APOSJ_31207	HUMAN25103
OG0000016	APOSJ_03790	HUMAN25104
OG0000016	APOSJ_11248	HUMAN06120, HUMAN04223
OG0000019	APOSJ_25021	HUMAN06384
OG0000019	APOSJ_49365	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277
OG0000020	APOSJ_03215	HUMAN12659
OG0000020	APOSJ_60863, APOSJ_38143, APOSJ_60862	HUMAN08344
OG0000020	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223	HUMAN00926
OG0000020	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910	HUMAN02145
OG0000020	APOSJ_51246, APOSJ_35639	HUMAN30100, HUMAN07717, HUMAN22328
OG0000020	APOSJ_08125, APOSJ_51104	HUMAN00010
OG0000020	APOSJ_16758	HUMAN23847
OG0000020	APOSJ_64610, APOSJ_31490	HUMAN22639
OG0000020	APOSJ_45120	HUMAN20816
OG0000021	APOSJ_47375, APOSJ_47376	HUMAN20500
OG0000021	APOSJ_00267, APOSJ_00268, APOSJ_01716	HUMAN30680, HUMAN30504
OG0000021	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745	HUMAN04273, HUMAN30251
OG0000021	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488	HUMAN00882, HUMAN00880, HUMAN00881
OG0000023	APOSJ_12541	HUMAN03767
OG0000023	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367
OG0000026	APOSJ_39679, APOSJ_39682	HUMAN16545
OG0000026	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353	HUMAN07669, HUMAN21745
OG0000026	APOSJ_19082, APOSJ_19084, APOSJ_19083, APOSJ_14166, APOSJ_53551, APOSJ_63979, APOSJ_46283, APOSJ_28315, APOSJ_01642, APOSJ_47589, APOSJ_31703, APOSJ_43474, APOSJ_20027, APOSJ_00259, APOSJ_43475	HUMAN26724, HUMAN26725
OG0000028	APOSJ_13359, APOSJ_13358	HUMAN09193, HUMAN09206
OG0000029	APOSJ_26876, APOSJ_26877, APOSJ_64430	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029
OG0000029	APOSJ_01736, APOSJ_00280, APOSJ_39397, APOSJ_49234, APOSJ_49235, APOSJ_49236, APOSJ_02895, APOSJ_39949	HUMAN17820, HUMAN02270, HUMAN21749, HUMAN19538
OG0000030	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348	HUMAN01740, HUMAN28679
OG0000031	APOSJ_56428	HUMAN17850
OG0000031	APOSJ_58452	HUMAN06489, HUMAN17883, HUMAN26042
OG0000031	APOSJ_20577, APOSJ_26215, APOSJ_20578, APOSJ_62690, APOSJ_62709, APOSJ_00509, APOSJ_07842, APOSJ_07841	HUMAN26979, HUMAN14235
OG0000031	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162	HUMAN07725
OG0000031	APOSJ_01762	HUMAN14922, HUMAN14786
OG0000031	APOSJ_03114, APOSJ_03115	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819
OG0000032	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072
OG0000032	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569	HUMAN19258
OG0000034	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193	HUMAN11672, HUMAN11673
OG0000034	APOSJ_17818, APOSJ_17819	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449
OG0000034	APOSJ_09404, APOSJ_13545, APOSJ_44168	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	APOSJ_60565, APOSJ_21305	HUMAN01831, HUMAN13891
OG0000034	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928	HUMAN04678
OG0000034	APOSJ_63084, APOSJ_59127	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607	HUMAN04988
OG0000035	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929	HUMAN06576
OG0000035	APOSJ_13857	HUMAN09866
OG0000035	APOSJ_11969, APOSJ_09937	HUMAN06191, HUMAN03898
OG0000035	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	APOSJ_14503	HUMAN04383
OG0000036	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	APOSJ_40313, APOSJ_57892, APOSJ_57894	HUMAN11289
OG0000036	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668	HUMAN22872
OG0000036	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054	HUMAN27983, HUMAN15223
OG0000037	APOSJ_63529, APOSJ_64474, APOSJ_63530	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817
OG0000037	APOSJ_40888, APOSJ_40889	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000037	APOSJ_41930, APOSJ_41929	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	APOSJ_19984, APOSJ_19985, APOSJ_59245	HUMAN03689
OG0000038	APOSJ_44498, APOSJ_44500	HUMAN17661, HUMAN07446, HUMAN17632
OG0000038	APOSJ_08121, APOSJ_08120	HUMAN18259
OG0000038	APOSJ_07933, APOSJ_58733	HUMAN18258
OG0000038	APOSJ_30481	HUMAN18257
OG0000039	APOSJ_36538, APOSJ_23775, APOSJ_06567	HUMAN02107, HUMAN02110, HUMAN02111
OG0000039	APOSJ_23948	HUMAN29023
OG0000039	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535, APOSJ_19644, APOSJ_19642, APOSJ_19643	HUMAN13199
OG0000040	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	APOSJ_07883	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298
OG0000041	APOSJ_00247	HUMAN19139, HUMAN27913, HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052
OG0000044	APOSJ_20279, APOSJ_20278	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717
OG0000044	APOSJ_57354, APOSJ_57355	HUMAN07517
OG0000045	APOSJ_29368, APOSJ_29369	HUMAN02932
OG0000046	APOSJ_42127, APOSJ_64323, APOSJ_42125	HUMAN23116
OG0000048	APOSJ_03221, APOSJ_10764	HUMAN16328
OG0000048	APOSJ_60260, APOSJ_60261, APOSJ_61046, APOSJ_60262, APOSJ_34779	HUMAN16644
OG0000048	APOSJ_12442	HUMAN11449
OG0000049	APOSJ_51843	HUMAN25699, HUMAN05316
OG0000049	APOSJ_36502	HUMAN20965, HUMAN26499
OG0000049	APOSJ_36462	HUMAN26500
OG0000051	APOSJ_30249, APOSJ_30251, APOSJ_01654, APOSJ_47098	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000054	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352	HUMAN23119
OG0000056	APOSJ_39271, APOSJ_39270, APOSJ_48773, APOSJ_45665	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194
OG0000057	APOSJ_24024, APOSJ_17502, APOSJ_17503, APOSJ_17501, APOSJ_17500, APOSJ_17499	HUMAN29650
OG0000058	APOSJ_27364, APOSJ_40682, APOSJ_27363	HUMAN17378, HUMAN03592
OG0000058	APOSJ_01990, APOSJ_45171, APOSJ_56047, APOSJ_62157, APOSJ_01986, APOSJ_12231, APOSJ_01994, APOSJ_62154, APOSJ_01988, APOSJ_62155	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406
OG0000059	APOSJ_34977, APOSJ_41112, APOSJ_15943, APOSJ_15944	HUMAN21611
OG0000059	APOSJ_00361, APOSJ_32459	HUMAN05382, HUMAN22839, HUMAN23845
OG0000060	APOSJ_62502, APOSJ_14511, APOSJ_62507, APOSJ_14509, APOSJ_53301, APOSJ_53299, APOSJ_62506, APOSJ_08035, APOSJ_62505	HUMAN25284
OG0000060	APOSJ_24727, APOSJ_46788	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988
OG0000061	APOSJ_58339, APOSJ_18222, APOSJ_18226, APOSJ_18220, APOSJ_58336, APOSJ_24082, APOSJ_18227, APOSJ_18225, APOSJ_18223, APOSJ_24083, APOSJ_24098, APOSJ_58337, APOSJ_58338, APOSJ_18224	HUMAN17964, HUMAN26554
OG0000061	APOSJ_04549, APOSJ_04550	HUMAN18142, HUMAN20809, HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337
OG0000061	APOSJ_15713, APOSJ_15716, APOSJ_15714, APOSJ_33562, APOSJ_15715, APOSJ_53824, APOSJ_08464, APOSJ_14395	HUMAN26138, HUMAN26137, HUMAN12821
OG0000062	APOSJ_36645, APOSJ_36644, APOSJ_36646, APOSJ_36641, APOSJ_36638, APOSJ_36643, APOSJ_36647, APOSJ_36642, APOSJ_61539, APOSJ_03520, APOSJ_50534, APOSJ_50538, APOSJ_50533, APOSJ_50536, APOSJ_39442	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182	HUMAN25285
OG0000063	APOSJ_62799, APOSJ_60703	HUMAN14398, HUMAN28499, HUMAN00858
OG0000063	APOSJ_45342, APOSJ_45340, APOSJ_35186, APOSJ_45343, APOSJ_45341, APOSJ_16611	HUMAN21099
OG0000063	APOSJ_17401, APOSJ_34559, APOSJ_34558, APOSJ_34560, APOSJ_41274, APOSJ_48780	HUMAN00859, HUMAN28501
OG0000063	APOSJ_58298, APOSJ_58293, APOSJ_19476	HUMAN18628, HUMAN03783, HUMAN03782
OG0000065	APOSJ_35430, APOSJ_06253	HUMAN29458, HUMAN05357, HUMAN25383, HUMAN14424, HUMAN14423, HUMAN14422
OG0000066	APOSJ_56697, APOSJ_30328	HUMAN29798
OG0000067	APOSJ_18931, APOSJ_56850, APOSJ_56847, APOSJ_06153, APOSJ_13448, APOSJ_19493, APOSJ_58325, APOSJ_58331, APOSJ_58341, APOSJ_48159, APOSJ_48158, APOSJ_48156, APOSJ_19490, APOSJ_19487, APOSJ_13449, APOSJ_13447, APOSJ_13446, APOSJ_13442, APOSJ_13444, APOSJ_13443, APOSJ_13445, APOSJ_07651, APOSJ_07650, APOSJ_07653, APOSJ_07654, APOSJ_13441, APOSJ_11553, APOSJ_07655, APOSJ_07652, APOSJ_12441, APOSJ_12440, APOSJ_22342, APOSJ_56300, APOSJ_56301, APOSJ_56298, APOSJ_56299	HUMAN24070, HUMAN22809
OG0000069	APOSJ_04756	HUMAN13361, HUMAN02574
OG0000070	APOSJ_54993	HUMAN25671, HUMAN29634, HUMAN30393
OG0000070	APOSJ_32199, APOSJ_32200, APOSJ_19014, APOSJ_41483, APOSJ_41485, APOSJ_41484, APOSJ_45156, APOSJ_39050, APOSJ_15810, APOSJ_02571, APOSJ_07700, APOSJ_07702, APOSJ_07701	HUMAN14161
OG0000072	APOSJ_38815, APOSJ_48482	HUMAN22965, HUMAN22964, HUMAN04101
OG0000072	APOSJ_48834, APOSJ_48835, APOSJ_48833	HUMAN22852
OG0000073	APOSJ_38490, APOSJ_38489	HUMAN24982
OG0000074	APOSJ_13143	HUMAN07045, HUMAN07044, HUMAN21437
OG0000074	APOSJ_54927, APOSJ_51986, APOSJ_40639, APOSJ_38988, APOSJ_51984, APOSJ_54925	HUMAN09283
OG0000074	APOSJ_06601, APOSJ_29080, APOSJ_29087, APOSJ_64653, APOSJ_20688, APOSJ_48776, APOSJ_18171, APOSJ_07443, APOSJ_11506	HUMAN15238, HUMAN13822
OG0000075	APOSJ_20337, APOSJ_34520, APOSJ_34522, APOSJ_34524, APOSJ_34523, APOSJ_34521, APOSJ_34519, APOSJ_20338, APOSJ_34518, APOSJ_17256	HUMAN12839, HUMAN02593
OG0000075	APOSJ_40363, APOSJ_40364, APOSJ_40365, APOSJ_40366, APOSJ_40367, APOSJ_40368	HUMAN18233
OG0000075	APOSJ_54695, APOSJ_54693	HUMAN06329
OG0000075	APOSJ_58877, APOSJ_16929, APOSJ_58880	HUMAN00444
OG0000075	APOSJ_41648	HUMAN18234, HUMAN06328
OG0000075	APOSJ_33309, APOSJ_33308	HUMAN01424, HUMAN01425, HUMAN26867
OG0000075	APOSJ_16193, APOSJ_16195	HUMAN05783, HUMAN21047
OG0000075	APOSJ_55514, APOSJ_55515	HUMAN20335, HUMAN20336, HUMAN20532
OG0000075	APOSJ_22770	HUMAN26884
OG0000078	APOSJ_09078, APOSJ_48664, APOSJ_48665, APOSJ_28712, APOSJ_28714, APOSJ_20960, APOSJ_02350, APOSJ_61846	HUMAN15000, HUMAN04284, HUMAN06996
OG0000079	APOSJ_50875, APOSJ_50877, APOSJ_64501, APOSJ_18723, APOSJ_32515, APOSJ_37152	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	APOSJ_18254	HUMAN22600, HUMAN22601, HUMAN24340
OG0000079	APOSJ_28991, APOSJ_28990	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260
OG0000079	APOSJ_06559, APOSJ_06558	HUMAN14208
OG0000081	APOSJ_65213, APOSJ_65212, APOSJ_52934, APOSJ_61033	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678
OG0000082	APOSJ_25535	HUMAN29167
OG0000082	APOSJ_31175, APOSJ_61283, APOSJ_41067, APOSJ_61284, APOSJ_61286, APOSJ_61287	HUMAN23869
OG0000082	APOSJ_10612	HUMAN23871
OG0000083	APOSJ_11498, APOSJ_11497	HUMAN07535, HUMAN22993
OG0000084	APOSJ_15697	HUMAN03696, HUMAN22975
OG0000084	APOSJ_24644, APOSJ_24645	HUMAN05352
OG0000085	APOSJ_64863	HUMAN12866, HUMAN20608, HUMAN17788
OG0000085	APOSJ_41027, APOSJ_41023, APOSJ_41020, APOSJ_41026, APOSJ_41024, APOSJ_41021, APOSJ_41025, APOSJ_41022	HUMAN13119, HUMAN07215
OG0000085	APOSJ_25761	HUMAN26172
OG0000085	APOSJ_04663, APOSJ_04662	HUMAN19734, HUMAN19733, HUMAN05027
OG0000087	APOSJ_44974	HUMAN11956
OG0000087	APOSJ_45252	HUMAN11957
OG0000087	APOSJ_17272	HUMAN02557
OG0000087	APOSJ_35198	HUMAN17213
OG0000087	APOSJ_02933	HUMAN21001
OG0000087	APOSJ_19002, APOSJ_64596, APOSJ_35346	HUMAN18010
OG0000087	APOSJ_59532	HUMAN21063
OG0000087	APOSJ_03507, APOSJ_10114	HUMAN10659
OG0000088	APOSJ_63869, APOSJ_63868, APOSJ_31116, APOSJ_63535, APOSJ_35086, APOSJ_63797, APOSJ_63809, APOSJ_42039, APOSJ_42040, APOSJ_36688, APOSJ_22725, APOSJ_36687, APOSJ_22750, APOSJ_39202, APOSJ_45270	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367
OG0000089	APOSJ_36819, APOSJ_36818	HUMAN21235
OG0000089	APOSJ_32496, APOSJ_32445, APOSJ_52135, APOSJ_15609	HUMAN29653, HUMAN25674
OG0000089	APOSJ_01323, APOSJ_40758, APOSJ_40759	HUMAN25675
OG0000090	APOSJ_38878, APOSJ_38877, APOSJ_38876	HUMAN24709
OG0000090	APOSJ_22326	HUMAN28948
OG0000094	APOSJ_44228, APOSJ_55244, APOSJ_44217, APOSJ_44221	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866
