Orthogroup	APOSJ_ok	PFLAV
OG0000005	APOSJ_02028, APOSJ_23808, APOSJ_02027, APOSJ_42948, APOSJ_54441, APOSJ_42029, APOSJ_12417, APOSJ_20058, APOSJ_20056, APOSJ_19603, APOSJ_07516, APOSJ_11151, APOSJ_11154, APOSJ_11157, APOSJ_63887, APOSJ_11156, APOSJ_11155, APOSJ_11153, APOSJ_11152, APOSJ_50934, APOSJ_48695	TCONS_00001294.p1, TCONS_00050179.p1, TCONS_00050176.p1, TCONS_00050178.p1, TCONS_00051419.p1, TCONS_00051326.p1, TCONS_00040757.p1
OG0000005	APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100	TCONS_00028033.p1
OG0000005	APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095	TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1
OG0000006	APOSJ_12203, APOSJ_12202, APOSJ_12204	TCONS_00023170.p1, TCONS_00025030.p1
OG0000006	APOSJ_14510	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	APOSJ_43757	TCONS_00042787.p1
OG0000006	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178	TCONS_00016646.p1
OG0000006	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917	TCONS_00023551.p1
OG0000006	APOSJ_52128	TCONS_00012810.p1
OG0000006	APOSJ_22887	TCONS_00013984.p1, TCONS_00012809.p1
OG0000006	APOSJ_25002	TCONS_00027932.p1
OG0000006	APOSJ_24425, APOSJ_24424	TCONS_00045950.p1
OG0000006	APOSJ_38154	TCONS_00030792.p1
OG0000006	APOSJ_46492	TCONS_00011491.p1
OG0000007	APOSJ_59584	TCONS_00008966.p1
OG0000007	APOSJ_54414, APOSJ_55946, APOSJ_54415	TCONS_00029574.p1
OG0000007	APOSJ_59909	TCONS_00009611.p1
OG0000007	APOSJ_46494	TCONS_00052518.p1
OG0000007	APOSJ_04151	TCONS_00026068.p1
OG0000007	APOSJ_33751	TCONS_00008967.p1
OG0000007	APOSJ_45510, APOSJ_50337	TCONS_00055417.p1
OG0000007	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417	TCONS_00011336.p1
OG0000007	APOSJ_06582, APOSJ_20594	TCONS_00014249.p1
OG0000007	APOSJ_16847, APOSJ_57982, APOSJ_16846	TCONS_00012754.p1
OG0000007	APOSJ_61120, APOSJ_64094, APOSJ_61123, APOSJ_61124, APOSJ_61122, APOSJ_61121	TCONS_00025375.p1
OG0000007	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878	TCONS_00051990.p1, TCONS_00051989.p1
OG0000007	APOSJ_55940, APOSJ_55941	TCONS_00009689.p1
OG0000008	APOSJ_26935, APOSJ_25092, APOSJ_24812	TCONS_00043149.p1, TCONS_00043478.p1
OG0000008	APOSJ_08880	TCONS_00016587.p1, TCONS_00005048.p1
OG0000008	APOSJ_21452, APOSJ_49644, APOSJ_36622, APOSJ_36616, APOSJ_42527, APOSJ_42528	TCONS_00016727.p1, TCONS_00016728.p1, TCONS_00015622.p1, TCONS_00015620.p1, TCONS_00015621.p1
OG0000008	APOSJ_63140, APOSJ_63139, APOSJ_65328, APOSJ_41882, APOSJ_18021, APOSJ_18020, APOSJ_07175, APOSJ_32183	TCONS_00054551.p1, TCONS_00054547.p1, TCONS_00052874.p1
OG0000008	APOSJ_10775, APOSJ_03255, APOSJ_51676, APOSJ_19161, APOSJ_11616, APOSJ_11617, APOSJ_06622, APOSJ_23604	TCONS_00015623.p1
OG0000009	APOSJ_54833	TCONS_00048729.p1
OG0000009	APOSJ_03326	TCONS_00003755.p1, TCONS_00023785.p1, TCONS_00024636.p1, TCONS_00003529.p1, TCONS_00049276.p1, TCONS_00003848.p1, TCONS_00037518.p1
OG0000009	APOSJ_61304, APOSJ_61303	TCONS_00015545.p1, TCONS_00013954.p1
OG0000009	APOSJ_29154, APOSJ_51316, APOSJ_52243, APOSJ_47374, APOSJ_18606	TCONS_00036795.p1
OG0000009	APOSJ_09416, APOSJ_58001, APOSJ_01900, APOSJ_01898	TCONS_00025442.p1
OG0000009	APOSJ_18180, APOSJ_18179	TCONS_00025851.p1, TCONS_00043074.p1, TCONS_00009542.p1
OG0000009	APOSJ_60169	TCONS_00017424.p1, TCONS_00029219.p1, TCONS_00043312.p1, TCONS_00025216.p1
OG0000009	APOSJ_10781, APOSJ_49262, APOSJ_11404, APOSJ_10780, APOSJ_10776, APOSJ_00998, APOSJ_00997, APOSJ_00994, APOSJ_00992, APOSJ_00989	TCONS_00028883.p1, TCONS_00029472.p1
OG0000009	APOSJ_58002	TCONS_00003938.p1, TCONS_00001483.p1
OG0000009	APOSJ_56788, APOSJ_16191, APOSJ_29582, APOSJ_16189	TCONS_00035090.p1, TCONS_00009406.p1, TCONS_00032577.p1
OG0000009	APOSJ_59244, APOSJ_59242, APOSJ_53515, APOSJ_34367, APOSJ_61174, APOSJ_31715, APOSJ_13125, APOSJ_50535, APOSJ_31719, APOSJ_17359, APOSJ_50547, APOSJ_60011, APOSJ_17353, APOSJ_13127, APOSJ_13126, APOSJ_48325, APOSJ_48328, APOSJ_59469, APOSJ_48329, APOSJ_58890, APOSJ_48326, APOSJ_49841, APOSJ_49842, APOSJ_49840, APOSJ_49839, APOSJ_49838, APOSJ_42589, APOSJ_39562	TCONS_00017823.p1, TCONS_00056063.p1
OG0000009	APOSJ_24430	TCONS_00045896.p1
OG0000009	APOSJ_56376, APOSJ_43608, APOSJ_01836, APOSJ_01834, APOSJ_01831, APOSJ_62939, APOSJ_62936, APOSJ_43607, APOSJ_49147, APOSJ_49146, APOSJ_49148, APOSJ_04209, APOSJ_00134, APOSJ_53043	TCONS_00037803.p1, TCONS_00017368.p1, TCONS_00033541.p1
OG0000009	APOSJ_08607, APOSJ_33774, APOSJ_21638	TCONS_00019627.p1
OG0000009	APOSJ_07511, APOSJ_07512, APOSJ_44793, APOSJ_07510	TCONS_00048728.p1
OG0000009	APOSJ_42413, APOSJ_58003, APOSJ_57999	TCONS_00027717.p1
OG0000010	APOSJ_03628	TCONS_00043350.p1, TCONS_00043340.p1, TCONS_00043354.p1, TCONS_00043343.p1, TCONS_00031454.p1, TCONS_00017962.p1, TCONS_00017965.p1, TCONS_00017966.p1, TCONS_00017964.p1
OG0000011	APOSJ_29863	TCONS_00044809.p1, TCONS_00015385.p1
OG0000011	APOSJ_47620	TCONS_00038245.p1
OG0000011	APOSJ_54377, APOSJ_54378, APOSJ_54376, APOSJ_54379	TCONS_00051572.p1, TCONS_00011227.p1, TCONS_00012236.p1, TCONS_00041037.p1, TCONS_00038189.p1
OG0000011	APOSJ_52118, APOSJ_51528, APOSJ_27819, APOSJ_51532, APOSJ_27817, APOSJ_52112, APOSJ_51531, APOSJ_51530, APOSJ_32958, APOSJ_27820	TCONS_00049052.p1, TCONS_00049053.p1, TCONS_00019184.p1, TCONS_00045521.p1, TCONS_00024547.p1
OG0000011	APOSJ_42157, APOSJ_42159, APOSJ_64504	TCONS_00052331.p1
OG0000011	APOSJ_62275, APOSJ_62276, APOSJ_29621, APOSJ_39313, APOSJ_64598, APOSJ_30512, APOSJ_60967, APOSJ_60972, APOSJ_60947, APOSJ_60926, APOSJ_29637, APOSJ_06281, APOSJ_08389, APOSJ_53297, APOSJ_53305, APOSJ_08388, APOSJ_46070, APOSJ_46074, APOSJ_48717, APOSJ_48715, APOSJ_48713, APOSJ_46071, APOSJ_46069, APOSJ_46067, APOSJ_48712, APOSJ_48716, APOSJ_48714, APOSJ_48710, APOSJ_46073, APOSJ_46072, APOSJ_46068, APOSJ_14278, APOSJ_31625, APOSJ_55692, APOSJ_01636, APOSJ_36340, APOSJ_37738, APOSJ_37733, APOSJ_37734, APOSJ_17966, APOSJ_17967, APOSJ_17965	TCONS_00034059.p1
OG0000011	APOSJ_35621, APOSJ_35622	TCONS_00008526.p1
OG0000011	APOSJ_09852, APOSJ_09853, APOSJ_09854, APOSJ_18476, APOSJ_34765, APOSJ_34766, APOSJ_34767, APOSJ_34768, APOSJ_34769, APOSJ_34770, APOSJ_34771, APOSJ_34772, APOSJ_63639, APOSJ_09851	TCONS_00049285.p1
OG0000011	APOSJ_09282	TCONS_00056711.p1, TCONS_00034080.p1
OG0000011	APOSJ_38837	TCONS_00041373.p1, TCONS_00055305.p1, TCONS_00047166.p1, TCONS_00053496.p1, TCONS_00038610.p1, TCONS_00034727.p1, TCONS_00038236.p1, TCONS_00044426.p1, TCONS_00043761.p1, TCONS_00050660.p1
OG0000011	APOSJ_06721	TCONS_00048667.p1, TCONS_00018952.p1
OG0000011	APOSJ_16662, APOSJ_58824, APOSJ_37653, APOSJ_37652, APOSJ_55526	TCONS_00015386.p1
OG0000011	APOSJ_01874, APOSJ_41471	TCONS_00033759.p1
OG0000011	APOSJ_25283, APOSJ_25285	TCONS_00025195.p1, TCONS_00051327.p1
OG0000011	APOSJ_21982	TCONS_00035599.p1
OG0000011	APOSJ_27428	TCONS_00050721.p1
OG0000011	APOSJ_00009, APOSJ_00010, APOSJ_61177, APOSJ_59189, APOSJ_34393, APOSJ_49591	TCONS_00051583.p1, TCONS_00054546.p1, TCONS_00038556.p1
OG0000011	APOSJ_58988	TCONS_00020984.p3, TCONS_00034049.p1
OG0000011	APOSJ_57622, APOSJ_64527, APOSJ_57621, APOSJ_52511, APOSJ_52510, APOSJ_52509, APOSJ_52676	TCONS_00046669.p1
OG0000011	APOSJ_47306, APOSJ_12931, APOSJ_25047, APOSJ_12932, APOSJ_19075, APOSJ_19074, APOSJ_02231, APOSJ_02230, APOSJ_02232, APOSJ_13434, APOSJ_24519, APOSJ_52847	TCONS_00029680.p1, TCONS_00036298.p1
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1
OG0000012	APOSJ_08662	TCONS_00003238.p1
OG0000012	APOSJ_29241, APOSJ_29242, APOSJ_18379, APOSJ_27901, APOSJ_19235, APOSJ_27908, APOSJ_19236, APOSJ_27902, APOSJ_43527, APOSJ_27907, APOSJ_02479	TCONS_00002832.p1
OG0000012	APOSJ_20422	TCONS_00041660.p1, TCONS_00041661.p1
OG0000012	APOSJ_24428	TCONS_00040837.p1, TCONS_00040834.p1, TCONS_00039913.p1
OG0000013	APOSJ_50056, APOSJ_01943	TCONS_00023863.p1
OG0000013	APOSJ_12246, APOSJ_12247, APOSJ_12245, APOSJ_11982, APOSJ_21044, APOSJ_58255, APOSJ_02917, APOSJ_49601, APOSJ_48986, APOSJ_43911, APOSJ_02919, APOSJ_03365, APOSJ_03366, APOSJ_26214, APOSJ_33158, APOSJ_40794, APOSJ_56288, APOSJ_13713, APOSJ_22815, APOSJ_35010, APOSJ_22807, APOSJ_22820, APOSJ_53227, APOSJ_22812	TCONS_00017254.p1
OG0000014	APOSJ_22104, APOSJ_22107, APOSJ_22108, APOSJ_22106, APOSJ_22105	TCONS_00027485.p1, TCONS_00027177.p1, TCONS_00026948.p1, TCONS_00026951.p1, TCONS_00026432.p1, TCONS_00026431.p1, TCONS_00011368.p1, TCONS_00011367.p1, TCONS_00019370.p1, TCONS_00055951.p1
OG0000014	APOSJ_28331, APOSJ_28332	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1
OG0000015	APOSJ_33839	TCONS_00008348.p1
OG0000015	APOSJ_42624, APOSJ_59632, APOSJ_31277, APOSJ_59631, APOSJ_43143, APOSJ_31279	TCONS_00007433.p1
OG0000015	APOSJ_62317, APOSJ_51506, APOSJ_06725	TCONS_00029137.p1, TCONS_00028127.p1
OG0000015	APOSJ_04715	TCONS_00043495.p1
OG0000015	APOSJ_09441, APOSJ_10165	TCONS_00043861.p1
OG0000015	APOSJ_53813	TCONS_00042561.p1
OG0000015	APOSJ_50846, APOSJ_50844	TCONS_00043863.p1
OG0000016	APOSJ_25810, APOSJ_25809	TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1
OG0000016	APOSJ_38950, APOSJ_38952, APOSJ_43457	TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1
OG0000016	APOSJ_49455, APOSJ_50025, APOSJ_49454, APOSJ_40337	TCONS_00012620.p1, TCONS_00013829.p1
OG0000016	APOSJ_06716, APOSJ_06717	TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1
OG0000016	APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441	TCONS_00022184.p1
OG0000016	APOSJ_31207	TCONS_00003602.p1
OG0000016	APOSJ_03790	TCONS_00048341.p1
OG0000016	APOSJ_21975	TCONS_00020809.p1
OG0000016	APOSJ_58384	TCONS_00049735.p1
OG0000016	APOSJ_11248	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1
OG0000017	APOSJ_28721, APOSJ_28719	TCONS_00051588.p1
OG0000017	APOSJ_52652, APOSJ_52651	TCONS_00003294.p1, TCONS_00017646.p1, TCONS_00035188.p1
OG0000017	APOSJ_34254, APOSJ_34253, APOSJ_34255, APOSJ_34251, APOSJ_33972, APOSJ_33973, APOSJ_11055	TCONS_00053694.p1
OG0000017	APOSJ_26995	TCONS_00056182.p1
OG0000017	APOSJ_28720	TCONS_00052167.p1
OG0000017	APOSJ_26588	TCONS_00021399.p1, TCONS_00014887.p1
OG0000017	APOSJ_61685	TCONS_00034588.p2
OG0000017	APOSJ_29917, APOSJ_29916	TCONS_00002336.p1
OG0000017	APOSJ_05386, APOSJ_05387, APOSJ_05389, APOSJ_58711, APOSJ_65196, APOSJ_65197, APOSJ_65193, APOSJ_65192, APOSJ_65178, APOSJ_42099, APOSJ_33478, APOSJ_05390, APOSJ_65198, APOSJ_65190, APOSJ_65189, APOSJ_58712	TCONS_00044273.p1, TCONS_00027912.p1, TCONS_00036791.p1
OG0000017	APOSJ_45809	TCONS_00033854.p1
OG0000018	APOSJ_19512, APOSJ_19514, APOSJ_19516, APOSJ_57743	TCONS_00046113.p1
OG0000018	APOSJ_52496, APOSJ_17991, APOSJ_41809, APOSJ_54134, APOSJ_00380, APOSJ_47794	TCONS_00050340.p1, TCONS_00027744.p1, TCONS_00032664.p1
OG0000018	APOSJ_55745, APOSJ_55748, APOSJ_55746	TCONS_00015755.p1
OG0000018	APOSJ_27177	TCONS_00002126.p1, TCONS_00045766.p1, TCONS_00050663.p1
OG0000018	APOSJ_25320	TCONS_00014702.p2
OG0000018	APOSJ_04276, APOSJ_51121, APOSJ_05958	TCONS_00054542.p1, TCONS_00015986.p1, TCONS_00002662.p1, TCONS_00016420.p1
OG0000018	APOSJ_63505, APOSJ_19513, APOSJ_19515	TCONS_00022055.p1
OG0000018	APOSJ_32266, APOSJ_22620	TCONS_00037698.p1, TCONS_00033891.p1, TCONS_00031409.p1, TCONS_00051415.p1, TCONS_00030438.p1
OG0000018	APOSJ_12404, APOSJ_49135, APOSJ_49134, APOSJ_02340, APOSJ_02344, APOSJ_62914	TCONS_00045433.p1, TCONS_00018885.p1, TCONS_00030533.p1
OG0000019	APOSJ_25021	TCONS_00042378.p1
OG0000019	APOSJ_63124	TCONS_00025657.p1, TCONS_00025658.p1, TCONS_00025659.p1, TCONS_00028088.p1, TCONS_00029505.p1, TCONS_00028039.p1, TCONS_00028037.p1, TCONS_00028042.p1, TCONS_00028040.p1, TCONS_00028035.p1, TCONS_00029509.p1, TCONS_00014266.p1, TCONS_00027859.p1
OG0000019	APOSJ_58483	TCONS_00007298.p1, TCONS_00007301.p1, TCONS_00016343.p1, TCONS_00053172.p1, TCONS_00050837.p1, TCONS_00056903.p1, TCONS_00053134.p1, TCONS_00017582.p1, TCONS_00048059.p1
OG0000019	APOSJ_49365	TCONS_00007955.p1
OG0000019	APOSJ_01085, APOSJ_65350, APOSJ_05565, APOSJ_64003, APOSJ_65353, APOSJ_05564, APOSJ_34752, APOSJ_65005, APOSJ_65352, APOSJ_65351, APOSJ_05568, APOSJ_64006, APOSJ_64005, APOSJ_07876, APOSJ_64004, APOSJ_48618, APOSJ_48619, APOSJ_48616, APOSJ_16280, APOSJ_48620, APOSJ_48621, APOSJ_30953	TCONS_00009589.p1, TCONS_00043166.p1, TCONS_00043167.p1, TCONS_00050243.p1, TCONS_00050238.p1, TCONS_00050241.p1, TCONS_00050235.p1, TCONS_00050242.p1, TCONS_00050237.p1, TCONS_00050240.p1, TCONS_00050234.p1, TCONS_00050233.p1, TCONS_00050246.p1, TCONS_00050249.p1, TCONS_00043170.p1, TCONS_00043821.p1
OG0000020	APOSJ_38031	TCONS_00042133.p1
OG0000020	APOSJ_03215	TCONS_00055662.p1
OG0000020	APOSJ_60863, APOSJ_38143, APOSJ_60862	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1
OG0000020	APOSJ_44342, APOSJ_44340, APOSJ_44341	TCONS_00018790.p1
OG0000020	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223	TCONS_00054537.p1
OG0000020	APOSJ_17336, APOSJ_17335	TCONS_00020870.p1
OG0000020	APOSJ_45822, APOSJ_45820, APOSJ_45821	TCONS_00019497.p1
OG0000020	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910	TCONS_00016378.p1
OG0000020	APOSJ_08125, APOSJ_51104	TCONS_00051401.p1
OG0000020	APOSJ_16758	TCONS_00031077.p1
OG0000020	APOSJ_38030, APOSJ_38032	TCONS_00056690.p1
OG0000020	APOSJ_64610, APOSJ_31490	TCONS_00042754.p1
OG0000020	APOSJ_45120	TCONS_00019367.p1
OG0000021	APOSJ_55570, APOSJ_22670, APOSJ_48399, APOSJ_48398, APOSJ_48401, APOSJ_48402, APOSJ_48404, APOSJ_26218	TCONS_00047235.p1, TCONS_00047455.p1
OG0000021	APOSJ_50915	TCONS_00025493.p1
OG0000021	APOSJ_00267, APOSJ_00268, APOSJ_01716	TCONS_00048454.p1
OG0000021	APOSJ_16738, APOSJ_16737, APOSJ_16740, APOSJ_16736	TCONS_00005425.p1
OG0000021	APOSJ_56015, APOSJ_08859	TCONS_00005068.p1, TCONS_00005066.p1
OG0000021	APOSJ_16640, APOSJ_16638	TCONS_00048529.p1, TCONS_00048461.p1, TCONS_00048530.p1, TCONS_00048462.p1, TCONS_00048631.p1, TCONS_00047352.p1, TCONS_00044070.p1, TCONS_00044077.p1
OG0000021	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745	TCONS_00016243.p1
OG0000021	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488	TCONS_00044068.p1
OG0000023	APOSJ_12541	TCONS_00026137.p1
OG0000023	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239	TCONS_00004930.p1
OG0000023	APOSJ_01093, APOSJ_01092, APOSJ_01091	TCONS_00029827.p1
OG0000023	APOSJ_42179	TCONS_00006339.p1, TCONS_00006341.p1
OG0000023	APOSJ_00272	TCONS_00023484.p1, TCONS_00023448.p1, TCONS_00023486.p1, TCONS_00023450.p1, TCONS_00023451.p1, TCONS_00023489.p1, TCONS_00006187.p1, TCONS_00006188.p1, TCONS_00006190.p1
OG0000024	APOSJ_41943	TCONS_00027765.p1
OG0000024	APOSJ_55810, APOSJ_12803	TCONS_00021650.p1
OG0000024	APOSJ_59030, APOSJ_52499, APOSJ_21171, APOSJ_52500, APOSJ_52498, APOSJ_22830, APOSJ_21196	TCONS_00003610.p1, TCONS_00052950.p1, TCONS_00002982.p1, TCONS_00039372.p1, TCONS_00038234.p1, TCONS_00054692.p1, TCONS_00050908.p1, TCONS_00023169.p1, TCONS_00025719.p1, TCONS_00045646.p1, TCONS_00035184.p1, TCONS_00045722.p1
OG0000024	APOSJ_44116, APOSJ_44115, APOSJ_38982, APOSJ_48566	TCONS_00032509.p1
OG0000024	APOSJ_60940, APOSJ_60942, APOSJ_30595, APOSJ_35643	TCONS_00013372.p1, TCONS_00008306.p1
