Orthogroup	YEAST	STRPU_ok
OG0000255	YEAST02822	STRPU_21343, STRPU_06497, STRPU_04137, STRPU_13419, STRPU_12912, STRPU_26210, STRPU_18620, STRPU_12446, STRPU_12447, STRPU_12953, STRPU_12950
OG0000256	YEAST00266	STRPU_19461, STRPU_14842, STRPU_26901, STRPU_26900, STRPU_26902, STRPU_27111, STRPU_26544
OG0000258	YEAST00118	STRPU_08777, STRPU_08779, STRPU_08780, STRPU_22696, STRPU_21352
OG0000260	YEAST04323	STRPU_22982, STRPU_10375
OG0000265	YEAST03885, YEAST03714	STRPU_01912, STRPU_22756
OG0000272	YEAST02076, YEAST01066	STRPU_14820, STRPU_17961, STRPU_24826
OG0000274	YEAST02118, YEAST04573, YEAST01485	STRPU_06824, STRPU_06548, STRPU_06547, STRPU_06530, STRPU_06569, STRPU_03139, STRPU_06064, STRPU_02777, STRPU_06059
OG0000278	YEAST03847	STRPU_27259, STRPU_27277
OG0000278	YEAST03806	STRPU_03004
OG0000278	YEAST04060	STRPU_20692
OG0000278	YEAST01107	STRPU_26265
OG0000284	YEAST05621	STRPU_20352, STRPU_21046, STRPU_21045, STRPU_20354, STRPU_07330, STRPU_18787
OG0000289	YEAST00645	STRPU_18786, STRPU_18677, STRPU_12560, STRPU_12562
OG0000305	YEAST04899	STRPU_23290, STRPU_21971, STRPU_22779, STRPU_01937
OG0000308	YEAST02548	STRPU_13191, STRPU_13968, STRPU_21103, STRPU_21098, STRPU_14797, STRPU_24752, STRPU_08810, STRPU_25229
OG0000310	YEAST02635	STRPU_25676, STRPU_25769, STRPU_25768, STRPU_25786, STRPU_25767, STRPU_25785, STRPU_08819, STRPU_08721, STRPU_01455, STRPU_19424, STRPU_19517
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	STRPU_26934, STRPU_21396, STRPU_06464, STRPU_05481
OG0000313	YEAST05106	STRPU_05794, STRPU_10597
OG0000313	YEAST05526	STRPU_24296
OG0000315	YEAST04684	STRPU_23166
OG0000316	YEAST01673	STRPU_04688, STRPU_27381, STRPU_10737, STRPU_01026, STRPU_23411, STRPU_23297
OG0000317	YEAST01356	STRPU_19895, STRPU_19868, STRPU_19997, STRPU_25286, STRPU_07276, STRPU_07292
OG0000321	YEAST03264	STRPU_18694, STRPU_05283, STRPU_06234
OG0000323	YEAST02249	STRPU_14332, STRPU_16538, STRPU_16558, STRPU_23717
OG0000326	YEAST06056	STRPU_10867, STRPU_10847
OG0000338	YEAST02967	STRPU_02251, STRPU_15548, STRPU_15357
OG0000338	YEAST04211	STRPU_26051
OG0000343	YEAST03024, YEAST02736	STRPU_17122, STRPU_17107
OG0000345	YEAST01884	STRPU_04478, STRPU_04481, STRPU_04484, STRPU_04781, STRPU_04803, STRPU_04808, STRPU_04681, STRPU_04121
OG0000352	YEAST04069	STRPU_18690, STRPU_06876, STRPU_16144, STRPU_16137, STRPU_07149, STRPU_16650, STRPU_16649
OG0000357	YEAST01925	STRPU_14591, STRPU_23598
OG0000359	YEAST02489	STRPU_09098, STRPU_02069, STRPU_14383, STRPU_05510
OG0000363	YEAST04081, YEAST05870	STRPU_20959, STRPU_22858, STRPU_22857, STRPU_14845, STRPU_14865
OG0000365	YEAST05831	STRPU_00678, STRPU_18948, STRPU_19090, STRPU_17253, STRPU_17254
OG0000367	YEAST02141, YEAST03746, YEAST03210	STRPU_22294, STRPU_24010
OG0000372	YEAST05988	STRPU_20297, STRPU_16741, STRPU_01713, STRPU_05141, STRPU_05066, STRPU_15694
OG0000373	YEAST02023	STRPU_15389, STRPU_20623
OG0000373	YEAST04495, YEAST01417, YEAST05964	STRPU_08202
OG0000380	YEAST01047	STRPU_22132, STRPU_06735, STRPU_13220
OG0000385	YEAST03496	STRPU_11318, STRPU_11302, STRPU_11104, STRPU_11129, STRPU_11108, STRPU_11132, STRPU_11109, STRPU_11133, STRPU_13347, STRPU_11130, STRPU_11105
OG0000393	YEAST04072, YEAST04071	STRPU_17898, STRPU_17427, STRPU_17899, STRPU_17900, STRPU_25376, STRPU_01522, STRPU_09438
OG0000393	YEAST01302	STRPU_26326
OG0000397	YEAST05080	STRPU_10143, STRPU_10081
OG0000399	YEAST02160	STRPU_07794, STRPU_20860, STRPU_20896, STRPU_07796, STRPU_11457, STRPU_23097
OG0000400	YEAST05911	STRPU_18035, STRPU_16345, STRPU_16374
OG0000402	YEAST01657, YEAST01929	STRPU_09420, STRPU_01539, STRPU_26119, STRPU_26105, STRPU_26104, STRPU_26118
OG0000405	YEAST06055, YEAST00411	STRPU_27356
OG0000412	YEAST04469	STRPU_04141, STRPU_20062
OG0000413	YEAST04905, YEAST05340	STRPU_21399
OG0000413	YEAST02838	STRPU_06626
OG0000419	YEAST05989	STRPU_14681
OG0000420	YEAST03886	STRPU_23782, STRPU_10246, STRPU_10247, STRPU_10244, STRPU_14739, STRPU_14741, STRPU_14740, STRPU_20569, STRPU_20568
OG0000424	YEAST03563	STRPU_11870, STRPU_04472, STRPU_04471
OG0000426	YEAST03440	STRPU_09853
OG0000427	YEAST02655, YEAST02439	STRPU_12503, STRPU_00637, STRPU_11390
OG0000429	YEAST02285	STRPU_23154, STRPU_24289
OG0000431	YEAST04014	STRPU_08891, STRPU_05364, STRPU_06554, STRPU_06544
OG0000433	YEAST06177, YEAST00117	STRPU_08440, STRPU_17896, STRPU_17895
OG0000437	YEAST03074, YEAST02073	STRPU_01400, STRPU_04378, STRPU_04379, STRPU_13204, STRPU_13205, STRPU_13203, STRPU_13182, STRPU_00657, STRPU_23072, STRPU_00656, STRPU_22055
OG0000442	YEAST05012	STRPU_06501, STRPU_17294, STRPU_16903
OG0000444	YEAST01115, YEAST04019	STRPU_12350, STRPU_12803
OG0000445	YEAST03068	STRPU_02013, STRPU_16954, STRPU_26060, STRPU_17672
OG0000450	YEAST04709, YEAST05909	STRPU_14805
OG0000461	YEAST00120	STRPU_14492
OG0000467	YEAST03162	STRPU_23158
OG0000468	YEAST04372	STRPU_14586, STRPU_14584, STRPU_14583, STRPU_14585, STRPU_12712, STRPU_12711, STRPU_05357, STRPU_15078
OG0000469	YEAST02179, YEAST05440	STRPU_23215, STRPU_23221
OG0000469	YEAST02333, YEAST00863	STRPU_26522
OG0000474	YEAST02384	STRPU_22424, STRPU_23394
OG0000476	YEAST03038	STRPU_20170, STRPU_20169, STRPU_19628, STRPU_19687
OG0000479	YEAST04139	STRPU_17435, STRPU_14315
OG0000480	YEAST05750	STRPU_11203, STRPU_11000, STRPU_00339, STRPU_11321, STRPU_00362, STRPU_11025
OG0000481	YEAST01040	STRPU_14885
OG0000481	YEAST00916	STRPU_19958, STRPU_01189
OG0000481	YEAST00827, YEAST00774	STRPU_04460
OG0000484	YEAST05824	STRPU_19234
OG0000486	YEAST03122, YEAST04270	STRPU_20016, STRPU_18622, STRPU_08732
OG0000487	YEAST04968	STRPU_21236
OG0000487	YEAST02728	STRPU_09230, STRPU_02195
OG0000488	YEAST01414	STRPU_21579, STRPU_09666
OG0000490	YEAST04297, YEAST00894	STRPU_19396, STRPU_19397
OG0000505	YEAST03067	STRPU_21978
OG0000508	YEAST04626	STRPU_13773, STRPU_22049
OG0000510	YEAST04569, YEAST05730	STRPU_20272, STRPU_20279, STRPU_20192, STRPU_23102
OG0000515	YEAST04784, YEAST05876	STRPU_19518, STRPU_19526, STRPU_19523, STRPU_19522, STRPU_19524, STRPU_19525, STRPU_19751, STRPU_19749, STRPU_06347, STRPU_26585, STRPU_26583, STRPU_19521
OG0000519	YEAST04594, YEAST03616	STRPU_14240, STRPU_14241, STRPU_14510, STRPU_14504, STRPU_14502, STRPU_14501, STRPU_14500, STRPU_14509, STRPU_14503, STRPU_14505, STRPU_14497, STRPU_14232, STRPU_14226, STRPU_14228, STRPU_14235, STRPU_02530, STRPU_15149
OG0000520	YEAST02979	STRPU_15354, STRPU_02843, STRPU_02884, STRPU_02842
OG0000523	YEAST01952, YEAST05838, YEAST06082	STRPU_24945, STRPU_24944
OG0000529	YEAST05790, YEAST00048	STRPU_19440, STRPU_00345, STRPU_11005, STRPU_06251
OG0000534	YEAST04932	STRPU_00112, STRPU_13181, STRPU_01453, STRPU_08723
OG0000538	YEAST00499	STRPU_13554
OG0000549	YEAST06280, YEAST02610, YEAST05060	STRPU_26919, STRPU_26917, STRPU_12468, STRPU_12545
OG0000552	YEAST05717	STRPU_01962, STRPU_22803, STRPU_05705
OG0000561	YEAST06202, YEAST00331	STRPU_21549
OG0000562	YEAST00314	STRPU_26809, STRPU_25528
OG0000563	YEAST01406	STRPU_18400, STRPU_02520, STRPU_15138, STRPU_15426, STRPU_15425, STRPU_18402, STRPU_18401, STRPU_18397, STRPU_18398, STRPU_18399
OG0000566	YEAST05789, YEAST00049	STRPU_22145, STRPU_14680
OG0000573	YEAST05675	STRPU_11052, STRPU_00392, STRPU_27100, STRPU_27089
OG0000576	YEAST00470, YEAST00193	STRPU_23119
OG0000578	YEAST01208, YEAST00759	STRPU_21618
OG0000579	YEAST02484	STRPU_23503
OG0000582	YEAST03615	STRPU_19500
OG0000587	YEAST04063	STRPU_06588, STRPU_06512
OG0000587	YEAST03372	STRPU_21487, STRPU_21496
OG0000588	YEAST05197	STRPU_00676, STRPU_18950, STRPU_17075
OG0000590	YEAST05110, YEAST05552, YEAST03727	STRPU_25115, STRPU_25616
OG0000592	YEAST00388	STRPU_16888, STRPU_15820, STRPU_15868
OG0000597	YEAST04330	STRPU_14406, STRPU_22530
OG0000609	YEAST05180	STRPU_24853, STRPU_24616
OG0000612	YEAST02370	STRPU_09717, STRPU_09761
OG0000612	YEAST03629	STRPU_26031
OG0000613	YEAST01072	STRPU_24692, STRPU_24700, STRPU_26787
OG0000623	YEAST02411	STRPU_07960, STRPU_07951
OG0000623	YEAST05090	STRPU_00318
OG0000627	YEAST02116, YEAST03957	STRPU_03283, STRPU_03246
OG0000639	YEAST02015	STRPU_27017, STRPU_25405
OG0000642	YEAST00618	STRPU_04607, STRPU_04606, STRPU_04846
OG0000645	YEAST05140	STRPU_25221
OG0000645	YEAST04743	STRPU_22046
OG0000647	YEAST04534	STRPU_09897, STRPU_06712
OG0000648	YEAST04178, YEAST05641	STRPU_00211, STRPU_25949, STRPU_00209, STRPU_25924
OG0000657	YEAST03846	STRPU_17299, STRPU_17301, STRPU_22434, STRPU_00184, STRPU_17300
OG0000660	YEAST05150, YEAST01587	STRPU_13999, STRPU_02267, STRPU_17655
OG0000662	YEAST05937	STRPU_09621, STRPU_09696, STRPU_09739, STRPU_08344
OG0000663	YEAST02675, YEAST03294	STRPU_08014, STRPU_19333
OG0000672	YEAST03771	STRPU_06933
OG0000672	YEAST00984	STRPU_20779
OG0000676	YEAST01503	STRPU_24012
OG0000676	YEAST02962	STRPU_06999
OG0000683	YEAST03152, YEAST03537, YEAST05938	STRPU_06350, STRPU_18850
OG0000690	YEAST04874	STRPU_08035
OG0000690	YEAST02296	STRPU_17155
OG0000692	YEAST01969	STRPU_19316, STRPU_01823
OG0000692	YEAST03487	STRPU_20690, STRPU_24956, STRPU_15312
OG0000694	YEAST05978	STRPU_20350, STRPU_19824, STRPU_19833, STRPU_19828, STRPU_19453, STRPU_19835, STRPU_19830, STRPU_19823, STRPU_19832, STRPU_19837, STRPU_19838, STRPU_19827, STRPU_19825, STRPU_19829, STRPU_19834, STRPU_19841, STRPU_19840, STRPU_19847, STRPU_19822
OG0000699	YEAST05706	STRPU_06143, STRPU_06144, STRPU_06710
OG0000701	YEAST02239, YEAST02223	STRPU_09920, STRPU_09919
OG0000703	YEAST05314	STRPU_04784
OG0000708	YEAST03515	STRPU_23010
OG0000708	YEAST05997	STRPU_18963, STRPU_18977, STRPU_00882, STRPU_23008
OG0000709	YEAST00057	STRPU_20537, STRPU_20711, STRPU_21274, STRPU_21845
OG0000724	YEAST02013	STRPU_21597
OG0000732	YEAST04978	STRPU_06871, STRPU_18394
OG0000733	YEAST05474	STRPU_21566, STRPU_20797
OG0000735	YEAST05945	STRPU_24284
OG0000737	YEAST05188	STRPU_09307
OG0000744	YEAST05951	STRPU_25504, STRPU_25505, STRPU_25506
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	STRPU_20528, STRPU_20529, STRPU_19598
OG0000752	YEAST01432, YEAST04483	STRPU_10384, STRPU_17910, STRPU_19015
OG0000753	YEAST01034, YEAST02037	STRPU_23569, STRPU_03838, STRPU_23562
OG0000757	YEAST01489	STRPU_05504, STRPU_14828
OG0000758	YEAST01504	STRPU_24891
OG0000759	YEAST02878, YEAST05681	STRPU_25007
OG0000768	YEAST02560, YEAST04269	STRPU_23593
OG0000772	YEAST04929	STRPU_04727, STRPU_04734, STRPU_04728, STRPU_15066, STRPU_25730, STRPU_11346, STRPU_25314
OG0000776	YEAST04571, YEAST00195, YEAST00312	STRPU_25591, STRPU_07752
OG0000777	YEAST06297, YEAST02627	STRPU_26898, STRPU_26897, STRPU_08984, STRPU_08368
OG0000779	YEAST03812	STRPU_20061, STRPU_15696
OG0000782	YEAST01393, YEAST05616	STRPU_27022
OG0000791	YEAST02375	STRPU_13705, STRPU_00440
OG0000794	YEAST04627	STRPU_15852, STRPU_15804, STRPU_16063
OG0000800	YEAST03636	STRPU_09950, STRPU_09973, STRPU_07425, STRPU_15030
OG0000809	YEAST01998	STRPU_18374
OG0000817	YEAST00389	STRPU_22107, STRPU_04676
OG0000817	YEAST06112	STRPU_14081, STRPU_00839
OG0000824	YEAST01319, YEAST02883	STRPU_25265
OG0000828	YEAST00945, YEAST05476, YEAST00075	STRPU_23372
OG0000828	YEAST02290	STRPU_15585, STRPU_02220
OG0000837	YEAST06222	STRPU_24375
OG0000841	YEAST02416	STRPU_25231
OG0000847	YEAST02530, YEAST00209	STRPU_14471
