Orthogroup	YEAST	HUMAN
OG0000256	YEAST00266	HUMAN29239, HUMAN14982, HUMAN23740, HUMAN09481, HUMAN01743
OG0000258	YEAST00118	HUMAN16259, HUMAN13200, HUMAN10725, HUMAN13201, HUMAN08490, HUMAN21035, HUMAN02853, HUMAN08489, HUMAN16922
OG0000260	YEAST04323	HUMAN27590, HUMAN26833, HUMAN20959, HUMAN27591, HUMAN03777, HUMAN24200, HUMAN24199
OG0000265	YEAST05674	HUMAN06212
OG0000265	YEAST03885, YEAST03714	HUMAN06211
OG0000272	YEAST02076, YEAST01066	HUMAN28095, HUMAN11703, HUMAN16604, HUMAN00549, HUMAN28096, HUMAN19042, HUMAN26465, HUMAN20035
OG0000273	YEAST05751	HUMAN07421
OG0000278	YEAST03847	HUMAN07375
OG0000278	YEAST03806	HUMAN15042, HUMAN15043, HUMAN15041
OG0000278	YEAST04060	HUMAN16991
OG0000278	YEAST01107	HUMAN08210, HUMAN08208, HUMAN08211
OG0000284	YEAST05621	HUMAN01286, HUMAN01172, HUMAN24826, HUMAN14646, HUMAN01285, HUMAN28991
OG0000289	YEAST00645	HUMAN24512, HUMAN25207, HUMAN00853, HUMAN23391, HUMAN25308
OG0000305	YEAST04899	HUMAN06757, HUMAN06758, HUMAN28372, HUMAN28371, HUMAN18211, HUMAN06375, HUMAN06374
OG0000308	YEAST02548	HUMAN26518, HUMAN17798, HUMAN17796, HUMAN17797, HUMAN15356, HUMAN11053, HUMAN09346, HUMAN09345, HUMAN00635, HUMAN23142
OG0000310	YEAST02635	HUMAN29760, HUMAN29761
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	HUMAN09558, HUMAN23442, HUMAN29892, HUMAN22837, HUMAN07566
OG0000313	YEAST05106	HUMAN23081, HUMAN23082, HUMAN07848, HUMAN07849, HUMAN18542, HUMAN05865, HUMAN18541
OG0000316	YEAST01673	HUMAN23016, HUMAN03066, HUMAN23015, HUMAN23014, HUMAN23728, HUMAN14541
OG0000317	YEAST01356	HUMAN29302, HUMAN16638, HUMAN00781, HUMAN16611, HUMAN00683, HUMAN28101, HUMAN16612, HUMAN28103, HUMAN28102
OG0000321	YEAST03264	HUMAN01031, HUMAN28466, HUMAN10412, HUMAN07804, HUMAN21631, HUMAN30401, HUMAN30400, HUMAN07803, HUMAN21629
OG0000323	YEAST02249	HUMAN02811, HUMAN11502, HUMAN22842, HUMAN01778, HUMAN02810, HUMAN19638
OG0000326	YEAST06268, YEAST05286	HUMAN00138, HUMAN21700, HUMAN21697, HUMAN21698, HUMAN11971, HUMAN00136, HUMAN21699, HUMAN00137, HUMAN00135, HUMAN00139
OG0000326	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	HUMAN00388, HUMAN00387, HUMAN00389
OG0000327	YEAST01354	HUMAN01408, HUMAN02360, HUMAN01407, HUMAN02359, HUMAN01411
OG0000334	YEAST05626	HUMAN23299, HUMAN26236
OG0000338	YEAST02967	HUMAN13066, HUMAN19731, HUMAN19729, HUMAN13067, HUMAN19730, HUMAN10881, HUMAN18523, HUMAN18521
OG0000338	YEAST04211	HUMAN26174
OG0000343	YEAST03024, YEAST02736	HUMAN25328, HUMAN25327, HUMAN05299
OG0000345	YEAST01884	HUMAN23757, HUMAN23095, HUMAN03649
OG0000352	YEAST04069	HUMAN28462, HUMAN14440, HUMAN14836, HUMAN07060, HUMAN25510, HUMAN07061, HUMAN17429
OG0000357	YEAST01925	HUMAN04990, HUMAN07295, HUMAN10915, HUMAN27044, HUMAN28888, HUMAN29931, HUMAN29932
OG0000359	YEAST02489	HUMAN11476, HUMAN11475, HUMAN10684, HUMAN01488, HUMAN01487, HUMAN10921, HUMAN10920, HUMAN30482
OG0000363	YEAST04081, YEAST05870	HUMAN02625, HUMAN24877, HUMAN07338, HUMAN07337, HUMAN24873, HUMAN26508
OG0000365	YEAST05831	HUMAN05540, HUMAN21291, HUMAN01955, HUMAN21290, HUMAN14168, HUMAN14172, HUMAN14169, HUMAN01287, HUMAN14702, HUMAN14705, HUMAN14704
OG0000367	YEAST02141, YEAST03746, YEAST03210	HUMAN02861, HUMAN21458, HUMAN29832, HUMAN29831, HUMAN19257, HUMAN13779, HUMAN27433
OG0000372	YEAST05988	HUMAN22749, HUMAN00421, HUMAN23778, HUMAN18835, HUMAN16705
OG0000373	YEAST02023	HUMAN07152, HUMAN07150, HUMAN04999, HUMAN16793
OG0000373	YEAST04495, YEAST01417	HUMAN16794
OG0000380	YEAST01047	HUMAN22952, HUMAN24062, HUMAN28346, HUMAN22662, HUMAN05376, HUMAN28299, HUMAN10379, HUMAN18385, HUMAN04882, HUMAN18649
OG0000385	YEAST03496	HUMAN17828, HUMAN26509, HUMAN26510, HUMAN26041
OG0000393	YEAST04072, YEAST04071	HUMAN07234, HUMAN27562
OG0000393	YEAST01302	HUMAN13374, HUMAN27563
OG0000397	YEAST05080	HUMAN22189, HUMAN03732, HUMAN27717, HUMAN17188
OG0000399	YEAST02160	HUMAN08526, HUMAN09598, HUMAN16706, HUMAN01751, HUMAN09596, HUMAN14913
OG0000400	YEAST05911	HUMAN25403
OG0000402	YEAST01657, YEAST01929	HUMAN26844, HUMAN27407, HUMAN03424, HUMAN19232, HUMAN08155
OG0000405	YEAST06055, YEAST00411	HUMAN23578, HUMAN01875, HUMAN10099, HUMAN23576, HUMAN23577, HUMAN15074, HUMAN15075
OG0000412	YEAST01894	HUMAN03116
OG0000412	YEAST04469	HUMAN03115, HUMAN29280
OG0000413	YEAST04905, YEAST05340	HUMAN15492, HUMAN09264, HUMAN18689, HUMAN15493
OG0000413	YEAST02838	HUMAN22024, HUMAN05237, HUMAN30227
OG0000419	YEAST05989	HUMAN03932, HUMAN03931, HUMAN03930, HUMAN03929, HUMAN16074, HUMAN02377, HUMAN04658, HUMAN04656, HUMAN04654, HUMAN04657, HUMAN04655, HUMAN04659, HUMAN02414
OG0000420	YEAST03886	HUMAN07576, HUMAN23840, HUMAN23841
OG0000424	YEAST03563	HUMAN03402, HUMAN03401, HUMAN03400, HUMAN03399, HUMAN03403, HUMAN03410
OG0000426	YEAST03440	HUMAN24154
OG0000426	YEAST03848	HUMAN16388
OG0000426	YEAST01121	HUMAN24155
OG0000427	YEAST02655, YEAST02439	HUMAN04181, HUMAN00426, HUMAN21885
OG0000429	YEAST02285	HUMAN21086, HUMAN21085, HUMAN13379
OG0000431	YEAST04014	HUMAN05407, HUMAN10656, HUMAN22396, HUMAN22397, HUMAN05405, HUMAN05406, HUMAN21847, HUMAN07891, HUMAN07892, HUMAN07890
OG0000433	YEAST06177, YEAST00117	HUMAN13343, HUMAN13341, HUMAN12146, HUMAN13342, HUMAN25706, HUMAN25705, HUMAN21369
OG0000442	YEAST05012	HUMAN21746, HUMAN07667, HUMAN21390, HUMAN00644, HUMAN25507, HUMAN26607, HUMAN13221
OG0000444	YEAST01115, YEAST04019	HUMAN06130, HUMAN06129, HUMAN02376, HUMAN02375, HUMAN02373, HUMAN02374, HUMAN05043, HUMAN05044, HUMAN20398
OG0000445	YEAST03068	HUMAN25336, HUMAN25337
OG0000450	YEAST04709, YEAST05909	HUMAN21185, HUMAN25687, HUMAN10924, HUMAN04606, HUMAN04607, HUMAN07391, HUMAN10922, HUMAN26408, HUMAN26409, HUMAN07392
OG0000461	YEAST00120	HUMAN26401, HUMAN26402, HUMAN07313, HUMAN07312, HUMAN07311, HUMAN07310
OG0000467	YEAST05317	HUMAN02442
OG0000467	YEAST03162	HUMAN29942, HUMAN20849, HUMAN02441, HUMAN02850, HUMAN02852, HUMAN02440, HUMAN20851
OG0000468	YEAST04372	HUMAN29031, HUMAN08624
OG0000469	YEAST02179, YEAST05440	HUMAN20925, HUMAN02455, HUMAN20460, HUMAN20461, HUMAN02876, HUMAN30502, HUMAN30503
OG0000469	YEAST00863	HUMAN23651
OG0000474	YEAST02384	HUMAN06611, HUMAN06612, HUMAN06609, HUMAN12853, HUMAN12852, HUMAN20808, HUMAN18157
OG0000476	YEAST03038	HUMAN29055, HUMAN29052, HUMAN29053
OG0000479	YEAST04139	HUMAN00548, HUMAN25778, HUMAN30326, HUMAN04562, HUMAN19754, HUMAN19753
OG0000480	YEAST05750	HUMAN21970, HUMAN21960, HUMAN21962, HUMAN00364, HUMAN00362, HUMAN00363
OG0000481	YEAST01040	HUMAN10860, HUMAN10858
OG0000481	YEAST00916	HUMAN29163, HUMAN29162
OG0000481	YEAST00827, YEAST00774	HUMAN23804, HUMAN27663, HUMAN23805, HUMAN27664
OG0000484	YEAST05824	HUMAN14629, HUMAN01113, HUMAN01114, HUMAN23384, HUMAN23383, HUMAN23382, HUMAN15014
OG0000486	YEAST03122, YEAST04270	HUMAN22789, HUMAN03580
OG0000487	YEAST04968	HUMAN08710
OG0000487	YEAST02728	HUMAN13410
OG0000488	YEAST01414	HUMAN00615, HUMAN00613, HUMAN19011, HUMAN08584, HUMAN08583, HUMAN19010
OG0000490	YEAST04297, YEAST00894	HUMAN01260, HUMAN14885, HUMAN24885, HUMAN24884, HUMAN29378
OG0000505	YEAST03067	HUMAN14348, HUMAN28801, HUMAN09568, HUMAN09567, HUMAN01623, HUMAN09569, HUMAN28802, HUMAN01622
OG0000508	YEAST04626	HUMAN12380, HUMAN26281, HUMAN12381, HUMAN06650, HUMAN18003, HUMAN07104, HUMAN11706
OG0000510	YEAST04569, YEAST05730	HUMAN12686, HUMAN27025, HUMAN07364, HUMAN05041
OG0000515	YEAST04784, YEAST05876	HUMAN03447
OG0000519	YEAST04594, YEAST03616	HUMAN19983, HUMAN19982, HUMAN19989, HUMAN19990, HUMAN19995, HUMAN19992, HUMAN19985
OG0000520	YEAST02979	HUMAN07303, HUMAN10919, HUMAN15317, HUMAN05571
OG0000523	YEAST04693, YEAST04692	HUMAN10111
OG0000523	YEAST01952, YEAST05838, YEAST06082	HUMAN07168, HUMAN28721, HUMAN28788, HUMAN09547, HUMAN10110, HUMAN07167
OG0000529	YEAST05790, YEAST00048	HUMAN02129, HUMAN17231, HUMAN17232, HUMAN05856, HUMAN11986, HUMAN00177
OG0000534	YEAST04932	HUMAN12813, HUMAN17739, HUMAN06369, HUMAN12812, HUMAN12811, HUMAN06370
OG0000538	YEAST00499	HUMAN17702, HUMAN06667, HUMAN06666, HUMAN03004, HUMAN12817
OG0000552	YEAST05717	HUMAN23579, HUMAN23580, HUMAN13654, HUMAN30481
OG0000561	YEAST06202, YEAST00331	HUMAN08902, HUMAN08905, HUMAN04883, HUMAN23834
OG0000562	YEAST00314	HUMAN14967, HUMAN14968, HUMAN20748, HUMAN20749
OG0000563	YEAST01406	HUMAN07268, HUMAN13046, HUMAN07267
OG0000566	YEAST05789, YEAST00049	HUMAN13951, HUMAN09508, HUMAN09507, HUMAN12454
OG0000573	YEAST05675	HUMAN05881, HUMAN26705, HUMAN21827, HUMAN00083, HUMAN09505
OG0000576	YEAST00470, YEAST00193	HUMAN06494, HUMAN17099, HUMAN19648, HUMAN06497, HUMAN20975, HUMAN06495, HUMAN06496
OG0000578	YEAST01208, YEAST00759	HUMAN04779, HUMAN04778, HUMAN04780, HUMAN04777, HUMAN16988, HUMAN16989, HUMAN08467, HUMAN15796
OG0000579	YEAST02484	HUMAN06899, HUMAN02365, HUMAN20498, HUMAN30498
OG0000582	YEAST03615	HUMAN14892, HUMAN02173, HUMAN29110, HUMAN24912, HUMAN24913
OG0000587	YEAST04063	HUMAN18299, HUMAN18301, HUMAN26727, HUMAN29633, HUMAN29632
OG0000587	YEAST03372	HUMAN15867
OG0000588	YEAST05197	HUMAN14858, HUMAN01187, HUMAN28650, HUMAN05176, HUMAN05175
OG0000590	YEAST05110, YEAST05552, YEAST03727	HUMAN12677, HUMAN12674, HUMAN20582, HUMAN20581, HUMAN12676, HUMAN06597, HUMAN13708, HUMAN19211
OG0000592	YEAST00388	HUMAN28912, HUMAN11498, HUMAN04372, HUMAN04369, HUMAN04371
OG0000597	YEAST04330	HUMAN10866, HUMAN12318, HUMAN05005, HUMAN07090, HUMAN09706, HUMAN28946
OG0000609	YEAST05180	HUMAN08370, HUMAN07817, HUMAN18125, HUMAN18126, HUMAN06700
OG0000612	YEAST02370	HUMAN22280, HUMAN03773, HUMAN17186
OG0000612	YEAST03629	HUMAN18998
OG0000613	YEAST01072	HUMAN25530, HUMAN19034, HUMAN00632, HUMAN23544, HUMAN23543
OG0000623	YEAST02411	HUMAN29673, HUMAN25277
OG0000623	YEAST05090	HUMAN13183, HUMAN20164
OG0000627	YEAST02116, YEAST03957	HUMAN09737, HUMAN09736, HUMAN05647, HUMAN05648, HUMAN15261, HUMAN15260, HUMAN21321
OG0000639	YEAST02015	HUMAN09533, HUMAN09532, HUMAN14008, HUMAN14006, HUMAN11331, HUMAN27984, HUMAN18874
OG0000642	YEAST00618	HUMAN22651, HUMAN16907
OG0000645	YEAST05140	HUMAN10998
OG0000645	YEAST04743	HUMAN28596, HUMAN09882
OG0000647	YEAST04534	HUMAN03824, HUMAN18655, HUMAN03823
OG0000648	YEAST04178, YEAST05641	HUMAN24454, HUMAN24452, HUMAN30639, HUMAN30638, HUMAN30677, HUMAN30667, HUMAN24455, HUMAN11456
OG0000657	YEAST03846	HUMAN28804, HUMAN09580
OG0000660	YEAST05150, YEAST01587	HUMAN17951, HUMAN29765, HUMAN20002, HUMAN12473, HUMAN18492
OG0000662	YEAST05937	HUMAN07575, HUMAN24055, HUMAN20160, HUMAN13608, HUMAN20161, HUMAN20159
OG0000663	YEAST02675, YEAST03294	HUMAN28104, HUMAN16610, HUMAN28105
OG0000665	YEAST03843	HUMAN28608
OG0000672	YEAST03771	HUMAN21925, HUMAN11935
OG0000672	YEAST00984	HUMAN13493
OG0000676	YEAST01503	HUMAN28075, HUMAN19050, HUMAN28076
OG0000676	YEAST02962	HUMAN18527, HUMAN30341, HUMAN07788
OG0000683	YEAST03152, YEAST03537, YEAST05938	HUMAN29566, HUMAN28759, HUMAN14845, HUMAN01197, HUMAN01198
OG0000690	YEAST04874	HUMAN00660, HUMAN25490
OG0000690	YEAST02296	HUMAN30038
OG0000692	YEAST03487	HUMAN11735
OG0000694	YEAST05978	HUMAN02728, HUMAN02501, HUMAN17273
OG0000699	YEAST05706	HUMAN05215, HUMAN29998, HUMAN29994, HUMAN29993, HUMAN29997, HUMAN26731, HUMAN26730, HUMAN18295, HUMAN05213, HUMAN05214
OG0000701	YEAST02239, YEAST02223	HUMAN24288, HUMAN03226, HUMAN03225, HUMAN17194, HUMAN26260, HUMAN26261
OG0000703	YEAST05314	HUMAN24282, HUMAN22696, HUMAN22695, HUMAN22697
OG0000708	YEAST05997	HUMAN01283, HUMAN06223, HUMAN30508, HUMAN30507
OG0000709	YEAST00057	HUMAN04953, HUMAN25132, HUMAN03251
OG0000724	YEAST02013	HUMAN25095, HUMAN09359, HUMAN09361, HUMAN09360
OG0000732	YEAST04978	HUMAN30215, HUMAN30214, HUMAN18534, HUMAN18537, HUMAN18535, HUMAN18536, HUMAN14638, HUMAN14637, HUMAN14636, HUMAN01096
OG0000733	YEAST05474	HUMAN08500, HUMAN04842, HUMAN02482, HUMAN08921, HUMAN08918, HUMAN25076
OG0000735	YEAST05945	HUMAN25549, HUMAN25550, HUMAN18959, HUMAN28130, HUMAN28133, HUMAN18960
OG0000737	YEAST05188	HUMAN03705, HUMAN17101, HUMAN17102
OG0000744	YEAST05951	HUMAN00289, HUMAN00292, HUMAN00290, HUMAN00281, HUMAN07979, HUMAN27970, HUMAN18870
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	HUMAN16914, HUMAN16913, HUMAN16912
OG0000752	YEAST01432, YEAST04483	HUMAN03702, HUMAN29677, HUMAN29676, HUMAN29675, HUMAN00918, HUMAN14778
OG0000753	YEAST01034, YEAST02037	HUMAN09485, HUMAN02007, HUMAN05622, HUMAN05621
OG0000757	YEAST01489	HUMAN13317, HUMAN25714, HUMAN19628, HUMAN19627, HUMAN19629, HUMAN10800, HUMAN18080
OG0000758	YEAST01504	HUMAN28239, HUMAN00461, HUMAN00462, HUMAN28238, HUMAN16598
