Orthogroup	YEAST	HELIO_ok
OG0000372	YEAST05988	HELIO_08010, HELIO_09904, HELIO_12662, HELIO_08215
OG0000373	YEAST02023	HELIO_07356
OG0000380	YEAST01047	HELIO_05393, HELIO_03707
OG0000385	YEAST03496	HELIO_06965, HELIO_07014, HELIO_02136, HELIO_00841, HELIO_02137
OG0000393	YEAST04072, YEAST04071	HELIO_12162, HELIO_00926, HELIO_04233, HELIO_12760
OG0000393	YEAST01302	HELIO_07006
OG0000397	YEAST05080	HELIO_10979
OG0000399	YEAST02160	HELIO_09726, HELIO_07050, HELIO_04949, HELIO_03771
OG0000400	YEAST05911	HELIO_10775
OG0000402	YEAST01657, YEAST01929	HELIO_08210, HELIO_08672, HELIO_08610
OG0000405	YEAST06055, YEAST00411	HELIO_10657
OG0000412	YEAST04469	HELIO_09547
OG0000413	YEAST04905, YEAST05340	HELIO_08207, HELIO_08206
OG0000413	YEAST02838	HELIO_10878
OG0000419	YEAST05989	HELIO_02114
OG0000420	YEAST03886	HELIO_11506, HELIO_10479, HELIO_04176
OG0000424	YEAST03563	HELIO_07447, HELIO_02671
OG0000426	YEAST03440	HELIO_00568
OG0000427	YEAST02655, YEAST02439	HELIO_11307, HELIO_03641, HELIO_07136
OG0000429	YEAST02285	HELIO_04434, HELIO_07593
OG0000431	YEAST04014	HELIO_02207, HELIO_05550, HELIO_04546
OG0000433	YEAST06177, YEAST00117	HELIO_10148, HELIO_09108
OG0000437	YEAST03074, YEAST02073	HELIO_04999, HELIO_08664
OG0000442	YEAST05012	HELIO_01730, HELIO_02982, HELIO_12491
OG0000444	YEAST01115, YEAST04019	HELIO_00903, HELIO_04957
OG0000445	YEAST03068	HELIO_01787, HELIO_05217
OG0000450	YEAST04709, YEAST05909	HELIO_01846
OG0000461	YEAST00120	HELIO_03731, HELIO_03732, HELIO_06581
OG0000467	YEAST03162	HELIO_10923
OG0000468	YEAST04372	HELIO_00401, HELIO_10281, HELIO_03768, HELIO_09960
OG0000469	YEAST02179, YEAST05440	HELIO_06536
OG0000469	YEAST02333, YEAST00863	HELIO_02957
OG0000474	YEAST02384	HELIO_07485, HELIO_10673
OG0000476	YEAST03038	HELIO_11845, HELIO_05685, HELIO_05620
OG0000479	YEAST04139	HELIO_08760, HELIO_02948
OG0000480	YEAST05750	HELIO_05557, HELIO_08414, HELIO_08413
OG0000481	YEAST01040	HELIO_12216
OG0000481	YEAST00916	HELIO_11178
OG0000481	YEAST00827, YEAST00774	HELIO_09259
OG0000484	YEAST05824	HELIO_05916
OG0000486	YEAST03122, YEAST04270	HELIO_10558, HELIO_11461, HELIO_05022, HELIO_11212, HELIO_06172, HELIO_02564, HELIO_00117
OG0000487	YEAST04968	HELIO_06499
OG0000487	YEAST02728	HELIO_07290
OG0000488	YEAST01414	HELIO_02611
OG0000490	YEAST04297, YEAST00894	HELIO_06690
OG0000505	YEAST03067	HELIO_05319
OG0000508	YEAST04626	HELIO_04860, HELIO_10897
OG0000510	YEAST04569, YEAST05730	HELIO_05326, HELIO_00614, HELIO_06648
OG0000515	YEAST04784, YEAST05876	HELIO_01437, HELIO_00462, HELIO_05122, HELIO_00094
OG0000519	YEAST04594, YEAST03616	HELIO_03762, HELIO_07021, HELIO_05761, HELIO_00935
OG0000520	YEAST02979	HELIO_02643, HELIO_02641, HELIO_10311
OG0000523	YEAST01952, YEAST05838, YEAST06082	HELIO_12547, HELIO_01413
OG0000534	YEAST04932	HELIO_09230, HELIO_00845, HELIO_05373, HELIO_12243
OG0000538	YEAST00499	HELIO_11897, HELIO_11896
OG0000549	YEAST06280, YEAST02610, YEAST05060	HELIO_05772
OG0000552	YEAST05717	HELIO_04288, HELIO_02628
OG0000561	YEAST06202, YEAST00331	HELIO_11408
OG0000562	YEAST00314	HELIO_07448, HELIO_12786
OG0000566	YEAST05789, YEAST00049	HELIO_06134, HELIO_05991, HELIO_09539
OG0000573	YEAST05675	HELIO_11819, HELIO_09237
OG0000576	YEAST00470, YEAST00193	HELIO_04420
OG0000578	YEAST01208, YEAST00759	HELIO_04018
OG0000579	YEAST02484	HELIO_08075
OG0000582	YEAST03615	HELIO_05267
OG0000587	YEAST04063	HELIO_08335
OG0000587	YEAST03372	HELIO_02916
OG0000588	YEAST05197	HELIO_06031, HELIO_08850
OG0000590	YEAST05110, YEAST05552, YEAST03727	HELIO_04845, HELIO_05331
OG0000592	YEAST00388	HELIO_11966, HELIO_10886
OG0000597	YEAST04330	HELIO_02513, HELIO_06072
OG0000609	YEAST05180	HELIO_02166, HELIO_01095
OG0000612	YEAST02370	HELIO_12611
OG0000612	YEAST03629	HELIO_07229, HELIO_04425
OG0000613	YEAST01072	HELIO_03222, HELIO_12531
OG0000623	YEAST02411	HELIO_01153
OG0000623	YEAST05090	HELIO_01575
OG0000627	YEAST02116, YEAST03957	HELIO_01431
OG0000639	YEAST02015	HELIO_03049, HELIO_03048, HELIO_09484
OG0000642	YEAST00618	HELIO_06112, HELIO_06155
OG0000645	YEAST05140	HELIO_03716
OG0000645	YEAST04743	HELIO_08748
OG0000647	YEAST04534	HELIO_01252, HELIO_01414
OG0000648	YEAST04178, YEAST05641	HELIO_05483, HELIO_02387
OG0000657	YEAST03846	HELIO_00368, HELIO_07143, HELIO_10387
OG0000660	YEAST05150, YEAST01587	HELIO_01158, HELIO_12701
OG0000662	YEAST05937	HELIO_03239, HELIO_05920
OG0000663	YEAST02675, YEAST03294	HELIO_00575, HELIO_09383, HELIO_07980
OG0000672	YEAST03771	HELIO_01185
OG0000672	YEAST00984	HELIO_02468
OG0000676	YEAST01503	HELIO_11959
OG0000676	YEAST02962	HELIO_04321
OG0000683	YEAST03152, YEAST03537, YEAST05938	HELIO_12315, HELIO_10017
OG0000690	YEAST04874	HELIO_00922
OG0000690	YEAST02296	HELIO_02624
OG0000692	YEAST01969	HELIO_12014
OG0000692	YEAST03487	HELIO_02500
OG0000694	YEAST05978	HELIO_08916, HELIO_05625
OG0000699	YEAST05706	HELIO_11713, HELIO_04317
OG0000701	YEAST02239, YEAST02223	HELIO_11804, HELIO_02160
OG0000703	YEAST05314	HELIO_02836
OG0000708	YEAST05997	HELIO_04126, HELIO_01919
OG0000709	YEAST00057	HELIO_07079, HELIO_05292
OG0000724	YEAST02013	HELIO_09105
OG0000732	YEAST04978	HELIO_08995, HELIO_10738
OG0000733	YEAST05474	HELIO_03055, HELIO_00314
OG0000735	YEAST05945	HELIO_11007
OG0000737	YEAST05188	HELIO_05852
OG0000744	YEAST05951	HELIO_12402, HELIO_04178
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	HELIO_02255, HELIO_11895
OG0000752	YEAST01432, YEAST04483	HELIO_01912, HELIO_05368, HELIO_02501
OG0000753	YEAST01034, YEAST02037	HELIO_08985, HELIO_08986, HELIO_11488
OG0000757	YEAST01489	HELIO_03294
OG0000758	YEAST01504	HELIO_08482, HELIO_08479
OG0000759	YEAST02878, YEAST05681	HELIO_08744
OG0000768	YEAST02560, YEAST04269	HELIO_00359
OG0000772	YEAST04929	HELIO_08462, HELIO_06060, HELIO_07606, HELIO_02715
OG0000776	YEAST04571, YEAST00195, YEAST00312	HELIO_04225, HELIO_09018
OG0000777	YEAST06297, YEAST02627	HELIO_01199, HELIO_06142, HELIO_04823
OG0000779	YEAST03812	HELIO_11967, HELIO_02465
OG0000782	YEAST01393, YEAST05616	HELIO_03195
OG0000791	YEAST02375	HELIO_07748
OG0000794	YEAST04627	HELIO_08580, HELIO_07646
OG0000800	YEAST03636	HELIO_11766, HELIO_01323
OG0000809	YEAST01998	HELIO_01972
OG0000817	YEAST00389	HELIO_10156, HELIO_06308
OG0000817	YEAST06112	HELIO_02523
OG0000824	YEAST01319, YEAST02883	HELIO_00999
OG0000828	YEAST00945, YEAST05476, YEAST00075	HELIO_02812
OG0000828	YEAST02290	HELIO_08756
OG0000837	YEAST06222	HELIO_06103
OG0000841	YEAST02416	HELIO_01420
OG0000847	YEAST02530, YEAST00209	HELIO_07547
OG0000849	YEAST04475	HELIO_02567
OG0000850	YEAST04287	HELIO_09938, HELIO_06017
OG0000852	YEAST01266	HELIO_03095, HELIO_01058
OG0000855	YEAST04755	HELIO_00071, HELIO_07301
OG0000857	YEAST00309	HELIO_09917
OG0000868	YEAST06157	HELIO_01384
OG0000871	YEAST03857	HELIO_05455, HELIO_10685, HELIO_01060, HELIO_09841
OG0000872	YEAST03222, YEAST03741	HELIO_10138
OG0000875	YEAST00077	HELIO_11887
OG0000876	YEAST05556	HELIO_09814
OG0000879	YEAST06123	HELIO_12212, HELIO_12213
OG0000888	YEAST00288	HELIO_05889, HELIO_01489
OG0000889	YEAST00175	HELIO_04264, HELIO_00210
OG0000894	YEAST03763	HELIO_06317, HELIO_06932
OG0000896	YEAST02476	HELIO_12759
OG0000896	YEAST04923	HELIO_06843
OG0000898	YEAST06255, YEAST03431	HELIO_04279
OG0000905	YEAST00599	HELIO_07570
OG0000907	YEAST02193	HELIO_12545
OG0000913	YEAST03557, YEAST05101	HELIO_06048
OG0000914	YEAST04745	HELIO_08250
OG0000921	YEAST02526	HELIO_03668
OG0000925	YEAST05667, YEAST06025	HELIO_09608, HELIO_02417
OG0000932	YEAST03525	HELIO_12492, HELIO_07928
OG0000933	YEAST06306	HELIO_10228
OG0000934	YEAST02582, YEAST06252	HELIO_01254
OG0000934	YEAST05040	HELIO_02606
OG0000935	YEAST02843	HELIO_05900
OG0000943	YEAST03805	HELIO_08389, HELIO_02640, HELIO_02892
OG0000944	YEAST04878	HELIO_00838, HELIO_00839
OG0000954	YEAST05503, YEAST01249	HELIO_08553, HELIO_10186
OG0000955	YEAST00837	HELIO_03286
OG0000955	YEAST04295	HELIO_07820
OG0000963	YEAST03685, YEAST00482, YEAST01749	HELIO_01247, HELIO_02112
OG0000964	YEAST04606	HELIO_02016
OG0000965	YEAST02552	HELIO_02433, HELIO_01613
OG0000965	YEAST02050	HELIO_02543
OG0000967	YEAST05075	HELIO_05380, HELIO_03536, HELIO_01717
OG0000970	YEAST04028	HELIO_10364, HELIO_01898
OG0000982	YEAST01182	HELIO_07584
OG0000984	YEAST01493, YEAST00575	HELIO_08631
OG0000986	YEAST01481, YEAST04073	HELIO_03699
OG0000987	YEAST04734, YEAST02734	HELIO_01520
OG0000994	YEAST02360	HELIO_02373, HELIO_07661
OG0000996	YEAST00033	HELIO_08470
OG0001001	YEAST00341	HELIO_03180, HELIO_03179, HELIO_08058
OG0001003	YEAST00644	HELIO_03157, HELIO_03158
OG0001006	YEAST04513	HELIO_12602, HELIO_03139
OG0001016	YEAST00830	HELIO_06921, HELIO_03156
OG0001018	YEAST01172	HELIO_02325, HELIO_10601
OG0001024	YEAST01024, YEAST00308	HELIO_04378
OG0001033	YEAST02124	HELIO_06818
OG0001064	YEAST00458	HELIO_06789
OG0001066	YEAST06311	HELIO_06550, HELIO_03182
OG0001075	YEAST05636	HELIO_03042
OG0001076	YEAST01570	HELIO_10241
OG0001081	YEAST04460	HELIO_05200, HELIO_10290, HELIO_06610, HELIO_11737
OG0001082	YEAST03919, YEAST02905, YEAST05331	HELIO_11176, HELIO_04668
OG0001095	YEAST00773	HELIO_04642, HELIO_03581, HELIO_00438
OG0001096	YEAST01384	HELIO_10964, HELIO_06053, HELIO_11485
OG0001101	YEAST03434	HELIO_11659
OG0001108	YEAST06309	HELIO_00460, HELIO_08728
OG0001113	YEAST05320	HELIO_11363
OG0001114	YEAST00036, YEAST05811	HELIO_01619
OG0001124	YEAST02719	HELIO_05892, HELIO_11497
OG0001132	YEAST05421	HELIO_09410
OG0001133	YEAST04296	HELIO_03341
OG0001133	YEAST03271	HELIO_10368
OG0001134	YEAST05015	HELIO_12460
OG0001135	YEAST03641	HELIO_07754
OG0001140	YEAST03519	HELIO_11252, HELIO_00781
OG0001142	YEAST04001	HELIO_04691, HELIO_05081
OG0001163	YEAST02433	HELIO_12002
OG0001164	YEAST03454	HELIO_09308, HELIO_08913
OG0001171	YEAST04620, YEAST03578	HELIO_07445
OG0001175	YEAST00534	HELIO_05555, HELIO_11278
OG0001177	YEAST06137	HELIO_06526, HELIO_10848
OG0001179	YEAST00368, YEAST04831, YEAST02287	HELIO_04085, HELIO_04405, HELIO_06718
OG0001181	YEAST02051	HELIO_05206
OG0001184	YEAST01681	HELIO_12185, HELIO_02728
OG0001185	YEAST04969	HELIO_12657
OG0001186	YEAST04605, YEAST01886	HELIO_09188, HELIO_01928
OG0001191	YEAST04707	HELIO_06301
OG0001197	YEAST01499	HELIO_04520, HELIO_09598
OG0001201	YEAST05452	HELIO_08628
OG0001204	YEAST05200	HELIO_07269
OG0001207	YEAST04258	HELIO_10416, HELIO_09377
OG0001210	YEAST05511	HELIO_01552
OG0001210	YEAST02318	HELIO_03776
OG0001212	YEAST03971	HELIO_03454, HELIO_05237
OG0001214	YEAST00577	HELIO_04580
OG0001216	YEAST00145	HELIO_01588, HELIO_04477
OG0001219	YEAST03867	HELIO_07847
OG0001236	YEAST03325, YEAST02687, YEAST03269	HELIO_09754
OG0001237	YEAST04380	HELIO_09190, HELIO_06015
OG0001238	YEAST04481	HELIO_06977
OG0001241	YEAST02002	HELIO_03226
OG0001241	YEAST03967, YEAST01074	HELIO_12192
OG0001243	YEAST00739, YEAST05004	HELIO_09478
OG0001250	YEAST02968, YEAST01339	HELIO_01985
OG0001251	YEAST01707	HELIO_03697
OG0001253	YEAST03998	HELIO_02555, HELIO_12144
OG0001254	YEAST04309	HELIO_05460
OG0001262	YEAST00911	HELIO_07069, HELIO_09573, HELIO_00924
OG0001263	YEAST00172	HELIO_01885, HELIO_04331
OG0001268	YEAST03495	HELIO_07801, HELIO_12028
OG0001270	YEAST01703	HELIO_02110
OG0001270	YEAST02398	HELIO_02804
OG0001271	YEAST05227, YEAST00662	HELIO_11242
OG0001278	YEAST01893	HELIO_10541, HELIO_03037, HELIO_09526
OG0001279	YEAST03070	HELIO_12791
OG0001282	YEAST03744	HELIO_03746
OG0001284	YEAST00567, YEAST01498	HELIO_06649, HELIO_03045
OG0001286	YEAST00588, YEAST01486, YEAST03604	HELIO_12601
OG0001291	YEAST04453, YEAST04334	HELIO_10055
OG0001300	YEAST01098	HELIO_09555
OG0001302	YEAST02328	HELIO_02616
OG0001302	YEAST00299	HELIO_08651
OG0001310	YEAST00887	HELIO_02438, HELIO_09331
OG0001318	YEAST03712	HELIO_01897, HELIO_00651
OG0001319	YEAST01678	HELIO_09125
OG0001321	YEAST02280, YEAST01901	HELIO_11153
OG0001322	YEAST06128	HELIO_12344, HELIO_07391
OG0001324	YEAST00078	HELIO_11046
OG0001325	YEAST00793	HELIO_02148
OG0001326	YEAST05395	HELIO_01722
OG0001327	YEAST03176	HELIO_06372, HELIO_03453
OG0001333	YEAST00728	HELIO_07137
OG0001341	YEAST06006	HELIO_06656
OG0001345	YEAST03613	HELIO_00586
OG0001353	YEAST00020, YEAST04041	HELIO_03307, HELIO_07889
OG0001363	YEAST06180	HELIO_03084
OG0001364	YEAST06038, YEAST00402	HELIO_01883, HELIO_04728, HELIO_01882, HELIO_01884
OG0001367	YEAST04688	HELIO_12197
OG0001368	YEAST01821	HELIO_02045
OG0001370	YEAST04067, YEAST05195, YEAST00897	HELIO_08459, HELIO_09154
OG0001371	YEAST00532, YEAST03976	HELIO_02393, HELIO_07671
OG0001372	YEAST00070	HELIO_07415
OG0001372	YEAST02226	HELIO_09833, HELIO_00197
OG0001375	YEAST05499, YEAST05567	HELIO_04841, HELIO_01574
OG0001378	YEAST02300	HELIO_02964
OG0001379	YEAST04155	HELIO_04200
OG0001386	YEAST05114	HELIO_05642, HELIO_02823, HELIO_05955, HELIO_02822
OG0001397	YEAST05731	HELIO_01273, HELIO_04122
OG0001400	YEAST02931	HELIO_09621
OG0001409	YEAST00885, YEAST04659	HELIO_05260
OG0001410	YEAST05046	HELIO_07114, HELIO_01417
OG0001411	YEAST04834	HELIO_03361
OG0001412	YEAST04490	HELIO_06209
OG0001413	YEAST04294	HELIO_11436, HELIO_10258
OG0001414	YEAST06070, YEAST01920	HELIO_00902, HELIO_00745
OG0001415	YEAST04230	HELIO_07046
OG0001415	YEAST00964	HELIO_06445
OG0001421	YEAST05252	HELIO_02587
OG0001422	YEAST05588, YEAST01363	HELIO_00344
OG0001424	YEAST01127	HELIO_00747, HELIO_01935
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	HELIO_11579
OG0001430	YEAST01712	HELIO_08384
OG0001434	YEAST03991	HELIO_10028, HELIO_10029, HELIO_10027
OG0001437	YEAST01264, YEAST02900	HELIO_04743
OG0001445	YEAST01715	HELIO_12183
OG0001449	YEAST03188	HELIO_03720
OG0001449	YEAST05764	HELIO_09662
OG0001452	YEAST05900	HELIO_09077, HELIO_09076
OG0001454	YEAST01495, YEAST00573	HELIO_04552
OG0001456	YEAST00365	HELIO_09922
OG0001459	YEAST03073, YEAST03464	HELIO_08961
OG0001461	YEAST05255	HELIO_04207
OG0001468	YEAST03875, YEAST03904	HELIO_09103
OG0001469	YEAST02070	HELIO_10093
OG0001469	YEAST02765	HELIO_12462
OG0001470	YEAST00369, YEAST05375	HELIO_04948, HELIO_03568
OG0001472	YEAST03031	HELIO_05084, HELIO_09162
OG0001473	YEAST05711	HELIO_01497, HELIO_06355, HELIO_01429
OG0001474	YEAST01416, YEAST05312	HELIO_08603, HELIO_05046
OG0001478	YEAST01984	HELIO_10243
OG0001479	YEAST01132	HELIO_00677
OG0001503	YEAST03032	HELIO_00871
OG0001503	YEAST02920	HELIO_00967
OG0001504	YEAST05406	HELIO_02828, HELIO_12551
OG0001505	YEAST03361	HELIO_01480
OG0001508	YEAST04143	HELIO_05840
OG0001515	YEAST03320	HELIO_11317
OG0001520	YEAST03872	HELIO_10408
OG0001524	YEAST03912	HELIO_05163, HELIO_01459
OG0001525	YEAST00757	HELIO_07734
