Orthogroup	YEAST	CAEEL
OG0000424	YEAST03563	CAEEL14391, CAEEL12816, CAEEL12859, CAEEL15190, CAEEL16002, CAEEL14301, CAEEL11422, CAEEL16478
OG0000426	YEAST03440	CAEEL19943
OG0000427	YEAST02655, YEAST02439	CAEEL05100
OG0000429	YEAST02285	CAEEL02588, CAEEL02589, CAEEL02587, CAEEL02586, CAEEL08573, CAEEL20624
OG0000431	YEAST04014	CAEEL07320
OG0000433	YEAST06177, YEAST00117	CAEEL18122, CAEEL00915, CAEEL00914
OG0000442	YEAST05012	CAEEL10760, CAEEL01105
OG0000444	YEAST01115, YEAST04019	CAEEL18555, CAEEL11270, CAEEL13198, CAEEL07333, CAEEL07332, CAEEL07334, CAEEL18670
OG0000450	YEAST04709, YEAST05909	CAEEL10968, CAEEL18844, CAEEL20319, CAEEL09221
OG0000461	YEAST00120	CAEEL08066
OG0000467	YEAST03162	CAEEL10426, CAEEL00823
OG0000468	YEAST04372	CAEEL05744
OG0000469	YEAST02179, YEAST05440	CAEEL09645
OG0000474	YEAST02384	CAEEL07643, CAEEL07642, CAEEL20370, CAEEL09301
OG0000476	YEAST03038	CAEEL11251, CAEEL00173, CAEEL11252, CAEEL00174, CAEEL00172, CAEEL20693, CAEEL00887, CAEEL13996, CAEEL04770, CAEEL11253, CAEEL00175
OG0000479	YEAST04139	CAEEL00963, CAEEL02339, CAEEL09202
OG0000480	YEAST05750	CAEEL10994, CAEEL19312, CAEEL11292
OG0000481	YEAST01040	CAEEL09089, CAEEL09097
OG0000481	YEAST00916	CAEEL07158
OG0000481	YEAST00827, YEAST00774	CAEEL11815
OG0000484	YEAST05824	CAEEL04965, CAEEL04966
OG0000486	YEAST03122, YEAST04270	CAEEL06528, CAEEL08508, CAEEL10686, CAEEL10332, CAEEL10336, CAEEL11227, CAEEL11225, CAEEL12738
OG0000487	YEAST02728	CAEEL11513, CAEEL06895, CAEEL09676, CAEEL01358, CAEEL14104, CAEEL16728, CAEEL12342
OG0000488	YEAST01414	CAEEL04680, CAEEL05865, CAEEL05866, CAEEL04678, CAEEL04681, CAEEL04679
OG0000490	YEAST04297, YEAST00894	CAEEL00687, CAEEL19730, CAEEL18080
OG0000491	YEAST04587, YEAST03679	CAEEL06407
OG0000508	YEAST04626	CAEEL07260
OG0000510	YEAST04569, YEAST05730	CAEEL10925, CAEEL11992, CAEEL05859, CAEEL08413
OG0000519	YEAST04594, YEAST03616	CAEEL01270, CAEEL18558, CAEEL05173
OG0000520	YEAST02979	CAEEL07490
OG0000523	YEAST01952, YEAST05838, YEAST06082	CAEEL07536, CAEEL13092
OG0000529	YEAST05790, YEAST00048	CAEEL09737, CAEEL12247, CAEEL14327, CAEEL15849
OG0000534	YEAST04932	CAEEL06960
OG0000538	YEAST00499	CAEEL07439
OG0000549	YEAST06280, YEAST02610, YEAST05060	CAEEL05133, CAEEL12072, CAEEL18719, CAEEL18720
OG0000552	YEAST05717	CAEEL08432
OG0000561	YEAST06202, YEAST00331	CAEEL16454, CAEEL15785
OG0000562	YEAST00314	CAEEL12354
OG0000563	YEAST01406	CAEEL11870, CAEEL10514, CAEEL07864
OG0000566	YEAST05789, YEAST00049	CAEEL15091
OG0000573	YEAST05675	CAEEL05940, CAEEL01355
OG0000576	YEAST00470, YEAST00193	CAEEL06802
OG0000578	YEAST01208, YEAST00759	CAEEL16491, CAEEL16492, CAEEL16490
OG0000579	YEAST02484	CAEEL11246, CAEEL09670, CAEEL09822
OG0000582	YEAST03615	CAEEL19553, CAEEL19552
OG0000587	YEAST04063	CAEEL14207
OG0000587	YEAST03372	CAEEL18702
OG0000588	YEAST05197	CAEEL05897
OG0000590	YEAST05110, YEAST05552, YEAST03727	CAEEL01780
OG0000592	YEAST00388	CAEEL14862, CAEEL07829, CAEEL16963, CAEEL16245, CAEEL16244, CAEEL18530, CAEEL04398
OG0000597	YEAST04330	CAEEL08741
OG0000609	YEAST05180	CAEEL11904
OG0000612	YEAST02370	CAEEL07651
OG0000612	YEAST03629	CAEEL06875
OG0000613	YEAST01072	CAEEL14429, CAEEL16442
OG0000623	YEAST02411	CAEEL16178, CAEEL06411
OG0000623	YEAST05090	CAEEL16276
OG0000627	YEAST02116, YEAST03957	CAEEL01126
OG0000639	YEAST02015	CAEEL00195, CAEEL00077
OG0000642	YEAST00618	CAEEL04693
OG0000645	YEAST05140	CAEEL14093
OG0000645	YEAST04743	CAEEL02916
OG0000647	YEAST04534	CAEEL14095, CAEEL17996
OG0000648	YEAST04178, YEAST05641	CAEEL05737, CAEEL19541
OG0000657	YEAST03846	CAEEL01693
OG0000660	YEAST05150, YEAST01587	CAEEL06994, CAEEL18909, CAEEL08649, CAEEL01886, CAEEL01416
OG0000662	YEAST05937	CAEEL07265, CAEEL20546
OG0000663	YEAST02675, YEAST03294	CAEEL07269
OG0000672	YEAST03771	CAEEL07948, CAEEL07943
OG0000672	YEAST00984	CAEEL00089, CAEEL00988
OG0000676	YEAST01503	CAEEL18677, CAEEL18678
OG0000676	YEAST02962	CAEEL14967, CAEEL14968
OG0000683	YEAST03152, YEAST03537, YEAST05938	CAEEL18608, CAEEL02948, CAEEL02946, CAEEL02945, CAEEL02947, CAEEL02944
OG0000690	YEAST04874	CAEEL02355, CAEEL16430
OG0000690	YEAST02296	CAEEL05043
OG0000692	YEAST01969	CAEEL05111, CAEEL03292
OG0000692	YEAST03487	CAEEL01603
OG0000694	YEAST05978	CAEEL05732, CAEEL18784, CAEEL02081, CAEEL02961
OG0000699	YEAST05706	CAEEL07103, CAEEL17353, CAEEL15074, CAEEL14285
OG0000701	YEAST02239, YEAST02223	CAEEL01775, CAEEL09588, CAEEL02242
OG0000703	YEAST05314	CAEEL12761, CAEEL18049, CAEEL09236, CAEEL06037
OG0000708	YEAST05997	CAEEL04786, CAEEL04785, CAEEL12722
OG0000709	YEAST00057	CAEEL11350, CAEEL18734, CAEEL12228, CAEEL16334, CAEEL20586, CAEEL11767, CAEEL01769
OG0000724	YEAST02013	CAEEL01191, CAEEL05666, CAEEL04724, CAEEL07268, CAEEL09317, CAEEL05086, CAEEL04722, CAEEL04707, CAEEL16432, CAEEL08216, CAEEL08788, CAEEL00782, CAEEL05700, CAEEL05106, CAEEL05163, CAEEL15997, CAEEL14388, CAEEL04425, CAEEL10300, CAEEL10254, CAEEL10375, CAEEL12178, CAEEL11651, CAEEL11581, CAEEL15115, CAEEL04753, CAEEL04537
OG0000732	YEAST04978	CAEEL02711, CAEEL11771
OG0000733	YEAST05474	CAEEL17006, CAEEL15524
OG0000735	YEAST05945	CAEEL14834, CAEEL14835
OG0000737	YEAST05188	CAEEL19663, CAEEL06154, CAEEL04487, CAEEL04486
OG0000744	YEAST05951	CAEEL01254
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	CAEEL12683, CAEEL06489
OG0000752	YEAST01432, YEAST04483	CAEEL07346, CAEEL04370
OG0000753	YEAST01034, YEAST02037	CAEEL17415
OG0000757	YEAST01489	CAEEL20030, CAEEL00176
OG0000759	YEAST02878, YEAST05681	CAEEL20475, CAEEL16710
OG0000765	YEAST05027, YEAST03009, YEAST01404	CAEEL19163
OG0000776	YEAST04571, YEAST00195, YEAST00312	CAEEL11265, CAEEL10969, CAEEL09271, CAEEL01206, CAEEL19691, CAEEL14134, CAEEL11345
OG0000777	YEAST06297, YEAST02627	CAEEL19291
OG0000779	YEAST03812	CAEEL01706
OG0000782	YEAST01393, YEAST05616	CAEEL01741
OG0000791	YEAST02375	CAEEL05549, CAEEL20749, CAEEL18452, CAEEL09121
OG0000794	YEAST04627	CAEEL14272, CAEEL13170
OG0000800	YEAST03636	CAEEL15658, CAEEL15660, CAEEL15659, CAEEL15657, CAEEL15661, CAEEL04883, CAEEL16200, CAEEL16199, CAEEL13121, CAEEL11360, CAEEL11396
OG0000809	YEAST01998	CAEEL06250, CAEEL06532
OG0000817	YEAST02132	CAEEL00472
OG0000817	YEAST00389	CAEEL08608
OG0000817	YEAST06112	CAEEL09272
OG0000828	YEAST00945, YEAST05476, YEAST00075	CAEEL01170
OG0000828	YEAST02290	CAEEL14806
OG0000837	YEAST06222	CAEEL19270, CAEEL07955
OG0000841	YEAST02416	CAEEL02360
OG0000847	YEAST02881, YEAST03544, YEAST06198	CAEEL04304, CAEEL04305, CAEEL19991
OG0000847	YEAST02530, YEAST00209	CAEEL07299
OG0000849	YEAST04475	CAEEL04333
OG0000850	YEAST04287	CAEEL14176, CAEEL17117, CAEEL14155, CAEEL14177, CAEEL04935
OG0000852	YEAST01266	CAEEL08255, CAEEL01668
OG0000854	YEAST00248	CAEEL01395, CAEEL03021
OG0000857	YEAST00309	CAEEL04547
OG0000871	YEAST03857	CAEEL00780, CAEEL00781, CAEEL13789
OG0000872	YEAST03222, YEAST03741	CAEEL05833
OG0000875	YEAST00077	CAEEL08184, CAEEL12416
OG0000876	YEAST05556	CAEEL00773, CAEEL00774
OG0000879	YEAST06123	CAEEL07550
OG0000888	YEAST00288	CAEEL00418, CAEEL02556, CAEEL08408
OG0000889	YEAST00175	CAEEL09857, CAEEL09856, CAEEL07245
OG0000894	YEAST03763	CAEEL20455
OG0000896	YEAST02476	CAEEL17889
OG0000905	YEAST00599	CAEEL09890
OG0000907	YEAST02193	CAEEL04446, CAEEL04445
OG0000913	YEAST03557, YEAST05101	CAEEL03086, CAEEL09227, CAEEL01751, CAEEL17909, CAEEL04783, CAEEL08435
OG0000914	YEAST04745	CAEEL08534, CAEEL08535
OG0000921	YEAST02526	CAEEL05986, CAEEL19775, CAEEL00714
OG0000925	YEAST05667, YEAST06025	CAEEL01239, CAEEL01153, CAEEL00968, CAEEL00439, CAEEL07058
OG0000932	YEAST03525	CAEEL07026, CAEEL07025
OG0000933	YEAST06306	CAEEL13637
OG0000934	YEAST02582, YEAST06252	CAEEL20095, CAEEL02005
OG0000934	YEAST05040	CAEEL18567
OG0000935	YEAST02843	CAEEL10988, CAEEL18743
OG0000944	YEAST04878	CAEEL08647, CAEEL08646, CAEEL15360
OG0000954	YEAST05503, YEAST01249	CAEEL05990
OG0000955	YEAST00837	CAEEL05680, CAEEL05073
OG0000963	YEAST03685, YEAST00482, YEAST01749	CAEEL02132, CAEEL19266, CAEEL06520, CAEEL01905, CAEEL10906
OG0000965	YEAST02552	CAEEL09524
OG0000965	YEAST02050	CAEEL02685
OG0000967	YEAST05075	CAEEL09409
OG0000970	YEAST04028	CAEEL12249
OG0000982	YEAST01182	CAEEL00871
OG0000984	YEAST01493, YEAST00575	CAEEL00142, CAEEL20825, CAEEL07596, CAEEL10900
OG0000986	YEAST01481, YEAST04073	CAEEL10478, CAEEL10407, CAEEL10408, CAEEL19984
OG0000987	YEAST04734, YEAST02734	CAEEL18448, CAEEL15116
OG0000994	YEAST02360	CAEEL01877, CAEEL05339, CAEEL08529
OG0001001	YEAST00341	CAEEL19402, CAEEL20405, CAEEL20234, CAEEL19403
OG0001003	YEAST00644	CAEEL08220
OG0001005	YEAST03721, YEAST04253, YEAST02546	CAEEL01384
OG0001006	YEAST04513	CAEEL08218, CAEEL00364, CAEEL10732
OG0001016	YEAST00830	CAEEL09313, CAEEL08789, CAEEL11986
OG0001018	YEAST01172	CAEEL00183, CAEEL07047
OG0001024	YEAST01024, YEAST00308	CAEEL11623
OG0001033	YEAST01594	CAEEL11816
OG0001033	YEAST02124	CAEEL10717
OG0001064	YEAST00458	CAEEL18665, CAEEL17997, CAEEL05359, CAEEL16315, CAEEL04825, CAEEL15110, CAEEL20751
OG0001066	YEAST06311	CAEEL12576
OG0001075	YEAST05636	CAEEL11648, CAEEL18873
OG0001076	YEAST01570	CAEEL07541
OG0001082	YEAST03919, YEAST02905, YEAST05331	CAEEL19080, CAEEL19079, CAEEL09741
OG0001094	YEAST03837	CAEEL13053, CAEEL13054
OG0001095	YEAST00773	CAEEL07595
OG0001096	YEAST01384	CAEEL04621, CAEEL17752
OG0001101	YEAST03434	CAEEL11585
OG0001108	YEAST06309	CAEEL09307
OG0001111	YEAST06003	CAEEL13201, CAEEL05876, CAEEL00313, CAEEL02097, CAEEL12177, CAEEL04319
OG0001113	YEAST05320	CAEEL15158
OG0001113	YEAST00954	CAEEL07385
OG0001114	YEAST00036, YEAST05811	CAEEL11582, CAEEL01758, CAEEL01759
OG0001124	YEAST02719	CAEEL08814
OG0001132	YEAST05421	CAEEL04290
OG0001133	YEAST04296	CAEEL11641
OG0001133	YEAST03271	CAEEL11294
OG0001135	YEAST03641	CAEEL02069
OG0001136	YEAST05047, YEAST02997	CAEEL02001
OG0001140	YEAST03519	CAEEL14389
OG0001142	YEAST04001	CAEEL12657
OG0001163	YEAST02433	CAEEL11823, CAEEL14454, CAEEL17374
OG0001164	YEAST03454	CAEEL07306
OG0001171	YEAST04620, YEAST03578	CAEEL20677
OG0001175	YEAST00534	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718
OG0001177	YEAST06137	CAEEL08262, CAEEL18706
OG0001179	YEAST00368, YEAST04831, YEAST02287	CAEEL05526, CAEEL04874, CAEEL19023, CAEEL20466, CAEEL07894, CAEEL04651, CAEEL04194, CAEEL05939
OG0001181	YEAST02051	CAEEL08327
OG0001184	YEAST01681	CAEEL20576, CAEEL12689, CAEEL19676
OG0001185	YEAST04969	CAEEL01778
OG0001186	YEAST04605, YEAST01886	CAEEL00480, CAEEL09703
OG0001191	YEAST04707	CAEEL09751, CAEEL20476, CAEEL09505
OG0001197	YEAST01499	CAEEL11613
OG0001201	YEAST05452	CAEEL02666
OG0001204	YEAST05200	CAEEL09132
OG0001210	YEAST05511	CAEEL06396
OG0001210	YEAST02318	CAEEL06380
OG0001212	YEAST03971	CAEEL00496
OG0001214	YEAST00577	CAEEL08401
OG0001216	YEAST00145	CAEEL04644
OG0001219	YEAST03867	CAEEL20379
OG0001236	YEAST03325, YEAST02687, YEAST03269	CAEEL18476, CAEEL18477, CAEEL05637, CAEEL05588
OG0001238	YEAST04481	CAEEL05166, CAEEL11182
OG0001241	YEAST02002	CAEEL01749
OG0001241	YEAST03967, YEAST01074	CAEEL19375
OG0001243	YEAST00739, YEAST05004	CAEEL01806
OG0001249	YEAST01062, YEAST02067	CAEEL06406
OG0001250	YEAST02968, YEAST01339	CAEEL18712
OG0001251	YEAST00750	CAEEL10205
OG0001251	YEAST01707	CAEEL01802, CAEEL04380, CAEEL04381, CAEEL10206
OG0001253	YEAST03998	CAEEL10888, CAEEL10887
OG0001254	YEAST04309	CAEEL00935
OG0001262	YEAST00911	CAEEL15249, CAEEL20627
OG0001268	YEAST03495	CAEEL11342
OG0001270	YEAST01703, YEAST02398	CAEEL01959
OG0001271	YEAST05227, YEAST00662	CAEEL15623, CAEEL08717, CAEEL00634
OG0001278	YEAST01893	CAEEL20013, CAEEL10735
OG0001279	YEAST03070	CAEEL15321, CAEEL15322, CAEEL20353
OG0001280	YEAST00846	CAEEL00726
OG0001282	YEAST03744	CAEEL04296
OG0001284	YEAST00567, YEAST01498	CAEEL08223, CAEEL01272
OG0001286	YEAST00588, YEAST01486, YEAST03604	CAEEL20246
OG0001291	YEAST04453, YEAST04334	CAEEL11483
OG0001300	YEAST01098	CAEEL09562
OG0001302	YEAST02328	CAEEL01736
OG0001302	YEAST00299	CAEEL12633
OG0001310	YEAST00887	CAEEL16286
OG0001318	YEAST03712	CAEEL06153, CAEEL02686
OG0001319	YEAST01678	CAEEL15967
OG0001321	YEAST02280, YEAST01901	CAEEL02303, CAEEL00016
OG0001324	YEAST00078	CAEEL11902
OG0001325	YEAST00793	CAEEL12980
OG0001326	YEAST05395	CAEEL18463, CAEEL12672, CAEEL19447
OG0001327	YEAST03176	CAEEL12070
OG0001332	YEAST03929, YEAST02705, YEAST00687	CAEEL00462, CAEEL09523, CAEEL04986, CAEEL04987
OG0001333	YEAST00728	CAEEL08384, CAEEL10397, CAEEL14152, CAEEL14148, CAEEL14153
OG0001341	YEAST06006	CAEEL12273
OG0001353	YEAST00020, YEAST04041	CAEEL07231
OG0001363	YEAST06180	CAEEL12526, CAEEL18947, CAEEL08666, CAEEL12684, CAEEL11272
OG0001364	YEAST06038, YEAST00402	CAEEL04735, CAEEL16269
OG0001367	YEAST04688	CAEEL16176
OG0001368	YEAST01821	CAEEL15247
OG0001370	YEAST04067, YEAST05195, YEAST00897	CAEEL19838, CAEEL11201
OG0001372	YEAST00070	CAEEL04824, CAEEL16917
