Orthogroup	YEAST	SACKO_ok
OG0000037	YEAST03227	SACKO_22630, SACKO_22633, SACKO_05171, SACKO_15149, SACKO_21107, SACKO_21121, SACKO_07542, SACKO_17953, SACKO_17956, SACKO_33312, SACKO_33301, SACKO_07664, SACKO_07652, SACKO_16025
OG0000038	YEAST04422, YEAST04379	SACKO_01199, SACKO_05247, SACKO_30496, SACKO_31791, SACKO_05160, SACKO_12129, SACKO_08713, SACKO_08733, SACKO_07500, SACKO_22794, SACKO_08703, SACKO_08731, SACKO_00016, SACKO_13897, SACKO_03843, SACKO_27059, SACKO_05705, SACKO_05293, SACKO_05258, SACKO_05271, SACKO_08715
OG0000043	YEAST00224, YEAST01200	SACKO_08499, SACKO_08500, SACKO_08492, SACKO_22653, SACKO_08433, SACKO_16081, SACKO_11560, SACKO_06732, SACKO_06744, SACKO_30022, SACKO_28017, SACKO_06742, SACKO_06747, SACKO_06718, SACKO_22845, SACKO_22851, SACKO_06719, SACKO_27090, SACKO_10903, SACKO_10887, SACKO_10910, SACKO_10918, SACKO_27578, SACKO_10867, SACKO_10904, SACKO_27580, SACKO_10923, SACKO_10919, SACKO_06713, SACKO_06727, SACKO_06759, SACKO_00470, SACKO_10927, SACKO_10915, SACKO_11078, SACKO_09694
OG0000048	YEAST05707	SACKO_10818, SACKO_29264, SACKO_04413, SACKO_24161, SACKO_15652, SACKO_15237, SACKO_15246, SACKO_12018, SACKO_03133, SACKO_17673, SACKO_04525, SACKO_04530, SACKO_31187, SACKO_29639
OG0000053	YEAST05460, YEAST01800	SACKO_15809, SACKO_15814, SACKO_28166
OG0000053	YEAST00656	SACKO_00879, SACKO_00882, SACKO_00873
OG0000054	YEAST01385	SACKO_13490, SACKO_11814, SACKO_18179, SACKO_17476, SACKO_33924, SACKO_28075, SACKO_02978, SACKO_02968, SACKO_33533, SACKO_31837, SACKO_03553, SACKO_03606, SACKO_03590, SACKO_22513, SACKO_14957, SACKO_14966, SACKO_22867, SACKO_12976, SACKO_09411, SACKO_09416, SACKO_04221
OG0000055	YEAST01199, YEAST00225	SACKO_00479, SACKO_10908, SACKO_10922, SACKO_10877, SACKO_27566, SACKO_27099, SACKO_08410, SACKO_08510, SACKO_08388, SACKO_04838, SACKO_05123, SACKO_33317, SACKO_10925, SACKO_06734, SACKO_16034, SACKO_06736, SACKO_22855, SACKO_06730, SACKO_06723, SACKO_22841, SACKO_06754, SACKO_06753, SACKO_10896, SACKO_10914, SACKO_10917, SACKO_10872, SACKO_10884, SACKO_27588, SACKO_10909, SACKO_10921, SACKO_10902, SACKO_27559, SACKO_10916, SACKO_30027
OG0000058	YEAST02989	SACKO_15454, SACKO_23572
OG0000058	YEAST02120	SACKO_28012, SACKO_10650, SACKO_28003, SACKO_28030, SACKO_00929, SACKO_00933, SACKO_00911
OG0000069	YEAST03661	SACKO_07016, SACKO_15035
OG0000079	YEAST05330	SACKO_22850, SACKO_28168, SACKO_02973, SACKO_02974
OG0000082	YEAST03287	SACKO_10320, SACKO_23913, SACKO_28357, SACKO_23907, SACKO_09409, SACKO_23931, SACKO_23906, SACKO_26214, SACKO_32295
OG0000082	YEAST04267, YEAST01834, YEAST03359	SACKO_12474
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	SACKO_26490, SACKO_12848, SACKO_24599, SACKO_24554, SACKO_24557, SACKO_24563, SACKO_12893
OG0000082	YEAST04992, YEAST00735	SACKO_23968, SACKO_23962
OG0000095	YEAST02993	SACKO_28112, SACKO_28146, SACKO_22238, SACKO_22239, SACKO_09533, SACKO_14638, SACKO_28141, SACKO_28147, SACKO_28111, SACKO_05633, SACKO_28134, SACKO_05646, SACKO_28114, SACKO_22231, SACKO_28136, SACKO_28131, SACKO_05648, SACKO_22134, SACKO_02519
OG0000096	YEAST02643	SACKO_00041, SACKO_02842
OG0000096	YEAST00638	SACKO_13904
OG0000096	YEAST05104, YEAST05564	SACKO_24537, SACKO_23084, SACKO_27312, SACKO_27255
OG0000103	YEAST02873	SACKO_33359, SACKO_23497
OG0000107	YEAST05173	SACKO_10899, SACKO_10879, SACKO_10885, SACKO_22860, SACKO_06735, SACKO_27586, SACKO_04257, SACKO_06755, SACKO_10928, SACKO_06757, SACKO_16071, SACKO_10911, SACKO_10912, SACKO_06712, SACKO_12034, SACKO_22853, SACKO_27606, SACKO_06756, SACKO_10883, SACKO_06739, SACKO_06737, SACKO_10870, SACKO_10888, SACKO_11530, SACKO_10874, SACKO_28015, SACKO_06746, SACKO_10895
OG0000113	YEAST00378, YEAST01351, YEAST05581	SACKO_14235, SACKO_07253, SACKO_22562, SACKO_28107, SACKO_25640, SACKO_27005, SACKO_09021, SACKO_08824, SACKO_32049, SACKO_03802, SACKO_24392, SACKO_25438, SACKO_24416, SACKO_01082, SACKO_09973
OG0000116	YEAST04456	SACKO_18613, SACKO_08085, SACKO_18612, SACKO_18615, SACKO_03400, SACKO_03390, SACKO_31632, SACKO_28117, SACKO_28140, SACKO_28142, SACKO_28119, SACKO_28121, SACKO_28109, SACKO_02107
OG0000122	YEAST04928	SACKO_31419
OG0000124	YEAST05021	SACKO_33754, SACKO_22345
OG0000124	YEAST01581, YEAST05113, YEAST03767	SACKO_20093
OG0000124	YEAST04122	SACKO_18436, SACKO_18432
OG0000127	YEAST06208	SACKO_20544, SACKO_08426, SACKO_08394, SACKO_07799, SACKO_21491, SACKO_20351
OG0000132	YEAST06016	SACKO_02565, SACKO_03725, SACKO_03718, SACKO_03729, SACKO_03732, SACKO_03727, SACKO_15011, SACKO_05386, SACKO_28049, SACKO_26256, SACKO_00485
OG0000137	YEAST01851, YEAST00637	SACKO_15706, SACKO_03335, SACKO_14791, SACKO_24679, SACKO_26787, SACKO_26762, SACKO_21535, SACKO_21490, SACKO_25869, SACKO_08934, SACKO_08979, SACKO_08926, SACKO_15711, SACKO_32541
OG0000142	YEAST02122	SACKO_25766, SACKO_02162, SACKO_02157, SACKO_25774, SACKO_21060, SACKO_25772, SACKO_25778, SACKO_25760, SACKO_02153, SACKO_02160, SACKO_28263, SACKO_02155, SACKO_31525
OG0000158	YEAST05568	SACKO_08920, SACKO_03214
OG0000160	YEAST04194	SACKO_19890, SACKO_08004, SACKO_22012, SACKO_20174, SACKO_20186, SACKO_19221, SACKO_18893, SACKO_04388, SACKO_11262, SACKO_24189, SACKO_16994
OG0000175	YEAST00850, YEAST04327	SACKO_03910, SACKO_14233, SACKO_29688, SACKO_29680, SACKO_29673, SACKO_25380, SACKO_25374, SACKO_03909, SACKO_25371, SACKO_20858, SACKO_26661
OG0000179	YEAST01123, YEAST04430	SACKO_06450, SACKO_05905, SACKO_06440
OG0000179	YEAST02911, YEAST01281	SACKO_15469
OG0000179	YEAST04108, YEAST03346	SACKO_14493
OG0000181	YEAST00824, YEAST00771	SACKO_04152, SACKO_07379, SACKO_04775, SACKO_12579, SACKO_32918
OG0000186	YEAST00336	SACKO_16624, SACKO_22510, SACKO_22490, SACKO_22506, SACKO_32106, SACKO_04431, SACKO_11363, SACKO_02704, SACKO_23833, SACKO_02708, SACKO_02710, SACKO_32104
OG0000194	YEAST01410	SACKO_08434, SACKO_00029, SACKO_00051, SACKO_32303, SACKO_32313, SACKO_25043, SACKO_25042, SACKO_00049
OG0000195	YEAST03414	SACKO_19025, SACKO_17832, SACKO_17833, SACKO_08489, SACKO_30751, SACKO_02091, SACKO_28206, SACKO_28209, SACKO_33037
OG0000211	YEAST04964	SACKO_32655, SACKO_09451, SACKO_20445, SACKO_09187, SACKO_14823, SACKO_14809, SACKO_14837, SACKO_08705, SACKO_16984
OG0000221	YEAST05872	SACKO_07311, SACKO_32418, SACKO_20289, SACKO_15443
OG0000222	YEAST01460	SACKO_32534, SACKO_32533, SACKO_05115, SACKO_12196, SACKO_15846, SACKO_11870, SACKO_11831, SACKO_13269, SACKO_16972
OG0000225	YEAST06146	SACKO_25492, SACKO_26675, SACKO_25518, SACKO_23391, SACKO_25483, SACKO_25473, SACKO_25501, SACKO_25456
OG0000227	YEAST05815	SACKO_16510, SACKO_14267, SACKO_16493, SACKO_24661
OG0000228	YEAST04750	SACKO_33161, SACKO_07614, SACKO_25155, SACKO_33279
OG0000233	YEAST03726, YEAST03241, YEAST03242	SACKO_18635, SACKO_32623, SACKO_22318, SACKO_26512, SACKO_31839, SACKO_18656, SACKO_18643, SACKO_14811
OG0000238	YEAST06340, YEAST03834	SACKO_14320, SACKO_28194, SACKO_33012, SACKO_32996, SACKO_11714, SACKO_19006, SACKO_28313, SACKO_33015
OG0000240	YEAST03827	SACKO_18260, SACKO_18199
OG0000240	YEAST04973	SACKO_04929
OG0000242	YEAST00734	SACKO_11564, SACKO_24398, SACKO_19170, SACKO_19165, SACKO_31437
OG0000246	YEAST01746, YEAST01747	SACKO_32904, SACKO_11087, SACKO_07496, SACKO_26312, SACKO_07493, SACKO_20188
OG0000250	YEAST04716	SACKO_18012, SACKO_18008, SACKO_18019, SACKO_06222, SACKO_19847, SACKO_08487
OG0000255	YEAST02822	SACKO_30688, SACKO_00039, SACKO_02560, SACKO_04653, SACKO_21059, SACKO_27247
OG0000256	YEAST00266	SACKO_19804, SACKO_31234, SACKO_11114, SACKO_10962, SACKO_00717, SACKO_10964, SACKO_29212, SACKO_18022, SACKO_00855, SACKO_17003, SACKO_05084
OG0000258	YEAST00118	SACKO_00370, SACKO_00377, SACKO_10833, SACKO_32411
OG0000260	YEAST04323	SACKO_23657, SACKO_18171, SACKO_03721
OG0000265	YEAST03885, YEAST03714	SACKO_17458, SACKO_06245
OG0000272	YEAST02076, YEAST01066	SACKO_18347, SACKO_29715, SACKO_18366, SACKO_18360, SACKO_18346
OG0000273	YEAST05751	SACKO_18588
OG0000273	YEAST04144	SACKO_25355
OG0000274	YEAST02118, YEAST04573, YEAST01485	SACKO_22576, SACKO_31086, SACKO_01873
OG0000278	YEAST03847	SACKO_15807
OG0000278	YEAST03806	SACKO_06388
OG0000278	YEAST04060	SACKO_11366
OG0000278	YEAST01107	SACKO_13514
OG0000284	YEAST05621	SACKO_02657, SACKO_27406, SACKO_27401, SACKO_05744, SACKO_27435
OG0000289	YEAST00645	SACKO_25627, SACKO_09751, SACKO_25537, SACKO_25538
OG0000305	YEAST04899	SACKO_15288, SACKO_15279, SACKO_13147, SACKO_15287
OG0000308	YEAST02548	SACKO_05538, SACKO_27953, SACKO_26056, SACKO_26098, SACKO_28741, SACKO_28262
OG0000310	YEAST02635	SACKO_14353, SACKO_33497, SACKO_11427, SACKO_11441, SACKO_11487, SACKO_05157, SACKO_15555
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	SACKO_12716, SACKO_12498, SACKO_12512, SACKO_29942, SACKO_09512
OG0000313	YEAST05106	SACKO_25102, SACKO_12413
OG0000313	YEAST05526	SACKO_24651, SACKO_21609, SACKO_11070, SACKO_26885
OG0000315	YEAST04684	SACKO_02387
OG0000316	YEAST01673	SACKO_21373, SACKO_22473, SACKO_15599, SACKO_23643
OG0000317	YEAST01356	SACKO_14554, SACKO_14463, SACKO_13987
OG0000321	YEAST03264	SACKO_18163, SACKO_06201, SACKO_25342
OG0000323	YEAST02249	SACKO_20213, SACKO_31194, SACKO_10395, SACKO_18533
OG0000326	YEAST06268, YEAST05286	SACKO_09487
OG0000326	YEAST06056	SACKO_00052, SACKO_00067, SACKO_08423
OG0000326	YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	SACKO_24590
OG0000327	YEAST01354	SACKO_09977, SACKO_09994, SACKO_14731
OG0000338	YEAST02967	SACKO_20111, SACKO_31237
OG0000338	YEAST04211	SACKO_13513
OG0000343	YEAST03024, YEAST02736	SACKO_01767
OG0000345	YEAST01884	SACKO_20082, SACKO_30258, SACKO_17750, SACKO_19848
OG0000352	YEAST04069	SACKO_34178, SACKO_18132, SACKO_00810, SACKO_00821, SACKO_22008, SACKO_07999
OG0000357	YEAST01925	SACKO_02742, SACKO_14095
OG0000359	YEAST02489	SACKO_17662, SACKO_33693, SACKO_21762, SACKO_26778, SACKO_21197
OG0000363	YEAST04081, YEAST05870	SACKO_20204, SACKO_08051, SACKO_02979
OG0000365	YEAST05831	SACKO_00527, SACKO_33817, SACKO_00503
OG0000367	YEAST02141, YEAST03746, YEAST03210	SACKO_26443, SACKO_11424
OG0000372	YEAST05988	SACKO_07164, SACKO_32909, SACKO_01910, SACKO_24569, SACKO_24546
OG0000373	YEAST02023	SACKO_05445, SACKO_09368
OG0000373	YEAST04495, YEAST01417, YEAST05964	SACKO_13854
OG0000380	YEAST01047	SACKO_16398, SACKO_31681, SACKO_30689, SACKO_02625
OG0000385	YEAST03496	SACKO_16439, SACKO_20574, SACKO_20579, SACKO_25649, SACKO_25651, SACKO_14863, SACKO_20587, SACKO_25647, SACKO_08050, SACKO_16440
OG0000393	YEAST04072, YEAST04071	SACKO_24305
OG0000393	YEAST01302	SACKO_34206
OG0000397	YEAST05080	SACKO_06461
OG0000399	YEAST02160	SACKO_31626, SACKO_26961, SACKO_24326
OG0000400	YEAST05911	SACKO_04072, SACKO_14778, SACKO_06114, SACKO_09959
OG0000402	YEAST01657, YEAST01929	SACKO_12739, SACKO_05257, SACKO_05263, SACKO_05292, SACKO_17632, SACKO_17651, SACKO_17642, SACKO_17652, SACKO_15505, SACKO_18949, SACKO_05251, SACKO_05260, SACKO_18973
OG0000405	YEAST06055, YEAST00411	SACKO_03471
OG0000412	YEAST04469	SACKO_20586, SACKO_09277
OG0000413	YEAST04905, YEAST05340	SACKO_11939
OG0000413	YEAST02838	SACKO_26133
OG0000419	YEAST05989	SACKO_13235, SACKO_13227
OG0000420	YEAST03886	SACKO_13998, SACKO_10383
OG0000424	YEAST03563	SACKO_03765, SACKO_31497
OG0000426	YEAST03440	SACKO_26352, SACKO_06534
OG0000427	YEAST02655, YEAST02439	SACKO_23359, SACKO_09178
OG0000429	YEAST02285	SACKO_30008, SACKO_05554, SACKO_03161, SACKO_25615, SACKO_11011, SACKO_33365, SACKO_29691, SACKO_29695
OG0000431	YEAST04014	SACKO_22052, SACKO_06822, SACKO_26117
OG0000433	YEAST06177, YEAST00117	SACKO_18114, SACKO_07662, SACKO_07666
OG0000437	YEAST03074, YEAST02073	SACKO_16957, SACKO_28344, SACKO_33496, SACKO_07819, SACKO_20319, SACKO_31109, SACKO_31119, SACKO_31108
OG0000442	YEAST05012	SACKO_15700, SACKO_00306, SACKO_06006
OG0000444	YEAST01115, YEAST04019	SACKO_08879, SACKO_08903, SACKO_16809
OG0000445	YEAST03068	SACKO_01829, SACKO_19774, SACKO_27379, SACKO_27346, SACKO_08275, SACKO_00462, SACKO_33751, SACKO_27331, SACKO_27357
OG0000450	YEAST04709, YEAST05909	SACKO_20176, SACKO_20166, SACKO_10223
OG0000461	YEAST00120	SACKO_07130
OG0000467	YEAST03162	SACKO_32050
OG0000468	YEAST04372	SACKO_06371, SACKO_06372, SACKO_06400, SACKO_23390, SACKO_12657, SACKO_06761, SACKO_11651, SACKO_29000, SACKO_28335
OG0000469	YEAST02179, YEAST05440	SACKO_32529, SACKO_32539
OG0000469	YEAST00863	SACKO_12218
OG0000474	YEAST02384	SACKO_26698, SACKO_26694
OG0000476	YEAST03038	SACKO_25312, SACKO_25322, SACKO_17515, SACKO_25313, SACKO_29718, SACKO_29707, SACKO_29711, SACKO_16110
OG0000479	YEAST04139	SACKO_30305, SACKO_20169
OG0000480	YEAST05750	SACKO_21578, SACKO_16958, SACKO_31389
OG0000481	YEAST01040	SACKO_18810
OG0000481	YEAST00916	SACKO_02151, SACKO_09218
OG0000481	YEAST00827, YEAST00774	SACKO_17872
OG0000484	YEAST05824	SACKO_23202
OG0000486	YEAST03122, YEAST04270	SACKO_03067, SACKO_03069, SACKO_29945, SACKO_29937, SACKO_07182, SACKO_07195, SACKO_21708, SACKO_28616, SACKO_28629
OG0000487	YEAST04968	SACKO_33051, SACKO_15021, SACKO_04845, SACKO_06932, SACKO_06952, SACKO_22207, SACKO_22192, SACKO_22249, SACKO_22216
OG0000487	YEAST02728	SACKO_22165, SACKO_08406, SACKO_08473, SACKO_34025, SACKO_08477, SACKO_08456
OG0000488	YEAST01414	SACKO_32393
OG0000490	YEAST04297, YEAST00894	SACKO_25826
OG0000505	YEAST03067	SACKO_33776, SACKO_07335
OG0000508	YEAST04626	SACKO_04141, SACKO_03535
OG0000510	YEAST04569, YEAST05730	SACKO_00307, SACKO_08802
OG0000515	YEAST04784, YEAST05876	SACKO_34014, SACKO_02419, SACKO_16456, SACKO_16452, SACKO_13973, SACKO_01627
OG0000519	YEAST04594, YEAST03616	SACKO_15404, SACKO_19079, SACKO_19078, SACKO_19075, SACKO_19086, SACKO_19096, SACKO_19095, SACKO_19099, SACKO_19087, SACKO_32736
OG0000520	YEAST02979	SACKO_18204, SACKO_09249, SACKO_06826
OG0000523	YEAST01952, YEAST05838, YEAST06082	SACKO_25122, SACKO_22414, SACKO_18696, SACKO_04917, SACKO_04936, SACKO_14510, SACKO_21286, SACKO_32496, SACKO_11858
OG0000529	YEAST05790, YEAST00048	SACKO_27420, SACKO_04593, SACKO_22339
OG0000534	YEAST04932	SACKO_02672, SACKO_02674, SACKO_28185
OG0000538	YEAST00499	SACKO_05534, SACKO_05532
OG0000549	YEAST06280, YEAST02610, YEAST05060	SACKO_09190, SACKO_09189, SACKO_27792
OG0000552	YEAST05717	SACKO_16965, SACKO_16841, SACKO_22479, SACKO_21195
OG0000561	YEAST06202, YEAST00331	SACKO_01260, SACKO_27682, SACKO_33677, SACKO_00159, SACKO_01255, SACKO_31249
OG0000562	YEAST00314	SACKO_07813
OG0000563	YEAST01406	SACKO_05456
OG0000566	YEAST05789, YEAST00049	SACKO_13906, SACKO_18189
OG0000573	YEAST05675	SACKO_21574, SACKO_26024
OG0000576	YEAST00470, YEAST00193	SACKO_23536
OG0000578	YEAST01208, YEAST00759	SACKO_32404
OG0000579	YEAST02484	SACKO_30809
OG0000582	YEAST03615	SACKO_28539, SACKO_28537
OG0000587	YEAST04063	SACKO_31646
OG0000587	YEAST03372	SACKO_32372
OG0000588	YEAST05197	SACKO_19722, SACKO_13333
OG0000590	YEAST05110, YEAST05552, YEAST03727	SACKO_30925, SACKO_30897, SACKO_30902, SACKO_30919, SACKO_30264
OG0000592	YEAST00388	SACKO_27135, SACKO_27142, SACKO_27110, SACKO_27143, SACKO_27108, SACKO_29473
OG0000597	YEAST04330	SACKO_18453, SACKO_13955
OG0000609	YEAST05180	SACKO_07030, SACKO_07908
OG0000612	YEAST02370	SACKO_10524
OG0000612	YEAST03629	SACKO_16423
OG0000613	YEAST01072	SACKO_12488, SACKO_18352
OG0000623	YEAST02411	SACKO_21523, SACKO_18029
OG0000623	YEAST05090	SACKO_10005
OG0000627	YEAST02116, YEAST03957	SACKO_02990
OG0000639	YEAST02015	SACKO_22469, SACKO_30392, SACKO_02331
OG0000642	YEAST00618	SACKO_21799
OG0000645	YEAST05140	SACKO_19857
OG0000645	YEAST04743	SACKO_17093
OG0000647	YEAST04534	SACKO_32942, SACKO_13247, SACKO_00037, SACKO_00065
OG0000648	YEAST04178, YEAST05641	SACKO_12118, SACKO_17289
OG0000657	YEAST03846	SACKO_27378, SACKO_14254
OG0000660	YEAST05150, YEAST01587	SACKO_30045, SACKO_33063
OG0000662	YEAST05937	SACKO_02611, SACKO_06148, SACKO_28738
OG0000663	YEAST02675, YEAST03294	SACKO_26955, SACKO_03887
OG0000672	YEAST03771	SACKO_21164
OG0000672	YEAST00984	SACKO_29531
OG0000676	YEAST01503	SACKO_30866
OG0000676	YEAST02962	SACKO_08481
OG0000683	YEAST03152, YEAST03537, YEAST05938	SACKO_30847, SACKO_25632
OG0000690	YEAST04874	SACKO_13982
OG0000690	YEAST02296	SACKO_03682
OG0000692	YEAST01969	SACKO_04812
OG0000692	YEAST03487	SACKO_00415, SACKO_24162, SACKO_07150, SACKO_07117
OG0000694	YEAST05978	SACKO_10312
OG0000699	YEAST05706	SACKO_27167, SACKO_27160
OG0000701	YEAST02239, YEAST02223	SACKO_25617, SACKO_32176, SACKO_03805, SACKO_31366
OG0000703	YEAST05314	SACKO_21811
OG0000708	YEAST05997	SACKO_22452, SACKO_25480
OG0000709	YEAST00057	SACKO_18089, SACKO_22198
OG0000724	YEAST02013	SACKO_29558
OG0000732	YEAST04978	SACKO_20871, SACKO_06369, SACKO_05389
OG0000733	YEAST05474	SACKO_32345, SACKO_17671
OG0000735	YEAST05945	SACKO_26054
OG0000737	YEAST05188	SACKO_25898, SACKO_25903
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	SACKO_22243, SACKO_22171, SACKO_22180, SACKO_02883, SACKO_12160
OG0000752	YEAST01432, YEAST04483	SACKO_10303, SACKO_03640, SACKO_33668
OG0000753	YEAST01034, YEAST02037	SACKO_33703, SACKO_17800, SACKO_33701
OG0000757	YEAST01489	SACKO_26933, SACKO_00716, SACKO_32163
OG0000758	YEAST01504	SACKO_05592
OG0000759	YEAST02878, YEAST05681	SACKO_29477
OG0000768	YEAST02560, YEAST04269	SACKO_23463
OG0000772	YEAST04929	SACKO_24880, SACKO_18970
OG0000776	YEAST04571, YEAST00195, YEAST00312	SACKO_18768, SACKO_20604
OG0000777	YEAST06297, YEAST02627	SACKO_28617, SACKO_28786
OG0000779	YEAST03812	SACKO_09223, SACKO_27144
OG0000782	YEAST01393, YEAST05616	SACKO_02448
OG0000791	YEAST02375	SACKO_06891
OG0000794	YEAST04627	SACKO_17237
OG0000800	YEAST03636	SACKO_26365, SACKO_26362
OG0000809	YEAST01998	SACKO_11706, SACKO_11703
OG0000817	YEAST00389	SACKO_10398, SACKO_05841
OG0000817	YEAST06112	SACKO_27281
OG0000824	YEAST01319, YEAST02883	SACKO_23935, SACKO_23963, SACKO_19936
OG0000828	YEAST00945, YEAST05476, YEAST00075	SACKO_17945, SACKO_19680
OG0000828	YEAST02290	SACKO_02201
OG0000837	YEAST06222	SACKO_15029
OG0000841	YEAST02416	SACKO_13443
OG0000847	YEAST02881, YEAST03544, YEAST06198	SACKO_25423
OG0000847	YEAST02530, YEAST00209	SACKO_08722, SACKO_21230
OG0000849	YEAST04475	SACKO_13107
OG0000850	YEAST04287	SACKO_07519, SACKO_23021, SACKO_27751
OG0000852	YEAST01266	SACKO_00856, SACKO_33033, SACKO_16562
OG0000855	YEAST04755	SACKO_27779, SACKO_20065, SACKO_20003, SACKO_31125
OG0000857	YEAST00309	SACKO_29337
OG0000868	YEAST06157	SACKO_01236, SACKO_16884
OG0000871	YEAST03857	SACKO_14055, SACKO_27355, SACKO_19568, SACKO_19567, SACKO_03717, SACKO_18718
OG0000872	YEAST03222, YEAST03741	SACKO_32165
OG0000875	YEAST00077	SACKO_11708, SACKO_01411
OG0000876	YEAST05556	SACKO_25954, SACKO_25953
OG0000879	YEAST06123	SACKO_26528, SACKO_28298
OG0000888	YEAST00288	SACKO_12082, SACKO_28163, SACKO_22687
OG0000889	YEAST00175	SACKO_03115, SACKO_15045
OG0000894	YEAST03763	SACKO_26922, SACKO_02223
OG0000896	YEAST02476	SACKO_27525
OG0000896	YEAST04923	SACKO_25582, SACKO_18087
OG0000898	YEAST06255, YEAST03431	SACKO_16757, SACKO_27052
OG0000905	YEAST00599	SACKO_20259, SACKO_13565
OG0000907	YEAST02193	SACKO_17714
OG0000913	YEAST03557, YEAST05101	SACKO_00547, SACKO_15554, SACKO_15585, SACKO_15570
OG0000914	YEAST04745	SACKO_02857, SACKO_23742
OG0000921	YEAST02526	SACKO_04977, SACKO_13397
OG0000925	YEAST05667, YEAST06025	SACKO_08031, SACKO_26395
OG0000932	YEAST03525	SACKO_04372, SACKO_04386
OG0000933	YEAST06306	SACKO_05658
OG0000934	YEAST02582, YEAST06252	SACKO_29528
OG0000934	YEAST05040	SACKO_28076
OG0000935	YEAST02843	SACKO_27279
OG0000943	YEAST03805	SACKO_06009, SACKO_03278
OG0000944	YEAST04878	SACKO_14532
OG0000954	YEAST05503, YEAST01249	SACKO_09923, SACKO_25005
OG0000955	YEAST00837	SACKO_27594
OG0000955	YEAST04295	SACKO_14411
OG0000963	YEAST03685, YEAST00482, YEAST01749	SACKO_03897
OG0000964	YEAST04606	SACKO_21085, SACKO_21082
OG0000965	YEAST02552	SACKO_31862, SACKO_21944
OG0000965	YEAST02050	SACKO_29607
OG0000967	YEAST05075	SACKO_33567
OG0000970	YEAST04028	SACKO_02753, SACKO_02752, SACKO_02722, SACKO_05435
