Orthogroup	YEAST	DROME
OG0000246	YEAST01746, YEAST01747	DROME18580, DROME13185, DROME13186, DROME13188, DROME13187
OG0000250	YEAST04716	DROME14382, DROME11256, DROME11255, DROME11257
OG0000255	YEAST02822	DROME15943, DROME20722, DROME05791, DROME18596
OG0000256	YEAST00266	DROME08251, DROME08252, DROME07911, DROME07910, DROME02059, DROME02058, DROME07912
OG0000258	YEAST00118	DROME06596, DROME06597, DROME06595, DROME06598, DROME06594, DROME20383, DROME17641, DROME17639, DROME17640
OG0000260	YEAST04323	DROME17607, DROME17608, DROME17606, DROME16635, DROME16636
OG0000265	YEAST03885, YEAST03714	DROME00452
OG0000272	YEAST02076, YEAST01066	DROME15587, DROME15589, DROME15586, DROME15588, DROME05031, DROME05029, DROME05030
OG0000274	YEAST02118, YEAST04573, YEAST01485	DROME03975, DROME03976, DROME03972, DROME03974, DROME03973, DROME17174, DROME21409, DROME01792
OG0000278	YEAST03847	DROME19394, DROME09269, DROME19393
OG0000278	YEAST03806	DROME00752
OG0000278	YEAST04060	DROME02023
OG0000278	YEAST01107	DROME03254
OG0000284	YEAST05621	DROME17657, DROME09381, DROME09382
OG0000289	YEAST00645	DROME14029, DROME14030, DROME14032, DROME14033, DROME16652, DROME14031, DROME07017, DROME07018, DROME16470, DROME04966, DROME16392, DROME16393, DROME16389, DROME16394, DROME13607, DROME12960, DROME12961, DROME12959, DROME12962, DROME10658, DROME10659
OG0000305	YEAST04899	DROME04469, DROME00333, DROME05696, DROME05695, DROME05694, DROME14843, DROME05690, DROME05691, DROME05692, DROME04466
OG0000308	YEAST02548	DROME05159, DROME12865
OG0000310	YEAST02635	DROME16770
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	DROME07843, DROME07844, DROME07846, DROME07845, DROME16932, DROME10814, DROME10815
OG0000313	YEAST05106	DROME15510, DROME02549, DROME02550
OG0000316	YEAST01673	DROME10369, DROME07384, DROME19451, DROME19452
OG0000317	YEAST01356	DROME21477, DROME21478, DROME12241
OG0000321	YEAST03264	DROME16482, DROME05701, DROME05702, DROME13031
OG0000323	YEAST02249	DROME18717, DROME18722, DROME18719, DROME18716, DROME18712, DROME18721, DROME18718, DROME18714, DROME18715, DROME18723, DROME18720, DROME18713
OG0000326	YEAST06268, YEAST05286	DROME20026, DROME20030, DROME20027, DROME20025, DROME20029, DROME20028, DROME20024
OG0000327	YEAST01354	DROME03880, DROME09102, DROME08839, DROME07459, DROME07460, DROME07461, DROME07462, DROME14790, DROME19988, DROME19987, DROME19986, DROME19989, DROME19990, DROME19985, DROME19984, DROME19510
OG0000338	YEAST02967	DROME21194, DROME21193, DROME21975
OG0000338	YEAST04211	DROME04558
OG0000343	YEAST03024, YEAST02736	DROME13475, DROME13478, DROME13474, DROME13476, DROME13480, DROME13477, DROME13473, DROME13481, DROME13479
OG0000345	YEAST01884	DROME12026, DROME12025, DROME12024
OG0000352	YEAST04069	DROME14143, DROME14145, DROME14147, DROME14146, DROME14148, DROME14144
OG0000357	YEAST01925	DROME13834
OG0000359	YEAST02489	DROME11803
OG0000363	YEAST04081, YEAST05870	DROME18487
OG0000365	YEAST05831	DROME09327, DROME09326, DROME05773, DROME05774, DROME15910
OG0000367	YEAST02141, YEAST03746, YEAST03210	DROME01988, DROME15187, DROME15186, DROME13648, DROME13646, DROME13647, DROME15189, DROME15190, DROME15188, DROME15181, DROME15183, DROME15185, DROME15184, DROME15182
OG0000372	YEAST05988	DROME18401, DROME09531, DROME10800
OG0000373	YEAST02023	DROME14548, DROME20852, DROME16822, DROME20049, DROME20050
OG0000380	YEAST01047	DROME05237
OG0000385	YEAST03496	DROME05997, DROME09713, DROME09714, DROME09715, DROME05708, DROME05707
OG0000393	YEAST04072, YEAST04071	DROME13321, DROME05811, DROME00250, DROME16370, DROME16369, DROME13323, DROME02418, DROME13322
OG0000393	YEAST01302	DROME20684
OG0000397	YEAST05080	DROME14885
OG0000399	YEAST02160	DROME21835, DROME12205, DROME12206
OG0000400	YEAST05911	DROME09694, DROME17859, DROME14016, DROME15511, DROME08108
OG0000402	YEAST01657, YEAST01929	DROME11245, DROME11246, DROME12090
OG0000405	YEAST06055, YEAST00411	DROME04975, DROME04976, DROME04979, DROME04977, DROME04980, DROME04978, DROME04974
OG0000412	YEAST04469	DROME15681, DROME15682, DROME02464, DROME13336, DROME13334, DROME13335, DROME15399
OG0000413	YEAST04905, YEAST05340	DROME21174
OG0000413	YEAST02838	DROME13327, DROME13328, DROME15279, DROME15278
OG0000419	YEAST05989	DROME06034, DROME04433, DROME15435, DROME02118, DROME02117, DROME18475, DROME01671, DROME00269, DROME15434, DROME15436, DROME00268, DROME00270
OG0000420	YEAST03886	DROME02672
OG0000424	YEAST03563	DROME02090, DROME02075, DROME02066, DROME02076, DROME02077, DROME02078, DROME02064, DROME02063, DROME02062, DROME02065, DROME02081, DROME12353, DROME17176, DROME17175, DROME00623, DROME03850, DROME03851, DROME06196, DROME14713, DROME14583, DROME14582, DROME14580, DROME14579, DROME14581, DROME08237, DROME08236, DROME08235
OG0000426	YEAST03440	DROME16357, DROME16356
OG0000427	YEAST02655, YEAST02439	DROME05699, DROME05698, DROME18355, DROME18356
OG0000429	YEAST02285	DROME19525, DROME07553, DROME07552, DROME06812
OG0000431	YEAST04014	DROME05704, DROME12301, DROME12300, DROME11410, DROME11409, DROME11408
OG0000433	YEAST06177, YEAST00117	DROME00007, DROME00005, DROME00004, DROME00006, DROME20425, DROME20423, DROME20424
OG0000442	YEAST05012	DROME13942, DROME12188, DROME01916
OG0000444	YEAST01115, YEAST04019	DROME21032, DROME03786, DROME03789, DROME03788, DROME03787
OG0000445	YEAST03068	DROME06725, DROME06723, DROME06724, DROME20153, DROME20152
OG0000450	YEAST04709, YEAST05909	DROME16711, DROME16712
OG0000461	YEAST00120	DROME03657, DROME03656
OG0000467	YEAST03162	DROME21658, DROME21660, DROME21659
OG0000469	YEAST02179, YEAST05440	DROME18292, DROME18291, DROME18290
OG0000474	YEAST02384	DROME17475, DROME17476, DROME19264, DROME19265
OG0000476	YEAST03038	DROME19464, DROME19463, DROME13684, DROME18050
OG0000479	YEAST04139	DROME10906, DROME10907, DROME10905, DROME10908, DROME10909, DROME19907, DROME19910, DROME19906, DROME19908, DROME19909, DROME19905, DROME19911
OG0000480	YEAST05750	DROME18226, DROME18222, DROME18229, DROME18223, DROME18227, DROME18225, DROME18224, DROME18228
OG0000481	YEAST01040	DROME21853
OG0000481	YEAST05236	DROME10810
OG0000481	YEAST00916	DROME19418
OG0000481	YEAST00827, YEAST00774	DROME01481
OG0000484	YEAST05824	DROME18988, DROME18995, DROME18994, DROME18989, DROME18985, DROME18986, DROME18992, DROME18993, DROME18990, DROME18987, DROME18991, DROME18996
OG0000486	YEAST03122, YEAST04270	DROME11708
OG0000488	YEAST01414	DROME14757, DROME14755, DROME14754, DROME14756, DROME14758
OG0000490	YEAST04297, YEAST00894	DROME19662, DROME19663, DROME19666, DROME19664, DROME19665, DROME07962, DROME07132, DROME16645
OG0000505	YEAST03067	DROME09303, DROME18823
OG0000508	YEAST04626	DROME02055, DROME08723, DROME08722, DROME08721
OG0000510	YEAST04569, YEAST05730	DROME07066, DROME17661, DROME17660, DROME17663, DROME17662, DROME17659, DROME15630, DROME15629, DROME02254
OG0000515	YEAST04784, YEAST05876	DROME14318
OG0000519	YEAST04594, YEAST03616	DROME08599
OG0000520	YEAST02979	DROME12834, DROME14866, DROME14865
OG0000523	YEAST01952, YEAST05838, YEAST06082	DROME01790, DROME17340, DROME17339
OG0000529	YEAST05790, YEAST00048	DROME08794, DROME08796, DROME08798, DROME08797, DROME08795, DROME05074, DROME05075, DROME05072, DROME05073
OG0000534	YEAST04932	DROME11197, DROME11196, DROME11195, DROME11194
OG0000549	YEAST06280, YEAST02610, YEAST05060	DROME15009
OG0000552	YEAST05717	DROME03162, DROME03867
OG0000561	YEAST06202, YEAST00331	DROME01983, DROME01984, DROME17453
OG0000562	YEAST00314	DROME02768, DROME02766, DROME02765, DROME02767, DROME02764, DROME21192
OG0000563	YEAST01406	DROME19165, DROME00254
OG0000566	YEAST05789, YEAST00049	DROME04343, DROME04344, DROME04345
OG0000573	YEAST05675	DROME12167, DROME20963, DROME19690
OG0000576	YEAST00470, YEAST00193	DROME12649, DROME12657, DROME12653, DROME12651, DROME12650, DROME12655, DROME12654, DROME12648, DROME12652, DROME12656
OG0000578	YEAST01208, YEAST00759	DROME00903, DROME00906, DROME00904, DROME00909, DROME00905, DROME00907, DROME00908, DROME11950, DROME13534
OG0000579	YEAST02484	DROME18276, DROME18279, DROME18282, DROME18281, DROME18280, DROME18278, DROME18277
OG0000582	YEAST03615	DROME21391, DROME21390, DROME21388, DROME21389, DROME21385, DROME21387, DROME21386, DROME21392, DROME21393
OG0000587	YEAST04063	DROME16670, DROME16671, DROME16672
OG0000587	YEAST03372	DROME16137
OG0000588	YEAST05197	DROME12674, DROME00241, DROME00240, DROME20059, DROME09587
OG0000590	YEAST05110, YEAST05552, YEAST03727	DROME00417
OG0000592	YEAST00388	DROME03009, DROME03008, DROME03007, DROME03010, DROME03011, DROME03012, DROME19640
OG0000597	YEAST04330	DROME04131, DROME04129, DROME04130
OG0000612	YEAST02370	DROME04304
OG0000612	YEAST03629	DROME00841
OG0000613	YEAST01072	DROME11661, DROME11657, DROME11660, DROME11656, DROME11658, DROME11659
OG0000623	YEAST02411	DROME13642
OG0000623	YEAST05090	DROME13267, DROME13269, DROME13273, DROME13272, DROME13270, DROME13271, DROME13268, DROME13266, DROME19458, DROME19644, DROME09777, DROME09776
OG0000627	YEAST02116, YEAST03957	DROME00612, DROME00609, DROME00610, DROME00607, DROME00611, DROME00608, DROME07604, DROME07603
OG0000639	YEAST02015	DROME11868, DROME11860, DROME11862, DROME11861, DROME11863, DROME11866, DROME11867, DROME11864, DROME11865, DROME00355
OG0000642	YEAST00618	DROME16938
OG0000645	YEAST04743	DROME14720
OG0000647	YEAST04534	DROME03300, DROME11896, DROME11895, DROME10272, DROME05266, DROME05267, DROME13736
OG0000648	YEAST04178, YEAST05641	DROME08636
OG0000657	YEAST03846	DROME04361
OG0000660	YEAST05150, YEAST01587	DROME13641, DROME13640, DROME08489, DROME17870
OG0000662	YEAST05937	DROME13127, DROME03101, DROME20426, DROME20379, DROME18061
OG0000663	YEAST02675, YEAST03294	DROME05436
OG0000672	YEAST03771	DROME01096, DROME01095
OG0000672	YEAST00984	DROME13682
OG0000676	YEAST01503	DROME07205
OG0000676	YEAST02962	DROME15377
OG0000683	YEAST03152, YEAST03537, YEAST05938	DROME11493, DROME11492, DROME01831, DROME18009, DROME18008, DROME18007
OG0000690	YEAST04874	DROME09460
OG0000692	YEAST01969	DROME13871, DROME13870
OG0000694	YEAST05978	DROME18910
OG0000699	YEAST05706	DROME04408, DROME04407, DROME04406
OG0000701	YEAST02239, YEAST02223	DROME19925, DROME19926, DROME06204, DROME17248
OG0000703	YEAST05314	DROME18602, DROME10089, DROME09744, DROME10003, DROME10370, DROME10371, DROME17633
OG0000708	YEAST05997	DROME21751, DROME21752, DROME18239
OG0000709	YEAST00057	DROME00103, DROME01206
OG0000724	YEAST02013	DROME18296, DROME18300, DROME18301, DROME18294, DROME18295, DROME18297, DROME18299, DROME18298
OG0000732	YEAST04978	DROME00208, DROME00209, DROME15061
OG0000733	YEAST05474	DROME17454, DROME15558, DROME15560, DROME15556, DROME15557, DROME15561, DROME15562, DROME15564, DROME15563, DROME15559
OG0000735	YEAST05945	DROME13083, DROME13084, DROME13089, DROME13086, DROME13097, DROME13098, DROME13085, DROME13100, DROME13096, DROME13092, DROME13101, DROME13102, DROME13090, DROME13099, DROME13091, DROME13095, DROME13087, DROME13094, DROME13088, DROME13093
OG0000737	YEAST05188	DROME16700, DROME16699, DROME17539, DROME17538, DROME17537, DROME17535, DROME17536, DROME17534, DROME17533
OG0000744	YEAST05951	DROME09899
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	DROME04604, DROME04605, DROME04603, DROME04602, DROME04600, DROME04601, DROME04599, DROME04598, DROME04596, DROME04597, DROME02290, DROME02291
OG0000752	YEAST01432, YEAST04483	DROME15461, DROME09086, DROME20521, DROME11363
OG0000753	YEAST01034, YEAST02037	DROME16114, DROME16113, DROME22017, DROME22016, DROME22019, DROME22018, DROME22021, DROME22020
OG0000757	YEAST01489	DROME01317, DROME07057
OG0000758	YEAST01504	DROME04523, DROME04522, DROME04521
OG0000759	YEAST02878, YEAST05681	DROME01056, DROME11263, DROME11264, DROME11262, DROME11261, DROME01055, DROME03914, DROME03913, DROME01209, DROME01208
OG0000772	YEAST04929	DROME13216, DROME03561, DROME03562, DROME03559, DROME03560, DROME03558, DROME03563
OG0000776	YEAST04571, YEAST00195, YEAST00312	DROME20100, DROME20102, DROME20101
OG0000777	YEAST06297, YEAST02627	DROME05836
OG0000779	YEAST03812	DROME13622, DROME20961
OG0000782	YEAST01393, YEAST05616	DROME04768, DROME04767, DROME04769, DROME04770, DROME04778, DROME04776, DROME04766, DROME04773, DROME04772, DROME04765, DROME04775, DROME04771, DROME04774, DROME04777
OG0000791	YEAST02375	DROME16118, DROME16117, DROME16116, DROME16119, DROME16121, DROME16120
OG0000794	YEAST04627	DROME04329, DROME04334, DROME04330, DROME04337, DROME04333, DROME04335, DROME04336, DROME04331, DROME04332
OG0000800	YEAST03636	DROME19714
OG0000809	YEAST01998	DROME15572, DROME15573
OG0000817	YEAST00389	DROME16006, DROME02008
OG0000817	YEAST06112	DROME06292
OG0000828	YEAST00945, YEAST05476, YEAST00075	DROME20305
OG0000828	YEAST02290	DROME19137, DROME07670
OG0000837	YEAST06222	DROME05419, DROME18149
OG0000841	YEAST02416	DROME06878, DROME06876, DROME06877, DROME06879
OG0000847	YEAST02881, YEAST03544, YEAST06198	DROME16726
OG0000847	YEAST02530, YEAST00209	DROME03898, DROME03895, DROME03896, DROME03897
OG0000849	YEAST04475	DROME20644, DROME20643, DROME20641, DROME20642, DROME20640, DROME20638, DROME20637, DROME20639
OG0000850	YEAST04287	DROME12440, DROME20308, DROME12322
OG0000852	YEAST01266	DROME03192, DROME03193, DROME03191, DROME08938, DROME08937
OG0000854	YEAST00248	DROME12664, DROME12665, DROME13117, DROME13118
OG0000855	YEAST04755	DROME19819, DROME20290, DROME16140, DROME01127, DROME11147, DROME22053, DROME22054, DROME22052, DROME20174, DROME16331
OG0000857	YEAST00309	DROME20946, DROME20950, DROME20948, DROME20947, DROME20949, DROME20951
OG0000868	YEAST06157	DROME19682, DROME18402, DROME10395
OG0000871	YEAST03857	DROME14585, DROME03028
OG0000872	YEAST03222, YEAST03741	DROME09696, DROME09697, DROME09695
OG0000875	YEAST00077	DROME01940, DROME01939, DROME06587
OG0000876	YEAST05556	DROME08528, DROME08526, DROME08524, DROME08527, DROME08525
OG0000879	YEAST06123	DROME00001, DROME21621, DROME11009
OG0000888	YEAST00288	DROME13818, DROME15657
OG0000889	YEAST00175	DROME20531, DROME20532, DROME20008
OG0000894	YEAST03763	DROME01898, DROME01895, DROME01896, DROME01894, DROME01897, DROME08778, DROME08777
OG0000896	YEAST04923	DROME07637, DROME07636
OG0000905	YEAST00599	DROME11749
OG0000907	YEAST02193	DROME01472, DROME01473, DROME01474, DROME01471
OG0000913	YEAST03557, YEAST05101	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275
OG0000914	YEAST04745	DROME20954, DROME12686, DROME12687, DROME12688, DROME12689, DROME12694, DROME12693, DROME12692, DROME12691, DROME12690, DROME06233, DROME06234, DROME06235
OG0000921	YEAST02526	DROME09822, DROME10234, DROME09821, DROME09823, DROME01540, DROME21958, DROME09824
OG0000925	YEAST05667, YEAST06025	DROME02762, DROME02761, DROME13733, DROME13734
OG0000932	YEAST03525	DROME19600, DROME19599, DROME19601, DROME19598
OG0000933	YEAST06306	DROME00363
OG0000934	YEAST02582, YEAST06252	DROME18021
OG0000934	YEAST05040	DROME12197, DROME12198
OG0000935	YEAST02843	DROME19387
OG0000944	YEAST04878	DROME06673, DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000
OG0000954	YEAST05503, YEAST01249	DROME12405, DROME12406, DROME12407
OG0000955	YEAST00837	DROME04991, DROME04992, DROME04993, DROME04990
OG0000963	YEAST03685, YEAST00482, YEAST01749	DROME09182, DROME09184, DROME09183, DROME07082
OG0000964	YEAST04606	DROME14012
OG0000965	YEAST02552	DROME10303
OG0000965	YEAST02050	DROME10622
OG0000967	YEAST05075	DROME01950, DROME01951, DROME01952
OG0000970	YEAST04028	DROME21979, DROME21981, DROME21980, DROME21978, DROME21982
OG0000982	YEAST01182	DROME07397, DROME07866, DROME07869, DROME07868, DROME07870, DROME07867
OG0000984	YEAST01493, YEAST00575	DROME12019, DROME07638
OG0000986	YEAST01481, YEAST04073	DROME00033, DROME00029, DROME00034, DROME00031, DROME00030, DROME00032
OG0000987	YEAST04734, YEAST02734	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036
OG0000994	YEAST02360	DROME20689, DROME05396
OG0001001	YEAST00341	DROME01963, DROME01964, DROME01966, DROME01965
OG0001003	YEAST00644	DROME20428, DROME20429
OG0001005	YEAST03721, YEAST04253, YEAST02546	DROME16898
OG0001006	YEAST04513	DROME12303
OG0001016	YEAST00830	DROME03793, DROME04453
OG0001018	YEAST01172	DROME08789, DROME19524
OG0001024	YEAST01024, YEAST00308	DROME14925
OG0001033	YEAST02124	DROME01958
OG0001064	YEAST00458	DROME16728, DROME20769
OG0001066	YEAST06311	DROME06399
OG0001075	YEAST05636	DROME05007, DROME05008
OG0001076	YEAST01570	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432
OG0001081	YEAST04460	DROME00421, DROME00420, DROME00419, DROME02998, DROME02997
OG0001082	YEAST03919, YEAST02905, YEAST05331	DROME16087, DROME16088, DROME16090, DROME16089
OG0001094	YEAST03837	DROME08185, DROME21556
OG0001095	YEAST00773	DROME09258, DROME09254, DROME09255, DROME09256, DROME09257, DROME09253
OG0001096	YEAST01384	DROME20588, DROME20589, DROME02389
OG0001101	YEAST03434	DROME01099
OG0001108	YEAST06309	DROME12857, DROME12858, DROME12856, DROME12855, DROME21101, DROME21100, DROME21098, DROME21099, DROME21102, DROME18011
OG0001111	YEAST06003	DROME01145, DROME15662
OG0001113	YEAST05320	DROME08567, DROME18531, DROME18532
OG0001113	YEAST00954	DROME01680
OG0001114	YEAST00036, YEAST05811	DROME00496, DROME16340, DROME16339, DROME14934, DROME16341
OG0001124	YEAST02719	DROME13810
OG0001132	YEAST05421	DROME12585, DROME12584, DROME12583, DROME12582
OG0001133	YEAST04296	DROME16631
OG0001133	YEAST03271	DROME02832
OG0001135	YEAST03641	DROME18153, DROME18152
OG0001136	YEAST05047, YEAST02997	DROME15241, DROME15244, DROME15239, DROME15245, DROME15243, DROME15240, DROME15238, DROME15242, DROME15236, DROME15237
