Orthogroup	YEAST	BRAFL
OG0000043	YEAST00224, YEAST01200	bflo_21607, bflo_03333, bflo_03334, bflo_21606, bflo_22480, bflo_21604, bflo_03332, bflo_20396, bflo_20397, bflo_26387, bflo_26388, bflo_26390, bflo_26385, bflo_26389, bflo_26386, bflo_01851, bflo_26391, bflo_26228, bflo_17461, bflo_25593, bflo_25594, bflo_25592, bflo_23222, bflo_23223, bflo_23219, bflo_23220, bflo_23221, bflo_23218, bflo_23236, bflo_18646, bflo_23211, bflo_07587, bflo_23226, bflo_23242, bflo_23238, bflo_23225, bflo_23224, bflo_19214
OG0000048	YEAST05707	bflo_15152, bflo_07462, bflo_17882, bflo_09143, bflo_09129, bflo_09102, bflo_27224, bflo_13732, bflo_11483, bflo_11417, bflo_05102, bflo_05104, bflo_17693, bflo_18962, bflo_22214, bflo_23171, bflo_19625, bflo_19404, bflo_20902, bflo_17669, bflo_20353, bflo_20337, bflo_12849
OG0000053	YEAST05460, YEAST01800	bflo_08643, bflo_08013
OG0000054	YEAST01385	bflo_10477, bflo_16354, bflo_16689, bflo_04388, bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284, bflo_15164
OG0000055	YEAST01199, YEAST00225	bflo_18013, bflo_21433, bflo_23317, bflo_23228, bflo_23240, bflo_23399, bflo_03335, bflo_20398, bflo_22481, bflo_20399, bflo_25595, bflo_25598, bflo_25596, bflo_17462, bflo_26379, bflo_26397, bflo_26396, bflo_26392, bflo_26395, bflo_26394, bflo_21609, bflo_21608, bflo_03336, bflo_23232, bflo_23227, bflo_23233, bflo_23235, bflo_23230, bflo_23231, bflo_23229, bflo_23234, bflo_23239, bflo_23195, bflo_23241, bflo_23237
OG0000058	YEAST02989	bflo_24517, bflo_05358, bflo_09194
OG0000058	YEAST02120	bflo_23140, bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935, bflo_19243, bflo_19245, bflo_19244, bflo_23048, bflo_23141, bflo_00086, bflo_23948, bflo_23142, bflo_24605, bflo_23135, bflo_23136
OG0000069	YEAST03661	bflo_20543, bflo_20542, bflo_20541, bflo_27333
OG0000069	YEAST05172	bflo_05168, bflo_23210
OG0000079	YEAST05330	bflo_00523, bflo_07371, bflo_20026, bflo_01658, bflo_04787, bflo_15789, bflo_21965, bflo_10278, bflo_21970, bflo_21968
OG0000082	YEAST03287	bflo_15900
OG0000082	YEAST04267, YEAST01834, YEAST03359	bflo_04889
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	bflo_00187, bflo_13856
OG0000095	YEAST02993	bflo_25489, bflo_01865, bflo_25182, bflo_11841, bflo_01804, bflo_01739, bflo_17156, bflo_03512
OG0000096	YEAST02643	bflo_21246, bflo_21213, bflo_11038
OG0000096	YEAST00638	bflo_17838
OG0000096	YEAST05104, YEAST05564	bflo_24085, bflo_09131, bflo_03032, bflo_18893
OG0000103	YEAST02873	bflo_00032, bflo_11180, bflo_11085, bflo_11875, bflo_11184, bflo_11179, bflo_11874, bflo_25842, bflo_00020, bflo_18284, bflo_20618, bflo_18283, bflo_17924, bflo_17758, bflo_00063, bflo_17754, bflo_17756, bflo_17751, bflo_17755, bflo_17752, bflo_00064, bflo_17757, bflo_17750, bflo_17749, bflo_23149, bflo_23791
OG0000107	YEAST05173	bflo_01852, bflo_21611, bflo_26398, bflo_23217, bflo_23247, bflo_21610, bflo_20401, bflo_23244, bflo_17463, bflo_12094, bflo_23245, bflo_23246, bflo_03338, bflo_03337, bflo_23249, bflo_23248
OG0000113	YEAST00378, YEAST01351, YEAST05581	bflo_25033, bflo_24791, bflo_00623, bflo_03827, bflo_03944, bflo_03952, bflo_03218, bflo_03217, bflo_01136, bflo_03958, bflo_03967, bflo_13900, bflo_13882, bflo_00036, bflo_24516, bflo_04504, bflo_07619
OG0000116	YEAST04456	bflo_08689, bflo_20788, bflo_20782, bflo_23861, bflo_08705, bflo_06882, bflo_01577, bflo_01252, bflo_01251, bflo_01104, bflo_06969, bflo_01254, bflo_20127, bflo_20129, bflo_18429, bflo_17359, bflo_03403, bflo_05410, bflo_25141
OG0000122	YEAST04928	bflo_02060, bflo_02098, bflo_02745, bflo_02079
OG0000124	YEAST01581, YEAST05113, YEAST03767	bflo_00313
OG0000124	YEAST04122	bflo_24557
OG0000127	YEAST06208	bflo_07113, bflo_07092, bflo_21614, bflo_21827, bflo_05798, bflo_06367, bflo_23284
OG0000132	YEAST06016	bflo_17456, bflo_25589, bflo_26376, bflo_25953, bflo_25590, bflo_25949, bflo_26371, bflo_26369, bflo_26372, bflo_00097, bflo_26373, bflo_26370, bflo_01753, bflo_26374, bflo_03326, bflo_03327, bflo_20394, bflo_21602, bflo_21603, bflo_03325, bflo_23200, bflo_23203, bflo_23205, bflo_23199, bflo_23202, bflo_23438
OG0000137	YEAST01851, YEAST00637	bflo_09259, bflo_06365, bflo_20235, bflo_02070, bflo_04279, bflo_15519, bflo_14495, bflo_03009, bflo_18504, bflo_17184, bflo_22195, bflo_08835, bflo_10584, bflo_17627, bflo_17554, bflo_17629, bflo_17769
OG0000142	YEAST02122	bflo_03118, bflo_25749, bflo_08776
OG0000158	YEAST05568	bflo_05936, bflo_15817
OG0000160	YEAST04194	bflo_01705, bflo_19837, bflo_19835, bflo_19840, bflo_22050, bflo_20492, bflo_19926, bflo_19836, bflo_19925, bflo_01559
OG0000175	YEAST00850, YEAST04327	bflo_23016, bflo_27417, bflo_07263, bflo_01467, bflo_01116, bflo_12851, bflo_01312, bflo_01117, bflo_13246, bflo_27066, bflo_13038
OG0000179	YEAST01123, YEAST04430	bflo_08207, bflo_09019, bflo_09021
OG0000179	YEAST02911, YEAST01281	bflo_26285, bflo_26298, bflo_13642, bflo_13826, bflo_13967
OG0000179	YEAST04108, YEAST03346	bflo_14243
OG0000181	YEAST00824, YEAST00771	bflo_18642, bflo_10985, bflo_08690, bflo_05297
OG0000186	YEAST00336	bflo_02546, bflo_02812, bflo_05784, bflo_16204, bflo_11482, bflo_17090, bflo_18489, bflo_18356, bflo_14115, bflo_13692, bflo_00080, bflo_21334, bflo_22015, bflo_07429, bflo_22026, bflo_22016, bflo_27377
OG0000194	YEAST01410	bflo_21202, bflo_21234, bflo_21437, bflo_25298, bflo_22596, bflo_13875, bflo_04521, bflo_09655, bflo_21442, bflo_16208, bflo_22482, bflo_21915, bflo_13415
OG0000195	YEAST03414	bflo_12247, bflo_11387, bflo_11071, bflo_22055, bflo_06670, bflo_06671, bflo_06263, bflo_21166
OG0000211	YEAST04964	bflo_12798, bflo_24378, bflo_09336, bflo_12040, bflo_25935, bflo_18019, bflo_09637, bflo_14216, bflo_06051, bflo_25629, bflo_06787
OG0000221	YEAST05872	bflo_02108, bflo_18535, bflo_18534, bflo_24796, bflo_00282
OG0000222	YEAST01460	bflo_14099, bflo_07131, bflo_00039, bflo_14098, bflo_15183, bflo_14097, bflo_00040, bflo_14514, bflo_24486, bflo_24255, bflo_05542
OG0000225	YEAST06146	bflo_11467, bflo_12198
OG0000227	YEAST05815	bflo_02314, bflo_02307, bflo_02636, bflo_10496
OG0000228	YEAST04750	bflo_06571, bflo_01182, bflo_20305, bflo_19868, bflo_18790, bflo_01983
OG0000233	YEAST03726, YEAST03241, YEAST03242	bflo_13285, bflo_18558, bflo_15944, bflo_15706, bflo_16241, bflo_16463
OG0000238	YEAST06340, YEAST03834	bflo_23355, bflo_22808, bflo_13165, bflo_16032
OG0000240	YEAST03827	bflo_04930
OG0000240	YEAST04973	bflo_08297, bflo_08298
OG0000242	YEAST00734	bflo_20686, bflo_18452, bflo_03394, bflo_03145, bflo_03738, bflo_12023, bflo_11849
OG0000246	YEAST01746, YEAST01747	bflo_18308, bflo_04734, bflo_17998, bflo_02064, bflo_02119, bflo_00811, bflo_01094, bflo_01324, bflo_01096, bflo_00005, bflo_00017, bflo_04772
OG0000250	YEAST04716	bflo_18168, bflo_27471, bflo_01291, bflo_19301, bflo_13424, bflo_14740, bflo_07487, bflo_03907
OG0000255	YEAST02822	bflo_20253, bflo_25398, bflo_21759, bflo_02995, bflo_03545, bflo_03501, bflo_09026, bflo_10822, bflo_26943, bflo_10188
OG0000256	YEAST00266	bflo_15939, bflo_05770, bflo_15447, bflo_15439, bflo_16355, bflo_06565, bflo_06704, bflo_05769, bflo_05771, bflo_02366
OG0000258	YEAST00118	bflo_22962, bflo_12243, bflo_27029, bflo_09846
OG0000260	YEAST04323	bflo_11239, bflo_10598
OG0000265	YEAST03885, YEAST03714	bflo_11416
OG0000272	YEAST02076, YEAST01066	bflo_20963, bflo_15845, bflo_19452, bflo_16180, bflo_22100, bflo_15847, bflo_15430, bflo_01179, bflo_15846, bflo_01687
OG0000274	YEAST02118, YEAST04573, YEAST01485	bflo_03639, bflo_26555, bflo_20638, bflo_07830, bflo_10410, bflo_02585, bflo_02441, bflo_02584, bflo_02210, bflo_03644, bflo_03640, bflo_03267, bflo_03269
OG0000278	YEAST03847	bflo_14386
OG0000278	YEAST03806	bflo_14160
OG0000278	YEAST04060	bflo_07463
OG0000284	YEAST05621	bflo_15835, bflo_05726, bflo_25543
OG0000289	YEAST00645	bflo_06472, bflo_25546, bflo_09861, bflo_09862
OG0000305	YEAST04899	bflo_11095, bflo_00776, bflo_26487
OG0000308	YEAST02548	bflo_21090, bflo_19079, bflo_23683, bflo_01607, bflo_12857
OG0000310	YEAST02635	bflo_21799, bflo_21828, bflo_21878, bflo_21890, bflo_21800, bflo_21316, bflo_21317, bflo_11809, bflo_11498, bflo_22698
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	bflo_02438, bflo_02608, bflo_22345, bflo_14984
OG0000313	YEAST05106	bflo_07081, bflo_24346
OG0000316	YEAST01673	bflo_26453, bflo_15463, bflo_07930, bflo_06029, bflo_05786
OG0000317	YEAST01356	bflo_27179, bflo_16112, bflo_25588, bflo_06250
OG0000321	YEAST03264	bflo_25250, bflo_14252, bflo_21833, bflo_24234
OG0000323	YEAST02249	bflo_20633, bflo_05046, bflo_06855, bflo_00944
OG0000326	YEAST06268, YEAST05286	bflo_24771
OG0000326	YEAST06056	bflo_24244, bflo_18099, bflo_05436, bflo_02499, bflo_17884, bflo_00946, bflo_00937, bflo_00010, bflo_00928, bflo_00963
OG0000326	YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	bflo_15022
OG0000327	YEAST01354	bflo_09079, bflo_08966, bflo_02571
OG0000338	YEAST02967	bflo_20075, bflo_21195
OG0000338	YEAST04211	bflo_13201
OG0000343	YEAST03024, YEAST02736	bflo_17341
OG0000345	YEAST01884	bflo_07289, bflo_07615, bflo_10887, bflo_01446
OG0000352	YEAST04069	bflo_25258, bflo_17369, bflo_04494
OG0000357	YEAST01925	bflo_21193, bflo_12361
OG0000359	YEAST02489	bflo_23810, bflo_20615, bflo_21858, bflo_21418, bflo_21948, bflo_11427, bflo_22311, bflo_01605, bflo_14379
OG0000363	YEAST04081, YEAST05870	bflo_16028, bflo_19825, bflo_20728, bflo_20486, bflo_19824, bflo_21073, bflo_04943
OG0000365	YEAST05831	bflo_25324, bflo_18240
OG0000367	YEAST02141, YEAST03746, YEAST03210	bflo_12373, bflo_12346, bflo_01421
OG0000372	YEAST05988	bflo_24061, bflo_15126, bflo_06799
OG0000373	YEAST02023	bflo_20268, bflo_20832
OG0000373	YEAST04495, YEAST01417, YEAST05964	bflo_22970
OG0000380	YEAST01047	bflo_13786, bflo_25961, bflo_26368, bflo_26363, bflo_21905, bflo_09502, bflo_00556, bflo_19004, bflo_00616, bflo_09262, bflo_20427, bflo_01996
OG0000385	YEAST03496	bflo_19604, bflo_18599
OG0000393	YEAST04072, YEAST04071	bflo_09981, bflo_03395, bflo_12314, bflo_10658, bflo_09983, bflo_13075, bflo_09730
OG0000393	YEAST01302	bflo_12974
OG0000397	YEAST05080	bflo_09318
OG0000399	YEAST02160	bflo_18860, bflo_06800, bflo_08038
OG0000400	YEAST05911	bflo_17776, bflo_19312, bflo_10838, bflo_16066, bflo_00008
OG0000402	YEAST01657, YEAST01929	bflo_10632, bflo_09977, bflo_13338, bflo_13171
OG0000405	YEAST06055, YEAST00411	bflo_06572
OG0000412	YEAST04469	bflo_08591, bflo_05972, bflo_16322
OG0000413	YEAST04905, YEAST05340	bflo_14739
OG0000413	YEAST02838	bflo_21427
OG0000419	YEAST05989	bflo_03805, bflo_06647, bflo_09952, bflo_07379
OG0000420	YEAST03886	bflo_17746, bflo_20236, bflo_23413, bflo_23958, bflo_23642, bflo_23570, bflo_23412, bflo_07686, bflo_23569, bflo_23414, bflo_07685
OG0000424	YEAST03563	bflo_07069, bflo_07072, bflo_03509, bflo_03507
OG0000426	YEAST03848, YEAST01121	bflo_10409
OG0000427	YEAST02655, YEAST02439	bflo_09135, bflo_24135, bflo_24132, bflo_23993, bflo_24588
OG0000429	YEAST02285	bflo_09712, bflo_01906, bflo_00989, bflo_26612, bflo_00993, bflo_00990, bflo_05299, bflo_17239, bflo_05214, bflo_17214
OG0000431	YEAST04014	bflo_23110, bflo_21622
OG0000433	YEAST06177, YEAST00117	bflo_22961, bflo_20671, bflo_17648
OG0000437	YEAST03074, YEAST02073	bflo_16797, bflo_13738, bflo_16390, bflo_13496
OG0000442	YEAST05012	bflo_21599, bflo_17568, bflo_17631
OG0000444	YEAST01115, YEAST04019	bflo_10204, bflo_10684
OG0000445	YEAST03068	bflo_24863, bflo_01964, bflo_05054, bflo_18289, bflo_00589, bflo_06262, bflo_07278
OG0000450	YEAST04709, YEAST05909	bflo_20906
OG0000461	YEAST00120	bflo_20096
OG0000467	YEAST03162	bflo_11110
OG0000468	YEAST04372	bflo_03275, bflo_03654, bflo_03645, bflo_03264, bflo_03637, bflo_12349, bflo_09961, bflo_09959, bflo_09520, bflo_23431
OG0000469	YEAST02179, YEAST05440	bflo_11324
OG0000469	YEAST00863	bflo_04725
OG0000474	YEAST02384	bflo_00234, bflo_26570, bflo_00340
OG0000476	YEAST03038	bflo_17083, bflo_17081, bflo_27202, bflo_17084, bflo_17087, bflo_06569, bflo_06568, bflo_06570
OG0000479	YEAST04139	bflo_17734, bflo_20950
OG0000480	YEAST05750	bflo_24500, bflo_24748
OG0000481	YEAST01040	bflo_20169, bflo_20171
OG0000481	YEAST00916	bflo_15712
OG0000481	YEAST00827, YEAST00774	bflo_07346
OG0000484	YEAST05824	bflo_25251
OG0000486	YEAST03122, YEAST04270	bflo_25698, bflo_15799, bflo_16994, bflo_13974, bflo_02817, bflo_07531
OG0000487	YEAST04968	bflo_00817, bflo_09879
OG0000487	YEAST02728	bflo_14910, bflo_09870, bflo_09874, bflo_14913
OG0000488	YEAST01414	bflo_07158, bflo_07132, bflo_01931, bflo_26845, bflo_07048, bflo_12530
OG0000490	YEAST04297, YEAST00894	bflo_16287
OG0000505	YEAST03067	bflo_07768, bflo_07648, bflo_07767
OG0000508	YEAST04626	bflo_18835, bflo_00915, bflo_20411
OG0000510	YEAST04569, YEAST05730	bflo_00250
OG0000515	YEAST04784, YEAST05876	bflo_07840, bflo_19448
OG0000519	YEAST04594, YEAST03616	bflo_04746, bflo_19841
OG0000520	YEAST02979	bflo_20469, bflo_23733, bflo_07206
OG0000523	YEAST01952, YEAST05838, YEAST06082	bflo_20597, bflo_05805, bflo_15596, bflo_15930, bflo_15929, bflo_01419, bflo_01438
OG0000529	YEAST05790, YEAST00048	bflo_24350, bflo_05041
OG0000534	YEAST04932	bflo_19475, bflo_19472, bflo_23132
OG0000549	YEAST06280, YEAST02610, YEAST05060	bflo_01736, bflo_06860, bflo_06875, bflo_06867, bflo_06869, bflo_06873, bflo_08772, bflo_09508, bflo_08773, bflo_17976, bflo_10802, bflo_09069, bflo_07906
OG0000552	YEAST05717	bflo_07608, bflo_14381, bflo_22570, bflo_14667
OG0000556	YEAST04616	bflo_04590, bflo_27152, bflo_04594, bflo_04578, bflo_04602, bflo_04580, bflo_26760, bflo_04569, bflo_04581, bflo_14127, bflo_14889, bflo_14921, bflo_15340, bflo_14848, bflo_14895, bflo_14908, bflo_15484, bflo_04603, bflo_04605, bflo_04604, bflo_26761, bflo_04608, bflo_04577, bflo_04607, bflo_04609, bflo_14180, bflo_14902, bflo_15488, bflo_14896, bflo_14893, bflo_18541, bflo_14888, bflo_14898, bflo_04598, bflo_04601, bflo_15483, bflo_14455, bflo_15489, bflo_27151, bflo_15480, bflo_15486, bflo_15490, bflo_15481, bflo_20909, bflo_04596, bflo_15491, bflo_04588, bflo_04595, bflo_04614, bflo_04611, bflo_15493, bflo_15496, bflo_14899, bflo_14918, bflo_04612, bflo_14900, bflo_15341, bflo_14912, bflo_14904, bflo_14903, bflo_04618, bflo_14992
OG0000561	YEAST06202, YEAST00331	bflo_08446, bflo_27388, bflo_22174, bflo_22164
OG0000562	YEAST00314	bflo_01967, bflo_12589, bflo_27046
OG0000563	YEAST01406	bflo_03331, bflo_03330, bflo_03146
OG0000566	YEAST05789, YEAST00049	bflo_08449, bflo_04927
OG0000573	YEAST05675	bflo_24510, bflo_06124
OG0000576	YEAST00470, YEAST00193	bflo_00644
OG0000579	YEAST02484	bflo_12221
OG0000582	YEAST03615	bflo_16708
OG0000587	YEAST04063	bflo_22172
OG0000587	YEAST03372	bflo_21539
OG0000588	YEAST05197	bflo_25659, bflo_18379
OG0000590	YEAST05110, YEAST05552, YEAST03727	bflo_02465, bflo_13755
OG0000592	YEAST00388	bflo_18259, bflo_18186, bflo_18254, bflo_09136
OG0000597	YEAST04330	bflo_20762, bflo_20033, bflo_08218
OG0000609	YEAST05180	bflo_06226, bflo_10430, bflo_12331, bflo_11801, bflo_12180, bflo_10255, bflo_10429, bflo_02450, bflo_25757, bflo_26350
OG0000612	YEAST02370	bflo_10795, bflo_08808
OG0000612	YEAST03629	bflo_13076
OG0000613	YEAST01072	bflo_01058, bflo_06280
OG0000623	YEAST02411	bflo_05993
OG0000623	YEAST05090	bflo_18608, bflo_22702
OG0000627	YEAST02116, YEAST03957	bflo_11148
OG0000639	YEAST02015	bflo_00204, bflo_13390
OG0000642	YEAST00618	bflo_06990
OG0000645	YEAST05140	bflo_13206
OG0000645	YEAST04743	bflo_08017
OG0000647	YEAST04534	bflo_10183, bflo_23085, bflo_10185
OG0000648	YEAST04178, YEAST05641	bflo_12702, bflo_12700
OG0000657	YEAST03846	bflo_05123, bflo_08313, bflo_05126
OG0000660	YEAST05150, YEAST01587	bflo_04466, bflo_18320, bflo_04617, bflo_13225
OG0000662	YEAST05937	bflo_09255, bflo_23849
OG0000663	YEAST02675, YEAST03294	bflo_00888, bflo_23628, bflo_06338, bflo_09350, bflo_14827, bflo_17699, bflo_17700, bflo_26019, bflo_04171, bflo_19376, bflo_07527, bflo_18187, bflo_21305, bflo_20187, bflo_21950, bflo_22513, bflo_05465, bflo_05466, bflo_00037, bflo_15313, bflo_20650, bflo_04957, bflo_04955, bflo_13482
OG0000672	YEAST03771	bflo_21591
OG0000672	YEAST00984	bflo_18607
OG0000676	YEAST01503	bflo_01208
OG0000676	YEAST02962	bflo_21661
OG0000683	YEAST03152, YEAST03537, YEAST05938	bflo_08553, bflo_25223
OG0000690	YEAST04874	bflo_00919
OG0000690	YEAST02296	bflo_17423
OG0000692	YEAST01969	bflo_25652
OG0000692	YEAST03487	bflo_06417, bflo_03456, bflo_18236, bflo_07356, bflo_24982, bflo_16738
OG0000694	YEAST05978	bflo_13584, bflo_22435, bflo_13061, bflo_17901, bflo_16417
OG0000699	YEAST05706	bflo_22458
OG0000701	YEAST02239, YEAST02223	bflo_10548
OG0000703	YEAST05314	bflo_07565
OG0000708	YEAST05997	bflo_25666, bflo_11530
OG0000709	YEAST00057	bflo_24062
OG0000724	YEAST02013	bflo_17159
OG0000732	YEAST04978	bflo_21787, bflo_25639
OG0000733	YEAST05474	bflo_12810, bflo_07935
OG0000735	YEAST05945	bflo_01496
OG0000737	YEAST05188	bflo_09049
OG0000744	YEAST05951	bflo_07888, bflo_08706, bflo_13928
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	bflo_16822, bflo_19075, bflo_22342
OG0000752	YEAST01432, YEAST04483	bflo_09173, bflo_17530, bflo_25764
OG0000753	YEAST01034, YEAST02037	bflo_07197, bflo_21758
OG0000757	YEAST01489	bflo_14431, bflo_20811, bflo_18826, bflo_04296
OG0000758	YEAST01504	bflo_01097
OG0000759	YEAST02878, YEAST05681	bflo_02579, bflo_02659
OG0000768	YEAST02560, YEAST04269	bflo_12288
OG0000772	YEAST04929	bflo_08683, bflo_02996, bflo_06062, bflo_13063
OG0000776	YEAST04571, YEAST00195, YEAST00312	bflo_09243, bflo_19338, bflo_21158, bflo_19331, bflo_19332
OG0000777	YEAST06297, YEAST02627	bflo_23099
OG0000779	YEAST03812	bflo_16829, bflo_05592
OG0000782	YEAST01393, YEAST05616	bflo_25636
OG0000791	YEAST02375	bflo_18766
OG0000794	YEAST04627	bflo_20321, bflo_27324
OG0000800	YEAST03636	bflo_09025
OG0000809	YEAST01998	bflo_25858
OG0000817	YEAST00389	bflo_00856, bflo_07439
OG0000817	YEAST06112	bflo_18969
OG0000824	YEAST01319, YEAST02883	bflo_13274
OG0000828	YEAST00945, YEAST05476, YEAST00075	bflo_12837, bflo_12204, bflo_07597
OG0000828	YEAST02290	bflo_20839
OG0000837	YEAST06222	bflo_00035, bflo_12566, bflo_01440, bflo_15081, bflo_01439
OG0000841	YEAST02416	bflo_13469
OG0000847	YEAST02881, YEAST03544, YEAST06198	bflo_21169
OG0000847	YEAST02530, YEAST00209	bflo_20471
OG0000849	YEAST04475	bflo_02361, bflo_19468
OG0000850	YEAST04287	bflo_25536, bflo_08991
OG0000852	YEAST01266	bflo_13268
OG0000854	YEAST00248	bflo_00536, bflo_07303, bflo_07298, bflo_18632, bflo_26078, bflo_07314, bflo_07317, bflo_07311, bflo_07307, bflo_01973, bflo_16247, bflo_16220, bflo_16222, bflo_16356, bflo_11684
OG0000855	YEAST04755	bflo_04775, bflo_04776, bflo_16604, bflo_04853, bflo_16597
OG0000857	YEAST00309	bflo_03314
OG0000868	YEAST06157	bflo_17556
OG0000871	YEAST03857	bflo_17545, bflo_10176
OG0000872	YEAST03222, YEAST03741	bflo_03017
OG0000875	YEAST00077	bflo_01017, bflo_19415
OG0000876	YEAST05556	bflo_02085
OG0000879	YEAST06123	bflo_21594, bflo_19083, bflo_24230, bflo_18829, bflo_05186
OG0000888	YEAST00288	bflo_05276, bflo_05832, bflo_07374, bflo_19321
OG0000889	YEAST00175	bflo_12593, bflo_21142
OG0000894	YEAST03763	bflo_14750, bflo_23023
OG0000896	YEAST02476	bflo_13131
OG0000896	YEAST04923	bflo_09970
OG0000898	YEAST06255, YEAST03431	bflo_01661, bflo_27387, bflo_22383, bflo_18644, bflo_18960, bflo_18639, bflo_18641, bflo_02165, bflo_17589, bflo_03891, bflo_03889, bflo_01144, bflo_14148, bflo_11015, bflo_21729, bflo_00527, bflo_15462, bflo_07227, bflo_12625, bflo_26024
OG0000905	YEAST00599	bflo_26708, bflo_03252, bflo_03307, bflo_03660
OG0000907	YEAST02193	bflo_25628
OG0000913	YEAST03557, YEAST05101	bflo_14588
OG0000914	YEAST04745	bflo_10973
OG0000921	YEAST02526	bflo_15652
OG0000925	YEAST05667, YEAST06025	bflo_09205, bflo_22447
OG0000932	YEAST03525	bflo_19999
OG0000933	YEAST06306	bflo_21958
