Orthogroup	YEAST	XENTR
OG0000523	YEAST01952, YEAST05838, YEAST06082	XENTR10295, XENTR14142, XENTR06979, XENTR10287, XENTR12571
OG0000529	YEAST05790, YEAST00048	XENTR04688, XENTR16534, XENTR03224, XENTR04094
OG0000534	YEAST04932	XENTR08607, XENTR06202, XENTR06939
OG0000538	YEAST00499	XENTR12900, XENTR13063, XENTR02989, XENTR02990
OG0000552	YEAST05717	XENTR04244, XENTR09263, XENTR15303
OG0000561	YEAST06202, YEAST00331	XENTR08505, XENTR08504, XENTR11638, XENTR07523
OG0000562	YEAST00314	XENTR08112, XENTR00450, XENTR10477
OG0000563	YEAST01406	XENTR13310, XENTR01198
OG0000566	YEAST05789, YEAST00049	XENTR08330, XENTR08129, XENTR08128, XENTR02577
OG0000573	YEAST05675	XENTR11849, XENTR00290, XENTR12035, XENTR12034, XENTR08127
OG0000576	YEAST00470, YEAST00193	XENTR08548, XENTR01107, XENTR13035
OG0000578	YEAST01208, YEAST00759	XENTR16212, XENTR09090, XENTR03873, XENTR03874, XENTR02080, XENTR02081
OG0000579	YEAST02484	XENTR09281, XENTR02526, XENTR06804, XENTR04843, XENTR06803, XENTR06802
OG0000582	YEAST03615	XENTR06486, XENTR09933, XENTR15164, XENTR11764
OG0000587	YEAST04063	XENTR08579, XENTR15453, XENTR11141, XENTR11142
OG0000587	YEAST03372	XENTR02064
OG0000588	YEAST05197	XENTR06511, XENTR13248, XENTR15252, XENTR17128
OG0000590	YEAST05110, YEAST05552, YEAST03727	XENTR14925, XENTR01750, XENTR12267, XENTR05220, XENTR09959, XENTR09960, XENTR17798, XENTR17799
OG0000592	YEAST00388	XENTR05738, XENTR09881, XENTR09851, XENTR16083
OG0000597	YEAST04330	XENTR17671, XENTR17670, XENTR19170, XENTR01128, XENTR02665, XENTR08682
OG0000609	YEAST05180	XENTR09031, XENTR09032, XENTR02746, XENTR02747, XENTR09422, XENTR03782
OG0000612	YEAST02370	XENTR15265, XENTR02014, XENTR19287
OG0000612	YEAST03629	XENTR02467
OG0000613	YEAST01072	XENTR09622, XENTR03003, XENTR12862, XENTR14077, XENTR01460
OG0000623	YEAST02411	XENTR07882
OG0000623	YEAST05090	XENTR16677, XENTR03896
OG0000627	YEAST02116, YEAST03957	XENTR10097, XENTR14582
OG0000639	YEAST02015	XENTR14136, XENTR08621, XENTR10212, XENTR12548, XENTR02478
OG0000642	YEAST00618	XENTR11733, XENTR01651
OG0000645	YEAST05140	XENTR00518
OG0000645	YEAST04743	XENTR04338, XENTR04602, XENTR15906
OG0000647	YEAST04534	XENTR08053, XENTR13028, XENTR13027, XENTR17079
OG0000648	YEAST04178, YEAST05641	XENTR08177, XENTR08176, XENTR08178, XENTR10991
OG0000657	YEAST03846	XENTR09582, XENTR05287
OG0000660	YEAST05150, YEAST01587	XENTR01113, XENTR00531, XENTR03245
OG0000662	YEAST05937	XENTR12483, XENTR01671, XENTR04789
OG0000663	YEAST02675, YEAST03294	XENTR00226, XENTR13935, XENTR13936, XENTR13937
OG0000672	YEAST03771	XENTR10536, XENTR18111
OG0000672	YEAST00984	XENTR14352
OG0000676	YEAST01503	XENTR05112, XENTR10868
OG0000676	YEAST02962	XENTR08597, XENTR02025, XENTR07079
OG0000683	YEAST03152, YEAST03537, YEAST05938	XENTR15130, XENTR06503, XENTR00426
OG0000690	YEAST04874	XENTR12763, XENTR09156
OG0000690	YEAST02296	XENTR16042
OG0000692	YEAST03487	XENTR09451
OG0000694	YEAST05978	XENTR09772
OG0000699	YEAST05706	XENTR15466, XENTR05930, XENTR17608, XENTR08575, XENTR08574, XENTR15520, XENTR15465
OG0000701	YEAST02239, YEAST02223	XENTR08735, XENTR08734, XENTR08926, XENTR08927, XENTR06451, XENTR01949
OG0000703	YEAST05314	XENTR08730, XENTR08729, XENTR05594
OG0000708	YEAST05997	XENTR03991, XENTR06811
OG0000709	YEAST00057	XENTR12794, XENTR12280
OG0000724	YEAST02013	XENTR15314
OG0000732	YEAST04978	XENTR11927, XENTR08594, XENTR13213, XENTR00357
OG0000733	YEAST05474	XENTR12956, XENTR09501, XENTR05537, XENTR08499
OG0000735	YEAST05945	XENTR03017, XENTR16831, XENTR00243, XENTR00244
OG0000737	YEAST05188	XENTR14208, XENTR06458
OG0000744	YEAST05951	XENTR04571, XENTR16235, XENTR02481
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	XENTR18661, XENTR01647
OG0000752	YEAST01432, YEAST04483	XENTR14203, XENTR03680, XENTR00306, XENTR11450
OG0000753	YEAST01034, YEAST02037	XENTR13232, XENTR16935, XENTR06041, XENTR06042
OG0000757	YEAST01489	XENTR13722, XENTR08421, XENTR08420, XENTR10378
OG0000758	YEAST01504	XENTR12870, XENTR12401, XENTR02503, XENTR06058, XENTR05483
OG0000759	YEAST02878, YEAST05681	XENTR03136, XENTR03134, XENTR01884, XENTR05238, XENTR18352
OG0000768	YEAST02560, YEAST04269	XENTR00756, XENTR13472, XENTR18974
OG0000772	YEAST04929	XENTR07457, XENTR07456, XENTR07455, XENTR08353
OG0000776	YEAST04571, YEAST00195, YEAST00312	XENTR04910, XENTR05244
OG0000777	YEAST06297, YEAST02627	XENTR03884, XENTR01854, XENTR13724
OG0000779	YEAST03812	XENTR06178, XENTR02460, XENTR07467, XENTR06587
OG0000782	YEAST01393, YEAST05616	XENTR15723, XENTR08315, XENTR12833, XENTR02660
OG0000791	YEAST02375	XENTR01881, XENTR06218, XENTR04189
OG0000794	YEAST04627	XENTR04044, XENTR01141, XENTR18009
OG0000800	YEAST03636	XENTR09887
OG0000809	YEAST01998	XENTR00087, XENTR14827, XENTR06847
OG0000817	YEAST00389	XENTR05219, XENTR09302
OG0000817	YEAST06112	XENTR17704, XENTR17705
OG0000824	YEAST01319, YEAST02883	XENTR04940, XENTR04939, XENTR11038
OG0000828	YEAST00945, YEAST05476, YEAST00075	XENTR00582
OG0000828	YEAST02290	XENTR06348
OG0000837	YEAST06222	XENTR12402, XENTR04077, XENTR09514, XENTR18045
OG0000841	YEAST02416	XENTR17534, XENTR09566, XENTR09621, XENTR09619, XENTR08800
OG0000847	YEAST02881, YEAST03544, YEAST06198	XENTR18143, XENTR18591
OG0000847	YEAST02530, YEAST00209	XENTR00819
OG0000849	YEAST04475	XENTR02560, XENTR07414, XENTR04112
OG0000850	YEAST04287	XENTR00057, XENTR12447
OG0000852	YEAST01266	XENTR17178, XENTR02441, XENTR15626
OG0000855	YEAST04755	XENTR02574, XENTR02573
OG0000857	YEAST00309	XENTR11492
OG0000868	YEAST06157	XENTR15673, XENTR08506, XENTR15115, XENTR19272, XENTR11597, XENTR04476, XENTR18653
OG0000871	YEAST03857	XENTR14179
OG0000872	YEAST03222, YEAST03741	XENTR10169, XENTR12689, XENTR12885
OG0000875	YEAST00077	XENTR15432, XENTR08213
OG0000876	YEAST05556	XENTR06284, XENTR06285, XENTR03810, XENTR01097
OG0000879	YEAST06123	XENTR10540, XENTR18110, XENTR03813
OG0000888	YEAST00288	XENTR12831, XENTR13292, XENTR13291, XENTR01928
OG0000889	YEAST00175	XENTR17043, XENTR16104, XENTR00818
OG0000894	YEAST03763	XENTR12194, XENTR04788, XENTR16604
OG0000896	YEAST02476	XENTR18869
OG0000896	YEAST04923	XENTR13448, XENTR09474
OG0000898	YEAST06255, YEAST03431	XENTR03982, XENTR12217
OG0000905	YEAST00599	XENTR07482, XENTR18937
OG0000907	YEAST02193	XENTR04660, XENTR05742
OG0000913	YEAST03557, YEAST05101	XENTR01593, XENTR13952
OG0000914	YEAST04745	XENTR11295, XENTR10460, XENTR02522, XENTR02868
OG0000921	YEAST02526	XENTR08015, XENTR09161
OG0000925	YEAST05667, YEAST06025	XENTR13985, XENTR02311
OG0000932	YEAST03525	XENTR13910, XENTR16709
OG0000933	YEAST06306	XENTR09950, XENTR06630, XENTR08513
OG0000934	YEAST02582, YEAST06252	XENTR14739, XENTR18207
OG0000934	YEAST05040	XENTR11383, XENTR18032
OG0000935	YEAST02843	XENTR12574, XENTR06757, XENTR07228, XENTR08768
OG0000943	YEAST03805	XENTR19197, XENTR06447
OG0000944	YEAST04878	XENTR10992, XENTR07595, XENTR10654, XENTR10653, XENTR03094, XENTR03561, XENTR14742, XENTR14462, XENTR00679
OG0000954	YEAST05503, YEAST01249	XENTR04163, XENTR07349, XENTR07350
OG0000955	YEAST00837	XENTR15251
OG0000955	YEAST04295	XENTR15299
OG0000963	YEAST03685, YEAST00482, YEAST01749	XENTR09828, XENTR00065
OG0000964	YEAST04606	XENTR15845, XENTR11986, XENTR11979
OG0000965	YEAST02552	XENTR14312
OG0000965	YEAST02050	XENTR16944
OG0000967	YEAST05075	XENTR08823, XENTR06702
OG0000970	YEAST04028	XENTR17949, XENTR01182
OG0000982	YEAST01182	XENTR15733, XENTR18658, XENTR06997
OG0000984	YEAST01493, YEAST00575	XENTR03417, XENTR01286, XENTR01285
OG0000986	YEAST01481, YEAST04073	XENTR04261, XENTR01926
OG0000987	YEAST04734, YEAST02734	XENTR06356, XENTR03812
OG0000994	YEAST02360	XENTR15055, XENTR12451, XENTR12452, XENTR02702, XENTR02703, XENTR02701
OG0000996	YEAST00033	XENTR00689, XENTR11665, XENTR03250
OG0001001	YEAST00341	XENTR17916, XENTR02303
OG0001003	YEAST00644	XENTR06440, XENTR12183
OG0001006	YEAST04513	XENTR01787, XENTR11011, XENTR15378, XENTR09358
OG0001016	YEAST00830	XENTR06361, XENTR11007
OG0001018	YEAST01172	XENTR12838, XENTR13405
OG0001024	YEAST01024, YEAST00308	XENTR05573, XENTR09290, XENTR01956
OG0001033	YEAST02124	XENTR00028, XENTR04288, XENTR04289, XENTR10639
OG0001066	YEAST06311	XENTR08375, XENTR18939, XENTR01227, XENTR05175
OG0001075	YEAST05636	XENTR05482, XENTR14239, XENTR06059
OG0001076	YEAST01570	XENTR04369, XENTR03450
OG0001081	YEAST04460	XENTR11483, XENTR11482
OG0001082	YEAST03919, YEAST02905, YEAST05331	XENTR04166, XENTR03787
OG0001094	YEAST03837	XENTR06671, XENTR12802, XENTR09938
OG0001095	YEAST00773	XENTR12897, XENTR04215
OG0001096	YEAST01384	XENTR04979, XENTR04980, XENTR10593
OG0001101	YEAST03434	XENTR16380
OG0001101	YEAST04701	XENTR18754
OG0001108	YEAST06309	XENTR08568, XENTR01519
OG0001114	YEAST00036, YEAST05811	XENTR05283, XENTR05282, XENTR18949
OG0001124	YEAST02719	XENTR16582, XENTR06212
OG0001132	YEAST05421	XENTR06989
OG0001133	YEAST04296	XENTR17678
OG0001133	YEAST03271	XENTR15362
OG0001134	YEAST05015	XENTR10250, XENTR00965, XENTR03216, XENTR03221
OG0001135	YEAST03641	XENTR14974, XENTR01797, XENTR01779
OG0001136	YEAST05047, YEAST02997	XENTR10642, XENTR00557, XENTR12118
OG0001140	YEAST03519	XENTR00230, XENTR13675, XENTR13933
OG0001142	YEAST04001	XENTR06629
OG0001163	YEAST02433	XENTR08141
OG0001164	YEAST03454	XENTR00877
OG0001171	YEAST04620, YEAST03578	XENTR19114, XENTR06589, XENTR07471, XENTR02457
OG0001175	YEAST00534	XENTR04334, XENTR01937
OG0001177	YEAST06137	XENTR04520, XENTR01947
OG0001179	YEAST00368, YEAST04831, YEAST02287	XENTR01714
OG0001181	YEAST02051	XENTR02917, XENTR13969
OG0001184	YEAST01681	XENTR11761, XENTR16633
OG0001185	YEAST04969	XENTR05474, XENTR09610, XENTR09609
OG0001186	YEAST04605, YEAST01886	XENTR07680, XENTR03745, XENTR03736
