Orthogroup	YEAST	CAPO3
OG0000308	YEAST02548	CAPO304037, CAPO303083
OG0000310	YEAST02635	CAPO305978
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	CAPO304557, CAPO302691, CAPO307944
OG0000313	YEAST05106	CAPO307072
OG0000313	YEAST02950, YEAST05526	CAPO301348
OG0000315	YEAST04684	CAPO308167
OG0000316	YEAST01673	CAPO307924, CAPO300321
OG0000317	YEAST01356	CAPO306620
OG0000321	YEAST03264	CAPO303657, CAPO307405, CAPO307156
OG0000326	YEAST06268, YEAST05286	CAPO308358, CAPO307947
OG0000326	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	CAPO303322
OG0000327	YEAST01354	CAPO308120
OG0000334	YEAST05626	CAPO300337
OG0000338	YEAST02967, YEAST04211	CAPO304735
OG0000343	YEAST03024, YEAST02736	CAPO306429
OG0000345	YEAST01884	CAPO304859, CAPO300769
OG0000352	YEAST04069	CAPO300356
OG0000357	YEAST01925	CAPO301487
OG0000359	YEAST02489	CAPO305417, CAPO301540, CAPO306866
OG0000363	YEAST04081, YEAST05870	CAPO300237, CAPO305594
OG0000365	YEAST05831	CAPO302286
OG0000367	YEAST02141, YEAST03746, YEAST03210	CAPO301272
OG0000372	YEAST05988	CAPO307553
OG0000373	YEAST02023	CAPO301744, CAPO307539
OG0000385	YEAST03496	CAPO300182, CAPO305781, CAPO305517
OG0000393	YEAST04072, YEAST04071, YEAST01302	CAPO307627
OG0000397	YEAST05080	CAPO304372
OG0000399	YEAST02160	CAPO302781
OG0000402	YEAST01657, YEAST01929	CAPO300999
OG0000405	YEAST06055, YEAST00411	CAPO300636
OG0000412	YEAST04469	CAPO304962, CAPO306384, CAPO307159
OG0000413	YEAST04905, YEAST05340	CAPO302663
OG0000413	YEAST02838	CAPO304678
OG0000419	YEAST05989	CAPO301169, CAPO304227
OG0000420	YEAST03886	CAPO307162
OG0000424	YEAST03563	CAPO302770, CAPO306814, CAPO303750
OG0000426	YEAST03440	CAPO302714
OG0000426	YEAST03848, YEAST01121, YEAST04098, YEAST00799	CAPO306829
OG0000427	YEAST02655, YEAST02439	CAPO302870, CAPO303813
OG0000429	YEAST02285	CAPO300725
OG0000431	YEAST04014	CAPO306585, CAPO304684, CAPO302955
OG0000433	YEAST06177, YEAST00117	CAPO304838, CAPO302573
OG0000437	YEAST03074, YEAST02073	CAPO300952
OG0000442	YEAST05012	CAPO302753, CAPO302633, CAPO301179
OG0000444	YEAST01115, YEAST04019	CAPO305423, CAPO301239
OG0000445	YEAST03068	CAPO301584
OG0000450	YEAST04709, YEAST05909	CAPO307586, CAPO307446
OG0000461	YEAST00120, YEAST05345	CAPO307456
OG0000467	YEAST01593, YEAST04241, YEAST05317	CAPO302815
OG0000467	YEAST03162	CAPO302214
OG0000468	YEAST04372	CAPO302003, CAPO303185
OG0000469	YEAST02179, YEAST05440	CAPO306584, CAPO302277
OG0000469	YEAST02333	CAPO302982
OG0000474	YEAST02384	CAPO307766
OG0000476	YEAST03038	CAPO306104
OG0000479	YEAST04139	CAPO303549, CAPO304267
OG0000480	YEAST05750	CAPO307201
OG0000481	YEAST01040	CAPO300053
OG0000481	YEAST00916	CAPO304800
OG0000481	YEAST00827, YEAST00774	CAPO304355
OG0000484	YEAST05824	CAPO304750
OG0000486	YEAST03122, YEAST04270	CAPO306048, CAPO306972
OG0000488	YEAST01414	CAPO305871
OG0000490	YEAST04297, YEAST00894	CAPO304482, CAPO302264
OG0000491	YEAST06196, YEAST00317	CAPO306985
OG0000505	YEAST03067	CAPO303790, CAPO306121
OG0000508	YEAST04626	CAPO303408, CAPO307945, CAPO306082, CAPO307989, CAPO301076, CAPO302590
OG0000510	YEAST04569, YEAST05730	CAPO303128, CAPO305095
OG0000519	YEAST04594, YEAST03616	CAPO300709
OG0000520	YEAST02979	CAPO302094, CAPO304720
OG0000529	YEAST05790, YEAST00048	CAPO307357
OG0000538	YEAST00499	CAPO300039, CAPO302001
OG0000549	YEAST06280, YEAST02610, YEAST05060	CAPO303878, CAPO305341, CAPO307968
OG0000552	YEAST05717	CAPO302805
OG0000556	YEAST04616	CAPO305079
OG0000561	YEAST06202, YEAST00331	CAPO302123, CAPO307817, CAPO304686, CAPO304296
OG0000563	YEAST01406	CAPO305151
OG0000566	YEAST05789, YEAST00049	CAPO306820
OG0000573	YEAST05675	CAPO301573, CAPO300482
OG0000578	YEAST01208, YEAST00759	CAPO305505
OG0000579	YEAST02484	CAPO304566, CAPO303994, CAPO303635
OG0000587	YEAST04063	CAPO304868
OG0000588	YEAST05197	CAPO301971, CAPO300701
OG0000590	YEAST05110, YEAST05552, YEAST03727	CAPO302664, CAPO307990
OG0000592	YEAST00388	CAPO302552
OG0000597	YEAST04330	CAPO305949
OG0000609	YEAST05180	CAPO302298, CAPO305915, CAPO306415
OG0000612	YEAST02370	CAPO308174
OG0000612	YEAST03629	CAPO300901, CAPO304977
OG0000613	YEAST01072	CAPO306741, CAPO303985
OG0000623	YEAST02411	CAPO306891
OG0000623	YEAST05090	CAPO306678
OG0000627	YEAST02116, YEAST03957	CAPO301912
OG0000639	YEAST02015	CAPO300322, CAPO305269
OG0000642	YEAST00618	CAPO307461, CAPO301979, CAPO301558, CAPO307468, CAPO303537, CAPO307029, CAPO305272, CAPO302782, CAPO302430, CAPO302938, CAPO302939, CAPO304769, CAPO302566
OG0000645	YEAST05140	CAPO306925
OG0000645	YEAST04743	CAPO307784, CAPO304648
OG0000648	YEAST04178, YEAST05641	CAPO307637, CAPO304025, CAPO306715, CAPO307568
OG0000657	YEAST03846	CAPO304461, CAPO304462
OG0000660	YEAST05150, YEAST01587	CAPO304213, CAPO305761
OG0000662	YEAST05937	CAPO308235
OG0000663	YEAST02675, YEAST03294	CAPO303713
OG0000672	YEAST03771	CAPO301072
OG0000672	YEAST00984	CAPO301848
OG0000676	YEAST01503	CAPO304343, CAPO305288
OG0000676	YEAST02962	CAPO300920, CAPO304680
OG0000683	YEAST03152, YEAST03537, YEAST05938	CAPO304912, CAPO305392, CAPO303509
OG0000690	YEAST04874	CAPO306653
OG0000690	YEAST02296	CAPO306445
OG0000692	YEAST01969	CAPO301383, CAPO306980
OG0000692	YEAST03487	CAPO306169
OG0000694	YEAST05978	CAPO300050, CAPO302468, CAPO305615
OG0000699	YEAST05706	CAPO306785, CAPO302735
OG0000701	YEAST02239, YEAST02223	CAPO306727
OG0000703	YEAST05314	CAPO308078
OG0000708	YEAST05997	CAPO302130, CAPO300640
OG0000709	YEAST00057	CAPO305451
OG0000724	YEAST02013	CAPO300826, CAPO302469
OG0000732	YEAST04978	CAPO304867, CAPO302445
OG0000733	YEAST05474	CAPO301695
OG0000735	YEAST05945	CAPO302824, CAPO303452
OG0000737	YEAST05188	CAPO304586
OG0000752	YEAST01432, YEAST04483	CAPO300507, CAPO305335
OG0000753	YEAST01034, YEAST02037	CAPO301378
OG0000757	YEAST01489	CAPO307096, CAPO300067
OG0000758	YEAST01504	CAPO300817, CAPO305275
OG0000759	YEAST02878, YEAST05681	CAPO300473
OG0000765	YEAST02282, YEAST01897	CAPO301648
OG0000768	YEAST02560, YEAST04269	CAPO301427, CAPO302005, CAPO306612, CAPO302492, CAPO307738, CAPO305672, CAPO305904
OG0000772	YEAST04929	CAPO304708, CAPO302709
OG0000776	YEAST04571, YEAST00195, YEAST00312	CAPO307356
OG0000777	YEAST06297, YEAST02627	CAPO308227, CAPO301548, CAPO307744, CAPO304271
OG0000779	YEAST03812	CAPO305943, CAPO303136, CAPO300301
OG0000782	YEAST01393, YEAST05616	CAPO303574
OG0000791	YEAST02375	CAPO304699
OG0000794	YEAST04627	CAPO304031, CAPO300402
OG0000809	YEAST01998	CAPO304242
OG0000817	YEAST06112	CAPO303823, CAPO300023, CAPO308202
OG0000824	YEAST01319, YEAST02883	CAPO303788
OG0000828	YEAST00945, YEAST05476, YEAST00075	CAPO306023
OG0000828	YEAST02290	CAPO307153
OG0000837	YEAST06222	CAPO308104, CAPO303511
OG0000841	YEAST02416	CAPO300281, CAPO307470
OG0000847	YEAST02881, YEAST03544, YEAST06198	CAPO301759, CAPO307057
OG0000847	YEAST02530, YEAST00209	CAPO308298
OG0000849	YEAST04475	CAPO304492
OG0000850	YEAST04287	CAPO302141, CAPO306299
OG0000852	YEAST01266	CAPO307622
OG0000854	YEAST00248	CAPO305914
OG0000857	YEAST00309	CAPO302559, CAPO303021, CAPO303022
OG0000871	YEAST03857	CAPO300407
OG0000872	YEAST03222, YEAST03741	CAPO308293
OG0000875	YEAST00077	CAPO303418, CAPO302903
OG0000876	YEAST05556	CAPO302150
OG0000879	YEAST06123	CAPO304627, CAPO301982
OG0000888	YEAST00288	CAPO300320, CAPO301794
OG0000889	YEAST00175	CAPO302257, CAPO304144
OG0000894	YEAST03763	CAPO300968, CAPO300967, CAPO301227
OG0000896	YEAST02476	CAPO301183
OG0000896	YEAST04923	CAPO304049
OG0000898	YEAST06255, YEAST03431	CAPO302619
OG0000905	YEAST00599	CAPO303384
OG0000913	YEAST03557, YEAST05101	CAPO300255
OG0000914	YEAST04745	CAPO302002
OG0000921	YEAST02526	CAPO300272, CAPO306351
OG0000925	YEAST05667, YEAST06025	CAPO304563
OG0000932	YEAST03525	CAPO306783
OG0000933	YEAST06306	CAPO304170
OG0000934	YEAST02582, YEAST06252	CAPO306946, CAPO300619
OG0000934	YEAST05040	CAPO304006
OG0000935	YEAST02843	CAPO307401
OG0000944	YEAST04878	CAPO304090
OG0000954	YEAST05503, YEAST01249	CAPO303535, CAPO305800
OG0000955	YEAST00837	CAPO303429
OG0000955	YEAST04295	CAPO308190
OG0000963	YEAST03685, YEAST00482, YEAST01749	CAPO303990
OG0000965	YEAST02552	CAPO305928
OG0000965	YEAST02050	CAPO302148
OG0000967	YEAST05075	CAPO304786
OG0000970	YEAST04028	CAPO301807
OG0000982	YEAST01182	CAPO301371, CAPO305575
OG0000984	YEAST01493, YEAST00575	CAPO307940
OG0000986	YEAST01481, YEAST04073	CAPO305058
OG0000987	YEAST04734, YEAST02734	CAPO306365
OG0000994	YEAST02360	CAPO306999
OG0000996	YEAST00033	CAPO304603
OG0001006	YEAST04513	CAPO308145
OG0001016	YEAST00830	CAPO300038, CAPO302596
OG0001018	YEAST02803, YEAST05933	CAPO303169
OG0001018	YEAST01172	CAPO306716, CAPO306611, CAPO305382, CAPO301254, CAPO304645, CAPO305732, CAPO300643
OG0001024	YEAST01024, YEAST00308	CAPO300862
OG0001033	YEAST01594	CAPO303016
OG0001033	YEAST02124	CAPO300376
OG0001064	YEAST00458	CAPO304594
OG0001066	YEAST06311	CAPO305156
OG0001075	YEAST05636	CAPO305658
OG0001076	YEAST01570	CAPO306580
OG0001081	YEAST04460	CAPO302911
OG0001082	YEAST03919, YEAST02905, YEAST05331	CAPO306944
OG0001094	YEAST03837	CAPO301309
OG0001095	YEAST00773	CAPO303064
OG0001096	YEAST01384	CAPO308143
OG0001101	YEAST03434	CAPO301529
OG0001108	YEAST06309	CAPO300863
OG0001113	YEAST05320	CAPO302840
OG0001113	YEAST00954	CAPO304589
OG0001114	YEAST00036, YEAST05811	CAPO301899, CAPO307418
OG0001124	YEAST02719	CAPO307326
OG0001132	YEAST05421	CAPO303538
OG0001133	YEAST04296	CAPO302577
OG0001133	YEAST03271	CAPO300360
OG0001134	YEAST05015	CAPO304261
OG0001135	YEAST03641	CAPO300673, CAPO304787
OG0001136	YEAST05047, YEAST02997	CAPO301949
OG0001140	YEAST03519	CAPO308326
OG0001142	YEAST04001	CAPO304790
OG0001163	YEAST02433	CAPO301684, CAPO307755, CAPO304886
OG0001164	YEAST03454	CAPO304142
OG0001171	YEAST04620, YEAST03578	CAPO300420, CAPO303195, CAPO305267
OG0001175	YEAST00534	CAPO304133, CAPO306812
OG0001179	YEAST00368, YEAST04831, YEAST02287	CAPO303470, CAPO303655, CAPO300184
OG0001181	YEAST02051	CAPO301983
OG0001184	YEAST01681	CAPO306392
OG0001185	YEAST04969	CAPO303366
OG0001186	YEAST04605, YEAST01886	CAPO302303, CAPO307451
OG0001191	YEAST04707	CAPO301625
OG0001197	YEAST01499	CAPO306552
OG0001201	YEAST05452	CAPO302220
OG0001207	YEAST03225, YEAST00090	CAPO304292
OG0001207	YEAST04258	CAPO305627, CAPO302093
OG0001210	YEAST05511	CAPO300919
OG0001210	YEAST02318	CAPO302732, CAPO302555
OG0001212	YEAST03971	CAPO305298, CAPO305297
OG0001214	YEAST00577	CAPO304780, CAPO303564
OG0001216	YEAST00145	CAPO307997
OG0001236	YEAST03325, YEAST02687, YEAST03269	CAPO300962
OG0001241	YEAST02002	CAPO303368
OG0001241	YEAST03967, YEAST01074	CAPO304888
OG0001249	YEAST01062, YEAST02067	CAPO306922
OG0001250	YEAST02968, YEAST01339	CAPO302323
OG0001251	YEAST00750	CAPO304205
OG0001251	YEAST01707	CAPO302019
OG0001253	YEAST03998	CAPO306156
OG0001254	YEAST04309	CAPO307546
OG0001262	YEAST00911	CAPO301672
OG0001263	YEAST00172	CAPO301777
OG0001268	YEAST03495	CAPO303692
OG0001270	YEAST01703	CAPO306176
OG0001270	YEAST02398	CAPO304393
OG0001271	YEAST05227, YEAST00662	CAPO302779
OG0001278	YEAST01893	CAPO306229
OG0001279	YEAST03070	CAPO302733, CAPO303292
OG0001280	YEAST00846	CAPO300326
OG0001282	YEAST03744	CAPO305993, CAPO303595
OG0001284	YEAST00567, YEAST01498	CAPO300970
OG0001286	YEAST00588, YEAST01486, YEAST03604	CAPO303892
OG0001291	YEAST04453, YEAST04334	CAPO300695
OG0001300	YEAST01098	CAPO303702, CAPO301019, CAPO300154
OG0001302	YEAST02328	CAPO302654
OG0001302	YEAST00299	CAPO302215
OG0001310	YEAST00887	CAPO305405, CAPO300151
OG0001318	YEAST03712	CAPO306280, CAPO303315
OG0001319	YEAST01678	CAPO304915
OG0001321	YEAST02280, YEAST01901	CAPO301358
OG0001322	YEAST06128	CAPO302022
OG0001324	YEAST00078	CAPO302080
OG0001325	YEAST00793	CAPO304115
OG0001326	YEAST05395	CAPO306149
OG0001327	YEAST03176	CAPO305568
OG0001332	YEAST03929, YEAST02705, YEAST00687	CAPO305487
OG0001333	YEAST00728	CAPO301191, CAPO305523
OG0001341	YEAST06006	CAPO307567, CAPO304661
OG0001345	YEAST03613	CAPO306177, CAPO303460
OG0001353	YEAST00020, YEAST04041	CAPO303379, CAPO301816
OG0001364	YEAST06038, YEAST00402	CAPO307249
OG0001367	YEAST04688	CAPO304628
OG0001370	YEAST04067, YEAST05195, YEAST00897	CAPO305064, CAPO306956
OG0001372	YEAST00070	CAPO301063
OG0001372	YEAST02226, YEAST04198, YEAST02307	CAPO306529
OG0001375	YEAST05499, YEAST05567	CAPO300461
OG0001378	YEAST02300	CAPO302717
OG0001379	YEAST04155	CAPO304865
OG0001386	YEAST05114	CAPO305078
OG0001397	YEAST05731	CAPO306119
OG0001400	YEAST02931	CAPO305841
OG0001409	YEAST00885, YEAST04659	CAPO300832
OG0001410	YEAST05046	CAPO304381, CAPO303461
OG0001411	YEAST04834	CAPO301653
OG0001412	YEAST04490	CAPO304843
OG0001413	YEAST04294	CAPO300375
OG0001414	YEAST06070, YEAST01920	CAPO301834, CAPO303273
OG0001415	YEAST04230, YEAST00964	CAPO307087
OG0001421	YEAST05252	CAPO305364
OG0001422	YEAST05588, YEAST01363	CAPO300002, CAPO308345, CAPO303120
OG0001424	YEAST01127	CAPO304776
OG0001427	YEAST01885	CAPO302723
OG0001428	YEAST04862, YEAST05862, YEAST02749, YEAST03037	CAPO303027
OG0001430	YEAST01712	CAPO300562
OG0001434	YEAST03991	CAPO304740
OG0001437	YEAST01264, YEAST02900	CAPO304955
OG0001445	YEAST01715	CAPO301958
OG0001449	YEAST03188	CAPO306822
OG0001449	YEAST03423	CAPO307511
OG0001452	YEAST05900	CAPO301933, CAPO304964
OG0001454	YEAST01495, YEAST00573	CAPO303806
OG0001456	YEAST00365	CAPO307965
OG0001459	YEAST03073, YEAST03464	CAPO307035
OG0001461	YEAST05255	CAPO303413, CAPO301012, CAPO307458, CAPO305472
OG0001468	YEAST03875, YEAST03904	CAPO306475
OG0001469	YEAST02070	CAPO306371
OG0001469	YEAST02765	CAPO301724
OG0001470	YEAST00369, YEAST05375	CAPO305163
OG0001472	YEAST03031	CAPO300986, CAPO305311
OG0001473	YEAST05711	CAPO304310
OG0001474	YEAST01416, YEAST05312	CAPO306191
OG0001478	YEAST01984	CAPO303095
OG0001478	YEAST02078	CAPO304965
OG0001479	YEAST01132	CAPO306515
OG0001503	YEAST03032	CAPO305666
OG0001503	YEAST02920	CAPO307598
OG0001504	YEAST05406	CAPO307661
OG0001505	YEAST03361	CAPO301009
OG0001515	YEAST03569	CAPO302117
OG0001520	YEAST02474, YEAST02313	CAPO300134
OG0001524	YEAST03912	CAPO300996, CAPO308304
OG0001525	YEAST00757	CAPO307245, CAPO303907
OG0001527	YEAST01395	CAPO300128, CAPO307636
OG0001529	YEAST01143	CAPO300593
OG0001530	YEAST00643	CAPO302602
OG0001546	YEAST03111	CAPO301865
OG0001551	YEAST04817	CAPO306604
OG0001553	YEAST05147, YEAST01586	CAPO308172
OG0001557	YEAST04551	CAPO304176
OG0001558	YEAST04449	CAPO301132, CAPO303811
OG0001559	YEAST00445, YEAST02434	CAPO301785
OG0001561	YEAST06176	CAPO301999
OG0001564	YEAST05390	CAPO301061
OG0001570	YEAST04678	CAPO303364
OG0001573	YEAST03285	CAPO305125, CAPO303819, CAPO304762
OG0001578	YEAST01872	CAPO300715
OG0001580	YEAST06270	CAPO307900
OG0001590	YEAST03476, YEAST00717, YEAST03955	CAPO306067, CAPO302386
OG0001594	YEAST03418	CAPO307886, CAPO304243
OG0001597	YEAST01702	CAPO302703
OG0001603	YEAST02584	CAPO306228
OG0001604	YEAST01428	CAPO303898
OG0001605	YEAST04101	CAPO307473
OG0001609	YEAST02739	CAPO304683, CAPO302057
OG0001610	YEAST02062	CAPO301483
OG0001612	YEAST01109	CAPO302202
OG0001628	YEAST04790	CAPO300760, CAPO302722
OG0001635	YEAST03523, YEAST05394	CAPO300153
OG0001635	YEAST00156, YEAST01988, YEAST02833	CAPO303711
OG0001653	YEAST01151	CAPO305118
OG0001655	YEAST03354	CAPO302812
OG0001657	YEAST00101, YEAST00944	CAPO304165, CAPO303952, CAPO300404
OG0001663	YEAST05642	CAPO301057
OG0001676	YEAST02848	CAPO300524
OG0001676	YEAST06155	CAPO305992, CAPO305255
OG0001679	YEAST05302, YEAST02334, YEAST02449, YEAST01523	CAPO302155, CAPO305784
OG0001680	YEAST01119, YEAST04022	CAPO304235, CAPO304477
OG0001685	YEAST01147	CAPO307707
OG0001687	YEAST05279	CAPO302907
OG0001691	YEAST01315	CAPO307420
OG0001704	YEAST01293	CAPO304434
OG0001706	YEAST03424	CAPO301033, CAPO304245, CAPO304012, CAPO300702
OG0001707	YEAST06049, YEAST00407, YEAST04739	CAPO303836
OG0001708	YEAST05744, YEAST05745	CAPO303804
OG0001709	YEAST04440	CAPO304969
OG0001713	YEAST04039	CAPO308041, CAPO302278
OG0001718	YEAST01537	CAPO300964, CAPO301559, CAPO301838
OG0001721	YEAST04881, YEAST05253, YEAST00698	CAPO302302
OG0001723	YEAST01435	CAPO308089
OG0001727	YEAST04543	CAPO301729
OG0001728	YEAST03347	CAPO304086
OG0001730	YEAST00177	CAPO303469
OG0001736	YEAST04588	CAPO300355
OG0001739	YEAST03760	CAPO304154
OG0001750	YEAST03628	CAPO304954
OG0001756	YEAST00620	CAPO301153, CAPO306605
OG0001769	YEAST04726	CAPO300754, CAPO306748
OG0001770	YEAST02590	CAPO304551
OG0001774	YEAST05166	CAPO302411
OG0001775	YEAST05594	CAPO300385, CAPO303998
OG0001780	YEAST03768	CAPO305647
OG0001781	YEAST01882	CAPO304059, CAPO306335
OG0001782	YEAST02421	CAPO302329
OG0001787	YEAST03546	CAPO302384
OG0001792	YEAST04331	CAPO305067
OG0001792	YEAST04595	CAPO302146
OG0001793	YEAST02466	CAPO302934, CAPO300098
OG0001805	YEAST05496, YEAST01242	CAPO300912, CAPO301307
OG0001807	YEAST05464	CAPO305640
OG0001808	YEAST01298	CAPO300354
OG0001818	YEAST05902, YEAST04712	CAPO302088
OG0001822	YEAST04378, YEAST01659	CAPO301119
OG0001828	YEAST04676	CAPO305081
OG0001831	YEAST00024	CAPO306824
OG0001832	YEAST05376	CAPO300612
OG0001846	YEAST04351, YEAST04434	CAPO305028
OG0001846	YEAST05067	CAPO307118
OG0001850	YEAST01913	CAPO301689
OG0001852	YEAST03121	CAPO304588, CAPO303604, CAPO307101
OG0001857	YEAST04741	CAPO306766
OG0001860	YEAST00188	CAPO306960
OG0001861	YEAST05779, YEAST04773	CAPO305094, CAPO303333, CAPO306489
OG0001863	YEAST03017	CAPO300966, CAPO307080
OG0001865	YEAST06037, YEAST00399	CAPO301778
OG0001865	YEAST02919	CAPO302509
OG0001866	YEAST05095, YEAST05570	CAPO306683
OG0001867	YEAST01669	CAPO305885, CAPO302026
OG0001873	YEAST00981, YEAST00267	CAPO305494
OG0001875	YEAST04137	CAPO303129, CAPO300770
OG0001877	YEAST04134	CAPO305419
OG0001886	YEAST03260	CAPO301013
OG0001888	YEAST05749, YEAST01573	CAPO307373
OG0001894	YEAST00433	CAPO300859, CAPO305070, CAPO302912, CAPO302464, CAPO305462
OG0001900	YEAST05969, YEAST05053, YEAST00581	CAPO306468, CAPO308362
OG0001903	YEAST06020	CAPO301651
OG0001913	YEAST05520	CAPO308270
OG0001915	YEAST04791	CAPO305922
OG0001917	YEAST01859	CAPO303937
OG0001923	YEAST05881	CAPO300364
OG0001926	YEAST02948	CAPO308203
OG0001932	YEAST03770, YEAST03179	CAPO304653
OG0001935	YEAST00431	CAPO301339
OG0001938	YEAST03931	CAPO303883
OG0001940	YEAST04188, YEAST05646	CAPO307447
OG0001943	YEAST02393, YEAST05966	CAPO306393, CAPO304272
OG0001945	YEAST01671	CAPO302125, CAPO302413
OG0001947	YEAST02570	CAPO306182, CAPO302176
OG0001951	YEAST00941, YEAST05396	CAPO305792
OG0001952	YEAST04673, YEAST01990, YEAST00155	CAPO301278, CAPO304117, CAPO301699
OG0001965	YEAST04582	CAPO305377
OG0001968	YEAST04910	CAPO303436
OG0001969	YEAST06173	CAPO301897
OG0001972	YEAST01822, YEAST03363	CAPO302726
OG0001985	YEAST04959	CAPO307425
OG0001992	YEAST02679	CAPO301694
OG0001998	YEAST00890	CAPO304169, CAPO304168
OG0002001	YEAST00502, YEAST03944	CAPO301730, CAPO305766
OG0002003	YEAST02826, YEAST03671	CAPO306645
OG0002008	YEAST00768	CAPO308237
OG0002010	YEAST00609	CAPO303286
OG0002014	YEAST02422	CAPO305309
OG0002015	YEAST05525	CAPO304377
OG0002025	YEAST03650	CAPO301502
OG0002026	YEAST01247	CAPO307889, CAPO306582
OG0002029	YEAST02646	CAPO301097, CAPO303181, CAPO304041
OG0002031	YEAST02752	CAPO300135
OG0002032	YEAST01221	CAPO304689
OG0002042	YEAST02880	CAPO300525
OG0002043	YEAST04003	CAPO306649
OG0002062	YEAST05454	CAPO301382
OG0002063	YEAST00838	CAPO302417
OG0002067	YEAST03444	CAPO302721
OG0002069	YEAST05962	CAPO306402
OG0002073	YEAST04552	CAPO302333
OG0002076	YEAST03141, YEAST02206	CAPO303117
OG0002078	YEAST06232	CAPO302217
OG0002079	YEAST05765, YEAST00483	CAPO302876, CAPO301402
OG0002080	YEAST05220, YEAST04736	CAPO307474, CAPO307552
OG0002084	YEAST04529	CAPO300150
OG0002087	YEAST05702	CAPO306536
OG0002093	YEAST02255	CAPO304254
OG0002097	YEAST02697	CAPO302111
OG0002101	YEAST03902	CAPO307803
OG0002103	YEAST05974	CAPO305235
OG0002106	YEAST03654	CAPO300071
OG0002107	YEAST04340	CAPO302852
