Orthogroup	YEAST	NEMVE
OG0000116	YEAST04456	NEMVE11443, NEMVE21821, NEMVE13450, NEMVE22004, NEMVE21900, NEMVE13056, NEMVE00509, NEMVE00502
OG0000122	YEAST04928	NEMVE05937, NEMVE10909, NEMVE00926
OG0000124	YEAST01581, YEAST05113, YEAST03767	NEMVE25045
OG0000124	YEAST04122	NEMVE14854
OG0000127	YEAST06208	NEMVE01422, NEMVE17320, NEMVE09363, NEMVE23154, NEMVE24353, NEMVE22473, NEMVE08166, NEMVE10526, NEMVE06686, NEMVE13457, NEMVE07029, NEMVE22419, NEMVE06422, NEMVE00274, NEMVE08437, NEMVE08799
OG0000132	YEAST06016	NEMVE06029, NEMVE23708, NEMVE01902, NEMVE00818, NEMVE00836, NEMVE00732, NEMVE00832, NEMVE00761, NEMVE00751, NEMVE00762, NEMVE00731, NEMVE15492, NEMVE01916
OG0000137	YEAST01851, YEAST00637	NEMVE20817, NEMVE18407, NEMVE09537, NEMVE02104, NEMVE16617, NEMVE07756, NEMVE01665, NEMVE07752, NEMVE04562, NEMVE10746, NEMVE08414, NEMVE08549, NEMVE22935
OG0000142	YEAST02122	NEMVE15266, NEMVE13476, NEMVE21939, NEMVE20784, NEMVE21838, NEMVE25141, NEMVE13728, NEMVE18434, NEMVE18435, NEMVE09154
OG0000157	YEAST02851	NEMVE22690
OG0000158	YEAST05568	NEMVE19203, NEMVE24928
OG0000160	YEAST04194	NEMVE02932, NEMVE13008, NEMVE08785, NEMVE13435, NEMVE07078, NEMVE05120, NEMVE14840, NEMVE11396, NEMVE00322, NEMVE10352, NEMVE08354, NEMVE16396
OG0000175	YEAST00850, YEAST04327	NEMVE07460, NEMVE08062, NEMVE00450, NEMVE15112
OG0000179	YEAST01123, YEAST04430	NEMVE22700
OG0000179	YEAST02911, YEAST01281	NEMVE14969, NEMVE18776, NEMVE18777
OG0000179	YEAST04108, YEAST03346	NEMVE07348
OG0000181	YEAST00824, YEAST00771	NEMVE24124, NEMVE23021, NEMVE13840, NEMVE02915, NEMVE13666, NEMVE22609, NEMVE13944, NEMVE14380
OG0000186	YEAST00336	NEMVE11331, NEMVE20616, NEMVE25738, NEMVE21024, NEMVE18157, NEMVE20659, NEMVE14351, NEMVE16713, NEMVE05104, NEMVE15453, NEMVE19006, NEMVE23359, NEMVE14805, NEMVE05720, NEMVE13342
OG0000194	YEAST01410	NEMVE11646, NEMVE08721
OG0000195	YEAST03414	NEMVE15098
OG0000211	YEAST04964	NEMVE13306, NEMVE20025, NEMVE13795, NEMVE08404, NEMVE10361, NEMVE00039, NEMVE08412, NEMVE13225, NEMVE22330, NEMVE12945, NEMVE10733
OG0000221	YEAST05872	NEMVE15584, NEMVE10984, NEMVE08618, NEMVE01044, NEMVE13312, NEMVE05724
OG0000222	YEAST01460	NEMVE13376, NEMVE24575, NEMVE01198, NEMVE01838
OG0000225	YEAST06146	NEMVE22802, NEMVE01960
OG0000227	YEAST05815	NEMVE04785, NEMVE09031, NEMVE06657, NEMVE07158, NEMVE07017, NEMVE03569, NEMVE03503
OG0000228	YEAST04750	NEMVE18402, NEMVE24491
OG0000233	YEAST03726, YEAST03241, YEAST03242	NEMVE19933, NEMVE23674, NEMVE17770, NEMVE07293, NEMVE22062, NEMVE09623, NEMVE15678, NEMVE12114, NEMVE15649, NEMVE22120, NEMVE04606, NEMVE25346, NEMVE17242, NEMVE09384, NEMVE18592, NEMVE14816, NEMVE05033, NEMVE16788, NEMVE03178, NEMVE08203, NEMVE11146, NEMVE22314, NEMVE14327, NEMVE05004, NEMVE15261, NEMVE18597, NEMVE10949, NEMVE08984, NEMVE03253, NEMVE09878, NEMVE03750, NEMVE04925, NEMVE09883, NEMVE09513, NEMVE03299, NEMVE10204, NEMVE18957, NEMVE03780, NEMVE09128, NEMVE03227, NEMVE13621, NEMVE07264, NEMVE23575, NEMVE06118, NEMVE17690, NEMVE23381, NEMVE07794, NEMVE19735, NEMVE01329, NEMVE06691, NEMVE09821
OG0000238	YEAST06340, YEAST03834	NEMVE12144, NEMVE01679, NEMVE14698, NEMVE17148, NEMVE11381
OG0000240	YEAST04973	NEMVE22712
OG0000242	YEAST00734	NEMVE05130, NEMVE00647, NEMVE02184, NEMVE02502, NEMVE13212, NEMVE11211, NEMVE20228, NEMVE20918, NEMVE10099
OG0000246	YEAST01746, YEAST01747	NEMVE12875, NEMVE09525, NEMVE24900, NEMVE06591
OG0000250	YEAST04716	NEMVE10328, NEMVE11858, NEMVE03349, NEMVE03839, NEMVE04035, NEMVE01028, NEMVE01357, NEMVE10051, NEMVE01219, NEMVE11185, NEMVE10375, NEMVE10373, NEMVE21573, NEMVE02434, NEMVE14142
OG0000255	YEAST02822	NEMVE08943, NEMVE09558, NEMVE09130, NEMVE09131, NEMVE10975, NEMVE13921, NEMVE24435, NEMVE13695
OG0000256	YEAST00266	NEMVE06790
OG0000258	YEAST00118	NEMVE02000, NEMVE06308, NEMVE03906, NEMVE09736, NEMVE25195
OG0000260	YEAST04323	NEMVE12050, NEMVE10877, NEMVE13152, NEMVE12262, NEMVE00014, NEMVE09437, NEMVE09435
OG0000265	YEAST05674	NEMVE22133
OG0000265	YEAST03885, YEAST03714	NEMVE00125, NEMVE14956
OG0000272	YEAST02076, YEAST01066	NEMVE07513, NEMVE13586, NEMVE14612, NEMVE16771
OG0000274	YEAST02118, YEAST04573, YEAST01485	NEMVE04059, NEMVE11669, NEMVE03222
OG0000278	YEAST03847	NEMVE19249
OG0000278	YEAST03806	NEMVE11833
OG0000278	YEAST04060	NEMVE13169
OG0000284	YEAST05621	NEMVE23786, NEMVE20213, NEMVE09228
OG0000289	YEAST00645	NEMVE22048, NEMVE20877
OG0000305	YEAST04899	NEMVE13195, NEMVE14852, NEMVE22819
OG0000308	YEAST02548	NEMVE06289, NEMVE04922, NEMVE08666, NEMVE02882, NEMVE07008, NEMVE14481, NEMVE22536
OG0000310	YEAST02635	NEMVE06421, NEMVE21881, NEMVE10980, NEMVE15268
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	NEMVE09939, NEMVE17449, NEMVE14828, NEMVE02480
OG0000313	YEAST05106	NEMVE07772, NEMVE22122, NEMVE21924
OG0000313	YEAST02950	NEMVE10402, NEMVE08939
OG0000315	YEAST01921, YEAST01710	NEMVE08087
OG0000315	YEAST04684	NEMVE07786
OG0000316	YEAST01673	NEMVE24260, NEMVE25545, NEMVE24434, NEMVE16620, NEMVE14868, NEMVE08746, NEMVE01734, NEMVE19492
OG0000317	YEAST01356	NEMVE23254, NEMVE21983, NEMVE08727, NEMVE14298, NEMVE21499, NEMVE17462, NEMVE15696, NEMVE05454, NEMVE21780, NEMVE20889
OG0000321	YEAST03264	NEMVE09410, NEMVE02272, NEMVE06455, NEMVE07991, NEMVE09403, NEMVE01701, NEMVE09405
OG0000323	YEAST02249	NEMVE20491, NEMVE09087, NEMVE13071, NEMVE14851
OG0000326	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	NEMVE13638
OG0000327	YEAST01354	NEMVE17335, NEMVE07831, NEMVE04692, NEMVE14295, NEMVE06814, NEMVE24780
OG0000338	YEAST02967	NEMVE23189, NEMVE10431
OG0000338	YEAST04211	NEMVE14053
OG0000343	YEAST03024, YEAST02736	NEMVE03840, NEMVE10282, NEMVE10285
OG0000345	YEAST01884	NEMVE05810, NEMVE00031, NEMVE06094, NEMVE05822, NEMVE13377, NEMVE23409
OG0000352	YEAST04069	NEMVE06598, NEMVE05333, NEMVE08174, NEMVE09599
OG0000357	YEAST01925	NEMVE24307, NEMVE08179, NEMVE21183
OG0000359	YEAST02489	NEMVE05129, NEMVE12401
OG0000363	YEAST04081, YEAST05870	NEMVE13781, NEMVE02006, NEMVE12633, NEMVE21531, NEMVE08135, NEMVE17010
OG0000365	YEAST05831	NEMVE05713, NEMVE16499, NEMVE16500, NEMVE13296, NEMVE23348, NEMVE15875, NEMVE15874, NEMVE19775, NEMVE15125, NEMVE24695, NEMVE20905
OG0000367	YEAST02141, YEAST03746, YEAST03210	NEMVE15237
OG0000372	YEAST05988	NEMVE15104, NEMVE17540, NEMVE21923, NEMVE13274, NEMVE13664, NEMVE18040
OG0000373	YEAST02023	NEMVE23724
OG0000373	YEAST04495, YEAST01417, YEAST05964	NEMVE07978
OG0000380	YEAST01047	NEMVE06348, NEMVE17453, NEMVE17204
OG0000385	YEAST03496	NEMVE22772, NEMVE04943, NEMVE19068, NEMVE04910
OG0000393	YEAST04072, YEAST04071	NEMVE10034, NEMVE23058
OG0000393	YEAST01302	NEMVE10184
OG0000397	YEAST05080	NEMVE17031, NEMVE01578
OG0000399	YEAST02160	NEMVE08302, NEMVE02783, NEMVE21873, NEMVE03144, NEMVE13243, NEMVE13654
OG0000400	YEAST05911	NEMVE05371, NEMVE02413, NEMVE03765, NEMVE00138, NEMVE10669, NEMVE07515, NEMVE00077, NEMVE06853, NEMVE24198
OG0000402	YEAST01657, YEAST01929	NEMVE01259, NEMVE08796, NEMVE12680, NEMVE24242, NEMVE07426, NEMVE15505, NEMVE15504, NEMVE13271, NEMVE07421
OG0000405	YEAST06055, YEAST00411	NEMVE13877
OG0000412	YEAST04469	NEMVE12461, NEMVE13451, NEMVE16451, NEMVE06524, NEMVE00046
OG0000413	YEAST04905, YEAST05340	NEMVE05971
OG0000413	YEAST02838	NEMVE18974
OG0000419	YEAST05989	NEMVE04862
OG0000420	YEAST03886	NEMVE15235, NEMVE22999, NEMVE13892, NEMVE00087
OG0000424	YEAST03563	NEMVE13993, NEMVE20112, NEMVE07389, NEMVE14806, NEMVE19359, NEMVE13676
OG0000426	YEAST03440	NEMVE05016
OG0000426	YEAST03848, YEAST01121	NEMVE22427
OG0000427	YEAST02655, YEAST02439	NEMVE19474, NEMVE10410, NEMVE10716
OG0000429	YEAST02285	NEMVE13930, NEMVE22433
OG0000433	YEAST06177, YEAST00117	NEMVE05274, NEMVE25882, NEMVE19705
OG0000442	YEAST05012	NEMVE15081, NEMVE00053, NEMVE13826, NEMVE15124
OG0000444	YEAST01115, YEAST04019	NEMVE14919, NEMVE13025, NEMVE11937, NEMVE06859
OG0000445	YEAST03068	NEMVE14650
OG0000450	YEAST04709, YEAST05909	NEMVE22423
OG0000461	YEAST00120	NEMVE01791, NEMVE24592
OG0000467	YEAST03162	NEMVE22373, NEMVE14048
OG0000468	YEAST04372	NEMVE13616
OG0000469	YEAST02179, YEAST05440	NEMVE09305
OG0000469	YEAST02333	NEMVE19141, NEMVE03029
OG0000469	YEAST00863	NEMVE11884, NEMVE14640
OG0000474	YEAST02384	NEMVE14315, NEMVE13253, NEMVE13254, NEMVE07691, NEMVE14866, NEMVE22564, NEMVE20392, NEMVE06375
OG0000476	YEAST03038	NEMVE26012, NEMVE14062, NEMVE18829
OG0000479	YEAST04139	NEMVE08501, NEMVE01571
OG0000480	YEAST05750	NEMVE15945, NEMVE13632, NEMVE03415
OG0000481	YEAST01040	NEMVE14291
OG0000481	YEAST00916	NEMVE08558, NEMVE19919
OG0000481	YEAST00827, YEAST00774	NEMVE15147
OG0000484	YEAST05824	NEMVE01977
OG0000487	YEAST04968	NEMVE15441, NEMVE15284, NEMVE17178, NEMVE15364, NEMVE18053, NEMVE16703, NEMVE16612
OG0000488	YEAST01414	NEMVE15686, NEMVE21984, NEMVE10971, NEMVE05317, NEMVE01783, NEMVE08013
OG0000490	YEAST04297, YEAST00894	NEMVE10885, NEMVE01389, NEMVE17356
OG0000505	YEAST03067	NEMVE01165, NEMVE08537
OG0000508	YEAST04626	NEMVE02382, NEMVE05943, NEMVE14310, NEMVE00947
OG0000510	YEAST04569, YEAST05730	NEMVE20557, NEMVE22375
OG0000515	YEAST04784, YEAST05876	NEMVE15353, NEMVE06339, NEMVE00211
OG0000519	YEAST04594, YEAST03616	NEMVE08236, NEMVE08233, NEMVE20583
OG0000520	YEAST02979	NEMVE02355, NEMVE06381, NEMVE15120, NEMVE15641, NEMVE11102, NEMVE11257
OG0000523	YEAST04693, YEAST04692	NEMVE12972
OG0000523	YEAST01952, YEAST05838, YEAST06082	NEMVE14414, NEMVE12314, NEMVE14490, NEMVE25107
OG0000529	YEAST05790, YEAST00048	NEMVE16403, NEMVE03332
OG0000538	YEAST00499	NEMVE04777
OG0000549	YEAST06280, YEAST02610, YEAST05060	NEMVE02972, NEMVE17041, NEMVE07249, NEMVE12537, NEMVE17324, NEMVE10001, NEMVE05564, NEMVE13118, NEMVE14115, NEMVE08371, NEMVE04872
OG0000552	YEAST05717	NEMVE21688, NEMVE07685, NEMVE13052, NEMVE19772, NEMVE22528
OG0000561	YEAST06202, YEAST00331	NEMVE17880, NEMVE13983, NEMVE07923
OG0000562	YEAST00314	NEMVE19147, NEMVE24693, NEMVE02828, NEMVE00965, NEMVE00354, NEMVE11153
OG0000563	YEAST01406	NEMVE22560
OG0000566	YEAST05789, YEAST00049	NEMVE01452, NEMVE21317, NEMVE08143, NEMVE25701, NEMVE12453
OG0000573	YEAST05675	NEMVE07663, NEMVE24870
OG0000576	YEAST00470, YEAST00193	NEMVE22593
OG0000578	YEAST01208, YEAST00759	NEMVE11292, NEMVE25126
OG0000579	YEAST02484	NEMVE14544, NEMVE13622, NEMVE13623
OG0000582	YEAST03615	NEMVE25170
OG0000587	YEAST04063	NEMVE06172
OG0000587	YEAST03372	NEMVE07185
OG0000588	YEAST05197	NEMVE17749, NEMVE01142, NEMVE19423, NEMVE22311, NEMVE14453, NEMVE14794
OG0000590	YEAST05110, YEAST05552, YEAST03727	NEMVE13093, NEMVE24419
OG0000592	YEAST00388	NEMVE07461, NEMVE13635
OG0000597	YEAST04330	NEMVE01043, NEMVE17081
OG0000609	YEAST05180	NEMVE21819, NEMVE20971, NEMVE21996
OG0000612	YEAST02370	NEMVE12444, NEMVE10606, NEMVE19230
OG0000612	YEAST03629	NEMVE05951
OG0000613	YEAST01072	NEMVE10324, NEMVE22948, NEMVE10497, NEMVE12410, NEMVE07547, NEMVE08041, NEMVE06754, NEMVE10305, NEMVE24275, NEMVE00459, NEMVE10326
OG0000623	YEAST02411	NEMVE01534
OG0000623	YEAST05090	NEMVE08660
OG0000627	YEAST02116, YEAST03957	NEMVE26024, NEMVE23606, NEMVE06184
OG0000639	YEAST02015	NEMVE13335, NEMVE13125, NEMVE04888
OG0000642	YEAST00618	NEMVE06951, NEMVE04073, NEMVE20533, NEMVE01613, NEMVE08879
OG0000645	YEAST05140	NEMVE09157
OG0000645	YEAST04743	NEMVE23952
OG0000647	YEAST04534	NEMVE14504, NEMVE21056
OG0000648	YEAST04178, YEAST05641	NEMVE15084, NEMVE22274
OG0000657	YEAST03846	NEMVE20682, NEMVE25706, NEMVE01678, NEMVE25705, NEMVE20473, NEMVE12346, NEMVE25351, NEMVE21856
OG0000660	YEAST05150, YEAST01587	NEMVE09574, NEMVE22331
OG0000662	YEAST05937	NEMVE13299, NEMVE13159, NEMVE01041
OG0000663	YEAST02675, YEAST03294	NEMVE12167, NEMVE24135, NEMVE22597, NEMVE13590
OG0000665	YEAST02105	NEMVE24332
OG0000672	YEAST03771	NEMVE22550, NEMVE12239
OG0000672	YEAST00984	NEMVE22511
OG0000676	YEAST01503	NEMVE24025
OG0000676	YEAST02962	NEMVE10858, NEMVE20237, NEMVE10856
OG0000683	YEAST03152, YEAST03537, YEAST05938	NEMVE21952, NEMVE09341
OG0000690	YEAST04874	NEMVE04578
OG0000690	YEAST02296	NEMVE25619
OG0000692	YEAST01969	NEMVE16262, NEMVE25899, NEMVE06218, NEMVE05252, NEMVE06220, NEMVE20255
OG0000692	YEAST03487	NEMVE18773, NEMVE10690, NEMVE10687, NEMVE25957
OG0000694	YEAST05978	NEMVE18564
OG0000699	YEAST05706	NEMVE13812, NEMVE21875, NEMVE05953, NEMVE06767, NEMVE22384, NEMVE24758
OG0000701	YEAST02239, YEAST02223	NEMVE21835
OG0000703	YEAST05314	NEMVE15172
OG0000708	YEAST05997	NEMVE25462, NEMVE00535, NEMVE24967
OG0000709	YEAST00057	NEMVE22208
OG0000724	YEAST02013	NEMVE05669
OG0000732	YEAST04978	NEMVE16239, NEMVE22346
OG0000733	YEAST05474	NEMVE13174, NEMVE19750, NEMVE00072
OG0000735	YEAST05945	NEMVE14467
OG0000737	YEAST05188	NEMVE10658
OG0000744	YEAST05951	NEMVE09152
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	NEMVE09518, NEMVE18143
OG0000752	YEAST01432, YEAST04483	NEMVE04535, NEMVE14796, NEMVE20340, NEMVE15527
OG0000753	YEAST01034, YEAST02037	NEMVE09279, NEMVE20008, NEMVE09763, NEMVE18346
OG0000757	YEAST01489	NEMVE25201, NEMVE05970
OG0000758	YEAST01504	NEMVE16740, NEMVE10014, NEMVE20484, NEMVE10012, NEMVE19854
OG0000759	YEAST02878, YEAST05681	NEMVE07096, NEMVE07127, NEMVE15354
OG0000768	YEAST02560, YEAST04269	NEMVE24837, NEMVE20124
OG0000772	YEAST04929	NEMVE03979, NEMVE14663, NEMVE13205, NEMVE10521, NEMVE10515, NEMVE14130, NEMVE06923
OG0000776	YEAST04571, YEAST00195, YEAST00312	NEMVE25221, NEMVE11470, NEMVE23261
OG0000777	YEAST06297, YEAST02627	NEMVE01908, NEMVE05532, NEMVE21910, NEMVE15143
OG0000779	YEAST03812	NEMVE24334, NEMVE02313
OG0000782	YEAST01393, YEAST05616	NEMVE10772
OG0000791	YEAST02375	NEMVE13487
OG0000794	YEAST04627	NEMVE13875
OG0000800	YEAST03636	NEMVE14672, NEMVE19724, NEMVE21859, NEMVE14222, NEMVE11273, NEMVE13140, NEMVE06468
OG0000809	YEAST01998	NEMVE22186, NEMVE08335, NEMVE12321
OG0000817	YEAST00389	NEMVE14686, NEMVE01689, NEMVE21825
OG0000817	YEAST06112	NEMVE14311
OG0000824	YEAST01319, YEAST02883	NEMVE05752
OG0000828	YEAST00945, YEAST05476, YEAST00075	NEMVE13102, NEMVE13594
OG0000828	YEAST02290	NEMVE15094
OG0000837	YEAST06222	NEMVE25541
OG0000841	YEAST02416	NEMVE05492
OG0000847	YEAST02881, YEAST03544, YEAST06198	NEMVE17291, NEMVE07778
OG0000847	YEAST02530, YEAST00209	NEMVE06005, NEMVE08888
OG0000849	YEAST04475	NEMVE14809
OG0000850	YEAST04287	NEMVE15099, NEMVE19061, NEMVE12252, NEMVE21917
OG0000852	YEAST01266	NEMVE25782, NEMVE07789, NEMVE20882
OG0000854	YEAST00248	NEMVE02919, NEMVE09672, NEMVE06236, NEMVE07456
OG0000857	YEAST00309	NEMVE18201, NEMVE05480
OG0000868	YEAST06157	NEMVE12988, NEMVE25015, NEMVE26025, NEMVE09127, NEMVE07048, NEMVE05531
OG0000871	YEAST03857	NEMVE16871, NEMVE08823, NEMVE14071
OG0000872	YEAST03222, YEAST03741	NEMVE14190
OG0000875	YEAST00077	NEMVE12865, NEMVE19619, NEMVE14079
OG0000876	YEAST05556	NEMVE02940, NEMVE11949, NEMVE11948
OG0000879	YEAST06123	NEMVE13129
OG0000888	YEAST00288	NEMVE10813, NEMVE11848
OG0000889	YEAST00175	NEMVE22565, NEMVE14419
OG0000894	YEAST03763	NEMVE23274, NEMVE14617
OG0000896	YEAST02476	NEMVE21907
OG0000896	YEAST04923	NEMVE10977
OG0000898	YEAST06255, YEAST03431	NEMVE14546, NEMVE21727
OG0000905	YEAST00599	NEMVE24633
OG0000907	YEAST02193	NEMVE17906, NEMVE00986
OG0000913	YEAST03557, YEAST05101	NEMVE23286, NEMVE05585, NEMVE00499, NEMVE04717
OG0000914	YEAST04745	NEMVE08606
OG0000921	YEAST02526	NEMVE04805, NEMVE19737, NEMVE09442, NEMVE12434
OG0000925	YEAST05667, YEAST06025	NEMVE21937, NEMVE05629, NEMVE00068, NEMVE22442, NEMVE00338
OG0000932	YEAST03525	NEMVE15050, NEMVE02393, NEMVE20604
OG0000933	YEAST06306	NEMVE25450, NEMVE09603, NEMVE12353
OG0000934	YEAST02582, YEAST06252	NEMVE09369
OG0000934	YEAST05040	NEMVE07036
OG0000935	YEAST02843	NEMVE24478, NEMVE06639
OG0000943	YEAST03805	NEMVE14119, NEMVE15785, NEMVE08924
OG0000944	YEAST04878	NEMVE07708
OG0000954	YEAST05503, YEAST01249	NEMVE06460, NEMVE05247, NEMVE12295
OG0000955	YEAST00837	NEMVE14901
OG0000955	YEAST04295	NEMVE08350
OG0000963	YEAST03685, YEAST00482, YEAST01749	NEMVE21538, NEMVE06216, NEMVE03242
OG0000964	YEAST04606	NEMVE19256
OG0000965	YEAST02552	NEMVE10501
OG0000965	YEAST02050	NEMVE02072
OG0000967	YEAST05075	NEMVE05572, NEMVE11722, NEMVE10506
OG0000970	YEAST04028	NEMVE08020, NEMVE08789
OG0000982	YEAST01182	NEMVE07619, NEMVE11958
OG0000984	YEAST01493, YEAST00575	NEMVE21717, NEMVE12738, NEMVE25727
OG0000986	YEAST01481, YEAST04073	NEMVE22205, NEMVE22638, NEMVE14512, NEMVE04242
OG0000987	YEAST04734, YEAST02734	NEMVE05580
OG0000994	YEAST02360	NEMVE24464, NEMVE05403
OG0000996	YEAST00033	NEMVE06175
