Orthogroup	YEAST	AMPFI_ok
OG0000069	YEAST05172	AMPFI_07519
OG0000079	YEAST05330	AMPFI_09380, AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442, AMPFI_24805, AMPFI_06359, AMPFI_07521
OG0000082	YEAST03287	AMPFI_21007
OG0000082	YEAST04267, YEAST01834, YEAST03359	AMPFI_06890
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	AMPFI_15952, AMPFI_11015
OG0000082	YEAST04992, YEAST00735	AMPFI_13856, AMPFI_12634
OG0000095	YEAST02993	AMPFI_22619, AMPFI_12414, AMPFI_21103, AMPFI_25777
OG0000096	YEAST02643	AMPFI_12180, AMPFI_22693
OG0000096	YEAST00638	AMPFI_24766
OG0000096	YEAST05104, YEAST05564	AMPFI_09837, AMPFI_11230, AMPFI_25309
OG0000103	YEAST02873	AMPFI_21097
OG0000107	YEAST05173	AMPFI_13094
OG0000113	YEAST00378, YEAST01351, YEAST05581	AMPFI_03282, AMPFI_01561
OG0000114	YEAST00703	AMPFI_01965, AMPFI_00254
OG0000116	YEAST04456	AMPFI_12986, AMPFI_10925, AMPFI_16440, AMPFI_03353
OG0000122	YEAST04928	AMPFI_15603, AMPFI_13850, AMPFI_04566, AMPFI_20620, AMPFI_04266, AMPFI_05019, AMPFI_03816, AMPFI_08856, AMPFI_09948, AMPFI_21733
OG0000124	YEAST05021	AMPFI_24111
OG0000124	YEAST04122	AMPFI_02885
OG0000127	YEAST06208	AMPFI_23284, AMPFI_11705, AMPFI_13476, AMPFI_18794
OG0000128	YEAST01398, YEAST05967, YEAST05716	AMPFI_04850
OG0000132	YEAST06016	AMPFI_17725, AMPFI_13763, AMPFI_00592, AMPFI_22956, AMPFI_02003, AMPFI_25895
OG0000137	YEAST01851, YEAST00637	AMPFI_02989, AMPFI_12246, AMPFI_14905, AMPFI_17220, AMPFI_19842, AMPFI_12126
OG0000142	YEAST02122	AMPFI_12268, AMPFI_25838, AMPFI_20148, AMPFI_19366, AMPFI_20174, AMPFI_19305
OG0000158	YEAST05568	AMPFI_04624
OG0000160	YEAST04194	AMPFI_04603, AMPFI_23627, AMPFI_10740
OG0000175	YEAST00850, YEAST04327	AMPFI_12806, AMPFI_01453, AMPFI_04963, AMPFI_13786
OG0000179	YEAST01123, YEAST04430	AMPFI_12504
OG0000179	YEAST02911, YEAST01281	AMPFI_16964, AMPFI_09111, AMPFI_11913
OG0000179	YEAST04108, YEAST03346	AMPFI_00481
OG0000181	YEAST00824, YEAST00771	AMPFI_08987, AMPFI_15077, AMPFI_13877, AMPFI_16526, AMPFI_12882, AMPFI_04959
OG0000186	YEAST00336	AMPFI_20239, AMPFI_18026, AMPFI_23623, AMPFI_01786
OG0000194	YEAST01410	AMPFI_11397, AMPFI_18683, AMPFI_21267, AMPFI_04833, AMPFI_22313, AMPFI_03138, AMPFI_07873, AMPFI_23469, AMPFI_21495, AMPFI_14332, AMPFI_14028
OG0000195	YEAST03414	AMPFI_05326, AMPFI_12345, AMPFI_10206, AMPFI_05107
OG0000211	YEAST04964	AMPFI_10849, AMPFI_05941, AMPFI_12814, AMPFI_16753, AMPFI_21968
OG0000221	YEAST05872	AMPFI_07550, AMPFI_18146, AMPFI_19059
OG0000222	YEAST01460	AMPFI_16387, AMPFI_05918, AMPFI_03073
OG0000225	YEAST06146	AMPFI_24201, AMPFI_00311
OG0000227	YEAST05815	AMPFI_16595, AMPFI_17484, AMPFI_00331, AMPFI_23018, AMPFI_12350, AMPFI_07507
OG0000228	YEAST04750	AMPFI_21741, AMPFI_10848, AMPFI_23893, AMPFI_01572, AMPFI_16459, AMPFI_17620
OG0000233	YEAST03726, YEAST03241, YEAST03242	AMPFI_17589, AMPFI_06911
OG0000238	YEAST06340, YEAST03834	AMPFI_08132
OG0000240	YEAST03827	AMPFI_05219, AMPFI_05218, AMPFI_05883, AMPFI_25725
OG0000242	YEAST00734	AMPFI_10835, AMPFI_24613, AMPFI_05850, AMPFI_21292, AMPFI_16757, AMPFI_04815
OG0000246	YEAST01746, YEAST01747	AMPFI_12737, AMPFI_20200, AMPFI_25049, AMPFI_20225
OG0000250	YEAST04716	AMPFI_07242, AMPFI_16594, AMPFI_05967, AMPFI_18668, AMPFI_20205, AMPFI_19063, AMPFI_12386
OG0000255	YEAST02822	AMPFI_03611, AMPFI_01606, AMPFI_21142, AMPFI_03946, AMPFI_14685, AMPFI_21286, AMPFI_16948
OG0000256	YEAST00266	AMPFI_08473, AMPFI_07025, AMPFI_16869
OG0000258	YEAST00118	AMPFI_15710, AMPFI_24588, AMPFI_21660, AMPFI_11627
OG0000260	YEAST04323	AMPFI_00537, AMPFI_17984, AMPFI_01564, AMPFI_24181, AMPFI_02009, AMPFI_19737, AMPFI_00148, AMPFI_22181, AMPFI_19738, AMPFI_03062
OG0000265	YEAST03885, YEAST03714	AMPFI_11224
OG0000272	YEAST02076, YEAST01066	AMPFI_17127, AMPFI_21855, AMPFI_20114, AMPFI_25529
OG0000274	YEAST02118, YEAST04573, YEAST01485	AMPFI_21223, AMPFI_18340, AMPFI_01746, AMPFI_23522, AMPFI_21347, AMPFI_20748, AMPFI_13226, AMPFI_25307, AMPFI_08632, AMPFI_14922, AMPFI_21923, AMPFI_03556, AMPFI_23789
OG0000278	YEAST03847	AMPFI_20031
OG0000278	YEAST03806	AMPFI_23155
OG0000278	YEAST04060	AMPFI_11370
OG0000278	YEAST01107	AMPFI_25739, AMPFI_15284
OG0000284	YEAST05621	AMPFI_12259, AMPFI_25463, AMPFI_25872, AMPFI_11998
OG0000289	YEAST00645	AMPFI_17606, AMPFI_02929, AMPFI_19548, AMPFI_16478
OG0000305	YEAST04899	AMPFI_03870, AMPFI_02684
OG0000308	YEAST02548	AMPFI_19983, AMPFI_01977, AMPFI_20295, AMPFI_18028
OG0000310	YEAST02635	AMPFI_04405, AMPFI_23833, AMPFI_19988, AMPFI_23309, AMPFI_01493, AMPFI_07855, AMPFI_05017
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	AMPFI_07712, AMPFI_21427, AMPFI_20772, AMPFI_21121
OG0000313	YEAST05106	AMPFI_05659, AMPFI_25204
OG0000313	YEAST05526	AMPFI_19009, AMPFI_16147, AMPFI_11114, AMPFI_16761, AMPFI_20279
OG0000315	YEAST03248	AMPFI_07728
OG0000315	YEAST04684	AMPFI_02270
OG0000316	YEAST01673	AMPFI_19051, AMPFI_17678, AMPFI_12328
OG0000317	YEAST01356	AMPFI_08048, AMPFI_13838, AMPFI_14578
OG0000321	YEAST03264	AMPFI_01151, AMPFI_13886
OG0000323	YEAST02249	AMPFI_13708, AMPFI_18244, AMPFI_16959, AMPFI_12290
OG0000326	YEAST06056	AMPFI_07142
OG0000326	YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	AMPFI_15155
OG0000327	YEAST01354	AMPFI_02810, AMPFI_10968, AMPFI_07053, AMPFI_01699
OG0000338	YEAST02967	AMPFI_12428
OG0000338	YEAST04211	AMPFI_12247
OG0000343	YEAST03024, YEAST02736	AMPFI_06155, AMPFI_14007
OG0000345	YEAST01884	AMPFI_25637, AMPFI_25636, AMPFI_10260, AMPFI_07208, AMPFI_03618
OG0000352	YEAST04069	AMPFI_09521, AMPFI_09522, AMPFI_24369, AMPFI_20917, AMPFI_16994
OG0000357	YEAST01925	AMPFI_13175, AMPFI_23961, AMPFI_08530, AMPFI_15776
OG0000359	YEAST02489	AMPFI_13496, AMPFI_18442, AMPFI_25444, AMPFI_16065
OG0000363	YEAST04081, YEAST05870	AMPFI_12319, AMPFI_19121, AMPFI_04121, AMPFI_00444
OG0000365	YEAST05831	AMPFI_08145
OG0000367	YEAST02141, YEAST03746, YEAST03210	AMPFI_07904, AMPFI_24584, AMPFI_10053
OG0000372	YEAST05988	AMPFI_17037, AMPFI_10224, AMPFI_09792, AMPFI_13417, AMPFI_06343
OG0000373	YEAST02023	AMPFI_05437, AMPFI_02134
OG0000373	YEAST04495, YEAST01417, YEAST05964	AMPFI_16084
OG0000380	YEAST01047	AMPFI_06071, AMPFI_14191, AMPFI_08876, AMPFI_25598, AMPFI_04763
OG0000385	YEAST03496	AMPFI_19226, AMPFI_24194, AMPFI_23534, AMPFI_25679
OG0000393	YEAST04072, YEAST04071	AMPFI_11122, AMPFI_20681
OG0000393	YEAST01302	AMPFI_17577
OG0000397	YEAST05080	AMPFI_12772
OG0000399	YEAST02160	AMPFI_16098, AMPFI_14231, AMPFI_13302, AMPFI_12451, AMPFI_24563, AMPFI_10126
OG0000400	YEAST05911	AMPFI_25080, AMPFI_04865, AMPFI_16843, AMPFI_21265, AMPFI_04286, AMPFI_24621, AMPFI_00717, AMPFI_19225, AMPFI_26038, AMPFI_09891, AMPFI_07504, AMPFI_03889
OG0000402	YEAST01657, YEAST01929	AMPFI_10865, AMPFI_21549
OG0000405	YEAST06055, YEAST00411	AMPFI_10725
OG0000412	YEAST04469	AMPFI_20072, AMPFI_23320, AMPFI_24223
OG0000413	YEAST04905, YEAST05340	AMPFI_09027, AMPFI_05195
OG0000413	YEAST02838	AMPFI_15394, AMPFI_15092
OG0000419	YEAST05989	AMPFI_09172, AMPFI_06797, AMPFI_16286
OG0000420	YEAST03886	AMPFI_23871
OG0000424	YEAST03563	AMPFI_18786, AMPFI_06727, AMPFI_03735, AMPFI_21433, AMPFI_02103, AMPFI_06728
OG0000426	YEAST03440	AMPFI_05934
OG0000427	YEAST02655, YEAST02439	AMPFI_05181, AMPFI_05182, AMPFI_08931, AMPFI_06083
OG0000429	YEAST02285	AMPFI_13425, AMPFI_14088
OG0000431	YEAST04014	AMPFI_00618, AMPFI_05479, AMPFI_02567
OG0000433	YEAST06177, YEAST00117	AMPFI_09657, AMPFI_25590, AMPFI_00102, AMPFI_00584
OG0000437	YEAST03074, YEAST02073	AMPFI_18281, AMPFI_17925, AMPFI_24914, AMPFI_11612, AMPFI_19846
OG0000442	YEAST05012	AMPFI_18182, AMPFI_07999, AMPFI_04228
OG0000444	YEAST01115, YEAST04019	AMPFI_10516, AMPFI_14412
OG0000445	YEAST03068	AMPFI_20874, AMPFI_15224, AMPFI_10421, AMPFI_03557, AMPFI_10139, AMPFI_21234, AMPFI_16884, AMPFI_09913
OG0000450	YEAST04709, YEAST05909	AMPFI_01260
OG0000461	YEAST00120	AMPFI_10757, AMPFI_12933
OG0000467	YEAST05317	AMPFI_12782
OG0000468	YEAST04372	AMPFI_06635, AMPFI_17864, AMPFI_19454
OG0000469	YEAST02179, YEAST05440	AMPFI_03128
OG0000469	YEAST02333, YEAST00863	AMPFI_08317
OG0000474	YEAST02384	AMPFI_08225, AMPFI_11625
OG0000476	YEAST03038	AMPFI_11326, AMPFI_07783, AMPFI_24903, AMPFI_08866
OG0000479	YEAST04139	AMPFI_03342, AMPFI_09996
OG0000480	YEAST05750	AMPFI_18780, AMPFI_14622
OG0000481	YEAST01040	AMPFI_04631
OG0000481	YEAST00916	AMPFI_14700
OG0000481	YEAST00827, YEAST00774	AMPFI_12417
OG0000486	YEAST03122, YEAST04270	AMPFI_16665, AMPFI_16285, AMPFI_12958, AMPFI_19185, AMPFI_24869
OG0000488	YEAST01414	AMPFI_07218
OG0000490	YEAST04297, YEAST00894	AMPFI_13859, AMPFI_02409
OG0000505	YEAST03067	AMPFI_13142, AMPFI_01675
OG0000508	YEAST04626	AMPFI_11279
OG0000510	YEAST04569, YEAST05730	AMPFI_12605, AMPFI_15688, AMPFI_02887
OG0000515	YEAST04784, YEAST05876	AMPFI_04197
OG0000519	YEAST04594, YEAST03616	AMPFI_09807, AMPFI_19851, AMPFI_12315, AMPFI_05130
OG0000520	YEAST02979	AMPFI_25750, AMPFI_23972, AMPFI_14296, AMPFI_19094
OG0000523	YEAST01952, YEAST05838, YEAST06082	AMPFI_22404, AMPFI_10423, AMPFI_13116
OG0000529	YEAST05790, YEAST00048	AMPFI_19152, AMPFI_14588, AMPFI_10225
OG0000534	YEAST04932	AMPFI_12308, AMPFI_12548, AMPFI_09373
OG0000538	YEAST00499	AMPFI_24088
OG0000549	YEAST06280, YEAST02610, YEAST05060	AMPFI_06020, AMPFI_06765
OG0000552	YEAST05717	AMPFI_25709, AMPFI_07948
OG0000556	YEAST04616	AMPFI_13590, AMPFI_15040, AMPFI_13516, AMPFI_09067, AMPFI_02813, AMPFI_24449, AMPFI_13084, AMPFI_19864, AMPFI_10656, AMPFI_16800
OG0000561	YEAST06202, YEAST00331	AMPFI_19041, AMPFI_00758
OG0000562	YEAST00314	AMPFI_16966, AMPFI_21582, AMPFI_20719, AMPFI_04543, AMPFI_23033
OG0000563	YEAST01406	AMPFI_08659, AMPFI_10297
OG0000566	YEAST05789, YEAST00049	AMPFI_03624, AMPFI_03781, AMPFI_20076, AMPFI_24184, AMPFI_05548
OG0000573	YEAST05675	AMPFI_08544, AMPFI_03633, AMPFI_21790
OG0000576	YEAST00470, YEAST00193	AMPFI_11215
OG0000578	YEAST01208, YEAST00759	AMPFI_11337, AMPFI_11336
OG0000579	YEAST02484	AMPFI_10586
OG0000582	YEAST03615	AMPFI_14842, AMPFI_03684
OG0000587	YEAST04063	AMPFI_16977, AMPFI_16976
OG0000587	YEAST03372	AMPFI_14490
OG0000588	YEAST05197	AMPFI_25131, AMPFI_02951, AMPFI_04054, AMPFI_03394, AMPFI_11701
OG0000590	YEAST05110, YEAST05552, YEAST03727	AMPFI_19054, AMPFI_08431, AMPFI_13729
OG0000592	YEAST00388	AMPFI_12250, AMPFI_00808
OG0000597	YEAST04330	AMPFI_09305
OG0000612	YEAST02370	AMPFI_15477, AMPFI_05475
OG0000613	YEAST01072	AMPFI_20696, AMPFI_01961, AMPFI_04751
OG0000623	YEAST02411	AMPFI_18053
OG0000623	YEAST05090	AMPFI_05939, AMPFI_14561
OG0000627	YEAST02116, YEAST03957	AMPFI_24110, AMPFI_23481, AMPFI_25325
OG0000639	YEAST02015	AMPFI_02143, AMPFI_19096, AMPFI_19422
OG0000642	YEAST00618	AMPFI_20481, AMPFI_17464, AMPFI_21969, AMPFI_03291, AMPFI_09020, AMPFI_24910, AMPFI_15462, AMPFI_15774
OG0000645	YEAST05140	AMPFI_07390
OG0000645	YEAST04743	AMPFI_07346
OG0000647	YEAST04534	AMPFI_23188, AMPFI_23840
OG0000648	YEAST04178, YEAST05641	AMPFI_15343, AMPFI_13232
OG0000657	YEAST03846	AMPFI_16174, AMPFI_04003, AMPFI_15120, AMPFI_23960, AMPFI_23025
OG0000660	YEAST05150, YEAST01587	AMPFI_17445
OG0000662	YEAST05937	AMPFI_12334, AMPFI_02313, AMPFI_13450
OG0000663	YEAST02675, YEAST03294	AMPFI_11999, AMPFI_12107
OG0000672	YEAST03771	AMPFI_11096
OG0000672	YEAST00984	AMPFI_17614
OG0000676	YEAST01503	AMPFI_07198
OG0000676	YEAST02962	AMPFI_01951
OG0000683	YEAST03152, YEAST03537, YEAST05938	AMPFI_06165, AMPFI_15593
OG0000690	YEAST02296	AMPFI_12474
OG0000692	YEAST01969	AMPFI_22914
OG0000692	YEAST03487	AMPFI_19220
OG0000694	YEAST05978	AMPFI_12037, AMPFI_23496, AMPFI_20821
OG0000699	YEAST05706	AMPFI_02899, AMPFI_25818, AMPFI_10547
OG0000701	YEAST02239, YEAST02223	AMPFI_06365
OG0000703	YEAST05314	AMPFI_09469
OG0000708	YEAST05997	AMPFI_18363, AMPFI_17855, AMPFI_19554
OG0000709	YEAST00057	AMPFI_23883, AMPFI_17426
OG0000724	YEAST02013	AMPFI_16071
OG0000732	YEAST04978	AMPFI_21125, AMPFI_19798, AMPFI_22564
OG0000733	YEAST05474	AMPFI_00092, AMPFI_07683
OG0000735	YEAST05945	AMPFI_12763
OG0000737	YEAST05188	AMPFI_09668
OG0000744	YEAST05951	AMPFI_16516, AMPFI_06604
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	AMPFI_10083
OG0000752	YEAST01432, YEAST04483	AMPFI_17019, AMPFI_09329, AMPFI_04939
OG0000753	YEAST01034, YEAST02037	AMPFI_15523, AMPFI_14109, AMPFI_09896
OG0000757	YEAST01489	AMPFI_01364, AMPFI_13831
OG0000758	YEAST01504	AMPFI_24693, AMPFI_03569, AMPFI_00957
OG0000759	YEAST02878, YEAST05681	AMPFI_20273, AMPFI_04195
OG0000768	YEAST02560, YEAST04269	AMPFI_08442
OG0000772	YEAST04929	AMPFI_02894, AMPFI_19971
OG0000776	YEAST04571, YEAST00195, YEAST00312	AMPFI_23341
OG0000777	YEAST06297, YEAST02627	AMPFI_17157, AMPFI_20421, AMPFI_13791, AMPFI_22290
OG0000779	YEAST03812	AMPFI_25294, AMPFI_06428
OG0000782	YEAST01393, YEAST05616	AMPFI_18834
OG0000791	YEAST02375	AMPFI_01769
OG0000794	YEAST04627	AMPFI_12203
OG0000800	YEAST03636	AMPFI_07209, AMPFI_10431
OG0000809	YEAST01998	AMPFI_12034
OG0000817	YEAST00389	AMPFI_08254, AMPFI_07996
OG0000817	YEAST06112	AMPFI_11242, AMPFI_25982
OG0000824	YEAST01319, YEAST02883	AMPFI_10634
OG0000828	YEAST00945, YEAST05476, YEAST00075	AMPFI_06751
OG0000828	YEAST02290	AMPFI_18122
OG0000837	YEAST06222	AMPFI_18684, AMPFI_23242
OG0000841	YEAST02416	AMPFI_11477
OG0000847	YEAST02881, YEAST03544, YEAST06198	AMPFI_17341, AMPFI_13534
OG0000847	YEAST02530, YEAST00209	AMPFI_06619
OG0000849	YEAST04475	AMPFI_24685
OG0000850	YEAST04287	AMPFI_19396, AMPFI_03228
OG0000852	YEAST01266	AMPFI_08444, AMPFI_13668
OG0000855	YEAST04755	AMPFI_17874, AMPFI_17347, AMPFI_08376, AMPFI_08377
OG0000857	YEAST00309	AMPFI_00242
OG0000868	YEAST06157	AMPFI_09990, AMPFI_02557, AMPFI_16551, AMPFI_07891, AMPFI_22647, AMPFI_13621, AMPFI_09212
OG0000871	YEAST03857	AMPFI_06057, AMPFI_13424
OG0000872	YEAST03222, YEAST03741	AMPFI_14533
OG0000875	YEAST00077	AMPFI_16915, AMPFI_14018
OG0000876	YEAST05556	AMPFI_07974, AMPFI_21327
OG0000879	YEAST06123	AMPFI_24002, AMPFI_08219
OG0000888	YEAST00288	AMPFI_15204, AMPFI_11657, AMPFI_07926, AMPFI_07927
OG0000889	YEAST00175	AMPFI_16359, AMPFI_08502
OG0000894	YEAST03763	AMPFI_03215, AMPFI_21192
OG0000896	YEAST02476	AMPFI_18659
OG0000896	YEAST04923	AMPFI_22491, AMPFI_12466, AMPFI_26067
OG0000898	YEAST06255, YEAST03431	AMPFI_22530
OG0000905	YEAST00599	AMPFI_23249, AMPFI_23770, AMPFI_06111, AMPFI_02008
OG0000907	YEAST02193	AMPFI_11759
OG0000913	YEAST03557, YEAST05101	AMPFI_01293, AMPFI_01711
OG0000914	YEAST04745	AMPFI_07132
OG0000921	YEAST02526	AMPFI_16444
OG0000925	YEAST05667, YEAST06025	AMPFI_22605, AMPFI_08869
OG0000932	YEAST03525	AMPFI_09005, AMPFI_10461
OG0000933	YEAST06306	AMPFI_11078
OG0000934	YEAST02582, YEAST06252	AMPFI_09923
OG0000934	YEAST05040	AMPFI_21983
OG0000935	YEAST02843	AMPFI_08255
OG0000943	YEAST03805	AMPFI_03474, AMPFI_25624, AMPFI_01279
OG0000944	YEAST04878	AMPFI_08499
OG0000954	YEAST05503, YEAST01249	AMPFI_20580, AMPFI_25977, AMPFI_05682
OG0000955	YEAST00837	AMPFI_06758
OG0000955	YEAST04295	AMPFI_06876
OG0000963	YEAST03685, YEAST00482, YEAST01749	AMPFI_18238, AMPFI_05536
OG0000964	YEAST04606	AMPFI_17923, AMPFI_15487, AMPFI_19681
OG0000965	YEAST02552	AMPFI_19565, AMPFI_15550
OG0000965	YEAST02050	AMPFI_04099
OG0000967	YEAST05075	AMPFI_25346, AMPFI_07326
OG0000970	YEAST04028	AMPFI_08215
OG0000982	YEAST01182	AMPFI_14398
OG0000984	YEAST01493, YEAST00575	AMPFI_10960, AMPFI_15775
OG0000986	YEAST01481, YEAST04073	AMPFI_07828
OG0000987	YEAST04734, YEAST02734	AMPFI_23099, AMPFI_17518, AMPFI_24141
OG0000994	YEAST02360	AMPFI_00747, AMPFI_08034, AMPFI_10949
OG0000996	YEAST00033	AMPFI_14642
OG0001001	YEAST00341	AMPFI_06409
OG0001003	YEAST00644	AMPFI_04602
OG0001006	YEAST04513	AMPFI_04557, AMPFI_14604, AMPFI_23083
OG0001016	YEAST00830	AMPFI_10130, AMPFI_08991
OG0001018	YEAST01172	AMPFI_03134, AMPFI_05980
OG0001024	YEAST01024, YEAST00308	AMPFI_23405, AMPFI_04961
OG0001033	YEAST02124	AMPFI_08349
OG0001064	YEAST00458	AMPFI_18491, AMPFI_13276, AMPFI_11404
OG0001066	YEAST06311	AMPFI_04798, AMPFI_04799, AMPFI_05155
OG0001075	YEAST05636	AMPFI_00014
OG0001076	YEAST01570	AMPFI_25701, AMPFI_03111, AMPFI_09505, AMPFI_03148, AMPFI_21677
OG0001081	YEAST04460	AMPFI_07991
OG0001082	YEAST03919, YEAST02905, YEAST05331	AMPFI_11474, AMPFI_11475, AMPFI_03241
OG0001094	YEAST03837	AMPFI_07987, AMPFI_17757
OG0001095	YEAST00773	AMPFI_00281, AMPFI_21259
OG0001096	YEAST01384	AMPFI_10982, AMPFI_10807, AMPFI_10808, AMPFI_22875
OG0001101	YEAST03434	AMPFI_12698
OG0001108	YEAST06309	AMPFI_13440, AMPFI_13784, AMPFI_13358
OG0001111	YEAST06003	AMPFI_04458
OG0001113	YEAST05320	AMPFI_16641
OG0001114	YEAST00036, YEAST05811	AMPFI_25604
OG0001124	YEAST02719	AMPFI_15848
OG0001132	YEAST05421	AMPFI_18757
OG0001133	YEAST04296	AMPFI_24426, AMPFI_16747
OG0001133	YEAST03271	AMPFI_21275
OG0001134	YEAST05015	AMPFI_07585
OG0001135	YEAST03641	AMPFI_25799
OG0001136	YEAST05047, YEAST02997	AMPFI_07457
OG0001140	YEAST03519	AMPFI_12273, AMPFI_22519
OG0001142	YEAST04001	AMPFI_01354
OG0001164	YEAST03454	AMPFI_02597, AMPFI_21888, AMPFI_23885, AMPFI_00138, AMPFI_24570, AMPFI_17125, AMPFI_17209, AMPFI_09821, AMPFI_17052, AMPFI_25062, AMPFI_20378
OG0001171	YEAST04620, YEAST03578	AMPFI_04677, AMPFI_21141
OG0001175	YEAST00534	AMPFI_01688, AMPFI_11579, AMPFI_01291
OG0001177	YEAST06137	AMPFI_08044
OG0001179	YEAST00368, YEAST04831, YEAST02287	AMPFI_11537, AMPFI_25942, AMPFI_06700
OG0001181	YEAST02051	AMPFI_13623, AMPFI_10170
OG0001184	YEAST01681	AMPFI_20865, AMPFI_08874
OG0001185	YEAST04969	AMPFI_07596
OG0001186	YEAST04605, YEAST01886	AMPFI_07934, AMPFI_10517
OG0001191	YEAST04707	AMPFI_02622, AMPFI_06865
OG0001192	YEAST01898	AMPFI_09680
OG0001197	YEAST01499	AMPFI_13739, AMPFI_25096
OG0001201	YEAST05452	AMPFI_02387
