Orthogroup	YEAST	ASTMX
OG0000036	YEAST02545, YEAST02806	ASTMX05584, ASTMX00843, ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566, ASTMX19120, ASTMX18312, ASTMX10284, ASTMX01338, ASTMX03570
OG0000037	YEAST03227	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639, ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313, ASTMX15913, ASTMX19727, ASTMX16533, ASTMX03275
OG0000038	YEAST04422, YEAST04379	ASTMX12552, ASTMX04170, ASTMX12687, ASTMX00529, ASTMX14059, ASTMX05291, ASTMX17623, ASTMX12685, ASTMX17002
OG0000043	YEAST00224, YEAST01200	ASTMX12801, ASTMX22617, ASTMX09533
OG0000048	YEAST05707	ASTMX04189, ASTMX18058, ASTMX03009, ASTMX03008, ASTMX22626, ASTMX04415, ASTMX04416, ASTMX13714, ASTMX03384, ASTMX08678, ASTMX11739, ASTMX08677, ASTMX05741, ASTMX04556, ASTMX04258, ASTMX18409, ASTMX15600, ASTMX04570, ASTMX00590
OG0000054	YEAST01385	ASTMX21203, ASTMX04679, ASTMX05759, ASTMX21204
OG0000055	YEAST01199, YEAST00225	ASTMX17485, ASTMX11170, ASTMX19413, ASTMX22616
OG0000058	YEAST02989	ASTMX10002
OG0000058	YEAST02120	ASTMX01061, ASTMX04977, ASTMX07660, ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080, ASTMX12315
OG0000069	YEAST05172	ASTMX20491
OG0000079	YEAST05330	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709, ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883, ASTMX02337, ASTMX02996, ASTMX05046, ASTMX02943
OG0000082	YEAST03287	ASTMX06917
OG0000082	YEAST04267, YEAST01834, YEAST03359	ASTMX17888
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	ASTMX15920, ASTMX10851, ASTMX17248, ASTMX10849, ASTMX11876, ASTMX19980
OG0000095	YEAST02993	ASTMX01092, ASTMX16621, ASTMX16620, ASTMX16622, ASTMX16619, ASTMX08683, ASTMX04161, ASTMX08415, ASTMX12681, ASTMX17008
OG0000096	YEAST02643	ASTMX11824, ASTMX12057, ASTMX18217, ASTMX13693, ASTMX16094, ASTMX16093, ASTMX08845
OG0000096	YEAST00638	ASTMX18278, ASTMX15892
OG0000096	YEAST05104, YEAST05564	ASTMX09859, ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998, ASTMX19590, ASTMX07352, ASTMX10423, ASTMX12959
OG0000103	YEAST02873	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972, ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316
OG0000107	YEAST05173	ASTMX08032, ASTMX19414
OG0000113	YEAST00378, YEAST01351, YEAST05581	ASTMX19383, ASTMX05472, ASTMX18644, ASTMX15787, ASTMX14388, ASTMX14387, ASTMX14389, ASTMX14390, ASTMX07205, ASTMX07206
OG0000114	YEAST00703	ASTMX20865
OG0000116	YEAST04456	ASTMX09821, ASTMX01410
OG0000122	YEAST04928	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832, ASTMX22053, ASTMX06000, ASTMX18931, ASTMX06001, ASTMX16780, ASTMX11273, ASTMX05998, ASTMX22052, ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421
OG0000124	YEAST05021	ASTMX09338, ASTMX18149, ASTMX01149
OG0000124	YEAST04122	ASTMX10640, ASTMX14745, ASTMX06441
OG0000127	YEAST06208	ASTMX09798, ASTMX08552, ASTMX08785, ASTMX11156, ASTMX05665, ASTMX21500, ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032, ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478, ASTMX10799, ASTMX06687, ASTMX15259, ASTMX15260, ASTMX14863, ASTMX19609, ASTMX20319, ASTMX20860
OG0000128	YEAST03441, YEAST01398, YEAST05967, YEAST05716	ASTMX15563, ASTMX07961
OG0000132	YEAST06016	ASTMX15628, ASTMX09702
OG0000137	YEAST01851, YEAST00637	ASTMX17487, ASTMX09719, ASTMX10412, ASTMX17486, ASTMX04665, ASTMX08942, ASTMX01570, ASTMX22671, ASTMX10792, ASTMX08181
OG0000142	YEAST02122	ASTMX02569, ASTMX02645, ASTMX11196, ASTMX15663, ASTMX04648, ASTMX18481, ASTMX09137, ASTMX22061, ASTMX14163, ASTMX21325
OG0000158	YEAST05568	ASTMX02401, ASTMX13165, ASTMX06541, ASTMX11567, ASTMX11566, ASTMX06538, ASTMX11564, ASTMX11565, ASTMX06921, ASTMX06542, ASTMX02399, ASTMX06540, ASTMX15812, ASTMX02400, ASTMX22944, ASTMX06689, ASTMX10940, ASTMX15263, ASTMX11735, ASTMX12179
OG0000160	YEAST04194	ASTMX12091, ASTMX15798, ASTMX09985, ASTMX05059, ASTMX09986, ASTMX05060
OG0000175	YEAST00850, YEAST04327	ASTMX12743, ASTMX08029, ASTMX21016, ASTMX15252, ASTMX21180, ASTMX05265, ASTMX22048
OG0000179	YEAST01123, YEAST04430	ASTMX13407, ASTMX06638, ASTMX05937, ASTMX14451
OG0000179	YEAST02911, YEAST01281	ASTMX13630, ASTMX02170
OG0000179	YEAST04108, YEAST03346	ASTMX14866
OG0000181	YEAST00824, YEAST00771	ASTMX00767, ASTMX04758, ASTMX15059, ASTMX14093, ASTMX17806, ASTMX02628, ASTMX03065, ASTMX07281, ASTMX11712, ASTMX06485, ASTMX09488, ASTMX00769, ASTMX00770
OG0000186	YEAST00336	ASTMX18771, ASTMX14406
OG0000194	YEAST01410	ASTMX14940, ASTMX03197, ASTMX16653, ASTMX22443, ASTMX22363, ASTMX14331
OG0000195	YEAST03414	ASTMX06503, ASTMX06504, ASTMX08420, ASTMX05669
OG0000211	YEAST04964	ASTMX14936, ASTMX14468, ASTMX02506, ASTMX08965, ASTMX12406, ASTMX15733, ASTMX12502, ASTMX00388, ASTMX07887
OG0000221	YEAST05872	ASTMX13257, ASTMX12726, ASTMX08699, ASTMX18546, ASTMX17261, ASTMX17047, ASTMX14659, ASTMX05690, ASTMX18613, ASTMX00084, ASTMX22683, ASTMX10185
OG0000222	YEAST01460	ASTMX11164, ASTMX04358, ASTMX14568, ASTMX11163
OG0000225	YEAST06146	ASTMX16084, ASTMX16085, ASTMX16083, ASTMX11790, ASTMX09442, ASTMX17744, ASTMX14393, ASTMX04772, ASTMX20768, ASTMX04717
OG0000227	YEAST05815	ASTMX14934, ASTMX14933, ASTMX18558, ASTMX02672, ASTMX19343, ASTMX10190, ASTMX21887, ASTMX17511, ASTMX21030, ASTMX00467, ASTMX17802, ASTMX07384, ASTMX15014, ASTMX15013, ASTMX08655, ASTMX14981, ASTMX11122, ASTMX17731
OG0000228	YEAST04750	ASTMX08232, ASTMX13813, ASTMX10957, ASTMX17589, ASTMX16365, ASTMX10925
OG0000233	YEAST03726, YEAST03241, YEAST03242	ASTMX14603, ASTMX07999, ASTMX11193
OG0000238	YEAST06340, YEAST03834	ASTMX19906, ASTMX07705, ASTMX20450, ASTMX07704, ASTMX22020, ASTMX08638, ASTMX11056, ASTMX15298, ASTMX08927, ASTMX16413, ASTMX15299
OG0000240	YEAST03827	ASTMX02102, ASTMX10352, ASTMX10354, ASTMX10617
OG0000242	YEAST00734	ASTMX22355, ASTMX17492, ASTMX17491, ASTMX21993, ASTMX02117, ASTMX00357, ASTMX20526, ASTMX12612, ASTMX04049, ASTMX03054
OG0000246	YEAST01746, YEAST01747	ASTMX19738, ASTMX03325
OG0000250	YEAST04716	ASTMX18265, ASTMX22935, ASTMX21081, ASTMX10554, ASTMX10861
OG0000255	YEAST02822	ASTMX15208, ASTMX00265
OG0000256	YEAST00266	ASTMX14236, ASTMX14182, ASTMX17896, ASTMX08211, ASTMX08210, ASTMX05152
OG0000258	YEAST00118	ASTMX10103, ASTMX07818, ASTMX21558, ASTMX12307, ASTMX13949, ASTMX09429, ASTMX02019, ASTMX10822, ASTMX04575, ASTMX10602, ASTMX16862
OG0000260	YEAST04323	ASTMX02089, ASTMX00793, ASTMX08323, ASTMX08530, ASTMX00791, ASTMX02088, ASTMX20570, ASTMX18863, ASTMX00302, ASTMX12581, ASTMX21781
OG0000265	YEAST05674	ASTMX23047
OG0000265	YEAST03885, YEAST03714	ASTMX17774, ASTMX08300
OG0000272	YEAST02076, YEAST01066	ASTMX13541, ASTMX04407, ASTMX06714, ASTMX15391, ASTMX13685, ASTMX17539, ASTMX11464, ASTMX21154, ASTMX09631, ASTMX05863, ASTMX15333
OG0000278	YEAST03847	ASTMX06005
OG0000278	YEAST03806	ASTMX18193
OG0000278	YEAST04060	ASTMX01574
OG0000278	YEAST01107	ASTMX16975, ASTMX10057
OG0000284	YEAST05621	ASTMX22711, ASTMX02036, ASTMX20925, ASTMX22871, ASTMX20924, ASTMX11406, ASTMX17126, ASTMX20926, ASTMX00328, ASTMX15433
OG0000289	YEAST00645	ASTMX12627, ASTMX20455, ASTMX02890, ASTMX10329, ASTMX21654, ASTMX05955, ASTMX18073, ASTMX11422, ASTMX16415
OG0000305	YEAST04899	ASTMX12592, ASTMX21234, ASTMX21268, ASTMX04324, ASTMX20856, ASTMX15186, ASTMX15028, ASTMX21047, ASTMX05366, ASTMX05365
OG0000308	YEAST02548	ASTMX20341, ASTMX17147, ASTMX10685, ASTMX02323, ASTMX17926, ASTMX00819, ASTMX09110
OG0000310	YEAST02635	ASTMX00126
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	ASTMX14300, ASTMX18372, ASTMX17975, ASTMX04117, ASTMX04116, ASTMX07002, ASTMX19559, ASTMX13976
OG0000313	YEAST05106	ASTMX20598, ASTMX13321, ASTMX07858, ASTMX04915, ASTMX16687, ASTMX11511
OG0000316	YEAST01673	ASTMX02741, ASTMX22462, ASTMX08202, ASTMX07921, ASTMX11016
OG0000317	YEAST01356	ASTMX11209, ASTMX08148, ASTMX03815, ASTMX00824, ASTMX13428, ASTMX01336, ASTMX00862, ASTMX07441, ASTMX09832
OG0000321	YEAST03264	ASTMX18074, ASTMX03167, ASTMX05895, ASTMX14845, ASTMX18898, ASTMX00098, ASTMX08418, ASTMX18899, ASTMX00099, ASTMX08419
OG0000323	YEAST02249	ASTMX22681, ASTMX22354, ASTMX00314, ASTMX09179, ASTMX02635, ASTMX13255, ASTMX10841
OG0000326	YEAST06268, YEAST05286	ASTMX00747, ASTMX05282, ASTMX15670, ASTMX15158, ASTMX20792
OG0000326	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	ASTMX00749
OG0000327	YEAST01354	ASTMX06414, ASTMX05544, ASTMX06421, ASTMX13482, ASTMX13483, ASTMX13484, ASTMX06420, ASTMX06415
OG0000334	YEAST05626	ASTMX22703, ASTMX21795, ASTMX06979, ASTMX13611, ASTMX22716, ASTMX22027, ASTMX21357, ASTMX22598
OG0000338	YEAST02967	ASTMX13042, ASTMX20131, ASTMX05102, ASTMX05103, ASTMX03140
OG0000338	YEAST04211	ASTMX09866, ASTMX01891
OG0000343	YEAST03024, YEAST02736	ASTMX10298, ASTMX08048, ASTMX09330, ASTMX07009, ASTMX11872, ASTMX14973
OG0000345	YEAST01884	ASTMX17770, ASTMX16023, ASTMX16273, ASTMX07982, ASTMX01509
OG0000352	YEAST04069	ASTMX05896, ASTMX03995, ASTMX17359, ASTMX13140, ASTMX01195, ASTMX07258, ASTMX13141
OG0000357	YEAST01925	ASTMX17598, ASTMX10965, ASTMX09989, ASTMX05067, ASTMX15356, ASTMX15888, ASTMX01105, ASTMX14562, ASTMX04757
OG0000359	YEAST02489	ASTMX07087, ASTMX13220, ASTMX09819, ASTMX07326, ASTMX01180
OG0000363	YEAST04081, YEAST05870	ASTMX05820, ASTMX15773, ASTMX01558, ASTMX08726, ASTMX19424
OG0000365	YEAST05831	ASTMX14935, ASTMX12525, ASTMX16950, ASTMX06169, ASTMX07405, ASTMX03199, ASTMX04165
OG0000367	YEAST02141, YEAST03746, YEAST03210	ASTMX18601, ASTMX09449, ASTMX02026, ASTMX13956, ASTMX04028, ASTMX06700, ASTMX14123, ASTMX14122, ASTMX18667
OG0000372	YEAST05988	ASTMX00698, ASTMX11491, ASTMX06694, ASTMX07580, ASTMX13013
OG0000373	YEAST02023	ASTMX13546, ASTMX07311, ASTMX17503, ASTMX11338, ASTMX01301, ASTMX01605
OG0000385	YEAST03496	ASTMX12707, ASTMX02895, ASTMX01809, ASTMX18429, ASTMX18427, ASTMX18428
OG0000393	YEAST04072, YEAST04071	ASTMX19684, ASTMX19683, ASTMX17767
OG0000393	YEAST01302	ASTMX20759
OG0000397	YEAST05080	ASTMX08239, ASTMX05577, ASTMX13966, ASTMX12675, ASTMX19668, ASTMX18504
OG0000399	YEAST02160	ASTMX07149, ASTMX09464, ASTMX15648, ASTMX13680, ASTMX19388, ASTMX07577, ASTMX13014, ASTMX14554, ASTMX05126, ASTMX19706
OG0000400	YEAST05911	ASTMX08052, ASTMX05565, ASTMX15479
OG0000402	YEAST01657, YEAST01929	ASTMX08873, ASTMX08328, ASTMX15651, ASTMX21467, ASTMX17950, ASTMX07646, ASTMX19109, ASTMX00692, ASTMX17284, ASTMX02556
OG0000405	YEAST06055, YEAST00411	ASTMX06845, ASTMX10883, ASTMX04895, ASTMX21258, ASTMX08631, ASTMX07907
OG0000412	YEAST04469	ASTMX13390, ASTMX06615, ASTMX11203, ASTMX12505
OG0000413	YEAST04905, YEAST05340	ASTMX22225, ASTMX13671, ASTMX19651, ASTMX16482, ASTMX04390
OG0000413	YEAST02838	ASTMX16688, ASTMX04912, ASTMX09192, ASTMX19930
OG0000419	YEAST05989	ASTMX19880, ASTMX07275, ASTMX17113, ASTMX14421, ASTMX01798, ASTMX13831, ASTMX01797
OG0000420	YEAST03886	ASTMX03701, ASTMX11233, ASTMX04743
OG0000424	YEAST03563	ASTMX07663
OG0000426	YEAST03440	ASTMX14958
OG0000427	YEAST02655, YEAST02439	ASTMX06287, ASTMX09008, ASTMX05255, ASTMX14566, ASTMX04360, ASTMX10338, ASTMX00106, ASTMX00224
OG0000429	YEAST02285	ASTMX07836
OG0000431	YEAST04014	ASTMX19915, ASTMX11097, ASTMX09197, ASTMX22566, ASTMX06516, ASTMX00145, ASTMX09571
OG0000433	YEAST06177, YEAST00117	ASTMX01496, ASTMX04993, ASTMX10245, ASTMX08139, ASTMX12987
OG0000437	YEAST03074, YEAST02073	ASTMX13003, ASTMX13002
OG0000442	YEAST05012	ASTMX11711, ASTMX07283, ASTMX12980, ASTMX06201, ASTMX00907, ASTMX14474, ASTMX03715, ASTMX07828, ASTMX20141
OG0000444	YEAST01115, YEAST04019	ASTMX14380, ASTMX00703, ASTMX21179, ASTMX10912, ASTMX16562
OG0000445	YEAST03068	ASTMX09933
OG0000450	YEAST04709, YEAST05909	ASTMX07538, ASTMX08134, ASTMX11116, ASTMX11115, ASTMX01427, ASTMX10964, ASTMX17597, ASTMX18833, ASTMX18053, ASTMX11721, ASTMX11722
OG0000461	YEAST00120	ASTMX09634, ASTMX19013
OG0000467	YEAST03162	ASTMX19597, ASTMX15795, ASTMX10740, ASTMX09415, ASTMX01966, ASTMX05515, ASTMX02018
OG0000468	YEAST04372	ASTMX16969, ASTMX16968, ASTMX16966, ASTMX16964, ASTMX16965, ASTMX16967, ASTMX08249, ASTMX07575
OG0000469	YEAST02179, YEAST05440	ASTMX17554, ASTMX08379, ASTMX20035, ASTMX11781, ASTMX01028, ASTMX09278, ASTMX13963, ASTMX16633, ASTMX02217, ASTMX04047
OG0000469	YEAST00863	ASTMX15740, ASTMX02909
OG0000474	YEAST02384	ASTMX09410, ASTMX04778, ASTMX21427, ASTMX22551, ASTMX19649, ASTMX03307, ASTMX04489, ASTMX17013, ASTMX16239
OG0000476	YEAST03038	ASTMX15748, ASTMX15079
OG0000479	YEAST04139	ASTMX07487, ASTMX08702, ASTMX01240, ASTMX04831, ASTMX08818, ASTMX21850, ASTMX17585, ASTMX15198, ASTMX05901
OG0000480	YEAST05750	ASTMX05218, ASTMX07171, ASTMX07170
OG0000481	YEAST01040	ASTMX04468
OG0000481	YEAST00916	ASTMX15759
OG0000481	YEAST00827, YEAST00774	ASTMX21277, ASTMX10551, ASTMX10155
OG0000484	YEAST05824	ASTMX20535, ASTMX06464, ASTMX05493, ASTMX21963, ASTMX03189, ASTMX02359, ASTMX05957
OG0000486	YEAST03122, YEAST04270	ASTMX13378, ASTMX03758
OG0000487	YEAST04968	ASTMX08062, ASTMX13666, ASTMX16551
OG0000487	YEAST02728	ASTMX07842, ASTMX20342
OG0000488	YEAST01414	ASTMX08717, ASTMX03433, ASTMX00689, ASTMX04604, ASTMX15969
OG0000490	YEAST04297, YEAST00894	ASTMX19146, ASTMX08274, ASTMX14197, ASTMX19145, ASTMX08725, ASTMX15774, ASTMX08972, ASTMX03317
OG0000505	YEAST03067	ASTMX04944, ASTMX15734, ASTMX05133, ASTMX18350
OG0000508	YEAST04626	ASTMX01457, ASTMX09874, ASTMX07533, ASTMX21261, ASTMX15755, ASTMX12540, ASTMX13811
OG0000510	YEAST04569, YEAST05730	ASTMX10189, ASTMX20520, ASTMX12755, ASTMX12852, ASTMX10966, ASTMX16608
OG0000515	YEAST04784, YEAST05876	ASTMX16147
OG0000519	YEAST04594, YEAST03616	ASTMX13209, ASTMX05997
OG0000520	YEAST02979	ASTMX09994, ASTMX18836, ASTMX07327, ASTMX19989, ASTMX14233, ASTMX09883
OG0000523	YEAST01952, YEAST05838, YEAST06082	ASTMX14503, ASTMX14292, ASTMX12401
OG0000529	YEAST05790, YEAST00048	ASTMX12434, ASTMX21144, ASTMX18927, ASTMX11508, ASTMX07444, ASTMX17776, ASTMX00725
OG0000534	YEAST04932	ASTMX08654, ASTMX15015, ASTMX16887, ASTMX17809, ASTMX14095, ASTMX16886
OG0000538	YEAST00499	ASTMX06663, ASTMX01046, ASTMX13231, ASTMX04495, ASTMX12645, ASTMX21007
OG0000552	YEAST05717	ASTMX21676, ASTMX01181, ASTMX00313
OG0000561	YEAST06202, YEAST00331	ASTMX19650, ASTMX12281, ASTMX09747, ASTMX04726
OG0000562	YEAST00314	ASTMX02939, ASTMX18239, ASTMX07420
OG0000563	YEAST01406	ASTMX12226, ASTMX05877, ASTMX13470
OG0000566	YEAST05789, YEAST00049	ASTMX21688, ASTMX02449, ASTMX22106, ASTMX06097, ASTMX02203, ASTMX02202, ASTMX09638
OG0000573	YEAST05675	ASTMX14748, ASTMX06784, ASTMX11352, ASTMX15555, ASTMX04860, ASTMX18772, ASTMX02110, ASTMX02201
OG0000576	YEAST00470, YEAST00193	ASTMX00576, ASTMX05718, ASTMX14775, ASTMX02752, ASTMX15841, ASTMX00788
OG0000578	YEAST01208, YEAST00759	ASTMX18006, ASTMX10470, ASTMX08286, ASTMX01576, ASTMX10827, ASTMX04585, ASTMX13822, ASTMX06067
OG0000579	YEAST02484	ASTMX19442, ASTMX10867, ASTMX05568, ASTMX19217, ASTMX02063, ASTMX06365
OG0000582	YEAST03615	ASTMX11411, ASTMX20610, ASTMX13349, ASTMX13077, ASTMX01858, ASTMX10152
OG0000587	YEAST04063	ASTMX17633, ASTMX15674, ASTMX05654, ASTMX18684, ASTMX02880
OG0000587	YEAST03372	ASTMX13819
OG0000588	YEAST05197	ASTMX14157, ASTMX18468, ASTMX06494, ASTMX10386, ASTMX19382, ASTMX03016
OG0000590	YEAST05110, YEAST05552, YEAST03727	ASTMX12992, ASTMX20440, ASTMX15142, ASTMX10181, ASTMX04496, ASTMX11935, ASTMX00513
OG0000592	YEAST00388	ASTMX15625, ASTMX01208, ASTMX00581, ASTMX20394, ASTMX11355
OG0000597	YEAST04330	ASTMX09658, ASTMX18806, ASTMX12198, ASTMX07313, ASTMX15757, ASTMX00247, ASTMX15148, ASTMX16916
OG0000609	YEAST05180	ASTMX09487, ASTMX19499, ASTMX00147, ASTMX19500, ASTMX13250, ASTMX05358
OG0000612	YEAST02370	ASTMX10076, ASTMX09692, ASTMX18860, ASTMX09749
OG0000612	YEAST03629	ASTMX15804
OG0000613	YEAST01072	ASTMX01217, ASTMX05307, ASTMX07479, ASTMX16319, ASTMX03360
OG0000623	YEAST02411	ASTMX07600
OG0000623	YEAST05090	ASTMX07831, ASTMX20139, ASTMX15503
OG0000627	YEAST02116, YEAST03957	ASTMX21721, ASTMX00646, ASTMX01724, ASTMX02960, ASTMX07039, ASTMX06195
OG0000639	YEAST02015	ASTMX07088, ASTMX03393, ASTMX02657, ASTMX18519, ASTMX07469, ASTMX21171
OG0000642	YEAST00618	ASTMX01930, ASTMX01929, ASTMX17309, ASTMX04214, ASTMX12313, ASTMX10591
OG0000645	YEAST05140	ASTMX12833, ASTMX02606
OG0000645	YEAST04743	ASTMX18567, ASTMX05124
OG0000647	YEAST04534	ASTMX17066, ASTMX19826, ASTMX06640, ASTMX12729, ASTMX12730
OG0000648	YEAST04178, YEAST05641	ASTMX22428, ASTMX02643, ASTMX15128, ASTMX02551
OG0000657	YEAST03846	ASTMX19394, ASTMX19395, ASTMX12483, ASTMX19401
OG0000660	YEAST05150, YEAST01587	ASTMX00650, ASTMX17867, ASTMX22390, ASTMX13764, ASTMX14506, ASTMX05874, ASTMX20321
OG0000662	YEAST05937	ASTMX17885, ASTMX16404, ASTMX12633, ASTMX19890, ASTMX07727
OG0000663	YEAST02675, YEAST03294	ASTMX00870, ASTMX22176
OG0000672	YEAST03771	ASTMX06515, ASTMX05666
OG0000672	YEAST00984	ASTMX04882
OG0000676	YEAST01503	ASTMX00864, ASTMX18277
OG0000676	YEAST02962	ASTMX08754, ASTMX04107, ASTMX12053, ASTMX05384, ASTMX03141
OG0000683	YEAST03152, YEAST03537, YEAST05938	ASTMX00004, ASTMX04192, ASTMX02366, ASTMX20098, ASTMX14160
OG0000690	YEAST04874	ASTMX00910, ASTMX12919
OG0000690	YEAST02296	ASTMX02690
OG0000692	YEAST01969	ASTMX05795
OG0000694	YEAST05978	ASTMX03278, ASTMX14068, ASTMX09753, ASTMX09044
OG0000699	YEAST05706	ASTMX12167, ASTMX03451, ASTMX16931, ASTMX12166
OG0000701	YEAST02239, YEAST02223	ASTMX20666, ASTMX10954, ASTMX11996, ASTMX15941
OG0000703	YEAST05314	ASTMX02735, ASTMX03772, ASTMX19327
OG0000708	YEAST05997	ASTMX20485, ASTMX07401, ASTMX01986, ASTMX04018
OG0000709	YEAST00057	ASTMX03927, ASTMX01587, ASTMX01677, ASTMX01678, ASTMX12944, ASTMX04215
OG0000724	YEAST02013	ASTMX14147, ASTMX14520, ASTMX08940, ASTMX16541
OG0000732	YEAST04978	ASTMX04110, ASTMX08757, ASTMX08756, ASTMX19433, ASTMX11592, ASTMX05482
OG0000733	YEAST05474	ASTMX13523, ASTMX10818, ASTMX05629, ASTMX01287, ASTMX12275, ASTMX15113, ASTMX04231
OG0000735	YEAST05945	ASTMX18670, ASTMX15914, ASTMX01829, ASTMX03219
OG0000737	YEAST05188	ASTMX07624, ASTMX11985
OG0000744	YEAST05951	ASTMX02577, ASTMX08430, ASTMX13118, ASTMX02655, ASTMX15516
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	ASTMX10595
OG0000752	YEAST01432, YEAST04483	ASTMX12098, ASTMX06480, ASTMX04128
OG0000753	YEAST01034, YEAST02037	ASTMX22178, ASTMX21967, ASTMX20031, ASTMX02344, ASTMX11178
OG0000757	YEAST01489	ASTMX11382, ASTMX05406, ASTMX20344, ASTMX17086, ASTMX05445
OG0000758	YEAST01504	ASTMX19954, ASTMX19547, ASTMX16359, ASTMX11953, ASTMX19955, ASTMX17536, ASTMX07595
OG0000759	YEAST02878, YEAST05681	ASTMX14677, ASTMX13249, ASTMX18116, ASTMX06445, ASTMX15465, ASTMX13612, ASTMX13613
