Orthogroup	YEAST	ORYLA
OG0000127	YEAST06208	ORYLA09546, ORYLA01017, ORYLA13298, ORYLA18247, ORYLA09922, ORYLA05476, ORYLA10382, ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240, ORYLA16687, ORYLA17012, ORYLA18446, ORYLA16683
OG0000128	YEAST03441, YEAST01398, YEAST05967, YEAST05716	ORYLA06619, ORYLA09314
OG0000132	YEAST06016	ORYLA13789, ORYLA03852, ORYLA04393, ORYLA00046, ORYLA00081, ORYLA00043, ORYLA08009
OG0000137	YEAST01851, YEAST00637	ORYLA01561, ORYLA05405, ORYLA11449, ORYLA01560, ORYLA20491, ORYLA06196, ORYLA16275, ORYLA11370, ORYLA08706
OG0000142	YEAST02122	ORYLA08857, ORYLA18004, ORYLA10671, ORYLA16620, ORYLA01917, ORYLA05889, ORYLA06988, ORYLA13949
OG0000157	YEAST02851	ORYLA13712
OG0000158	YEAST05568	ORYLA13317, ORYLA13316, ORYLA00712, ORYLA06676, ORYLA13319, ORYLA13320, ORYLA06673, ORYLA13322, ORYLA13321, ORYLA02577, ORYLA02576, ORYLA02575, ORYLA13315, ORYLA13314, ORYLA06675, ORYLA06677, ORYLA16215, ORYLA04882, ORYLA09237, ORYLA07104
OG0000160	YEAST04194	ORYLA15840, ORYLA02669, ORYLA17886, ORYLA02668, ORYLA17884
OG0000175	YEAST00850, YEAST04327	ORYLA13694, ORYLA09065, ORYLA06318, ORYLA14503, ORYLA14504
OG0000179	YEAST01123, YEAST04430	ORYLA08077, ORYLA04985, ORYLA02338, ORYLA18117
OG0000179	YEAST02911, YEAST01281	ORYLA18062, ORYLA18061, ORYLA14649
OG0000179	YEAST04108, YEAST03346	ORYLA20422
OG0000181	YEAST00824, YEAST00771	ORYLA16498, ORYLA13742, ORYLA15752, ORYLA07049, ORYLA08335, ORYLA19060, ORYLA03346, ORYLA11594, ORYLA14523, ORYLA18853, ORYLA15035
OG0000186	YEAST00336	ORYLA10669
OG0000194	YEAST01410	ORYLA03335, ORYLA10209, ORYLA09317
OG0000195	YEAST03414	ORYLA09172, ORYLA07416
OG0000211	YEAST04964	ORYLA03809, ORYLA03810, ORYLA05322, ORYLA04972, ORYLA14089, ORYLA02476, ORYLA17530, ORYLA18617, ORYLA15118, ORYLA12450
OG0000221	YEAST05872	ORYLA19844, ORYLA09679, ORYLA09153, ORYLA06716, ORYLA16420, ORYLA20056, ORYLA03306, ORYLA16226, ORYLA13864, ORYLA19366, ORYLA06146, ORYLA01810, ORYLA16468, ORYLA14776
OG0000222	YEAST01460	ORYLA03527, ORYLA14496, ORYLA13104, ORYLA13105
OG0000225	YEAST06146	ORYLA10962, ORYLA15835, ORYLA13765, ORYLA15534, ORYLA19091, ORYLA15739, ORYLA02794, ORYLA01507
OG0000227	YEAST05815	ORYLA01974, ORYLA09705, ORYLA16473, ORYLA07142, ORYLA14920, ORYLA14919, ORYLA08058, ORYLA16479, ORYLA19592, ORYLA07005, ORYLA07006, ORYLA13332
OG0000228	YEAST04750	ORYLA04088, ORYLA03535, ORYLA04089, ORYLA00004, ORYLA00005, ORYLA01119, ORYLA00170, ORYLA01127, ORYLA01126
OG0000233	YEAST03726, YEAST03241, YEAST03242	ORYLA05663, ORYLA18003
OG0000238	YEAST06340, YEAST03834	ORYLA07768, ORYLA07061, ORYLA18743, ORYLA15964, ORYLA06983
OG0000240	YEAST03827	ORYLA19584, ORYLA18684, ORYLA18226
OG0000242	YEAST00734	ORYLA11284, ORYLA20306, ORYLA07965, ORYLA20204, ORYLA11050
OG0000246	YEAST01746, YEAST01747	ORYLA16344, ORYLA17250
OG0000250	YEAST04716	ORYLA14962, ORYLA16891, ORYLA11002
OG0000255	YEAST02822	ORYLA04331, ORYLA12113
OG0000256	YEAST00266	ORYLA02742, ORYLA16602, ORYLA00877, ORYLA19550, ORYLA12202, ORYLA14805, ORYLA12201
OG0000258	YEAST00118	ORYLA05816, ORYLA16736, ORYLA00803, ORYLA19450, ORYLA00543, ORYLA13731, ORYLA14055, ORYLA11238, ORYLA10418, ORYLA04818, ORYLA08148
OG0000260	YEAST04323	ORYLA10907, ORYLA18428, ORYLA15874, ORYLA17877, ORYLA08131, ORYLA01145
OG0000265	YEAST03885, YEAST03714	ORYLA17739, ORYLA10912, ORYLA14726
OG0000272	YEAST02076, YEAST01066	ORYLA04557, ORYLA03537, ORYLA01727, ORYLA05346, ORYLA10396, ORYLA15887, ORYLA20158, ORYLA03232, ORYLA18754
OG0000278	YEAST03847	ORYLA04407
OG0000278	YEAST03806	ORYLA13179
OG0000278	YEAST04060	ORYLA04766
OG0000284	YEAST05621	ORYLA12966, ORYLA01651, ORYLA17103, ORYLA18256, ORYLA20455, ORYLA00383
OG0000289	YEAST00645	ORYLA05120, ORYLA13565, ORYLA06948, ORYLA17464, ORYLA12957, ORYLA11776
OG0000305	YEAST04899	ORYLA05505, ORYLA02167, ORYLA05631, ORYLA20085, ORYLA06691, ORYLA14370, ORYLA15761
OG0000308	YEAST02548	ORYLA08644, ORYLA03830, ORYLA03011, ORYLA01851, ORYLA08982
OG0000310	YEAST02635	ORYLA09618
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	ORYLA12072, ORYLA02919, ORYLA07558, ORYLA20410, ORYLA04032
OG0000313	YEAST05106	ORYLA07713, ORYLA09993, ORYLA12846, ORYLA05854
OG0000316	YEAST01673	ORYLA12240, ORYLA00490, ORYLA05028, ORYLA00489, ORYLA00488, ORYLA06812, ORYLA13482
OG0000317	YEAST01356	ORYLA17846, ORYLA11677, ORYLA02222, ORYLA11482, ORYLA19885, ORYLA01724, ORYLA05343
OG0000321	YEAST03264	ORYLA12958, ORYLA02627, ORYLA16703, ORYLA00623, ORYLA01005, ORYLA09493, ORYLA09170, ORYLA01006, ORYLA09494, ORYLA09171, ORYLA04617
OG0000323	YEAST02249	ORYLA08920, ORYLA03927, ORYLA19746, ORYLA05750, ORYLA06414, ORYLA19842, ORYLA10008
OG0000326	YEAST06268, YEAST05286	ORYLA13891, ORYLA06903, ORYLA03641, ORYLA04182
OG0000326	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	ORYLA13893
OG0000327	YEAST01354	ORYLA14175, ORYLA16012, ORYLA16011, ORYLA14173, ORYLA14174
OG0000334	YEAST05626	ORYLA17002
OG0000338	YEAST02967	ORYLA03979, ORYLA03456, ORYLA02319, ORYLA17367, ORYLA06348
OG0000338	YEAST04211	ORYLA01999, ORYLA20309, ORYLA06130
OG0000343	YEAST03024, YEAST02736	ORYLA11766, ORYLA05311, ORYLA03936, ORYLA03297
OG0000345	YEAST01884	ORYLA17736, ORYLA03893, ORYLA18632, ORYLA19612, ORYLA01382, ORYLA08221
OG0000352	YEAST04069	ORYLA02626, ORYLA13214, ORYLA13215, ORYLA16805, ORYLA00708, ORYLA00709, ORYLA19045, ORYLA15089
OG0000357	YEAST01925	ORYLA01112, ORYLA00674, ORYLA02665, ORYLA17822, ORYLA11167, ORYLA14261, ORYLA15724
OG0000359	YEAST02489	ORYLA12664, ORYLA16724, ORYLA09391, ORYLA16382, ORYLA01269
OG0000363	YEAST04081, YEAST05870	ORYLA12525, ORYLA06099, ORYLA19085, ORYLA08262, ORYLA01904
OG0000365	YEAST05831	ORYLA03808, ORYLA04263, ORYLA09099, ORYLA06385, ORYLA08881, ORYLA17112
OG0000367	YEAST02141, YEAST03746, YEAST03210	ORYLA11251, ORYLA13727, ORYLA14050, ORYLA14306, ORYLA15500, ORYLA07069, ORYLA11818
OG0000372	YEAST05988	ORYLA11902, ORYLA14491, ORYLA16999, ORYLA12426, ORYLA15492, ORYLA11861
OG0000373	YEAST02023	ORYLA17975, ORYLA07919, ORYLA16362, ORYLA10269, ORYLA07659
OG0000385	YEAST03496	ORYLA09843, ORYLA08652, ORYLA05706
OG0000393	YEAST04072, YEAST04071	ORYLA17272
OG0000393	YEAST01302	ORYLA18186
OG0000397	YEAST05080	ORYLA18921, ORYLA19892, ORYLA08378, ORYLA10415
OG0000399	YEAST02160	ORYLA11402, ORYLA10522, ORYLA11860, ORYLA14927, ORYLA05753, ORYLA19952, ORYLA07160, ORYLA13626
OG0000400	YEAST05911	ORYLA05314, ORYLA06502, ORYLA02904, ORYLA01626
OG0000402	YEAST01657, YEAST01929	ORYLA16038, ORYLA10903, ORYLA14672, ORYLA17762, ORYLA18643, ORYLA18833, ORYLA19928, ORYLA12469
OG0000405	YEAST06055, YEAST00411	ORYLA06036, ORYLA14984, ORYLA12719, ORYLA17691
OG0000412	YEAST04469	ORYLA08106, ORYLA05004, ORYLA17848, ORYLA01673
OG0000413	YEAST04905, YEAST05340	ORYLA10551, ORYLA11652, ORYLA11343, ORYLA03076, ORYLA03075
OG0000413	YEAST02838	ORYLA10219, ORYLA12848, ORYLA03097, ORYLA04188
OG0000419	YEAST05989	ORYLA12033, ORYLA16958, ORYLA15894, ORYLA11288
OG0000420	YEAST03886	ORYLA03182, ORYLA20448
OG0000424	YEAST03563	ORYLA19753
OG0000426	YEAST03440	ORYLA01331, ORYLA03961
OG0000427	YEAST02655, YEAST02439	ORYLA19867, ORYLA12374, ORYLA14494, ORYLA06953, ORYLA03526
OG0000429	YEAST02285	ORYLA00070
OG0000431	YEAST04014	ORYLA08041, ORYLA12780, ORYLA03106, ORYLA06581, ORYLA12268, ORYLA09572
OG0000433	YEAST06177, YEAST00117	ORYLA20053, ORYLA16936, ORYLA11555, ORYLA11554, ORYLA20072
OG0000437	YEAST03074, YEAST02073	ORYLA08615, ORYLA10009
OG0000442	YEAST05012	ORYLA03345, ORYLA09542, ORYLA09139, ORYLA02244, ORYLA19506, ORYLA00798, ORYLA17054
OG0000444	YEAST01115, YEAST04019	ORYLA10830, ORYLA14231, ORYLA14616, ORYLA15046
OG0000445	YEAST03068	ORYLA10377, ORYLA11833
OG0000450	YEAST04709, YEAST05909	ORYLA09724, ORYLA18516, ORYLA11564, ORYLA02780, ORYLA02779, ORYLA08258, ORYLA00676, ORYLA01113, ORYLA17859, ORYLA18902, ORYLA03353
OG0000461	YEAST00120	ORYLA04397, ORYLA17538
OG0000467	YEAST03162	ORYLA16164, ORYLA20242, ORYLA14274, ORYLA13723, ORYLA15983, ORYLA14489, ORYLA10863
OG0000468	YEAST04372	ORYLA07498, ORYLA06150, ORYLA10188
OG0000469	YEAST02179, YEAST05440	ORYLA14324, ORYLA13835, ORYLA15812, ORYLA16158, ORYLA14163, ORYLA14420, ORYLA14753, ORYLA19640
OG0000469	YEAST00863	ORYLA13413
OG0000474	YEAST02384	ORYLA15732, ORYLA07059, ORYLA02569, ORYLA18127, ORYLA08620, ORYLA09745
OG0000476	YEAST03038	ORYLA19318
OG0000479	YEAST04139	ORYLA05427, ORYLA02241, ORYLA00980, ORYLA10578, ORYLA01123, ORYLA17925, ORYLA02622
OG0000480	YEAST05750	ORYLA13134, ORYLA06337, ORYLA15386
OG0000481	YEAST01040	ORYLA17197
OG0000481	YEAST00916	ORYLA02862, ORYLA19409
OG0000481	YEAST00827, YEAST00774	ORYLA03884, ORYLA19808
OG0000484	YEAST05824	ORYLA00605, ORYLA16560, ORYLA06643, ORYLA13228, ORYLA17466, ORYLA13170
OG0000486	YEAST03122, YEAST04270	ORYLA08269, ORYLA04783, ORYLA20474, ORYLA20475
OG0000487	YEAST04968	ORYLA10548, ORYLA10468
OG0000487	YEAST02728	ORYLA00064, ORYLA16901
OG0000488	YEAST01414	ORYLA02034, ORYLA15556, ORYLA10093
OG0000490	YEAST04297, YEAST00894	ORYLA02845, ORYLA13410, ORYLA00621, ORYLA16590, ORYLA01902, ORYLA06098, ORYLA18025
OG0000505	YEAST03067	ORYLA13660, ORYLA07151, ORYLA02475, ORYLA17527, ORYLA14935, ORYLA01618, ORYLA14936, ORYLA18172
OG0000508	YEAST04626	ORYLA08233, ORYLA02029, ORYLA10053, ORYLA17614, ORYLA02652, ORYLA04256, ORYLA03536
OG0000510	YEAST04569, YEAST05730	ORYLA16472, ORYLA08348, ORYLA17578, ORYLA02689, ORYLA01174
OG0000515	YEAST04784, YEAST05876	ORYLA07877
OG0000519	YEAST04594, YEAST03616	ORYLA19812, ORYLA02303
OG0000520	YEAST02979	ORYLA17824, ORYLA02661, ORYLA16383, ORYLA05565, ORYLA01527, ORYLA03445
OG0000523	YEAST01952, YEAST05838, YEAST06082	ORYLA05415, ORYLA12411
OG0000529	YEAST05790, YEAST00048	ORYLA12875, ORYLA05863, ORYLA01890, ORYLA04329, ORYLA19259
OG0000534	YEAST04932	ORYLA19150, ORYLA15756, ORYLA09798, ORYLA08332, ORYLA16496
OG0000538	YEAST00499	ORYLA09396, ORYLA13935, ORYLA08202, ORYLA08895, ORYLA08896, ORYLA06216
OG0000552	YEAST05717	ORYLA02316, ORYLA01268, ORYLA19748
OG0000561	YEAST06202, YEAST00331	ORYLA10348, ORYLA11842, ORYLA11841, ORYLA01515
OG0000562	YEAST00314	ORYLA06574, ORYLA13197, ORYLA15135, ORYLA05394
OG0000563	YEAST01406	ORYLA04101, ORYLA03246, ORYLA17360
OG0000566	YEAST05789, YEAST00049	ORYLA13005, ORYLA20281, ORYLA14818, ORYLA12608, ORYLA14819, ORYLA04369
OG0000573	YEAST05675	ORYLA01895, ORYLA05878, ORYLA13057, ORYLA13843, ORYLA04228, ORYLA12607, ORYLA14820
OG0000576	YEAST00470, YEAST00193	ORYLA13924, ORYLA15981, ORYLA08396, ORYLA05305, ORYLA13808, ORYLA15873
OG0000578	YEAST01208, YEAST00759	ORYLA07686, ORYLA04727, ORYLA10429, ORYLA03394, ORYLA04274
OG0000579	YEAST02484	ORYLA11089, ORYLA20327, ORYLA19001, ORYLA13906, ORYLA15480
OG0000582	YEAST03615	ORYLA00146, ORYLA06509, ORYLA02435, ORYLA18131, ORYLA06109, ORYLA01735, ORYLA18132
OG0000587	YEAST04063	ORYLA03518, ORYLA06908, ORYLA07631, ORYLA13556, ORYLA13555, ORYLA12215
OG0000587	YEAST03372	ORYLA03397
OG0000588	YEAST05197	ORYLA16614, ORYLA00870, ORYLA06281, ORYLA02480, ORYLA17646, ORYLA04266
OG0000590	YEAST05110, YEAST05552, YEAST03727	ORYLA06142, ORYLA02148, ORYLA16465, ORYLA06302, ORYLA06303, ORYLA14008
OG0000592	YEAST00388	ORYLA17452, ORYLA11854, ORYLA14631, ORYLA12104, ORYLA04227
OG0000597	YEAST04330	ORYLA07402, ORYLA04005, ORYLA16364, ORYLA17588, ORYLA02653, ORYLA12151, ORYLA19873, ORYLA00446
OG0000609	YEAST05180	ORYLA10455, ORYLA12278, ORYLA12277, ORYLA08612, ORYLA08611, ORYLA14376
OG0000612	YEAST02370	ORYLA07338, ORYLA04935, ORYLA08129, ORYLA02945, ORYLA18740, ORYLA19604
OG0000612	YEAST03629	ORYLA15846
OG0000613	YEAST01072	ORYLA11623, ORYLA14150, ORYLA19742, ORYLA01989, ORYLA17655, ORYLA18374
OG0000623	YEAST02411	ORYLA04745
OG0000623	YEAST05090	ORYLA00079, ORYLA17052, ORYLA00793, ORYLA17008
OG0000627	YEAST02116, YEAST03957	ORYLA12142, ORYLA12141, ORYLA03674, ORYLA06171, ORYLA09126, ORYLA20443
OG0000639	YEAST02015	ORYLA02529, ORYLA15265, ORYLA08926, ORYLA13977, ORYLA15421
OG0000642	YEAST00618	ORYLA07221, ORYLA00442, ORYLA00566, ORYLA04869
OG0000645	YEAST05140	ORYLA12725, ORYLA15007
OG0000645	YEAST04743	ORYLA00407, ORYLA14925
OG0000647	YEAST04534	ORYLA00414, ORYLA05088, ORYLA05089
OG0000648	YEAST04178, YEAST05641	ORYLA08869, ORYLA06524, ORYLA12473, ORYLA12472
OG0000657	YEAST03846	ORYLA17525, ORYLA17523, ORYLA17524, ORYLA12065
OG0000660	YEAST05150, YEAST01587	ORYLA09622, ORYLA19737, ORYLA06492, ORYLA17770, ORYLA03243, ORYLA06455
OG0000662	YEAST05937	ORYLA20494, ORYLA17182, ORYLA07752, ORYLA17006
OG0000663	YEAST02675, YEAST03294	ORYLA02202, ORYLA18943
OG0000672	YEAST03771	ORYLA06583, ORYLA07641
OG0000672	YEAST00984	ORYLA19020
OG0000676	YEAST01503	ORYLA19352, ORYLA18665
OG0000676	YEAST02962	ORYLA06347, ORYLA07256, ORYLA08627, ORYLA09910
OG0000683	YEAST03152, YEAST03537, YEAST05938	ORYLA19477, ORYLA16618, ORYLA00863, ORYLA07013, ORYLA13074
OG0000690	YEAST04874	ORYLA02247, ORYLA10616, ORYLA11941
OG0000690	YEAST02296	ORYLA07589
OG0000692	YEAST01969	ORYLA04625
OG0000694	YEAST05978	ORYLA12542, ORYLA12528, ORYLA11581, ORYLA01504, ORYLA17428
OG0000699	YEAST05706	ORYLA04436, ORYLA04234, ORYLA04435
OG0000701	YEAST02239, YEAST02223	ORYLA19420, ORYLA12504, ORYLA00020, ORYLA12503, ORYLA17945, ORYLA17338
OG0000703	YEAST05314	ORYLA18919, ORYLA10647, ORYLA20496, ORYLA20497
OG0000708	YEAST05997	ORYLA08879, ORYLA10826, ORYLA20261, ORYLA20260
OG0000709	YEAST00057	ORYLA00220, ORYLA07658, ORYLA12732, ORYLA04881, ORYLA05189, ORYLA05188
OG0000724	YEAST02013	ORYLA00225, ORYLA11470, ORYLA10190
OG0000732	YEAST04978	ORYLA12890, ORYLA12891, ORYLA17078, ORYLA17079, ORYLA00276, ORYLA13246
OG0000733	YEAST05474	ORYLA10736, ORYLA07377, ORYLA11454, ORYLA04800, ORYLA10355, ORYLA11839
OG0000735	YEAST05945	ORYLA11819, ORYLA05525, ORYLA05523, ORYLA05524, ORYLA05373, ORYLA10363
OG0000737	YEAST05188	ORYLA05282, ORYLA02387, ORYLA17956
OG0000744	YEAST05951	ORYLA06262, ORYLA06263, ORYLA07597, ORYLA09281, ORYLA07131
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	ORYLA04864
OG0000752	YEAST01432, YEAST04483	ORYLA05301, ORYLA04164, ORYLA06659, ORYLA00849
OG0000753	YEAST01034, YEAST02037	ORYLA12199, ORYLA15815, ORYLA03548, ORYLA04553, ORYLA18630, ORYLA12198
OG0000757	YEAST01489	ORYLA00237, ORYLA16792, ORYLA10286, ORYLA18438, ORYLA08503
OG0000758	YEAST01504	ORYLA18255, ORYLA10334, ORYLA11982, ORYLA10388
OG0000759	YEAST02878, YEAST05681	ORYLA09820, ORYLA08624, ORYLA09344, ORYLA06968, ORYLA16111, ORYLA09359, ORYLA08392, ORYLA09358
OG0000768	YEAST02560, YEAST04269	ORYLA10953, ORYLA14746, ORYLA14526, ORYLA15814
OG0000772	YEAST04929	ORYLA01171, ORYLA00334, ORYLA10027, ORYLA01723
OG0000776	YEAST04571, YEAST00195, YEAST00312	ORYLA01033, ORYLA19610, ORYLA04178
OG0000777	YEAST06297, YEAST02627	ORYLA16329, ORYLA00551, ORYLA16907, ORYLA17057
OG0000779	YEAST03812	ORYLA15552, ORYLA14213, ORYLA11734, ORYLA09089
OG0000782	YEAST01393, YEAST05616	ORYLA13009, ORYLA18096, ORYLA14883, ORYLA12161
OG0000791	YEAST02375	ORYLA06970, ORYLA08877, ORYLA13748, ORYLA08756, ORYLA10037
OG0000794	YEAST04627	ORYLA03967, ORYLA03748, ORYLA17611, ORYLA17196
OG0000800	YEAST03636	ORYLA20293, ORYLA15170, ORYLA20297, ORYLA04833
OG0000809	YEAST01998	ORYLA12960, ORYLA12961, ORYLA10307, ORYLA13020, ORYLA17678
OG0000817	YEAST00389	ORYLA14347, ORYLA19483
OG0000817	YEAST06112	ORYLA07042
OG0000824	YEAST01319, YEAST02883	ORYLA03257, ORYLA03256, ORYLA04106, ORYLA00161, ORYLA03258
OG0000828	YEAST00945, YEAST05476, YEAST00075	ORYLA12597, ORYLA17485, ORYLA17486
OG0000828	YEAST02290	ORYLA02288
OG0000837	YEAST06222	ORYLA19078, ORYLA01945, ORYLA01944, ORYLA04744
OG0000841	YEAST02416	ORYLA01641, ORYLA15191, ORYLA11622
OG0000847	YEAST02881, YEAST03544, YEAST06198	ORYLA07949
OG0000847	YEAST02530, YEAST00209	ORYLA16880
OG0000849	YEAST04475	ORYLA15667, ORYLA13688, ORYLA15402, ORYLA12370, ORYLA14601
OG0000850	YEAST04287	ORYLA10312, ORYLA12941, ORYLA04650, ORYLA04651
OG0000852	YEAST01266	ORYLA01694, ORYLA05767, ORYLA05768, ORYLA15572, ORYLA02133, ORYLA02134
OG0000855	YEAST04755	ORYLA04372, ORYLA03234
OG0000857	YEAST00309	ORYLA13985, ORYLA15799, ORYLA14692, ORYLA12378
OG0000868	YEAST06157	ORYLA11338, ORYLA10412, ORYLA16598, ORYLA08444, ORYLA08443
OG0000871	YEAST03857	ORYLA00978, ORYLA00890
OG0000872	YEAST03222, YEAST03741	ORYLA20287, ORYLA15006, ORYLA10961
OG0000875	YEAST00077	ORYLA13326, ORYLA07093, ORYLA03514, ORYLA19061
