Orthogroup	YEAST	BRALA
OG0000031	YEAST02238	BRALA28310, BRALA01948, BRALA09437, BRALA32909, BRALA01946, BRALA12064, BRALA09438, BRALA01951, BRALA14885, BRALA09441, BRALA09439, BRALA32910, BRALA01947, BRALA01952, BRALA14882, BRALA23662, BRALA14883, BRALA19306, BRALA05713, BRALA17265, BRALA15256, BRALA15254, BRALA01977, BRALA22606, BRALA04543, BRALA04547, BRALA04610, BRALA13458, BRALA05046, BRALA16640, BRALA09408, BRALA28311, BRALA28586, BRALA15572
OG0000034	YEAST04436, YEAST05550, YEAST05115	BRALA27570, BRALA08751, BRALA08901, BRALA03079, BRALA17580, BRALA08885, BRALA23966, BRALA06594, BRALA18444, BRALA02412
OG0000036	YEAST02545, YEAST02806	BRALA03126, BRALA19967, BRALA22400, BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181, BRALA35896, BRALA06754, BRALA31321, BRALA06755, BRALA06753, BRALA18345, BRALA22402, BRALA22404, BRALA03476
OG0000037	YEAST03227	BRALA30888, BRALA30887, BRALA30886, BRALA34479, BRALA15633, BRALA15632, BRALA17025, BRALA34823, BRALA09732, BRALA14456, BRALA16028, BRALA16027, BRALA32232, BRALA35009, BRALA32233, BRALA32234, BRALA32235, BRALA11133, BRALA01782, BRALA01781, BRALA07903, BRALA07904, BRALA07905, BRALA22282, BRALA22275, BRALA16015, BRALA16393, BRALA16390, BRALA16391, BRALA16388
OG0000038	YEAST04422, YEAST04379	BRALA00267, BRALA07451, BRALA32346, BRALA07354, BRALA07351, BRALA07450, BRALA07449, BRALA03789, BRALA20288, BRALA15513, BRALA22708, BRALA13194, BRALA19648, BRALA18077, BRALA04779, BRALA27417
OG0000043	YEAST00224, YEAST01200	BRALA27558, BRALA29904, BRALA27561, BRALA27544, BRALA25261, BRALA20700, BRALA31404, BRALA31409, BRALA11161, BRALA06431, BRALA06417, BRALA06396, BRALA06445, BRALA06452, BRALA06409, BRALA06468, BRALA20694, BRALA06439, BRALA20722, BRALA06458, BRALA06464, BRALA06413, BRALA06474, BRALA06478, BRALA09159
OG0000048	YEAST05707	BRALA08224, BRALA06772, BRALA35359, BRALA30640, BRALA30891, BRALA13398, BRALA28757, BRALA17823, BRALA17828, BRALA17827, BRALA14637, BRALA17826, BRALA20466, BRALA05845, BRALA13397, BRALA31649, BRALA31651, BRALA13408, BRALA13407, BRALA17809, BRALA10830, BRALA23587, BRALA03524
OG0000053	YEAST05460, YEAST01800	BRALA07781, BRALA04262
OG0000054	YEAST01385	BRALA10120, BRALA24089, BRALA02118, BRALA20506, BRALA19923, BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257, BRALA17805, BRALA33752, BRALA25223
OG0000055	YEAST01199, YEAST00225	BRALA34592, BRALA06465, BRALA06467, BRALA13087, BRALA06446, BRALA27563, BRALA27545, BRALA25264, BRALA25260, BRALA27539, BRALA20701, BRALA06443, BRALA06419, BRALA06416, BRALA06397, BRALA06394, BRALA31408, BRALA11246, BRALA06430, BRALA06473, BRALA06477
OG0000058	YEAST02989	BRALA07698, BRALA29633, BRALA08669, BRALA24063
OG0000058	YEAST02120	BRALA06324, BRALA14300, BRALA24917, BRALA27306, BRALA14302, BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460, BRALA20989, BRALA20988, BRALA11173, BRALA06327, BRALA27304, BRALA06325
OG0000069	YEAST03661	BRALA10090, BRALA31904, BRALA27769, BRALA28929
OG0000069	YEAST05172	BRALA06255, BRALA22501
OG0000079	YEAST05330	BRALA00097, BRALA00109, BRALA18105, BRALA22809, BRALA13477, BRALA00141, BRALA16237, BRALA25844, BRALA16235
OG0000082	YEAST03287	BRALA23665
OG0000082	YEAST04267, YEAST01834, YEAST03359	BRALA23991
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	BRALA10738, BRALA12025
OG0000082	YEAST04992, YEAST00735	BRALA12024
OG0000095	YEAST02993	BRALA15122, BRALA25718, BRALA09730, BRALA09773, BRALA27146, BRALA20760, BRALA08842
OG0000096	YEAST02643	BRALA29898, BRALA29897
OG0000096	YEAST00638	BRALA16859
OG0000096	YEAST05104, YEAST05564	BRALA08595, BRALA28945, BRALA02509, BRALA24883
OG0000103	YEAST02873	BRALA12702, BRALA24770, BRALA25187, BRALA25191, BRALA31877, BRALA22032, BRALA34609, BRALA35379, BRALA31987, BRALA22034, BRALA22033
OG0000107	YEAST05173	BRALA27567, BRALA06395, BRALA20703, BRALA11727, BRALA20699, BRALA27541, BRALA06411, BRALA06451, BRALA29902, BRALA06432, BRALA06459, BRALA27535, BRALA25259, BRALA06476, BRALA06418, BRALA20696, BRALA27546, BRALA27562, BRALA09329, BRALA06444, BRALA31407, BRALA25263
OG0000113	YEAST00378, YEAST01351, YEAST05581	BRALA05711, BRALA05736, BRALA10598, BRALA02148, BRALA02143, BRALA02144, BRALA02149, BRALA26605, BRALA26606, BRALA30624, BRALA26607, BRALA21348, BRALA30625, BRALA05737, BRALA34204, BRALA28295
OG0000116	YEAST04456	BRALA06857, BRALA34392, BRALA31794, BRALA12939, BRALA09058, BRALA12935, BRALA28150, BRALA28151, BRALA30261, BRALA27865, BRALA02197, BRALA13339
OG0000122	YEAST04928	BRALA04629, BRALA07001
OG0000124	YEAST01581, YEAST05113, YEAST03767	BRALA00429
OG0000124	YEAST04122	BRALA05628
OG0000127	YEAST06208	BRALA25100, BRALA25099, BRALA35668, BRALA34921, BRALA06066, BRALA17083, BRALA16654, BRALA06242, BRALA34798
OG0000128	YEAST01398, YEAST05967, YEAST05716	BRALA31378
OG0000132	YEAST06016	BRALA31411, BRALA31406, BRALA27565, BRALA27560, BRALA27542, BRALA27536, BRALA33655, BRALA33182, BRALA20698, BRALA20702, BRALA25262, BRALA11726, BRALA20134, BRALA33962, BRALA06392, BRALA06433, BRALA06447, BRALA06441, BRALA06456, BRALA06479, BRALA06414, BRALA11245
OG0000137	YEAST01851, YEAST00637	BRALA21689, BRALA16648, BRALA28974, BRALA04537, BRALA12643, BRALA12641, BRALA02192, BRALA12642, BRALA14840, BRALA06017, BRALA11495, BRALA27466, BRALA25430, BRALA25424, BRALA35631, BRALA30028
OG0000142	YEAST02122	BRALA11507, BRALA06235, BRALA24723, BRALA02306
OG0000160	YEAST04194	BRALA17752, BRALA19774, BRALA09740, BRALA07274, BRALA19400, BRALA19362, BRALA07285, BRALA07284, BRALA07278, BRALA07280, BRALA33017, BRALA19401, BRALA17753, BRALA19403, BRALA07279, BRALA11586, BRALA07275, BRALA14771
OG0000175	YEAST00850, YEAST04327	BRALA24671, BRALA14699, BRALA14698, BRALA21252, BRALA16465
OG0000179	YEAST01123, YEAST04430	BRALA13816
OG0000179	YEAST02911, YEAST01281	BRALA15064, BRALA15063, BRALA32738
OG0000179	YEAST04108, YEAST03346	BRALA28779
OG0000181	YEAST00824, YEAST00771	BRALA20263, BRALA09404, BRALA25948, BRALA11436
OG0000186	YEAST00336	BRALA04593, BRALA29207, BRALA31124, BRALA33904, BRALA11062, BRALA11015, BRALA08975, BRALA08973, BRALA08974, BRALA16103, BRALA13622, BRALA21576, BRALA13620, BRALA13621, BRALA13619
OG0000194	YEAST02757	BRALA32736
OG0000194	YEAST01410	BRALA06145, BRALA06143, BRALA24202, BRALA32166, BRALA06144, BRALA05240, BRALA29709, BRALA24201, BRALA30621, BRALA19294, BRALA04421, BRALA06130, BRALA14291, BRALA14295, BRALA14297
OG0000195	YEAST03414	BRALA27202, BRALA33299, BRALA21846, BRALA14189, BRALA01750, BRALA01749, BRALA08338, BRALA22184
OG0000211	YEAST04964	BRALA12046, BRALA25506, BRALA13452, BRALA35174, BRALA35905, BRALA33365, BRALA15028, BRALA13475, BRALA13474
OG0000221	YEAST05872	BRALA04793, BRALA07381, BRALA07380, BRALA10634
OG0000222	YEAST01460	BRALA11750, BRALA11749, BRALA11748, BRALA11747, BRALA17286, BRALA09521
OG0000225	YEAST06146	BRALA20442, BRALA20435
OG0000227	YEAST05815	BRALA04968, BRALA04952, BRALA04966, BRALA04957
OG0000228	YEAST04750	BRALA13732, BRALA14618, BRALA34088, BRALA13733, BRALA35367, BRALA34100, BRALA29051, BRALA33810, BRALA14448, BRALA28771, BRALA14709, BRALA34769
OG0000233	YEAST03726, YEAST03241, YEAST03242	BRALA24106, BRALA24105, BRALA10164, BRALA10197, BRALA18422, BRALA10165
OG0000238	YEAST06340, YEAST03834	BRALA11216, BRALA11218, BRALA11219, BRALA11217, BRALA22406, BRALA02719
OG0000240	YEAST03827	BRALA26625
OG0000240	YEAST04973	BRALA20674, BRALA20673
OG0000242	YEAST00734	BRALA18838, BRALA02156, BRALA08925, BRALA02150, BRALA11080, BRALA10999, BRALA01207, BRALA09298
OG0000246	YEAST01746, YEAST01747	BRALA33867, BRALA30813, BRALA02252, BRALA29247, BRALA14673, BRALA16837, BRALA30601, BRALA16836, BRALA30599, BRALA16835, BRALA09816, BRALA25342, BRALA14675, BRALA14676, BRALA18019, BRALA29474
OG0000250	YEAST04716	BRALA31781, BRALA29201, BRALA33782, BRALA34803, BRALA31510, BRALA20935, BRALA12663, BRALA29202, BRALA24889, BRALA10299, BRALA13243, BRALA28341, BRALA11863, BRALA06695, BRALA09013, BRALA35677
OG0000255	YEAST02822	BRALA25790, BRALA00871, BRALA11731, BRALA31615, BRALA02467, BRALA20756, BRALA08872, BRALA09849, BRALA09857, BRALA27836
OG0000256	YEAST00266	BRALA10199, BRALA09570, BRALA17466, BRALA00793, BRALA13439, BRALA13440, BRALA13438, BRALA30583
OG0000258	YEAST00118	BRALA13021, BRALA20081, BRALA24991
OG0000260	YEAST04323	BRALA15356, BRALA16338
OG0000265	YEAST05674	BRALA18328
OG0000265	YEAST03885, YEAST03714	BRALA12823
OG0000272	YEAST02076, YEAST01066	BRALA35850, BRALA10865, BRALA10866, BRALA24366, BRALA24364, BRALA23138, BRALA24365, BRALA23139, BRALA23134, BRALA23136, BRALA09678
OG0000274	YEAST02118, YEAST04573, YEAST01485	BRALA33285, BRALA17202, BRALA01582, BRALA01584, BRALA01583, BRALA11404, BRALA04535, BRALA17912, BRALA10566, BRALA24527, BRALA28188, BRALA17203, BRALA29738, BRALA34551, BRALA30698, BRALA24528, BRALA24529, BRALA32971, BRALA33736
OG0000278	YEAST03847	BRALA11856, BRALA14630
OG0000278	YEAST04060	BRALA21572
OG0000278	YEAST01107	BRALA03801
OG0000284	YEAST05621	BRALA18410, BRALA01827, BRALA00852
OG0000289	YEAST00645	BRALA16624, BRALA13907, BRALA01040, BRALA18235, BRALA18234
OG0000305	YEAST04899	BRALA09424, BRALA18598, BRALA10626
OG0000308	YEAST02548	BRALA29440, BRALA35067, BRALA07362, BRALA29439, BRALA12881, BRALA22416
OG0000310	YEAST02635	BRALA13697, BRALA13599, BRALA23270, BRALA13590, BRALA14259, BRALA15274, BRALA15276, BRALA15273, BRALA15272, BRALA13010
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	BRALA14627, BRALA11332, BRALA11333, BRALA11331, BRALA05942, BRALA11891
OG0000313	YEAST05106	BRALA06607, BRALA33057, BRALA35023
OG0000316	YEAST01673	BRALA15931, BRALA03950, BRALA15636, BRALA17328, BRALA14665, BRALA15637
OG0000317	YEAST01356	BRALA18337, BRALA02907, BRALA01067, BRALA30717
OG0000321	YEAST03264	BRALA01010, BRALA31205, BRALA14278, BRALA14360
OG0000323	YEAST02249	BRALA25493, BRALA07917, BRALA00213
OG0000326	YEAST06268, YEAST05286	BRALA08611
OG0000326	YEAST06056	BRALA08568, BRALA14598, BRALA14600, BRALA14599, BRALA17896, BRALA16589
OG0000326	YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	BRALA30880
OG0000327	YEAST01354	BRALA13826, BRALA13825, BRALA19890, BRALA19891, BRALA11391, BRALA07661, BRALA19889
OG0000338	YEAST02967	BRALA15013, BRALA15015
OG0000338	YEAST04211	BRALA03386
OG0000343	YEAST03024, YEAST02736	BRALA09005
OG0000345	YEAST01884	BRALA06622, BRALA06843, BRALA09664
OG0000352	YEAST04069	BRALA01009, BRALA15685, BRALA28171
OG0000357	YEAST01925	BRALA33235, BRALA34828, BRALA34317, BRALA33215, BRALA26089
OG0000359	YEAST02489	BRALA13099, BRALA32272, BRALA24208, BRALA15205, BRALA09897, BRALA26110, BRALA18714, BRALA31578
OG0000363	YEAST04081, YEAST05870	BRALA18898, BRALA25491, BRALA34908, BRALA34889, BRALA25489, BRALA25484, BRALA25486, BRALA29911, BRALA29271, BRALA25487, BRALA26621, BRALA25511, BRALA19638
OG0000365	YEAST05831	BRALA00860, BRALA16888
OG0000367	YEAST02141, YEAST03746, YEAST03210	BRALA31361, BRALA12833
OG0000372	YEAST05988	BRALA15783, BRALA08267, BRALA23771, BRALA15781
OG0000373	YEAST02023	BRALA31921, BRALA23435
OG0000373	YEAST04495, YEAST01417, YEAST05964	BRALA23054
OG0000380	YEAST01047	BRALA33306, BRALA00877, BRALA05298, BRALA15172, BRALA30636, BRALA19861, BRALA26052, BRALA09935, BRALA14395, BRALA26332, BRALA21688, BRALA35404, BRALA19860, BRALA03291, BRALA03285, BRALA17531
OG0000393	YEAST04072, YEAST04071	BRALA31822, BRALA02241, BRALA15381, BRALA24472, BRALA31821, BRALA03078, BRALA27929
OG0000393	YEAST01302	BRALA03160
OG0000397	YEAST05080	BRALA35642, BRALA34670
OG0000399	YEAST02160	BRALA28297, BRALA23772, BRALA04322
OG0000400	YEAST05911	BRALA19704, BRALA01953, BRALA33208, BRALA25068, BRALA08119, BRALA02722
OG0000402	YEAST01657, YEAST01929	BRALA21413, BRALA17661, BRALA17660
OG0000405	YEAST06055, YEAST00411	BRALA21721
OG0000412	YEAST04469	BRALA06660, BRALA01758, BRALA10138
OG0000413	YEAST04905, YEAST05340	BRALA21468
OG0000413	YEAST02838	BRALA06166
OG0000419	YEAST05989	BRALA30844, BRALA03697
OG0000420	YEAST03886	BRALA22044, BRALA24622, BRALA13074, BRALA05449, BRALA13072, BRALA13076, BRALA13077, BRALA13078, BRALA04230, BRALA13075, BRALA04225
OG0000424	YEAST03563	BRALA03834, BRALA03844, BRALA29651, BRALA08803
OG0000426	YEAST03848, YEAST01121	BRALA13863
OG0000427	YEAST02655, YEAST02439	BRALA09830, BRALA26779, BRALA26782, BRALA26781, BRALA26778, BRALA26788
OG0000429	YEAST02285	BRALA31849, BRALA13739, BRALA13741, BRALA13742, BRALA13766, BRALA12307
OG0000431	YEAST04014	BRALA06237, BRALA13675
OG0000433	YEAST06177, YEAST00117	BRALA23044, BRALA22158, BRALA19035
OG0000437	YEAST03074, YEAST02073	BRALA23658, BRALA22832, BRALA23657, BRALA09050, BRALA03237
OG0000442	YEAST05012	BRALA23798, BRALA25405, BRALA33737, BRALA30174
OG0000444	YEAST01115, YEAST04019	BRALA29773, BRALA07745
OG0000445	YEAST03068	BRALA35281, BRALA33201, BRALA05663, BRALA29510, BRALA27780, BRALA00619, BRALA21525, BRALA01672, BRALA24679, BRALA34223
OG0000450	YEAST04709, YEAST05909	BRALA29697
OG0000461	YEAST00120	BRALA25433
OG0000467	YEAST03162	BRALA17998
OG0000468	YEAST04372	BRALA16180, BRALA28186, BRALA18298, BRALA18299, BRALA18302, BRALA18300, BRALA11917
OG0000469	YEAST02179, YEAST05440	BRALA35215, BRALA33439
OG0000469	YEAST00863	BRALA16555
OG0000474	YEAST02384	BRALA10583, BRALA10584
OG0000476	YEAST03038	BRALA20616, BRALA20613, BRALA20614, BRALA20612, BRALA14616, BRALA14614, BRALA14617
OG0000479	YEAST04139	BRALA18790, BRALA33610, BRALA34677, BRALA33937, BRALA19002, BRALA33783
OG0000480	YEAST05750	BRALA30132, BRALA35901, BRALA28328, BRALA28329
OG0000481	YEAST01040	BRALA27659
OG0000481	YEAST00916	BRALA10023
OG0000481	YEAST00827, YEAST00774	BRALA03647
OG0000484	YEAST05824	BRALA35066, BRALA34077
OG0000486	YEAST03122, YEAST04270	BRALA01376, BRALA02955, BRALA02954, BRALA02956, BRALA19977, BRALA04760, BRALA04761, BRALA03985
OG0000487	YEAST04968	BRALA22509, BRALA23385
OG0000487	YEAST02728	BRALA28599, BRALA25400, BRALA25401, BRALA28602
OG0000488	YEAST01414	BRALA07851, BRALA29429
OG0000505	YEAST03067	BRALA07980, BRALA07978
OG0000508	YEAST04626	BRALA17016, BRALA24846, BRALA34227, BRALA31119, BRALA33555
OG0000510	YEAST04569, YEAST05730	BRALA00432
OG0000515	YEAST04784, YEAST05876	BRALA07345
OG0000519	YEAST04594, YEAST03616	BRALA25441, BRALA22160
OG0000520	YEAST02979	BRALA19385, BRALA19387, BRALA23459, BRALA35783
OG0000523	YEAST01952, YEAST05838, YEAST06082	BRALA23223, BRALA26109, BRALA09495, BRALA26107, BRALA18475
OG0000529	YEAST05790, YEAST00048	BRALA34553, BRALA03729, BRALA17267, BRALA21823
OG0000534	YEAST04932	BRALA17057, BRALA15529, BRALA25037
OG0000549	YEAST06280, YEAST02610, YEAST05060	BRALA09774, BRALA01654, BRALA11510, BRALA16788, BRALA33866, BRALA19896, BRALA24295, BRALA03880
OG0000552	YEAST05717	BRALA31577, BRALA11014, BRALA19431, BRALA19430, BRALA12172
OG0000556	YEAST04616	BRALA15896, BRALA24382, BRALA15880, BRALA07751, BRALA15893, BRALA15897, BRALA15887, BRALA15898, BRALA15884, BRALA15891, BRALA15892, BRALA24383, BRALA15894, BRALA15881, BRALA07749, BRALA24384, BRALA15889, BRALA07753, BRALA07752, BRALA15883, BRALA15882, BRALA15888, BRALA15890
OG0000561	YEAST06202, YEAST00331	BRALA17425, BRALA17424
OG0000562	YEAST00314	BRALA15030, BRALA19937
OG0000563	YEAST01406	BRALA08933, BRALA08932, BRALA24155
OG0000566	YEAST05789, YEAST00049	BRALA07910, BRALA26624
OG0000573	YEAST05675	BRALA33118, BRALA35040, BRALA01402
OG0000576	YEAST00470, YEAST00193	BRALA00313, BRALA00312
OG0000578	YEAST01208, YEAST00759	BRALA30383
OG0000579	YEAST02484	BRALA34451
OG0000582	YEAST03615	BRALA24843
OG0000587	YEAST04063	BRALA05810
OG0000587	YEAST03372	BRALA15179
OG0000588	YEAST05197	BRALA00972, BRALA24520
OG0000590	YEAST05110, YEAST05552, YEAST03727	BRALA07082, BRALA16075, BRALA31942
OG0000592	YEAST00388	BRALA22980, BRALA12293, BRALA12292, BRALA25533
OG0000597	YEAST04330	BRALA07224, BRALA07985
OG0000609	YEAST05180	BRALA13529, BRALA13853, BRALA18964, BRALA18966, BRALA18965, BRALA13849, BRALA04542, BRALA05170, BRALA01190, BRALA05174
OG0000612	YEAST02370	BRALA24052, BRALA24582
OG0000612	YEAST03629	BRALA35398, BRALA20021
OG0000613	YEAST01072	BRALA12977, BRALA30072
OG0000623	YEAST02411	BRALA01906
OG0000623	YEAST05090	BRALA33185
OG0000627	YEAST02116, YEAST03957	BRALA29835
OG0000639	YEAST02015	BRALA16533, BRALA20016
OG0000642	YEAST00618	BRALA06680
OG0000645	YEAST05140	BRALA20003
OG0000645	YEAST04743	BRALA04294
OG0000647	YEAST04534	BRALA16420, BRALA19497, BRALA16419
OG0000648	YEAST04178, YEAST05641	BRALA03156, BRALA03157
OG0000657	YEAST03846	BRALA10474, BRALA04158
OG0000660	YEAST05150, YEAST01587	BRALA15697, BRALA10420
OG0000662	YEAST05937	BRALA23622, BRALA06276
OG0000663	YEAST02675, YEAST03294	BRALA17888, BRALA25579, BRALA03574
OG0000672	YEAST03771	BRALA06149
OG0000672	YEAST00984	BRALA24117
OG0000676	YEAST01503	BRALA13759
OG0000676	YEAST02962	BRALA25556
OG0000683	YEAST03152, YEAST03537, YEAST05938	BRALA33661, BRALA00898
OG0000690	YEAST02296	BRALA29358
OG0000692	YEAST01969	BRALA01186
OG0000692	YEAST03487	BRALA15055, BRALA07273, BRALA19399, BRALA17751, BRALA14654, BRALA12375, BRALA07885, BRALA05501, BRALA10172
OG0000694	YEAST05978	BRALA19978, BRALA13586, BRALA30136, BRALA03299, BRALA10162
OG0000699	YEAST05706	BRALA12181
OG0000701	YEAST02239, YEAST02223	BRALA21677
OG0000703	YEAST05314	BRALA03871, BRALA12311
OG0000708	YEAST05997	BRALA05296, BRALA10976
OG0000709	YEAST00057	BRALA10837
OG0000724	YEAST02013	BRALA28984, BRALA28985
OG0000732	YEAST04978	BRALA05974, BRALA01121
OG0000733	YEAST05474	BRALA13293, BRALA13301
OG0000735	YEAST05945	BRALA12877
OG0000737	YEAST05188	BRALA24490
OG0000744	YEAST05951	BRALA03822, BRALA06789, BRALA03324
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	BRALA27119, BRALA10823, BRALA06045
OG0000752	YEAST01432, YEAST04483	BRALA11552, BRALA28831, BRALA05171
OG0000753	YEAST01034, YEAST02037	BRALA27046, BRALA21594
OG0000757	YEAST01489	BRALA23257, BRALA35035, BRALA34310, BRALA34967, BRALA14460
OG0000758	YEAST01504	BRALA13715
OG0000759	YEAST02878, YEAST05681	BRALA30577, BRALA11347
OG0000765	YEAST05027, YEAST03009, YEAST01404	BRALA10305
OG0000768	YEAST02560, YEAST04269	BRALA25731
OG0000772	YEAST04929	BRALA03708, BRALA34004, BRALA16613, BRALA03331
OG0000776	YEAST04571, YEAST00195, YEAST00312	BRALA29299, BRALA14518, BRALA14519, BRALA14092, BRALA29300
OG0000777	YEAST06297, YEAST02627	BRALA06536
OG0000779	YEAST03812	BRALA02587, BRALA01807
OG0000782	YEAST01393, YEAST05616	BRALA18203
OG0000791	YEAST02375	BRALA14451
OG0000794	YEAST04627	BRALA27101, BRALA27102
OG0000809	YEAST01998	BRALA05348, BRALA05349
OG0000817	YEAST00389	BRALA00540, BRALA03663
OG0000817	YEAST06112	BRALA17018
OG0000824	YEAST01319, YEAST02883	BRALA12514
OG0000828	YEAST00945, YEAST05476, YEAST00075	BRALA13294, BRALA17812, BRALA04441
OG0000828	YEAST02290	BRALA31135, BRALA34346
OG0000837	YEAST06222	BRALA14733
OG0000841	YEAST02416	BRALA03274
OG0000847	YEAST02881, YEAST03544, YEAST06198	BRALA27576
OG0000847	YEAST02530, YEAST00209	BRALA19376
OG0000849	YEAST04475	BRALA35105, BRALA28673, BRALA24673
OG0000850	YEAST04287	BRALA22071, BRALA00654, BRALA25841
OG0000852	YEAST01266	BRALA26844, BRALA03113
OG0000854	YEAST00248	BRALA18605, BRALA04070, BRALA04062, BRALA05362, BRALA04082, BRALA04079, BRALA04080, BRALA04077, BRALA31873, BRALA04085, BRALA04078, BRALA04081, BRALA04086, BRALA32502, BRALA30946, BRALA02693, BRALA04072, BRALA24084, BRALA32243, BRALA02692, BRALA02694, BRALA32242, BRALA18948, BRALA04076
OG0000855	YEAST04755	BRALA11989, BRALA11988, BRALA11992
OG0000857	YEAST00309	BRALA08900
OG0000868	YEAST06157	BRALA19162, BRALA34175, BRALA35115, BRALA34740, BRALA09843
OG0000871	YEAST03857	BRALA08980, BRALA16416
OG0000872	YEAST03222, YEAST03741	BRALA02222
OG0000875	YEAST00077	BRALA10301, BRALA09033
OG0000876	YEAST05556	BRALA11284
OG0000879	YEAST06123	BRALA05982, BRALA20286, BRALA33717, BRALA33372, BRALA20287
OG0000888	YEAST00288	BRALA15051, BRALA24377
OG0000889	YEAST00175	BRALA25124, BRALA07192
OG0000894	YEAST03763	BRALA16945, BRALA06371
OG0000896	YEAST02476	BRALA17653
OG0000896	YEAST04923	BRALA22494
OG0000898	YEAST06255, YEAST03431	BRALA12928, BRALA12925, BRALA12927, BRALA12926, BRALA02810, BRALA02808, BRALA02809, BRALA02811, BRALA20259, BRALA20261, BRALA08306, BRALA07124, BRALA08956, BRALA08957, BRALA09009, BRALA12898, BRALA17164, BRALA06037, BRALA00253, BRALA22439, BRALA06598, BRALA22391, BRALA22392, BRALA05142
OG0000905	YEAST00599	BRALA02403, BRALA08911
OG0000907	YEAST02193	BRALA01339
OG0000913	YEAST03557, YEAST05101	BRALA19448
OG0000914	YEAST04745	BRALA20034
OG0000921	YEAST02526	BRALA09094, BRALA21805
OG0000925	YEAST05667, YEAST06025	BRALA25852, BRALA14244
OG0000932	YEAST03525	BRALA23597
OG0000933	YEAST06306	BRALA17396, BRALA17397
OG0000934	YEAST02582, YEAST06252	BRALA15692
OG0000934	YEAST05040	BRALA23860
OG0000935	YEAST02843	BRALA20990
