Orthogroup	PFLAV	AENJA_ok
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	AENJA_00531, AENJA_22262, AENJA_16411
OG0000002	TCONS_00048938.p1	AENJA_05471, AENJA_03252
OG0000003	TCONS_00043593.p1	AENJA_06624
OG0000003	TCONS_00012459.p1	AENJA_13805
OG0000003	TCONS_00050879.p2, TCONS_00050883.p1, TCONS_00012447.p1, TCONS_00012446.p1, TCONS_00012449.p1, TCONS_00007936.p1	AENJA_15435
OG0000003	TCONS_00031472.p1	AENJA_21338
OG0000003	TCONS_00013648.p1	AENJA_21667
OG0000004	TCONS_00045168.p1, TCONS_00046035.p1	AENJA_23066
OG0000004	TCONS_00046040.p1	AENJA_26802, AENJA_26808
OG0000004	TCONS_00030290.p1	AENJA_15703
OG0000004	TCONS_00028773.p1	AENJA_25009
OG0000004	TCONS_00039987.p1	AENJA_18812, AENJA_09022, AENJA_05320
OG0000004	TCONS_00020025.p1, TCONS_00020017.p1, TCONS_00001702.p1, TCONS_00000548.p1, TCONS_00001700.p1, TCONS_00000558.p1	AENJA_17546, AENJA_08909, AENJA_04874
OG0000005	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1	AENJA_17910, AENJA_16714, AENJA_24985
OG0000005	TCONS_00020907.p1	AENJA_12565
OG0000005	TCONS_00033021.p1	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989
OG0000005	TCONS_00000617.p1	AENJA_07538
OG0000005	TCONS_00001294.p1, TCONS_00050179.p1, TCONS_00050176.p1, TCONS_00050178.p1, TCONS_00051419.p1, TCONS_00051326.p1, TCONS_00040757.p1	AENJA_09524, AENJA_07535, AENJA_03459, AENJA_00744, AENJA_03458, AENJA_12049, AENJA_03583, AENJA_26129
OG0000005	TCONS_00028033.p1	AENJA_24820
OG0000005	TCONS_00038266.p1, TCONS_00012228.p1, TCONS_00038265.p1, TCONS_00040202.p1, TCONS_00038261.p1, TCONS_00038289.p1, TCONS_00038264.p1	AENJA_09577
OG0000006	TCONS_00023587.p1	AENJA_18239
OG0000006	TCONS_00048904.p1	AENJA_18510
OG0000006	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1	AENJA_22158
OG0000006	TCONS_00042787.p1	AENJA_13126
OG0000006	TCONS_00021207.p1	AENJA_02691
OG0000006	TCONS_00016646.p1	AENJA_20911
OG0000006	TCONS_00023551.p1	AENJA_07226
OG0000006	TCONS_00003496.p1	AENJA_22522
OG0000006	TCONS_00012810.p1	AENJA_09814
OG0000006	TCONS_00013984.p1, TCONS_00012809.p1	AENJA_09813
OG0000006	TCONS_00027932.p1	AENJA_00662
OG0000006	TCONS_00045950.p1	AENJA_07549
OG0000006	TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1	AENJA_15373
OG0000006	TCONS_00030792.p1	AENJA_18450
OG0000006	TCONS_00011489.p1	AENJA_01590
OG0000006	TCONS_00011491.p1	AENJA_09210
OG0000006	TCONS_00011052.p1	AENJA_15474
OG0000007	TCONS_00008966.p1	AENJA_18325
OG0000007	TCONS_00029574.p1	AENJA_18163
OG0000007	TCONS_00009611.p1	AENJA_00810
OG0000007	TCONS_00052518.p1	AENJA_25020
OG0000007	TCONS_00026068.p1	AENJA_23908
OG0000007	TCONS_00051149.p1	AENJA_19234
OG0000007	TCONS_00007744.p1	AENJA_06479, AENJA_16018
OG0000007	TCONS_00008967.p1	AENJA_18328
OG0000007	TCONS_00029831.p1	AENJA_07512
OG0000007	TCONS_00024115.p1	AENJA_11851
OG0000007	TCONS_00055417.p1	AENJA_09687
OG0000007	TCONS_00011336.p1	AENJA_07358
OG0000007	TCONS_00014249.p1	AENJA_11277
OG0000007	TCONS_00012754.p1	AENJA_22886
OG0000007	TCONS_00025375.p1	AENJA_20902
OG0000007	TCONS_00051989.p1	AENJA_16981
OG0000007	TCONS_00009689.p1	AENJA_26507
OG0000008	TCONS_00054315.p1	AENJA_26738
OG0000008	TCONS_00012951.p1	AENJA_01158
OG0000008	TCONS_00016727.p1, TCONS_00016728.p1, TCONS_00015622.p1, TCONS_00015620.p1, TCONS_00015621.p1	AENJA_21542
OG0000008	TCONS_00015623.p1	AENJA_21421, AENJA_04271
OG0000009	TCONS_00046982.p1	AENJA_04378
OG0000009	TCONS_00048729.p1	AENJA_20987, AENJA_03242, AENJA_20470, AENJA_24892
OG0000009	TCONS_00035089.p1	AENJA_10638
OG0000009	TCONS_00015545.p1, TCONS_00013954.p1	AENJA_00113, AENJA_11818
OG0000009	TCONS_00036795.p1	AENJA_13717, AENJA_06400
OG0000009	TCONS_00027666.p1	AENJA_22348, AENJA_01926
OG0000009	TCONS_00025851.p1, TCONS_00043074.p1, TCONS_00009542.p1	AENJA_09256, AENJA_15566
OG0000009	TCONS_00017424.p1, TCONS_00029219.p1, TCONS_00043312.p1, TCONS_00025216.p1	AENJA_12983
OG0000009	TCONS_00028883.p1, TCONS_00029472.p1	AENJA_12645
OG0000009	TCONS_00025230.p1, TCONS_00023849.p1, TCONS_00024354.p1	AENJA_26356, AENJA_04329
OG0000009	TCONS_00003938.p1, TCONS_00001483.p1	AENJA_26815, AENJA_17953
OG0000009	TCONS_00024219.p1, TCONS_00035162.p1	AENJA_06919, AENJA_24889
OG0000009	TCONS_00015854.p1, TCONS_00032573.p1, TCONS_00039462.p1, TCONS_00054445.p1	AENJA_13451
OG0000009	TCONS_00041833.p1, TCONS_00028866.p1, TCONS_00017705.p1	AENJA_24005, AENJA_00782
OG0000009	TCONS_00003937.p1, TCONS_00040217.p1, TCONS_00006910.p1, TCONS_00028935.p1, TCONS_00024506.p1, TCONS_00037020.p1	AENJA_09863, AENJA_04684, AENJA_26490, AENJA_11530
OG0000009	TCONS_00017823.p1, TCONS_00056063.p1	AENJA_22062
OG0000009	TCONS_00045896.p1	AENJA_04430, AENJA_13761, AENJA_01619, AENJA_12594, AENJA_08938
OG0000009	TCONS_00019627.p1	AENJA_12021
OG0000009	TCONS_00048728.p1	AENJA_00189
OG0000009	TCONS_00027717.p1	AENJA_22152
OG0000010	TCONS_00017958.p1	AENJA_20491
OG0000010	TCONS_00043350.p1, TCONS_00043340.p1, TCONS_00043354.p1, TCONS_00043343.p1	AENJA_16004, AENJA_09141
OG0000010	TCONS_00026035.p1, TCONS_00030635.p1	AENJA_04234
OG0000011	TCONS_00044809.p1, TCONS_00015385.p1	AENJA_16502
OG0000011	TCONS_00052331.p1	AENJA_01290
OG0000011	TCONS_00056711.p1	AENJA_03543
OG0000011	TCONS_00034080.p1	AENJA_24193
OG0000011	TCONS_00040546.p1	AENJA_17587
OG0000011	TCONS_00009419.p1, TCONS_00014539.p1	AENJA_06710
OG0000011	TCONS_00031358.p1	AENJA_08607, AENJA_10319
OG0000011	TCONS_00048667.p1, TCONS_00018952.p1	AENJA_18099
OG0000011	TCONS_00004504.p1, TCONS_00005682.p1	AENJA_19192
OG0000011	TCONS_00033759.p1	AENJA_20291, AENJA_06516, AENJA_22650
OG0000011	TCONS_00033581.p1	AENJA_14414
OG0000011	TCONS_00025195.p1, TCONS_00051327.p1	AENJA_17241, AENJA_22685, AENJA_26020
OG0000011	TCONS_00035599.p1	AENJA_21547
OG0000011	TCONS_00050721.p1	AENJA_23170
OG0000011	TCONS_00004502.p1	AENJA_13507
OG0000011	TCONS_00051583.p1, TCONS_00054546.p1, TCONS_00038556.p1, TCONS_00002579.p1	AENJA_24664
OG0000011	TCONS_00020984.p3, TCONS_00034049.p1	AENJA_01682
OG0000011	TCONS_00046669.p1	AENJA_22850
OG0000011	TCONS_00041434.p1, TCONS_00057000.p1	AENJA_26050
OG0000011	TCONS_00051843.p1, TCONS_00037958.p1	AENJA_12186
OG0000012	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014
OG0000012	TCONS_00040143.p1, TCONS_00041124.p1, TCONS_00040147.p2, TCONS_00035663.p1	AENJA_00771
OG0000012	TCONS_00040856.p1, TCONS_00040851.p1, TCONS_00040853.p1, TCONS_00040857.p1, TCONS_00039903.p1, TCONS_00039901.p1, TCONS_00039902.p1, TCONS_00039899.p1, TCONS_00040855.p1, TCONS_00040854.p1, TCONS_00039900.p1, TCONS_00039904.p1, TCONS_00040849.p1, TCONS_00040826.p1, TCONS_00039921.p1	AENJA_09696, AENJA_09697
OG0000012	TCONS_00039905.p1, TCONS_00032295.p1, TCONS_00032296.p1, TCONS_00032297.p1, TCONS_00032030.p1, TCONS_00040847.p1, TCONS_00040142.p1, TCONS_00041123.p1, TCONS_00041126.p1, TCONS_00040752.p1, TCONS_00041125.p1, TCONS_00040146.p1, TCONS_00041122.p1, TCONS_00041121.p1, TCONS_00040753.p1, TCONS_00039583.p1, TCONS_00033028.p1, TCONS_00033510.p1, TCONS_00039917.p1, TCONS_00039906.p1, TCONS_00040840.p1, TCONS_00040839.p1, TCONS_00039915.p1, TCONS_00040842.p1, TCONS_00040844.p1, TCONS_00039914.p1, TCONS_00040835.p1, TCONS_00039910.p1, TCONS_00039907.p1, TCONS_00040838.p1, TCONS_00039909.p1, TCONS_00040836.p1, TCONS_00040830.p1, TCONS_00040829.p1, TCONS_00049940.p1, TCONS_00054720.p1, TCONS_00040833.p1, TCONS_00039918.p1	AENJA_26327
OG0000012	TCONS_00041660.p1, TCONS_00041661.p1	AENJA_02869
OG0000013	TCONS_00017254.p1	AENJA_11516
OG0000013	TCONS_00030446.p1, TCONS_00030445.p1, TCONS_00021208.p1	AENJA_23415
OG0000014	TCONS_00027485.p1, TCONS_00027177.p1, TCONS_00026948.p1, TCONS_00026951.p1, TCONS_00026432.p1, TCONS_00026431.p1, TCONS_00011368.p1, TCONS_00011367.p1, TCONS_00019370.p1, TCONS_00055951.p1	AENJA_09518, AENJA_09012
OG0000014	TCONS_00000124.p1	AENJA_17358
OG0000014	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1	AENJA_25536
OG0000015	TCONS_00047525.p1	AENJA_18555, AENJA_02651, AENJA_19635
OG0000015	TCONS_00029137.p1, TCONS_00028127.p1	AENJA_25011
OG0000015	TCONS_00043861.p1	AENJA_19636
OG0000015	TCONS_00043863.p1	AENJA_18653
OG0000015	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1	AENJA_17614
OG0000015	TCONS_00055081.p1, TCONS_00043497.p1	AENJA_19630
OG0000015	TCONS_00028843.p1	AENJA_02597
OG0000016	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1	AENJA_04784
OG0000016	TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1	AENJA_04814, AENJA_14549
OG0000016	TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1	AENJA_07664
OG0000016	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1	AENJA_26671, AENJA_26677
OG0000016	TCONS_00022184.p1	AENJA_21813, AENJA_16651
OG0000016	TCONS_00003602.p1	AENJA_02781
OG0000016	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864
OG0000017	TCONS_00051588.p1	AENJA_08416, AENJA_23360
OG0000017	TCONS_00034438.p1, TCONS_00033112.p1	AENJA_14486, AENJA_04643
OG0000017	TCONS_00056547.p1, TCONS_00003153.p1, TCONS_00035681.p1	AENJA_05535, AENJA_05683, AENJA_04765, AENJA_17536, AENJA_11492
OG0000017	TCONS_00015500.p1, TCONS_00014886.p1, TCONS_00040430.p1, TCONS_00029800.p1, TCONS_00024558.p1	AENJA_19441, AENJA_07002, AENJA_08981
OG0000017	TCONS_00043073.p1	AENJA_05154
OG0000017	TCONS_00050389.p1, TCONS_00031952.p1, TCONS_00031929.p1	AENJA_12426, AENJA_00338
OG0000017	TCONS_00003294.p1, TCONS_00017646.p1, TCONS_00035188.p1	AENJA_05284, AENJA_20820, AENJA_23397
OG0000017	TCONS_00012374.p1	AENJA_19028
OG0000017	TCONS_00010804.p1, TCONS_00041803.p1	AENJA_20255, AENJA_12755, AENJA_11961, AENJA_18790, AENJA_13918, AENJA_10470, AENJA_03539, AENJA_15181
OG0000017	TCONS_00053694.p1	AENJA_00442
OG0000017	TCONS_00034099.p1, TCONS_00035359.p1, TCONS_00049944.p1, TCONS_00032138.p1, TCONS_00052165.p1	AENJA_07451
OG0000017	TCONS_00056182.p1	AENJA_22962
OG0000017	TCONS_00037236.p1	AENJA_21386
OG0000017	TCONS_00037011.p1	AENJA_13274
OG0000017	TCONS_00054246.p1	AENJA_08674, AENJA_21573
OG0000017	TCONS_00052167.p1	AENJA_13357
OG0000017	TCONS_00021399.p1, TCONS_00014887.p1	AENJA_11406
OG0000017	TCONS_00045938.p1, TCONS_00049973.p1	AENJA_06463
OG0000017	TCONS_00034588.p2, TCONS_00049861.p1	AENJA_04888, AENJA_03290
OG0000017	TCONS_00009025.p1, TCONS_00012231.p1, TCONS_00036792.p1, TCONS_00049753.p1	AENJA_05719, AENJA_19475, AENJA_19562, AENJA_23073, AENJA_21676, AENJA_10851, AENJA_14649
OG0000017	TCONS_00047331.p1	AENJA_07659, AENJA_14471
OG0000017	TCONS_00046187.p1	AENJA_24972
OG0000017	TCONS_00037010.p1	AENJA_16450
OG0000018	TCONS_00046017.p1	AENJA_26707
OG0000018	TCONS_00025610.p1	AENJA_02019, AENJA_10850, AENJA_17832, AENJA_06089, AENJA_04764, AENJA_25702, AENJA_25620, AENJA_26224, AENJA_03350
OG0000018	TCONS_00040443.p1	AENJA_18582
OG0000018	TCONS_00048003.p1, TCONS_00010166.p1	AENJA_00705, AENJA_05980, AENJA_21073
OG0000018	TCONS_00046113.p1	AENJA_24490, AENJA_10833
OG0000018	TCONS_00050340.p1, TCONS_00027744.p1	AENJA_00794
OG0000018	TCONS_00032664.p1	AENJA_03347
OG0000018	TCONS_00015755.p1	AENJA_20865
OG0000018	TCONS_00032947.p1, TCONS_00032969.p1, TCONS_00000391.p1, TCONS_00048935.p1, TCONS_00033860.p1	AENJA_10761, AENJA_12683
OG0000018	TCONS_00002126.p1, TCONS_00045766.p1, TCONS_00050663.p1	AENJA_07360
OG0000018	TCONS_00054542.p1, TCONS_00015986.p1, TCONS_00002662.p1, TCONS_00016420.p1	AENJA_25137
OG0000018	TCONS_00033069.p1, TCONS_00046063.p1, TCONS_00034452.p2, TCONS_00032574.p1, TCONS_00045936.p1	AENJA_18142
OG0000018	TCONS_00022055.p1	AENJA_19981
OG0000018	TCONS_00056724.p1, TCONS_00044128.p1, TCONS_00015747.p1, TCONS_00041407.p1, TCONS_00035049.p1, TCONS_00031144.p1	AENJA_14150
OG0000018	TCONS_00041625.p1, TCONS_00044910.p1, TCONS_00038805.p1, TCONS_00030540.p1, TCONS_00010862.p1, TCONS_00033771.p1, TCONS_00004553.p1, TCONS_00008715.p1, TCONS_00016618.p3, TCONS_00049850.p1, TCONS_00002610.p1, TCONS_00055180.p1, TCONS_00026726.p1, TCONS_00024721.p1, TCONS_00024488.p1, TCONS_00007886.p1, TCONS_00034740.p1, TCONS_00008316.p1, TCONS_00039716.p1	AENJA_12247
OG0000019	TCONS_00042378.p1	AENJA_19174, AENJA_03417, AENJA_02272, AENJA_02277
OG0000019	TCONS_00025657.p1, TCONS_00025658.p1, TCONS_00025659.p1	AENJA_02275, AENJA_02276, AENJA_10509, AENJA_19272
OG0000019	TCONS_00009265.p1, TCONS_00009269.p1, TCONS_00009271.p1, TCONS_00008241.p1	AENJA_16475
OG0000019	TCONS_00042363.p1	AENJA_11007, AENJA_11047, AENJA_17709
OG0000019	TCONS_00007955.p1	AENJA_24818
OG0000019	TCONS_00020293.p1, TCONS_00020282.p1	AENJA_20016
OG0000019	TCONS_00042480.p1	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338
OG0000020	TCONS_00042133.p1	AENJA_06180, AENJA_02090
OG0000020	TCONS_00055662.p1	AENJA_21688, AENJA_05309
OG0000020	TCONS_00041842.p1	AENJA_02593, AENJA_02596
OG0000020	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1	AENJA_15791
OG0000020	TCONS_00054537.p1	AENJA_12903
OG0000020	TCONS_00047850.p1	AENJA_09502
OG0000020	TCONS_00020870.p1	AENJA_16747
OG0000020	TCONS_00009371.p1	AENJA_14074
OG0000020	TCONS_00020242.p1	AENJA_08287
OG0000020	TCONS_00045845.p1	AENJA_18052
OG0000020	TCONS_00028429.p1	AENJA_23718
OG0000020	TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1	AENJA_02408
OG0000020	TCONS_00013032.p1	AENJA_17847
OG0000020	TCONS_00019497.p1	AENJA_15954
OG0000020	TCONS_00016378.p1	AENJA_16929
OG0000020	TCONS_00051401.p1	AENJA_10912
OG0000020	TCONS_00031077.p1	AENJA_11444
OG0000020	TCONS_00056690.p1	AENJA_07947
OG0000020	TCONS_00042754.p1	AENJA_14659
OG0000020	TCONS_00019367.p1	AENJA_12495
OG0000020	TCONS_00041844.p1	AENJA_25422
OG0000021	TCONS_00047235.p1, TCONS_00047455.p1	AENJA_21621, AENJA_21623
OG0000021	TCONS_00025493.p1	AENJA_26606, AENJA_10786
OG0000021	TCONS_00007765.p1	AENJA_16593
OG0000021	TCONS_00006555.p1	AENJA_24950
OG0000021	TCONS_00005068.p1, TCONS_00005066.p1	AENJA_19175
OG0000021	TCONS_00048529.p1, TCONS_00048461.p1, TCONS_00048530.p1, TCONS_00048462.p1, TCONS_00048631.p1, TCONS_00047352.p1, TCONS_00044070.p1, TCONS_00044077.p1	AENJA_25124
OG0000021	TCONS_00016243.p1	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227
OG0000021	TCONS_00044068.p1	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	TCONS_00026137.p1	AENJA_06341
OG0000023	TCONS_00004930.p1	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920
OG0000023	TCONS_00029827.p1	AENJA_26230
OG0000023	TCONS_00006339.p1, TCONS_00006341.p1	AENJA_07520, AENJA_17438
OG0000023	TCONS_00023484.p1, TCONS_00023448.p1, TCONS_00023486.p1, TCONS_00023450.p1, TCONS_00023451.p1, TCONS_00023489.p1, TCONS_00006187.p1, TCONS_00006188.p1, TCONS_00006190.p1	AENJA_19908
OG0000024	TCONS_00027765.p1	AENJA_16978, AENJA_19836, AENJA_22674, AENJA_01541, AENJA_03429, AENJA_07417, AENJA_16810
OG0000024	TCONS_00038533.p1	AENJA_26384
OG0000024	TCONS_00021650.p1	AENJA_23336, AENJA_21942, AENJA_20896, AENJA_05575, AENJA_18891
OG0000024	TCONS_00034182.p2, TCONS_00025224.p1	AENJA_18079, AENJA_19870, AENJA_09423
OG0000024	TCONS_00031312.p1	AENJA_18078
OG0000024	TCONS_00047142.p1	AENJA_14854
OG0000024	TCONS_00004499.p1	AENJA_02356
OG0000024	TCONS_00053773.p1, TCONS_00015293.p1	AENJA_04068
OG0000024	TCONS_00044135.p1	AENJA_18080
OG0000024	TCONS_00024402.p1, TCONS_00052142.p1	AENJA_24502, AENJA_10348
OG0000024	TCONS_00043577.p1, TCONS_00054855.p1, TCONS_00028368.p1, TCONS_00044844.p1	AENJA_18095, AENJA_12767
OG0000024	TCONS_00009651.p1, TCONS_00024337.p1	AENJA_02712
OG0000025	TCONS_00004530.p1	AENJA_26502
OG0000025	TCONS_00016476.p1, TCONS_00004608.p1	AENJA_21079
OG0000025	TCONS_00031481.p1, TCONS_00007104.p1, TCONS_00029375.p1, TCONS_00056090.p1, TCONS_00009489.p1, TCONS_00032646.p1, TCONS_00026371.p1	AENJA_14413
OG0000025	TCONS_00045036.p1	AENJA_05976
OG0000025	TCONS_00031703.p1, TCONS_00012858.p1, TCONS_00007266.p1, TCONS_00049623.p1, TCONS_00019473.p1, TCONS_00044920.p1, TCONS_00044570.p1, TCONS_00032176.p1, TCONS_00032902.p1, TCONS_00033001.p1, TCONS_00030113.p1, TCONS_00010596.p1, TCONS_00056440.p1, TCONS_00028828.p1, TCONS_00052217.p2, TCONS_00048535.p1, TCONS_00032079.p1	AENJA_09551
OG0000026	TCONS_00023710.p2, TCONS_00008676.p1, TCONS_00055402.p1, TCONS_00042664.p1, TCONS_00023054.p1, TCONS_00050387.p1	AENJA_22634, AENJA_08898, AENJA_15153, AENJA_22173
OG0000026	TCONS_00017322.p1	AENJA_21657
OG0000026	TCONS_00027263.p1, TCONS_00054188.p1	AENJA_12006, AENJA_16045, AENJA_18652, AENJA_16032, AENJA_17356, AENJA_20833, AENJA_17360, AENJA_18651
OG0000026	TCONS_00043670.p1	AENJA_10129
OG0000026	TCONS_00038740.p1, TCONS_00052092.p1	AENJA_04353, AENJA_08594, AENJA_10003
OG0000027	TCONS_00051548.p1, TCONS_00041508.p1	AENJA_24558, AENJA_14831, AENJA_19912
OG0000027	TCONS_00051661.p1	AENJA_18849
OG0000027	TCONS_00029543.p1, TCONS_00029536.p1, TCONS_00029538.p1, TCONS_00029541.p1, TCONS_00029535.p1, TCONS_00029534.p1, TCONS_00029762.p1, TCONS_00028479.p1	AENJA_09326, AENJA_19460, AENJA_19462
OG0000028	TCONS_00008790.p1	AENJA_01184
OG0000028	TCONS_00030328.p1, TCONS_00030338.p1, TCONS_00030608.p1, TCONS_00053821.p1, TCONS_00031464.p1, TCONS_00041062.p1	AENJA_02610, AENJA_09622
OG0000028	TCONS_00029701.p1, TCONS_00029704.p1, TCONS_00029474.p1, TCONS_00029475.p1	AENJA_02274
OG0000028	TCONS_00006156.p1, TCONS_00006138.p1	AENJA_15999
OG0000028	TCONS_00038444.p1, TCONS_00038402.p1	AENJA_25121
OG0000028	TCONS_00002058.p1, TCONS_00002059.p1, TCONS_00042376.p1, TCONS_00051030.p1	AENJA_19954
OG0000029	TCONS_00004006.p1	AENJA_10650
OG0000029	TCONS_00053078.p1	AENJA_26395
OG0000029	TCONS_00019159.p1	AENJA_05610
OG0000029	TCONS_00019133.p1, TCONS_00019127.p1, TCONS_00019135.p1, TCONS_00019138.p1, TCONS_00019136.p1, TCONS_00019137.p1, TCONS_00019126.p1, TCONS_00050506.p1, TCONS_00051607.p1	AENJA_05280
OG0000030	TCONS_00019673.p1	AENJA_17283
OG0000030	TCONS_00054176.p1, TCONS_00054136.p1	AENJA_24351, AENJA_12274
OG0000030	TCONS_00014295.p1, TCONS_00013116.p1	AENJA_21030
OG0000030	TCONS_00044665.p1, TCONS_00044667.p1, TCONS_00044691.p1, TCONS_00045784.p1	AENJA_05226
OG0000030	TCONS_00000713.p1	AENJA_02005, AENJA_02015
OG0000030	TCONS_00019506.p1, TCONS_00052333.p1, TCONS_00019514.p1	AENJA_09694
OG0000031	TCONS_00003900.p1	AENJA_09858
OG0000031	TCONS_00002937.p1	AENJA_20966
OG0000031	TCONS_00028162.p1	AENJA_08759
OG0000031	TCONS_00046710.p1, TCONS_00045709.p1	AENJA_10722
OG0000031	TCONS_00041599.p1	AENJA_05740
OG0000031	TCONS_00054588.p1	AENJA_14258, AENJA_15917, AENJA_14260
