Orthogroup	PFLAV	OWEFU
OG0000006	TCONS_00025031.p1, TCONS_00038043.p1	OFUSG11531.1.p1
OG0000006	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	TCONS_00042787.p1	OFUSG02905.1.p1
OG0000006	TCONS_00021207.p1	OFUSG14509.1.p1
OG0000006	TCONS_00016646.p1	OFUSG25514.1.p1
OG0000006	TCONS_00056934.p1	OFUSG03891.1.p1
OG0000006	TCONS_00021581.p1	OFUSG14428.1.p1
OG0000006	TCONS_00023551.p1	OFUSG07929.1.p1
OG0000006	TCONS_00003496.p1	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	TCONS_00012810.p1	OFUSG10782.1.p1
OG0000006	TCONS_00021507.p1	OFUSG14810.1.p1
OG0000006	TCONS_00027932.p1	OFUSG09474.1.p1, OFUSG09474.2.p1
OG0000006	TCONS_00027931.p1	OFUSG08660.1.p1
OG0000006	TCONS_00045950.p1	OFUSG21061.1.p1
OG0000006	TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1	OFUSG18090.1.p1
OG0000006	TCONS_00028953.p1	OFUSG08659.1.p1
OG0000006	TCONS_00030792.p1	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	TCONS_00011489.p1	OFUSG11740.1.p1
OG0000006	TCONS_00011491.p1	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	TCONS_00011052.p1	OFUSG11470.1.p1
OG0000006	TCONS_00019371.p1, TCONS_00048901.p1, TCONS_00048902.p1	OFUSG05485.1.p1
OG0000007	TCONS_00029574.p1	OFUSG09476.1.p1
OG0000007	TCONS_00009611.p1	OFUSG21527.1.p1
OG0000007	TCONS_00029143.p1	OFUSG09642.1.p1, OFUSG09693.1.p1
OG0000007	TCONS_00052518.p1	OFUSG13716.1.p1
OG0000007	TCONS_00051149.p1	OFUSG23682.1.p1
OG0000007	TCONS_00007744.p1	OFUSG04867.2.p1, OFUSG04867.1.p1
OG0000007	TCONS_00008968.p1	OFUSG23111.1.p1
OG0000007	TCONS_00008967.p1	OFUSG04768.1.p1
OG0000007	TCONS_00029831.p1	OFUSG09682.1.p1, OFUSG09683.1.p1
OG0000007	TCONS_00029830.p1	OFUSG19661.1.p1
OG0000007	TCONS_00024115.p1	OFUSG08948.1.p1
OG0000007	TCONS_00055417.p1	OFUSG25429.1.p1
OG0000007	TCONS_00011336.p1	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	TCONS_00012754.p1	OFUSG10613.1.p1
OG0000007	TCONS_00051989.p1	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	TCONS_00009689.p1	OFUSG25241.1.p1
OG0000008	TCONS_00054315.p1	OFUSG01560.1.p1
OG0000008	TCONS_00043149.p1, TCONS_00043478.p1	OFUSG25732.1.p1
OG0000008	TCONS_00012951.p1	OFUSG15533.1.p1
OG0000008	TCONS_00016587.p1, TCONS_00005048.p1	OFUSG20435.1.p1
OG0000009	TCONS_00035089.p1	OFUSG23060.1.p1
OG0000010	TCONS_00031213.p1, TCONS_00031190.p1	OFUSG09248.1.p1
OG0000010	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1
OG0000010	TCONS_00026035.p1, TCONS_00030635.p1	OFUSG10415.1.p1, OFUSG10415.2.p1
OG0000012	TCONS_00004701.p1	OFUSG23981.1.p1, OFUSG23977.1.p1, OFUSG23979.1.p1, OFUSG23978.1.p1
OG0000012	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	TCONS_00041660.p1, TCONS_00041661.p1	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000012	TCONS_00014468.p1	OFUSG04462.1.p1, OFUSG04460.1.p1, OFUSG22117.1.p1
OG0000012	TCONS_00032294.p1, TCONS_00039916.p1	OFUSG13750.1.p1, OFUSG26096.1.p1
OG0000013	TCONS_00023863.p1	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1
OG0000013	TCONS_00030446.p1, TCONS_00030445.p1, TCONS_00021208.p1	OFUSG11222.1.p1, OFUSG06042.1.p1, OFUSG00249.1.p1, OFUSG06180.1.p1, OFUSG08166.1.p1, OFUSG15690.1.p1, OFUSG15877.1.p1, OFUSG07440.1.p1, OFUSG04377.1.p1, OFUSG04674.1.p1, OFUSG09984.1.p1, OFUSG22598.1.p1, OFUSG22594.1.p1, OFUSG22593.1.p1, OFUSG22595.1.p1, OFUSG22599.1.p1, OFUSG22597.1.p1, OFUSG22596.1.p1
OG0000014	TCONS_00027485.p1, TCONS_00027177.p1, TCONS_00026948.p1, TCONS_00026951.p1, TCONS_00026432.p1, TCONS_00026431.p1, TCONS_00011368.p1, TCONS_00011367.p1, TCONS_00019370.p1, TCONS_00055951.p1, TCONS_00018745.p1, TCONS_00016636.p1, TCONS_00018744.p1, TCONS_00000124.p1, TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1, TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
OG0000014	TCONS_00000867.p1	OFUSG01558.1.p1
OG0000014	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1	OFUSG00805.1.p1
OG0000015	TCONS_00008348.p1	OFUSG02249.1.p1
OG0000015	TCONS_00047525.p1	OFUSG16912.1.p1
OG0000015	TCONS_00043495.p1	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1
OG0000015	TCONS_00042561.p1, TCONS_00043863.p1	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1
OG0000015	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1
OG0000015	TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1	OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1
OG0000015	TCONS_00028843.p1	OFUSG21186.1.p1
OG0000016	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1	OFUSG16773.1.p1
OG0000016	TCONS_00012620.p1, TCONS_00013829.p1	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1
OG0000016	TCONS_00022184.p1	OFUSG13895.1.p1
OG0000016	TCONS_00003602.p1	OFUSG11848.1.p1
OG0000016	TCONS_00048341.p1	OFUSG06227.1.p1
OG0000016	TCONS_00020809.p1, TCONS_00049735.p1, TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1	OFUSG14920.1.p1, OFUSG23914.1.p1
OG0000018	TCONS_00046017.p1, TCONS_00025610.p1, TCONS_00028359.p1	OFUSG02956.1.p1
OG0000018	TCONS_00023315.p1, TCONS_00041625.p1, TCONS_00044910.p1, TCONS_00038805.p1, TCONS_00030540.p1, TCONS_00010862.p1, TCONS_00033771.p1, TCONS_00004553.p1, TCONS_00008715.p1, TCONS_00016618.p3, TCONS_00049850.p1, TCONS_00002610.p1, TCONS_00055180.p1, TCONS_00026726.p1, TCONS_00024721.p1, TCONS_00024488.p1, TCONS_00007886.p1, TCONS_00034740.p1, TCONS_00008316.p1, TCONS_00039716.p1	OFUSG14111.1.p3
OG0000019	TCONS_00042378.p1	OFUSG14039.1.p1, OFUSG23776.1.p1
OG0000019	TCONS_00025657.p1, TCONS_00025658.p1, TCONS_00025659.p1, TCONS_00028088.p1, TCONS_00029505.p1, TCONS_00028039.p1, TCONS_00028037.p1, TCONS_00028042.p1, TCONS_00028040.p1, TCONS_00028035.p1, TCONS_00029509.p1, TCONS_00014266.p1, TCONS_00027859.p1	OFUSG08823.1.p1
OG0000019	TCONS_00028459.p1, TCONS_00028453.p1, TCONS_00028457.p1, TCONS_00028458.p1, TCONS_00028452.p1, TCONS_00028462.p1, TCONS_00028460.p1, TCONS_00028461.p1, TCONS_00029609.p1	OFUSG23567.1.p1, OFUSG09103.1.p1
OG0000019	TCONS_00007298.p1, TCONS_00007301.p1, TCONS_00016343.p1, TCONS_00053172.p1, TCONS_00050837.p1, TCONS_00056903.p1, TCONS_00053134.p1, TCONS_00017582.p1, TCONS_00048059.p1	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1
OG0000019	TCONS_00047760.p1	OFUSG20813.1.p1, OFUSG20814.1.p1, OFUSG18686.1.p1
OG0000019	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1
OG0000019	TCONS_00042480.p1	OFUSG19407.1.p1, OFUSG06826.1.p1
OG0000020	TCONS_00042133.p1	OFUSG13197.1.p1
OG0000020	TCONS_00055662.p1	OFUSG19131.1.p1
OG0000020	TCONS_00020870.p1, TCONS_00009371.p1, TCONS_00020242.p1, TCONS_00045845.p1, TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1	OFUSG13406.1.p1
OG0000020	TCONS_00019497.p1	OFUSG14744.1.p1
OG0000020	TCONS_00020535.p1	OFUSG12274.1.p1, OFUSG12274.2.p1
OG0000021	TCONS_00048454.p1	OFUSG19367.2.p1, OFUSG19367.1.p1
OG0000021	TCONS_00007765.p1	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1
OG0000021	TCONS_00006555.p1	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1
OG0000021	TCONS_00047524.p1	OFUSG13532.1.p1, OFUSG13532.2.p1
OG0000021	TCONS_00048529.p1, TCONS_00048461.p1, TCONS_00048530.p1, TCONS_00048462.p1, TCONS_00048631.p1, TCONS_00047352.p1, TCONS_00044070.p1, TCONS_00044077.p1	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1
OG0000021	TCONS_00016243.p1	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000021	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1
OG0000023	TCONS_00026137.p1	OFUSG06069.1.p1
OG0000023	TCONS_00004930.p1	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	TCONS_00029827.p1, TCONS_00006339.p1, TCONS_00006341.p1, TCONS_00023484.p1, TCONS_00023448.p1, TCONS_00023486.p1, TCONS_00023450.p1, TCONS_00023451.p1, TCONS_00023489.p1, TCONS_00006187.p1, TCONS_00006188.p1, TCONS_00006190.p1	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000026	TCONS_00003307.p1, TCONS_00043299.p1	OFUSG07096.1.p1, OFUSG14450.1.p1, OFUSG11988.1.p1, OFUSG07552.1.p1, OFUSG06751.1.p1, OFUSG08116.1.p1, OFUSG06159.1.p1, OFUSG25623.1.p1
OG0000026	TCONS_00005841.p2	OFUSG11075.1.p1, OFUSG12487.1.p1
OG0000026	TCONS_00052076.p1	OFUSG24598.1.p1
OG0000026	TCONS_00017322.p1	OFUSG26427.1.p1
OG0000026	TCONS_00027263.p1, TCONS_00054188.p1	OFUSG00817.1.p1
OG0000026	TCONS_00006376.p1, TCONS_00020194.p1	OFUSG25446.1.p1
OG0000026	TCONS_00034547.p1, TCONS_00040975.p1	OFUSG06547.2.p1, OFUSG06547.1.p1
OG0000026	TCONS_00043670.p1	OFUSG24229.1.p1
OG0000027	TCONS_00037910.p1, TCONS_00000070.p1, TCONS_00041506.p1, TCONS_00037953.p1, TCONS_00037911.p1, TCONS_00037954.p1, TCONS_00037955.p1, TCONS_00041505.p1, TCONS_00037956.p1, TCONS_00051662.p1, TCONS_00051534.p1, TCONS_00051531.p1, TCONS_00051545.p1, TCONS_00051542.p1, TCONS_00051540.p1, TCONS_00050429.p1, TCONS_00051539.p1, TCONS_00051538.p1, TCONS_00051546.p1, TCONS_00051544.p1, TCONS_00051543.p1, TCONS_00051530.p1, TCONS_00051529.p1, TCONS_00051660.p1, TCONS_00051659.p1, TCONS_00051657.p1, TCONS_00051550.p1, TCONS_00018215.p1, TCONS_00050742.p1, TCONS_00050164.p1, TCONS_00050163.p1, TCONS_00050166.p1, TCONS_00050169.p1, TCONS_00050160.p1, TCONS_00050162.p1, TCONS_00050173.p1, TCONS_00050168.p1	OFUSG07714.1.p1, OFUSG07714.2.p1, OFUSG21523.1.p1, OFUSG02454.1.p1, OFUSG18692.1.p1, OFUSG08461.1.p1, OFUSG07492.1.p1, OFUSG07492.3.p1, OFUSG07492.2.p1, OFUSG21969.1.p1, OFUSG21968.1.p1, OFUSG13255.1.p1
OG0000027	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1	OFUSG21901.2.p1, OFUSG21901.1.p1
OG0000028	TCONS_00008790.p1	OFUSG21057.1.p1, OFUSG21057.2.p1
OG0000028	TCONS_00030328.p1, TCONS_00030338.p1, TCONS_00030608.p1, TCONS_00053821.p1, TCONS_00031464.p1, TCONS_00041062.p1	OFUSG05527.1.p1, OFUSG03389.1.p1
OG0000028	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1, TCONS_00029701.p1, TCONS_00029704.p1, TCONS_00029474.p1, TCONS_00029475.p1	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
OG0000028	TCONS_00029777.p1, TCONS_00029776.p1	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1
OG0000028	TCONS_00002058.p1, TCONS_00002059.p1, TCONS_00042376.p1, TCONS_00051030.p1	OFUSG16442.1.p1, OFUSG16442.2.p1
OG0000028	TCONS_00029577.p1, TCONS_00029851.p1, TCONS_00028862.p1	OFUSG12432.2.p1, OFUSG12432.1.p1, OFUSG25286.1.p1, OFUSG11555.1.p1
OG0000029	TCONS_00004006.p1	OFUSG25151.1.p1, OFUSG10698.1.p1
OG0000029	TCONS_00053078.p1	OFUSG21155.1.p1
OG0000029	TCONS_00020525.p1	OFUSG16858.1.p1
OG0000029	TCONS_00019133.p1, TCONS_00019127.p1, TCONS_00019135.p1, TCONS_00019138.p1, TCONS_00019136.p1, TCONS_00019137.p1, TCONS_00019126.p1, TCONS_00050506.p1, TCONS_00051607.p1	OFUSG15790.1.p1, OFUSG00743.1.p1, OFUSG20635.1.p1, OFUSG20634.1.p1, OFUSG14781.1.p1, OFUSG14779.1.p1, OFUSG14780.1.p1, OFUSG14783.1.p1, OFUSG20636.1.p1, OFUSG20271.1.p1, OFUSG26756.1.p1, OFUSG04638.1.p1, OFUSG03243.1.p1, OFUSG11383.1.p1, OFUSG19505.1.p1, OFUSG16898.2.p1, OFUSG16898.1.p1
OG0000030	TCONS_00022258.p1, TCONS_00022256.p1, TCONS_00021153.p1, TCONS_00022346.p1, TCONS_00021156.p1, TCONS_00021155.p1, TCONS_00022226.p1, TCONS_00019519.p1, TCONS_00020559.p1, TCONS_00019429.p1, TCONS_00019523.p1, TCONS_00020417.p1, TCONS_00020557.p1	OFUSG16141.1.p1, OFUSG16142.2.p1, OFUSG16142.1.p1
OG0000030	TCONS_00020726.p1, TCONS_00020728.p1, TCONS_00020088.p1	OFUSG07789.1.p1, OFUSG07787.1.p1
OG0000030	TCONS_00019673.p1	OFUSG04213.1.p1
OG0000030	TCONS_00054176.p1, TCONS_00054136.p1	OFUSG21119.1.p1
OG0000030	TCONS_00014295.p1, TCONS_00013116.p1	OFUSG17928.1.p1
OG0000030	TCONS_00008414.p1	OFUSG17612.1.p1
OG0000030	TCONS_00006375.p1, TCONS_00014700.p1, TCONS_00005306.p1, TCONS_00006227.p1, TCONS_00006230.p1, TCONS_00006229.p1	OFUSG26562.1.p1, OFUSG14908.1.p1, OFUSG24122.1.p1, OFUSG13621.1.p1, OFUSG26418.1.p1, OFUSG03647.1.p1, OFUSG12449.1.p1, OFUSG03648.1.p1, OFUSG03242.1.p1
OG0000030	TCONS_00021382.p1	OFUSG14128.1.p1, OFUSG14128.2.p1
OG0000030	TCONS_00042392.p1	OFUSG15638.1.p1, OFUSG15630.1.p1, OFUSG05089.1.p1, OFUSG05089.2.p1
OG0000031	TCONS_00032922.p1	OFUSG02441.1.p1
OG0000031	TCONS_00047108.p1, TCONS_00005437.p1	OFUSG03747.1.p1, OFUSG01964.1.p1
OG0000031	TCONS_00003900.p1	OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	TCONS_00002937.p1	OFUSG03938.1.p1
OG0000031	TCONS_00028162.p1	OFUSG09754.1.p1
OG0000031	TCONS_00046710.p1, TCONS_00045709.p1	OFUSG12627.1.p1
OG0000031	TCONS_00041599.p1	OFUSG02210.1.p1
OG0000031	TCONS_00054588.p1	OFUSG17671.1.p1
OG0000031	TCONS_00003964.p1	OFUSG16797.1.p1
OG0000032	TCONS_00018159.p1	OFUSG07861.1.p1
