Orthogroup	PFLAV	BRALA
OG0000001	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1	BRALA19588, BRALA19586
OG0000002	TCONS_00010137.p1	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586
OG0000002	TCONS_00009919.p1	BRALA28279, BRALA02635, BRALA12500
OG0000002	TCONS_00008473.p1, TCONS_00020039.p1	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	BRALA10501, BRALA20754
OG0000002	TCONS_00048938.p1	BRALA27121
OG0000003	TCONS_00029636.p1, TCONS_00031471.p1	BRALA03419
OG0000003	TCONS_00053405.p1	BRALA27165
OG0000003	TCONS_00050879.p2, TCONS_00050883.p1, TCONS_00012447.p1, TCONS_00012446.p1, TCONS_00012449.p1, TCONS_00007936.p1	BRALA07140
OG0000003	TCONS_00043525.p1	BRALA25224
OG0000003	TCONS_00031472.p1	BRALA30232, BRALA07610
OG0000003	TCONS_00057090.p1	BRALA02710
OG0000003	TCONS_00005704.p1	BRALA31768, BRALA11276
OG0000003	TCONS_00046526.p1	BRALA02712, BRALA07571
OG0000003	TCONS_00019216.p1	BRALA01314
OG0000004	TCONS_00030290.p1	BRALA27667
OG0000004	TCONS_00005466.p1, TCONS_00006578.p1	BRALA12395
OG0000004	TCONS_00028773.p1	BRALA08526
OG0000004	TCONS_00039987.p1	BRALA02003, BRALA02015
OG0000005	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416
OG0000005	TCONS_00020907.p1	BRALA25414, BRALA34368
OG0000005	TCONS_00033021.p1	BRALA00382
OG0000005	TCONS_00000145.p1, TCONS_00000206.p1, TCONS_00000207.p1, TCONS_00033023.p1, TCONS_00000205.p1, TCONS_00030166.p1, TCONS_00001299.p1, TCONS_00000147.p1, TCONS_00000148.p1, TCONS_00000146.p1, TCONS_00001300.p1, TCONS_00001301.p1, TCONS_00001373.p1, TCONS_00001651.p1, TCONS_00001649.p1, TCONS_00002069.p1, TCONS_00001653.p1, TCONS_00001650.p1, TCONS_00000614.p1, TCONS_00000615.p1, TCONS_00000478.p1, TCONS_00000616.p1, TCONS_00000763.p1, TCONS_00000762.p1, TCONS_00016309.p1, TCONS_00016308.p1, TCONS_00016304.p1, TCONS_00016313.p1, TCONS_00016314.p1, TCONS_00016315.p1, TCONS_00016303.p1, TCONS_00016305.p1, TCONS_00016301.p1, TCONS_00016293.p1, TCONS_00004018.p1	BRALA07928, BRALA04490, BRALA04489, BRALA08015, BRALA08013, BRALA16467, BRALA16464, BRALA31590, BRALA24865, BRALA24860, BRALA24861, BRALA00380, BRALA26703, BRALA00381
OG0000005	TCONS_00028033.p1	BRALA15288
OG0000005	TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1	BRALA15287
OG0000006	TCONS_00016792.p1, TCONS_00023587.p1	BRALA03676
OG0000006	TCONS_00038043.p1	BRALA27911
OG0000006	TCONS_00023170.p1, TCONS_00025030.p1	BRALA07705
OG0000006	TCONS_00048904.p1	BRALA17590
OG0000006	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1	BRALA06686
OG0000006	TCONS_00042787.p1	BRALA19242
OG0000006	TCONS_00021207.p1	BRALA06109
OG0000006	TCONS_00021581.p1	BRALA23800
OG0000006	TCONS_00023551.p1	BRALA07568, BRALA29276
OG0000006	TCONS_00003496.p1	BRALA22280
OG0000006	TCONS_00012810.p1	BRALA06185
OG0000006	TCONS_00013984.p1	BRALA06182
OG0000006	TCONS_00012809.p1	BRALA06186
OG0000006	TCONS_00021507.p1	BRALA24212
OG0000006	TCONS_00027932.p1	BRALA17603
OG0000006	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1	BRALA03602
OG0000006	TCONS_00028953.p1	BRALA17591
OG0000006	TCONS_00030792.p1	BRALA24372
OG0000006	TCONS_00029994.p1	BRALA34187
OG0000006	TCONS_00011489.p1	BRALA24993
OG0000006	TCONS_00011491.p1	BRALA24994
OG0000006	TCONS_00011052.p1	BRALA22628
OG0000007	TCONS_00008966.p1	BRALA03259
OG0000007	TCONS_00029574.p1	BRALA13447, BRALA13448
OG0000007	TCONS_00009611.p1	BRALA20872, BRALA20870
OG0000007	TCONS_00029143.p1	BRALA09541
OG0000007	TCONS_00052512.p1	BRALA01304
OG0000007	TCONS_00026068.p1	BRALA31416
OG0000007	TCONS_00051149.p1	BRALA11149
OG0000007	TCONS_00007744.p1	BRALA20579
OG0000007	TCONS_00008968.p1	BRALA03286
OG0000007	TCONS_00008967.p1	BRALA03282
OG0000007	TCONS_00029831.p1	BRALA08350
OG0000007	TCONS_00053632.p1	BRALA09316
OG0000007	TCONS_00024115.p1	BRALA25787
OG0000007	TCONS_00055417.p1	BRALA26097, BRALA14947
OG0000007	TCONS_00011336.p1	BRALA22487
OG0000007	TCONS_00014249.p1	BRALA06491
OG0000007	TCONS_00012754.p1	BRALA18647
OG0000007	TCONS_00025375.p1	BRALA23348
OG0000007	TCONS_00051989.p1	BRALA05625
OG0000007	TCONS_00009689.p1	BRALA30788
OG0000008	TCONS_00054315.p1	BRALA16035, BRALA05591
OG0000008	TCONS_00012951.p1	BRALA10079, BRALA21454
OG0000008	TCONS_00013698.p1, TCONS_00013443.p1, TCONS_00013444.p1, TCONS_00013445.p1	BRALA15422, BRALA15425
OG0000008	TCONS_00054551.p1, TCONS_00054547.p1, TCONS_00052874.p1	BRALA26171, BRALA33769, BRALA26174, BRALA26137, BRALA30164, BRALA05954
OG0000008	TCONS_00015623.p1	BRALA09673, BRALA27036, BRALA26942
OG0000009	TCONS_00025442.p1	BRALA33044, BRALA32203, BRALA32983
OG0000009	TCONS_00025851.p1, TCONS_00043074.p1, TCONS_00009542.p1	BRALA34913
OG0000009	TCONS_00017424.p1, TCONS_00029219.p1, TCONS_00043312.p1, TCONS_00025216.p1, TCONS_00028883.p1, TCONS_00029472.p1, TCONS_00025230.p1, TCONS_00023849.p1, TCONS_00024354.p1	BRALA26278, BRALA32982
OG0000009	TCONS_00003938.p1, TCONS_00001483.p1	BRALA26344, BRALA34657
OG0000009	TCONS_00015854.p1, TCONS_00032573.p1, TCONS_00039462.p1, TCONS_00054445.p1	BRALA24601
OG0000009	TCONS_00018133.p1, TCONS_00001741.p1, TCONS_00002573.p1	BRALA26896, BRALA05198, BRALA23884, BRALA31944
OG0000009	TCONS_00040680.p1	BRALA33043, BRALA22992, BRALA30025
OG0000009	TCONS_00035789.p1	BRALA24985
OG0000009	TCONS_00037803.p1, TCONS_00017368.p1, TCONS_00033541.p1	BRALA12697, BRALA27847
OG0000009	TCONS_00019627.p1	BRALA32265, BRALA29866, BRALA26277, BRALA33071, BRALA32981, BRALA30024, BRALA26298, BRALA26297, BRALA06338
OG0000010	TCONS_00031213.p1, TCONS_00031190.p1	BRALA24210, BRALA03886
OG0000010	TCONS_00031454.p1	BRALA02432
OG0000010	TCONS_00017962.p1, TCONS_00017965.p1, TCONS_00017966.p1, TCONS_00017964.p1	BRALA03920, BRALA03888, BRALA03922
OG0000010	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1	BRALA01026, BRALA09806
OG0000010	TCONS_00026035.p1, TCONS_00030635.p1	BRALA23978, BRALA26010, BRALA26008, BRALA26958, BRALA23969
OG0000011	TCONS_00051572.p1, TCONS_00011227.p1, TCONS_00012236.p1, TCONS_00041037.p1, TCONS_00038189.p1, TCONS_00049052.p1, TCONS_00049053.p1, TCONS_00019184.p1, TCONS_00045521.p1, TCONS_00024547.p1, TCONS_00052331.p1	BRALA06520, BRALA31196
OG0000011	TCONS_00034059.p1	BRALA14401, BRALA26140, BRALA10514, BRALA15580, BRALA11289, BRALA08054, BRALA04532, BRALA22147
OG0000011	TCONS_00032223.p1	BRALA34302
OG0000011	TCONS_00056711.p1, TCONS_00034080.p1	BRALA26291
OG0000011	TCONS_00009419.p1, TCONS_00014539.p1, TCONS_00000740.p1, TCONS_00007035.p1, TCONS_00045098.p1, TCONS_00053162.p1, TCONS_00043285.p1, TCONS_00018762.p1, TCONS_00045929.p1, TCONS_00033750.p2, TCONS_00018956.p1	BRALA22896, BRALA17910
OG0000011	TCONS_00031358.p1	BRALA24606, BRALA21132, BRALA19164, BRALA01848, BRALA33125, BRALA17676, BRALA20767, BRALA04035, BRALA23557, BRALA32799, BRALA32249
OG0000011	TCONS_00034929.p1, TCONS_00004504.p1, TCONS_00005682.p1, TCONS_00015386.p1, TCONS_00033759.p1, TCONS_00033581.p1	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037
OG0000011	TCONS_00025195.p1, TCONS_00051327.p1	BRALA06517, BRALA01847, BRALA32798
OG0000011	TCONS_00029680.p1, TCONS_00036298.p1	BRALA04980
OG0000011	TCONS_00041434.p1, TCONS_00057000.p1	BRALA13222
OG0000011	TCONS_00031655.p1, TCONS_00002470.p1	BRALA17612
OG0000012	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215
OG0000012	TCONS_00003238.p1	BRALA00546
OG0000012	TCONS_00041660.p1, TCONS_00041661.p1	BRALA22947
OG0000012	TCONS_00040837.p1, TCONS_00040834.p1, TCONS_00039913.p1	BRALA08457
OG0000013	TCONS_00023863.p1	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631
OG0000013	TCONS_00030446.p1, TCONS_00030445.p1, TCONS_00021208.p1	BRALA20932
OG0000014	TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1	BRALA14079
OG0000014	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1	BRALA28626, BRALA28625, BRALA28624
OG0000014	TCONS_00018576.p1, TCONS_00018574.p1, TCONS_00018581.p1, TCONS_00000312.p1, TCONS_00001858.p1, TCONS_00017715.p1, TCONS_00017563.p1, TCONS_00017559.p1, TCONS_00017555.p1, TCONS_00017562.p1, TCONS_00017557.p1, TCONS_00018572.p1, TCONS_00017567.p1, TCONS_00017565.p1, TCONS_00017560.p1, TCONS_00017553.p1, TCONS_00017554.p1, TCONS_00018563.p1, TCONS_00017039.p1, TCONS_00017041.p1, TCONS_00017038.p1, TCONS_00016927.p1, TCONS_00053337.p1, TCONS_00054007.p1, TCONS_00017566.p1, TCONS_00017552.p1, TCONS_00017551.p1	BRALA15621, BRALA12274
OG0000015	TCONS_00047525.p1	BRALA21863
OG0000015	TCONS_00043861.p1	BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858, BRALA21865, BRALA07699, BRALA22448
OG0000015	TCONS_00042561.p1, TCONS_00043863.p1	BRALA22447
OG0000015	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1	BRALA18748, BRALA15755
OG0000015	TCONS_00055081.p1, TCONS_00043497.p1	BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048
OG0000015	TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1	BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438
OG0000016	TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1	BRALA00485
OG0000016	TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1	BRALA09688
OG0000016	TCONS_00022184.p1	BRALA21418, BRALA29534, BRALA13585
OG0000016	TCONS_00020809.p1	BRALA33945, BRALA35656, BRALA16777, BRALA04807, BRALA04808
OG0000016	TCONS_00049735.p1	BRALA09686
OG0000016	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1	BRALA22170
OG0000017	TCONS_00056547.p1, TCONS_00003153.p1, TCONS_00035681.p1	BRALA05160
OG0000017	TCONS_00034099.p1, TCONS_00035359.p1, TCONS_00049944.p1, TCONS_00032138.p1, TCONS_00052165.p1	BRALA05159, BRALA12730
OG0000017	TCONS_00033993.p1, TCONS_00018502.p1, TCONS_00049942.p1	BRALA24981, BRALA28546, BRALA31994
OG0000017	TCONS_00032137.p1	BRALA23160, BRALA12731
OG0000018	TCONS_00028359.p1	BRALA26433
OG0000018	TCONS_00053509.p1, TCONS_00048003.p1, TCONS_00010166.p1, TCONS_00018552.p2, TCONS_00050690.p1, TCONS_00001438.p1, TCONS_00031143.p1, TCONS_00046113.p1, TCONS_00036832.p1, TCONS_00044138.p1	BRALA25938, BRALA02443, BRALA07959, BRALA03388, BRALA27096, BRALA25561
OG0000018	TCONS_00047112.p1, TCONS_00028606.p1, TCONS_00017314.p1, TCONS_00011090.p1, TCONS_00033644.p1, TCONS_00023034.p1, TCONS_00056446.p1	BRALA31854, BRALA31809, BRALA33250, BRALA16195
OG0000018	TCONS_00031056.p1, TCONS_00001449.p1, TCONS_00001450.p1, TCONS_00037298.p1	BRALA13704, BRALA27948, BRALA23173, BRALA12914
OG0000018	TCONS_00024927.p2, TCONS_00009066.p2, TCONS_00023275.p1	BRALA25800, BRALA23152, BRALA29804, BRALA18094
OG0000018	TCONS_00015755.p1	BRALA32899, BRALA10376, BRALA33972, BRALA06055, BRALA32913, BRALA27818, BRALA31950, BRALA27816
OG0000018	TCONS_00032947.p1, TCONS_00032969.p1, TCONS_00000391.p1, TCONS_00048935.p1, TCONS_00033860.p1	BRALA27952, BRALA31952
OG0000018	TCONS_00002126.p1, TCONS_00045766.p1, TCONS_00050663.p1, TCONS_00014702.p2, TCONS_00054542.p1, TCONS_00015986.p1, TCONS_00002662.p1, TCONS_00016420.p1, TCONS_00034742.p1	BRALA27097
OG0000018	TCONS_00025800.p1, TCONS_00020519.p1	BRALA17258, BRALA32989
OG0000018	TCONS_00031825.p1	BRALA32688, BRALA07025, BRALA20941, BRALA31799
OG0000018	TCONS_00055180.p1	BRALA29803
OG0000018	TCONS_00026726.p1	BRALA00712
OG0000018	TCONS_00037698.p1, TCONS_00033891.p1, TCONS_00031409.p1, TCONS_00051415.p1, TCONS_00030438.p1	BRALA26026
OG0000018	TCONS_00045433.p1, TCONS_00018885.p1, TCONS_00030533.p1	BRALA21060, BRALA29268, BRALA14856, BRALA33527, BRALA20529, BRALA31173, BRALA31798, BRALA31682, BRALA20809, BRALA22881, BRALA23260, BRALA10388, BRALA26529, BRALA24038, BRALA26479, BRALA10888, BRALA14857, BRALA26062, BRALA19814, BRALA25485
OG0000019	TCONS_00042378.p1	BRALA31027, BRALA00002, BRALA17788
OG0000019	TCONS_00028459.p1, TCONS_00028453.p1, TCONS_00028457.p1, TCONS_00028458.p1, TCONS_00028452.p1, TCONS_00028462.p1, TCONS_00028460.p1, TCONS_00028461.p1, TCONS_00029609.p1	BRALA16757, BRALA35055, BRALA10428
OG0000019	TCONS_00007298.p1, TCONS_00007301.p1, TCONS_00016343.p1, TCONS_00053172.p1, TCONS_00050837.p1, TCONS_00056903.p1, TCONS_00053134.p1, TCONS_00017582.p1, TCONS_00048059.p1	BRALA00309, BRALA00310, BRALA00311
OG0000019	TCONS_00007305.p1, TCONS_00009265.p1, TCONS_00009269.p1, TCONS_00009271.p1, TCONS_00008241.p1	BRALA23185, BRALA13461, BRALA09553
OG0000019	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1	BRALA00404, BRALA00405
OG0000019	TCONS_00042480.p1	BRALA23253, BRALA16935, BRALA16938, BRALA16161, BRALA13485, BRALA13484, BRALA13482, BRALA33941, BRALA13483, BRALA08371, BRALA00611, BRALA01467, BRALA08352, BRALA01468, BRALA26666, BRALA08383, BRALA00610, BRALA13160
OG0000020	TCONS_00042133.p1	BRALA11913
OG0000020	TCONS_00044902.p1	BRALA28177, BRALA04365
OG0000020	TCONS_00055662.p1	BRALA09135
OG0000020	TCONS_00041842.p1	BRALA27241
OG0000020	TCONS_00007359.p1	BRALA30618
OG0000020	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1	BRALA28848
OG0000020	TCONS_00054537.p1	BRALA05608
OG0000020	TCONS_00047850.p1	BRALA18984
OG0000020	TCONS_00045845.p1	BRALA16287
OG0000020	TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1	BRALA19612, BRALA00988, BRALA00987, BRALA34428, BRALA17137, BRALA26917, BRALA04450, BRALA19326, BRALA17705, BRALA01370, BRALA04503, BRALA22183, BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869, BRALA14062
OG0000020	TCONS_00013032.p1	BRALA11167
OG0000020	TCONS_00016378.p1	BRALA27392
OG0000020	TCONS_00056690.p1	BRALA18130
OG0000020	TCONS_00042754.p1	BRALA12599
OG0000020	TCONS_00019367.p1	BRALA10628
OG0000020	TCONS_00041844.p1	BRALA23615
OG0000021	TCONS_00025493.p1	BRALA18098
OG0000021	TCONS_00007765.p1	BRALA22428
OG0000021	TCONS_00006555.p1	BRALA30352
OG0000021	TCONS_00005068.p1, TCONS_00005066.p1	BRALA34639, BRALA31905
OG0000021	TCONS_00016243.p1	BRALA06012
OG0000021	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1	BRALA20360, BRALA20164
OG0000023	TCONS_00026137.p1	BRALA34393, BRALA34449, BRALA33273
OG0000023	TCONS_00004930.p1	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437
OG0000023	TCONS_00029827.p1	BRALA17881, BRALA21074, BRALA03421
OG0000024	TCONS_00013372.p1, TCONS_00008306.p1, TCONS_00004499.p1, TCONS_00053773.p1, TCONS_00015293.p1, TCONS_00014607.p1, TCONS_00044135.p1, TCONS_00027908.p1, TCONS_00046572.p1, TCONS_00054777.p1, TCONS_00038797.p1, TCONS_00024402.p1, TCONS_00052142.p1, TCONS_00005657.p1, TCONS_00018571.p1, TCONS_00050704.p1, TCONS_00043577.p1, TCONS_00054855.p1, TCONS_00028368.p1, TCONS_00044844.p1, TCONS_00009651.p1, TCONS_00024337.p1	BRALA13162, BRALA17266
OG0000025	TCONS_00032487.p1	BRALA30327
OG0000025	TCONS_00029873.p1, TCONS_00041153.p1	BRALA32180
OG0000025	TCONS_00004530.p1	BRALA30288, BRALA14889, BRALA08095, BRALA20961
OG0000025	TCONS_00016476.p1	BRALA29928, BRALA29404
OG0000025	TCONS_00004608.p1	BRALA24909
OG0000025	TCONS_00018426.p1, TCONS_00027603.p1, TCONS_00027215.p2, TCONS_00031481.p1, TCONS_00007104.p1, TCONS_00029375.p1, TCONS_00056090.p1, TCONS_00009489.p1, TCONS_00032646.p1, TCONS_00026371.p1	BRALA01670, BRALA20143, BRALA15727, BRALA11574, BRALA26555
OG0000025	TCONS_00031198.p1, TCONS_00018673.p1, TCONS_00024081.p1, TCONS_00016477.p1, TCONS_00034579.p1, TCONS_00034352.p1, TCONS_00038052.p1	BRALA08078, BRALA28867, BRALA19412, BRALA08149, BRALA12844, BRALA13976, BRALA21247, BRALA25435, BRALA28795, BRALA26554
OG0000025	TCONS_00038243.p1, TCONS_00032040.p1, TCONS_00009183.p1	BRALA23330
OG0000025	TCONS_00045036.p1	BRALA33595
OG0000025	TCONS_00031703.p1, TCONS_00012858.p1, TCONS_00007266.p1, TCONS_00049623.p1, TCONS_00019473.p1, TCONS_00044920.p1, TCONS_00044570.p1, TCONS_00032176.p1, TCONS_00032902.p1, TCONS_00033001.p1, TCONS_00030113.p1, TCONS_00010596.p1, TCONS_00056440.p1, TCONS_00028828.p1, TCONS_00052217.p2, TCONS_00048535.p1, TCONS_00032079.p1	BRALA15728, BRALA15173, BRALA17925, BRALA20091, BRALA25964, BRALA20492, BRALA24129, BRALA01765, BRALA32347
OG0000026	TCONS_00003307.p1, TCONS_00043299.p1	BRALA07901, BRALA07423
OG0000026	TCONS_00005841.p2	BRALA33267
OG0000026	TCONS_00017322.p1	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918
OG0000026	TCONS_00027263.p1, TCONS_00054188.p1	BRALA01048
OG0000026	TCONS_00046715.p1, TCONS_00035568.p1	BRALA15313
OG0000026	TCONS_00050896.p1, TCONS_00050897.p1, TCONS_00051268.p1, TCONS_00050105.p1	BRALA09041, BRALA20501, BRALA28179, BRALA02475, BRALA29792, BRALA23720, BRALA33266, BRALA32596, BRALA29794, BRALA27975, BRALA26635, BRALA07999, BRALA07996, BRALA27524, BRALA27525, BRALA11644, BRALA11643, BRALA01094, BRALA31858, BRALA29917, BRALA18251
OG0000026	TCONS_00043670.p1	BRALA01767
OG0000027	TCONS_00049177.p1, TCONS_00049160.p1, TCONS_00051661.p1	BRALA30064
OG0000027	TCONS_00005542.p1, TCONS_00044321.p1, TCONS_00049112.p1, TCONS_00049113.p1, TCONS_00049119.p1, TCONS_00049120.p1, TCONS_00049114.p1, TCONS_00049115.p1, TCONS_00049116.p1, TCONS_00049117.p1, TCONS_00049118.p1	BRALA04074, BRALA06095, BRALA06094, BRALA06046
OG0000027	TCONS_00046417.p1	BRALA20610, BRALA28131
OG0000027	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150
OG0000028	TCONS_00030328.p1, TCONS_00030338.p1, TCONS_00030608.p1, TCONS_00053821.p1, TCONS_00031464.p1, TCONS_00041062.p1	BRALA08037, BRALA08038, BRALA23716, BRALA08026, BRALA08036, BRALA04194
