Orthogroup	PFLAV	YEAST
OG0000031	TCONS_00032922.p1	YEAST05574
OG0000031	TCONS_00047108.p1, TCONS_00005437.p1, TCONS_00003900.p1, TCONS_00002937.p1, TCONS_00028162.p1, TCONS_00047742.p1, TCONS_00046710.p1, TCONS_00045709.p1, TCONS_00041599.p1, TCONS_00054588.p1, TCONS_00042947.p1, TCONS_00003964.p1	YEAST02238
OG0000034	TCONS_00007418.p1, TCONS_00005924.p1, TCONS_00049881.p1, TCONS_00037015.p1, TCONS_00029638.p1, TCONS_00037982.p1, TCONS_00030311.p1, TCONS_00029930.p1, TCONS_00031361.p1, TCONS_00015036.p1, TCONS_00037412.p1, TCONS_00036269.p1, TCONS_00036263.p1, TCONS_00037414.p1, TCONS_00037417.p1	YEAST04436, YEAST05550, YEAST05115
OG0000036	TCONS_00009261.p1, TCONS_00008984.p1, TCONS_00008983.p1, TCONS_00007918.p1, TCONS_00008982.p1, TCONS_00022594.p1, TCONS_00008906.p1, TCONS_00047867.p1, TCONS_00047868.p1, TCONS_00004743.p1, TCONS_00047870.p1, TCONS_00047869.p1, TCONS_00052470.p1, TCONS_00042048.p1, TCONS_00042050.p1, TCONS_00042049.p1, TCONS_00043406.p1, TCONS_00007681.p1, TCONS_00006290.p1	YEAST02545, YEAST02806
OG0000037	TCONS_00011439.p1, TCONS_00011440.p1, TCONS_00011443.p1, TCONS_00011446.p1, TCONS_00011219.p1, TCONS_00011218.p1, TCONS_00017535.p1, TCONS_00010087.p1, TCONS_00016014.p1, TCONS_00024568.p1, TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1, TCONS_00001517.p1, TCONS_00001518.p1, TCONS_00001527.p1, TCONS_00001346.p1, TCONS_00001949.p1, TCONS_00054047.p1, TCONS_00052956.p1, TCONS_00031395.p1, TCONS_00044661.p1	YEAST03227
OG0000038	TCONS_00001545.p1, TCONS_00000411.p1, TCONS_00001542.p1, TCONS_00001541.p1, TCONS_00001539.p1, TCONS_00001543.p1, TCONS_00048433.p1, TCONS_00029437.p1, TCONS_00019232.p2, TCONS_00028396.p1, TCONS_00028210.p1, TCONS_00029120.p1, TCONS_00028399.p1, TCONS_00028398.p1, TCONS_00028397.p1, TCONS_00000414.p1, TCONS_00001540.p1, TCONS_00000410.p1, TCONS_00028395.p1, TCONS_00001544.p1	YEAST04422, YEAST04379
OG0000043	TCONS_00036845.p1, TCONS_00036842.p1, TCONS_00036799.p1, TCONS_00036798.p1, TCONS_00039106.p1, TCONS_00039145.p1, TCONS_00039154.p1, TCONS_00039124.p1, TCONS_00024599.p1, TCONS_00013606.p1, TCONS_00056508.p1, TCONS_00036784.p1, TCONS_00055304.p1, TCONS_00012803.p1, TCONS_00012796.p1, TCONS_00039125.p1, TCONS_00039467.p1, TCONS_00033828.p1, TCONS_00013937.p1, TCONS_00013685.p1, TCONS_00023271.p1	YEAST00224, YEAST01200
OG0000048	TCONS_00017594.p1, TCONS_00017595.p1, TCONS_00047230.p1, TCONS_00028537.p1, TCONS_00006570.p1, TCONS_00026749.p1, TCONS_00010205.p1, TCONS_00010206.p1, TCONS_00011599.p1, TCONS_00009510.p1, TCONS_00009509.p1, TCONS_00009734.p1, TCONS_00011079.p1, TCONS_00011575.p1, TCONS_00007155.p1	YEAST05707
OG0000053	TCONS_00013985.p1, TCONS_00030632.p1	YEAST05460, YEAST01800
OG0000054	TCONS_00016773.p1, TCONS_00016794.p1, TCONS_00030209.p1, TCONS_00042199.p1, TCONS_00018704.p1, TCONS_00005549.p1, TCONS_00020702.p1, TCONS_00020496.p1, TCONS_00020497.p1, TCONS_00053229.p1, TCONS_00053231.p1, TCONS_00041220.p1, TCONS_00041205.p1, TCONS_00025247.p1, TCONS_00025241.p1, TCONS_00025250.p1, TCONS_00025249.p1, TCONS_00024712.p1, TCONS_00024714.p1, TCONS_00023269.p1, TCONS_00024711.p1, TCONS_00024709.p1, TCONS_00024710.p1, TCONS_00053730.p1, TCONS_00053728.p1, TCONS_00054380.p1, TCONS_00054377.p1, TCONS_00054375.p1, TCONS_00054373.p1, TCONS_00054374.p1, TCONS_00054381.p1, TCONS_00037279.p1, TCONS_00037270.p1, TCONS_00036137.p1, TCONS_00037730.p1, TCONS_00037744.p1, TCONS_00037732.p1, TCONS_00042198.p1, TCONS_00042196.p1, TCONS_00042195.p1, TCONS_00042197.p1, TCONS_00018724.p1, TCONS_00017644.p1, TCONS_00017668.p1, TCONS_00018701.p1, TCONS_00018703.p1, TCONS_00018740.p1, TCONS_00018741.p1, TCONS_00016269.p1	YEAST01385
OG0000055	TCONS_00013972.p1, TCONS_00013979.p1, TCONS_00023138.p2, TCONS_00037928.p1, TCONS_00005454.p1, TCONS_00003999.p1, TCONS_00056511.p1, TCONS_00052437.p1, TCONS_00056509.p1, TCONS_00039102.p1, TCONS_00039157.p1, TCONS_00039149.p1, TCONS_00039120.p1, TCONS_00039105.p1, TCONS_00037947.p1, TCONS_00012408.p1, TCONS_00039123.p1, TCONS_00039362.p1	YEAST01199, YEAST00225
OG0000058	TCONS_00013045.p1, TCONS_00013043.p1, TCONS_00013051.p1, TCONS_00009847.p1, TCONS_00026611.p1	YEAST02989
OG0000058	TCONS_00012346.p1, TCONS_00013510.p1, TCONS_00037525.p1, TCONS_00012341.p1, TCONS_00012353.p1, TCONS_00013041.p1, TCONS_00013052.p1, TCONS_00013527.p1, TCONS_00012347.p1, TCONS_00013058.p1, TCONS_00013056.p1, TCONS_00013057.p1, TCONS_00013055.p1, TCONS_00013059.p1, TCONS_00012351.p1	YEAST02120
OG0000069	TCONS_00047572.p1	YEAST03661
OG0000069	TCONS_00012030.p1, TCONS_00013004.p1	YEAST05172
OG0000079	TCONS_00032718.p1, TCONS_00030942.p1, TCONS_00006803.p1, TCONS_00028091.p1, TCONS_00021690.p1, TCONS_00021688.p1	YEAST05330
OG0000082	TCONS_00014773.p1, TCONS_00001034.p1	YEAST03287
OG0000082	TCONS_00026781.p1	YEAST04267, YEAST01834, YEAST03359
OG0000082	TCONS_00020512.p1, TCONS_00020502.p1, TCONS_00020508.p1, TCONS_00020507.p1, TCONS_00020510.p1, TCONS_00020504.p1, TCONS_00020506.p1, TCONS_00019234.p1, TCONS_00056464.p1, TCONS_00055288.p1, TCONS_00000360.p1	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000082	TCONS_00020513.p1, TCONS_00020503.p1, TCONS_00019233.p1	YEAST04992, YEAST00735
OG0000095	TCONS_00011463.p1, TCONS_00011458.p1, TCONS_00009998.p1, TCONS_00009997.p1, TCONS_00015954.p1, TCONS_00012113.p1, TCONS_00010510.p1, TCONS_00010103.p1, TCONS_00011887.p1, TCONS_00049323.p1, TCONS_00049326.p1, TCONS_00048863.p1, TCONS_00049325.p1, TCONS_00049322.p1, TCONS_00025470.p1, TCONS_00010507.p1, TCONS_00011888.p1, TCONS_00010505.p1, TCONS_00010506.p1, TCONS_00011459.p1, TCONS_00011460.p1, TCONS_00011644.p1, TCONS_00011645.p1, TCONS_00011646.p1	YEAST02993
OG0000096	TCONS_00020855.p1, TCONS_00048858.p1	YEAST02643
OG0000096	TCONS_00020336.p1	YEAST00638
OG0000096	TCONS_00028921.p1, TCONS_00015544.p1, TCONS_00036087.p1, TCONS_00056616.p1	YEAST05104, YEAST05564
OG0000103	TCONS_00013856.p1, TCONS_00012816.p1	YEAST02873
OG0000107	TCONS_00003998.p1, TCONS_00051284.p1, TCONS_00035668.p1, TCONS_00010708.p1, TCONS_00039146.p2, TCONS_00055303.p2, TCONS_00005453.p1, TCONS_00037927.p1, TCONS_00039103.p2, TCONS_00039104.p2, TCONS_00013605.p2, TCONS_00037974.p1, TCONS_00037946.p2, TCONS_00056510.p2, TCONS_00051296.p1, TCONS_00037973.p2, TCONS_00035569.p1, TCONS_00023139.p2, TCONS_00035662.p1, TCONS_00012476.p1, TCONS_00039121.p2, TCONS_00003644.p1, TCONS_00036843.p3, TCONS_00005449.p1, TCONS_00005452.p1	YEAST05173
OG0000113	TCONS_00027143.p1, TCONS_00027140.p1, TCONS_00027144.p1, TCONS_00027142.p1, TCONS_00027145.p1, TCONS_00054086.p1, TCONS_00054095.p1, TCONS_00052707.p1, TCONS_00048178.p1, TCONS_00039497.p1, TCONS_00047521.p1, TCONS_00047520.p1, TCONS_00055054.p1, TCONS_00027606.p1, TCONS_00027607.p1, TCONS_00036236.p1, TCONS_00036235.p1, TCONS_00029210.p1, TCONS_00036233.p1	YEAST00378, YEAST01351, YEAST05581
OG0000116	TCONS_00056884.p1, TCONS_00002625.p1, TCONS_00002621.p1, TCONS_00002632.p1, TCONS_00002641.p1, TCONS_00002633.p1, TCONS_00002636.p1, TCONS_00002639.p1, TCONS_00002634.p1, TCONS_00002628.p1, TCONS_00002637.p1, TCONS_00002638.p1, TCONS_00002543.p1, TCONS_00002622.p1, TCONS_00043231.p1, TCONS_00043230.p1, TCONS_00043228.p1, TCONS_00020815.p1, TCONS_00020818.p1, TCONS_00041967.p1, TCONS_00041968.p1, TCONS_00056896.p1, TCONS_00056883.p1, TCONS_00056897.p1, TCONS_00056886.p1, TCONS_00056887.p1, TCONS_00056898.p1, TCONS_00056901.p1, TCONS_00056796.p1, TCONS_00056894.p1, TCONS_00056881.p1, TCONS_00055796.p1, TCONS_00055797.p1, TCONS_00055794.p1, TCONS_00055616.p1, TCONS_00055618.p1, TCONS_00055617.p1, TCONS_00056801.p1, TCONS_00056799.p1, TCONS_00055613.p1, TCONS_00056798.p1, TCONS_00056888.p1, TCONS_00056902.p1, TCONS_00057037.p1	YEAST04456
OG0000122	TCONS_00002660.p1	YEAST04928
OG0000124	TCONS_00021851.p1, TCONS_00022661.p1, TCONS_00021848.p1	YEAST05021
OG0000124	TCONS_00020297.p1	YEAST01581, YEAST05113, YEAST03767
OG0000124	TCONS_00052233.p1	YEAST04122
OG0000127	TCONS_00007046.p1, TCONS_00021994.p1, TCONS_00021998.p1, TCONS_00045275.p1, TCONS_00045354.p1, TCONS_00013871.p1, TCONS_00027467.p1	YEAST06208
OG0000132	TCONS_00028790.p1, TCONS_00029766.p1, TCONS_00001666.p1, TCONS_00001667.p1, TCONS_00012352.p1, TCONS_00043358.p1, TCONS_00012797.p1, TCONS_00012805.p1	YEAST06016
OG0000137	TCONS_00046377.p1, TCONS_00046380.p1, TCONS_00046378.p1, TCONS_00001295.p1, TCONS_00048914.p1, TCONS_00045334.p1, TCONS_00008615.p1, TCONS_00007898.p1, TCONS_00008611.p1, TCONS_00046391.p1, TCONS_00046390.p1, TCONS_00026076.p1, TCONS_00027698.p1, TCONS_00000131.p1, TCONS_00023555.p1, TCONS_00023592.p1, TCONS_00023593.p1, TCONS_00046122.p1	YEAST01851, YEAST00637
OG0000142	TCONS_00044174.p1, TCONS_00019377.p1, TCONS_00019197.p1, TCONS_00037487.p1, TCONS_00037485.p1, TCONS_00019376.p1, TCONS_00020129.p1, TCONS_00044171.p1, TCONS_00020135.p1, TCONS_00044173.p1	YEAST02122
OG0000158	TCONS_00046407.p1, TCONS_00015575.p1	YEAST05568
OG0000160	TCONS_00049502.p1, TCONS_00049500.p1, TCONS_00049499.p1, TCONS_00006746.p1, TCONS_00005557.p1, TCONS_00005567.p1, TCONS_00005556.p1, TCONS_00005566.p1, TCONS_00005570.p1, TCONS_00005558.p1, TCONS_00006218.p1, TCONS_00030030.p1, TCONS_00030031.p1, TCONS_00030037.p1, TCONS_00030036.p1, TCONS_00018408.p1, TCONS_00018422.p1, TCONS_00018553.p1, TCONS_00029348.p1, TCONS_00004928.p1	YEAST04194
OG0000175	TCONS_00006924.p1, TCONS_00017760.p1, TCONS_00017269.p1, TCONS_00017270.p1, TCONS_00001217.p1, TCONS_00002337.p1, TCONS_00042595.p1, TCONS_00018779.p1, TCONS_00045899.p1, TCONS_00017752.p1, TCONS_00045898.p1, TCONS_00018778.p1, TCONS_00018813.p1, TCONS_00005844.p1, TCONS_00017737.p1, TCONS_00044823.p1, TCONS_00005845.p1, TCONS_00018812.p1, TCONS_00017185.p1, TCONS_00013340.p1	YEAST00850, YEAST04327
OG0000179	TCONS_00030795.p1, TCONS_00030794.p1	YEAST01123, YEAST04430
OG0000179	TCONS_00029363.p1	YEAST02911, YEAST01281
OG0000179	TCONS_00043115.p1	YEAST04108, YEAST03346
OG0000181	TCONS_00055710.p1, TCONS_00049665.p1, TCONS_00025678.p1, TCONS_00052199.p1, TCONS_00052200.p1, TCONS_00054994.p1	YEAST00824, YEAST00771
OG0000186	TCONS_00021412.p1, TCONS_00045212.p1, TCONS_00046299.p1, TCONS_00021409.p1, TCONS_00021424.p1, TCONS_00021426.p1, TCONS_00021431.p1, TCONS_00009840.p1, TCONS_00021428.p1, TCONS_00021414.p1, TCONS_00021410.p1, TCONS_00021411.p1, TCONS_00021408.p1, TCONS_00021407.p1, TCONS_00021427.p1, TCONS_00021434.p1, TCONS_00021419.p1	YEAST00336
OG0000194	TCONS_00021113.p1, TCONS_00021115.p1, TCONS_00021112.p1, TCONS_00021105.p1, TCONS_00022746.p1, TCONS_00054475.p1, TCONS_00054473.p1, TCONS_00054478.p1, TCONS_00054479.p1, TCONS_00022202.p1	YEAST01410
OG0000195	TCONS_00022853.p1, TCONS_00022924.p1, TCONS_00022472.p1, TCONS_00050953.p1, TCONS_00052055.p1, TCONS_00051871.p1, TCONS_00052104.p1, TCONS_00052117.p1, TCONS_00051714.p1	YEAST03414
OG0000211	TCONS_00040533.p1, TCONS_00000780.p1, TCONS_00010951.p1, TCONS_00028192.p1, TCONS_00028766.p1, TCONS_00029746.p1	YEAST04964
OG0000221	TCONS_00004344.p1, TCONS_00003306.p1, TCONS_00051482.p1, TCONS_00015523.p1	YEAST05872
OG0000222	TCONS_00029103.p1, TCONS_00000470.p1, TCONS_00029097.p1, TCONS_00006280.p1, TCONS_00029102.p1, TCONS_00029100.p1, TCONS_00028084.p1, TCONS_00028205.p1, TCONS_00028206.p1, TCONS_00028788.p1, TCONS_00028849.p1, TCONS_00029832.p1, TCONS_00029416.p1, TCONS_00029101.p1	YEAST01460
OG0000225	TCONS_00048759.p1, TCONS_00049310.p1, TCONS_00049308.p1, TCONS_00048761.p1, TCONS_00047386.p1	YEAST06146
OG0000227	TCONS_00055571.p1, TCONS_00003628.p1, TCONS_00003624.p1	YEAST05815
OG0000228	TCONS_00006106.p1, TCONS_00007455.p1, TCONS_00006730.p1	YEAST04750
OG0000233	TCONS_00040520.p1, TCONS_00016132.p1, TCONS_00022822.p1, TCONS_00031321.p1, TCONS_00015040.p1, TCONS_00015041.p1	YEAST03726, YEAST03241, YEAST03242
OG0000238	TCONS_00012248.p1, TCONS_00012247.p1, TCONS_00012242.p1, TCONS_00012250.p1, TCONS_00016903.p1, TCONS_00016905.p1, TCONS_00017961.p1, TCONS_00008771.p1, TCONS_00008905.p1, TCONS_00017969.p1	YEAST06340, YEAST03834
OG0000240	TCONS_00005511.p1, TCONS_00005653.p1	YEAST03827
OG0000242	TCONS_00037535.p1, TCONS_00037523.p1, TCONS_00037527.p1, TCONS_00041111.p1, TCONS_00037528.p1, TCONS_00037532.p1, TCONS_00037530.p1, TCONS_00037534.p1, TCONS_00037536.p1, TCONS_00036466.p1, TCONS_00041151.p1	YEAST00734
OG0000246	TCONS_00055969.p1, TCONS_00000511.p1, TCONS_00004812.p1, TCONS_00004813.p1, TCONS_00004758.p1, TCONS_00004741.p1	YEAST01746, YEAST01747
OG0000250	TCONS_00028853.p1, TCONS_00020505.p1, TCONS_00015588.p1, TCONS_00042963.p1, TCONS_00030782.p1, TCONS_00024627.p1, TCONS_00023621.p1	YEAST04716
OG0000255	TCONS_00022651.p1, TCONS_00022654.p1, TCONS_00020857.p1, TCONS_00055357.p1, TCONS_00056545.p1, TCONS_00055361.p1, TCONS_00055362.p1, TCONS_00056553.p1, TCONS_00051668.p1, TCONS_00056554.p1, TCONS_00056555.p1, TCONS_00017301.p1, TCONS_00017109.p1, TCONS_00017302.p1	YEAST02822
OG0000256	TCONS_00015961.p1, TCONS_00005012.p1, TCONS_00022849.p1, TCONS_00021723.p1, TCONS_00021722.p1, TCONS_00021716.p1, TCONS_00021721.p1, TCONS_00021714.p1, TCONS_00021718.p1, TCONS_00021720.p1, TCONS_00021724.p1, TCONS_00028691.p1, TCONS_00029741.p1, TCONS_00029740.p1, TCONS_00021509.p1, TCONS_00022613.p1, TCONS_00028471.p1, TCONS_00028212.p1	YEAST00266
OG0000258	TCONS_00013487.p1, TCONS_00048565.p1, TCONS_00010222.p1	YEAST00118
OG0000260	TCONS_00048892.p1, TCONS_00026041.p1	YEAST04323
OG0000265	TCONS_00048368.p1	YEAST03885, YEAST03714
OG0000272	TCONS_00005157.p1, TCONS_00017291.p1, TCONS_00017292.p1	YEAST02076, YEAST01066
OG0000274	TCONS_00018216.p1, TCONS_00018218.p1, TCONS_00017161.p1, TCONS_00017165.p1, TCONS_00017168.p1, TCONS_00017166.p1, TCONS_00017159.p1, TCONS_00017167.p1, TCONS_00036495.p1, TCONS_00022001.p1, TCONS_00020954.p1	YEAST02118, YEAST04573, YEAST01485
OG0000278	TCONS_00045615.p1	YEAST03847
OG0000278	TCONS_00009844.p1	YEAST04060
OG0000284	TCONS_00016164.p1, TCONS_00016165.p1, TCONS_00014716.p1, TCONS_00052056.p1, TCONS_00016169.p1, TCONS_00016167.p1, TCONS_00046666.p1, TCONS_00052670.p1	YEAST05621
OG0000289	TCONS_00053984.p1, TCONS_00052913.p1, TCONS_00023655.p1, TCONS_00025062.p1	YEAST00645
OG0000305	TCONS_00049715.p1, TCONS_00020271.p1, TCONS_00019745.p1, TCONS_00020377.p1, TCONS_00020272.p1, TCONS_00020270.p1	YEAST04899
OG0000308	TCONS_00057161.p1, TCONS_00057159.p1, TCONS_00016811.p1, TCONS_00013898.p1, TCONS_00007411.p1	YEAST02548
OG0000310	TCONS_00042371.p1, TCONS_00042267.p1, TCONS_00042321.p1, TCONS_00042320.p1, TCONS_00020935.p1, TCONS_00008672.p1, TCONS_00008675.p1, TCONS_00007401.p1, TCONS_00008667.p1, TCONS_00008665.p1, TCONS_00008664.p1, TCONS_00008669.p1, TCONS_00008663.p1, TCONS_00007735.p1, TCONS_00014167.p1	YEAST02635
OG0000312	TCONS_00028086.p1, TCONS_00012089.p1, TCONS_00012092.p1, TCONS_00050599.p1, TCONS_00022862.p1, TCONS_00044132.p1, TCONS_00044224.p1	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	TCONS_00042682.p1, TCONS_00050469.p1	YEAST05106
OG0000313	TCONS_00032763.p2	YEAST05526
OG0000315	TCONS_00047575.p1	YEAST04684
OG0000316	TCONS_00030421.p1, TCONS_00029806.p1, TCONS_00048792.p1	YEAST01673
OG0000317	TCONS_00016456.p1, TCONS_00046922.p1, TCONS_00045561.p1	YEAST01356
OG0000321	TCONS_00054648.p1, TCONS_00042983.p1, TCONS_00022869.p1	YEAST03264
OG0000323	TCONS_00004750.p1, TCONS_00016624.p1, TCONS_00018984.p1, TCONS_00019989.p1	YEAST02249
OG0000326	TCONS_00051511.p1	YEAST06268, YEAST05286
OG0000326	TCONS_00022683.p1, TCONS_00021962.p1, TCONS_00020980.p1, TCONS_00021960.p1, TCONS_00021957.p1, TCONS_00021958.p1, TCONS_00021961.p1	YEAST06056
OG0000326	TCONS_00056614.p1, TCONS_00056613.p1	YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102
OG0000327	TCONS_00014538.p1, TCONS_00014537.p1, TCONS_00014516.p1, TCONS_00014515.p1	YEAST01354
OG0000338	TCONS_00006807.p1, TCONS_00006253.p1	YEAST02967
OG0000338	TCONS_00007127.p1	YEAST04211
OG0000343	TCONS_00000994.p1	YEAST03024, YEAST02736
OG0000345	TCONS_00030626.p1, TCONS_00008130.p1, TCONS_00030018.p1, TCONS_00031146.p1	YEAST01884
OG0000352	TCONS_00053533.p1, TCONS_00055099.p1, TCONS_00056016.p1, TCONS_00056445.p1	YEAST04069
OG0000357	TCONS_00006771.p1, TCONS_00006770.p1, TCONS_00048191.p1	YEAST01925
OG0000359	TCONS_00013824.p1, TCONS_00021739.p1, TCONS_00012252.p1, TCONS_00042042.p1	YEAST02489
OG0000363	TCONS_00009940.p1, TCONS_00009923.p1, TCONS_00006052.p1, TCONS_00002464.p1, TCONS_00002468.p1, TCONS_00004630.p1, TCONS_00004640.p1	YEAST04081, YEAST05870
OG0000365	TCONS_00053833.p1, TCONS_00002093.p1	YEAST05831
OG0000367	TCONS_00049440.p1, TCONS_00017935.p1	YEAST02141, YEAST03746, YEAST03210
OG0000372	TCONS_00029355.p1, TCONS_00057185.p1, TCONS_00044124.p1, TCONS_00055414.p1	YEAST05988
OG0000373	TCONS_00003480.p1, TCONS_00006362.p1	YEAST02023
OG0000373	TCONS_00014579.p1	YEAST04495, YEAST01417, YEAST05964
OG0000380	TCONS_00040864.p1, TCONS_00038906.p1, TCONS_00015765.p1, TCONS_00044501.p1, TCONS_00034044.p1, TCONS_00014533.p1, TCONS_00051265.p1, TCONS_00044443.p1, TCONS_00041477.p1, TCONS_00054787.p1, TCONS_00032112.p1, TCONS_00016402.p1, TCONS_00045778.p1, TCONS_00037200.p1, TCONS_00044572.p1, TCONS_00026083.p1, TCONS_00008318.p1, TCONS_00052074.p1, TCONS_00038833.p1, TCONS_00041136.p1, TCONS_00008319.p1, TCONS_00041135.p1	YEAST01047
OG0000385	TCONS_00050815.p1, TCONS_00000219.p1	YEAST03496
OG0000393	TCONS_00035297.p1, TCONS_00035111.p1, TCONS_00000681.p1	YEAST04072, YEAST04071
OG0000393	TCONS_00007376.p1	YEAST01302
OG0000397	TCONS_00027690.p1	YEAST05080
OG0000399	TCONS_00010744.p1, TCONS_00046673.p1, TCONS_00033335.p1	YEAST02160
