Orthogroup	PFLAV	CAEEL
OG0000007	TCONS_00052518.p1	CAEEL05829
OG0000007	TCONS_00008967.p1	CAEEL01108
OG0000007	TCONS_00029831.p1	CAEEL01984
OG0000007	TCONS_00055417.p1, TCONS_00011336.p1	CAEEL10238, CAEEL04602
OG0000007	TCONS_00009689.p1	CAEEL18586
OG0000010	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1	CAEEL04259
OG0000012	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1	CAEEL20690
OG0000012	TCONS_00014468.p1	CAEEL14039, CAEEL14036, CAEEL14035, CAEEL14043, CAEEL14262, CAEEL14332, CAEEL14331, CAEEL14330, CAEEL14630, CAEEL00027, CAEEL07052, CAEEL18698
OG0000012	TCONS_00039920.p1, TCONS_00035664.p1, TCONS_00039928.p1, TCONS_00040816.p1	CAEEL19132, CAEEL18995
OG0000013	TCONS_00023863.p1, TCONS_00008448.p1, TCONS_00008447.p1, TCONS_00008446.p1, TCONS_00015580.p1, TCONS_00008650.p1, TCONS_00021089.p1, TCONS_00021092.p1, TCONS_00021090.p1, TCONS_00014846.p1, TCONS_00043683.p1, TCONS_00043682.p1, TCONS_00017254.p1, TCONS_00030446.p1, TCONS_00030445.p1, TCONS_00021208.p1	CAEEL19127
OG0000015	TCONS_00043495.p1	CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309
OG0000015	TCONS_00042561.p1, TCONS_00043863.p1	CAEEL15587
OG0000015	TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855
OG0000016	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1	CAEEL20493
OG0000016	TCONS_00012620.p1, TCONS_00013829.p1	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1, TCONS_00022184.p1	CAEEL18647
OG0000019	TCONS_00042378.p1	CAEEL15403
OG0000019	TCONS_00025657.p1, TCONS_00025658.p1, TCONS_00025659.p1, TCONS_00028088.p1, TCONS_00029505.p1, TCONS_00028039.p1, TCONS_00028037.p1, TCONS_00028042.p1, TCONS_00028040.p1, TCONS_00028035.p1, TCONS_00029509.p1, TCONS_00014266.p1, TCONS_00027859.p1, TCONS_00028459.p1, TCONS_00028453.p1, TCONS_00028457.p1, TCONS_00028458.p1, TCONS_00028452.p1, TCONS_00028462.p1, TCONS_00028460.p1, TCONS_00028461.p1, TCONS_00029609.p1	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513
OG0000020	TCONS_00044902.p1	CAEEL07399
OG0000020	TCONS_00016378.p1	CAEEL00627
OG0000020	TCONS_00051401.p1, TCONS_00031077.p1	CAEEL05927
OG0000020	TCONS_00042754.p1	CAEEL13362
OG0000020	TCONS_00019367.p1	CAEEL09273
OG0000021	TCONS_00006555.p1	CAEEL00422
OG0000021	TCONS_00016243.p1	CAEEL00784, CAEEL15377
OG0000026	TCONS_00052076.p1	CAEEL09711
OG0000027	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1	CAEEL17825
OG0000028	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1, TCONS_00029701.p1, TCONS_00029704.p1, TCONS_00029474.p1, TCONS_00029475.p1	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	TCONS_00029777.p1, TCONS_00029776.p1	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517
OG0000028	TCONS_00002058.p1, TCONS_00002059.p1, TCONS_00042376.p1, TCONS_00051030.p1	CAEEL19515, CAEEL07887
OG0000029	TCONS_00004006.p1	CAEEL20320
OG0000030	TCONS_00019673.p1	CAEEL00681, CAEEL00682, CAEEL00680
OG0000030	TCONS_00014295.p1, TCONS_00013116.p1, TCONS_00044665.p1, TCONS_00044667.p1, TCONS_00044691.p1, TCONS_00045784.p1	CAEEL04353
OG0000030	TCONS_00000713.p1, TCONS_00019506.p1, TCONS_00052333.p1, TCONS_00019514.p1, TCONS_00006375.p1, TCONS_00014700.p1, TCONS_00005306.p1, TCONS_00006227.p1, TCONS_00006230.p1, TCONS_00006229.p1, TCONS_00009202.p1, TCONS_00027726.p1, TCONS_00021382.p1, TCONS_00042392.p1	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000031	TCONS_00003900.p1	CAEEL02023
OG0000031	TCONS_00028162.p1	CAEEL04718
OG0000031	TCONS_00041599.p1	CAEEL07076
OG0000032	TCONS_00016893.p1, TCONS_00044343.p1, TCONS_00035361.p1, TCONS_00017411.p1, TCONS_00050123.p1, TCONS_00016786.p1, TCONS_00017609.p1, TCONS_00050122.p1, TCONS_00017607.p1, TCONS_00017604.p1, TCONS_00016860.p1, TCONS_00016861.p1, TCONS_00016865.p1, TCONS_00017410.p1, TCONS_00012833.p1, TCONS_00012832.p1	CAEEL19615
OG0000032	TCONS_00045890.p1, TCONS_00018770.p1, TCONS_00017083.p1, TCONS_00017084.p1, TCONS_00017087.p1, TCONS_00002066.p1, TCONS_00002068.p1, TCONS_00017086.p1, TCONS_00017090.p1, TCONS_00017091.p1, TCONS_00017082.p1	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	TCONS_00007418.p1	CAEEL20539
OG0000034	TCONS_00005924.p1	CAEEL07900
OG0000034	TCONS_00049881.p1, TCONS_00037015.p1	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	TCONS_00029638.p1	CAEEL01132
OG0000034	TCONS_00037982.p1	CAEEL03140, CAEEL03141
OG0000035	TCONS_00003567.p1	CAEEL01943
OG0000035	TCONS_00024093.p1	CAEEL20458
OG0000036	TCONS_00008906.p1	CAEEL15057
OG0000036	TCONS_00007681.p1	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	TCONS_00011218.p1	CAEEL17629, CAEEL17628
OG0000037	TCONS_00017535.p1	CAEEL20275
OG0000037	TCONS_00016014.p1, TCONS_00024568.p1, TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1	CAEEL09012, CAEEL08645
OG0000038	TCONS_00000411.p1	CAEEL05762
OG0000039	TCONS_00003433.p1	CAEEL00466
OG0000039	TCONS_00014910.p1	CAEEL18993
OG0000040	TCONS_00025139.p1, TCONS_00025138.p1, TCONS_00024189.p1	CAEEL07223, CAEEL10049, CAEEL07225, CAEEL07224, CAEEL07229, CAEEL20365, CAEEL20227, CAEEL05468, CAEEL05498, CAEEL09191, CAEEL09190, CAEEL05505, CAEEL05502, CAEEL05503, CAEEL05501, CAEEL05504, CAEEL05500, CAEEL05506, CAEEL18896
OG0000041	TCONS_00025634.p1	CAEEL16024, CAEEL05122, CAEEL05121, CAEEL19747
OG0000041	TCONS_00024462.p1	CAEEL05494
OG0000041	TCONS_00046856.p1	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427
OG0000043	TCONS_00036845.p1, TCONS_00036842.p1, TCONS_00036799.p1, TCONS_00036798.p1, TCONS_00039106.p1, TCONS_00039145.p1, TCONS_00039154.p1, TCONS_00039124.p1, TCONS_00024599.p1, TCONS_00013606.p1, TCONS_00056508.p1, TCONS_00036784.p1, TCONS_00055304.p1, TCONS_00012803.p1, TCONS_00012796.p1	CAEEL15122
OG0000044	TCONS_00038566.p1	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097
OG0000044	TCONS_00027682.p1, TCONS_00009754.p1	CAEEL08025
OG0000046	TCONS_00040329.p1	CAEEL00059
OG0000046	TCONS_00020120.p1	CAEEL08281
OG0000049	TCONS_00002242.p1	CAEEL02028
OG0000049	TCONS_00047284.p1	CAEEL19631
OG0000049	TCONS_00047286.p1	CAEEL10349
OG0000051	TCONS_00023644.p1, TCONS_00031164.p1, TCONS_00031165.p1, TCONS_00030978.p1, TCONS_00030216.p1, TCONS_00030215.p1, TCONS_00030214.p1, TCONS_00031453.p1, TCONS_00035487.p1, TCONS_00035491.p1, TCONS_00035489.p1, TCONS_00035490.p1, TCONS_00035488.p1, TCONS_00035496.p1, TCONS_00035494.p1, TCONS_00035497.p1, TCONS_00035492.p1, TCONS_00035493.p1, TCONS_00035495.p1, TCONS_00031319.p1, TCONS_00030584.p1, TCONS_00030586.p1, TCONS_00030585.p1, TCONS_00030581.p1, TCONS_00030472.p1, TCONS_00046204.p1, TCONS_00022788.p1	CAEEL18565
OG0000051	TCONS_00006560.p1, TCONS_00006558.p1, TCONS_00006561.p1, TCONS_00003099.p1, TCONS_00003102.p1, TCONS_00003101.p1	CAEEL09464
OG0000054	TCONS_00030209.p1	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000055	TCONS_00039362.p1	CAEEL14858
OG0000056	TCONS_00053166.p1, TCONS_00054244.p1, TCONS_00053454.p1	CAEEL05273
OG0000058	TCONS_00026611.p1	CAEEL06550
OG0000058	TCONS_00012346.p1, TCONS_00013510.p1, TCONS_00037525.p1, TCONS_00012341.p1, TCONS_00012353.p1, TCONS_00013041.p1, TCONS_00013052.p1, TCONS_00013527.p1	CAEEL09297
OG0000059	TCONS_00042819.p1	CAEEL08332
OG0000060	TCONS_00048146.p1	CAEEL08516
OG0000060	TCONS_00017793.p1	CAEEL20840
OG0000061	TCONS_00055666.p1	CAEEL08422
OG0000061	TCONS_00055888.p1, TCONS_00055889.p1, TCONS_00057079.p1	CAEEL07898
OG0000061	TCONS_00016639.p1	CAEEL20509
OG0000062	TCONS_00007265.p1	CAEEL02955
OG0000063	TCONS_00052796.p1, TCONS_00052765.p1	CAEEL04400
OG0000066	TCONS_00020095.p1	CAEEL18679
OG0000066	TCONS_00050412.p1, TCONS_00045736.p1, TCONS_00028739.p1, TCONS_00051521.p1, TCONS_00048274.p1, TCONS_00053196.p1, TCONS_00008755.p1	CAEEL20109
OG0000067	TCONS_00052831.p1, TCONS_00016617.p1, TCONS_00016615.p1, TCONS_00016614.p1, TCONS_00016616.p1, TCONS_00015534.p1, TCONS_00016599.p1, TCONS_00016620.p1, TCONS_00016623.p1, TCONS_00041015.p1, TCONS_00041022.p1, TCONS_00041024.p1, TCONS_00041018.p1, TCONS_00024487.p1, TCONS_00023611.p1, TCONS_00023564.p1, TCONS_00023563.p1, TCONS_00023610.p1, TCONS_00023562.p1, TCONS_00010696.p1, TCONS_00025037.p1	CAEEL19271
OG0000068	TCONS_00047952.p1, TCONS_00048468.p1	CAEEL09504
OG0000068	TCONS_00032290.p1, TCONS_00048486.p1, TCONS_00019023.p1, TCONS_00019022.p1, TCONS_00019987.p1, TCONS_00048483.p1, TCONS_00048484.p1, TCONS_00048485.p1, TCONS_00047469.p1, TCONS_00048478.p1, TCONS_00048886.p1, TCONS_00047418.p1, TCONS_00048610.p1, TCONS_00047478.p1, TCONS_00047474.p1, TCONS_00047479.p1, TCONS_00048467.p1, TCONS_00048482.p1, TCONS_00047489.p1, TCONS_00047482.p1, TCONS_00056394.p1, TCONS_00046150.p1, TCONS_00048471.p1, TCONS_00048472.p1, TCONS_00047470.p1, TCONS_00047471.p1, TCONS_00047476.p1, TCONS_00047473.p1, TCONS_00032288.p1, TCONS_00048475.p1, TCONS_00048474.p1, TCONS_00032289.p1, TCONS_00048479.p1, TCONS_00047480.p1, TCONS_00047475.p1, TCONS_00032285.p1, TCONS_00048481.p1, TCONS_00048470.p1, TCONS_00047483.p1, TCONS_00048536.p1	CAEEL06439
OG0000069	TCONS_00047572.p1	CAEEL14766
OG0000070	TCONS_00012875.p1, TCONS_00011728.p1, TCONS_00048824.p1, TCONS_00013275.p1	CAEEL19861
OG0000071	TCONS_00008391.p1	CAEEL11416, CAEEL01923, CAEEL10649, CAEEL04912, CAEEL09257, CAEEL12747
OG0000071	TCONS_00010660.p1, TCONS_00009764.p1, TCONS_00022979.p1	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077
OG0000072	TCONS_00042083.p1, TCONS_00042087.p1	CAEEL07368
OG0000075	TCONS_00050627.p1	CAEEL03008
OG0000075	TCONS_00049564.p1	CAEEL11367
OG0000075	TCONS_00049562.p1, TCONS_00049274.p1	CAEEL11291
OG0000077	TCONS_00026489.p1	CAEEL01559
OG0000077	TCONS_00026413.p1	CAEEL18883
OG0000077	TCONS_00055904.p1, TCONS_00057132.p1	CAEEL06904
OG0000077	TCONS_00027831.p1	CAEEL18420
OG0000077	TCONS_00026409.p1, TCONS_00027084.p1	CAEEL20549, CAEEL20548
OG0000079	TCONS_00006803.p1	CAEEL07248
OG0000082	TCONS_00014773.p1, TCONS_00001034.p1	CAEEL18954, CAEEL04897
OG0000082	TCONS_00026781.p1	CAEEL13927
OG0000082	TCONS_00020512.p1, TCONS_00020502.p1, TCONS_00020508.p1, TCONS_00020507.p1, TCONS_00020510.p1, TCONS_00020504.p1, TCONS_00020506.p1, TCONS_00019234.p1	CAEEL12687
OG0000082	TCONS_00056464.p1, TCONS_00055288.p1, TCONS_00000360.p1	CAEEL01784, CAEEL05942, CAEEL05941
OG0000084	TCONS_00026379.p1, TCONS_00026843.p1, TCONS_00026055.p1	CAEEL10610, CAEEL18185
OG0000084	TCONS_00030689.p1, TCONS_00030688.p1	CAEEL10264
OG0000084	TCONS_00021134.p1, TCONS_00030129.p1, TCONS_00030431.p1, TCONS_00021133.p1, TCONS_00021139.p1, TCONS_00021138.p1, TCONS_00031287.p1, TCONS_00030603.p1, TCONS_00031458.p1, TCONS_00021496.p1, TCONS_00031129.p1, TCONS_00030866.p1, TCONS_00031443.p1, TCONS_00045090.p1, TCONS_00030687.p1	CAEEL10989
OG0000084	TCONS_00030090.p1	CAEEL20634
OG0000084	TCONS_00030964.p1, TCONS_00030200.p1, TCONS_00030965.p1, TCONS_00030201.p1	CAEEL08514, CAEEL10452
OG0000085	TCONS_00018803.p1	CAEEL06909
OG0000085	TCONS_00008648.p1	CAEEL03085
OG0000085	TCONS_00005387.p1	CAEEL08077
OG0000090	TCONS_00015053.p1	CAEEL18451
OG0000090	TCONS_00042349.p1, TCONS_00052866.p1, TCONS_00018027.p1, TCONS_00018023.p1, TCONS_00018025.p1, TCONS_00018021.p1, TCONS_00016984.p1, TCONS_00018863.p1, TCONS_00046157.p1, TCONS_00033798.p1, TCONS_00043811.p1, TCONS_00043809.p1, TCONS_00042124.p1, TCONS_00051024.p1, TCONS_00025326.p1, TCONS_00009994.p1, TCONS_00009992.p1, TCONS_00000343.p1, TCONS_00021893.p1, TCONS_00056910.p1, TCONS_00055752.p1, TCONS_00006837.p1, TCONS_00055753.p1	CAEEL10114
OG0000094	TCONS_00049669.p1, TCONS_00014948.p1	CAEEL10719
OG0000094	TCONS_00014949.p1	CAEEL18425
OG0000095	TCONS_00011463.p1, TCONS_00011458.p1, TCONS_00009998.p1, TCONS_00009997.p1, TCONS_00015954.p1, TCONS_00012113.p1, TCONS_00010510.p1, TCONS_00010103.p1, TCONS_00011887.p1, TCONS_00049323.p1, TCONS_00049326.p1, TCONS_00048863.p1, TCONS_00049325.p1, TCONS_00049322.p1, TCONS_00025470.p1, TCONS_00010507.p1, TCONS_00011888.p1, TCONS_00010505.p1, TCONS_00010506.p1, TCONS_00011459.p1, TCONS_00011460.p1, TCONS_00011644.p1, TCONS_00011645.p1	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114
OG0000095	TCONS_00011646.p1	CAEEL03536
OG0000096	TCONS_00020855.p1	CAEEL16555
OG0000096	TCONS_00048858.p1	CAEEL11088
OG0000096	TCONS_00020336.p1	CAEEL08533
OG0000096	TCONS_00015544.p1	CAEEL11776
OG0000096	TCONS_00036087.p1	CAEEL06051
OG0000096	TCONS_00056616.p1	CAEEL07422
OG0000098	TCONS_00040248.p1, TCONS_00014556.p1	CAEEL01602
OG0000098	TCONS_00029742.p1	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	TCONS_00043496.p1	CAEEL07999, CAEEL08340
OG0000099	TCONS_00001267.p1	CAEEL05000, CAEEL01295
OG0000099	TCONS_00054197.p1, TCONS_00054198.p1, TCONS_00053109.p1	CAEEL19098, CAEEL14903
OG0000101	TCONS_00057195.p1, TCONS_00017056.p1, TCONS_00055572.p1	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	TCONS_00013856.p1	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	TCONS_00012816.p1	CAEEL01469, CAEEL18445
OG0000104	TCONS_00034216.p1, TCONS_00033864.p1, TCONS_00034214.p1, TCONS_00034215.p1	CAEEL04070
OG0000104	TCONS_00019578.p1, TCONS_00033865.p1, TCONS_00034949.p1, TCONS_00048577.p1	CAEEL18800
OG0000106	TCONS_00005363.p1, TCONS_00005368.p1, TCONS_00005371.p1, TCONS_00006166.p1, TCONS_00006147.p1, TCONS_00006167.p1, TCONS_00005362.p1, TCONS_00028113.p1, TCONS_00028100.p1, TCONS_00004865.p1, TCONS_00004840.p1, TCONS_00005364.p1	CAEEL19130, CAEEL20701
OG0000110	TCONS_00010334.p1, TCONS_00011731.p1	CAEEL10319, CAEEL17689
OG0000111	TCONS_00004470.p1	CAEEL12675
OG0000111	TCONS_00014104.p1, TCONS_00028433.p1, TCONS_00028771.p1, TCONS_00029470.p1, TCONS_00028618.p1, TCONS_00029648.p1, TCONS_00001854.p1, TCONS_00029493.p1, TCONS_00029608.p1, TCONS_00053207.p1, TCONS_00029495.p1, TCONS_00026846.p1, TCONS_00028551.p1, TCONS_00028550.p1, TCONS_00027405.p1, TCONS_00013097.p1, TCONS_00013688.p1	CAEEL20845
OG0000113	TCONS_00027143.p1, TCONS_00027140.p1, TCONS_00027144.p1, TCONS_00027142.p1, TCONS_00027145.p1, TCONS_00054086.p1, TCONS_00054095.p1, TCONS_00052707.p1, TCONS_00048178.p1	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	TCONS_00051878.p1, TCONS_00009485.p1	CAEEL03306, CAEEL13040
OG0000114	TCONS_00052106.p1, TCONS_00052119.p1, TCONS_00052126.p1, TCONS_00052128.p1, TCONS_00052122.p1, TCONS_00052108.p1, TCONS_00052127.p1, TCONS_00052120.p1, TCONS_00052107.p1, TCONS_00052118.p1, TCONS_00052105.p1, TCONS_00051213.p1, TCONS_00051211.p1	CAEEL18136
OG0000117	TCONS_00053049.p1	CAEEL08400
OG0000117	TCONS_00000464.p1	CAEEL07433
OG0000119	TCONS_00056170.p1	CAEEL08480
OG0000119	TCONS_00056847.p1, TCONS_00056846.p1	CAEEL08396
OG0000120	TCONS_00056103.p1	CAEEL14397, CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053
OG0000124	TCONS_00021851.p1, TCONS_00022661.p1, TCONS_00021848.p1, TCONS_00022673.p1	CAEEL19897
OG0000124	TCONS_00010577.p1	CAEEL15384, CAEEL15382
OG0000125	TCONS_00024248.p1, TCONS_00006659.p1	CAEEL19671
OG0000126	TCONS_00044227.p1	CAEEL09101
OG0000126	TCONS_00027983.p1	CAEEL10194
OG0000127	TCONS_00021994.p1	CAEEL19207
OG0000127	TCONS_00021998.p1	CAEEL20452
OG0000127	TCONS_00045275.p1	CAEEL00838
OG0000128	TCONS_00050530.p1, TCONS_00051576.p1, TCONS_00055259.p1, TCONS_00056435.p1, TCONS_00056437.p1, TCONS_00056436.p1, TCONS_00056434.p1, TCONS_00018413.p1, TCONS_00018401.p1, TCONS_00021199.p1, TCONS_00021200.p1, TCONS_00011486.p1, TCONS_00011543.p1, TCONS_00011542.p1, TCONS_00010148.p1, TCONS_00010154.p1, TCONS_00010149.p1, TCONS_00010152.p1, TCONS_00010153.p1, TCONS_00010155.p1, TCONS_00011487.p1	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	TCONS_00021318.p1	CAEEL12325
OG0000131	TCONS_00017719.p1, TCONS_00017718.p1, TCONS_00018860.p1, TCONS_00000480.p1	CAEEL08663
OG0000132	TCONS_00012797.p1, TCONS_00012805.p1	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	TCONS_00000131.p1, TCONS_00023555.p1, TCONS_00023592.p1, TCONS_00023593.p1	CAEEL10559
OG0000137	TCONS_00046122.p1	CAEEL15802, CAEEL15801
OG0000147	TCONS_00050037.p1	CAEEL04811
OG0000147	TCONS_00016785.p1	CAEEL18488
OG0000148	TCONS_00049717.p1	CAEEL09804
OG0000149	TCONS_00032530.p1	CAEEL02847
OG0000154	TCONS_00001016.p1	CAEEL02932
OG0000155	TCONS_00044986.p1	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957
OG0000157	TCONS_00032491.p1	CAEEL00241
OG0000157	TCONS_00016380.p1	CAEEL14384, CAEEL15927, CAEEL15568, CAEEL01598, CAEEL16076, CAEEL14820, CAEEL15084, CAEEL11463
OG0000158	TCONS_00046407.p1	CAEEL20117, CAEEL08684
OG0000159	TCONS_00018160.p1, TCONS_00017948.p1	CAEEL19486
OG0000159	TCONS_00001141.p1	CAEEL02031
OG0000159	TCONS_00014999.p1, TCONS_00052198.p1	CAEEL05281
OG0000160	TCONS_00049502.p1, TCONS_00049500.p1, TCONS_00049499.p1, TCONS_00006746.p1, TCONS_00005557.p1, TCONS_00005567.p1, TCONS_00005556.p1, TCONS_00005566.p1, TCONS_00005570.p1, TCONS_00005558.p1, TCONS_00006218.p1, TCONS_00030030.p1, TCONS_00030031.p1, TCONS_00030037.p1, TCONS_00030036.p1, TCONS_00018408.p1, TCONS_00018422.p1, TCONS_00018553.p1, TCONS_00029348.p1, TCONS_00004928.p1	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	TCONS_00013883.p1, TCONS_00012644.p1, TCONS_00013888.p1, TCONS_00013889.p1	CAEEL08313
OG0000163	TCONS_00019995.p1, TCONS_00019992.p1	CAEEL20194, CAEEL08850
OG0000164	TCONS_00029061.p1, TCONS_00029304.p1, TCONS_00029305.p1, TCONS_00028530.p1, TCONS_00028531.p1, TCONS_00029699.p1, TCONS_00029060.p1	CAEEL09304
OG0000164	TCONS_00023443.p1, TCONS_00023476.p1	CAEEL05807
OG0000167	TCONS_00046658.p1	CAEEL02846
OG0000168	TCONS_00026213.p1, TCONS_00026214.p1, TCONS_00033109.p1, TCONS_00033084.p1, TCONS_00020176.p1, TCONS_00020179.p1, TCONS_00019314.p1, TCONS_00019413.p1, TCONS_00019288.p1, TCONS_00019111.p1	CAEEL10744, CAEEL09425, CAEEL11389, CAEEL18543, CAEEL05482
