Orthogroup	PFLAV	MOUSE
OG0000002	TCONS_00050428.p1, TCONS_00050118.p1	MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	MOUSE43163, MOUSE43162, MOUSE33129
OG0000002	TCONS_00048938.p1	MOUSE15413, MOUSE15412
OG0000004	TCONS_00039987.p1	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374, MOUSE30144
OG0000005	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519
OG0000005	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1	MOUSE18207, MOUSE20294, MOUSE20293, MOUSE13586, MOUSE20384, MOUSE20383, MOUSE20203, MOUSE53215, MOUSE53214, MOUSE16622, MOUSE16621, MOUSE16620
OG0000005	TCONS_00012054.p1, TCONS_00018633.p1, TCONS_00018634.p1, TCONS_00017587.p1, TCONS_00017584.p1, TCONS_00039237.p1	MOUSE03520
OG0000006	TCONS_00024046.p1	MOUSE03399
OG0000006	TCONS_00023170.p1, TCONS_00025030.p1	MOUSE48684, MOUSE48683
OG0000006	TCONS_00048904.p1	MOUSE11220
OG0000006	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1	MOUSE33561, MOUSE33562
OG0000006	TCONS_00042787.p1	MOUSE36359, MOUSE36360, MOUSE45321
OG0000006	TCONS_00021207.p1	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955
OG0000006	TCONS_00016646.p1	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673
OG0000006	TCONS_00021581.p1	MOUSE54497
OG0000006	TCONS_00023551.p1	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111
OG0000006	TCONS_00003496.p1	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	TCONS_00012810.p1	MOUSE38532, MOUSE38531
OG0000006	TCONS_00027932.p1	MOUSE10280
OG0000006	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	TCONS_00028953.p1	MOUSE19675
OG0000006	TCONS_00030792.p1	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	TCONS_00011489.p1	MOUSE08011, MOUSE15296
OG0000006	TCONS_00011491.p1	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000006	TCONS_00011052.p1	MOUSE03398
OG0000007	TCONS_00008966.p1	MOUSE09063, MOUSE49748
OG0000007	TCONS_00029574.p1	MOUSE51845, MOUSE20686
OG0000007	TCONS_00009611.p1	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	TCONS_00052518.p1	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510
OG0000007	TCONS_00052512.p1	MOUSE32557
OG0000007	TCONS_00026068.p1	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807
OG0000007	TCONS_00051149.p1	MOUSE52320
OG0000007	TCONS_00007744.p1	MOUSE13954
OG0000007	TCONS_00008968.p1	MOUSE09061
OG0000007	TCONS_00008967.p1	MOUSE09062, MOUSE49739
OG0000007	TCONS_00055417.p1	MOUSE04689, MOUSE37388
OG0000007	TCONS_00011336.p1	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	TCONS_00014249.p1	MOUSE38586, MOUSE06525
OG0000007	TCONS_00012754.p1	MOUSE06204
OG0000007	TCONS_00051990.p1, TCONS_00051989.p1	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
OG0000007	TCONS_00009689.p1	MOUSE07031, MOUSE07030
OG0000008	TCONS_00054315.p1	MOUSE25500, MOUSE17513, MOUSE17514, MOUSE33182
OG0000008	TCONS_00054316.p1	MOUSE03822, MOUSE03823
OG0000008	TCONS_00054551.p1, TCONS_00054547.p1, TCONS_00052874.p1	MOUSE25499, MOUSE25498, MOUSE25349
OG0000010	TCONS_00017958.p1	MOUSE43879
OG0000010	TCONS_00031213.p1, TCONS_00031190.p1	MOUSE22876
OG0000010	TCONS_00017962.p1, TCONS_00017965.p1, TCONS_00017966.p1, TCONS_00017964.p1	MOUSE09529
OG0000010	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1	MOUSE36610, MOUSE36609, MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888
OG0000011	TCONS_00056711.p1, TCONS_00034080.p1	MOUSE08113
OG0000012	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000012	TCONS_00041660.p1, TCONS_00041661.p1	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000012	TCONS_00032294.p1, TCONS_00039916.p1	MOUSE49050
OG0000013	TCONS_00023863.p1	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627
OG0000014	TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1	MOUSE31054, MOUSE02337, MOUSE14097, MOUSE06495, MOUSE06496, MOUSE06497, MOUSE06101, MOUSE06102, MOUSE06100
OG0000014	TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1	MOUSE31149, MOUSE31150
OG0000014	TCONS_00050449.p1, TCONS_00050450.p1, TCONS_00050447.p1, TCONS_00050443.p1, TCONS_00050441.p1, TCONS_00050444.p1, TCONS_00050448.p1, TCONS_00042641.p1, TCONS_00043962.p1, TCONS_00043963.p1, TCONS_00043964.p1, TCONS_00042645.p1, TCONS_00010921.p1, TCONS_00042643.p1	MOUSE22789, MOUSE22790, MOUSE00987
OG0000014	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686
OG0000015	TCONS_00008348.p1	MOUSE30054, MOUSE30055, MOUSE30056
OG0000015	TCONS_00043861.p1	MOUSE03176, MOUSE35079, MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500
OG0000015	TCONS_00042561.p1, TCONS_00043863.p1	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1, TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1	MOUSE48959, MOUSE48960, MOUSE15414
OG0000016	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1	MOUSE13078, MOUSE13077
OG0000016	TCONS_00003602.p1	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	TCONS_00048341.p1	MOUSE44334
OG0000016	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335
OG0000019	TCONS_00028459.p1, TCONS_00028453.p1, TCONS_00028457.p1, TCONS_00028458.p1, TCONS_00028452.p1, TCONS_00028462.p1, TCONS_00028460.p1, TCONS_00028461.p1, TCONS_00029609.p1	MOUSE41500, MOUSE41496, MOUSE41501, MOUSE41497, MOUSE41498, MOUSE41499, MOUSE46139, MOUSE46138, MOUSE46137
OG0000019	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640
OG0000019	TCONS_00042480.p1	MOUSE30063, MOUSE30064
OG0000020	TCONS_00044902.p1	MOUSE45177
OG0000020	TCONS_00055662.p1	MOUSE05499, MOUSE05500
OG0000020	TCONS_00041842.p1	MOUSE53015
OG0000020	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1	MOUSE07164
OG0000020	TCONS_00054537.p1	MOUSE33588
OG0000020	TCONS_00047850.p1	MOUSE23587, MOUSE23586
OG0000020	TCONS_00045845.p1	MOUSE26371
OG0000020	TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1	MOUSE45175, MOUSE15405, MOUSE15402
OG0000020	TCONS_00016378.p1	MOUSE24012
OG0000020	TCONS_00051401.p1	MOUSE35162
OG0000020	TCONS_00031077.p1	MOUSE09601, MOUSE09602
OG0000020	TCONS_00042754.p1	MOUSE37001, MOUSE37002
OG0000020	TCONS_00019367.p1	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	TCONS_00048454.p1	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263
OG0000021	TCONS_00007765.p1	MOUSE49041, MOUSE09998
OG0000021	TCONS_00006555.p1	MOUSE04592
OG0000021	TCONS_00016243.p1	MOUSE44445, MOUSE53773, MOUSE44446
OG0000021	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000023	TCONS_00026137.p1	MOUSE46773, MOUSE46772
OG0000023	TCONS_00004930.p1	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835
OG0000026	TCONS_00003307.p1, TCONS_00043299.p1	MOUSE34507
OG0000026	TCONS_00005841.p2	MOUSE30101
OG0000026	TCONS_00017322.p1	MOUSE12605
OG0000026	TCONS_00006376.p1, TCONS_00020194.p1, TCONS_00034547.p1, TCONS_00040975.p1, TCONS_00031948.p1, TCONS_00050896.p1, TCONS_00050897.p1, TCONS_00051268.p1, TCONS_00050105.p1, TCONS_00043670.p1, TCONS_00042712.p1	MOUSE38308, MOUSE38309
OG0000027	TCONS_00051661.p1	MOUSE18680
OG0000027	TCONS_00037910.p1, TCONS_00000070.p1, TCONS_00041506.p1, TCONS_00037953.p1, TCONS_00037911.p1, TCONS_00037954.p1, TCONS_00037955.p1, TCONS_00041505.p1, TCONS_00037956.p1, TCONS_00051662.p1, TCONS_00051534.p1, TCONS_00051531.p1, TCONS_00051545.p1, TCONS_00051542.p1, TCONS_00051540.p1, TCONS_00050429.p1, TCONS_00051539.p1, TCONS_00051538.p1, TCONS_00051546.p1, TCONS_00051544.p1, TCONS_00051543.p1, TCONS_00051530.p1, TCONS_00051529.p1, TCONS_00051660.p1, TCONS_00051659.p1, TCONS_00051657.p1, TCONS_00051550.p1, TCONS_00018215.p1, TCONS_00050742.p1, TCONS_00050164.p1, TCONS_00050163.p1, TCONS_00050166.p1, TCONS_00050169.p1, TCONS_00050160.p1, TCONS_00050162.p1, TCONS_00050173.p1, TCONS_00050168.p1	MOUSE18379, MOUSE18380, MOUSE36638, MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636
OG0000027	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1	MOUSE18678, MOUSE18679
OG0000028	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1	MOUSE30414, MOUSE30413, MOUSE51349, MOUSE51347, MOUSE51348, MOUSE47957, MOUSE12712, MOUSE29157, MOUSE29159, MOUSE47956, MOUSE47954, MOUSE47955, MOUSE26458
OG0000028	TCONS_00029777.p1, TCONS_00029776.p1	MOUSE44525
OG0000029	TCONS_00004006.p1	MOUSE43115, MOUSE43116
OG0000029	TCONS_00020525.p1	MOUSE17544, MOUSE15400
OG0000029	TCONS_00029399.p1, TCONS_00023706.p1, TCONS_00029394.p1, TCONS_00023709.p1, TCONS_00020104.p1	MOUSE26337, MOUSE23727, MOUSE29998, MOUSE16471
OG0000030	TCONS_00019673.p1	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432
OG0000030	TCONS_00042392.p1	MOUSE21340
OG0000031	TCONS_00032922.p1	MOUSE55186
OG0000031	TCONS_00005437.p1	MOUSE44530
OG0000031	TCONS_00003900.p1	MOUSE14840, MOUSE26448, MOUSE08530
OG0000031	TCONS_00002937.p1	MOUSE08528, MOUSE08527
OG0000031	TCONS_00047742.p1, TCONS_00046710.p1, TCONS_00045709.p1	MOUSE39309, MOUSE01505
OG0000031	TCONS_00041599.p1	MOUSE13006, MOUSE13005
OG0000031	TCONS_00054588.p1	MOUSE48656, MOUSE48889
OG0000031	TCONS_00042947.p1	MOUSE13007, MOUSE36274, MOUSE36271
OG0000031	TCONS_00003964.p1	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579
OG0000032	TCONS_00018159.p1	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600
OG0000032	TCONS_00035360.p1	MOUSE41899
OG0000032	TCONS_00016893.p1, TCONS_00044343.p1, TCONS_00035361.p1, TCONS_00017411.p1, TCONS_00050123.p1, TCONS_00016786.p1, TCONS_00017609.p1, TCONS_00050122.p1, TCONS_00017607.p1, TCONS_00017604.p1, TCONS_00016860.p1, TCONS_00016861.p1, TCONS_00016865.p1, TCONS_00017410.p1, TCONS_00012833.p1, TCONS_00012832.p1	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	TCONS_00045890.p1, TCONS_00018770.p1	MOUSE29123
OG0000032	TCONS_00017083.p1, TCONS_00017084.p1, TCONS_00017087.p1, TCONS_00002066.p1, TCONS_00002068.p1, TCONS_00017086.p1, TCONS_00017090.p1, TCONS_00017091.p1, TCONS_00017082.p1	MOUSE23164
OG0000034	TCONS_00007418.p1	MOUSE23593
OG0000034	TCONS_00005924.p1	MOUSE46353, MOUSE46347, MOUSE04536, MOUSE19996, MOUSE37608, MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	TCONS_00049881.p1, TCONS_00037015.p1	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	TCONS_00029638.p1	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105
OG0000034	TCONS_00037982.p1	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	TCONS_00030311.p1, TCONS_00029930.p1	MOUSE11491, MOUSE11490
OG0000034	TCONS_00037412.p1	MOUSE20059
OG0000035	TCONS_00003567.p1	MOUSE02570, MOUSE02571
OG0000035	TCONS_00041944.p1, TCONS_00028232.p1	MOUSE51376, MOUSE51375, MOUSE51377
OG0000035	TCONS_00023673.p1	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	TCONS_00024074.p1	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	TCONS_00023006.p1, TCONS_00025465.p1	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507
OG0000035	TCONS_00025514.p1	MOUSE27104
OG0000036	TCONS_00008906.p1	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	TCONS_00047867.p1, TCONS_00047868.p1	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439
OG0000036	TCONS_00004743.p1, TCONS_00047870.p1, TCONS_00047869.p1, TCONS_00052470.p1, TCONS_00042048.p1, TCONS_00042050.p1, TCONS_00042049.p1, TCONS_00043406.p1	MOUSE29724, MOUSE29725
OG0000036	TCONS_00007681.p1	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723
OG0000036	TCONS_00006290.p1	MOUSE49438
OG0000037	TCONS_00011439.p1, TCONS_00011440.p1	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306
OG0000037	TCONS_00011218.p1	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378
OG0000037	TCONS_00017535.p1	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631
OG0000037	TCONS_00016014.p1, TCONS_00024568.p1, TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1	MOUSE21441
OG0000039	TCONS_00052764.p1, TCONS_00012328.p1	MOUSE24093, MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091, MOUSE24088
OG0000039	TCONS_00053909.p1, TCONS_00044047.p1, TCONS_00008253.p1, TCONS_00044435.p1, TCONS_00042739.p1, TCONS_00042734.p1	MOUSE32704
OG0000039	TCONS_00039100.p1, TCONS_00015626.p1	MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868
OG0000039	TCONS_00003433.p1	MOUSE23387
OG0000040	TCONS_00000950.p1, TCONS_00000930.p1, TCONS_00000949.p1, TCONS_00001677.p1, TCONS_00024097.p1, TCONS_00024098.p1, TCONS_00045509.p1, TCONS_00045506.p1, TCONS_00045516.p1, TCONS_00045517.p1, TCONS_00045514.p1, TCONS_00045510.p1, TCONS_00045512.p1, TCONS_00046641.p1, TCONS_00045518.p1, TCONS_00046639.p1, TCONS_00046638.p1, TCONS_00046635.p1, TCONS_00046634.p1, TCONS_00046632.p1, TCONS_00046631.p1, TCONS_00046636.p1, TCONS_00046637.p1, TCONS_00046648.p1, TCONS_00046649.p1, TCONS_00046633.p1, TCONS_00046630.p1, TCONS_00046629.p1	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000041	TCONS_00025634.p1	MOUSE19876, MOUSE19875, MOUSE02175, MOUSE43968, MOUSE43967, MOUSE43966, MOUSE43965, MOUSE43964, MOUSE44347, MOUSE44348, MOUSE02172, MOUSE02171, MOUSE02173, MOUSE31152
OG0000041	TCONS_00024462.p1	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266
OG0000041	TCONS_00046856.p1	MOUSE28829, MOUSE21621, MOUSE06756, MOUSE06702, MOUSE13395, MOUSE28657
OG0000042	TCONS_00042309.p1	MOUSE51171
OG0000044	TCONS_00051346.p1, TCONS_00051348.p1, TCONS_00053656.p1	MOUSE35862, MOUSE46639
OG0000044	TCONS_00027232.p1	MOUSE09513, MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857, MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857, MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643
OG0000044	TCONS_00043770.p1	MOUSE36519, MOUSE03349, MOUSE38808, MOUSE38809
OG0000044	TCONS_00039839.p1, TCONS_00039841.p1, TCONS_00029905.p1	MOUSE41161, MOUSE41162
OG0000045	TCONS_00055807.p1	MOUSE25074
OG0000045	TCONS_00031741.p1, TCONS_00056517.p1, TCONS_00055323.p1, TCONS_00031742.p1	MOUSE25340, MOUSE25339, MOUSE25341
OG0000045	TCONS_00028538.p1, TCONS_00022841.p1	MOUSE17353, MOUSE07193
OG0000046	TCONS_00014287.p1, TCONS_00014285.p1	MOUSE48114, MOUSE48113
