Orthogroup	PFLAV	HUMAN
OG0000001	TCONS_00017174.p1, TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1	HUMAN10622
OG0000001	TCONS_00034555.p1, TCONS_00007091.p1	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944
OG0000001	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1	HUMAN10621, HUMAN10623
OG0000002	TCONS_00008473.p1, TCONS_00020039.p1	HUMAN22770
OG0000002	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1	HUMAN04207, HUMAN20269
OG0000002	TCONS_00050428.p1, TCONS_00050118.p1	HUMAN01080
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	HUMAN20270
OG0000004	TCONS_00039987.p1	HUMAN05919, HUMAN05921, HUMAN01911
OG0000005	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1	HUMAN23763, HUMAN23764
OG0000005	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1	HUMAN25098, HUMAN04828, HUMAN04827, HUMAN04760, HUMAN04761, HUMAN20683, HUMAN25811, HUMAN25812, HUMAN25813
OG0000006	TCONS_00025031.p1, TCONS_00038043.p1	HUMAN17033
OG0000006	TCONS_00023170.p1, TCONS_00025030.p1	HUMAN20053
OG0000006	TCONS_00048904.p1	HUMAN21060
OG0000006	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1	HUMAN00944
OG0000006	TCONS_00042787.p1	HUMAN22351, HUMAN05133
OG0000006	TCONS_00021207.p1	HUMAN21718, HUMAN29537
OG0000006	TCONS_00016646.p1	HUMAN02118, HUMAN29294
OG0000006	TCONS_00021581.p1	HUMAN29691
OG0000006	TCONS_00023551.p1	HUMAN01388, HUMAN06884, HUMAN04380
OG0000006	TCONS_00003496.p1	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640
OG0000006	TCONS_00012810.p1	HUMAN25905
OG0000006	TCONS_00027932.p1	HUMAN23524
OG0000006	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1	HUMAN03111
OG0000006	TCONS_00028953.p1	HUMAN14017
OG0000006	TCONS_00030792.p1	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	TCONS_00011489.p1	HUMAN08856, HUMAN19716
OG0000006	TCONS_00011491.p1	HUMAN08442, HUMAN17032, HUMAN15898
OG0000006	TCONS_00011052.p1	HUMAN24331
OG0000007	TCONS_00008966.p1	HUMAN24418, HUMAN11538
OG0000007	TCONS_00029574.p1	HUMAN09570, HUMAN28803
OG0000007	TCONS_00009611.p1	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	TCONS_00052518.p1	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971
OG0000007	TCONS_00052512.p1	HUMAN28936
OG0000007	TCONS_00026068.p1	HUMAN24202, HUMAN17278, HUMAN03780
OG0000007	TCONS_00051149.p1	HUMAN21567
OG0000007	TCONS_00007744.p1	HUMAN28408
OG0000007	TCONS_00008968.p1	HUMAN24416
OG0000007	TCONS_00008967.p1	HUMAN24417, HUMAN11533
OG0000007	TCONS_00055417.p1	HUMAN12258, HUMAN07103, HUMAN07102
OG0000007	TCONS_00011336.p1	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	TCONS_00014249.p1	HUMAN25936, HUMAN13634
OG0000007	TCONS_00012754.p1	HUMAN13395
OG0000007	TCONS_00051990.p1, TCONS_00051989.p1	HUMAN00818, HUMAN00819, HUMAN05935
OG0000007	TCONS_00009689.p1	HUMAN08248
OG0000008	TCONS_00054315.p1	HUMAN14538, HUMAN01095
OG0000008	TCONS_00054316.p1	HUMAN12190
OG0000008	TCONS_00054551.p1, TCONS_00054547.p1, TCONS_00052874.p1	HUMAN29384, HUMAN29385, HUMAN29383, HUMAN00569
OG0000010	TCONS_00017958.p1	HUMAN16120
OG0000010	TCONS_00031213.p1, TCONS_00031190.p1	HUMAN18382
OG0000010	TCONS_00018080.p1	HUMAN14278
OG0000010	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337
OG0000011	TCONS_00056711.p1, TCONS_00034080.p1	HUMAN08916
OG0000012	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1	HUMAN21758, HUMAN26719, HUMAN26720
OG0000012	TCONS_00041660.p1, TCONS_00041661.p1	HUMAN11190
OG0000012	TCONS_00032294.p1, TCONS_00039916.p1	HUMAN11191
OG0000013	TCONS_00023863.p1	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000014	TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1	HUMAN01436, HUMAN06713, HUMAN20148, HUMAN13605, HUMAN13607, HUMAN13308, HUMAN13309
OG0000014	TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1	HUMAN01394
OG0000014	TCONS_00050449.p1, TCONS_00050450.p1, TCONS_00050447.p1, TCONS_00050443.p1, TCONS_00050441.p1, TCONS_00050444.p1, TCONS_00050448.p1, TCONS_00042641.p1, TCONS_00043962.p1, TCONS_00043963.p1, TCONS_00043964.p1, TCONS_00042645.p1, TCONS_00010921.p1, TCONS_00042643.p1	HUMAN18336, HUMAN03159
OG0000014	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1	HUMAN25476, HUMAN30053
OG0000015	TCONS_00008348.p1	HUMAN22985
OG0000015	TCONS_00043861.p1	HUMAN24211, HUMAN00090, HUMAN24177, HUMAN22373, HUMAN09170
OG0000015	TCONS_00042561.p1, TCONS_00043863.p1	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1, TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113
OG0000015	TCONS_00028843.p1	HUMAN30169, HUMAN09177
OG0000016	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1	HUMAN11007, HUMAN11006, HUMAN21858
OG0000016	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1	HUMAN07767
OG0000016	TCONS_00003602.p1	HUMAN25103
OG0000016	TCONS_00048341.p1	HUMAN25104
OG0000016	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1	HUMAN06120, HUMAN04223
OG0000019	TCONS_00042378.p1	HUMAN06384
OG0000019	TCONS_00028459.p1, TCONS_00028453.p1, TCONS_00028457.p1, TCONS_00028458.p1, TCONS_00028452.p1, TCONS_00028462.p1, TCONS_00028460.p1, TCONS_00028461.p1, TCONS_00029609.p1	HUMAN00033, HUMAN05851, HUMAN10700, HUMAN10699, HUMAN10698
OG0000019	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277
OG0000019	TCONS_00042480.p1	HUMAN22980
OG0000020	TCONS_00044902.p1	HUMAN22329
OG0000020	TCONS_00055662.p1	HUMAN12659
OG0000020	TCONS_00041842.p1	HUMAN26061
OG0000020	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1	HUMAN08344
OG0000020	TCONS_00054537.p1	HUMAN00926
OG0000020	TCONS_00047850.p1	HUMAN02350, HUMAN02349
OG0000020	TCONS_00045845.p1	HUMAN17840
OG0000020	TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1	HUMAN05209, HUMAN21854, HUMAN21853
OG0000020	TCONS_00016378.p1	HUMAN02145
OG0000020	TCONS_00051401.p1	HUMAN00010
OG0000020	TCONS_00031077.p1	HUMAN23847
OG0000020	TCONS_00042754.p1	HUMAN22639
OG0000020	TCONS_00019367.p1	HUMAN20816
OG0000021	TCONS_00048454.p1	HUMAN30680, HUMAN30504
OG0000021	TCONS_00007765.p1	HUMAN11054, HUMAN23166
OG0000021	TCONS_00006555.p1	HUMAN12331
OG0000021	TCONS_00016243.p1	HUMAN04273, HUMAN30251
OG0000021	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1	HUMAN00882, HUMAN00880, HUMAN00881
OG0000023	TCONS_00026137.p1	HUMAN03767
OG0000023	TCONS_00004930.p1	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367
OG0000026	TCONS_00003307.p1, TCONS_00043299.p1	HUMAN00402
OG0000026	TCONS_00017322.p1	HUMAN07669, HUMAN21745
OG0000026	TCONS_00006376.p1, TCONS_00020194.p1, TCONS_00034547.p1, TCONS_00040975.p1, TCONS_00031948.p1, TCONS_00050896.p1, TCONS_00050897.p1, TCONS_00051268.p1, TCONS_00050105.p1, TCONS_00043670.p1, TCONS_00042712.p1	HUMAN26724, HUMAN26725
OG0000027	TCONS_00037910.p1, TCONS_00000070.p1, TCONS_00041506.p1, TCONS_00037953.p1, TCONS_00037911.p1, TCONS_00037954.p1, TCONS_00037955.p1, TCONS_00041505.p1, TCONS_00037956.p1, TCONS_00051662.p1, TCONS_00051534.p1, TCONS_00051531.p1, TCONS_00051545.p1, TCONS_00051542.p1, TCONS_00051540.p1, TCONS_00050429.p1, TCONS_00051539.p1, TCONS_00051538.p1, TCONS_00051546.p1, TCONS_00051544.p1, TCONS_00051543.p1, TCONS_00051530.p1, TCONS_00051529.p1, TCONS_00051660.p1, TCONS_00051659.p1, TCONS_00051657.p1, TCONS_00051550.p1, TCONS_00018215.p1, TCONS_00050742.p1, TCONS_00050164.p1, TCONS_00050163.p1, TCONS_00050166.p1, TCONS_00050169.p1, TCONS_00050160.p1, TCONS_00050162.p1, TCONS_00050173.p1, TCONS_00050168.p1	HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463, HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471
OG0000027	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1	HUMAN16847
OG0000028	TCONS_00008790.p1	HUMAN09209
OG0000028	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1	HUMAN01776, HUMAN09895, HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281, HUMAN27764, HUMAN17889
OG0000028	TCONS_00029777.p1, TCONS_00029776.p1	HUMAN09193, HUMAN09206
OG0000029	TCONS_00004006.p1	HUMAN15611
OG0000029	TCONS_00020525.p1	HUMAN24898, HUMAN21852
OG0000029	TCONS_00029399.p1, TCONS_00023706.p1, TCONS_00029394.p1, TCONS_00023709.p1, TCONS_00020104.p1	HUMAN17820, HUMAN02270, HUMAN21749, HUMAN19538
OG0000030	TCONS_00019673.p1	HUMAN01740, HUMAN28679
OG0000031	TCONS_00003900.p1	HUMAN06489, HUMAN17883, HUMAN26042
OG0000031	TCONS_00002937.p1	HUMAN26043
OG0000031	TCONS_00047742.p1, TCONS_00046710.p1, TCONS_00045709.p1	HUMAN26979, HUMAN14235
OG0000031	TCONS_00041599.p1	HUMAN07725
OG0000031	TCONS_00054588.p1	HUMAN14922, HUMAN14786
OG0000031	TCONS_00042947.p1	HUMAN07726, HUMAN22322
OG0000031	TCONS_00003964.p1	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819
OG0000032	TCONS_00018159.p1	HUMAN27902
OG0000032	TCONS_00016893.p1, TCONS_00044343.p1, TCONS_00035361.p1, TCONS_00017411.p1, TCONS_00050123.p1, TCONS_00016786.p1, TCONS_00017609.p1, TCONS_00050122.p1, TCONS_00017607.p1, TCONS_00017604.p1, TCONS_00016860.p1, TCONS_00016861.p1, TCONS_00016865.p1, TCONS_00017410.p1, TCONS_00012833.p1, TCONS_00012832.p1	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072
OG0000032	TCONS_00045890.p1, TCONS_00018770.p1	HUMAN19258
OG0000032	TCONS_00017083.p1, TCONS_00017084.p1, TCONS_00017087.p1, TCONS_00002066.p1, TCONS_00002068.p1, TCONS_00017086.p1, TCONS_00017090.p1, TCONS_00017091.p1, TCONS_00017082.p1	HUMAN23633, HUMAN23632
OG0000034	TCONS_00007418.p1	HUMAN07187
OG0000034	TCONS_00005924.p1	HUMAN10850, HUMAN11671, HUMAN07186, HUMAN11672, HUMAN11673
OG0000034	TCONS_00049881.p1, TCONS_00037015.p1	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	TCONS_00029638.p1	HUMAN01831, HUMAN13891
OG0000034	TCONS_00037982.p1	HUMAN04678
OG0000034	TCONS_00030311.p1, TCONS_00029930.p1	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	TCONS_00037412.p1	HUMAN04988
OG0000035	TCONS_00003567.p1	HUMAN06576
OG0000035	TCONS_00041944.p1, TCONS_00028232.p1	HUMAN09866
OG0000035	TCONS_00023673.p1	HUMAN06191, HUMAN03898
OG0000035	TCONS_00024074.p1	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810
OG0000035	TCONS_00023006.p1, TCONS_00025465.p1	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	TCONS_00025514.p1	HUMAN04383
OG0000036	TCONS_00008906.p1	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	TCONS_00047867.p1, TCONS_00047868.p1	HUMAN11289
OG0000036	TCONS_00004743.p1, TCONS_00047870.p1, TCONS_00047869.p1, TCONS_00052470.p1, TCONS_00042048.p1, TCONS_00042050.p1, TCONS_00042049.p1, TCONS_00043406.p1	HUMAN22872
OG0000036	TCONS_00007681.p1	HUMAN27983, HUMAN15223
OG0000037	TCONS_00011439.p1, TCONS_00011440.p1	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817
OG0000037	TCONS_00011218.p1	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000037	TCONS_00017535.p1	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	TCONS_00016014.p1, TCONS_00024568.p1, TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1	HUMAN03689
OG0000038	TCONS_00000410.p1, TCONS_00028395.p1	HUMAN18259
OG0000038	TCONS_00001544.p1	HUMAN18258
OG0000039	TCONS_00052764.p1, TCONS_00012328.p1	HUMAN02107, HUMAN02110, HUMAN02111
OG0000039	TCONS_00053909.p1, TCONS_00044047.p1, TCONS_00008253.p1, TCONS_00044435.p1, TCONS_00042739.p1, TCONS_00042734.p1	HUMAN29023
OG0000039	TCONS_00039100.p1, TCONS_00015626.p1	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450
OG0000039	TCONS_00014910.p1	HUMAN13199
OG0000040	TCONS_00045519.p1	HUMAN26641
OG0000040	TCONS_00000950.p1, TCONS_00000930.p1, TCONS_00000949.p1, TCONS_00001677.p1, TCONS_00024097.p1, TCONS_00024098.p1, TCONS_00045509.p1, TCONS_00045506.p1, TCONS_00045516.p1, TCONS_00045517.p1, TCONS_00045514.p1, TCONS_00045510.p1, TCONS_00045512.p1, TCONS_00046641.p1, TCONS_00045518.p1, TCONS_00046639.p1, TCONS_00046638.p1, TCONS_00046635.p1, TCONS_00046634.p1, TCONS_00046632.p1, TCONS_00046631.p1, TCONS_00046636.p1, TCONS_00046637.p1, TCONS_00046648.p1, TCONS_00046649.p1, TCONS_00046633.p1, TCONS_00046630.p1, TCONS_00046629.p1	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	TCONS_00025634.p1	HUMAN01392, HUMAN16072, HUMAN04227, HUMAN06826, HUMAN01391
OG0000041	TCONS_00024462.p1	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298
OG0000041	TCONS_00046856.p1	HUMAN19139, HUMAN27913, HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052
OG0000044	TCONS_00051346.p1, TCONS_00051348.p1, TCONS_00053656.p1	HUMAN22107, HUMAN27712
OG0000044	TCONS_00027232.p1	HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717
OG0000044	TCONS_00043770.p1	HUMAN22417, HUMAN24391, HUMAN07519
OG0000044	TCONS_00039839.p1, TCONS_00039841.p1, TCONS_00029905.p1	HUMAN03043
OG0000044	TCONS_00038566.p1	HUMAN24293
OG0000045	TCONS_00055807.p1	HUMAN02932
OG0000045	TCONS_00031741.p1, TCONS_00056517.p1, TCONS_00055323.p1, TCONS_00031742.p1	HUMAN29444
OG0000046	TCONS_00014287.p1, TCONS_00014285.p1	HUMAN23116
OG0000046	TCONS_00027669.p1, TCONS_00041564.p1, TCONS_00019393.p1, TCONS_00036848.p1, TCONS_00041566.p1, TCONS_00041547.p1, TCONS_00041551.p1, TCONS_00019398.p1, TCONS_00034626.p1, TCONS_00034652.p1, TCONS_00034627.p1, TCONS_00020404.p1, TCONS_00034650.p1, TCONS_00020405.p1, TCONS_00019397.p1, TCONS_00019394.p1, TCONS_00019441.p1, TCONS_00020450.p1, TCONS_00019439.p1, TCONS_00036850.p1, TCONS_00019438.p1, TCONS_00020476.p1, TCONS_00020471.p1, TCONS_00020469.p1, TCONS_00020462.p1, TCONS_00041541.p1, TCONS_00041549.p1, TCONS_00026735.p1, TCONS_00026736.p1, TCONS_00041548.p1, TCONS_00041561.p1, TCONS_00027670.p1, TCONS_00041565.p1, TCONS_00041563.p1, TCONS_00041573.p1, TCONS_00041569.p1, TCONS_00041550.p1, TCONS_00041567.p1, TCONS_00026737.p1, TCONS_00019396.p1, TCONS_00020480.p1, TCONS_00020463.p1, TCONS_00041538.p1, TCONS_00026733.p2, TCONS_00020477.p1, TCONS_00020481.p1, TCONS_00041571.p1, TCONS_00046483.p1, TCONS_00046484.p1, TCONS_00030577.p1, TCONS_00056618.p1, TCONS_00056619.p1, TCONS_00007210.p1, TCONS_00015680.p1, TCONS_00055452.p1, TCONS_00048069.p1, TCONS_00048074.p1, TCONS_00048072.p1, TCONS_00048076.p1, TCONS_00024708.p1	HUMAN29094
OG0000048	TCONS_00010205.p1, TCONS_00010206.p1, TCONS_00011599.p1	HUMAN08560, HUMAN08561
OG0000048	TCONS_00011079.p1	HUMAN16328
OG0000048	TCONS_00011575.p1	HUMAN16644
OG0000048	TCONS_00007155.p1	HUMAN11449
OG0000049	TCONS_00002242.p1	HUMAN25699, HUMAN05316
OG0000049	TCONS_00047284.p1	HUMAN20965, HUMAN26499
OG0000049	TCONS_00047286.p1	HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433
OG0000049	TCONS_00050078.p1, TCONS_00051670.p1, TCONS_00047285.p1	HUMAN26500
OG0000049	TCONS_00050873.p1	HUMAN26913
OG0000051	TCONS_00006560.p1, TCONS_00006558.p1, TCONS_00006561.p1, TCONS_00003099.p1, TCONS_00003102.p1, TCONS_00003101.p1	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000053	TCONS_00057047.p1	HUMAN01064
OG0000054	TCONS_00030209.p1	HUMAN23119
OG0000054	TCONS_00005549.p1, TCONS_00020702.p1, TCONS_00020496.p1, TCONS_00020497.p1, TCONS_00053229.p1, TCONS_00053231.p1, TCONS_00041220.p1, TCONS_00041205.p1, TCONS_00025247.p1, TCONS_00025241.p1, TCONS_00025250.p1, TCONS_00025249.p1, TCONS_00024712.p1, TCONS_00024714.p1, TCONS_00023269.p1, TCONS_00024711.p1, TCONS_00024709.p1, TCONS_00024710.p1, TCONS_00053730.p1, TCONS_00053728.p1, TCONS_00054380.p1, TCONS_00054377.p1, TCONS_00054375.p1, TCONS_00054373.p1, TCONS_00054374.p1, TCONS_00054381.p1, TCONS_00037279.p1, TCONS_00037270.p1, TCONS_00036137.p1, TCONS_00037730.p1, TCONS_00037744.p1, TCONS_00037732.p1, TCONS_00042198.p1, TCONS_00042196.p1, TCONS_00042195.p1, TCONS_00042197.p1	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964
OG0000054	TCONS_00018724.p1, TCONS_00017644.p1, TCONS_00017668.p1, TCONS_00018701.p1, TCONS_00018703.p1, TCONS_00018740.p1, TCONS_00018741.p1, TCONS_00016269.p1	HUMAN14898, HUMAN14897, HUMAN14905, HUMAN14906, HUMAN14899, HUMAN14896, HUMAN14895
OG0000056	TCONS_00053166.p1, TCONS_00054244.p1	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194
OG0000056	TCONS_00021820.p1	HUMAN14865
OG0000058	TCONS_00026611.p1	HUMAN17378, HUMAN03592
OG0000059	TCONS_00041789.p1	HUMAN21611
OG0000059	TCONS_00017293.p1	HUMAN05382, HUMAN22839, HUMAN23845
OG0000060	TCONS_00017864.p1	HUMAN25284
OG0000060	TCONS_00024431.p1	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988
OG0000061	TCONS_00055666.p1	HUMAN17964, HUMAN26554
OG0000061	TCONS_00056708.p1	HUMAN18142, HUMAN20809, HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337
OG0000061	TCONS_00056856.p1	HUMAN26138, HUMAN26137, HUMAN12821
