Orthogroup	PFLAV	NEMVE
OG0000002	TCONS_00010137.p1, TCONS_00009919.p1, TCONS_00008473.p1, TCONS_00020039.p1, TCONS_00028990.p1, TCONS_00028992.p1, TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1, TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1, TCONS_00050428.p1, TCONS_00050118.p1, TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1, TCONS_00048938.p1	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	TCONS_00029636.p1, TCONS_00031471.p1	NEMVE12390
OG0000003	TCONS_00052987.p1	NEMVE12557
OG0000003	TCONS_00043593.p1	NEMVE11871, NEMVE09819, NEMVE03353, NEMVE11465, NEMVE11466, NEMVE02682
OG0000003	TCONS_00012459.p1	NEMVE11586, NEMVE03490, NEMVE06078
OG0000003	TCONS_00053405.p1	NEMVE09862, NEMVE10187, NEMVE02664
OG0000003	TCONS_00043525.p1	NEMVE19709, NEMVE11132, NEMVE02994
OG0000003	TCONS_00054024.p1	NEMVE00066
OG0000003	TCONS_00018253.p1	NEMVE11632
OG0000003	TCONS_00006180.p1	NEMVE00533
OG0000003	TCONS_00005704.p1	NEMVE03309
OG0000003	TCONS_00057106.p1	NEMVE03140
OG0000003	TCONS_00013648.p1	NEMVE03053
OG0000003	TCONS_00019216.p1	NEMVE12156, NEMVE11117
OG0000004	TCONS_00005466.p1, TCONS_00006578.p1	NEMVE12484, NEMVE12641, NEMVE00846
OG0000004	TCONS_00028773.p1	NEMVE19262
OG0000004	TCONS_00051408.p1, TCONS_00051404.p1, TCONS_00050286.p1, TCONS_00040010.p1, TCONS_00039986.p1, TCONS_00039985.p1, TCONS_00040009.p1, TCONS_00040789.p1	NEMVE17481
OG0000004	TCONS_00039987.p1	NEMVE02378
OG0000004	TCONS_00020025.p1, TCONS_00020017.p1, TCONS_00001702.p1, TCONS_00000548.p1, TCONS_00001700.p1, TCONS_00000558.p1	NEMVE12342, NEMVE08794, NEMVE21918, NEMVE10612
OG0000005	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445
OG0000005	TCONS_00012054.p1, TCONS_00018633.p1, TCONS_00018634.p1, TCONS_00017587.p1, TCONS_00017584.p1, TCONS_00039237.p1	NEMVE21437
OG0000005	TCONS_00028033.p1, TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1	NEMVE05730
OG0000006	TCONS_00023587.p1	NEMVE06318
OG0000006	TCONS_00023170.p1, TCONS_00025030.p1	NEMVE02889
OG0000006	TCONS_00048904.p1	NEMVE10951
OG0000006	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1	NEMVE12700, NEMVE08468
OG0000006	TCONS_00056934.p1	NEMVE06918
OG0000006	TCONS_00021581.p1	NEMVE10906, NEMVE09176
OG0000006	TCONS_00023551.p1	NEMVE21901
OG0000006	TCONS_00003496.p1	NEMVE02590
OG0000006	TCONS_00012810.p1	NEMVE03392
OG0000006	TCONS_00013984.p1, TCONS_00012809.p1	NEMVE06316
OG0000006	TCONS_00021507.p1	NEMVE08216
OG0000006	TCONS_00027932.p1	NEMVE16957
OG0000006	TCONS_00027931.p1	NEMVE13593
OG0000006	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1	NEMVE02351
OG0000006	TCONS_00028953.p1	NEMVE14647
OG0000006	TCONS_00030792.p1, TCONS_00029994.p1	NEMVE04712
OG0000006	TCONS_00011489.p1	NEMVE13538
OG0000006	TCONS_00011491.p1	NEMVE09477, NEMVE18497, NEMVE09475
OG0000006	TCONS_00011052.p1	NEMVE08464
OG0000006	TCONS_00019371.p1, TCONS_00048901.p1, TCONS_00048902.p1	NEMVE22273, NEMVE03946
OG0000007	TCONS_00008966.p1	NEMVE15003
OG0000007	TCONS_00029574.p1	NEMVE14764
OG0000007	TCONS_00009611.p1	NEMVE13570
OG0000007	TCONS_00029143.p1	NEMVE08145
OG0000007	TCONS_00052518.p1	NEMVE06210
OG0000007	TCONS_00052512.p1	NEMVE02350, NEMVE21807
OG0000007	TCONS_00026068.p1	NEMVE09701, NEMVE03333
OG0000007	TCONS_00051149.p1	NEMVE03816
OG0000007	TCONS_00007744.p1, TCONS_00008968.p1, TCONS_00008967.p1	NEMVE16064
OG0000007	TCONS_00029831.p1	NEMVE02349
OG0000007	TCONS_00053632.p1	NEMVE01414, NEMVE06618
OG0000007	TCONS_00029830.p1	NEMVE09853
OG0000007	TCONS_00055417.p1	NEMVE09467
OG0000007	TCONS_00011336.p1	NEMVE03824
OG0000007	TCONS_00014249.p1	NEMVE09051
OG0000007	TCONS_00012754.p1	NEMVE03714
OG0000007	TCONS_00025375.p1	NEMVE10605
OG0000007	TCONS_00051990.p1, TCONS_00051989.p1	NEMVE09289
OG0000007	TCONS_00009689.p1	NEMVE05677
OG0000008	TCONS_00054315.p1	NEMVE06079, NEMVE05558
OG0000008	TCONS_00016587.p1, TCONS_00005048.p1	NEMVE08509, NEMVE08519, NEMVE09930
OG0000008	TCONS_00016727.p1, TCONS_00016728.p1, TCONS_00015622.p1, TCONS_00015620.p1, TCONS_00015621.p1	NEMVE02162
OG0000008	TCONS_00015623.p1	NEMVE02218, NEMVE02180, NEMVE04749, NEMVE07849
OG0000009	TCONS_00038780.p1	NEMVE07565
OG0000009	TCONS_00046982.p1	NEMVE18534
OG0000009	TCONS_00048729.p1	NEMVE09431
OG0000009	TCONS_00035089.p1	NEMVE20384
OG0000009	TCONS_00003755.p1, TCONS_00023785.p1, TCONS_00024636.p1, TCONS_00003529.p1, TCONS_00049276.p1, TCONS_00003848.p1, TCONS_00037518.p1, TCONS_00015641.p1, TCONS_00015545.p1, TCONS_00013954.p1, TCONS_00036795.p1	NEMVE06521
OG0000009	TCONS_00027666.p1, TCONS_00025442.p1, TCONS_00025851.p1, TCONS_00043074.p1, TCONS_00009542.p1	NEMVE08980
OG0000009	TCONS_00017424.p1, TCONS_00029219.p1, TCONS_00043312.p1, TCONS_00025216.p1, TCONS_00028883.p1, TCONS_00029472.p1, TCONS_00025230.p1, TCONS_00023849.p1, TCONS_00024354.p1	NEMVE09219
OG0000009	TCONS_00003938.p1, TCONS_00001483.p1, TCONS_00024219.p1, TCONS_00035162.p1, TCONS_00015854.p1, TCONS_00032573.p1, TCONS_00039462.p1, TCONS_00054445.p1, TCONS_00041833.p1, TCONS_00028866.p1, TCONS_00017705.p1, TCONS_00035198.p1, TCONS_00020473.p1, TCONS_00035090.p1, TCONS_00009406.p1, TCONS_00032577.p1, TCONS_00003937.p1, TCONS_00040217.p1, TCONS_00006910.p1, TCONS_00028935.p1, TCONS_00024506.p1, TCONS_00037020.p1, TCONS_00018133.p1, TCONS_00001741.p1, TCONS_00002573.p1, TCONS_00017823.p1, TCONS_00056063.p1, TCONS_00045896.p1, TCONS_00040680.p1, TCONS_00028635.p1, TCONS_00002534.p1, TCONS_00023726.p1, TCONS_00022144.p1, TCONS_00035789.p1, TCONS_00037803.p1, TCONS_00017368.p1, TCONS_00033541.p1, TCONS_00032350.p1, TCONS_00003513.p1, TCONS_00003621.p1, TCONS_00013253.p1, TCONS_00038414.p1, TCONS_00003514.p1, TCONS_00003620.p1, TCONS_00044347.p1	NEMVE02901
OG0000009	TCONS_00019627.p1	NEMVE03675
OG0000010	TCONS_00018080.p1	NEMVE08421
OG0000010	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063
OG0000011	TCONS_00056711.p1, TCONS_00034080.p1, TCONS_00040546.p1, TCONS_00022026.p1, TCONS_00038549.p1, TCONS_00002504.p1, TCONS_00038854.p1, TCONS_00038173.p1, TCONS_00009419.p1, TCONS_00014539.p1, TCONS_00000740.p1, TCONS_00007035.p1, TCONS_00045098.p1, TCONS_00053162.p1, TCONS_00043285.p1, TCONS_00018762.p1, TCONS_00045929.p1, TCONS_00033750.p2, TCONS_00018956.p1, TCONS_00031358.p1, TCONS_00041373.p1, TCONS_00055305.p1, TCONS_00047166.p1, TCONS_00053496.p1, TCONS_00038610.p1, TCONS_00034727.p1, TCONS_00038236.p1, TCONS_00044426.p1, TCONS_00043761.p1, TCONS_00050660.p1, TCONS_00048667.p1, TCONS_00018952.p1	NEMVE10152
OG0000011	TCONS_00034929.p1, TCONS_00004504.p1, TCONS_00005682.p1, TCONS_00015386.p1, TCONS_00033759.p1, TCONS_00033581.p1, TCONS_00025195.p1, TCONS_00051327.p1, TCONS_00035599.p1, TCONS_00050721.p1, TCONS_00004502.p1, TCONS_00051583.p1, TCONS_00054546.p1, TCONS_00038556.p1, TCONS_00002579.p1, TCONS_00020984.p3, TCONS_00034049.p1, TCONS_00046669.p1, TCONS_00029680.p1, TCONS_00036298.p1	NEMVE11104
OG0000012	TCONS_00041660.p1, TCONS_00041661.p1	NEMVE09268, NEMVE05547
OG0000012	TCONS_00014468.p1	NEMVE01141, NEMVE23855, NEMVE18011, NEMVE02074
OG0000012	TCONS_00039920.p1, TCONS_00035664.p1, TCONS_00039928.p1, TCONS_00040816.p1	NEMVE10753
OG0000013	TCONS_00023863.p1	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977
OG0000014	TCONS_00000867.p1	NEMVE05683, NEMVE23345, NEMVE10641, NEMVE03069, NEMVE02050, NEMVE14397, NEMVE01595, NEMVE16229, NEMVE09650, NEMVE18645, NEMVE16940, NEMVE17193
OG0000014	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819
OG0000014	TCONS_00018576.p1, TCONS_00018574.p1, TCONS_00018581.p1, TCONS_00000312.p1, TCONS_00001858.p1, TCONS_00017715.p1, TCONS_00017563.p1, TCONS_00017559.p1, TCONS_00017555.p1, TCONS_00017562.p1, TCONS_00017557.p1, TCONS_00018572.p1, TCONS_00017567.p1, TCONS_00017565.p1, TCONS_00017560.p1, TCONS_00017553.p1, TCONS_00017554.p1, TCONS_00018563.p1, TCONS_00017039.p1, TCONS_00017041.p1, TCONS_00017038.p1, TCONS_00016927.p1, TCONS_00053337.p1, TCONS_00054007.p1, TCONS_00017566.p1, TCONS_00017552.p1, TCONS_00017551.p1	NEMVE10866, NEMVE17722, NEMVE05756, NEMVE15955, NEMVE15452, NEMVE14131, NEMVE05653, NEMVE05088
OG0000015	TCONS_00008348.p1	NEMVE01032, NEMVE12485, NEMVE00817
OG0000015	TCONS_00043495.p1	NEMVE05324, NEMVE02429, NEMVE04966, NEMVE18055, NEMVE18768, NEMVE20100, NEMVE21922, NEMVE03454, NEMVE06696, NEMVE01531, NEMVE16715, NEMVE01580, NEMVE06889, NEMVE01713, NEMVE06874, NEMVE07446, NEMVE02999, NEMVE07669, NEMVE00606, NEMVE10760, NEMVE10763, NEMVE03039, NEMVE11855, NEMVE07220
OG0000015	TCONS_00043861.p1	NEMVE09590, NEMVE09832, NEMVE01566
OG0000015	TCONS_00017464.p1	NEMVE05993, NEMVE01063, NEMVE07996, NEMVE06161, NEMVE08296, NEMVE06180
OG0000015	TCONS_00028843.p1	NEMVE03157, NEMVE03314, NEMVE10118, NEMVE08503
OG0000016	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1	NEMVE10959
OG0000016	TCONS_00022185.p1	NEMVE05079
OG0000016	TCONS_00003602.p1	NEMVE05675
OG0000016	TCONS_00048341.p1	NEMVE01836
OG0000017	TCONS_00056547.p1, TCONS_00003153.p1, TCONS_00035681.p1	NEMVE10140
OG0000017	TCONS_00015500.p1, TCONS_00014886.p1, TCONS_00040430.p1, TCONS_00029800.p1, TCONS_00024558.p1	NEMVE12719
OG0000017	TCONS_00003294.p1, TCONS_00017646.p1, TCONS_00035188.p1	NEMVE02741
OG0000017	TCONS_00034099.p1, TCONS_00035359.p1, TCONS_00049944.p1, TCONS_00032138.p1, TCONS_00052165.p1, TCONS_00056182.p1, TCONS_00037236.p1, TCONS_00037011.p1, TCONS_00054246.p1	NEMVE21656
OG0000017	TCONS_00032137.p1, TCONS_00023416.p1, TCONS_00029799.p1, TCONS_00036445.p1, TCONS_00032247.p1, TCONS_00034587.p1, TCONS_00002336.p1, TCONS_00044273.p1, TCONS_00027912.p1, TCONS_00036791.p1, TCONS_00033854.p1, TCONS_00045605.p1, TCONS_00029380.p1, TCONS_00047331.p1	NEMVE05055, NEMVE07301, NEMVE11302, NEMVE11298, NEMVE10134
OG0000017	TCONS_00046187.p1	NEMVE09197
OG0000017	TCONS_00037010.p1	NEMVE11325
OG0000018	TCONS_00040443.p1, TCONS_00007373.p1, TCONS_00044322.p1, TCONS_00029507.p1, TCONS_00050377.p1, TCONS_00055562.p1, TCONS_00004574.p1, TCONS_00053509.p1, TCONS_00048003.p1, TCONS_00010166.p1, TCONS_00018552.p2, TCONS_00050690.p1, TCONS_00001438.p1, TCONS_00031143.p1, TCONS_00046113.p1, TCONS_00036832.p1, TCONS_00044138.p1, TCONS_00050340.p1, TCONS_00027744.p1, TCONS_00032664.p1, TCONS_00010244.p1, TCONS_00003946.p1, TCONS_00041463.p1, TCONS_00001385.p1, TCONS_00054557.p1, TCONS_00017020.p1, TCONS_00054901.p1, TCONS_00008322.p1, TCONS_00015725.p1, TCONS_00040210.p1, TCONS_00044497.p1, TCONS_00007384.p1, TCONS_00025883.p1, TCONS_00047112.p1, TCONS_00028606.p1, TCONS_00017314.p1, TCONS_00011090.p1, TCONS_00033644.p1, TCONS_00023034.p1, TCONS_00056446.p1, TCONS_00031056.p1, TCONS_00001449.p1, TCONS_00001450.p1, TCONS_00037298.p1, TCONS_00024927.p2, TCONS_00009066.p2, TCONS_00023275.p1, TCONS_00015755.p1, TCONS_00052465.p2, TCONS_00004686.p1, TCONS_00032947.p1, TCONS_00032969.p1, TCONS_00000391.p1, TCONS_00048935.p1, TCONS_00033860.p1, TCONS_00002126.p1, TCONS_00045766.p1, TCONS_00050663.p1, TCONS_00014702.p2, TCONS_00054542.p1, TCONS_00015986.p1, TCONS_00002662.p1, TCONS_00016420.p1, TCONS_00034742.p1, TCONS_00025800.p1, TCONS_00020519.p1, TCONS_00031825.p1	NEMVE07261
OG0000018	TCONS_00033069.p1, TCONS_00046063.p1, TCONS_00034452.p2, TCONS_00032574.p1, TCONS_00045936.p1, TCONS_00022055.p1, TCONS_00056724.p1, TCONS_00044128.p1, TCONS_00015747.p1, TCONS_00041407.p1, TCONS_00035049.p1, TCONS_00031144.p1	NEMVE17996
OG0000018	TCONS_00023315.p1, TCONS_00041625.p1, TCONS_00044910.p1, TCONS_00038805.p1, TCONS_00030540.p1, TCONS_00010862.p1, TCONS_00033771.p1, TCONS_00004553.p1, TCONS_00008715.p1, TCONS_00016618.p3, TCONS_00049850.p1, TCONS_00002610.p1, TCONS_00055180.p1, TCONS_00026726.p1, TCONS_00024721.p1, TCONS_00024488.p1, TCONS_00007886.p1, TCONS_00034740.p1, TCONS_00008316.p1, TCONS_00039716.p1	NEMVE12742, NEMVE12416
OG0000019	TCONS_00042378.p1	NEMVE06549
OG0000019	TCONS_00025657.p1, TCONS_00025658.p1, TCONS_00025659.p1, TCONS_00028088.p1, TCONS_00029505.p1, TCONS_00028039.p1, TCONS_00028037.p1, TCONS_00028042.p1, TCONS_00028040.p1, TCONS_00028035.p1, TCONS_00029509.p1, TCONS_00014266.p1, TCONS_00027859.p1	NEMVE19477, NEMVE18845, NEMVE09968, NEMVE08427, NEMVE18382, NEMVE10945, NEMVE18794, NEMVE16950
OG0000019	TCONS_00007298.p1, TCONS_00007301.p1, TCONS_00016343.p1, TCONS_00053172.p1, TCONS_00050837.p1, TCONS_00056903.p1, TCONS_00053134.p1, TCONS_00017582.p1, TCONS_00048059.p1	NEMVE10214
OG0000019	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1, TCONS_00042480.p1	NEMVE10489
OG0000019	TCONS_00009589.p1, TCONS_00043166.p1, TCONS_00043167.p1, TCONS_00050243.p1, TCONS_00050238.p1, TCONS_00050241.p1, TCONS_00050235.p1, TCONS_00050242.p1, TCONS_00050237.p1, TCONS_00050240.p1, TCONS_00050234.p1, TCONS_00050233.p1, TCONS_00050246.p1, TCONS_00050249.p1, TCONS_00043170.p1, TCONS_00043821.p1	NEMVE04731, NEMVE23135, NEMVE19085, NEMVE07512, NEMVE17584, NEMVE17583, NEMVE17474, NEMVE18398, NEMVE17585, NEMVE18173, NEMVE15506, NEMVE15391, NEMVE15390, NEMVE00086, NEMVE20105, NEMVE02817, NEMVE03394, NEMVE11745, NEMVE11242, NEMVE19708
OG0000020	TCONS_00007359.p1	NEMVE13603
OG0000020	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1	NEMVE05671
OG0000020	TCONS_00018790.p1	NEMVE21971
OG0000020	TCONS_00054537.p1	NEMVE18721
OG0000020	TCONS_00047850.p1	NEMVE14242
OG0000020	TCONS_00020870.p1, TCONS_00009371.p1, TCONS_00020242.p1, TCONS_00045845.p1, TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1, TCONS_00013032.p1, TCONS_00019497.p1, TCONS_00020535.p1	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862
OG0000020	TCONS_00016378.p1	NEMVE05506
OG0000020	TCONS_00051401.p1	NEMVE13577
OG0000020	TCONS_00031077.p1	NEMVE13307
OG0000020	TCONS_00042754.p1	NEMVE21746
OG0000020	TCONS_00019367.p1	NEMVE13092
OG0000020	TCONS_00041844.p1	NEMVE15151
OG0000021	TCONS_00047235.p1, TCONS_00047455.p1	NEMVE01551, NEMVE13918
OG0000021	TCONS_00025493.p1	NEMVE25647
OG0000021	TCONS_00007765.p1, TCONS_00006555.p1, TCONS_00005425.p1	NEMVE17642, NEMVE17644, NEMVE21888
OG0000021	TCONS_00005068.p1, TCONS_00005066.p1	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095
OG0000021	TCONS_00047524.p1	NEMVE11953
OG0000021	TCONS_00048529.p1, TCONS_00048461.p1, TCONS_00048530.p1, TCONS_00048462.p1, TCONS_00048631.p1, TCONS_00047352.p1, TCONS_00044070.p1, TCONS_00044077.p1, TCONS_00016243.p1, TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1	NEMVE04837
OG0000023	TCONS_00026137.p1	NEMVE01882
OG0000023	TCONS_00004930.p1	NEMVE02033, NEMVE05058, NEMVE00878
OG0000023	TCONS_00029827.p1	NEMVE13647
OG0000024	TCONS_00012484.p1, TCONS_00027765.p1, TCONS_00038533.p1, TCONS_00021650.p1, TCONS_00048791.p1, TCONS_00009471.p1, TCONS_00032712.p1, TCONS_00003610.p1, TCONS_00052950.p1, TCONS_00002982.p1, TCONS_00039372.p1, TCONS_00038234.p1, TCONS_00054692.p1, TCONS_00050908.p1, TCONS_00023169.p1, TCONS_00025719.p1, TCONS_00045646.p1, TCONS_00035184.p1, TCONS_00045722.p1, TCONS_00030268.p1, TCONS_00004208.p1, TCONS_00032509.p1, TCONS_00010300.p1, TCONS_00047059.p1, TCONS_00035457.p1, TCONS_00038640.p1, TCONS_00023412.p1, TCONS_00001559.p1, TCONS_00034182.p2, TCONS_00025224.p1, TCONS_00044140.p1	NEMVE05736, NEMVE12848
OG0000024	TCONS_00047142.p1	NEMVE03198
OG0000024	TCONS_00051104.p1	NEMVE12135
OG0000024	TCONS_00015724.p1	NEMVE11205
OG0000024	TCONS_00037951.p1	NEMVE10709, NEMVE11305, NEMVE11023, NEMVE02835, NEMVE03384
OG0000024	TCONS_00014761.p1, TCONS_00035140.p1	NEMVE09484
OG0000024	TCONS_00013372.p1, TCONS_00008306.p1, TCONS_00004499.p1, TCONS_00053773.p1, TCONS_00015293.p1, TCONS_00014607.p1, TCONS_00044135.p1, TCONS_00027908.p1, TCONS_00046572.p1, TCONS_00054777.p1, TCONS_00038797.p1, TCONS_00024402.p1, TCONS_00052142.p1, TCONS_00005657.p1, TCONS_00018571.p1, TCONS_00050704.p1, TCONS_00043577.p1, TCONS_00054855.p1, TCONS_00028368.p1, TCONS_00044844.p1, TCONS_00009651.p1, TCONS_00024337.p1	NEMVE19722
OG0000025	TCONS_00038454.p1, TCONS_00032487.p1, TCONS_00029873.p1, TCONS_00041153.p1	NEMVE03788, NEMVE03827, NEMVE02880, NEMVE02751
OG0000025	TCONS_00004530.p1	NEMVE10756, NEMVE10596, NEMVE03658, NEMVE10792
OG0000025	TCONS_00034088.p1	NEMVE00719
OG0000025	TCONS_00016476.p1	NEMVE00738
OG0000025	TCONS_00031198.p1, TCONS_00018673.p1, TCONS_00024081.p1, TCONS_00016477.p1, TCONS_00034579.p1, TCONS_00034352.p1, TCONS_00038052.p1	NEMVE02929
OG0000025	TCONS_00045036.p1	NEMVE11717
OG0000025	TCONS_00031703.p1, TCONS_00012858.p1, TCONS_00007266.p1, TCONS_00049623.p1, TCONS_00019473.p1, TCONS_00044920.p1, TCONS_00044570.p1, TCONS_00032176.p1, TCONS_00032902.p1, TCONS_00033001.p1, TCONS_00030113.p1, TCONS_00010596.p1, TCONS_00056440.p1, TCONS_00028828.p1, TCONS_00052217.p2, TCONS_00048535.p1, TCONS_00032079.p1	NEMVE03316
OG0000026	TCONS_00052076.p1	NEMVE11230, NEMVE18197, NEMVE11570
OG0000026	TCONS_00017322.p1	NEMVE24164, NEMVE07469
OG0000026	TCONS_00034547.p1, TCONS_00040975.p1	NEMVE07551
OG0000026	TCONS_00031948.p1	NEMVE15646
OG0000027	TCONS_00051548.p1, TCONS_00041508.p1, TCONS_00036982.p1, TCONS_00038160.p1, TCONS_00043390.p1, TCONS_00043383.p1, TCONS_00043158.p1, TCONS_00041772.p1, TCONS_00011611.p1, TCONS_00012601.p1, TCONS_00013252.p1, TCONS_00029640.p1, TCONS_00049177.p1, TCONS_00049160.p1, TCONS_00051661.p1, TCONS_00005542.p1, TCONS_00044321.p1, TCONS_00049112.p1, TCONS_00049113.p1, TCONS_00049119.p1, TCONS_00049120.p1, TCONS_00049114.p1, TCONS_00049115.p1, TCONS_00049116.p1, TCONS_00049117.p1, TCONS_00049118.p1, TCONS_00037910.p1, TCONS_00000070.p1, TCONS_00041506.p1, TCONS_00037953.p1, TCONS_00037911.p1, TCONS_00037954.p1, TCONS_00037955.p1, TCONS_00041505.p1, TCONS_00037956.p1, TCONS_00051662.p1, TCONS_00051534.p1, TCONS_00051531.p1, TCONS_00051545.p1, TCONS_00051542.p1, TCONS_00051540.p1, TCONS_00050429.p1, TCONS_00051539.p1, TCONS_00051538.p1, TCONS_00051546.p1, TCONS_00051544.p1, TCONS_00051543.p1, TCONS_00051530.p1, TCONS_00051529.p1, TCONS_00051660.p1, TCONS_00051659.p1, TCONS_00051657.p1, TCONS_00051550.p1, TCONS_00018215.p1, TCONS_00050742.p1, TCONS_00050164.p1, TCONS_00050163.p1, TCONS_00050166.p1, TCONS_00050169.p1, TCONS_00050160.p1, TCONS_00050162.p1, TCONS_00050173.p1, TCONS_00050168.p1, TCONS_00046417.p1, TCONS_00029543.p1, TCONS_00029536.p1, TCONS_00029538.p1, TCONS_00029541.p1, TCONS_00029535.p1, TCONS_00029534.p1, TCONS_00029762.p1, TCONS_00028479.p1, TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000028	TCONS_00002058.p1, TCONS_00002059.p1, TCONS_00042376.p1, TCONS_00051030.p1	NEMVE06026, NEMVE05984
OG0000028	TCONS_00029577.p1, TCONS_00029851.p1, TCONS_00028862.p1	NEMVE03003, NEMVE23660, NEMVE03469, NEMVE05286, NEMVE04640, NEMVE08022, NEMVE16966, NEMVE16972, NEMVE16973, NEMVE02982, NEMVE08442, NEMVE03100, NEMVE06698, NEMVE03432, NEMVE18759, NEMVE09822, NEMVE00992, NEMVE03007, NEMVE02052, NEMVE16048, NEMVE08155, NEMVE16956, NEMVE02432, NEMVE01030, NEMVE02426
