Orthogroup	PFLAV	ASTMX
OG0000014	TCONS_00050449.p1, TCONS_00050450.p1, TCONS_00050447.p1, TCONS_00050443.p1, TCONS_00050441.p1, TCONS_00050444.p1, TCONS_00050448.p1, TCONS_00042641.p1, TCONS_00043962.p1, TCONS_00043963.p1, TCONS_00043964.p1, TCONS_00042645.p1, TCONS_00010921.p1, TCONS_00042643.p1	ASTMX03251, ASTMX15832
OG0000014	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1	ASTMX12908, ASTMX11632
OG0000015	TCONS_00008348.p1	ASTMX21958, ASTMX03764, ASTMX21759
OG0000015	TCONS_00043861.p1	ASTMX01476, ASTMX13504, ASTMX02112, ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097
OG0000015	TCONS_00042561.p1, TCONS_00043863.p1	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333
OG0000015	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1, TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727
OG0000016	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1	ASTMX03544, ASTMX11482, ASTMX09207
OG0000016	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1	ASTMX00540
OG0000016	TCONS_00003602.p1	ASTMX02874
OG0000016	TCONS_00048341.p1	ASTMX17395
OG0000016	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361
OG0000018	TCONS_00052465.p2	ASTMX23058
OG0000018	TCONS_00023315.p1, TCONS_00041625.p1, TCONS_00044910.p1, TCONS_00038805.p1, TCONS_00030540.p1, TCONS_00010862.p1, TCONS_00033771.p1, TCONS_00004553.p1, TCONS_00008715.p1, TCONS_00016618.p3, TCONS_00049850.p1, TCONS_00002610.p1, TCONS_00055180.p1, TCONS_00026726.p1, TCONS_00024721.p1, TCONS_00024488.p1, TCONS_00007886.p1, TCONS_00034740.p1, TCONS_00008316.p1, TCONS_00039716.p1, TCONS_00037698.p1, TCONS_00033891.p1, TCONS_00031409.p1, TCONS_00051415.p1, TCONS_00030438.p1, TCONS_00045433.p1, TCONS_00018885.p1, TCONS_00030533.p1	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804
OG0000019	TCONS_00042378.p1	ASTMX14084, ASTMX03976, ASTMX18923
OG0000019	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156
OG0000020	TCONS_00055662.p1	ASTMX04834
OG0000020	TCONS_00041842.p1	ASTMX22432
OG0000020	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1	ASTMX12285
OG0000020	TCONS_00054537.p1	ASTMX15062
OG0000020	TCONS_00047850.p1	ASTMX14060
OG0000020	TCONS_00045845.p1	ASTMX00490, ASTMX12696
OG0000020	TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1	ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689
OG0000020	TCONS_00013032.p1	ASTMX16030
OG0000020	TCONS_00019497.p1, TCONS_00020535.p1	ASTMX16028
OG0000020	TCONS_00016378.p1	ASTMX17320
OG0000020	TCONS_00051401.p1	ASTMX05243
OG0000020	TCONS_00031077.p1	ASTMX04710, ASTMX22736
OG0000020	TCONS_00042754.p1	ASTMX07754
OG0000020	TCONS_00019367.p1	ASTMX13875
OG0000021	TCONS_00048454.p1	ASTMX04046, ASTMX15305
OG0000021	TCONS_00007765.p1	ASTMX00201, ASTMX09085
OG0000021	TCONS_00006555.p1	ASTMX02310, ASTMX16342
OG0000021	TCONS_00005068.p1, TCONS_00005066.p1	ASTMX09645
OG0000021	TCONS_00016243.p1	ASTMX21461, ASTMX05545
OG0000021	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1	ASTMX13864
OG0000023	TCONS_00026137.p1	ASTMX18896
OG0000023	TCONS_00004930.p1	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414
OG0000024	TCONS_00009471.p1, TCONS_00032712.p1, TCONS_00003610.p1, TCONS_00052950.p1, TCONS_00002982.p1, TCONS_00039372.p1, TCONS_00038234.p1, TCONS_00054692.p1, TCONS_00050908.p1, TCONS_00023169.p1, TCONS_00025719.p1, TCONS_00045646.p1, TCONS_00035184.p1, TCONS_00045722.p1, TCONS_00030268.p1, TCONS_00004208.p1	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426
OG0000026	TCONS_00017322.p1	ASTMX12978
OG0000027	TCONS_00037910.p1, TCONS_00000070.p1, TCONS_00041506.p1, TCONS_00037953.p1, TCONS_00037911.p1, TCONS_00037954.p1, TCONS_00037955.p1, TCONS_00041505.p1, TCONS_00037956.p1, TCONS_00051662.p1, TCONS_00051534.p1, TCONS_00051531.p1, TCONS_00051545.p1, TCONS_00051542.p1, TCONS_00051540.p1, TCONS_00050429.p1, TCONS_00051539.p1, TCONS_00051538.p1, TCONS_00051546.p1, TCONS_00051544.p1, TCONS_00051543.p1, TCONS_00051530.p1, TCONS_00051529.p1, TCONS_00051660.p1, TCONS_00051659.p1, TCONS_00051657.p1, TCONS_00051550.p1, TCONS_00018215.p1, TCONS_00050742.p1, TCONS_00050164.p1, TCONS_00050163.p1, TCONS_00050166.p1, TCONS_00050169.p1, TCONS_00050160.p1, TCONS_00050162.p1, TCONS_00050173.p1, TCONS_00050168.p1	ASTMX17505, ASTMX05220, ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713
OG0000027	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1	ASTMX01680
OG0000028	TCONS_00008790.p1	ASTMX18482, ASTMX18778
OG0000028	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1	ASTMX14889, ASTMX21200, ASTMX09164, ASTMX21506, ASTMX21505, ASTMX21832, ASTMX08169, ASTMX10814, ASTMX02886, ASTMX14890, ASTMX22400, ASTMX17696, ASTMX05417
OG0000028	TCONS_00029777.p1, TCONS_00029776.p1	ASTMX01721, ASTMX15155, ASTMX14212
OG0000029	TCONS_00020525.p1	ASTMX19971, ASTMX06514, ASTMX07156
OG0000029	TCONS_00029399.p1, TCONS_00023706.p1, TCONS_00029394.p1, TCONS_00023709.p1, TCONS_00020104.p1	ASTMX12065, ASTMX05431, ASTMX02396, ASTMX13116, ASTMX01708
OG0000030	TCONS_00019673.p1	ASTMX13784, ASTMX06816, ASTMX18369
OG0000030	TCONS_00054176.p1, TCONS_00054136.p1	ASTMX02378, ASTMX18821
OG0000030	TCONS_00042392.p1	ASTMX01510
OG0000031	TCONS_00032922.p1	ASTMX05563
OG0000031	TCONS_00047108.p1	ASTMX22504
OG0000031	TCONS_00005437.p1	ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065
OG0000031	TCONS_00003900.p1	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571
OG0000031	TCONS_00002937.p1	ASTMX12572
OG0000031	TCONS_00028162.p1	ASTMX06525
OG0000031	TCONS_00046710.p1, TCONS_00045709.p1	ASTMX09693, ASTMX17541
OG0000031	TCONS_00041599.p1	ASTMX03912, ASTMX00105
OG0000031	TCONS_00054588.p1	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725
OG0000031	TCONS_00042947.p1	ASTMX00107, ASTMX04176
OG0000031	TCONS_00003964.p1	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637
OG0000032	TCONS_00018159.p1	ASTMX08687, ASTMX18764
OG0000032	TCONS_00016893.p1, TCONS_00044343.p1, TCONS_00035361.p1, TCONS_00017411.p1, TCONS_00050123.p1, TCONS_00016786.p1, TCONS_00017609.p1, TCONS_00050122.p1, TCONS_00017607.p1, TCONS_00017604.p1, TCONS_00016860.p1, TCONS_00016861.p1, TCONS_00016865.p1, TCONS_00017410.p1, TCONS_00012833.p1, TCONS_00012832.p1	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018
OG0000032	TCONS_00045890.p1, TCONS_00018770.p1	ASTMX06705
OG0000034	TCONS_00005924.p1	ASTMX17089, ASTMX19482, ASTMX22636, ASTMX03521, ASTMX02060, ASTMX05967, ASTMX21201, ASTMX03519
OG0000034	TCONS_00049881.p1, TCONS_00037015.p1	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372
OG0000034	TCONS_00029638.p1	ASTMX09860, ASTMX06813, ASTMX07013
OG0000034	TCONS_00037982.p1	ASTMX12428, ASTMX02190
OG0000034	TCONS_00030311.p1, TCONS_00029930.p1	ASTMX01548
OG0000034	TCONS_00037412.p1	ASTMX02136
OG0000034	TCONS_00037414.p1, TCONS_00037417.p1	ASTMX10911
OG0000035	TCONS_00003567.p1	ASTMX17732
OG0000035	TCONS_00041944.p1, TCONS_00028232.p1	ASTMX22713, ASTMX21245
OG0000035	TCONS_00023673.p1	ASTMX07147, ASTMX00613, ASTMX06338
OG0000035	TCONS_00024074.p1	ASTMX07340, ASTMX07227, ASTMX07114
OG0000035	TCONS_00023006.p1, TCONS_00025465.p1	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545
OG0000035	TCONS_00025514.p1	ASTMX15321, ASTMX20966
OG0000036	TCONS_00008906.p1	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566
OG0000036	TCONS_00047867.p1, TCONS_00047868.p1	ASTMX19120
OG0000036	TCONS_00004743.p1, TCONS_00047870.p1, TCONS_00047869.p1, TCONS_00052470.p1, TCONS_00042048.p1, TCONS_00042050.p1, TCONS_00042049.p1, TCONS_00043406.p1	ASTMX18312, ASTMX10284
OG0000036	TCONS_00007681.p1	ASTMX01338, ASTMX03570
OG0000037	TCONS_00011439.p1, TCONS_00011440.p1	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639
OG0000037	TCONS_00011218.p1	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313
OG0000037	TCONS_00017535.p1	ASTMX15913, ASTMX19727, ASTMX16533
OG0000037	TCONS_00016014.p1, TCONS_00024568.p1, TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1	ASTMX03275
OG0000038	TCONS_00028397.p1, TCONS_00000414.p1, TCONS_00001540.p1, TCONS_00000410.p1, TCONS_00028395.p1, TCONS_00001544.p1	ASTMX05291
OG0000039	TCONS_00052764.p1, TCONS_00012328.p1	ASTMX03851
OG0000039	TCONS_00053909.p1, TCONS_00044047.p1, TCONS_00008253.p1, TCONS_00044435.p1, TCONS_00042739.p1, TCONS_00042734.p1	ASTMX16971
OG0000039	TCONS_00004192.p1, TCONS_00004101.p1, TCONS_00004104.p1, TCONS_00003026.p1, TCONS_00004103.p1, TCONS_00004274.p1, TCONS_00004273.p1, TCONS_00039100.p1, TCONS_00015626.p1	ASTMX14711
OG0000039	TCONS_00014910.p1	ASTMX10108, ASTMX07819
OG0000040	TCONS_00000950.p1, TCONS_00000930.p1, TCONS_00000949.p1, TCONS_00001677.p1, TCONS_00024097.p1, TCONS_00024098.p1, TCONS_00045509.p1, TCONS_00045506.p1, TCONS_00045516.p1, TCONS_00045517.p1, TCONS_00045514.p1, TCONS_00045510.p1, TCONS_00045512.p1, TCONS_00046641.p1, TCONS_00045518.p1, TCONS_00046639.p1, TCONS_00046638.p1, TCONS_00046635.p1, TCONS_00046634.p1, TCONS_00046632.p1, TCONS_00046631.p1, TCONS_00046636.p1, TCONS_00046637.p1, TCONS_00046648.p1, TCONS_00046649.p1, TCONS_00046633.p1, TCONS_00046630.p1, TCONS_00046629.p1	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242
OG0000041	TCONS_00025634.p1	ASTMX07372, ASTMX15974, ASTMX00243, ASTMX02219, ASTMX19274, ASTMX15919
OG0000041	TCONS_00024462.p1	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232
OG0000041	TCONS_00046856.p1	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746, ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276
OG0000043	TCONS_00023271.p1	ASTMX09533
OG0000044	TCONS_00027232.p1	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948
OG0000044	TCONS_00043770.p1	ASTMX08796, ASTMX20812, ASTMX22549, ASTMX06174, ASTMX11109
OG0000044	TCONS_00039839.p1, TCONS_00039841.p1, TCONS_00029905.p1	ASTMX07618
OG0000044	TCONS_00038566.p1	ASTMX17555, ASTMX11110
OG0000045	TCONS_00055807.p1	ASTMX14022
OG0000045	TCONS_00031741.p1, TCONS_00056517.p1, TCONS_00055323.p1, TCONS_00031742.p1	ASTMX15522, ASTMX03419
OG0000045	TCONS_00022841.p1	ASTMX16178
OG0000046	TCONS_00014287.p1, TCONS_00014285.p1	ASTMX22281
OG0000046	TCONS_00027669.p1, TCONS_00041564.p1, TCONS_00019393.p1, TCONS_00036848.p1, TCONS_00041566.p1, TCONS_00041547.p1, TCONS_00041551.p1, TCONS_00019398.p1, TCONS_00034626.p1, TCONS_00034652.p1, TCONS_00034627.p1, TCONS_00020404.p1, TCONS_00034650.p1, TCONS_00020405.p1, TCONS_00019397.p1, TCONS_00019394.p1, TCONS_00019441.p1, TCONS_00020450.p1, TCONS_00019439.p1, TCONS_00036850.p1, TCONS_00019438.p1, TCONS_00020476.p1, TCONS_00020471.p1, TCONS_00020469.p1, TCONS_00020462.p1, TCONS_00041541.p1, TCONS_00041549.p1, TCONS_00026735.p1, TCONS_00026736.p1, TCONS_00041548.p1, TCONS_00041561.p1, TCONS_00027670.p1, TCONS_00041565.p1, TCONS_00041563.p1, TCONS_00041573.p1, TCONS_00041569.p1, TCONS_00041550.p1, TCONS_00041567.p1, TCONS_00026737.p1, TCONS_00019396.p1, TCONS_00020480.p1, TCONS_00020463.p1, TCONS_00041538.p1, TCONS_00026733.p2, TCONS_00020477.p1, TCONS_00020481.p1, TCONS_00041571.p1, TCONS_00046483.p1, TCONS_00046484.p1, TCONS_00030577.p1, TCONS_00056618.p1, TCONS_00056619.p1, TCONS_00007210.p1, TCONS_00015680.p1, TCONS_00055452.p1, TCONS_00048069.p1, TCONS_00048074.p1, TCONS_00048072.p1, TCONS_00048076.p1, TCONS_00024708.p1	ASTMX11904, ASTMX11903, ASTMX12229, ASTMX06773, ASTMX12983, ASTMX09167
OG0000048	TCONS_00006570.p1	ASTMX13714
OG0000048	TCONS_00026749.p1	ASTMX03384
OG0000048	TCONS_00010205.p1, TCONS_00010206.p1, TCONS_00011599.p1	ASTMX08678, ASTMX11739, ASTMX08677, ASTMX05741, ASTMX04556
