Orthogroup	PFLAV	CAPO3
OG0000016	TCONS_00012620.p1, TCONS_00013829.p1	CAPO304360
OG0000016	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1, TCONS_00022184.p1	CAPO306803
OG0000016	TCONS_00003602.p1	CAPO303259
OG0000016	TCONS_00048341.p1, TCONS_00020809.p1, TCONS_00049735.p1, TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1	CAPO300936
OG0000023	TCONS_00026137.p1, TCONS_00004930.p1, TCONS_00029827.p1, TCONS_00006339.p1, TCONS_00006341.p1, TCONS_00023484.p1, TCONS_00023448.p1, TCONS_00023486.p1, TCONS_00023450.p1, TCONS_00023451.p1, TCONS_00023489.p1, TCONS_00006187.p1, TCONS_00006188.p1, TCONS_00006190.p1	CAPO307690
OG0000029	TCONS_00004006.p1, TCONS_00053078.p1, TCONS_00018818.p1, TCONS_00034153.p1, TCONS_00033793.p1, TCONS_00033885.p1, TCONS_00019159.p1, TCONS_00020525.p1, TCONS_00029399.p1, TCONS_00023706.p1, TCONS_00029394.p1, TCONS_00023709.p1, TCONS_00020104.p1, TCONS_00020110.p1, TCONS_00019133.p1, TCONS_00019127.p1, TCONS_00019135.p1, TCONS_00019138.p1, TCONS_00019136.p1, TCONS_00019137.p1, TCONS_00019126.p1, TCONS_00050506.p1, TCONS_00051607.p1	CAPO307131
OG0000030	TCONS_00022258.p1, TCONS_00022256.p1, TCONS_00021153.p1, TCONS_00022346.p1, TCONS_00021156.p1, TCONS_00021155.p1, TCONS_00022226.p1, TCONS_00019519.p1, TCONS_00020559.p1, TCONS_00019429.p1, TCONS_00019523.p1, TCONS_00020417.p1, TCONS_00020557.p1, TCONS_00020726.p1, TCONS_00020728.p1, TCONS_00020088.p1, TCONS_00019673.p1, TCONS_00054176.p1, TCONS_00054136.p1, TCONS_00014295.p1, TCONS_00013116.p1, TCONS_00044665.p1, TCONS_00044667.p1, TCONS_00044691.p1, TCONS_00045784.p1, TCONS_00008414.p1, TCONS_00008093.p1, TCONS_00054540.p1, TCONS_00053448.p1, TCONS_00053450.p1, TCONS_00000713.p1, TCONS_00019506.p1, TCONS_00052333.p1, TCONS_00019514.p1, TCONS_00006375.p1, TCONS_00014700.p1, TCONS_00005306.p1, TCONS_00006227.p1, TCONS_00006230.p1, TCONS_00006229.p1, TCONS_00009202.p1, TCONS_00027726.p1, TCONS_00021382.p1, TCONS_00042392.p1	CAPO305356, CAPO301638, CAPO307563
OG0000031	TCONS_00046710.p1, TCONS_00045709.p1	CAPO303729
OG0000035	TCONS_00023765.p1, TCONS_00003567.p1, TCONS_00025160.p1, TCONS_00041944.p1, TCONS_00028232.p1, TCONS_00023673.p1, TCONS_00024074.p1, TCONS_00023006.p1, TCONS_00025465.p1, TCONS_00024093.p1, TCONS_00023764.p1, TCONS_00024263.p1, TCONS_00025514.p1, TCONS_00024265.p1	CAPO307346, CAPO308354
OG0000039	TCONS_00052764.p1, TCONS_00012328.p1	CAPO306958, CAPO306959
OG0000041	TCONS_00025634.p1, TCONS_00024462.p1, TCONS_00046865.p1, TCONS_00046856.p1	CAPO308025, CAPO306861
OG0000043	TCONS_00036845.p1, TCONS_00036842.p1, TCONS_00036799.p1, TCONS_00036798.p1, TCONS_00039106.p1, TCONS_00039145.p1, TCONS_00039154.p1, TCONS_00039124.p1, TCONS_00024599.p1, TCONS_00013606.p1, TCONS_00056508.p1, TCONS_00036784.p1, TCONS_00055304.p1, TCONS_00012803.p1, TCONS_00012796.p1, TCONS_00039125.p1, TCONS_00039467.p1, TCONS_00033828.p1, TCONS_00013937.p1, TCONS_00013685.p1	CAPO308256
OG0000048	TCONS_00007155.p1	CAPO304823
OG0000049	TCONS_00030953.p1, TCONS_00002242.p1, TCONS_00047284.p1, TCONS_00047286.p1, TCONS_00051669.p1, TCONS_00004796.p1, TCONS_00010957.p1, TCONS_00026139.p1, TCONS_00027078.p1, TCONS_00027156.p1, TCONS_00000877.p1, TCONS_00053152.p1, TCONS_00049205.p1, TCONS_00030952.p1, TCONS_00050078.p1, TCONS_00051670.p1, TCONS_00047285.p1, TCONS_00050873.p1	CAPO304018
OG0000051	TCONS_00027508.p1, TCONS_00027505.p1, TCONS_00023644.p1, TCONS_00031164.p1, TCONS_00031165.p1, TCONS_00030978.p1, TCONS_00030216.p1, TCONS_00030215.p1, TCONS_00030214.p1, TCONS_00031453.p1, TCONS_00035487.p1, TCONS_00035491.p1, TCONS_00035489.p1, TCONS_00035490.p1, TCONS_00035488.p1, TCONS_00035496.p1, TCONS_00035494.p1, TCONS_00035497.p1, TCONS_00035492.p1, TCONS_00035493.p1, TCONS_00035495.p1, TCONS_00031319.p1, TCONS_00030584.p1, TCONS_00030586.p1, TCONS_00030585.p1, TCONS_00030581.p1, TCONS_00030472.p1, TCONS_00046204.p1, TCONS_00022788.p1, TCONS_00006560.p1, TCONS_00006558.p1, TCONS_00006561.p1, TCONS_00003099.p1, TCONS_00003102.p1, TCONS_00003101.p1	CAPO307809, CAPO301249
OG0000054	TCONS_00016773.p1, TCONS_00016794.p1	CAPO303213, CAPO305653
OG0000054	TCONS_00030209.p1	CAPO302015
OG0000054	TCONS_00042199.p1, TCONS_00018704.p1, TCONS_00005549.p1, TCONS_00020702.p1, TCONS_00020496.p1, TCONS_00020497.p1, TCONS_00053229.p1, TCONS_00053231.p1, TCONS_00041220.p1, TCONS_00041205.p1, TCONS_00025247.p1, TCONS_00025241.p1, TCONS_00025250.p1, TCONS_00025249.p1, TCONS_00024712.p1, TCONS_00024714.p1, TCONS_00023269.p1, TCONS_00024711.p1, TCONS_00024709.p1, TCONS_00024710.p1, TCONS_00053730.p1, TCONS_00053728.p1, TCONS_00054380.p1, TCONS_00054377.p1, TCONS_00054375.p1, TCONS_00054373.p1, TCONS_00054374.p1, TCONS_00054381.p1, TCONS_00037279.p1, TCONS_00037270.p1, TCONS_00036137.p1, TCONS_00037730.p1, TCONS_00037744.p1, TCONS_00037732.p1, TCONS_00042198.p1, TCONS_00042196.p1, TCONS_00042195.p1, TCONS_00042197.p1, TCONS_00018724.p1, TCONS_00017644.p1, TCONS_00017668.p1, TCONS_00018701.p1, TCONS_00018703.p1, TCONS_00018740.p1, TCONS_00018741.p1, TCONS_00016269.p1	CAPO303797
OG0000055	TCONS_00039362.p1	CAPO301479, CAPO301432
OG0000056	TCONS_00053166.p1, TCONS_00054244.p1, TCONS_00053454.p1, TCONS_00026564.p1, TCONS_00038076.p1, TCONS_00045071.p1, TCONS_00046165.p1, TCONS_00045790.p1, TCONS_00047959.p1, TCONS_00044031.p1, TCONS_00042257.p1, TCONS_00001168.p1, TCONS_00052036.p1, TCONS_00026565.p1, TCONS_00022926.p1, TCONS_00040340.p1, TCONS_00045037.p1, TCONS_00021098.p1, TCONS_00013528.p1, TCONS_00020180.p1, TCONS_00018939.p1, TCONS_00030699.p1, TCONS_00010652.p1, TCONS_00041109.p1, TCONS_00041081.p1, TCONS_00004439.p1, TCONS_00008334.p1, TCONS_00039436.p1, TCONS_00039456.p1, TCONS_00039457.p1, TCONS_00039458.p1, TCONS_00039435.p1, TCONS_00039437.p1, TCONS_00023625.p1, TCONS_00039433.p1, TCONS_00039455.p1, TCONS_00041769.p1, TCONS_00021820.p1	CAPO305974, CAPO306012, CAPO306941
OG0000058	TCONS_00013045.p1, TCONS_00013043.p1, TCONS_00013051.p1, TCONS_00009847.p1, TCONS_00026611.p1	CAPO305595
OG0000060	TCONS_00017864.p1, TCONS_00053675.p1, TCONS_00048146.p1, TCONS_00043676.p1, TCONS_00043673.p1, TCONS_00043674.p1, TCONS_00017793.p1, TCONS_00024431.p1	CAPO305373
OG0000062	TCONS_00029083.p1, TCONS_00048669.p1, TCONS_00048676.p1, TCONS_00029089.p1, TCONS_00048674.p1, TCONS_00029086.p1, TCONS_00029084.p1, TCONS_00048673.p1, TCONS_00007265.p1, TCONS_00015728.p1	CAPO300910
OG0000063	TCONS_00053924.p1, TCONS_00047467.p1, TCONS_00031359.p1, TCONS_00053939.p1, TCONS_00053936.p1, TCONS_00053356.p1, TCONS_00053359.p1, TCONS_00053360.p1, TCONS_00054392.p1, TCONS_00054065.p1, TCONS_00052502.p1, TCONS_00052989.p1, TCONS_00052984.p1, TCONS_00053925.p1, TCONS_00052796.p1, TCONS_00052765.p1	CAPO300270
OG0000066	TCONS_00020095.p1, TCONS_00041521.p1, TCONS_00041514.p1, TCONS_00050412.p1, TCONS_00045736.p1, TCONS_00028739.p1, TCONS_00051521.p1, TCONS_00048274.p1, TCONS_00053196.p1, TCONS_00008755.p1, TCONS_00036193.p1	CAPO308057
OG0000069	TCONS_00047572.p1	CAPO302182
OG0000069	TCONS_00012030.p1, TCONS_00013004.p1	CAPO301523, CAPO305173
OG0000079	TCONS_00021690.p1, TCONS_00021688.p1	CAPO302518
OG0000082	TCONS_00014773.p1, TCONS_00001034.p1	CAPO304738
OG0000082	TCONS_00026781.p1	CAPO306626
OG0000082	TCONS_00020512.p1, TCONS_00020502.p1, TCONS_00020508.p1, TCONS_00020507.p1, TCONS_00020510.p1, TCONS_00020504.p1, TCONS_00020506.p1, TCONS_00019234.p1	CAPO300843
OG0000082	TCONS_00056464.p1, TCONS_00055288.p1, TCONS_00000360.p1	CAPO306232
OG0000085	TCONS_00026125.p1, TCONS_00018803.p1, TCONS_00005618.p1	CAPO303061
OG0000085	TCONS_00008648.p1, TCONS_00005387.p1, TCONS_00005165.p1, TCONS_00001049.p1, TCONS_00047036.p1	CAPO303047
OG0000089	TCONS_00047764.p1, TCONS_00001898.p1, TCONS_00001897.p1, TCONS_00001895.p1, TCONS_00001894.p1, TCONS_00001900.p1, TCONS_00001893.p1, TCONS_00001891.p1, TCONS_00001115.p1, TCONS_00001118.p1, TCONS_00001440.p1, TCONS_00001899.p1, TCONS_00001902.p1, TCONS_00001421.p1, TCONS_00001437.p1, TCONS_00001424.p1, TCONS_00001422.p1, TCONS_00001439.p1, TCONS_00000308.p1, TCONS_00000885.p1, TCONS_00001430.p1, TCONS_00001436.p1, TCONS_00001432.p1, TCONS_00001418.p1, TCONS_00001913.p1, TCONS_00001909.p1, TCONS_00000886.p1	CAPO300386, CAPO300810, CAPO302098
OG0000090	TCONS_00003589.p1	CAPO304460, CAPO304458, CAPO303991
OG0000091	TCONS_00008218.p1, TCONS_00020807.p1, TCONS_00018415.p1, TCONS_00018405.p1, TCONS_00018274.p1, TCONS_00018273.p1, TCONS_00018271.p1, TCONS_00017246.p1, TCONS_00017243.p1, TCONS_00017241.p1, TCONS_00017249.p1, TCONS_00018268.p1, TCONS_00007519.p1, TCONS_00007520.p1, TCONS_00007521.p1, TCONS_00007523.p1, TCONS_00018753.p1, TCONS_00018746.p1, TCONS_00018749.p1, TCONS_00018751.p1, TCONS_00018750.p1, TCONS_00044822.p1, TCONS_00017736.p1, TCONS_00044821.p1, TCONS_00017735.p1, TCONS_00025471.p1, TCONS_00025473.p1, TCONS_00021217.p1, TCONS_00025474.p1, TCONS_00024145.p1, TCONS_00024146.p1, TCONS_00024155.p1, TCONS_00024150.p1, TCONS_00024148.p1, TCONS_00024151.p1, TCONS_00024154.p1	CAPO301134
OG0000095	TCONS_00011463.p1, TCONS_00011458.p1, TCONS_00009998.p1, TCONS_00009997.p1, TCONS_00015954.p1, TCONS_00012113.p1, TCONS_00010510.p1, TCONS_00010103.p1, TCONS_00011887.p1, TCONS_00049323.p1, TCONS_00049326.p1, TCONS_00048863.p1, TCONS_00049325.p1, TCONS_00049322.p1, TCONS_00025470.p1, TCONS_00010507.p1, TCONS_00011888.p1, TCONS_00010505.p1, TCONS_00010506.p1, TCONS_00011459.p1, TCONS_00011460.p1, TCONS_00011644.p1, TCONS_00011645.p1	CAPO301288, CAPO306046
OG0000096	TCONS_00048858.p1	CAPO301431
OG0000096	TCONS_00020336.p1	CAPO307955
OG0000096	TCONS_00028921.p1	CAPO307522
OG0000096	TCONS_00015544.p1	CAPO300294
OG0000096	TCONS_00036087.p1, TCONS_00056616.p1	CAPO307017
OG0000101	TCONS_00056808.p1, TCONS_00056811.p1, TCONS_00025663.p1, TCONS_00025661.p1, TCONS_00025662.p1, TCONS_00025660.p1, TCONS_00023914.p1, TCONS_00025841.p1, TCONS_00024449.p1, TCONS_00010988.p1, TCONS_00016046.p1, TCONS_00031251.p1, TCONS_00001509.p1, TCONS_00000382.p1, TCONS_00004266.p1, TCONS_00000321.p1, TCONS_00032606.p1, TCONS_00001480.p1, TCONS_00000320.p1, TCONS_00057195.p1, TCONS_00017056.p1, TCONS_00055572.p1	CAPO306858
OG0000103	TCONS_00013856.p1, TCONS_00012816.p1	CAPO302453
OG0000106	TCONS_00007879.p1, TCONS_00020664.p1, TCONS_00005363.p1, TCONS_00005368.p1, TCONS_00005371.p1, TCONS_00006166.p1, TCONS_00006147.p1, TCONS_00006167.p1, TCONS_00005362.p1, TCONS_00028113.p1, TCONS_00028100.p1, TCONS_00004865.p1, TCONS_00004840.p1, TCONS_00005364.p1	CAPO300017
OG0000107	TCONS_00003644.p1	CAPO301524
OG0000110	TCONS_00049057.p1, TCONS_00049040.p1, TCONS_00049039.p1, TCONS_00049056.p1, TCONS_00048547.p1, TCONS_00006425.p1, TCONS_00049058.p1, TCONS_00049041.p1, TCONS_00014571.p1, TCONS_00010334.p1, TCONS_00011731.p1	CAPO300387
OG0000119	TCONS_00056170.p1, TCONS_00056847.p1, TCONS_00056846.p1, TCONS_00055230.p1, TCONS_00055229.p1	CAPO304642
OG0000122	TCONS_00002660.p1	CAPO307824
OG0000124	TCONS_00012573.p1	CAPO304324
OG0000124	TCONS_00052233.p1	CAPO302553
OG0000126	TCONS_00021629.p1	CAPO302484
OG0000126	TCONS_00044227.p1, TCONS_00027983.p1	CAPO300572
OG0000128	TCONS_00050530.p1, TCONS_00051576.p1, TCONS_00055259.p1, TCONS_00056435.p1, TCONS_00056437.p1, TCONS_00056436.p1, TCONS_00056434.p1, TCONS_00018413.p1, TCONS_00018401.p1, TCONS_00021199.p1, TCONS_00021200.p1, TCONS_00011486.p1, TCONS_00011543.p1, TCONS_00011542.p1, TCONS_00010148.p1, TCONS_00010154.p1, TCONS_00010149.p1, TCONS_00010152.p1, TCONS_00010153.p1, TCONS_00010155.p1, TCONS_00011487.p1	CAPO306991, CAPO304956
OG0000129	TCONS_00006415.p1, TCONS_00006414.p1, TCONS_00005150.p1, TCONS_00010095.p1, TCONS_00021318.p1	CAPO303361
OG0000132	TCONS_00028790.p1, TCONS_00029766.p1, TCONS_00001666.p1, TCONS_00001667.p1	CAPO305174
OG0000137	TCONS_00046377.p1, TCONS_00046380.p1, TCONS_00046378.p1, TCONS_00001295.p1, TCONS_00048914.p1, TCONS_00045334.p1, TCONS_00008615.p1, TCONS_00007898.p1, TCONS_00008611.p1, TCONS_00046391.p1, TCONS_00046390.p1, TCONS_00026076.p1, TCONS_00027698.p1, TCONS_00000131.p1, TCONS_00023555.p1, TCONS_00023592.p1, TCONS_00023593.p1	CAPO305369
OG0000142	TCONS_00044174.p1, TCONS_00019377.p1, TCONS_00019197.p1, TCONS_00037487.p1, TCONS_00037485.p1, TCONS_00019376.p1, TCONS_00020129.p1, TCONS_00044171.p1, TCONS_00020135.p1, TCONS_00044173.p1	CAPO302031, CAPO302030
OG0000147	TCONS_00016785.p1	CAPO308132
OG0000147	TCONS_00002531.p1, TCONS_00009521.p1	CAPO304230
OG0000149	TCONS_00032530.p1, TCONS_00048601.p1, TCONS_00048599.p1, TCONS_00049265.p1, TCONS_00049267.p1, TCONS_00049292.p1, TCONS_00047468.p1, TCONS_00048654.p1, TCONS_00048603.p1, TCONS_00025254.p1, TCONS_00032533.p1, TCONS_00001855.p1, TCONS_00001516.p1, TCONS_00029992.p1, TCONS_00029991.p1	CAPO305206, CAPO306214
OG0000157	TCONS_00032491.p1	CAPO305956
OG0000157	TCONS_00012571.p1	CAPO302981
OG0000157	TCONS_00047576.p1, TCONS_00048916.p1, TCONS_00008683.p1	CAPO305824
OG0000160	TCONS_00030030.p1, TCONS_00030031.p1, TCONS_00030037.p1, TCONS_00030036.p1, TCONS_00018408.p1, TCONS_00018422.p1, TCONS_00018553.p1	CAPO301680
OG0000167	TCONS_00046658.p1, TCONS_00044971.p1, TCONS_00046914.p1, TCONS_00045568.p1, TCONS_00046913.p1, TCONS_00045569.p1	CAPO301364, CAPO303476
OG0000171	TCONS_00004994.p1, TCONS_00003980.p1, TCONS_00003979.p1, TCONS_00003982.p1, TCONS_00003978.p1, TCONS_00003981.p1, TCONS_00003983.p1, TCONS_00008416.p1, TCONS_00030867.p1	CAPO304813
OG0000174	TCONS_00007700.p1, TCONS_00031729.p1, TCONS_00031730.p1, TCONS_00031733.p1, TCONS_00055107.p1, TCONS_00049340.p1, TCONS_00055928.p1, TCONS_00007699.p1, TCONS_00009494.p1, TCONS_00020943.p1, TCONS_00057228.p1, TCONS_00057227.p1, TCONS_00056950.p1, TCONS_00032732.p1, TCONS_00032713.p1, TCONS_00032733.p1	CAPO304629
OG0000175	TCONS_00017185.p1	CAPO303513
OG0000175	TCONS_00013340.p1	CAPO303920
OG0000179	TCONS_00030795.p1	CAPO300694
OG0000179	TCONS_00029363.p1	CAPO303342
OG0000181	TCONS_00055710.p1	CAPO301108
OG0000181	TCONS_00049665.p1	CAPO302034
OG0000181	TCONS_00025678.p1	CAPO307692
OG0000181	TCONS_00054994.p1	CAPO300374
OG0000183	TCONS_00017266.p1	CAPO305638
OG0000183	TCONS_00039887.p1, TCONS_00040865.p1	CAPO302591
OG0000183	TCONS_00040868.p1	CAPO305829
OG0000184	TCONS_00016263.p1, TCONS_00016258.p1, TCONS_00016260.p1, TCONS_00016230.p1, TCONS_00016234.p1, TCONS_00016229.p1, TCONS_00016266.p1, TCONS_00040794.p1, TCONS_00016262.p1	CAPO304928
OG0000186	TCONS_00021428.p1, TCONS_00021414.p1	CAPO301875
OG0000192	TCONS_00052840.p1	CAPO304141
OG0000192	TCONS_00007537.p1, TCONS_00007532.p1, TCONS_00051737.p1	CAPO300533
OG0000192	TCONS_00014353.p1	CAPO301980
OG0000193	TCONS_00009428.p1, TCONS_00053376.p1, TCONS_00054353.p1, TCONS_00041560.p1, TCONS_00044217.p1	CAPO302628
OG0000194	TCONS_00021113.p1, TCONS_00021115.p1, TCONS_00021112.p1, TCONS_00021105.p1, TCONS_00022746.p1, TCONS_00054475.p1, TCONS_00054473.p1, TCONS_00054478.p1, TCONS_00054479.p1, TCONS_00022202.p1	CAPO305195
OG0000195	TCONS_00022853.p1, TCONS_00022924.p1, TCONS_00022472.p1, TCONS_00050953.p1, TCONS_00052055.p1, TCONS_00051871.p1, TCONS_00052104.p1, TCONS_00052117.p1, TCONS_00051714.p1	CAPO305454
OG0000201	TCONS_00014165.p1	CAPO307729
OG0000203	TCONS_00031374.p1, TCONS_00018009.p1, TCONS_00051437.p1	CAPO302139
OG0000204	TCONS_00051137.p1, TCONS_00038184.p1	CAPO303090
OG0000207	TCONS_00008213.p1	CAPO304105, CAPO304106, CAPO304714
OG0000211	TCONS_00040533.p1, TCONS_00000780.p1, TCONS_00010951.p1, TCONS_00028192.p1, TCONS_00028766.p1, TCONS_00029746.p1	CAPO306209
OG0000218	TCONS_00006721.p1, TCONS_00020361.p1, TCONS_00020359.p1, TCONS_00020360.p1, TCONS_00031236.p1, TCONS_00030350.p1, TCONS_00008329.p1, TCONS_00031233.p1, TCONS_00005607.p1, TCONS_00005606.p1, TCONS_00020097.p1, TCONS_00002827.p1	CAPO300559
OG0000220	TCONS_00031224.p1, TCONS_00030402.p1, TCONS_00030386.p1, TCONS_00028872.p1, TCONS_00031182.p1, TCONS_00031209.p1, TCONS_00030118.p1, TCONS_00030106.p1, TCONS_00030107.p1, TCONS_00030119.p1, TCONS_00030104.p1, TCONS_00030114.p1	CAPO306780, CAPO307695
OG0000221	TCONS_00004344.p1, TCONS_00003306.p1, TCONS_00051482.p1, TCONS_00015523.p1	CAPO300247
