Orthogroup	PFLAV	ORYLA
OG0000010	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1	ORYLA03275, ORYLA06010, ORYLA03414, ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309
OG0000010	TCONS_00026035.p1, TCONS_00030635.p1	ORYLA18230
OG0000011	TCONS_00056711.p1, TCONS_00034080.p1	ORYLA04501
OG0000012	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1	ORYLA07628
OG0000012	TCONS_00041660.p1, TCONS_00041661.p1	ORYLA15199
OG0000013	TCONS_00023863.p1	ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174
OG0000014	TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1	ORYLA13996, ORYLA16200, ORYLA10845, ORYLA16010, ORYLA14063, ORYLA17181, ORYLA08263
OG0000014	TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1	ORYLA15682
OG0000014	TCONS_00050449.p1, TCONS_00050450.p1, TCONS_00050447.p1, TCONS_00050443.p1, TCONS_00050441.p1, TCONS_00050444.p1, TCONS_00050448.p1, TCONS_00042641.p1, TCONS_00043962.p1, TCONS_00043963.p1, TCONS_00043964.p1, TCONS_00042645.p1, TCONS_00010921.p1, TCONS_00042643.p1	ORYLA04907
OG0000014	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1	ORYLA11600, ORYLA01088
OG0000015	TCONS_00008348.p1	ORYLA00867, ORYLA20430, ORYLA00866
OG0000015	TCONS_00043861.p1	ORYLA04638, ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753
OG0000015	TCONS_00042561.p1, TCONS_00043863.p1	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971
OG0000015	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1, TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514
OG0000016	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1	ORYLA12720, ORYLA00945
OG0000016	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1	ORYLA09921
OG0000016	TCONS_00003602.p1	ORYLA00030
OG0000016	TCONS_00048341.p1	ORYLA08665
OG0000016	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1	ORYLA11245, ORYLA15380
OG0000017	TCONS_00037236.p1	ORYLA04686
OG0000018	TCONS_00002126.p1, TCONS_00045766.p1, TCONS_00050663.p1, TCONS_00014702.p2, TCONS_00054542.p1, TCONS_00015986.p1, TCONS_00002662.p1, TCONS_00016420.p1, TCONS_00034742.p1, TCONS_00025800.p1, TCONS_00020519.p1, TCONS_00031825.p1	ORYLA02836, ORYLA14501
OG0000018	TCONS_00037698.p1, TCONS_00033891.p1, TCONS_00031409.p1, TCONS_00051415.p1, TCONS_00030438.p1, TCONS_00045433.p1, TCONS_00018885.p1, TCONS_00030533.p1	ORYLA18860, ORYLA00684, ORYLA17944
OG0000019	TCONS_00042378.p1	ORYLA16405, ORYLA07040
OG0000019	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088
OG0000020	TCONS_00055662.p1	ORYLA12531
OG0000020	TCONS_00041842.p1	ORYLA15493
OG0000020	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1	ORYLA10559
OG0000020	TCONS_00054537.p1	ORYLA06663
OG0000020	TCONS_00047850.p1	ORYLA16080
OG0000020	TCONS_00045845.p1	ORYLA09855
OG0000020	TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1	ORYLA06900, ORYLA09950
OG0000020	TCONS_00013032.p1, TCONS_00019497.p1, TCONS_00020535.p1	ORYLA16727
OG0000020	TCONS_00016378.p1	ORYLA06780
OG0000020	TCONS_00051401.p1	ORYLA15647
OG0000020	TCONS_00031077.p1	ORYLA00902
OG0000020	TCONS_00042754.p1	ORYLA02546
OG0000020	TCONS_00019367.p1	ORYLA06519
OG0000021	TCONS_00048454.p1	ORYLA20207, ORYLA15834
OG0000021	TCONS_00007765.p1	ORYLA12641, ORYLA05479
OG0000021	TCONS_00006555.p1	ORYLA03698, ORYLA17601
OG0000021	TCONS_00005068.p1, TCONS_00005066.p1	ORYLA04373
OG0000021	TCONS_00016243.p1	ORYLA12092, ORYLA14389
OG0000021	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1	ORYLA06753
OG0000023	TCONS_00026137.p1	ORYLA08126
OG0000023	TCONS_00004930.p1	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476
OG0000024	TCONS_00012484.p1, TCONS_00027765.p1, TCONS_00038533.p1, TCONS_00021650.p1, TCONS_00048791.p1, TCONS_00009471.p1, TCONS_00032712.p1, TCONS_00003610.p1, TCONS_00052950.p1, TCONS_00002982.p1, TCONS_00039372.p1, TCONS_00038234.p1, TCONS_00054692.p1, TCONS_00050908.p1, TCONS_00023169.p1, TCONS_00025719.p1, TCONS_00045646.p1, TCONS_00035184.p1, TCONS_00045722.p1, TCONS_00030268.p1, TCONS_00004208.p1, TCONS_00032509.p1, TCONS_00010300.p1, TCONS_00047059.p1, TCONS_00035457.p1, TCONS_00038640.p1, TCONS_00023412.p1, TCONS_00001559.p1, TCONS_00034182.p2, TCONS_00025224.p1, TCONS_00044140.p1	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064
OG0000024	TCONS_00053773.p1, TCONS_00015293.p1	ORYLA17936, ORYLA08736, ORYLA06589, ORYLA12747
OG0000024	TCONS_00024402.p1, TCONS_00052142.p1, TCONS_00005657.p1, TCONS_00018571.p1, TCONS_00050704.p1, TCONS_00043577.p1, TCONS_00054855.p1, TCONS_00028368.p1, TCONS_00044844.p1, TCONS_00009651.p1, TCONS_00024337.p1	ORYLA04610, ORYLA19341, ORYLA19215, ORYLA19658, ORYLA15436, ORYLA19199, ORYLA01579, ORYLA16205, ORYLA18587, ORYLA16917, ORYLA16913, ORYLA08363, ORYLA17880, ORYLA10832, ORYLA08908, ORYLA08437, ORYLA19498
OG0000026	TCONS_00017322.p1	ORYLA09539
OG0000027	TCONS_00037910.p1, TCONS_00000070.p1, TCONS_00041506.p1, TCONS_00037953.p1, TCONS_00037911.p1, TCONS_00037954.p1, TCONS_00037955.p1, TCONS_00041505.p1, TCONS_00037956.p1, TCONS_00051662.p1, TCONS_00051534.p1, TCONS_00051531.p1, TCONS_00051545.p1, TCONS_00051542.p1, TCONS_00051540.p1, TCONS_00050429.p1, TCONS_00051539.p1, TCONS_00051538.p1, TCONS_00051546.p1, TCONS_00051544.p1, TCONS_00051543.p1, TCONS_00051530.p1, TCONS_00051529.p1, TCONS_00051660.p1, TCONS_00051659.p1, TCONS_00051657.p1, TCONS_00051550.p1, TCONS_00018215.p1, TCONS_00050742.p1, TCONS_00050164.p1, TCONS_00050163.p1, TCONS_00050166.p1, TCONS_00050169.p1, TCONS_00050160.p1, TCONS_00050162.p1, TCONS_00050173.p1, TCONS_00050168.p1	ORYLA07922, ORYLA15904, ORYLA15903
OG0000027	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1	ORYLA04739
OG0000028	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623, ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414, ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684
OG0000028	TCONS_00029777.p1, TCONS_00029776.p1	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547
OG0000029	TCONS_00020525.p1	ORYLA15906
OG0000029	TCONS_00029399.p1, TCONS_00023706.p1, TCONS_00029394.p1, TCONS_00023709.p1, TCONS_00020104.p1	ORYLA08651, ORYLA09837
OG0000030	TCONS_00019673.p1	ORYLA01628, ORYLA19626, ORYLA02922
OG0000030	TCONS_00054176.p1, TCONS_00054136.p1	ORYLA07170
OG0000030	TCONS_00042392.p1	ORYLA08220
OG0000031	TCONS_00003900.p1	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771
OG0000031	TCONS_00002937.p1	ORYLA01770
OG0000031	TCONS_00028162.p1	ORYLA06561
OG0000031	TCONS_00046710.p1, TCONS_00045709.p1	ORYLA10394, ORYLA11971
OG0000031	TCONS_00041599.p1	ORYLA04591, ORYLA04917
OG0000031	TCONS_00054588.p1	ORYLA06754, ORYLA07156, ORYLA02513
OG0000031	TCONS_00042947.p1	ORYLA09501, ORYLA00346
OG0000031	TCONS_00003964.p1	ORYLA09459, ORYLA08614, ORYLA06390
OG0000032	TCONS_00018159.p1	ORYLA09076, ORYLA06417
OG0000032	TCONS_00016893.p1, TCONS_00044343.p1, TCONS_00035361.p1, TCONS_00017411.p1, TCONS_00050123.p1, TCONS_00016786.p1, TCONS_00017609.p1, TCONS_00050122.p1, TCONS_00017607.p1, TCONS_00017604.p1, TCONS_00016860.p1, TCONS_00016861.p1, TCONS_00016865.p1, TCONS_00017410.p1, TCONS_00012833.p1, TCONS_00012832.p1	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717
OG0000032	TCONS_00045890.p1, TCONS_00018770.p1	ORYLA15502
OG0000033	TCONS_00036759.p1, TCONS_00047220.p1, TCONS_00023095.p1, TCONS_00038290.p1, TCONS_00009749.p1, TCONS_00036215.p1, TCONS_00015661.p1, TCONS_00045647.p1	ORYLA01373
OG0000034	TCONS_00005924.p1	ORYLA07927, ORYLA16241, ORYLA04579, ORYLA02286, ORYLA17781
OG0000034	TCONS_00049881.p1, TCONS_00037015.p1	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558
OG0000034	TCONS_00029638.p1	ORYLA07312
OG0000034	TCONS_00037982.p1	ORYLA12339, ORYLA14860
OG0000034	TCONS_00030311.p1, TCONS_00029930.p1	ORYLA19697
OG0000034	TCONS_00037412.p1	ORYLA14655
OG0000035	TCONS_00003567.p1	ORYLA16101
OG0000035	TCONS_00041944.p1, TCONS_00028232.p1	ORYLA17474, ORYLA12588, ORYLA14952
OG0000035	TCONS_00023673.p1	ORYLA11104, ORYLA14870, ORYLA12119
OG0000035	TCONS_00024074.p1	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216
OG0000035	TCONS_00023006.p1, TCONS_00025465.p1	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268
OG0000035	TCONS_00025514.p1	ORYLA17117, ORYLA14783
OG0000036	TCONS_00008906.p1	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724
OG0000036	TCONS_00004743.p1, TCONS_00047870.p1, TCONS_00047869.p1, TCONS_00052470.p1, TCONS_00042048.p1, TCONS_00042050.p1, TCONS_00042049.p1, TCONS_00043406.p1	ORYLA20440, ORYLA11184
OG0000036	TCONS_00007681.p1	ORYLA12571
OG0000037	TCONS_00011439.p1, TCONS_00011440.p1	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058
OG0000037	TCONS_00011218.p1	ORYLA05151, ORYLA08136, ORYLA03090
OG0000037	TCONS_00017535.p1	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448
OG0000037	TCONS_00016014.p1, TCONS_00024568.p1, TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1	ORYLA04725
OG0000038	TCONS_00000411.p1	ORYLA16179
OG0000039	TCONS_00052764.p1, TCONS_00012328.p1	ORYLA13584, ORYLA13588, ORYLA13587
OG0000039	TCONS_00053909.p1, TCONS_00044047.p1, TCONS_00008253.p1, TCONS_00044435.p1, TCONS_00042739.p1, TCONS_00042734.p1	ORYLA07496
OG0000039	TCONS_00003433.p1	ORYLA16124
OG0000039	TCONS_00014910.p1	ORYLA05812, ORYLA00801, ORYLA00802
OG0000040	TCONS_00045511.p1	ORYLA18356
OG0000040	TCONS_00000950.p1, TCONS_00000930.p1, TCONS_00000949.p1, TCONS_00001677.p1, TCONS_00024097.p1, TCONS_00024098.p1, TCONS_00045509.p1, TCONS_00045506.p1, TCONS_00045516.p1, TCONS_00045517.p1, TCONS_00045514.p1, TCONS_00045510.p1, TCONS_00045512.p1, TCONS_00046641.p1, TCONS_00045518.p1, TCONS_00046639.p1, TCONS_00046638.p1, TCONS_00046635.p1, TCONS_00046634.p1, TCONS_00046632.p1, TCONS_00046631.p1, TCONS_00046636.p1, TCONS_00046637.p1, TCONS_00046648.p1, TCONS_00046649.p1, TCONS_00046633.p1, TCONS_00046630.p1, TCONS_00046629.p1	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406
OG0000041	TCONS_00025634.p1	ORYLA07969, ORYLA14839, ORYLA15678, ORYLA15677
OG0000041	TCONS_00024462.p1	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118
OG0000041	TCONS_00046856.p1	ORYLA13695, ORYLA09068, ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350
OG0000043	TCONS_00023271.p1	ORYLA03388
OG0000044	TCONS_00027232.p1	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261
OG0000044	TCONS_00043770.p1	ORYLA01028, ORYLA01286, ORYLA09105, ORYLA12800
OG0000044	TCONS_00039839.p1, TCONS_00039841.p1, TCONS_00029905.p1	ORYLA05288
OG0000044	TCONS_00038566.p1	ORYLA05174
OG0000045	TCONS_00055807.p1	ORYLA09208, ORYLA09207
OG0000045	TCONS_00031741.p1, TCONS_00056517.p1, TCONS_00055323.p1, TCONS_00031742.p1	ORYLA02935
OG0000046	TCONS_00014287.p1, TCONS_00014285.p1	ORYLA00520
OG0000046	TCONS_00027669.p1, TCONS_00041564.p1, TCONS_00019393.p1, TCONS_00036848.p1, TCONS_00041566.p1, TCONS_00041547.p1, TCONS_00041551.p1, TCONS_00019398.p1, TCONS_00034626.p1, TCONS_00034652.p1, TCONS_00034627.p1, TCONS_00020404.p1, TCONS_00034650.p1, TCONS_00020405.p1, TCONS_00019397.p1, TCONS_00019394.p1, TCONS_00019441.p1, TCONS_00020450.p1, TCONS_00019439.p1, TCONS_00036850.p1, TCONS_00019438.p1, TCONS_00020476.p1, TCONS_00020471.p1, TCONS_00020469.p1, TCONS_00020462.p1, TCONS_00041541.p1, TCONS_00041549.p1, TCONS_00026735.p1, TCONS_00026736.p1, TCONS_00041548.p1, TCONS_00041561.p1, TCONS_00027670.p1, TCONS_00041565.p1, TCONS_00041563.p1, TCONS_00041573.p1, TCONS_00041569.p1, TCONS_00041550.p1, TCONS_00041567.p1, TCONS_00026737.p1, TCONS_00019396.p1, TCONS_00020480.p1, TCONS_00020463.p1, TCONS_00041538.p1, TCONS_00026733.p2, TCONS_00020477.p1, TCONS_00020481.p1, TCONS_00041571.p1, TCONS_00046483.p1, TCONS_00046484.p1, TCONS_00030577.p1, TCONS_00056618.p1, TCONS_00056619.p1, TCONS_00007210.p1, TCONS_00015680.p1, TCONS_00055452.p1, TCONS_00048069.p1, TCONS_00048074.p1, TCONS_00048072.p1, TCONS_00048076.p1, TCONS_00024708.p1	ORYLA18815, ORYLA05911
OG0000048	TCONS_00006570.p1	ORYLA17217
OG0000048	TCONS_00026749.p1	ORYLA14101
OG0000048	TCONS_00010205.p1, TCONS_00010206.p1, TCONS_00011599.p1	ORYLA09010, ORYLA09283, ORYLA10119
OG0000048	TCONS_00009509.p1	ORYLA14965
OG0000048	TCONS_00011079.p1	ORYLA08002
OG0000048	TCONS_00011575.p1	ORYLA11420
OG0000048	TCONS_00007155.p1	ORYLA15054
OG0000049	TCONS_00002242.p1	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584
OG0000049	TCONS_00047284.p1	ORYLA13704, ORYLA13828, ORYLA15018
OG0000049	TCONS_00047286.p1	ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871
OG0000049	TCONS_00050078.p1, TCONS_00051670.p1, TCONS_00047285.p1	ORYLA14190, ORYLA14191, ORYLA11029
OG0000051	TCONS_00006560.p1, TCONS_00006558.p1, TCONS_00006561.p1, TCONS_00003099.p1, TCONS_00003102.p1, TCONS_00003101.p1	ORYLA05117
OG0000052	TCONS_00051727.p1, TCONS_00016749.p1, TCONS_00000064.p1, TCONS_00033913.p1, TCONS_00032198.p1, TCONS_00002802.p1, TCONS_00050497.p1, TCONS_00009543.p1, TCONS_00023891.p1, TCONS_00015315.p1, TCONS_00003518.p1, TCONS_00038388.p1, TCONS_00037453.p1, TCONS_00041491.p1, TCONS_00015026.p1, TCONS_00031240.p1, TCONS_00038347.p1, TCONS_00010083.p1, TCONS_00001838.p1, TCONS_00020617.p1, TCONS_00024520.p1	ORYLA18368, ORYLA18615, ORYLA19851
OG0000053	TCONS_00057047.p1	ORYLA12857
OG0000054	TCONS_00030209.p1	ORYLA00519
