Orthogroup	PFLAV	XENTR
OG0000008	TCONS_00054316.p1	XENTR18145, XENTR18144, XENTR18146, XENTR18147
OG0000008	TCONS_00054551.p1, TCONS_00054547.p1, TCONS_00052874.p1	XENTR15138, XENTR01868, XENTR01869, XENTR18973, XENTR01867, XENTR06000, XENTR06001, XENTR05999, XENTR06002, XENTR18538, XENTR06119, XENTR06121, XENTR06120, XENTR06118, XENTR06122, XENTR06117, XENTR06116, XENTR06128, XENTR06124, XENTR06123, XENTR06133, XENTR06127, XENTR06131, XENTR06132, XENTR06129, XENTR06126, XENTR06125
OG0000009	TCONS_00003938.p1, TCONS_00001483.p1	XENTR08209
OG0000009	TCONS_00028870.p1	XENTR07693
OG0000009	TCONS_00027717.p1	XENTR08321, XENTR13550
OG0000010	TCONS_00050558.p1, TCONS_00051638.p1	XENTR14832, XENTR09844, XENTR05875
OG0000010	TCONS_00018080.p1	XENTR13805
OG0000010	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1	XENTR08285, XENTR08284, XENTR12501, XENTR02618, XENTR13366, XENTR13367, XENTR13368, XENTR13360, XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667, XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359
OG0000011	TCONS_00041434.p1, TCONS_00057000.p1	XENTR06336, XENTR06335
OG0000012	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1	XENTR00246, XENTR14489, XENTR13810, XENTR10002
OG0000012	TCONS_00041660.p1, TCONS_00041661.p1	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256
OG0000013	TCONS_00023863.p1	XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527
OG0000014	TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1	XENTR01230, XENTR14320, XENTR11284, XENTR09795, XENTR13716
OG0000014	TCONS_00050449.p1, TCONS_00050450.p1, TCONS_00050447.p1, TCONS_00050443.p1, TCONS_00050441.p1, TCONS_00050444.p1, TCONS_00050448.p1, TCONS_00042641.p1, TCONS_00043962.p1, TCONS_00043963.p1, TCONS_00043964.p1, TCONS_00042645.p1, TCONS_00010921.p1, TCONS_00042643.p1	XENTR18803, XENTR09297
OG0000014	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1	XENTR09147, XENTR00681
OG0000015	TCONS_00008348.p1	XENTR05642
OG0000015	TCONS_00043861.p1	XENTR10336, XENTR08668, XENTR08442, XENTR15573, XENTR12597, XENTR03461, XENTR00415
OG0000015	TCONS_00042561.p1, TCONS_00043863.p1	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914
OG0000015	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1, TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1	XENTR13566, XENTR03288, XENTR15069
OG0000016	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1	XENTR10586, XENTR06233
OG0000016	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1	XENTR12717
OG0000016	TCONS_00003602.p1	XENTR17802
OG0000016	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1	XENTR18390
OG0000018	TCONS_00002126.p1, TCONS_00045766.p1, TCONS_00050663.p1, TCONS_00014702.p2, TCONS_00054542.p1, TCONS_00015986.p1, TCONS_00002662.p1, TCONS_00016420.p1, TCONS_00034742.p1, TCONS_00025800.p1, TCONS_00020519.p1, TCONS_00031825.p1	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010
OG0000018	TCONS_00023315.p1, TCONS_00041625.p1, TCONS_00044910.p1, TCONS_00038805.p1, TCONS_00030540.p1, TCONS_00010862.p1, TCONS_00033771.p1, TCONS_00004553.p1, TCONS_00008715.p1, TCONS_00016618.p3, TCONS_00049850.p1, TCONS_00002610.p1, TCONS_00055180.p1, TCONS_00026726.p1, TCONS_00024721.p1, TCONS_00024488.p1, TCONS_00007886.p1, TCONS_00034740.p1, TCONS_00008316.p1, TCONS_00039716.p1	XENTR19110
OG0000018	TCONS_00037698.p1, TCONS_00033891.p1, TCONS_00031409.p1, TCONS_00051415.p1, TCONS_00030438.p1, TCONS_00045433.p1, TCONS_00018885.p1, TCONS_00030533.p1	XENTR19228, XENTR16288, XENTR15347, XENTR15469
OG0000019	TCONS_00042378.p1	XENTR14707
OG0000019	TCONS_00028459.p1, TCONS_00028453.p1, TCONS_00028457.p1, TCONS_00028458.p1, TCONS_00028452.p1, TCONS_00028462.p1, TCONS_00028460.p1, TCONS_00028461.p1, TCONS_00029609.p1	XENTR11604, XENTR11606, XENTR16393, XENTR01006, XENTR01005
OG0000019	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1	XENTR07225, XENTR02749, XENTR04194
OG0000019	TCONS_00042480.p1	XENTR03535
OG0000020	TCONS_00055662.p1	XENTR18565
OG0000020	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1	XENTR14576
OG0000020	TCONS_00054537.p1	XENTR00311
OG0000020	TCONS_00047850.p1	XENTR13299
OG0000020	TCONS_00045845.p1	XENTR05411
OG0000020	TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1	XENTR15461, XENTR03248, XENTR03249
OG0000020	TCONS_00016378.p1	XENTR04697
OG0000020	TCONS_00051401.p1	XENTR08063
OG0000020	TCONS_00042754.p1	XENTR15846
OG0000020	TCONS_00019367.p1	XENTR15636
OG0000021	TCONS_00048454.p1	XENTR06809, XENTR02794
OG0000021	TCONS_00007765.p1	XENTR12641, XENTR02936
OG0000021	TCONS_00006555.p1	XENTR18096, XENTR01150
OG0000021	TCONS_00047524.p1	XENTR16121
OG0000021	TCONS_00016243.p1	XENTR13705, XENTR13394, XENTR13393
OG0000021	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1	XENTR00007
OG0000023	TCONS_00026137.p1	XENTR02017, XENTR13173, XENTR18800, XENTR18648
OG0000023	TCONS_00004930.p1	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784
OG0000023	TCONS_00006339.p1, TCONS_00006341.p1	XENTR13097
OG0000024	TCONS_00027765.p1	XENTR04811, XENTR06883, XENTR09943, XENTR01595, XENTR09488
OG0000026	TCONS_00017322.p1	XENTR07244, XENTR03079
OG0000027	TCONS_00037910.p1, TCONS_00000070.p1, TCONS_00041506.p1, TCONS_00037953.p1, TCONS_00037911.p1, TCONS_00037954.p1, TCONS_00037955.p1, TCONS_00041505.p1, TCONS_00037956.p1, TCONS_00051662.p1, TCONS_00051534.p1, TCONS_00051531.p1, TCONS_00051545.p1, TCONS_00051542.p1, TCONS_00051540.p1, TCONS_00050429.p1, TCONS_00051539.p1, TCONS_00051538.p1, TCONS_00051546.p1, TCONS_00051544.p1, TCONS_00051543.p1, TCONS_00051530.p1, TCONS_00051529.p1, TCONS_00051660.p1, TCONS_00051659.p1, TCONS_00051657.p1, TCONS_00051550.p1, TCONS_00018215.p1, TCONS_00050742.p1, TCONS_00050164.p1, TCONS_00050163.p1, TCONS_00050166.p1, TCONS_00050169.p1, TCONS_00050160.p1, TCONS_00050162.p1, TCONS_00050173.p1, TCONS_00050168.p1	XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288, XENTR11639, XENTR18028, XENTR18027, XENTR18029
OG0000027	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208
OG0000028	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1	XENTR18279, XENTR05325, XENTR05326, XENTR17548, XENTR15539, XENTR18293, XENTR17549, XENTR05379, XENTR05378
OG0000028	TCONS_00029777.p1, TCONS_00029776.p1	XENTR10277, XENTR06737
OG0000029	TCONS_00020525.p1	XENTR11755, XENTR10534
OG0000029	TCONS_00029399.p1, TCONS_00023706.p1, TCONS_00029394.p1, TCONS_00023709.p1, TCONS_00020104.p1	XENTR08766, XENTR16200, XENTR13220, XENTR01288, XENTR01283, XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883
OG0000030	TCONS_00019673.p1	XENTR18219
OG0000030	TCONS_00054176.p1, TCONS_00054136.p1	XENTR14147
OG0000030	TCONS_00042392.p1	XENTR12816
OG0000031	TCONS_00032922.p1	XENTR15116
OG0000031	TCONS_00003900.p1	XENTR08553, XENTR05384, XENTR03164
OG0000031	TCONS_00002937.p1	XENTR03163
OG0000031	TCONS_00046710.p1, TCONS_00045709.p1	XENTR00229
OG0000031	TCONS_00041599.p1	XENTR12584, XENTR00918
OG0000031	TCONS_00054588.p1	XENTR00006, XENTR16792, XENTR04300
OG0000031	TCONS_00042947.p1	XENTR00917, XENTR11778
OG0000031	TCONS_00003964.p1	XENTR09425
OG0000032	TCONS_00018159.p1	XENTR06599
OG0000032	TCONS_00016893.p1, TCONS_00044343.p1, TCONS_00035361.p1, TCONS_00017411.p1, TCONS_00050123.p1, TCONS_00016786.p1, TCONS_00017609.p1, TCONS_00050122.p1, TCONS_00017607.p1, TCONS_00017604.p1, TCONS_00016860.p1, TCONS_00016861.p1, TCONS_00016865.p1, TCONS_00017410.p1, TCONS_00012833.p1, TCONS_00012832.p1	XENTR18392, XENTR18393, XENTR06098, XENTR03124
OG0000032	TCONS_00045890.p1, TCONS_00018770.p1	XENTR17016
OG0000032	TCONS_00017083.p1, TCONS_00017084.p1, TCONS_00017087.p1, TCONS_00002066.p1, TCONS_00002068.p1, TCONS_00017086.p1, TCONS_00017090.p1, TCONS_00017091.p1, TCONS_00017082.p1	XENTR03433
OG0000034	TCONS_00005924.p1	XENTR14967, XENTR08246, XENTR04943
OG0000034	TCONS_00049881.p1, TCONS_00037015.p1	XENTR01252, XENTR11199, XENTR07072, XENTR12065
OG0000034	TCONS_00029638.p1	XENTR15456
OG0000034	TCONS_00037982.p1	XENTR10156
OG0000034	TCONS_00030311.p1, TCONS_00029930.p1	XENTR16254
OG0000034	TCONS_00037412.p1	XENTR08340
OG0000034	TCONS_00037414.p1, TCONS_00037417.p1	XENTR11637
OG0000035	TCONS_00003567.p1	XENTR05239
OG0000035	TCONS_00041944.p1, TCONS_00028232.p1	XENTR05079, XENTR05317, XENTR05866, XENTR05867
OG0000035	TCONS_00023673.p1	XENTR07648
OG0000035	TCONS_00024074.p1	XENTR17453, XENTR14129, XENTR07651, XENTR11799
OG0000035	TCONS_00023006.p1, TCONS_00025465.p1	XENTR11381, XENTR11382, XENTR12076, XENTR01605
OG0000035	TCONS_00025514.p1	XENTR13293, XENTR09857
OG0000036	TCONS_00008906.p1	XENTR07761, XENTR12415, XENTR07272
OG0000036	TCONS_00004743.p1, TCONS_00047870.p1, TCONS_00047869.p1, TCONS_00052470.p1, TCONS_00042048.p1, TCONS_00042050.p1, TCONS_00042049.p1, TCONS_00043406.p1	XENTR01038, XENTR15969
OG0000036	TCONS_00007681.p1	XENTR16237, XENTR16236, XENTR05174, XENTR07278
OG0000037	TCONS_00011439.p1, TCONS_00011440.p1	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114
OG0000037	TCONS_00011218.p1	XENTR16580, XENTR14770, XENTR03861
OG0000037	TCONS_00017535.p1	XENTR10865, XENTR10696
OG0000037	TCONS_00016014.p1, TCONS_00024568.p1, TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1	XENTR18131
OG0000038	TCONS_00001545.p1	XENTR15716, XENTR04198
OG0000038	TCONS_00028397.p1, TCONS_00000414.p1, TCONS_00001540.p1, TCONS_00000410.p1, TCONS_00028395.p1, TCONS_00001544.p1	XENTR04197, XENTR04200
OG0000039	TCONS_00052764.p1, TCONS_00012328.p1	XENTR03946, XENTR03945
OG0000039	TCONS_00053909.p1, TCONS_00044047.p1, TCONS_00008253.p1, TCONS_00044435.p1, TCONS_00042739.p1, TCONS_00042734.p1	XENTR17227
OG0000039	TCONS_00039100.p1, TCONS_00015626.p1	XENTR01241, XENTR01240, XENTR01239, XENTR01242
OG0000039	TCONS_00014910.p1	XENTR17697
OG0000040	TCONS_00000950.p1, TCONS_00000930.p1, TCONS_00000949.p1, TCONS_00001677.p1, TCONS_00024097.p1, TCONS_00024098.p1, TCONS_00045509.p1, TCONS_00045506.p1, TCONS_00045516.p1, TCONS_00045517.p1, TCONS_00045514.p1, TCONS_00045510.p1, TCONS_00045512.p1, TCONS_00046641.p1, TCONS_00045518.p1, TCONS_00046639.p1, TCONS_00046638.p1, TCONS_00046635.p1, TCONS_00046634.p1, TCONS_00046632.p1, TCONS_00046631.p1, TCONS_00046636.p1, TCONS_00046637.p1, TCONS_00046648.p1, TCONS_00046649.p1, TCONS_00046633.p1, TCONS_00046630.p1, TCONS_00046629.p1	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473
OG0000041	TCONS_00025634.p1	XENTR14135, XENTR16713, XENTR17286, XENTR13662, XENTR02569
OG0000041	TCONS_00024462.p1	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042
OG0000041	TCONS_00046856.p1	XENTR03001, XENTR09331, XENTR13929, XENTR05159, XENTR10869
OG0000043	TCONS_00023271.p1	XENTR13561, XENTR13559
OG0000044	TCONS_00027232.p1	XENTR08740, XENTR08871, XENTR02238, XENTR13100
OG0000044	TCONS_00043770.p1	XENTR05498, XENTR01628, XENTR04385, XENTR00688
OG0000044	TCONS_00039839.p1, TCONS_00039841.p1, TCONS_00029905.p1	XENTR04256
OG0000045	TCONS_00031741.p1, TCONS_00056517.p1, TCONS_00055323.p1, TCONS_00031742.p1	XENTR14513
OG0000046	TCONS_00014287.p1, TCONS_00014285.p1	XENTR04959
OG0000046	TCONS_00027669.p1, TCONS_00041564.p1, TCONS_00019393.p1, TCONS_00036848.p1, TCONS_00041566.p1, TCONS_00041547.p1, TCONS_00041551.p1, TCONS_00019398.p1, TCONS_00034626.p1, TCONS_00034652.p1, TCONS_00034627.p1, TCONS_00020404.p1, TCONS_00034650.p1, TCONS_00020405.p1, TCONS_00019397.p1, TCONS_00019394.p1, TCONS_00019441.p1, TCONS_00020450.p1, TCONS_00019439.p1, TCONS_00036850.p1, TCONS_00019438.p1, TCONS_00020476.p1, TCONS_00020471.p1, TCONS_00020469.p1, TCONS_00020462.p1, TCONS_00041541.p1, TCONS_00041549.p1, TCONS_00026735.p1, TCONS_00026736.p1, TCONS_00041548.p1, TCONS_00041561.p1, TCONS_00027670.p1, TCONS_00041565.p1, TCONS_00041563.p1, TCONS_00041573.p1, TCONS_00041569.p1, TCONS_00041550.p1, TCONS_00041567.p1, TCONS_00026737.p1, TCONS_00019396.p1, TCONS_00020480.p1, TCONS_00020463.p1, TCONS_00041538.p1, TCONS_00026733.p2, TCONS_00020477.p1, TCONS_00020481.p1, TCONS_00041571.p1, TCONS_00046483.p1, TCONS_00046484.p1, TCONS_00030577.p1, TCONS_00056618.p1, TCONS_00056619.p1, TCONS_00007210.p1, TCONS_00015680.p1, TCONS_00055452.p1, TCONS_00048069.p1, TCONS_00048074.p1, TCONS_00048072.p1, TCONS_00048076.p1, TCONS_00024708.p1	XENTR17142, XENTR08235, XENTR05674, XENTR16277
OG0000047	TCONS_00039178.p1, TCONS_00035743.p1	XENTR07962
OG0000048	TCONS_00006570.p1	XENTR01169
OG0000048	TCONS_00026749.p1	XENTR18412
OG0000048	TCONS_00011079.p1	XENTR04117
OG0000048	TCONS_00011575.p1	XENTR05160
OG0000049	TCONS_00002242.p1	XENTR00212, XENTR08482
OG0000049	TCONS_00047284.p1	XENTR07031, XENTR06401
OG0000049	TCONS_00047286.p1	XENTR01319, XENTR18684, XENTR07961, XENTR13014
OG0000049	TCONS_00050078.p1, TCONS_00051670.p1, TCONS_00047285.p1	XENTR07960
OG0000049	TCONS_00050873.p1	XENTR13015
OG0000050	TCONS_00049884.p1, TCONS_00049995.p1, TCONS_00037148.p1, TCONS_00007806.p1, TCONS_00025748.p1	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104
OG0000052	TCONS_00009543.p1	XENTR09745, XENTR16766, XENTR16795
OG0000053	TCONS_00057047.p1	XENTR00094
OG0000054	TCONS_00030209.p1	XENTR04962, XENTR04961
OG0000054	TCONS_00005549.p1, TCONS_00020702.p1, TCONS_00020496.p1, TCONS_00020497.p1, TCONS_00053229.p1, TCONS_00053231.p1, TCONS_00041220.p1, TCONS_00041205.p1, TCONS_00025247.p1, TCONS_00025241.p1, TCONS_00025250.p1, TCONS_00025249.p1, TCONS_00024712.p1, TCONS_00024714.p1, TCONS_00023269.p1, TCONS_00024711.p1, TCONS_00024709.p1, TCONS_00024710.p1, TCONS_00053730.p1, TCONS_00053728.p1, TCONS_00054380.p1, TCONS_00054377.p1, TCONS_00054375.p1, TCONS_00054373.p1, TCONS_00054374.p1, TCONS_00054381.p1, TCONS_00037279.p1, TCONS_00037270.p1, TCONS_00036137.p1, TCONS_00037730.p1, TCONS_00037744.p1, TCONS_00037732.p1, TCONS_00042198.p1, TCONS_00042196.p1, TCONS_00042195.p1, TCONS_00042197.p1	XENTR00035, XENTR00034, XENTR00033, XENTR00032
OG0000054	TCONS_00018724.p1, TCONS_00017644.p1, TCONS_00017668.p1, TCONS_00018701.p1, TCONS_00018703.p1, TCONS_00018740.p1, TCONS_00018741.p1, TCONS_00016269.p1	XENTR11898, XENTR11899, XENTR11900
OG0000056	TCONS_00053166.p1, TCONS_00054244.p1	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506
OG0000058	TCONS_00026611.p1	XENTR11839
OG0000058	TCONS_00013052.p1	XENTR16220
OG0000059	TCONS_00041789.p1	XENTR09381
OG0000059	TCONS_00017293.p1	XENTR06961, XENTR16370
OG0000060	TCONS_00017864.p1	XENTR09513
OG0000060	TCONS_00024431.p1	XENTR11489, XENTR04114, XENTR08957
OG0000061	TCONS_00055666.p1	XENTR00116, XENTR05367
OG0000061	TCONS_00056708.p1	XENTR09403, XENTR06949, XENTR06950, XENTR12872, XENTR09801, XENTR02075, XENTR01801, XENTR17074, XENTR09112, XENTR16336, XENTR06851, XENTR10614, XENTR06288
OG0000061	TCONS_00056856.p1	XENTR10609, XENTR10747
OG0000062	TCONS_00029083.p1, TCONS_00048669.p1, TCONS_00048676.p1, TCONS_00029089.p1, TCONS_00048674.p1, TCONS_00029086.p1, TCONS_00029084.p1, TCONS_00048673.p1	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496
OG0000062	TCONS_00007265.p1	XENTR09512
