TCONS_00019737	OFUSG13305.1.p1
TCONS_00053909	OFUSG13129.1.p1
TCONS_00053908	OFUSG13135.1.p1
TCONS_00025100	OFUSG07045.1.p1
TCONS_00003433	OFUSG11857.1.p1
TCONS_00024462	OFUSG07896.1.p1
TCONS_00028537	OFUSG16887.1.p1
TCONS_00006570	OFUSG15705.1.p1
TCONS_00026749	OFUSG19541.1.p1
TCONS_00011079	OFUSG11587.1.p1
TCONS_00007155	OFUSG04756.1.p1
TCONS_00030953	OFUSG22442.1.p1
TCONS_00002242	OFUSG00390.1.p1
TCONS_00047284	OFUSG06038.1.p1
TCONS_00044080	OFUSG00506.1.p1
TCONS_00021820	OFUSG00148.1.p1
TCONS_00026611	OFUSG06504.1.p1
TCONS_00012347	OFUSG07699.1.p1
TCONS_00017793	OFUSG09429.1.p1
TCONS_00053925	OFUSG20081.1.p1
TCONS_00020095	OFUSG15075.1.p1
TCONS_00036193	OFUSG14092.1.p1
TCONS_00047572	OFUSG26968.1.p1
TCONS_00008772	OFUSG26972.1.p1
TCONS_00008697	OFUSG26970.1.p1
TCONS_00023140	OFUSG26971.1.p1
TCONS_00057253	OFUSG26969.1.p1
TCONS_00000727	OFUSG01197.1.p1
TCONS_00048855	OFUSG09809.1.p1
TCONS_00029918	OFUSG10198.1.p1
TCONS_00037785	OFUSG10403.1.p1
TCONS_00003661	OFUSG16172.1.p1
TCONS_00002727	OFUSG16504.1.p1
TCONS_00048312	OFUSG06373.1.p1
TCONS_00049564	OFUSG05709.1.p1
TCONS_00049274	OFUSG19094.1.p1
TCONS_00026489	OFUSG19468.1.p1
TCONS_00032718	OFUSG21029.1.p1
TCONS_00006803	OFUSG24101.1.p1
TCONS_00026781	OFUSG05603.1.p1
TCONS_00020512	OFUSG21176.1.p1
TCONS_00018162	OFUSG20913.1.p1
TCONS_00030090	OFUSG10734.1.p1
TCONS_00005618	OFUSG17241.1.p1
TCONS_00008648	OFUSG04918.1.p1
TCONS_00005387	OFUSG15502.1.p1
TCONS_00005165	OFUSG23884.1.p1
TCONS_00021498	OFUSG13949.1.p1
TCONS_00010080	OFUSG12025.1.p1
TCONS_00037101	OFUSG00692.1.p1
TCONS_00002591	OFUSG04733.1.p1
TCONS_00012999	OFUSG18253.1.p1
TCONS_00047764	OFUSG05790.1.p1
TCONS_00015053	OFUSG07976.1.p1
TCONS_00042349	OFUSG03472.1.p1
TCONS_00046157	OFUSG17931.1.p1
TCONS_00021893	OFUSG10405.1.p1
TCONS_00045930	OFUSG03290.1.p1
TCONS_00049669	OFUSG06104.1.p1
TCONS_00020855	OFUSG14354.1.p1
TCONS_00048858	OFUSG06591.1.p1
TCONS_00020336	OFUSG12705.1.p1
TCONS_00028921	OFUSG09090.1.p1
TCONS_00015544	OFUSG08225.1.p1
TCONS_00036087	OFUSG00268.1.p1
TCONS_00047404	OFUSG03592.1.p1
TCONS_00016316	OFUSG10436.1.p1
TCONS_00040272	OFUSG02432.1.p1
TCONS_00026281	OFUSG05536.1.p1
TCONS_00034949	OFUSG09069.1.p1
TCONS_00048577	OFUSG06025.1.p1
TCONS_00007879	OFUSG20665.1.p1
TCONS_00054260	OFUSG22657.1.p1
TCONS_00008854	OFUSG05131.1.p1
TCONS_00017843	OFUSG05057.1.p1
TCONS_00009796	OFUSG24312.1.p1
TCONS_00027684	OFUSG05757.1.p1
TCONS_00012573	OFUSG17860.1.p1
TCONS_00003991	OFUSG04413.1.p1
TCONS_00021629	OFUSG13809.1.p1
TCONS_00021994	OFUSG13933.1.p1
TCONS_00021998	OFUSG14194.1.p1
TCONS_00045354	OFUSG17604.1.p1
TCONS_00013871	OFUSG10843.1.p1
TCONS_00027467	OFUSG00465.1.p1
TCONS_00008545	OFUSG05908.1.p1
TCONS_00048800	OFUSG10135.1.p1
TCONS_00030933	OFUSG09050.1.p1
TCONS_00020333	OFUSG04077.1.p1
TCONS_00050099	OFUSG26397.1.p1
TCONS_00050037	OFUSG17282.1.p1
TCONS_00014779	OFUSG26238.1.p1
TCONS_00002531	OFUSG25122.1.p1
TCONS_00032530	OFUSG16120.1.p1
TCONS_00001016	OFUSG01698.1.p1
TCONS_00000862	OFUSG22719.1.p1
TCONS_00012571	OFUSG10663.1.p1
TCONS_00048916	OFUSG06400.1.p1
TCONS_00016380	OFUSG26147.1.p1
TCONS_00015575	OFUSG07944.1.p1
TCONS_00014433	OFUSG00769.1.p1
TCONS_00001141	OFUSG00459.1.p1
TCONS_00014999	OFUSG26624.1.p1
TCONS_00028348	OFUSG09588.1.p1
TCONS_00044259	OFUSG11603.1.p1
TCONS_00056720	OFUSG14900.1.p1
TCONS_00000300	OFUSG26690.1.p1
TCONS_00046658	OFUSG13384.1.p1
TCONS_00004994	OFUSG15615.1.p1
TCONS_00030867	OFUSG10183.1.p1
TCONS_00017185	OFUSG17209.1.p1
TCONS_00013340	OFUSG17416.1.p1
TCONS_00029363	OFUSG09587.1.p1
TCONS_00055710	OFUSG16146.1.p1
TCONS_00049665	OFUSG05616.1.p1
TCONS_00025678	OFUSG21931.1.p1
TCONS_00054994	OFUSG26101.1.p1
TCONS_00007000	OFUSG19980.1.p1
TCONS_00016286	OFUSG16775.1.p1
TCONS_00056723	OFUSG16625.1.p1
TCONS_00008087	OFUSG05213.1.p1
TCONS_00021409	OFUSG21935.1.p1
TCONS_00021424	OFUSG21938.2.p2
TCONS_00021411	OFUSG09456.1.p1
TCONS_00022626	OFUSG17499.1.p1
TCONS_00031463	OFUSG18212.1.p1
TCONS_00016580	OFUSG25720.1.p1
TCONS_00022853	OFUSG14819.1.p1
TCONS_00051714	OFUSG17223.1.p1
TCONS_00006848	OFUSG15403.1.p1
TCONS_00056826	OFUSG09363.1.p1
TCONS_00056864	OFUSG15858.1.p1
TCONS_00031374	OFUSG18348.1.p1
TCONS_00051137	OFUSG26401.1.p1
TCONS_00057258	OFUSG03924.1.p1
TCONS_00032894	OFUSG01320.1.p1
TCONS_00001370	OFUSG14151.1.p1
TCONS_00052900	OFUSG23545.1.p1
TCONS_00020245	OFUSG16372.1.p1
TCONS_00021209	OFUSG24707.1.p1
TCONS_00040533	OFUSG09374.1.p1
TCONS_00000780	OFUSG00599.1.p1
TCONS_00010951	OFUSG12452.1.p1
TCONS_00028192	OFUSG19871.1.p1
TCONS_00028766	OFUSG19638.1.p1
TCONS_00029746	OFUSG20005.1.p1
TCONS_00053941	OFUSG06544.1.p1
TCONS_00029101	OFUSG26534.1.p1
TCONS_00055571	OFUSG16437.1.p1
TCONS_00007455	OFUSG22300.1.p1
TCONS_00014870	OFUSG25465.1.p1
TCONS_00017969	OFUSG20552.1.p1
TCONS_00041151	OFUSG06127.1.p1
TCONS_00035917	OFUSG06839.1.p1
TCONS_00055969	OFUSG07024.1.p1
TCONS_00000511	OFUSG24660.1.p1
TCONS_00050196	OFUSG21204.1.p1
TCONS_00032809	OFUSG04324.1.p1
TCONS_00039495	OFUSG09583.1.p1
TCONS_00039211	OFUSG04186.1.p1
TCONS_00015961	OFUSG07066.1.p1
TCONS_00009913	OFUSG11917.1.p1
TCONS_00010222	OFUSG11356.1.p1
TCONS_00048892	OFUSG05664.1.p1
TCONS_00026041	OFUSG19110.1.p1
TCONS_00012941	OFUSG10195.1.p1
TCONS_00055333	OFUSG04149.1.p1
TCONS_00056936	OFUSG24272.1.p1
TCONS_00011913	OFUSG25290.1.p1
TCONS_00010522	OFUSG11670.1.p1
TCONS_00017292	OFUSG23401.1.p1
TCONS_00006176	OFUSG15024.1.p1
TCONS_00018452	OFUSG13439.1.p1
TCONS_00004938	OFUSG15740.1.p1
TCONS_00030524	OFUSG18419.1.p1
TCONS_00022393	OFUSG24620.1.p1
TCONS_00000870	OFUSG00468.1.p1
TCONS_00015123	OFUSG07844.1.p1
TCONS_00027175	OFUSG05597.1.p1
TCONS_00027170	OFUSG18708.1.p1
TCONS_00046666	OFUSG26052.1.p1
TCONS_00052670	OFUSG26476.1.p1
TCONS_00051360	OFUSG01309.1.p1
TCONS_00018785	OFUSG12769.1.p1
TCONS_00017749	OFUSG23699.1.p1
TCONS_00053984	OFUSG17374.1.p1
TCONS_00052913	OFUSG20928.1.p1
TCONS_00023655	OFUSG07765.1.p1
TCONS_00012101	OFUSG11601.1.p1
TCONS_00054325	OFUSG26348.1.p1
TCONS_00020516	OFUSG04744.1.p1
TCONS_00044885	OFUSG21181.1.p1
TCONS_00022103	OFUSG06315.1.p1
TCONS_00006916	OFUSG04766.1.p1
TCONS_00042989	OFUSG03253.1.p1
TCONS_00057177	OFUSG01976.1.p1
TCONS_00049715	OFUSG19461.1.p1
TCONS_00003441	OFUSG21784.1.p1
TCONS_00013898	OFUSG10583.1.p1
TCONS_00007411	OFUSG08393.1.p1
TCONS_00047539	OFUSG05830.1.p1
TCONS_00020935	OFUSG20216.1.p1
TCONS_00014167	OFUSG18181.1.p1
TCONS_00013819	OFUSG10598.1.p1
TCONS_00028086	OFUSG09739.1.p1
TCONS_00022862	OFUSG13897.1.p1
TCONS_00042682	OFUSG03227.1.p1
TCONS_00050469	OFUSG21288.1.p1
TCONS_00047575	OFUSG06254.1.p1
TCONS_00030421	OFUSG10765.1.p1
TCONS_00029806	OFUSG09113.1.p1
TCONS_00048792	OFUSG05708.1.p1
TCONS_00054648	OFUSG23367.1.p1
TCONS_00042983	OFUSG03674.1.p1
TCONS_00022869	OFUSG26848.1.p1
TCONS_00004750	OFUSG15391.1.p1
TCONS_00016624	OFUSG25439.1.p1
TCONS_00019989	OFUSG12798.1.p1
TCONS_00014515	OFUSG02102.1.p1
TCONS_00041707	OFUSG13133.1.p1
TCONS_00014899	OFUSG19866.1.p1
TCONS_00006807	OFUSG24006.1.p1
TCONS_00007127	OFUSG22814.1.p1
TCONS_00052926	OFUSG09133.1.p1
TCONS_00006468	OFUSG15297.1.p1
TCONS_00016741	OFUSG22752.1.p1
TCONS_00018385	OFUSG23310.1.p1
TCONS_00031434	OFUSG10344.1.p1
TCONS_00009756	OFUSG12159.1.p1
TCONS_00055099	OFUSG25663.1.p1
TCONS_00056016	OFUSG25409.1.p1
TCONS_00056445	OFUSG09355.1.p1
TCONS_00048191	OFUSG06172.1.p1
TCONS_00037242	OFUSG00333.1.p1
TCONS_00046701	OFUSG01349.1.p1
TCONS_00013824	OFUSG10615.1.p1
TCONS_00056135	OFUSG09916.1.p1
TCONS_00022587	OFUSG06554.1.p1
TCONS_00002093	OFUSG01612.1.p1
TCONS_00044124	OFUSG03577.1.p1
TCONS_00055414	OFUSG07884.1.p1
TCONS_00006362	OFUSG15217.1.p1
TCONS_00014579	OFUSG11079.1.p1
TCONS_00030526	OFUSG18180.1.p1
TCONS_00013336	OFUSG11128.1.p1
TCONS_00046009	OFUSG21420.1.p1
TCONS_00044008	OFUSG19090.1.p1
TCONS_00050388	OFUSG19841.1.p1
TCONS_00001951	OFUSG01141.1.p1
TCONS_00017780	OFUSG09294.1.p1
TCONS_00005740	OFUSG22135.1.p1
TCONS_00013619	OFUSG10015.1.p1
TCONS_00044694	OFUSG13205.1.p1
TCONS_00048188	OFUSG18838.1.p1
TCONS_00019959	OFUSG17697.1.p1
TCONS_00031058	OFUSG10192.1.p1
TCONS_00025392	OFUSG06222.1.p1
TCONS_00007376	OFUSG05092.1.p1
TCONS_00040479	OFUSG08567.1.p1
TCONS_00027690	OFUSG03578.1.p1
TCONS_00046673	OFUSG23662.1.p1
TCONS_00033335	OFUSG15843.1.p1
TCONS_00000101	OFUSG03621.1.p1
TCONS_00030227	OFUSG01962.1.p1
TCONS_00054293	OFUSG13199.1.p1
TCONS_00054584	OFUSG13385.1.p1
TCONS_00023670	OFUSG22490.1.p1
TCONS_00054292	OFUSG13198.1.p1
TCONS_00029005	OFUSG08998.1.p1
TCONS_00047640	OFUSG22177.1.p1
TCONS_00000518	OFUSG01804.1.p1
TCONS_00015591	OFUSG07560.1.p1
TCONS_00047562	OFUSG06276.1.p1
TCONS_00031385	OFUSG10577.1.p1
TCONS_00011626	OFUSG25104.1.p1
TCONS_00021738	OFUSG14302.1.p1
TCONS_00036179	OFUSG00190.1.p1
TCONS_00010844	OFUSG11841.1.p1
TCONS_00012333	OFUSG10041.1.p1
TCONS_00022475	OFUSG25796.1.p1
TCONS_00025702	OFUSG06531.1.p1
TCONS_00013224	OFUSG18259.1.p1
TCONS_00043448	OFUSG02223.1.p1
TCONS_00021923	OFUSG25902.1.p1
TCONS_00048094	OFUSG06029.1.p1
TCONS_00046001	OFUSG17235.1.p1
TCONS_00038354	OFUSG24316.1.p2
TCONS_00021580	OFUSG14066.1.p1
TCONS_00002190	OFUSG00335.1.p1
TCONS_00012602	OFUSG00657.1.p1
TCONS_00055579	OFUSG16493.1.p1
TCONS_00028717	OFUSG19814.2.p1
TCONS_00037495	OFUSG00837.1.p1
TCONS_00018303	OFUSG21046.1.p1
TCONS_00044148	OFUSG02723.1.p1
TCONS_00028868	OFUSG25971.1.p1
TCONS_00041585	OFUSG12527.1.p1
TCONS_00042098	OFUSG02208.1.p1
TCONS_00019012	OFUSG17710.1.p1
TCONS_00005147	OFUSG00679.1.p1
TCONS_00051741	OFUSG13295.1.p1
TCONS_00027949	OFUSG09493.1.p1
TCONS_00014594	OFUSG10928.1.p1
TCONS_00003775	OFUSG04266.1.p1
TCONS_00050190	OFUSG26477.1.p1
TCONS_00005590	OFUSG22310.1.p1
TCONS_00030958	OFUSG18362.1.p1
TCONS_00016246	OFUSG08032.1.p1
TCONS_00044061	OFUSG02688.1.p1
TCONS_00019620	OFUSG05354.1.p1
TCONS_00008734	OFUSG05252.1.p1
TCONS_00016415	OFUSG23525.1.p1
TCONS_00031940	OFUSG24457.1.p1
TCONS_00031914	OFUSG24456.1.p1
TCONS_00020995	OFUSG24714.1.p1
TCONS_00019601	OFUSG23446.1.p1
TCONS_00025942	OFUSG15870.1.p1
TCONS_00025941	OFUSG15867.1.p1
TCONS_00009366	OFUSG05361.1.p1
TCONS_00004595	OFUSG22252.1.p1
TCONS_00054597	OFUSG26017.1.p1
TCONS_00016658	OFUSG26139.1.p1
TCONS_00011667	OFUSG21773.1.p1
TCONS_00025454	OFUSG25597.1.p1
TCONS_00051513	OFUSG23321.1.p1
TCONS_00019301	OFUSG17709.1.p1
TCONS_00056562	OFUSG16053.1.p1
TCONS_00020895	OFUSG25897.1.p1
TCONS_00057157	OFUSG16205.1.p1
TCONS_00031701	OFUSG03514.1.p1
TCONS_00011122	OFUSG21600.1.p1
TCONS_00051707	OFUSG04389.1.p1
TCONS_00043405	OFUSG03850.1.p1
TCONS_00010212	OFUSG11344.1.p1
TCONS_00009860	OFUSG12034.1.p1
TCONS_00006656	OFUSG22659.1.p1
TCONS_00052701	OFUSG13020.1.p1
TCONS_00028054	OFUSG09137.1.p1
TCONS_00014265	OFUSG18200.1.p1
TCONS_00014282	OFUSG10163.1.p1
TCONS_00020537	OFUSG17044.1.p1
TCONS_00011983	OFUSG11308.1.p1
TCONS_00036517	OFUSG00139.1.p1
TCONS_00010068	OFUSG12368.1.p1
TCONS_00010067	OFUSG25173.1.p1
TCONS_00011411	OFUSG21596.1.p1
TCONS_00048622	OFUSG19304.1.p1
TCONS_00010544	OFUSG11281.1.p1
TCONS_00001171	OFUSG00278.1.p1
TCONS_00007322	OFUSG20344.1.p1
TCONS_00012323	OFUSG18333.1.p1
TCONS_00014283	OFUSG11138.1.p1
TCONS_00048592	OFUSG06784.1.p1
TCONS_00000259	OFUSG01055.1.p1
TCONS_00054647	OFUSG16956.1.p1
TCONS_00020864	OFUSG14405.1.p1
TCONS_00021886	OFUSG14404.1.p1
TCONS_00036408	OFUSG00975.1.p1
TCONS_00041690	OFUSG01950.1.p1
TCONS_00009827	OFUSG21513.1.p1
TCONS_00003985	OFUSG16039.1.p1
TCONS_00008633	OFUSG22888.1.p1
TCONS_00026134	OFUSG06644.1.p1
TCONS_00008817	OFUSG23094.1.p1
TCONS_00028346	OFUSG08463.1.p1
TCONS_00020710	OFUSG04886.1.p1
TCONS_00049433	OFUSG19377.1.p1
TCONS_00000406	OFUSG00935.1.p1
TCONS_00045077	OFUSG17186.1.p1
TCONS_00040416	OFUSG19939.1.p1
TCONS_00000408	OFUSG00909.1.p1
TCONS_00046680	OFUSG13391.1.p1
TCONS_00015400	OFUSG07455.1.p1
TCONS_00037102	OFUSG00777.1.p1
TCONS_00037355	OFUSG01023.1.p1
TCONS_00026316	OFUSG19283.1.p1
TCONS_00038966	OFUSG09346.1.p1
TCONS_00000926	OFUSG19806.1.p1
TCONS_00015012	OFUSG08218.1.p1
TCONS_00010073	OFUSG21914.1.p1
TCONS_00028238	OFUSG09740.1.p1
TCONS_00009320	OFUSG05397.1.p1
TCONS_00054014	OFUSG26510.1.p1
TCONS_00009435	OFUSG05054.1.p1
TCONS_00008685	OFUSG20855.1.p1
TCONS_00023134	OFUSG06075.1.p1
TCONS_00009291	OFUSG23086.1.p1
TCONS_00008067	OFUSG23087.1.p1
TCONS_00002876	OFUSG04430.1.p1
TCONS_00003642	OFUSG04714.1.p1
TCONS_00000969	OFUSG00339.1.p1
TCONS_00019777	OFUSG04303.1.p1
TCONS_00053518	OFUSG21109.1.p1
TCONS_00056935	OFUSG16300.1.p1
TCONS_00001169	OFUSG00254.1.p1
TCONS_00012593	OFUSG11101.1.p1
TCONS_00049409	OFUSG06083.1.p1
TCONS_00009740	OFUSG12085.1.p1
TCONS_00028994	OFUSG08473.1.p1
TCONS_00024122	OFUSG07969.1.p1
TCONS_00018626	OFUSG21048.1.p1
TCONS_00022372	OFUSG14430.1.p1
TCONS_00045613	OFUSG12758.1.p1
TCONS_00042950	OFUSG02151.1.p1
TCONS_00026219	OFUSG06498.1.p1
TCONS_00046093	OFUSG21408.1.p1
TCONS_00001720	OFUSG00182.1.p1
TCONS_00053238	OFUSG17680.1.p1
TCONS_00052734	OFUSG17216.1.p1
TCONS_00029006	OFUSG18084.1.p1
TCONS_00027577	OFUSG09308.1.p1
TCONS_00014772	OFUSG08082.1.p1
TCONS_00018845	OFUSG17219.1.p1
TCONS_00011598	OFUSG11698.1.p1
TCONS_00047236	OFUSG06947.1.p1
TCONS_00010306	OFUSG25097.1.p1
TCONS_00010311	OFUSG11683.1.p1
TCONS_00021271	OFUSG11422.1.p1
TCONS_00030196	OFUSG18539.1.p1
TCONS_00047273	OFUSG06700.1.p1
TCONS_00056928	OFUSG07052.1.p1
TCONS_00056929	OFUSG08372.1.p1
TCONS_00052744	OFUSG21283.1.p1
TCONS_00049295	OFUSG18936.1.p1
TCONS_00011621	OFUSG06507.1.p1
TCONS_00037709	OFUSG01514.1.p1
TCONS_00036548	OFUSG00164.1.p1
TCONS_00020883	OFUSG13986.1.p1
TCONS_00046720	OFUSG20682.1.p1
TCONS_00033144	OFUSG04001.1.p1
TCONS_00010253	OFUSG11385.1.p1
TCONS_00015059	OFUSG07689.1.p1
TCONS_00023276	OFUSG07873.1.p1
TCONS_00016601	OFUSG16555.1.p1
TCONS_00053817	OFUSG17597.1.p1
TCONS_00022768	OFUSG24914.1.p1
TCONS_00011607	OFUSG22012.1.p1
TCONS_00010891	OFUSG11826.1.p1
TCONS_00015907	OFUSG08307.1.p1
TCONS_00019278	OFUSG13076.1.p1
TCONS_00055839	OFUSG16696.1.p1
TCONS_00030552	OFUSG11518.1.p1
TCONS_00022474	OFUSG25416.1.p1
TCONS_00014370	OFUSG10972.1.p1
TCONS_00008825	OFUSG23163.1.p1
TCONS_00016076	OFUSG03164.1.p1
TCONS_00050079	OFUSG07705.1.p1
TCONS_00010786	OFUSG11790.1.p1
TCONS_00001870	OFUSG12214.1.p1
TCONS_00027586	OFUSG06577.1.p1
TCONS_00000980	OFUSG01816.1.p1
TCONS_00054248	OFUSG23281.1.p1
TCONS_00033131	OFUSG03990.1.p1
TCONS_00008247	OFUSG22904.1.p1
TCONS_00016783	OFUSG26565.1.p1
TCONS_00049569	OFUSG06964.1.p1
TCONS_00029111	OFUSG08828.1.p1
TCONS_00030063	OFUSG02068.1.p1
TCONS_00008408	OFUSG05265.1.p1
TCONS_00001528	OFUSG14919.1.p1
TCONS_00052773	OFUSG19252.1.p1
TCONS_00049083	OFUSG18867.1.p1
TCONS_00050643	OFUSG11453.1.p1
TCONS_00015355	OFUSG07668.1.p1
TCONS_00009656	OFUSG11326.1.p1
TCONS_00052657	OFUSG12906.1.p1
TCONS_00028725	OFUSG08693.1.p1
TCONS_00004571	OFUSG11333.1.p1
TCONS_00006266	OFUSG11819.1.p1
TCONS_00055057	OFUSG08760.1.p1
TCONS_00030413	OFUSG11014.1.p1
TCONS_00037097	OFUSG00699.1.p1
TCONS_00028163	OFUSG19658.1.p1
TCONS_00004019	OFUSG04365.1.p1
TCONS_00027936	OFUSG09289.1.p1
TCONS_00030801	OFUSG10229.1.p1
TCONS_00026387	OFUSG06584.1.p1
TCONS_00052958	OFUSG13316.1.p1
TCONS_00031270	OFUSG10956.1.p1
TCONS_00033072	OFUSG16546.1.p1
TCONS_00050568	OFUSG20971.1.p1
TCONS_00026072	OFUSG21400.1.p1
TCONS_00010999	OFUSG12543.1.p1
TCONS_00030912	OFUSG10926.1.p1
TCONS_00019272	OFUSG23697.1.p1
TCONS_00030970	OFUSG18100.1.p1
TCONS_00056615	OFUSG04259.1.p1
TCONS_00054905	OFUSG16562.1.p1
TCONS_00037372	OFUSG00549.1.p1
TCONS_00037841	OFUSG12185.1.p1
TCONS_00036983	OFUSG03485.1.p1
TCONS_00020331	OFUSG20387.1.p1
TCONS_00020647	OFUSG16610.1.p1
TCONS_00004770	OFUSG14927.1.p1
TCONS_00026046	OFUSG05943.1.p1
TCONS_00054301	OFUSG12738.1.p1
TCONS_00020643	OFUSG11517.1.p1
TCONS_00019427	OFUSG04483.1.p1
TCONS_00020767	OFUSG16444.1.p1
TCONS_00019047	OFUSG17660.1.p1
TCONS_00000645	OFUSG00112.1.p1
TCONS_00006742	OFUSG15294.1.p1
TCONS_00042417	OFUSG02732.1.p1
TCONS_00039977	OFUSG09067.1.p1
TCONS_00052504	OFUSG12712.1.p1
TCONS_00027096	OFUSG06085.1.p1
TCONS_00057113	OFUSG07723.1.p1
TCONS_00038040	OFUSG01227.1.p1
TCONS_00048629	OFUSG18650.1.p1
TCONS_00028631	OFUSG09251.1.p1
TCONS_00011478	OFUSG11760.1.p1
TCONS_00052865	OFUSG16947.1.p1
TCONS_00009925	OFUSG20438.1.p1
TCONS_00026834	OFUSG06537.1.p1
TCONS_00042677	OFUSG03220.1.p1
TCONS_00053761	OFUSG13364.1.p1
TCONS_00004348	OFUSG16334.1.p1
TCONS_00036230	OFUSG01895.1.p1
TCONS_00036231	OFUSG01894.1.p1
TCONS_00003745	OFUSG16664.1.p1
TCONS_00056397	OFUSG04088.1.p1
TCONS_00049616	OFUSG05701.1.p1
TCONS_00006707	OFUSG22311.1.p1
TCONS_00029758	OFUSG09295.1.p1
TCONS_00030186	OFUSG10796.1.p1
TCONS_00010936	OFUSG12102.1.p1
TCONS_00002382	OFUSG00815.1.p1
TCONS_00047619	OFUSG06433.1.p1
TCONS_00030904	OFUSG17921.1.p1
TCONS_00037367	OFUSG01251.1.p1
TCONS_00015084	OFUSG07758.1.p1
TCONS_00053291	OFUSG26462.1.p1
TCONS_00031386	OFUSG10578.1.p1
TCONS_00046470	OFUSG01944.1.p1
TCONS_00004259	OFUSG03948.1.p1
TCONS_00027823	OFUSG05604.1.p1
TCONS_00016117	OFUSG26697.1.p1
TCONS_00003133	OFUSG16107.1.p1
TCONS_00043269	OFUSG03258.1.p1
TCONS_00021323	OFUSG11554.1.p1
TCONS_00028224	OFUSG08901.1.p1
TCONS_00001479	OFUSG01585.1.p1
TCONS_00006235	OFUSG22608.1.p1
TCONS_00001864	OFUSG01031.1.p1
TCONS_00025359	OFUSG08244.1.p1
