TCONS_00026365	AENJA_00110
TCONS_00044164	AENJA_13128
TCONS_00030571	AENJA_05444
TCONS_00042001	AENJA_24714
TCONS_00002725	AENJA_23745
TCONS_00003660	AENJA_18278
TCONS_00050627	AENJA_05831
TCONS_00048312	AENJA_21406
TCONS_00049564	AENJA_12918
TCONS_00049274	AENJA_12839
TCONS_00038166	AENJA_10025
TCONS_00026489	AENJA_13107
TCONS_00027751	AENJA_20850
TCONS_00026413	AENJA_07475
TCONS_00027831	AENJA_08162
TCONS_00016890	AENJA_06551
TCONS_00020319	AENJA_26653
TCONS_00032718	AENJA_16186
TCONS_00030942	AENJA_02482
TCONS_00006803	AENJA_17442
TCONS_00028091	AENJA_10507
TCONS_00034104	AENJA_22904
TCONS_00037238	AENJA_22144
TCONS_00026781	AENJA_25747
TCONS_00020503	AENJA_11460
TCONS_00042690	AENJA_21795
TCONS_00018162	AENJA_12490
TCONS_00025914	AENJA_24184
TCONS_00030687	AENJA_02486
TCONS_00030092	AENJA_16500
TCONS_00030202	AENJA_23710
TCONS_00026125	AENJA_11709
TCONS_00018803	AENJA_05556
TCONS_00008648	AENJA_24493
TCONS_00005387	AENJA_20539
TCONS_00005165	AENJA_06382
TCONS_00051693	AENJA_13798
TCONS_00021498	AENJA_23251
TCONS_00010080	AENJA_19109
TCONS_00019230	AENJA_08976
TCONS_00037101	AENJA_19775
TCONS_00002591	AENJA_03163
TCONS_00048296	AENJA_19935
TCONS_00048205	AENJA_13117
TCONS_00000886	AENJA_09728
TCONS_00046237	AENJA_17985
TCONS_00015053	AENJA_10145
TCONS_00042349	AENJA_19633
TCONS_00033798	AENJA_26164
TCONS_00042124	AENJA_06259
TCONS_00045930	AENJA_08955
TCONS_00049669	AENJA_14582
TCONS_00014949	AENJA_26553
TCONS_00020855	AENJA_25727
TCONS_00028921	AENJA_21947
TCONS_00015544	AENJA_08423
TCONS_00036087	AENJA_09240
TCONS_00056616	AENJA_14053
TCONS_00029742	AENJA_15215
TCONS_00010988	AENJA_26594
TCONS_00032606	AENJA_06142
TCONS_00051936	AENJA_22391
TCONS_00013856	AENJA_10812
TCONS_00012816	AENJA_14367
TCONS_00034216	AENJA_04107
TCONS_00019578	AENJA_02684
TCONS_00033865	AENJA_26666
TCONS_00007879	AENJA_21591
TCONS_00020664	AENJA_13743
TCONS_00011731	AENJA_08732
TCONS_00014104	AENJA_04205
TCONS_00041968	AENJA_17822
TCONS_00056103	AENJA_04133
TCONS_00002660	AENJA_09263
TCONS_00027685	AENJA_11261
TCONS_00009796	AENJA_01277
TCONS_00027684	AENJA_26530
TCONS_00027595	AENJA_13111
TCONS_00025956	AENJA_08161
TCONS_00012573	AENJA_04495
TCONS_00051755	AENJA_26736
TCONS_00010577	AENJA_05859
TCONS_00003991	AENJA_09264
TCONS_00003904	AENJA_02003
TCONS_00024248	AENJA_02605
TCONS_00006659	AENJA_16597
TCONS_00002702	AENJA_04836
TCONS_00036467	AENJA_07272
TCONS_00021629	AENJA_24273
TCONS_00027983	AENJA_07507
TCONS_00021994	AENJA_11132
TCONS_00021998	AENJA_20308
TCONS_00045275	AENJA_04153
TCONS_00045354	AENJA_17569
TCONS_00013871	AENJA_00497
TCONS_00027467	AENJA_11687
TCONS_00010095	AENJA_11469
TCONS_00021318	AENJA_21737
TCONS_00008545	AENJA_15966
TCONS_00038002	AENJA_26094
TCONS_00046122	AENJA_20614
TCONS_00006989	AENJA_05793
TCONS_00031996	AENJA_16432
TCONS_00013964	AENJA_11870
TCONS_00039487	AENJA_03260
TCONS_00046353	AENJA_11735
TCONS_00050037	AENJA_03761
TCONS_00016785	AENJA_12275
TCONS_00014779	AENJA_03922
TCONS_00002531	AENJA_10787
TCONS_00009521	AENJA_03843
TCONS_00049713	AENJA_21220
TCONS_00032530	AENJA_12114
TCONS_00032533	AENJA_12111
TCONS_00016209	AENJA_13408
TCONS_00015057	AENJA_07187
TCONS_00015033	AENJA_03698
TCONS_00032895	AENJA_08542
TCONS_00005927	AENJA_01518
TCONS_00001016	AENJA_18738
TCONS_00044987	AENJA_05237
TCONS_00044988	AENJA_20550
TCONS_00012571	AENJA_03158
TCONS_00048916	AENJA_08473
TCONS_00008683	AENJA_07142
TCONS_00046407	AENJA_06739
TCONS_00015575	AENJA_12334
TCONS_00018160	AENJA_17890
TCONS_00014999	AENJA_06073
TCONS_00052198	AENJA_25487
TCONS_00018553	AENJA_06959
TCONS_00029348	AENJA_13005
TCONS_00038065	AENJA_14853
TCONS_00051706	AENJA_17716
TCONS_00028170	AENJA_01578
TCONS_00013888	AENJA_00250
TCONS_00028348	AENJA_15219
TCONS_00043573	AENJA_06820
TCONS_00034847	AENJA_04113
TCONS_00000300	AENJA_13257
TCONS_00004760	AENJA_16006
TCONS_00046658	AENJA_04545
TCONS_00044971	AENJA_12329
TCONS_00004994	AENJA_00267
TCONS_00030867	AENJA_09998
TCONS_00008117	AENJA_10826
TCONS_00007700	AENJA_09684
TCONS_00022529	AENJA_20680
TCONS_00030795	AENJA_05305
TCONS_00029363	AENJA_25279
TCONS_00055710	AENJA_08843
TCONS_00049665	AENJA_22272
TCONS_00017266	AENJA_03852
TCONS_00040868	AENJA_18616
TCONS_00056723	AENJA_05818
TCONS_00018515	AENJA_24956
TCONS_00008087	AENJA_06437
TCONS_00017446	AENJA_19885
TCONS_00021431	AENJA_06752
TCONS_00009840	AENJA_06753
TCONS_00041473	AENJA_01561
TCONS_00031463	AENJA_15378
TCONS_00016580	AENJA_19694
TCONS_00052840	AENJA_23240
TCONS_00022853	AENJA_16048
TCONS_00022472	AENJA_12573
TCONS_00051714	AENJA_02703
TCONS_00009071	AENJA_21789
TCONS_00028133	AENJA_03262
TCONS_00021598	AENJA_00133
TCONS_00014165	AENJA_04223
TCONS_00006002	AENJA_12926
TCONS_00006848	AENJA_00457
TCONS_00031374	AENJA_01110
TCONS_00018009	AENJA_20011
TCONS_00051437	AENJA_10014
TCONS_00051137	AENJA_01745
TCONS_00038184	AENJA_12472
TCONS_00011551	AENJA_05025
TCONS_00002780	AENJA_13787
TCONS_00057258	AENJA_22602
TCONS_00008213	AENJA_24487
TCONS_00019080	AENJA_03679
TCONS_00052900	AENJA_13029
TCONS_00032506	AENJA_10706
TCONS_00021209	AENJA_04024
TCONS_00040533	AENJA_25447
TCONS_00000780	AENJA_09895
TCONS_00010951	AENJA_19821
TCONS_00028192	AENJA_00791
TCONS_00028766	AENJA_02934
TCONS_00018886	AENJA_02509
TCONS_00056061	AENJA_06236
TCONS_00027760	AENJA_09292
TCONS_00053994	AENJA_21700
TCONS_00053941	AENJA_04001
TCONS_00002827	AENJA_26732
TCONS_00031224	AENJA_25417
TCONS_00028872	AENJA_20772
TCONS_00004344	AENJA_18945
TCONS_00003306	AENJA_16769
TCONS_00015523	AENJA_12084
TCONS_00026632	AENJA_17914
TCONS_00003628	AENJA_15987
TCONS_00003624	AENJA_15991
TCONS_00006106	AENJA_00460
TCONS_00007455	AENJA_20374
TCONS_00006730	AENJA_10515
TCONS_00025284	AENJA_21370
TCONS_00006204	AENJA_15363
TCONS_00016132	AENJA_15984
TCONS_00019067	AENJA_02022
TCONS_00036893	AENJA_09853
TCONS_00014870	AENJA_25135
TCONS_00008716	AENJA_07006
TCONS_00008771	AENJA_14161
TCONS_00008905	AENJA_03329
TCONS_00017969	AENJA_17228
TCONS_00002904	AENJA_09843
TCONS_00010986	AENJA_06019
TCONS_00005511	AENJA_19535
TCONS_00037535	AENJA_14245
TCONS_00013875	AENJA_03100
TCONS_00039278	AENJA_19594
TCONS_00028853	AENJA_21466
TCONS_00042963	AENJA_01564
TCONS_00030782	AENJA_05431
TCONS_00050196	AENJA_02410
TCONS_00032809	AENJA_26333
TCONS_00039495	AENJA_17752
TCONS_00020857	AENJA_05199
TCONS_00015961	AENJA_24528
TCONS_00005012	AENJA_04595
TCONS_00028283	AENJA_21159
TCONS_00009913	AENJA_06250
TCONS_00013487	AENJA_04201
TCONS_00048565	AENJA_21764
TCONS_00010222	AENJA_08669
TCONS_00048892	AENJA_02917
TCONS_00026041	AENJA_23444
TCONS_00022773	AENJA_18758
TCONS_00033631	AENJA_05890
TCONS_00048368	AENJA_02918
TCONS_00055333	AENJA_14602
TCONS_00055792	AENJA_14918
TCONS_00056936	AENJA_25695
TCONS_00056937	AENJA_08487
TCONS_00034551	AENJA_26650
TCONS_00011867	AENJA_16126
TCONS_00010522	AENJA_14029
TCONS_00005157	AENJA_04697
TCONS_00052743	AENJA_14902
TCONS_00010942	AENJA_06085
TCONS_00048997	AENJA_02730
TCONS_00030369	AENJA_05208
TCONS_00049676	AENJA_02914
TCONS_00030554	AENJA_24994
TCONS_00004938	AENJA_21144
TCONS_00030524	AENJA_08858
TCONS_00045615	AENJA_24084
TCONS_00009844	AENJA_12104
TCONS_00017968	AENJA_21613
TCONS_00002035	AENJA_07561
TCONS_00000870	AENJA_03995
TCONS_00015123	AENJA_19718
TCONS_00029109	AENJA_21139
TCONS_00030938	AENJA_06967
TCONS_00027175	AENJA_20347
TCONS_00027170	AENJA_08159
TCONS_00046666	AENJA_03142
TCONS_00052670	AENJA_20326
TCONS_00016501	AENJA_16648
TCONS_00017749	AENJA_14604
TCONS_00053984	AENJA_13824
TCONS_00052913	AENJA_25023
TCONS_00023655	AENJA_15869
TCONS_00025062	AENJA_15870
TCONS_00039525	AENJA_06673
TCONS_00019220	AENJA_19545
TCONS_00057179	AENJA_11107
TCONS_00021860	AENJA_14335
TCONS_00013638	AENJA_07578
TCONS_00012101	AENJA_22255
TCONS_00054325	AENJA_23739
TCONS_00020516	AENJA_25508
TCONS_00044885	AENJA_24317
TCONS_00022103	AENJA_06790
TCONS_00036036	AENJA_16942
TCONS_00044751	AENJA_07480
TCONS_00026109	AENJA_18604
TCONS_00057177	AENJA_15256
TCONS_00049715	AENJA_01524
TCONS_00019745	AENJA_23458
TCONS_00003441	AENJA_02524
TCONS_00048407	AENJA_25880
TCONS_00057161	AENJA_23339
TCONS_00016811	AENJA_15829
TCONS_00013898	AENJA_04225
TCONS_00007411	AENJA_18481
TCONS_00028086	AENJA_11345
TCONS_00022862	AENJA_19966
TCONS_00050469	AENJA_16057
TCONS_00049016	AENJA_01313
TCONS_00011630	AENJA_05762
TCONS_00010465	AENJA_10482
TCONS_00057165	AENJA_08118
TCONS_00047575	AENJA_20619
TCONS_00030421	AENJA_23705
TCONS_00048792	AENJA_08472
TCONS_00016456	AENJA_15981
TCONS_00045349	AENJA_02024
TCONS_00055966	AENJA_15257
TCONS_00054648	AENJA_07424
TCONS_00042983	AENJA_02624
TCONS_00022869	AENJA_23362
TCONS_00022689	AENJA_04218
TCONS_00004750	AENJA_15690
TCONS_00016624	AENJA_22664
TCONS_00019989	AENJA_20126
TCONS_00051511	AENJA_25612
TCONS_00014515	AENJA_12542
TCONS_00027401	AENJA_09491
TCONS_00020691	AENJA_09097
TCONS_00042057	AENJA_13270
TCONS_00006807	AENJA_13192
TCONS_00007127	AENJA_22299
TCONS_00007937	AENJA_25254
TCONS_00045365	AENJA_00431
TCONS_00049425	AENJA_11176
TCONS_00052926	AENJA_08112
TCONS_00010594	AENJA_22678
TCONS_00044039	AENJA_00924
TCONS_00000994	AENJA_04274
TCONS_00006468	AENJA_20305
TCONS_00047149	AENJA_14133
TCONS_00026346	AENJA_05493
TCONS_00024454	AENJA_15927
TCONS_00016741	AENJA_23972
TCONS_00018385	AENJA_19835
TCONS_00031434	AENJA_05645
TCONS_00009755	AENJA_06140
TCONS_00009756	AENJA_03065
TCONS_00053533	AENJA_13697
TCONS_00055099	AENJA_25500
TCONS_00056445	AENJA_11315
TCONS_00030001	AENJA_12968
TCONS_00033515	AENJA_14099
TCONS_00004334	AENJA_14097
TCONS_00030074	AENJA_05708
TCONS_00048191	AENJA_04794
TCONS_00037242	AENJA_15177
TCONS_00046701	AENJA_10717
TCONS_00021276	AENJA_25711
TCONS_00013824	AENJA_14005
TCONS_00043094	AENJA_19447
TCONS_00047755	AENJA_22734
TCONS_00053833	AENJA_22716
TCONS_00017995	AENJA_18332
TCONS_00049440	AENJA_21567
TCONS_00017935	AENJA_15749
TCONS_00000790	AENJA_20742
TCONS_00053731	AENJA_24242
TCONS_00032709	AENJA_14528
TCONS_00029355	AENJA_14610
TCONS_00057185	AENJA_10537
TCONS_00044124	AENJA_22918
TCONS_00055414	AENJA_10254
TCONS_00003480	AENJA_10744
TCONS_00014579	AENJA_11897
TCONS_00002547	AENJA_24763
TCONS_00030526	AENJA_15704
TCONS_00002546	AENJA_10989
TCONS_00013336	AENJA_21822
TCONS_00046009	AENJA_14684
TCONS_00001951	AENJA_09892
TCONS_00017780	AENJA_03823
TCONS_00005740	AENJA_25316
TCONS_00013597	AENJA_13204
TCONS_00013619	AENJA_16703
TCONS_00044694	AENJA_14680
TCONS_00041136	AENJA_07033
TCONS_00011175	AENJA_12155
TCONS_00015915	AENJA_01299
TCONS_00048188	AENJA_05991
TCONS_00026546	AENJA_22347
TCONS_00019959	AENJA_22698
TCONS_00030287	AENJA_12143
TCONS_00000219	AENJA_16346
TCONS_00031058	AENJA_06388
TCONS_00052772	AENJA_23476
TCONS_00027258	AENJA_11069
TCONS_00002650	AENJA_14119
TCONS_00010176	AENJA_19393
TCONS_00003870	AENJA_09442
TCONS_00053118	AENJA_11266
TCONS_00007376	AENJA_11660
TCONS_00040479	AENJA_17521
TCONS_00028693	AENJA_23793
TCONS_00027690	AENJA_26085
TCONS_00010744	AENJA_25908
TCONS_00033335	AENJA_14143
TCONS_00056947	AENJA_22375
TCONS_00054293	AENJA_26390
TCONS_00054584	AENJA_17116
TCONS_00023670	AENJA_19991
TCONS_00054292	AENJA_13309
TCONS_00029005	AENJA_21234
TCONS_00043766	AENJA_11467
TCONS_00000518	AENJA_11832
TCONS_00047562	AENJA_21404
TCONS_00031385	AENJA_26231
TCONS_00011626	AENJA_18235
TCONS_00010844	AENJA_24235
TCONS_00026285	AENJA_16516
TCONS_00012333	AENJA_15654
TCONS_00025042	AENJA_16219
TCONS_00022475	AENJA_25178
TCONS_00013224	AENJA_03019
TCONS_00043448	AENJA_19097
TCONS_00021923	AENJA_17426
TCONS_00012715	AENJA_24860
TCONS_00045955	AENJA_23323
TCONS_00046001	AENJA_25030
TCONS_00020628	AENJA_24307
TCONS_00021580	AENJA_21364
TCONS_00002190	AENJA_20819
TCONS_00012602	AENJA_08940
TCONS_00055579	AENJA_15885
TCONS_00028717	AENJA_23556
TCONS_00037495	AENJA_16673
TCONS_00018303	AENJA_15743
TCONS_00043056	AENJA_07978
TCONS_00006748	AENJA_10311
TCONS_00051260	AENJA_12549
TCONS_00032830	AENJA_17109
TCONS_00041585	AENJA_09374
TCONS_00046177	AENJA_11770
TCONS_00044692	AENJA_03312
TCONS_00042098	AENJA_05733
TCONS_00019012	AENJA_22982
TCONS_00005147	AENJA_10288
TCONS_00018357	AENJA_15574
TCONS_00028391	AENJA_07031
TCONS_00051741	AENJA_20709
TCONS_00049014	AENJA_24285
TCONS_00042224	AENJA_08672
TCONS_00048981	AENJA_19006
TCONS_00027949	AENJA_05512
TCONS_00014594	AENJA_05899
TCONS_00031390	AENJA_26141
TCONS_00019156	AENJA_17737
TCONS_00003775	AENJA_22558
TCONS_00014664	AENJA_24295
TCONS_00052825	AENJA_11250
TCONS_00006853	AENJA_20878
TCONS_00050137	AENJA_10027
TCONS_00005590	AENJA_16592
TCONS_00015361	AENJA_22951
TCONS_00030958	AENJA_11417
TCONS_00010200	AENJA_18773
TCONS_00008197	AENJA_22114
TCONS_00015584	AENJA_06577
TCONS_00031403	AENJA_01364
TCONS_00010218	AENJA_10931
TCONS_00017175	AENJA_12938
TCONS_00018116	AENJA_12937
TCONS_00016246	AENJA_13962
TCONS_00019620	AENJA_13741
TCONS_00006015	AENJA_14446
TCONS_00016143	AENJA_20917
TCONS_00008734	AENJA_19515
TCONS_00004484	AENJA_19712
TCONS_00023137	AENJA_26692
TCONS_00020995	AENJA_21734
TCONS_00019601	AENJA_18701
TCONS_00025941	AENJA_25207
TCONS_00030622	AENJA_22031
TCONS_00013334	AENJA_24585
TCONS_00005130	AENJA_00264
TCONS_00035175	AENJA_00693
TCONS_00025880	AENJA_01107
TCONS_00030250	AENJA_03124
TCONS_00016658	AENJA_05189
TCONS_00013078	AENJA_24865
TCONS_00015113	AENJA_05234
TCONS_00017773	AENJA_07523
TCONS_00050473	AENJA_10012
TCONS_00011667	AENJA_23565
TCONS_00054317	AENJA_14711
TCONS_00010386	AENJA_21969
TCONS_00056562	AENJA_07190
TCONS_00020895	AENJA_17430
TCONS_00057157	AENJA_23758
TCONS_00031701	AENJA_00918
TCONS_00031702	AENJA_09124
TCONS_00042715	AENJA_06261
TCONS_00053426	AENJA_25601
TCONS_00030309	AENJA_21071
TCONS_00011122	AENJA_10948
TCONS_00010058	AENJA_15907
TCONS_00020385	AENJA_23130
TCONS_00011838	AENJA_14730
TCONS_00049725	AENJA_19997
TCONS_00029502	AENJA_17344
TCONS_00003629	AENJA_18271
TCONS_00018437	AENJA_25194
TCONS_00046148	AENJA_25358
TCONS_00051707	AENJA_18702
TCONS_00043405	AENJA_23603
TCONS_00048336	AENJA_20283
TCONS_00013171	AENJA_25732
TCONS_00054892	AENJA_25501
TCONS_00051476	AENJA_00930
TCONS_00010212	AENJA_10935
TCONS_00009806	AENJA_18770
TCONS_00020313	AENJA_14810
TCONS_00028617	AENJA_00319
TCONS_00003540	AENJA_05866
TCONS_00051396	AENJA_05835
TCONS_00028054	AENJA_03220
TCONS_00014265	AENJA_03681
TCONS_00014282	AENJA_24754
TCONS_00020537	AENJA_05569
TCONS_00011983	AENJA_09428
TCONS_00036517	AENJA_19255
TCONS_00010068	AENJA_15347
TCONS_00010067	AENJA_15345
TCONS_00011411	AENJA_15344
TCONS_00015865	AENJA_17591
TCONS_00000895	AENJA_17607
TCONS_00048622	AENJA_25758
TCONS_00035934	AENJA_25809
TCONS_00053411	AENJA_02286
TCONS_00001171	AENJA_21633
TCONS_00023963	AENJA_05016
TCONS_00007322	AENJA_07046
TCONS_00012323	AENJA_25061
TCONS_00022888	AENJA_08329
TCONS_00015543	AENJA_12392
TCONS_00014283	AENJA_21036
TCONS_00008464	AENJA_17174
TCONS_00048592	AENJA_13904
TCONS_00002652	AENJA_21288
TCONS_00048933	AENJA_17523
TCONS_00005133	AENJA_10748
TCONS_00032508	AENJA_01626
TCONS_00000259	AENJA_07369
TCONS_00054647	AENJA_09335
TCONS_00020864	AENJA_17434
TCONS_00021886	AENJA_11021
TCONS_00010667	AENJA_20949
TCONS_00009810	AENJA_26538
TCONS_00036408	AENJA_06811
TCONS_00041690	AENJA_01735
TCONS_00003985	AENJA_03157
TCONS_00029610	AENJA_25857
TCONS_00016228	AENJA_04760
TCONS_00014966	AENJA_20028
TCONS_00043712	AENJA_15613
TCONS_00008633	AENJA_13627
TCONS_00026134	AENJA_06346
TCONS_00028346	AENJA_20929
TCONS_00020710	AENJA_10824
TCONS_00049433	AENJA_11546
TCONS_00047987	AENJA_19025
TCONS_00020865	AENJA_15723
TCONS_00045077	AENJA_02871
TCONS_00014399	AENJA_17960
TCONS_00040416	AENJA_23811
TCONS_00016980	AENJA_12652
TCONS_00035285	AENJA_13466
TCONS_00000408	AENJA_25533
TCONS_00046680	AENJA_13648
TCONS_00037102	AENJA_26558
TCONS_00008403	AENJA_00887
TCONS_00003886	AENJA_04829
TCONS_00026316	AENJA_07463
TCONS_00015012	AENJA_16161
TCONS_00010073	AENJA_07771
TCONS_00000807	AENJA_10628
TCONS_00001282	AENJA_09520
TCONS_00028238	AENJA_10965
TCONS_00009320	AENJA_22126
TCONS_00054014	AENJA_00652
TCONS_00009435	AENJA_00673
TCONS_00020836	AENJA_22405
TCONS_00008685	AENJA_07139
TCONS_00020958	AENJA_01826
TCONS_00009291	AENJA_04823
TCONS_00008067	AENJA_04819
TCONS_00056979	AENJA_11680
TCONS_00002876	AENJA_10994
TCONS_00019574	AENJA_15937
TCONS_00049243	AENJA_18509
TCONS_00003642	AENJA_23986
TCONS_00049830	AENJA_17515
TCONS_00000969	AENJA_06847
TCONS_00019777	AENJA_01439
TCONS_00019778	AENJA_01442
TCONS_00053518	AENJA_24472
TCONS_00025890	AENJA_09173
TCONS_00012593	AENJA_21495
TCONS_00046671	AENJA_10413
