AENJA_23461	bflo_04183
AENJA_12104	bflo_07463
AENJA_19718	bflo_16410
AENJA_21139	bflo_06595
AENJA_08490	bflo_18668
AENJA_20347	bflo_10082
AENJA_07959	bflo_16486
AENJA_08159	bflo_09504
AENJA_20326	bflo_25543
AENJA_16451	bflo_15728
AENJA_16648	bflo_15997
AENJA_14604	bflo_01426
AENJA_25023	bflo_25546
AENJA_15869	bflo_09861
AENJA_15870	bflo_09862
AENJA_05988	bflo_14237
AENJA_14336	bflo_12069
AENJA_14335	bflo_21639
AENJA_07578	bflo_23384
AENJA_22255	bflo_21806
AENJA_15217	bflo_26263
AENJA_25508	bflo_12924
AENJA_24317	bflo_21703
AENJA_07480	bflo_05834
AENJA_00989	bflo_06973
AENJA_26747	bflo_07441
AENJA_18604	bflo_04893
AENJA_15683	bflo_00916
AENJA_15256	bflo_04190
AENJA_01524	bflo_11095
AENJA_23458	bflo_00776
AENJA_02524	bflo_11418
AENJA_25880	bflo_12444
AENJA_01646	bflo_00646
AENJA_23339	bflo_21090
AENJA_04225	bflo_23683
AENJA_18481	bflo_12857
AENJA_19334	bflo_21799
AENJA_19966	bflo_22345
AENJA_05337	bflo_14984
AENJA_16057	bflo_24346
AENJA_01313	bflo_11036
AENJA_16012	bflo_25178
AENJA_20619	bflo_11459
AENJA_23705	bflo_07930
AENJA_18053	bflo_25588
AENJA_02024	bflo_00198
AENJA_07424	bflo_25250
AENJA_02624	bflo_14252
AENJA_23362	bflo_21833
AENJA_15690	bflo_20633
AENJA_22664	bflo_05046
AENJA_25612	bflo_24771
AENJA_25861	bflo_15022
AENJA_09491	bflo_10142
AENJA_09097	bflo_12807
AENJA_13192	bflo_20075
AENJA_22299	bflo_13201
AENJA_15903	bflo_04960
AENJA_00431	bflo_06684
AENJA_11176	bflo_08578
AENJA_00924	bflo_21524
AENJA_04274	bflo_17341
AENJA_20305	bflo_20509
AENJA_23972	bflo_15300
AENJA_19835	bflo_01838
AENJA_05645	bflo_07745
AENJA_06140	bflo_05176
AENJA_03065	bflo_21677
AENJA_04428	bflo_03398
AENJA_13697	bflo_25258
AENJA_25500	bflo_17369
AENJA_16412	bflo_21193
AENJA_04794	bflo_12361
AENJA_15177	bflo_04698
AENJA_10717	bflo_03207
AENJA_12192	bflo_03399
AENJA_25711	bflo_22355
AENJA_14005	bflo_23810
AENJA_08623	bflo_14063
AENJA_22734	bflo_11395
AENJA_03399	bflo_04943
AENJA_22716	bflo_25324
AENJA_15749	bflo_01421
AENJA_04287	bflo_27210
AENJA_04971	bflo_05979
AENJA_18838	bflo_00717
AENJA_10537	bflo_24061
AENJA_22918	bflo_15126
AENJA_10254	bflo_06799
AENJA_18516	bflo_20832
AENJA_11897	bflo_22970
AENJA_24763	bflo_02391
AENJA_15704	bflo_08395
AENJA_10989	bflo_02486
AENJA_14684	bflo_05885
AENJA_03823	bflo_09799
AENJA_25316	bflo_20897
AENJA_13204	bflo_23374
AENJA_16703	bflo_23272
AENJA_14680	bflo_26192
AENJA_12155	bflo_00927
AENJA_05991	bflo_12323
AENJA_22347	bflo_05291
AENJA_22698	bflo_00328
AENJA_12143	bflo_07424
AENJA_23476	bflo_10865
AENJA_09442	bflo_02326
AENJA_11266	bflo_25334
AENJA_11660	bflo_12974
AENJA_23793	bflo_05608
AENJA_26085	bflo_09318
AENJA_25908	bflo_18860
AENJA_14143	bflo_08038
AENJA_09961	bflo_07864
AENJA_06241	bflo_22142
AENJA_26390	bflo_26366
AENJA_17116	bflo_26162
AENJA_21234	bflo_06572
AENJA_11040	bflo_11492
AENJA_11832	bflo_17409
AENJA_21404	bflo_00225
AENJA_26231	bflo_08591
AENJA_18235	bflo_14739
AENJA_26626	bflo_03825
AENJA_24235	bflo_15042
AENJA_15653	bflo_10409
AENJA_15654	bflo_22865
AENJA_16219	bflo_09135
AENJA_03019	bflo_23110
AENJA_17426	bflo_21622
AENJA_08549	bflo_10885
AENJA_24860	bflo_22961
AENJA_10323	bflo_17648
AENJA_23323	bflo_06489
AENJA_25030	bflo_17533
AENJA_24307	bflo_26554
AENJA_07650	bflo_07176
AENJA_21364	bflo_21599
AENJA_20819	bflo_17568
AENJA_08940	bflo_17631
AENJA_15885	bflo_18531
AENJA_23556	bflo_06828
AENJA_22469	bflo_10204
AENJA_17227	bflo_01471
AENJA_16673	bflo_04727
AENJA_15743	bflo_01065
AENJA_07978	bflo_14311
AENJA_10311	bflo_20906
AENJA_17109	bflo_03576
AENJA_11770	bflo_06803
AENJA_05733	bflo_14319
AENJA_10288	bflo_20096
AENJA_15755	bflo_09114
AENJA_07031	bflo_05598
AENJA_23068	bflo_00794
AENJA_20709	bflo_24499
AENJA_24285	bflo_11110
AENJA_19006	bflo_11324
AENJA_05512	bflo_04725
AENJA_08857	bflo_10902
AENJA_22558	bflo_02919
AENJA_24353	bflo_22125
AENJA_20878	bflo_20950
AENJA_22951	bflo_15712
AENJA_11417	bflo_07346
AENJA_18773	bflo_09175
AENJA_12938	bflo_01733
AENJA_13962	bflo_16287
AENJA_14446	bflo_09440
AENJA_20917	bflo_16465
AENJA_19515	bflo_13583
AENJA_19712	bflo_18253
AENJA_26692	bflo_10348
AENJA_02664	bflo_17082
AENJA_09834	bflo_06289
AENJA_11465	bflo_07768
AENJA_21734	bflo_22129
AENJA_05447	bflo_18835
AENJA_18701	bflo_00915
AENJA_19003	bflo_08124
AENJA_24585	bflo_04358
AENJA_00693	bflo_23733
AENJA_00888	bflo_10380
AENJA_23211	bflo_20597
AENJA_03124	bflo_07612
AENJA_05189	bflo_16581
AENJA_24865	bflo_22957
AENJA_10012	bflo_24671
AENJA_23565	bflo_07977
AENJA_19659	bflo_08060
AENJA_13079	bflo_05041
AENJA_14711	bflo_25160
AENJA_17430	bflo_21615
AENJA_00918	bflo_00155
AENJA_09124	bflo_00805
AENJA_08698	bflo_04238
AENJA_06261	bflo_14131
AENJA_21071	bflo_07969
AENJA_10948	bflo_18231
AENJA_15907	bflo_12226
AENJA_23130	bflo_11850
AENJA_14730	bflo_10945
AENJA_19997	bflo_11390
AENJA_18702	bflo_07608
AENJA_23603	bflo_14381
AENJA_25732	bflo_23301
AENJA_25501	bflo_02002
AENJA_25856	bflo_01967
AENJA_10935	bflo_12710
AENJA_00892	bflo_05348
AENJA_05866	bflo_05895
AENJA_02750	bflo_23930
AENJA_05835	bflo_24510
AENJA_03220	bflo_06124
AENJA_24754	bflo_23738
AENJA_04710	bflo_22268
AENJA_05569	bflo_00644
AENJA_08481	bflo_18961
AENJA_13580	bflo_01833
AENJA_19255	bflo_03722
AENJA_15347	bflo_17912
AENJA_15345	bflo_13400
AENJA_15344	bflo_15589
AENJA_17591	bflo_16708
AENJA_25758	bflo_12167
AENJA_02286	bflo_25659
AENJA_21633	bflo_18379
AENJA_19774	bflo_02465
AENJA_07046	bflo_13755
AENJA_08329	bflo_22417
AENJA_12392	bflo_18186
AENJA_21036	bflo_23756
AENJA_17174	bflo_12794
AENJA_15216	bflo_12010
AENJA_01626	bflo_08218
AENJA_07369	bflo_17336
AENJA_09335	bflo_25419
AENJA_17434	bflo_21292
AENJA_11021	bflo_21257
AENJA_20949	bflo_04842
AENJA_03157	bflo_02450
AENJA_25857	bflo_06848
AENJA_20028	bflo_16219
AENJA_15613	bflo_14598
AENJA_13627	bflo_13769
AENJA_20929	bflo_06280
AENJA_10824	bflo_13013
AENJA_17421	bflo_05248
AENJA_11546	bflo_11487
AENJA_19025	bflo_05006
AENJA_11959	bflo_06683
AENJA_02871	bflo_05993
AENJA_23811	bflo_13602
AENJA_12652	bflo_01067
AENJA_13466	bflo_11148
AENJA_25533	bflo_04338
AENJA_13648	bflo_04756
AENJA_26558	bflo_03281
AENJA_04829	bflo_23919
AENJA_16161	bflo_15987
AENJA_07771	bflo_13690
AENJA_26655	bflo_14412
AENJA_10965	bflo_00204
AENJA_22126	bflo_13390
AENJA_00652	bflo_25724
AENJA_00673	bflo_13206
AENJA_22405	bflo_08017
AENJA_07139	bflo_12788
AENJA_01826	bflo_23085
AENJA_04823	bflo_12702
AENJA_04819	bflo_12700
AENJA_15937	bflo_00909
AENJA_18509	bflo_12260
AENJA_23986	bflo_02577
AENJA_17515	bflo_11707
AENJA_06847	bflo_05123
AENJA_01439	bflo_08313
AENJA_14948	bflo_05126
AENJA_24472	bflo_12934
AENJA_21495	bflo_23849
AENJA_14841	bflo_11369
AENJA_18167	bflo_06772
AENJA_19016	bflo_11545
AENJA_07203	bflo_21701
AENJA_11032	bflo_21591
AENJA_02173	bflo_18607
AENJA_03705	bflo_03109
AENJA_15570	bflo_01208
AENJA_04404	bflo_21661
AENJA_07461	bflo_04508
AENJA_12150	bflo_15452
AENJA_14433	bflo_10546
AENJA_18458	bflo_08553
AENJA_20329	bflo_25223
AENJA_20633	bflo_13113
AENJA_04544	bflo_00919
AENJA_00603	bflo_25725
AENJA_08029	bflo_13891
AENJA_00795	bflo_01480
AENJA_13840	bflo_25652
AENJA_00938	bflo_16738
AENJA_01709	bflo_24457
AENJA_03923	bflo_15843
AENJA_05557	bflo_14157
AENJA_12321	bflo_01530
AENJA_06971	bflo_11008
AENJA_10581	bflo_11041
AENJA_14030	bflo_03482
AENJA_23946	bflo_03666
AENJA_18091	bflo_10548
AENJA_23407	bflo_12229
AENJA_26449	bflo_07565
AENJA_10491	bflo_25666
AENJA_04787	bflo_11530
AENJA_12473	bflo_03306
AENJA_02057	bflo_04395
AENJA_15913	bflo_19456
AENJA_19227	bflo_16636
AENJA_16007	bflo_20743
AENJA_01615	bflo_17766
AENJA_08346	bflo_08599
AENJA_08671	bflo_17159
AENJA_09106	bflo_20478
AENJA_14697	bflo_19350
AENJA_08838	bflo_18664
AENJA_11200	bflo_25897
AENJA_04711	bflo_18663
AENJA_07204	bflo_21630
AENJA_23886	bflo_21787
AENJA_12389	bflo_25639
AENJA_07801	bflo_12810
AENJA_10770	bflo_15574
AENJA_15834	bflo_01496
AENJA_24261	bflo_26430
AENJA_25876	bflo_00735
AENJA_11591	bflo_19201
AENJA_00649	bflo_18191
AENJA_16763	bflo_19075
AENJA_15960	bflo_00355
AENJA_18432	bflo_11190
AENJA_26108	bflo_19081
AENJA_00591	bflo_17530
AENJA_26667	bflo_25764
AENJA_01120	bflo_07197
AENJA_10740	bflo_21758
AENJA_02216	bflo_13054
AENJA_03035	bflo_23308
AENJA_09068	bflo_01257
AENJA_15686	bflo_20811
AENJA_07914	bflo_01097
AENJA_12914	bflo_11514
AENJA_13286	bflo_16367
AENJA_17341	bflo_06587
AENJA_22260	bflo_08626
AENJA_22560	bflo_05997
AENJA_24479	bflo_12288
AENJA_10656	bflo_13063
AENJA_13641	bflo_20058
AENJA_01594	bflo_25631
AENJA_14294	bflo_23899
AENJA_06861	bflo_11567
AENJA_04150	bflo_09243
AENJA_08422	bflo_05592
AENJA_22246	bflo_13962
AENJA_22232	bflo_02364
AENJA_14707	bflo_25174
AENJA_20107	bflo_25793
AENJA_17040	bflo_25636
AENJA_00390	bflo_08501
AENJA_19776	bflo_03223
AENJA_01187	bflo_02988
AENJA_05472	bflo_18766
AENJA_22407	bflo_20459
AENJA_10797	bflo_06217
AENJA_11925	bflo_21654
AENJA_13993	bflo_14240
AENJA_16513	bflo_10428
AENJA_17652	bflo_09025
AENJA_02164	bflo_25858
AENJA_24609	bflo_25756
AENJA_02925	bflo_00231
AENJA_23135	bflo_08447
AENJA_25867	bflo_08334
AENJA_11775	bflo_05473
AENJA_11030	bflo_21696
AENJA_21712	bflo_18431
AENJA_05704	bflo_07555
AENJA_07214	bflo_00856
AENJA_18385	bflo_07439
AENJA_14055	bflo_18969
AENJA_07677	bflo_23425
AENJA_23147	bflo_10524
AENJA_10746	bflo_20741
AENJA_24188	bflo_20956
AENJA_00764	bflo_13274
AENJA_02455	bflo_13774
AENJA_14692	bflo_20839
AENJA_18083	bflo_10699
AENJA_09091	bflo_25792
AENJA_13518	bflo_25237
AENJA_22772	bflo_03284
AENJA_24422	bflo_08676
AENJA_00152	bflo_13469
AENJA_00962	bflo_26481
AENJA_11386	bflo_17447
AENJA_19531	bflo_21169
AENJA_05909	bflo_20471
AENJA_26421	bflo_07381
AENJA_17459	bflo_02361
AENJA_26527	bflo_08991
AENJA_07613	bflo_14102
AENJA_07998	bflo_13268
AENJA_19063	bflo_03314
AENJA_19600	bflo_03553
AENJA_22939	bflo_15791
AENJA_00019	bflo_04437
AENJA_03586	bflo_24265
AENJA_21120	bflo_25732
AENJA_12705	bflo_19756
AENJA_06473	bflo_10176
AENJA_06798	bflo_03017
AENJA_07645	bflo_01487
AENJA_07937	bflo_14069
AENJA_07996	bflo_12681
AENJA_08703	bflo_01017
AENJA_14919	bflo_19415
AENJA_08833	bflo_02085
AENJA_13562	bflo_02683
AENJA_23882	bflo_21594
AENJA_19719	bflo_15605
AENJA_21849	bflo_20101
AENJA_23321	bflo_04158
AENJA_00163	bflo_01743
AENJA_21693	bflo_19302
AENJA_02929	bflo_05832
AENJA_02481	bflo_07374
AENJA_05911	bflo_21142
AENJA_16901	bflo_23023
AENJA_26740	bflo_09970
AENJA_25522	bflo_11434
AENJA_23421	bflo_14337
AENJA_02063	bflo_13183
AENJA_12043	bflo_03660
AENJA_16891	bflo_17920
AENJA_05473	bflo_19022
AENJA_17075	bflo_27265
AENJA_26233	bflo_08596
AENJA_07565	bflo_18377
AENJA_11633	bflo_09112
AENJA_09966	bflo_20621
AENJA_11700	bflo_14588
AENJA_20431	bflo_12273
AENJA_00754	bflo_15652
AENJA_09851	bflo_02952
AENJA_17499	bflo_14560
AENJA_01733	bflo_22652
AENJA_17498	bflo_15112
AENJA_14502	bflo_09205
AENJA_01829	bflo_22447
AENJA_07568	bflo_17123
AENJA_02966	bflo_21264
AENJA_06210	bflo_05985
AENJA_19720	bflo_15834
AENJA_08166	bflo_08954
AENJA_10313	bflo_19999
AENJA_12056	bflo_21958
AENJA_23792	bflo_04490
AENJA_14023	bflo_19247
AENJA_14048	bflo_26344
AENJA_00401	bflo_20510
AENJA_00580	bflo_14426
AENJA_16618	bflo_04391
AENJA_22086	bflo_00205
AENJA_02339	bflo_00170
AENJA_04000	bflo_17563
AENJA_21157	bflo_05064
AENJA_05461	bflo_14821
AENJA_05453	bflo_14818
AENJA_06554	bflo_00708
AENJA_24386	bflo_13257
AENJA_08232	bflo_23747
AENJA_22675	bflo_06523
AENJA_26657	bflo_14322
AENJA_17036	bflo_03309
AENJA_23956	bflo_12512
AENJA_01165	bflo_07262
AENJA_06323	bflo_03565
AENJA_02282	bflo_13018
AENJA_02547	bflo_20263
AENJA_02972	bflo_04354
AENJA_22529	bflo_07239
AENJA_03154	bflo_20978
AENJA_03395	bflo_20773
AENJA_26036	bflo_08143
AENJA_19602	bflo_25264
AENJA_08030	bflo_13836
AENJA_16263	bflo_00630
AENJA_08414	bflo_13255
AENJA_08762	bflo_05697
AENJA_09037	bflo_07681
AENJA_13820	bflo_15006
AENJA_14891	bflo_07499
AENJA_19042	bflo_21122
AENJA_23574	bflo_02033
AENJA_25125	bflo_15623
AENJA_01350	bflo_22932
AENJA_08136	bflo_09287
AENJA_20560	bflo_01641
AENJA_02296	bflo_10212
AENJA_26096	bflo_21978
AENJA_06143	bflo_17960
AENJA_10712	bflo_03341
AENJA_13424	bflo_20878
AENJA_16016	bflo_26280
AENJA_17128	bflo_10085
AENJA_21663	bflo_04350
AENJA_25248	bflo_22313
AENJA_23659	bflo_07675
AENJA_24757	bflo_03203
AENJA_24783	bflo_23339
AENJA_05530	bflo_23858
AENJA_26608	bflo_19435
AENJA_12182	bflo_23920
AENJA_02776	bflo_15771
AENJA_03120	bflo_21941
AENJA_03151	bflo_03026
AENJA_11445	bflo_04903
AENJA_04437	bflo_23870
AENJA_07594	bflo_25597
AENJA_24200	bflo_13219
AENJA_12462	bflo_05876
AENJA_12602	bflo_07447
AENJA_13410	bflo_16280
AENJA_13779	bflo_08146
AENJA_14415	bflo_18574
AENJA_19830	bflo_01100
AENJA_24181	bflo_10779
AENJA_24765	bflo_11607
AENJA_01047	bflo_23288
AENJA_16062	bflo_24363
AENJA_08021	bflo_17595
AENJA_06392	bflo_08592
AENJA_05825	bflo_19733
AENJA_03704	bflo_08662
AENJA_07821	bflo_10254
AENJA_08095	bflo_04773
AENJA_10657	bflo_26106
AENJA_15475	bflo_10992
AENJA_19195	bflo_24302
AENJA_19790	bflo_07352
AENJA_21475	bflo_24364
AENJA_18929	bflo_01344
AENJA_00575	bflo_14186
AENJA_00807	bflo_01789
AENJA_01569	bflo_14398
AENJA_05855	bflo_15522
AENJA_02550	bflo_09727
AENJA_10264	bflo_10417
AENJA_03947	bflo_11561
AENJA_04073	bflo_06623
AENJA_09896	bflo_21619
AENJA_09332	bflo_00917
AENJA_07171	bflo_10562
AENJA_07749	bflo_04559
AENJA_21401	bflo_11120
AENJA_12759	bflo_05659
AENJA_16474	bflo_05776
AENJA_16877	bflo_03656
AENJA_17138	bflo_26460
AENJA_18221	bflo_15467
AENJA_19251	bflo_02494
AENJA_23025	bflo_10325
AENJA_00718	bflo_23676
AENJA_01387	bflo_01225
AENJA_02199	bflo_00423
AENJA_18229	bflo_01201
AENJA_15729	bflo_10029
AENJA_02419	bflo_23443
AENJA_25097	bflo_02480
AENJA_02726	bflo_11873
AENJA_04030	bflo_22127
AENJA_22327	bflo_13059
AENJA_06304	bflo_22501
AENJA_06313	bflo_14797
AENJA_12960	bflo_10522
AENJA_13579	bflo_01654
AENJA_20117	bflo_09074
AENJA_15687	bflo_20201
AENJA_16308	bflo_10476
AENJA_19655	bflo_05411
AENJA_26609	bflo_19588
AENJA_26741	bflo_09982
AENJA_00009	bflo_12819
AENJA_00007	bflo_13264
AENJA_24701	bflo_05983
AENJA_00720	bflo_25190
AENJA_02927	bflo_06192
AENJA_07797	bflo_25491
AENJA_06301	bflo_22790
AENJA_06307	bflo_14080
AENJA_06348	bflo_06069
AENJA_06755	bflo_23646
AENJA_08828	bflo_09826
AENJA_10711	bflo_06370
AENJA_11192	bflo_03254
AENJA_13577	bflo_01437
AENJA_15840	bflo_00201
AENJA_24946	bflo_20442
