STRPU_22262	OFUSG13305.1
STRPU_24960	OFUSG04430.1
STRPU_25001	OFUSG04714.1
STRPU_22434	OFUSG04303.1
STRPU_18794	OFUSG21109.1
STRPU_13999	OFUSG16300.1
STRPU_08344	OFUSG11101.1
STRPU_23931	OFUSG06083.1
STRPU_24936	OFUSG16644.1
STRPU_20779	OFUSG12085.1
STRPU_26356	OFUSG08473.1
STRPU_12631	OFUSG07969.1
STRPU_24012	OFUSG21048.1
STRPU_06999	OFUSG14430.1
STRPU_26838	OFUSG25362.1
STRPU_08041	OFUSG12758.1
STRPU_05744	OFUSG02151.1
STRPU_08035	OFUSG21408.1
STRPU_17155	OFUSG00182.1
STRPU_24482	OFUSG17219.1
STRPU_21259	OFUSG11698.1
STRPU_21595	OFUSG25096.1
STRPU_21594	OFUSG25097.1
STRPU_04784	OFUSG18539.1
STRPU_23155	OFUSG06700.1
STRPU_25484	OFUSG04812.1
STRPU_12186	OFUSG00761.1
STRPU_11659	OFUSG00164.1
STRPU_17012	OFUSG00381.1
STRPU_20560	OFUSG11385.1
STRPU_13494	OFUSG16555.1
STRPU_19411	OFUSG00996.1
STRPU_18715	OFUSG17597.1
STRPU_18716	OFUSG16513.1
STRPU_06871	OFUSG24914.1
STRPU_21566	OFUSG22012.1
STRPU_20797	OFUSG11826.1
STRPU_20020	OFUSG08307.1
STRPU_22089	OFUSG13076.1
STRPU_24946	OFUSG23775.1
STRPU_04815	OFUSG11518.1
STRPU_08229	OFUSG10972.1
STRPU_19598	OFUSG03164.1
STRPU_22034	OFUSG23274.1
STRPU_21563	OFUSG12214.1
STRPU_10384	OFUSG06577.1
STRPU_17910	OFUSG01816.1
STRPU_19015	OFUSG23281.1
STRPU_23569	OFUSG03990.1
STRPU_26250	OFUSG22904.1
STRPU_14828	OFUSG15507.1
STRPU_24891	OFUSG26565.1
STRPU_26640	OFUSG08828.1
STRPU_17781	OFUSG14919.1
STRPU_23589	OFUSG18867.1
STRPU_11330	OFUSG11453.1
STRPU_20061	OFUSG07668.1
STRPU_21536	OFUSG11326.1
STRPU_23123	OFUSG16803.1
STRPU_18748	OFUSG12906.1
STRPU_27022	OFUSG08693.1
STRPU_15453	OFUSG11819.1
STRPU_26569	OFUSG19658.1
STRPU_22128	OFUSG03971.1
STRPU_25047	OFUSG04365.1
STRPU_14909	OFUSG22559.1
STRPU_04347	OFUSG10229.1
STRPU_18369	OFUSG21207.1
STRPU_19223	OFUSG13316.1
STRPU_21983	OFUSG16546.1
STRPU_10972	OFUSG20971.1
STRPU_21113	OFUSG12543.1
STRPU_22107	OFUSG23697.1
STRPU_04676	OFUSG18100.1
STRPU_15366	OFUSG22242.1
STRPU_11821	OFUSG12185.1
STRPU_12245	OFUSG03485.1
STRPU_12931	OFUSG19469.1
STRPU_23372	OFUSG16610.1
STRPU_12478	OFUSG07503.1
STRPU_22935	OFUSG17660.1
STRPU_17391	OFUSG00112.1
STRPU_04979	OFUSG02732.1
STRPU_02904	OFUSG09067.1
STRPU_23570	OFUSG18650.1
STRPU_21550	OFUSG11760.1
STRPU_27121	OFUSG09849.1
STRPU_05906	OFUSG03220.1
STRPU_19189	OFUSG13364.1
STRPU_13557	OFUSG16237.1
STRPU_24157	OFUSG16334.1
STRPU_12243	OFUSG01895.1
STRPU_24918	OFUSG16664.1
STRPU_21962	OFUSG05701.1
STRPU_14886	OFUSG22311.1
STRPU_27059	OFUSG09295.1
STRPU_22622	OFUSG18741.1
STRPU_20167	OFUSG07758.1
STRPU_15997	OFUSG24653.1
STRPU_04140	OFUSG10578.1
STRPU_09304	OFUSG05604.1
STRPU_14305	OFUSG23879.1
STRPU_24165	OFUSG04091.1
STRPU_25213	OFUSG16107.1
STRPU_05778	OFUSG03258.1
STRPU_05548	OFUSG11554.1
STRPU_18396	OFUSG21493.1
STRPU_26971	OFUSG09241.1
STRPU_06645	OFUSG26854.1
STRPU_26844	OFUSG08901.1
STRPU_14601	OFUSG22608.1
STRPU_17512	OFUSG01031.1
STRPU_12472	OFUSG08244.1
STRPU_20563	OFUSG01806.1
STRPU_15088	OFUSG24129.1
STRPU_12288	OFUSG00637.1
STRPU_26714	OFUSG09305.1
STRPU_05319	OFUSG02484.1
STRPU_05320	OFUSG02485.1
STRPU_14000	OFUSG16223.1
STRPU_08333	OFUSG04263.1
STRPU_05708	OFUSG02908.1
STRPU_01836	OFUSG26256.1
STRPU_25366	OFUSG05283.1
STRPU_04947	OFUSG03652.1
STRPU_15417	OFUSG24111.1
STRPU_15045	OFUSG22451.1
STRPU_25429	OFUSG22964.1
STRPU_23395	OFUSG13628.1
STRPU_26153	OFUSG05262.1
STRPU_26885	OFUSG03861.1
STRPU_27147	OFUSG19991.1
STRPU_04359	OFUSG11040.1
STRPU_04549	OFUSG09980.1
STRPU_24886	OFUSG05737.1
STRPU_10294	OFUSG19359.1
STRPU_06423	OFUSG14358.1
STRPU_11825	OFUSG15459.1
STRPU_11511	OFUSG00108.1
STRPU_14729	OFUSG24187.1
STRPU_22006	OFUSG06280.1
STRPU_19160	OFUSG17480.1
STRPU_12298	OFUSG01608.1
STRPU_13418	OFUSG16289.1
STRPU_22033	OFUSG17257.1
STRPU_20600	OFUSG25182.1
STRPU_11672	OFUSG01359.1
STRPU_04414	OFUSG17905.1
STRPU_14539	OFUSG22144.1
STRPU_08439	OFUSG10458.1
STRPU_26818	OFUSG09158.1
STRPU_24843	OFUSG23486.1
STRPU_14369	OFUSG22530.1
STRPU_23336	OFUSG18772.1
STRPU_26500	OFUSG23994.1
STRPU_08450	OFUSG10400.1
STRPU_06105	OFUSG13920.1
STRPU_11147	OFUSG17397.1
STRPU_10627	OFUSG21106.1
STRPU_13953	OFUSG16393.1
STRPU_04183	OFUSG18424.1
STRPU_27240	OFUSG05122.1
STRPU_04924	OFUSG03037.1
STRPU_21392	OFUSG11469.1
STRPU_20790	OFUSG12080.1
STRPU_20677	OFUSG12064.1
STRPU_05291	OFUSG03347.1
STRPU_05726	OFUSG03330.1
STRPU_13772	OFUSG04034.1
STRPU_23714	OFUSG06804.1
STRPU_17890	OFUSG00008.1
STRPU_13255	OFUSG04037.1
STRPU_23261	OFUSG06361.1
STRPU_03381	OFUSG19616.1
STRPU_24028	OFUSG16311.1
STRPU_20715	OFUSG12462.1
STRPU_13549	OFUSG03053.1
STRPU_20723	OFUSG12472.1
STRPU_21539	OFUSG12330.1
STRPU_22549	OFUSG23716.1
STRPU_08648	OFUSG18002.1
STRPU_20538	OFUSG25355.1
STRPU_22601	OFUSG06257.1
STRPU_22947	OFUSG17063.1
STRPU_19561	OFUSG08276.1
STRPU_25873	OFUSG05334.1
STRPU_21368	OFUSG11298.1
STRPU_21367	OFUSG11299.1
STRPU_06421	OFUSG14818.1
STRPU_22227	OFUSG04229.1
STRPU_25027	OFUSG04191.1
STRPU_22432	OFUSG12701.1
STRPU_08314	OFUSG10854.1
STRPU_19131	OFUSG07596.1
STRPU_06496	OFUSG24750.1
STRPU_22287	OFUSG06152.1
STRPU_21281	OFUSG11491.1
STRPU_26378	OFUSG08598.1
STRPU_21509	OFUSG21658.1
STRPU_27222	OFUSG20144.1
STRPU_20402	OFUSG08388.1
STRPU_18983	OFUSG21360.1
STRPU_21237	OFUSG11347.1
STRPU_12820	OFUSG25576.1
STRPU_24402	OFUSG10654.1
STRPU_23389	OFUSG16015.1
STRPU_23771	OFUSG23430.1
STRPU_10664	OFUSG16918.1
STRPU_25456	OFUSG04841.1
STRPU_21735	OFUSG07134.1
STRPU_12451	OFUSG07954.1
STRPU_24458	OFUSG13166.1
STRPU_21389	OFUSG21708.1
STRPU_25599	OFUSG18913.1
STRPU_09862	OFUSG02492.1
STRPU_17744	OFUSG01257.1
STRPU_07714	OFUSG16690.1
STRPU_24079	OFUSG24342.1
STRPU_23770	OFUSG04684.1
STRPU_14225	OFUSG26111.1
STRPU_04761	OFUSG10722.1
STRPU_25237	OFUSG21015.1
STRPU_06875	OFUSG25843.1
STRPU_09552	OFUSG05984.1
STRPU_07407	OFUSG20935.1
STRPU_26002	OFUSG20257.1
STRPU_25391	OFUSG20541.1
STRPU_07209	OFUSG13394.1
STRPU_10662	OFUSG17154.1
STRPU_09337	OFUSG19246.1
STRPU_03085	OFUSG09460.1
STRPU_21581	OFUSG12312.1
STRPU_21074	OFUSG25224.1
STRPU_26014	OFUSG05227.1
STRPU_06078	OFUSG14587.1
STRPU_14562	OFUSG22699.1
STRPU_05411	OFUSG03656.1
STRPU_16506	OFUSG26036.1
STRPU_22073	OFUSG16185.1
STRPU_21013	OFUSG21803.1
STRPU_11288	OFUSG16955.1
STRPU_22086	OFUSG26423.1
STRPU_09878	OFUSG05564.1
STRPU_15274	OFUSG24083.1
STRPU_22254	OFUSG23468.1
STRPU_10937	OFUSG24041.1
STRPU_10657	OFUSG23686.1
STRPU_24669	OFUSG21415.1
STRPU_06468	OFUSG14154.1
STRPU_23772	OFUSG04589.1
STRPU_17535	OFUSG00654.1
STRPU_26230	OFUSG05267.1
STRPU_01032	OFUSG21344.1
STRPU_27058	OFUSG20659.1
STRPU_21972	OFUSG23624.1
STRPU_18988	OFUSG17354.1
STRPU_23397	OFUSG21037.1
STRPU_25431	OFUSG04849.1
STRPU_05296	OFUSG02179.1
STRPU_03468	OFUSG09274.1
STRPU_25388	OFUSG23132.1
STRPU_09623	OFUSG06980.1
STRPU_04944	OFUSG03362.1
STRPU_14642	OFUSG22343.1
STRPU_26888	OFUSG09833.1
STRPU_08488	OFUSG18535.1
STRPU_08385	OFUSG05149.1
STRPU_26559	OFUSG08879.1
STRPU_05909	OFUSG02471.1
STRPU_04348	OFUSG10221.1
STRPU_13209	OFUSG16670.1
STRPU_14547	OFUSG22587.1
STRPU_21312	OFUSG22042.1
STRPU_12690	OFUSG07798.1
STRPU_14524	OFUSG15207.1
STRPU_26082	OFUSG05114.1
STRPU_20309	OFUSG08198.1
STRPU_19063	OFUSG23546.1
STRPU_04711	OFUSG10535.1
STRPU_21314	OFUSG11461.1
STRPU_17673	OFUSG01280.1
STRPU_17591	OFUSG00343.1
STRPU_22556	OFUSG16548.1
STRPU_21322	OFUSG11624.1
STRPU_25173	OFUSG16607.1
STRPU_04898	OFUSG10884.1
STRPU_10219	OFUSG19214.1
STRPU_24460	OFUSG12772.1
STRPU_19163	OFUSG17350.1
STRPU_26922	OFUSG19960.1
STRPU_26821	OFUSG20188.1
STRPU_19080	OFUSG21230.1
STRPU_23708	OFUSG06158.1
STRPU_21554	OFUSG21880.1
STRPU_03356	OFUSG09421.1
STRPU_09877	OFUSG06812.1
STRPU_08359	OFUSG10756.1
STRPU_22194	OFUSG26505.1
STRPU_15723	OFUSG07390.1
STRPU_19138	OFUSG17365.1
STRPU_08670	OFUSG10557.1
STRPU_07312	OFUSG07343.1
STRPU_07355	OFUSG17328.1
STRPU_03703	OFUSG09428.1
STRPU_09539	OFUSG06638.1
STRPU_05457	OFUSG02941.1
STRPU_09545	OFUSG18946.1
STRPU_10313	OFUSG05696.1
STRPU_05958	OFUSG14256.1
STRPU_09258	OFUSG10243.1
STRPU_02778	OFUSG08687.1
STRPU_03382	OFUSG08545.1
STRPU_05515	OFUSG03571.1
STRPU_25411	OFUSG05214.1
STRPU_09369	OFUSG18887.1
STRPU_10366	OFUSG18118.1
STRPU_14239	OFUSG15519.1
STRPU_10439	OFUSG13058.1
STRPU_22263	OFUSG13522.1
STRPU_17872	OFUSG01506.1
STRPU_24142	OFUSG04236.1
STRPU_25215	OFUSG16509.1
STRPU_25642	OFUSG12251.1
STRPU_25888	OFUSG04935.1
STRPU_07157	OFUSG21490.1
STRPU_17892	OFUSG01726.1
STRPU_07648	OFUSG23473.1
STRPU_25089	OFUSG04436.1
STRPU_23594	OFUSG03190.1
STRPU_14371	OFUSG25146.1
STRPU_17131	OFUSG01699.1
STRPU_18159	OFUSG21479.1
STRPU_07098	OFUSG26319.1
STRPU_04119	OFUSG24617.1
STRPU_04674	OFUSG17818.1
STRPU_19577	OFUSG05523.1
STRPU_25091	OFUSG16624.1
STRPU_10391	OFUSG19276.1
STRPU_13493	OFUSG22251.1
STRPU_08774	OFUSG03993.1
STRPU_20434	OFUSG26797.1
STRPU_20432	OFUSG26787.1
STRPU_14650	OFUSG07909.1
STRPU_06785	OFUSG10055.1
STRPU_26365	OFUSG09235.1
STRPU_18782	OFUSG17036.1
STRPU_20507	OFUSG25092.1
STRPU_14187	OFUSG23987.1
STRPU_23172	OFUSG19268.1
STRPU_06633	OFUSG14370.1
STRPU_21031	OFUSG12297.1
STRPU_12987	OFUSG10007.1
STRPU_26383	OFUSG09447.1
STRPU_08277	OFUSG11182.1
STRPU_11360	OFUSG00231.1
STRPU_21330	OFUSG11499.1
STRPU_06444	OFUSG24931.1
STRPU_19269	OFUSG23460.1
STRPU_23091	OFUSG04386.1
STRPU_18551	OFUSG17628.1
STRPU_07114	OFUSG04538.1
STRPU_24561	OFUSG17134.1
STRPU_20946	OFUSG12012.1
STRPU_03073	OFUSG09440.1
STRPU_10326	OFUSG05517.1
STRPU_25252	OFUSG20787.1
STRPU_20380	OFUSG22796.1
STRPU_14392	OFUSG15032.1
STRPU_25264	OFUSG20384.1
STRPU_10769	OFUSG11355.1
STRPU_00143	OFUSG12625.1
STRPU_04902	OFUSG10223.1
STRPU_10272	OFUSG18944.1
STRPU_21047	OFUSG22060.1
STRPU_27363	OFUSG09624.1
STRPU_24400	OFUSG23368.1
STRPU_04052	OFUSG10097.1
STRPU_12321	OFUSG07059.1
STRPU_23129	OFUSG05825.1
STRPU_06672	OFUSG14222.1
STRPU_18190	OFUSG23609.1
STRPU_25866	OFUSG22787.1
STRPU_25872	OFUSG20423.1
STRPU_09295	OFUSG10445.1
STRPU_06375	OFUSG06205.1
STRPU_17388	OFUSG09309.1
STRPU_26879	OFUSG09775.1
STRPU_08993	OFUSG18213.1
STRPU_20376	OFUSG12851.1
STRPU_20015	OFUSG08350.1
STRPU_20664	OFUSG25740.1
STRPU_14571	OFUSG24197.1
STRPU_09537	OFUSG06579.1
STRPU_06891	OFUSG14330.1
STRPU_23497	OFUSG19250.1
STRPU_24471	OFUSG17088.1
STRPU_20967	OFUSG12586.1
STRPU_23604	OFUSG19078.1
STRPU_19915	OFUSG08065.1
STRPU_05699	OFUSG02725.1
STRPU_09518	OFUSG06019.1
STRPU_10394	OFUSG06868.1
STRPU_09510	OFUSG06147.1
STRPU_21204	OFUSG22011.1
STRPU_20042	OFUSG07239.1
STRPU_05304	OFUSG03798.1
STRPU_08189	OFUSG26262.1
STRPU_14215	OFUSG23959.1
STRPU_21824	OFUSG21759.1
STRPU_04788	OFUSG11108.1
STRPU_05327	OFUSG19612.1
STRPU_07438	OFUSG21199.1
