AENJA_23461	BRALA00047
AENJA_24602	BRALA27747
AENJA_13210	BRALA25459
AENJA_11592	BRALA26831
AENJA_25256	BRALA10482
AENJA_04944	BRALA14404
AENJA_01851	BRALA30328
AENJA_23226	BRALA06772
AENJA_09360	BRALA17809
AENJA_25506	BRALA03524
AENJA_25756	BRALA15334
AENJA_04583	BRALA35714
AENJA_14035	BRALA28793
AENJA_02533	BRALA31232
AENJA_20254	BRALA14114
AENJA_07517	BRALA35406
AENJA_05228	BRALA21309
AENJA_15044	BRALA06484
AENJA_23345	BRALA24063
AENJA_10634	BRALA27304
AENJA_13132	BRALA11568
AENJA_17233	BRALA01718
AENJA_06413	BRALA13737
AENJA_07301	BRALA07400
AENJA_09642	BRALA21142
AENJA_21171	BRALA04453
AENJA_11228	BRALA16857
AENJA_14652	BRALA08308
AENJA_13128	BRALA12631
AENJA_05444	BRALA03848
AENJA_02295	BRALA03064
AENJA_24714	BRALA08058
AENJA_23745	BRALA11316
AENJA_18279	BRALA07061
AENJA_05831	BRALA18754
AENJA_21406	BRALA17353
AENJA_12918	BRALA20309
AENJA_12839	BRALA17324
AENJA_21283	BRALA06580
AENJA_13107	BRALA11472
AENJA_08162	BRALA09898
AENJA_16514	BRALA03171
AENJA_02482	BRALA18105
AENJA_17442	BRALA22809
AENJA_10507	BRALA13477
AENJA_25747	BRALA23991
AENJA_11460	BRALA12024
AENJA_24814	BRALA16357
AENJA_23710	BRALA03784
AENJA_05556	BRALA10231
AENJA_06487	BRALA35021
AENJA_24493	BRALA20574
AENJA_06382	BRALA25560
AENJA_08917	BRALA18829
AENJA_13798	BRALA30772
AENJA_19775	BRALA02414
AENJA_09728	BRALA34579
AENJA_02476	BRALA02609
AENJA_19633	BRALA22440
AENJA_26164	BRALA09731
AENJA_01954	BRALA04706
AENJA_08955	BRALA01722
AENJA_14582	BRALA34518
AENJA_09240	BRALA02509
AENJA_14053	BRALA24883
AENJA_15215	BRALA09558
AENJA_19631	BRALA35493
AENJA_08011	BRALA17244
AENJA_10755	BRALA29105
AENJA_26592	BRALA27830
AENJA_02684	BRALA26650
AENJA_26666	BRALA24675
AENJA_13743	BRALA17617
AENJA_04453	BRALA00973
AENJA_02203	BRALA05737
AENJA_09826	BRALA34204
AENJA_10010	BRALA12964
AENJA_15702	BRALA32936
AENJA_07109	BRALA02169
AENJA_09263	BRALA04629
AENJA_22788	BRALA07001
AENJA_13105	BRALA11476
AENJA_11261	BRALA16281
AENJA_22182	BRALA11475
AENJA_08161	BRALA11471
AENJA_04495	BRALA26544
AENJA_03187	BRALA05628
AENJA_26736	BRALA26268
AENJA_05859	BRALA23466
AENJA_09264	BRALA07049
AENJA_18946	BRALA11353
AENJA_04836	BRALA11356
AENJA_07507	BRALA21733
AENJA_11132	BRALA34921
AENJA_20308	BRALA06066
AENJA_04153	BRALA17083
AENJA_17569	BRALA16654
AENJA_00497	BRALA06242
AENJA_11687	BRALA34798
AENJA_21735	BRALA31378
AENJA_11469	BRALA13415
AENJA_21737	BRALA11658
AENJA_24734	BRALA02702
AENJA_22212	BRALA22999
AENJA_02943	BRALA25591
AENJA_15054	BRALA34007
AENJA_15053	BRALA10455
AENJA_05061	BRALA29102
AENJA_01263	BRALA32130
AENJA_14937	BRALA31761
AENJA_05753	BRALA12989
AENJA_16857	BRALA02306
AENJA_05166	BRALA23325
AENJA_00179	BRALA09942
AENJA_00569	BRALA19556
AENJA_08448	BRALA13000
AENJA_03922	BRALA16538
AENJA_10787	BRALA30660
AENJA_12111	BRALA04476
AENJA_18447	BRALA24371
AENJA_07187	BRALA24824
AENJA_13409	BRALA18487
AENJA_13294	BRALA19462
AENJA_20550	BRALA16575
AENJA_03158	BRALA11237
AENJA_08473	BRALA28027
AENJA_13258	BRALA06638
AENJA_06073	BRALA02682
AENJA_06959	BRALA09740
AENJA_24821	BRALA15645
AENJA_15219	BRALA01615
AENJA_04113	BRALA35730
AENJA_04545	BRALA17123
AENJA_06793	BRALA19184
AENJA_18033	BRALA09131
AENJA_00267	BRALA33750
AENJA_09998	BRALA06721
AENJA_10078	BRALA19981
AENJA_14259	BRALA20993
AENJA_09689	BRALA01909
AENJA_05305	BRALA13816
AENJA_20696	BRALA03686
AENJA_16046	BRALA18757
AENJA_08843	BRALA20263
AENJA_22272	BRALA09404
AENJA_03852	BRALA34386
AENJA_18616	BRALA30657
AENJA_13583	BRALA09635
AENJA_06437	BRALA20218
AENJA_19885	BRALA09638
AENJA_06752	BRALA21576
AENJA_22490	BRALA13619
AENJA_22199	BRALA14550
AENJA_15378	BRALA03655
AENJA_06675	BRALA05274
AENJA_19694	BRALA02780
AENJA_23240	BRALA03467
AENJA_12573	BRALA14189
AENJA_00133	BRALA16185
AENJA_04223	BRALA11221
AENJA_12926	BRALA14937
AENJA_00457	BRALA24651
AENJA_01110	BRALA06689
AENJA_20011	BRALA14737
AENJA_12472	BRALA02474
AENJA_05025	BRALA21195
AENJA_01890	BRALA28681
AENJA_24487	BRALA03383
AENJA_21122	BRALA04448
AENJA_13029	BRALA05034
AENJA_06576	BRALA34339
AENJA_10706	BRALA00876
AENJA_04024	BRALA05812
AENJA_25447	BRALA12046
AENJA_19821	BRALA35905
AENJA_00791	BRALA33365
AENJA_02934	BRALA15028
AENJA_07228	BRALA23230
AENJA_25417	BRALA03898
AENJA_19945	BRALA01840
AENJA_12084	BRALA10634
AENJA_00460	BRALA34100
AENJA_10244	BRALA13906
AENJA_06650	BRALA01549
AENJA_15363	BRALA24167
AENJA_08495	BRALA20465
AENJA_10700	BRALA27582
AENJA_02022	BRALA04116
AENJA_09853	BRALA02072
AENJA_14161	BRALA22406
AENJA_09843	BRALA04987
AENJA_06019	BRALA30155
AENJA_19535	BRALA26625
AENJA_14245	BRALA18838
AENJA_03100	BRALA06244
AENJA_19594	BRALA20464
AENJA_01564	BRALA11863
AENJA_05431	BRALA06695
AENJA_25579	BRALA09013
AENJA_02410	BRALA15838
AENJA_26333	BRALA07937
AENJA_17752	BRALA25085
AENJA_23771	BRALA25790
AENJA_24528	BRALA10199
AENJA_21159	BRALA18496
AENJA_06250	BRALA15240
AENJA_04201	BRALA13021
AENJA_21764	BRALA20081
AENJA_08669	BRALA24991
AENJA_09484	BRALA16850
AENJA_02917	BRALA15356
AENJA_02918	BRALA12823
AENJA_25695	BRALA32039
AENJA_16126	BRALA12009
AENJA_15394	BRALA31563
AENJA_14029	BRALA10899
AENJA_00138	BRALA11413
AENJA_06955	BRALA09678
AENJA_14902	BRALA05275
AENJA_10997	BRALA06390
AENJA_08883	BRALA33285
AENJA_02730	BRALA04992
AENJA_08719	BRALA33947
AENJA_08720	BRALA34509
AENJA_24994	BRALA03818
AENJA_21144	BRALA26639
AENJA_08858	BRALA25256
AENJA_12104	BRALA21572
AENJA_03995	BRALA15664
AENJA_19718	BRALA18417
AENJA_21139	BRALA13500
AENJA_08490	BRALA23685
AENJA_20347	BRALA27475
AENJA_07959	BRALA29869
AENJA_08159	BRALA11493
AENJA_20326	BRALA00852
AENJA_16451	BRALA10176
AENJA_16648	BRALA02715
AENJA_15869	BRALA18235
AENJA_15870	BRALA18234
AENJA_06322	BRALA21379
AENJA_07578	BRALA06482
AENJA_22255	BRALA13278
AENJA_23739	BRALA00684
AENJA_15217	BRALA15062
AENJA_25508	BRALA03454
AENJA_24317	BRALA13304
AENJA_26747	BRALA03661
AENJA_18604	BRALA23983
AENJA_13387	BRALA22162
AENJA_01524	BRALA09424
AENJA_23458	BRALA18598
AENJA_02524	BRALA28915
AENJA_25880	BRALA28035
AENJA_01646	BRALA08461
AENJA_23339	BRALA35067
AENJA_04225	BRALA29439
AENJA_18481	BRALA22416
AENJA_12716	BRALA28501
AENJA_11345	BRALA14627
AENJA_19966	BRALA05942
AENJA_05337	BRALA11891
AENJA_16057	BRALA35023
AENJA_01313	BRALA19728
AENJA_20619	BRALA25721
AENJA_23705	BRALA03950
AENJA_08472	BRALA15637
AENJA_16154	BRALA02907
AENJA_18053	BRALA01067
AENJA_07424	BRALA01010
AENJA_02624	BRALA31205
AENJA_23362	BRALA14278
AENJA_15690	BRALA25493
AENJA_22664	BRALA07917
AENJA_20126	BRALA00213
AENJA_25612	BRALA08611
AENJA_25861	BRALA30880
AENJA_26486	BRALA13825
AENJA_09491	BRALA25596
AENJA_18533	BRALA35710
AENJA_13192	BRALA15013
AENJA_22299	BRALA03386
AENJA_14078	BRALA24768
AENJA_15903	BRALA30923
AENJA_00431	BRALA17089
AENJA_00924	BRALA11640
AENJA_04274	BRALA09005
AENJA_20305	BRALA31687
AENJA_05493	BRALA00146
AENJA_19835	BRALA26265
AENJA_05645	BRALA35868
AENJA_13697	BRALA01009
AENJA_11315	BRALA28171
AENJA_14099	BRALA28448
AENJA_04794	BRALA26089
AENJA_15177	BRALA02274
AENJA_10717	BRALA29935
AENJA_25711	BRALA06031
AENJA_14005	BRALA13099
AENJA_08623	BRALA11831
AENJA_26154	BRALA29271
AENJA_22716	BRALA00860
AENJA_21567	BRALA31361
AENJA_15749	BRALA12833
AENJA_24242	BRALA30284
AENJA_04971	BRALA08456
AENJA_18838	BRALA18611
AENJA_10537	BRALA15783
AENJA_22918	BRALA08267
AENJA_10254	BRALA23771
AENJA_10744	BRALA31921
AENJA_18516	BRALA23435
AENJA_11897	BRALA23054
AENJA_24763	BRALA29978
AENJA_15704	BRALA25996
AENJA_21822	BRALA14011
AENJA_14684	BRALA01775
AENJA_09892	BRALA33943
AENJA_03823	BRALA34778
AENJA_25316	BRALA19351
AENJA_16703	BRALA06333
AENJA_14680	BRALA01777
AENJA_07033	BRALA26332
AENJA_12155	BRALA00455
AENJA_18403	BRALA30012
AENJA_22347	BRALA11440
AENJA_22698	BRALA18615
AENJA_12143	BRALA06793
AENJA_06388	BRALA06714
AENJA_09442	BRALA04832
AENJA_11266	BRALA01209
AENJA_11660	BRALA03160
AENJA_23793	BRALA08348
AENJA_26085	BRALA34670
AENJA_14143	BRALA04322
AENJA_05665	BRALA01953
AENJA_01108	BRALA21413
AENJA_06241	BRALA05874
AENJA_17116	BRALA05151
AENJA_19991	BRALA32209
AENJA_21234	BRALA21721
AENJA_11040	BRALA28218
AENJA_10888	BRALA34203
AENJA_21404	BRALA00561
AENJA_26231	BRALA06660
AENJA_18235	BRALA21468
AENJA_12102	BRALA06166
AENJA_15653	BRALA13863
AENJA_16219	BRALA09830
AENJA_03019	BRALA06237
AENJA_17426	BRALA13675
AENJA_08549	BRALA18991
AENJA_24860	BRALA23044
AENJA_10323	BRALA19035
AENJA_23323	BRALA01801
AENJA_23657	BRALA30915
AENJA_07650	BRALA30244
AENJA_21364	BRALA23798
AENJA_20819	BRALA25405
AENJA_08940	BRALA30174
AENJA_15885	BRALA14524
AENJA_22469	BRALA29773
AENJA_03365	BRALA34223
AENJA_16673	BRALA02260
AENJA_15743	BRALA15987
AENJA_07978	BRALA30761
AENJA_10311	BRALA29697
AENJA_12549	BRALA27951
AENJA_09374	BRALA29108
AENJA_11770	BRALA27731
AENJA_05733	BRALA28315
AENJA_22982	BRALA10740
AENJA_10288	BRALA25433
AENJA_23068	BRALA17892
AENJA_20709	BRALA15766
AENJA_24285	BRALA17998
AENJA_05512	BRALA16555
AENJA_26141	BRALA15053
AENJA_20251	BRALA10583
AENJA_22558	BRALA33310
AENJA_24353	BRALA14184
AENJA_09587	BRALA34677
AENJA_09588	BRALA19002
AENJA_20878	BRALA33783
AENJA_14480	BRALA28328
AENJA_23244	BRALA28329
AENJA_16592	BRALA27659
AENJA_22951	BRALA10023
AENJA_11417	BRALA03647
AENJA_18772	BRALA22257
AENJA_18773	BRALA29577
AENJA_00628	BRALA35066
AENJA_10931	BRALA07851
AENJA_12938	BRALA13763
AENJA_14446	BRALA07740
AENJA_20917	BRALA17523
AENJA_19515	BRALA29437
AENJA_19712	BRALA24404
AENJA_24836	BRALA11723
AENJA_02664	BRALA20618
AENJA_09834	BRALA21735
AENJA_11465	BRALA07980
AENJA_21734	BRALA05807
AENJA_05447	BRALA17016
AENJA_18700	BRALA24846
AENJA_18701	BRALA31119
AENJA_22245	BRALA04568
AENJA_19003	BRALA04179
AENJA_24585	BRALA19477
AENJA_22612	BRALA25053
AENJA_23211	BRALA23223
AENJA_05189	BRALA20630
AENJA_10012	BRALA08668
AENJA_23565	BRALA13353
AENJA_13079	BRALA21823
AENJA_14711	BRALA27713
AENJA_06922	BRALA23832
AENJA_17430	BRALA13681
AENJA_09124	BRALA00596
AENJA_06261	BRALA19421
AENJA_25601	BRALA34642
AENJA_21071	BRALA03994
AENJA_10948	BRALA24399
AENJA_15907	BRALA22583
AENJA_14730	BRALA21474
AENJA_19997	BRALA22718
AENJA_23603	BRALA31577
AENJA_01455	BRALA17425
AENJA_25856	BRALA15030
AENJA_02716	BRALA19937
AENJA_18770	BRALA33010
AENJA_05866	BRALA30970
AENJA_02750	BRALA24438
AENJA_05835	BRALA33118
AENJA_03220	BRALA01402
AENJA_03681	BRALA35830
AENJA_24754	BRALA10469
AENJA_04710	BRALA17689
AENJA_09428	BRALA30383
AENJA_13580	BRALA26260
AENJA_19255	BRALA02419
AENJA_15347	BRALA25966
AENJA_15345	BRALA25968
AENJA_15344	BRALA25970
AENJA_17591	BRALA24843
AENJA_25758	BRALA20335
AENJA_02286	BRALA00972
AENJA_21633	BRALA24520
AENJA_19774	BRALA07082
AENJA_25061	BRALA25344
AENJA_08329	BRALA13642
AENJA_12392	BRALA22980
AENJA_21036	BRALA10467
AENJA_17174	BRALA03529
AENJA_15216	BRALA10983
AENJA_21288	BRALA24011
AENJA_10748	BRALA07224
AENJA_01626	BRALA07985
AENJA_07369	BRALA16892
AENJA_17434	BRALA13634
AENJA_20949	BRALA11986
AENJA_01735	BRALA08057
AENJA_03157	BRALA04542
AENJA_20028	BRALA02697
AENJA_15613	BRALA20389
AENJA_13627	BRALA27313
AENJA_06346	BRALA24582
AENJA_20929	BRALA30072
AENJA_10824	BRALA03493
AENJA_11546	BRALA28136
AENJA_19025	BRALA18939
AENJA_11959	BRALA17090
AENJA_23743	BRALA14226
AENJA_02871	BRALA01906
AENJA_17960	BRALA33185
AENJA_23811	BRALA19634
AENJA_12652	BRALA09669
AENJA_13466	BRALA29835
AENJA_25533	BRALA28627
AENJA_13648	BRALA16689
AENJA_04829	BRALA18632
AENJA_16161	BRALA35665
AENJA_07771	BRALA25973
AENJA_10965	BRALA16533
AENJA_22126	BRALA20016
AENJA_00652	BRALA01193
AENJA_00673	BRALA20003
AENJA_22405	BRALA04294
AENJA_07139	BRALA20004
AENJA_04823	BRALA03156
AENJA_04819	BRALA03157
AENJA_15937	BRALA33518
AENJA_23986	BRALA04554
AENJA_04198	BRALA33635
AENJA_06847	BRALA10474
AENJA_01439	BRALA04158
AENJA_24472	BRALA13305
AENJA_21495	BRALA06276
AENJA_10413	BRALA25579
AENJA_14841	BRALA17169
AENJA_18167	BRALA23202
AENJA_19016	BRALA28214
AENJA_07203	BRALA11703
AENJA_11032	BRALA06149
AENJA_02173	BRALA24117
AENJA_03705	BRALA23211
AENJA_15570	BRALA13759
AENJA_04404	BRALA25556
AENJA_05842	BRALA35612
AENJA_08984	BRALA10565
AENJA_12150	BRALA08295
AENJA_18458	BRALA33661
AENJA_20329	BRALA00898
AENJA_00257	BRALA35927
AENJA_00603	BRALA05018
AENJA_08029	BRALA03301
AENJA_00795	BRALA09683
AENJA_13840	BRALA01186
AENJA_00938	BRALA10172
AENJA_01709	BRALA18789
AENJA_03923	BRALA02763
AENJA_12321	BRALA16043
AENJA_10033	BRALA15238
AENJA_06971	BRALA19739
AENJA_10581	BRALA26139
AENJA_14030	BRALA08858
AENJA_23946	BRALA02401
AENJA_18091	BRALA21677
AENJA_23407	BRALA28498
AENJA_26449	BRALA03871
AENJA_10491	BRALA05296
AENJA_04787	BRALA10976
AENJA_12473	BRALA20784
AENJA_12494	BRALA02434
AENJA_02057	BRALA02091
AENJA_15913	BRALA17045
AENJA_19227	BRALA10082
AENJA_14612	BRALA08022
AENJA_16007	BRALA14964
AENJA_08346	BRALA06643
AENJA_09106	BRALA34432
AENJA_14697	BRALA09055
AENJA_21432	BRALA25698
AENJA_08838	BRALA23680
AENJA_11200	BRALA01178
AENJA_04711	BRALA23679
AENJA_07204	BRALA12194
AENJA_23886	BRALA05974
AENJA_12389	BRALA01121
AENJA_07801	BRALA13293
AENJA_10770	BRALA10056
AENJA_15834	BRALA12877
AENJA_24261	BRALA00292
AENJA_25642	BRALA34140
AENJA_11591	BRALA07389
AENJA_00649	BRALA21585
AENJA_16763	BRALA10823
AENJA_15960	BRALA10606
AENJA_18432	BRALA28914
AENJA_26108	BRALA14527
AENJA_22604	BRALA07411
AENJA_00591	BRALA28831
AENJA_26667	BRALA05171
AENJA_01120	BRALA27046
AENJA_10740	BRALA21594
AENJA_02216	BRALA12515
AENJA_22300	BRALA00348
AENJA_09068	BRALA12917
AENJA_15686	BRALA34310
AENJA_08837	BRALA14460
AENJA_07914	BRALA13715
AENJA_12914	BRALA20315
AENJA_12920	BRALA20314
AENJA_13286	BRALA23656
AENJA_17341	BRALA13502
AENJA_20419	BRALA20638
AENJA_22260	BRALA25961
AENJA_22263	BRALA10305
AENJA_22560	BRALA15635
AENJA_24479	BRALA25731
AENJA_10656	BRALA03331
AENJA_13641	BRALA22192
AENJA_01594	BRALA01367
AENJA_06861	BRALA12795
AENJA_04150	BRALA29299
AENJA_16571	BRALA29300
AENJA_08422	BRALA01807
AENJA_22232	BRALA21364
AENJA_14707	BRALA00744
AENJA_20107	BRALA05140
AENJA_17040	BRALA18203
AENJA_06215	BRALA12027
AENJA_00390	BRALA03891
AENJA_19776	BRALA02413
AENJA_01187	BRALA32315
AENJA_05472	BRALA14451
AENJA_10797	BRALA17595
AENJA_11925	BRALA13626
AENJA_13993	BRALA22751
AENJA_16513	BRALA07756
AENJA_02164	BRALA05348
AENJA_24609	BRALA00801
AENJA_02925	BRALA10599
AENJA_23135	BRALA03695
AENJA_25867	BRALA04143
AENJA_11030	BRALA11706
AENJA_21712	BRALA20882
AENJA_05704	BRALA03932
AENJA_07214	BRALA00540
AENJA_18385	BRALA03663
AENJA_14055	BRALA17018
AENJA_07677	BRALA13068
AENJA_23147	BRALA07697
AENJA_10746	BRALA14959
AENJA_24188	BRALA34137
AENJA_00764	BRALA12514
AENJA_02455	BRALA19087
AENJA_21604	BRALA31135
AENJA_14692	BRALA34346
AENJA_18083	BRALA16335
AENJA_09091	BRALA05105
AENJA_13518	BRALA05134
AENJA_24422	BRALA04434
AENJA_00152	BRALA03274
AENJA_00962	BRALA00081
AENJA_11386	BRALA12338
AENJA_19531	BRALA27576
AENJA_05909	BRALA19376
AENJA_06120	BRALA26804
AENJA_06598	BRALA35105
AENJA_17459	BRALA28673
AENJA_26527	BRALA25841
AENJA_07613	BRALA11776
AENJA_20937	BRALA26844
AENJA_07998	BRALA03113
AENJA_15113	BRALA04525
AENJA_19063	BRALA08900
AENJA_19600	BRALA08811
AENJA_22939	BRALA18427
AENJA_00019	BRALA04845
AENJA_20580	BRALA19162
AENJA_01456	BRALA35115
AENJA_03586	BRALA33856
AENJA_12705	BRALA21177
AENJA_06473	BRALA16416
AENJA_06798	BRALA02222
AENJA_07645	BRALA17119
AENJA_07937	BRALA11822
AENJA_07996	BRALA03146
AENJA_08703	BRALA10301
AENJA_14919	BRALA09033
AENJA_08833	BRALA11284
AENJA_13562	BRALA04723
AENJA_23882	BRALA05982
AENJA_19719	BRALA10038
AENJA_21849	BRALA27657
AENJA_23321	BRALA21924
AENJA_00163	BRALA10243
AENJA_21693	BRALA09188
AENJA_02929	BRALA15051
AENJA_02481	BRALA24377
AENJA_05911	BRALA07192
AENJA_16901	BRALA06371
AENJA_26740	BRALA22494
AENJA_25522	BRALA28132
AENJA_18001	BRALA15321
AENJA_16167	BRALA21068
AENJA_02063	BRALA03360
AENJA_05473	BRALA34042
AENJA_17075	BRALA25104
AENJA_07565	BRALA24516
AENJA_26790	BRALA32043
AENJA_08748	BRALA24856
AENJA_11633	BRALA21702
AENJA_09966	BRALA14998
AENJA_11700	BRALA19448
AENJA_20431	BRALA15366
AENJA_16626	BRALA09094
AENJA_00754	BRALA21805
AENJA_09851	BRALA04563
AENJA_01733	BRALA18657
AENJA_17498	BRALA13147
AENJA_14502	BRALA25852
AENJA_01829	BRALA14244
AENJA_02966	BRALA29788
AENJA_06210	BRALA14602
AENJA_06536	BRALA27860
AENJA_19720	BRALA19541
AENJA_08166	BRALA30526
AENJA_10314	BRALA23597
AENJA_25029	BRALA17396
AENJA_23792	BRALA15692
AENJA_12733	BRALA23860
AENJA_14023	BRALA20990
AENJA_14048	BRALA01130
AENJA_00401	BRALA26880
AENJA_00580	BRALA16973
AENJA_01969	BRALA08785
AENJA_16617	BRALA08784
AENJA_22086	BRALA00543
AENJA_02339	BRALA00290
AENJA_08584	BRALA15765
AENJA_19508	BRALA08187
AENJA_04000	BRALA16910
AENJA_21157	BRALA16820
AENJA_04673	BRALA33620
AENJA_05461	BRALA08202
AENJA_05453	BRALA08201
AENJA_06554	BRALA18599
AENJA_08232	BRALA10453
AENJA_22675	BRALA16596
AENJA_26657	BRALA22745
AENJA_17036	BRALA14646
AENJA_23956	BRALA12453
AENJA_01165	BRALA03591
AENJA_06323	BRALA20733
AENJA_02282	BRALA03357
AENJA_02547	BRALA30500
AENJA_02972	BRALA11137
AENJA_22529	BRALA03874
AENJA_03154	BRALA14943
AENJA_03395	BRALA07314
AENJA_26036	BRALA06799
AENJA_06257	BRALA08644
AENJA_16263	BRALA00637
AENJA_11682	BRALA23676
AENJA_08414	BRALA19988
AENJA_08762	BRALA17579
AENJA_09037	BRALA04219
AENJA_13820	BRALA16982
AENJA_19042	BRALA23940
AENJA_23574	BRALA15995
AENJA_25125	BRALA10034
AENJA_01350	BRALA13132
AENJA_08136	BRALA29385
AENJA_20560	BRALA12870
AENJA_02296	BRALA16394
AENJA_10712	BRALA08770
AENJA_07118	BRALA29242
AENJA_11066	BRALA01976
AENJA_21965	BRALA35638
AENJA_13424	BRALA07286
AENJA_16016	BRALA01185
AENJA_17128	BRALA24042
AENJA_21663	BRALA19471
AENJA_25248	BRALA06003
AENJA_23659	BRALA19531
AENJA_24757	BRALA24730
AENJA_24783	BRALA13978
AENJA_05530	BRALA21974
AENJA_26608	BRALA14145
AENJA_15956	BRALA31587
AENJA_12182	BRALA13325
AENJA_25578	BRALA20548
AENJA_02776	BRALA10130
AENJA_03120	BRALA16207
AENJA_03151	BRALA20751
AENJA_04437	BRALA11115
AENJA_07594	BRALA32878
AENJA_12462	BRALA15099
AENJA_12602	BRALA06708
AENJA_13410	BRALA31425
AENJA_13779	BRALA06800
AENJA_15619	BRALA21121
AENJA_24181	BRALA11546
AENJA_00375	BRALA11036
AENJA_01047	BRALA11238
AENJA_02745	BRALA08587
AENJA_16062	BRALA19576
AENJA_08021	BRALA34285
AENJA_03449	BRALA12808
AENJA_06392	BRALA06640
AENJA_05825	BRALA17006
AENJA_03704	BRALA06712
AENJA_07821	BRALA18889
AENJA_08095	BRALA16690
AENJA_10657	BRALA01158
AENJA_15475	BRALA22627
AENJA_19790	BRALA03613
AENJA_21475	BRALA15808
AENJA_18929	BRALA29817
AENJA_00807	BRALA09682
AENJA_01569	BRALA20184
AENJA_05855	BRALA08290
AENJA_02550	BRALA31456
AENJA_10264	BRALA13847
AENJA_03947	BRALA12769
AENJA_04073	BRALA13315
AENJA_09896	BRALA13682
AENJA_09332	BRALA24848
AENJA_07171	BRALA22369
AENJA_16474	BRALA20406
AENJA_16877	BRALA19647
AENJA_17138	BRALA18566
AENJA_18221	BRALA08314
AENJA_19251	BRALA07017
AENJA_23025	BRALA21202
AENJA_25247	BRALA00514
AENJA_00718	BRALA06483
AENJA_01387	BRALA15961
AENJA_02199	BRALA00254
AENJA_18229	BRALA14774
AENJA_15729	BRALA13887
AENJA_02419	BRALA35235
AENJA_25097	BRALA17080
AENJA_02726	BRALA24794
AENJA_22327	BRALA28901
AENJA_06304	BRALA13668
AENJA_06313	BRALA08129
AENJA_23050	BRALA16554
AENJA_12960	BRALA07680
