STRPU_22262	AENJA_23461
STRPU_12828	AENJA_08471
STRPU_13000	AENJA_24560
STRPU_09802	AENJA_12079
STRPU_04938	AENJA_26664
STRPU_10710	AENJA_23969
STRPU_00051	AENJA_24602
STRPU_21629	AENJA_06141
STRPU_00473	AENJA_24504
STRPU_26605	AENJA_09131
STRPU_15458	AENJA_11619
STRPU_09674	AENJA_23226
STRPU_20602	AENJA_09360
STRPU_20482	AENJA_16735
STRPU_26191	AENJA_25506
STRPU_17072	AENJA_20702
STRPU_23537	AENJA_25756
STRPU_23534	AENJA_10359
STRPU_17685	AENJA_24580
STRPU_17686	AENJA_11158
STRPU_17073	AENJA_26413
STRPU_04345	AENJA_17680
STRPU_16312	AENJA_04583
STRPU_27246	AENJA_15112
STRPU_09915	AENJA_14744
STRPU_10261	AENJA_09568
STRPU_26180	AENJA_20111
STRPU_19327	AENJA_20268
STRPU_05523	AENJA_14653
STRPU_09580	AENJA_11025
STRPU_09783	AENJA_12354
STRPU_08638	AENJA_10634
STRPU_05220	AENJA_13132
STRPU_05822	AENJA_17651
STRPU_02976	AENJA_26400
STRPU_24855	AENJA_17233
STRPU_18179	AENJA_19748
STRPU_17613	AENJA_06413
STRPU_12994	AENJA_23597
STRPU_13962	AENJA_07301
STRPU_13961	AENJA_07304
STRPU_18989	AENJA_20321
STRPU_23711	AENJA_03789
STRPU_18657	AENJA_26394
STRPU_12264	AENJA_15514
STRPU_13323	AENJA_02556
STRPU_07404	AENJA_19946
STRPU_11385	AENJA_04270
STRPU_24462	AENJA_15982
STRPU_17447	AENJA_15427
STRPU_26424	AENJA_09128
STRPU_26426	AENJA_17346
STRPU_26931	AENJA_12868
STRPU_05232	AENJA_14652
STRPU_05349	AENJA_13128
STRPU_05343	AENJA_02450
STRPU_08362	AENJA_02295
STRPU_24425	AENJA_05555
STRPU_13956	AENJA_14253
STRPU_25005	AENJA_23745
STRPU_10595	AENJA_05831
STRPU_23991	AENJA_12839
STRPU_13965	AENJA_10025
STRPU_09555	AENJA_13107
STRPU_10408	AENJA_07475
STRPU_09553	AENJA_08162
STRPU_07324	AENJA_06551
STRPU_08802	AENJA_16680
STRPU_22246	AENJA_26653
STRPU_04091	AENJA_02482
STRPU_18951	AENJA_11460
STRPU_24279	AENJA_12490
STRPU_09358	AENJA_24184
STRPU_04595	AENJA_16500
STRPU_04404	AENJA_23710
STRPU_09804	AENJA_11709
STRPU_24977	AENJA_05556
STRPU_15094	AENJA_06487
STRPU_25637	AENJA_24493
STRPU_14802	AENJA_20539
STRPU_14879	AENJA_06382
STRPU_17832	AENJA_08917
STRPU_25446	AENJA_05350
STRPU_20681	AENJA_19109
STRPU_22865	AENJA_08976
STRPU_25132	AENJA_03163
STRPU_23330	AENJA_19935
STRPU_06425	AENJA_11026
STRPU_20197	AENJA_16163
STRPU_02923	AENJA_26164
STRPU_05470	AENJA_06259
STRPU_15706	AENJA_01954
STRPU_09275	AENJA_01389
STRPU_08252	AENJA_09135
STRPU_19407	AENJA_26553
STRPU_00722	AENJA_19114
STRPU_06019	AENJA_25727
STRPU_27319	AENJA_21947
STRPU_11677	AENJA_09240
STRPU_11799	AENJA_16144
STRPU_26921	AENJA_22563
STRPU_27157	AENJA_15215
STRPU_15397	AENJA_17408
STRPU_11396	AENJA_20876
STRPU_12617	AENJA_26592
STRPU_17410	AENJA_26594
STRPU_00098	AENJA_06075
STRPU_08665	AENJA_10812
STRPU_08161	AENJA_14367
STRPU_22118	AENJA_02684
STRPU_03686	AENJA_26666
STRPU_13782	AENJA_18029
STRPU_25282	AENJA_21591
STRPU_25442	AENJA_13743
STRPU_13718	AENJA_21690
STRPU_12724	AENJA_21287
STRPU_20491	AENJA_19995
STRPU_08159	AENJA_04205
STRPU_27221	AENJA_23685
STRPU_14625	AENJA_17822
STRPU_16027	AENJA_02548
STRPU_13805	AENJA_08115
STRPU_13905	AENJA_08491
STRPU_25147	AENJA_09034
STRPU_04552	AENJA_15702
STRPU_24150	AENJA_09263
STRPU_09939	AENJA_11261
STRPU_09807	AENJA_08155
STRPU_21429	AENJA_01277
STRPU_05815	AENJA_12299
STRPU_06249	AENJA_04063
STRPU_09291	AENJA_04495
STRPU_09293	AENJA_04496
STRPU_10604	AENJA_09769
STRPU_21471	AENJA_05859
STRPU_12461	AENJA_02605
STRPU_14800	AENJA_16597
STRPU_25037	AENJA_18946
STRPU_25182	AENJA_04836
STRPU_11727	AENJA_07272
STRPU_06870	AENJA_24273
STRPU_26672	AENJA_07507
STRPU_06620	AENJA_11132
STRPU_06619	AENJA_20308
STRPU_07791	AENJA_04153
STRPU_07458	AENJA_17569
STRPU_08311	AENJA_00497
STRPU_05989	AENJA_21735
STRPU_06625	AENJA_21737
STRPU_05461	AENJA_24734
STRPU_21319	AENJA_23277
STRPU_07622	AENJA_20044
STRPU_07118	AENJA_26083
STRPU_20304	AENJA_24347
STRPU_13451	AENJA_05753
STRPU_25290	AENJA_05407
STRPU_10450	AENJA_24548
STRPU_10707	AENJA_03761
STRPU_24812	AENJA_12275
STRPU_19988	AENJA_03922
STRPU_20621	AENJA_10787
STRPU_19851	AENJA_13408
STRPU_20407	AENJA_03698
STRPU_09019	AENJA_04313
STRPU_04764	AENJA_11964
STRPU_16503	AENJA_03918
STRPU_17487	AENJA_18738
STRPU_07137	AENJA_20550
STRPU_08448	AENJA_03158
STRPU_22616	AENJA_08473
STRPU_25761	AENJA_07142
STRPU_07153	AENJA_06739
STRPU_20283	AENJA_12334
STRPU_20008	AENJA_06073
STRPU_24405	AENJA_06959
STRPU_11554	AENJA_13005
STRPU_26981	AENJA_01578
STRPU_08825	AENJA_14266
STRPU_08826	AENJA_14265
STRPU_22081	AENJA_02338
STRPU_27289	AENJA_15219
STRPU_14794	AENJA_16006
STRPU_08011	AENJA_04545
STRPU_07745	AENJA_04868
STRPU_07671	AENJA_12328
STRPU_14714	AENJA_00267
STRPU_04281	AENJA_09998
STRPU_25567	AENJA_10078
STRPU_23493	AENJA_02198
STRPU_24379	AENJA_10259
STRPU_24563	AENJA_05120
STRPU_25919	AENJA_14465
STRPU_00448	AENJA_16039
STRPU_00335	AENJA_21362
STRPU_10518	AENJA_23405
STRPU_10517	AENJA_16046
STRPU_10957	AENJA_19397
STRPU_22671	AENJA_22272
STRPU_05812	AENJA_11285
STRPU_24761	AENJA_15115
STRPU_21811	AENJA_03852
STRPU_03432	AENJA_18616
STRPU_03075	AENJA_21091
STRPU_13433	AENJA_05818
STRPU_25410	AENJA_06437
STRPU_12952	AENJA_22490
STRPU_04042	AENJA_15378
STRPU_05454	AENJA_07560
STRPU_24929	AENJA_02749
STRPU_07493	AENJA_20612
STRPU_19951	AENJA_19694
STRPU_08187	AENJA_16678
STRPU_06442	AENJA_01834
STRPU_06815	AENJA_16048
STRPU_06128	AENJA_12573
STRPU_27311	AENJA_24625
STRPU_14405	AENJA_03262
STRPU_08330	AENJA_04223
STRPU_14748	AENJA_00457
STRPU_24292	AENJA_20011
STRPU_10908	AENJA_10014
STRPU_10827	AENJA_10780
STRPU_10936	AENJA_01745
STRPU_21337	AENJA_05025
STRPU_24168	AENJA_13787
STRPU_13489	AENJA_22602
STRPU_14840	AENJA_16595
STRPU_19233	AENJA_21122
STRPU_18344	AENJA_13029
STRPU_19157	AENJA_19501
STRPU_19341	AENJA_13513
STRPU_18682	AENJA_07421
STRPU_06342	AENJA_04024
STRPU_02785	AENJA_25447
STRPU_18014	AENJA_09895
STRPU_21779	AENJA_19821
STRPU_27150	AENJA_02934
STRPU_12595	AENJA_07228
STRPU_04095	AENJA_25417
STRPU_07403	AENJA_19945
STRPU_11837	AENJA_20772
STRPU_04617	AENJA_08885
STRPU_25006	AENJA_18945
STRPU_16065	AENJA_12084
STRPU_26038	AENJA_15540
STRPU_22388	AENJA_18668
STRPU_25172	AENJA_15987
STRPU_25142	AENJA_15991
STRPU_15282	AENJA_00460
STRPU_15283	AENJA_10515
STRPU_08039	AENJA_06650
STRPU_15060	AENJA_22711
STRPU_15398	AENJA_04754
STRPU_21417	AENJA_18059
STRPU_25853	AENJA_08495
STRPU_21959	AENJA_20464
STRPU_22357	AENJA_09580
STRPU_19457	AENJA_15984
STRPU_02747	AENJA_13806
STRPU_19351	AENJA_04371
STRPU_22182	AENJA_02022
STRPU_11520	AENJA_09853
STRPU_21093	AENJA_15471
STRPU_20268	AENJA_25135
STRPU_26157	AENJA_03329
STRPU_24519	AENJA_17228
STRPU_24683	AENJA_09843
STRPU_20505	AENJA_06019
STRPU_11928	AENJA_26524
STRPU_25990	AENJA_02207
STRPU_07221	AENJA_11679
STRPU_27110	AENJA_21466
STRPU_05823	AENJA_01564
STRPU_12654	AENJA_25579
STRPU_10552	AENJA_02410
STRPU_02979	AENJA_17752
STRPU_02821	AENJA_10368
STRPU_21343	AENJA_23771
STRPU_06497	AENJA_05199
STRPU_19461	AENJA_24528
STRPU_14842	AENJA_04595
STRPU_27378	AENJA_21159
STRPU_27217	AENJA_18420
STRPU_08780	AENJA_04201
STRPU_22696	AENJA_21764
STRPU_21352	AENJA_08669
STRPU_09922	AENJA_01055
STRPU_22338	AENJA_09484
STRPU_22982	AENJA_02917
STRPU_13994	AENJA_15280
STRPU_21206	AENJA_16126
STRPU_21143	AENJA_14029
STRPU_13735	AENJA_07943
STRPU_13553	AENJA_08114
STRPU_24826	AENJA_06955
STRPU_18566	AENJA_14902
STRPU_08558	AENJA_10997
STRPU_06064	AENJA_20225
STRPU_21415	AENJA_06085
STRPU_23462	AENJA_02730
STRPU_17784	AENJA_08719
STRPU_04892	AENJA_24994
STRPU_04283	AENJA_08858
STRPU_20692	AENJA_12104
STRPU_26995	AENJA_20449
STRPU_20400	AENJA_19718
STRPU_26641	AENJA_21139
STRPU_09543	AENJA_07959
STRPU_09417	AENJA_08159
STRPU_20354	AENJA_14484
STRPU_07330	AENJA_03142
STRPU_18787	AENJA_20326
STRPU_20022	AENJA_16648
STRPU_18786	AENJA_13824
STRPU_18677	AENJA_25023
STRPU_12560	AENJA_15869
STRPU_12562	AENJA_15870
STRPU_19614	AENJA_08301
STRPU_21796	AENJA_22255
STRPU_25535	AENJA_25508
STRPU_11700	AENJA_06788
STRPU_11729	AENJA_16942
STRPU_07501	AENJA_07480
STRPU_10441	AENJA_20707
STRPU_11404	AENJA_25104
STRPU_10372	AENJA_18604
STRPU_22541	AENJA_15683
STRPU_23290	AENJA_01524
STRPU_21971	AENJA_23458
STRPU_04181	AENJA_01416
STRPU_21784	AENJA_24232
STRPU_21608	AENJA_10035
STRPU_22032	AENJA_01646
STRPU_08810	AENJA_04225
STRPU_25229	AENJA_18481
STRPU_19424	AENJA_20912
STRPU_19517	AENJA_20756
STRPU_26934	AENJA_11345
STRPU_06464	AENJA_19966
STRPU_05481	AENJA_05337
STRPU_10597	AENJA_16057
STRPU_23132	AENJA_01313
STRPU_21176	AENJA_10482
STRPU_05385	AENJA_19100
STRPU_23166	AENJA_20619
STRPU_04688	AENJA_23705
STRPU_19997	AENJA_16154
STRPU_18694	AENJA_07424
STRPU_05283	AENJA_02624
STRPU_06234	AENJA_23362
STRPU_05710	AENJA_07618
STRPU_14332	AENJA_15690
STRPU_23717	AENJA_20126
STRPU_03192	AENJA_08880
STRPU_09472	AENJA_09491
STRPU_25854	AENJA_20108
STRPU_15721	AENJA_18533
STRPU_26051	AENJA_22299
STRPU_14456	AENJA_06112
STRPU_07163	AENJA_00431
STRPU_05839	AENJA_15927
STRPU_04713	AENJA_05645
STRPU_21630	AENJA_06140
STRPU_21631	AENJA_03065
STRPU_18690	AENJA_13697
STRPU_06876	AENJA_04782
STRPU_16649	AENJA_11315
STRPU_04265	AENJA_12968
STRPU_03709	AENJA_16303
STRPU_13810	AENJA_08170
STRPU_22510	AENJA_04669
STRPU_04112	AENJA_05708
STRPU_12597	AENJA_10568
STRPU_14591	AENJA_16412
STRPU_23598	AENJA_04794
STRPU_12011	AENJA_15177
STRPU_12205	AENJA_10717
STRPU_11811	AENJA_12192
STRPU_06142	AENJA_25711
STRPU_14383	AENJA_07464
STRPU_05700	AENJA_08623
STRPU_23802	AENJA_22734
STRPU_22294	AENJA_21567
STRPU_24010	AENJA_15749
STRPU_09318	AENJA_04971
STRPU_20297	AENJA_14610
STRPU_15694	AENJA_10254
STRPU_20623	AENJA_18516
STRPU_08202	AENJA_11897
STRPU_24137	AENJA_24763
STRPU_04885	AENJA_15704
STRPU_08233	AENJA_21822
STRPU_18015	AENJA_09892
STRPU_03384	AENJA_03823
STRPU_14744	AENJA_25316
STRPU_08185	AENJA_13204
STRPU_08635	AENJA_16703
STRPU_08073	AENJA_14680
STRPU_06706	AENJA_12155
STRPU_19562	AENJA_01299
STRPU_22986	AENJA_05991
STRPU_09778	AENJA_22347
STRPU_02974	AENJA_23482
STRPU_27123	AENJA_23476
STRPU_21385	AENJA_19393
STRPU_19132	AENJA_11266
STRPU_26326	AENJA_11660
STRPU_18120	AENJA_08820
STRPU_07794	AENJA_09258
STRPU_13184	AENJA_22375
STRPU_19097	AENJA_26390
STRPU_18719	AENJA_17116
STRPU_18842	AENJA_13309
STRPU_27356	AENJA_21234
STRPU_16984	AENJA_11832
STRPU_04141	AENJA_26231
STRPU_20062	AENJA_11362
STRPU_21399	AENJA_18235
STRPU_00780	AENJA_11487
STRPU_05911	AENJA_07725
STRPU_20196	AENJA_13956
STRPU_16311	AENJA_01324
STRPU_20951	AENJA_24235
STRPU_09853	AENJA_16516
STRPU_00627	AENJA_15654
STRPU_11390	AENJA_26175
STRPU_23154	AENJA_21410
STRPU_24289	AENJA_01381
STRPU_12372	AENJA_25178
STRPU_08891	AENJA_03019
STRPU_05364	AENJA_19097
STRPU_22651	AENJA_08549
STRPU_22624	AENJA_14844
STRPU_08440	AENJA_24860
STRPU_17895	AENJA_10323
STRPU_07317	AENJA_23323
STRPU_22156	AENJA_23148
STRPU_23785	AENJA_24307
STRPU_06501	AENJA_21364
STRPU_17294	AENJA_20819
STRPU_16903	AENJA_08940
STRPU_13819	AENJA_15885
STRPU_27362	AENJA_23556
STRPU_12350	AENJA_22469
STRPU_24898	AENJA_17227
STRPU_24006	AENJA_15743
STRPU_05018	AENJA_07978
STRPU_14805	AENJA_10311
STRPU_07041	AENJA_11770
STRPU_05282	AENJA_05733
STRPU_22427	AENJA_22982
STRPU_14492	AENJA_10288
STRPU_24320	AENJA_15574
STRPU_27309	AENJA_07031
STRPU_07200	AENJA_23068
STRPU_10825	AENJA_20709
STRPU_23158	AENJA_24285
STRPU_05357	AENJA_08672
STRPU_15078	AENJA_12636
STRPU_26522	AENJA_05512
STRPU_08272	AENJA_05899
STRPU_21506	AENJA_25964
STRPU_04284	AENJA_26141
STRPU_10557	AENJA_09019
STRPU_23394	AENJA_17737
STRPU_25083	AENJA_22558
STRPU_20170	AENJA_25489
STRPU_15536	AENJA_11250
STRPU_17435	AENJA_09588
STRPU_14315	AENJA_20878
STRPU_11203	AENJA_10027
STRPU_14885	AENJA_16592
STRPU_04460	AENJA_11417
STRPU_21122	AENJA_18773
STRPU_15055	AENJA_16419
STRPU_14646	AENJA_11256
STRPU_25443	AENJA_13741
STRPU_25913	AENJA_19515
STRPU_19380	AENJA_02664
STRPU_26516	AENJA_09834
STRPU_21978	AENJA_11465
STRPU_06642	AENJA_21734
STRPU_13773	AENJA_05447
STRPU_22049	AENJA_18701
STRPU_06103	AENJA_22245
STRPU_10354	AENJA_25207
STRPU_04474	AENJA_22031
STRPU_08933	AENJA_24585
STRPU_20675	AENJA_00888
STRPU_09848	AENJA_04937
STRPU_09558	AENJA_01107
STRPU_04273	AENJA_03124
STRPU_19423	AENJA_05189
STRPU_10713	AENJA_10012
STRPU_21360	AENJA_23565
STRPU_23137	AENJA_19659
STRPU_06251	AENJA_13079
STRPU_19193	AENJA_14711
STRPU_08418	AENJA_23815
STRPU_07113	AENJA_12925
STRPU_06546	AENJA_17430
STRPU_13554	AENJA_23758
STRPU_21969	AENJA_09124
STRPU_05322	AENJA_06261
STRPU_04548	AENJA_21071
STRPU_21806	AENJA_12533
STRPU_20610	AENJA_14730
STRPU_25032	AENJA_18271
STRPU_24490	AENJA_25194
STRPU_05705	AENJA_23603
STRPU_23171	AENJA_20283
STRPU_09287	AENJA_25732
STRPU_20918	AENJA_03885
STRPU_20919	AENJA_09501
STRPU_01418	AENJA_00484
STRPU_23742	AENJA_09500
STRPU_10871	AENJA_00930
STRPU_21549	AENJA_01455
STRPU_26809	AENJA_25856
STRPU_25528	AENJA_02716
STRPU_20975	AENJA_18770
STRPU_22145	AENJA_14810
STRPU_27223	AENJA_00319
STRPU_21193	AENJA_05866
STRPU_15788	AENJA_04710
STRPU_23119	AENJA_05569
STRPU_21618	AENJA_09428
STRPU_23503	AENJA_22778
STRPU_24720	AENJA_13580
STRPU_21308	AENJA_15347
STRPU_21309	AENJA_15345
STRPU_21310	AENJA_15344
STRPU_19500	AENJA_17591
STRPU_11843	AENJA_25809
STRPU_17075	AENJA_21633
STRPU_13052	AENJA_05016
STRPU_25115	AENJA_19774
STRPU_25616	AENJA_07046
STRPU_08932	AENJA_25061
STRPU_16888	AENJA_12392
STRPU_26491	AENJA_15216
STRPU_23518	AENJA_13904
STRPU_00019	AENJA_17523
STRPU_14406	AENJA_10748
STRPU_22530	AENJA_01626
STRPU_26397	AENJA_17481
STRPU_26870	AENJA_17486
STRPU_06715	AENJA_11021
STRPU_20714	AENJA_24197
STRPU_20713	AENJA_26538
STRPU_24616	AENJA_03157
STRPU_19602	AENJA_20028
STRPU_26016	AENJA_13627
STRPU_26787	AENJA_20929
STRPU_25312	AENJA_10824
STRPU_22373	AENJA_11546
STRPU_06659	AENJA_15723
STRPU_00318	AENJA_17960
STRPU_03700	AENJA_23811
STRPU_03702	AENJA_07653
STRPU_24334	AENJA_12652
STRPU_17753	AENJA_25533
STRPU_07211	AENJA_13648
STRPU_11562	AENJA_26558
STRPU_21010	AENJA_05498
STRPU_00599	AENJA_04829
STRPU_17828	AENJA_16658
STRPU_09946	AENJA_07463
STRPU_20362	AENJA_16161
STRPU_27017	AENJA_10965
STRPU_25405	AENJA_22126
STRPU_25221	AENJA_00673
STRPU_22046	AENJA_22405
STRPU_25760	AENJA_07139
STRPU_09897	AENJA_07172
STRPU_06712	AENJA_01826
STRPU_00211	AENJA_04823
STRPU_25924	AENJA_04819
STRPU_00020	AENJA_09384
STRPU_24960	AENJA_10994
STRPU_22117	AENJA_15937
STRPU_21926	AENJA_18509
STRPU_25001	AENJA_23986
STRPU_14279	AENJA_04198
STRPU_22434	AENJA_01439
STRPU_18794	AENJA_24472
STRPU_09621	AENJA_08142
STRPU_08344	AENJA_21495
STRPU_23931	AENJA_14841
STRPU_24936	AENJA_15036
STRPU_26452	AENJA_18167
STRPU_22324	AENJA_19016
STRPU_06883	AENJA_07203
STRPU_24917	AENJA_01967
STRPU_24916	AENJA_09440
STRPU_06933	AENJA_11032
STRPU_20779	AENJA_02173
STRPU_23552	AENJA_20834
STRPU_02717	AENJA_15070
STRPU_26356	AENJA_03705
STRPU_06740	AENJA_09004
STRPU_16651	AENJA_04399
STRPU_24012	AENJA_15570
STRPU_06999	AENJA_04404
STRPU_26838	AENJA_07461
STRPU_08041	AENJA_14535
STRPU_05744	AENJA_12150
STRPU_06350	AENJA_18458
STRPU_18850	AENJA_20329
STRPU_25416	AENJA_20633
STRPU_08035	AENJA_04544
STRPU_25430	AENJA_08029
STRPU_24302	AENJA_00795
STRPU_20690	AENJA_02403
STRPU_15312	AENJA_00938
STRPU_11407	AENJA_01709
STRPU_11403	AENJA_05557
STRPU_24482	AENJA_12321
STRPU_21259	AENJA_10033
STRPU_21594	AENJA_10581
STRPU_06710	AENJA_12576
STRPU_04784	AENJA_26449
STRPU_25484	AENJA_02261
STRPU_11659	AENJA_02057
STRPU_00026	AENJA_08677
STRPU_13461	AENJA_15913
STRPU_17012	AENJA_17206
STRPU_19581	AENJA_19227
STRPU_22043	AENJA_14612
STRPU_21044	AENJA_07772
STRPU_20560	AENJA_02846
STRPU_12601	AENJA_09106
STRPU_13494	AENJA_14697
STRPU_18715	AENJA_11200
STRPU_18716	AENJA_04711
STRPU_06695	AENJA_07204
STRPU_06871	AENJA_23886
STRPU_18394	AENJA_07798
STRPU_21566	AENJA_07801
STRPU_20020	AENJA_10770
STRPU_24284	AENJA_15834
STRPU_22089	AENJA_25876
STRPU_04815	AENJA_00649
STRPU_06432	AENJA_23881
STRPU_08228	AENJA_13371
STRPU_20528	AENJA_16763
STRPU_20529	AENJA_16764
STRPU_19598	AENJA_19385
STRPU_22034	AENJA_15960
STRPU_21563	AENJA_26108
STRPU_17910	AENJA_00591
STRPU_19015	AENJA_26667
STRPU_23569	AENJA_01120
STRPU_03838	AENJA_10740
STRPU_23562	AENJA_09401
STRPU_26250	AENJA_02216
STRPU_14828	AENJA_15686
STRPU_24891	AENJA_07914
STRPU_25007	AENJA_12039
STRPU_19482	AENJA_13286
STRPU_24145	AENJA_17187
STRPU_26640	AENJA_17341
STRPU_20571	AENJA_23872
STRPU_23593	AENJA_24479
STRPU_18826	AENJA_13664
STRPU_25654	AENJA_13641
STRPU_23589	AENJA_06861
STRPU_15696	AENJA_08422
STRPU_21536	AENJA_22246
STRPU_23123	AENJA_22232
STRPU_18748	AENJA_14707
STRPU_25935	AENJA_20107
STRPU_27022	AENJA_17040
STRPU_15453	AENJA_06215
STRPU_15092	AENJA_00262
STRPU_26569	AENJA_01187
STRPU_25047	AENJA_06794
STRPU_14909	AENJA_22407
STRPU_16063	AENJA_11312
STRPU_06080	AENJA_11925
STRPU_04347	AENJA_12225
STRPU_05696	AENJA_13993
STRPU_18369	AENJA_19187
STRPU_18374	AENJA_02164
STRPU_19223	AENJA_24609
STRPU_16445	AENJA_02925
STRPU_14640	AENJA_04170
STRPU_21983	AENJA_25867
STRPU_26905	AENJA_11775
STRPU_06613	AENJA_11031
STRPU_21113	AENJA_21712
STRPU_22107	AENJA_07214
STRPU_04676	AENJA_18385
STRPU_08499	AENJA_07677
STRPU_15366	AENJA_10746
STRPU_11821	AENJA_26562
STRPU_25265	AENJA_00764
STRPU_12931	AENJA_01783
STRPU_26359	AENJA_05092
STRPU_26513	AENJA_07505
STRPU_03315	AENJA_07432
STRPU_10209	AENJA_18083
STRPU_26494	AENJA_15149
STRPU_11532	AENJA_22772
STRPU_24375	AENJA_25179
STRPU_25231	AENJA_00152
STRPU_22935	AENJA_00962
STRPU_10513	AENJA_02377
STRPU_17391	AENJA_11386
STRPU_11815	AENJA_23518
STRPU_14471	AENJA_05909
STRPU_04979	AENJA_06120
STRPU_21912	AENJA_26421
STRPU_02904	AENJA_06598
STRPU_04950	AENJA_07613
STRPU_27397	AENJA_20937
STRPU_26323	AENJA_07998
STRPU_26362	AENJA_20729
STRPU_19409	AENJA_22939
STRPU_09668	AENJA_00664
STRPU_11325	AENJA_03586
STRPU_19045	AENJA_23274
STRPU_21877	AENJA_12705
STRPU_27121	AENJA_07645
STRPU_05906	AENJA_07937
STRPU_25374	AENJA_07996
STRPU_19189	AENJA_08703
STRPU_13557	AENJA_14919
STRPU_24157	AENJA_08833
STRPU_12243	AENJA_09436
STRPU_24918	AENJA_13562
STRPU_21962	AENJA_17126
STRPU_19362	AENJA_19719
STRPU_14886	AENJA_21849
STRPU_13716	AENJA_21693
STRPU_27059	AENJA_02929
STRPU_17572	AENJA_09730
