STRPU_22262	BRALA00047
STRPU_19100	BRALA25733
STRPU_23284	BRALA17338
STRPU_05232	BRALA08308
STRPU_05349	BRALA12631
STRPU_05344	BRALA31154
STRPU_04773	BRALA18086
STRPU_08362	BRALA03064
STRPU_01960	BRALA15329
STRPU_25005	BRALA11316
STRPU_25122	BRALA07062
STRPU_10595	BRALA18754
STRPU_25157	BRALA11318
STRPU_23530	BRALA25719
STRPU_23991	BRALA17324
STRPU_17367	BRALA29889
STRPU_09555	BRALA11472
STRPU_09553	BRALA09898
STRPU_04091	BRALA18105
STRPU_19842	BRALA23665
STRPU_18951	BRALA12024
STRPU_04404	BRALA03784
STRPU_04405	BRALA31222
STRPU_24977	BRALA10231
STRPU_15094	BRALA35021
STRPU_25637	BRALA20574
STRPU_14879	BRALA25560
STRPU_17832	BRALA18829
STRPU_02654	BRALA30393
STRPU_26089	BRALA17728
STRPU_17838	BRALA34209
STRPU_02923	BRALA09731
STRPU_18685	BRALA16298
STRPU_15706	BRALA04706
STRPU_22229	BRALA16859
STRPU_11677	BRALA02509
STRPU_27157	BRALA09558
STRPU_03239	BRALA10562
STRPU_12617	BRALA27830
STRPU_21344	BRALA25931
STRPU_22118	BRALA26650
STRPU_25442	BRALA17617
STRPU_18172	BRALA10598
STRPU_16027	BRALA19489
STRPU_04923	BRALA09113
STRPU_04552	BRALA32936
STRPU_24150	BRALA04629
STRPU_09613	BRALA11476
STRPU_09939	BRALA16281
STRPU_09515	BRALA22355
STRPU_09291	BRALA26544
STRPU_21471	BRALA23466
STRPU_25037	BRALA11353
STRPU_25182	BRALA11356
STRPU_04964	BRALA11885
STRPU_26672	BRALA21733
STRPU_06620	BRALA34921
STRPU_06619	BRALA06066
STRPU_07791	BRALA17083
STRPU_07458	BRALA16654
STRPU_08311	BRALA06242
STRPU_05989	BRALA31378
STRPU_15503	BRALA27239
STRPU_06625	BRALA11658
STRPU_04903	BRALA07214
STRPU_21543	BRALA22517
STRPU_05461	BRALA02702
STRPU_11202	BRALA14346
STRPU_03060	BRALA14640
STRPU_19988	BRALA16538
STRPU_20621	BRALA30660
STRPU_23185	BRALA00287
STRPU_07137	BRALA16575
STRPU_22147	BRALA27057
STRPU_08448	BRALA11237
STRPU_22616	BRALA28027
STRPU_24070	BRALA09776
STRPU_17842	BRALA12258
STRPU_20008	BRALA02682
STRPU_24405	BRALA09740
STRPU_26317	BRALA03407
STRPU_27289	BRALA01615
STRPU_08011	BRALA17123
STRPU_14714	BRALA33750
STRPU_04281	BRALA06721
STRPU_25567	BRALA19981
STRPU_11148	BRALA05385
STRPU_11149	BRALA05388
STRPU_05514	BRALA28779
STRPU_10517	BRALA18757
STRPU_22671	BRALA09404
STRPU_21811	BRALA34386
STRPU_03432	BRALA30657
STRPU_13433	BRALA17010
STRPU_25410	BRALA20218
STRPU_26874	BRALA04593
STRPU_20741	BRALA21576
STRPU_20748	BRALA13620
STRPU_12952	BRALA13619
STRPU_24681	BRALA18949
STRPU_04042	BRALA03655
STRPU_19951	BRALA02780
STRPU_25396	BRALA03466
STRPU_08187	BRALA25029
STRPU_06128	BRALA14189
STRPU_08364	BRALA19783
STRPU_05348	BRALA12693
STRPU_08330	BRALA11221
STRPU_14222	BRALA14937
STRPU_14748	BRALA24651
STRPU_24292	BRALA14737
STRPU_21337	BRALA21195
STRPU_19233	BRALA04448
STRPU_18344	BRALA05034
STRPU_06342	BRALA05812
STRPU_02785	BRALA12046
STRPU_21779	BRALA35905
STRPU_27150	BRALA15028
STRPU_24383	BRALA24613
STRPU_08056	BRALA27444
STRPU_04095	BRALA03898
STRPU_07403	BRALA01840
STRPU_16065	BRALA10634
STRPU_00387	BRALA09521
STRPU_15282	BRALA34100
STRPU_08039	BRALA01549
STRPU_04949	BRALA20193
STRPU_25853	BRALA20465
STRPU_22182	BRALA04116
STRPU_11520	BRALA02072
STRPU_20268	BRALA25217
STRPU_24683	BRALA04987
STRPU_20505	BRALA30155
STRPU_09149	BRALA02150
STRPU_05823	BRALA11863
STRPU_04285	BRALA06695
STRPU_12654	BRALA09013
STRPU_00094	BRALA35677
STRPU_10552	BRALA15838
STRPU_02979	BRALA25085
STRPU_02978	BRALA25081
STRPU_10055	BRALA02648
STRPU_06931	BRALA02849
STRPU_21343	BRALA25790
STRPU_19461	BRALA10199
STRPU_27378	BRALA18496
STRPU_22696	BRALA20081
STRPU_21352	BRALA24991
STRPU_22338	BRALA16850
STRPU_22982	BRALA15356
STRPU_10375	BRALA16338
STRPU_06507	BRALA31257
STRPU_19907	BRALA18329
STRPU_21206	BRALA12009
STRPU_21835	BRALA25012
STRPU_17089	BRALA33710
STRPU_21143	BRALA10899
STRPU_24826	BRALA09678
STRPU_18566	BRALA05275
STRPU_08558	BRALA06390
STRPU_15406	BRALA15018
STRPU_25903	BRALA24464
STRPU_23462	BRALA04992
STRPU_17784	BRALA33947
STRPU_04892	BRALA03818
STRPU_04283	BRALA25256
STRPU_20692	BRALA21572
STRPU_26265	BRALA03801
STRPU_20400	BRALA18417
STRPU_26641	BRALA13500
STRPU_09543	BRALA29869
STRPU_09417	BRALA11493
STRPU_18787	BRALA00852
STRPU_20022	BRALA02715
STRPU_12560	BRALA18235
STRPU_12562	BRALA18234
STRPU_08406	BRALA05912
STRPU_08402	BRALA06482
STRPU_21796	BRALA13278
STRPU_25535	BRALA03454
STRPU_04835	BRALA17932
STRPU_10372	BRALA23983
STRPU_04579	BRALA03664
STRPU_23290	BRALA09424
STRPU_21971	BRALA18598
STRPU_04181	BRALA03883
STRPU_22032	BRALA08461
STRPU_08810	BRALA29439
STRPU_25229	BRALA22416
STRPU_26934	BRALA14627
STRPU_06464	BRALA05942
STRPU_05481	BRALA11891
STRPU_05794	BRALA06607
STRPU_10597	BRALA35023
STRPU_23132	BRALA19728
STRPU_14641	BRALA34362
STRPU_23166	BRALA25721
STRPU_04688	BRALA03950
STRPU_27381	BRALA15636
STRPU_19997	BRALA02907
STRPU_18694	BRALA01010
STRPU_05283	BRALA31205
STRPU_06234	BRALA14278
STRPU_14332	BRALA25493
STRPU_23717	BRALA00213
STRPU_09472	BRALA25596
STRPU_24162	BRALA11297
STRPU_15357	BRALA15015
STRPU_26051	BRALA03386
STRPU_25080	BRALA30923
STRPU_07163	BRALA17089
STRPU_04121	BRALA09664
STRPU_04713	BRALA35868
STRPU_18690	BRALA01009
STRPU_07149	BRALA15685
STRPU_16649	BRALA28171
STRPU_23598	BRALA26089
STRPU_12011	BRALA02274
STRPU_12205	BRALA29935
STRPU_06142	BRALA06031
STRPU_05510	BRALA31578
STRPU_16620	BRALA22946
STRPU_05700	BRALA11831
STRPU_23802	BRALA28049
STRPU_20959	BRALA18898
STRPU_22294	BRALA31361
STRPU_24010	BRALA12833
STRPU_09318	BRALA08456
STRPU_15694	BRALA23771
STRPU_20623	BRALA23435
STRPU_08202	BRALA23054
STRPU_24137	BRALA29978
STRPU_04885	BRALA25996
STRPU_08233	BRALA14011
STRPU_07156	BRALA01775
STRPU_18015	BRALA33943
STRPU_03384	BRALA34778
STRPU_14744	BRALA19351
STRPU_08635	BRALA06333
STRPU_08073	BRALA01777
STRPU_06706	BRALA00455
STRPU_09778	BRALA11440
STRPU_19132	BRALA01209
STRPU_26326	BRALA03160
STRPU_07796	BRALA23772
STRPU_18035	BRALA19704
STRPU_18719	BRALA05151
STRPU_27356	BRALA21721
STRPU_22647	BRALA00561
STRPU_04141	BRALA06660
STRPU_21399	BRALA21468
STRPU_06626	BRALA06166
STRPU_20196	BRALA02826
STRPU_14681	BRALA30844
STRPU_07102	BRALA16622
STRPU_11870	BRALA08803
STRPU_12374	BRALA23824
STRPU_08891	BRALA06237
STRPU_22651	BRALA18991
STRPU_08440	BRALA23044
STRPU_17896	BRALA22158
STRPU_17895	BRALA19035
STRPU_07317	BRALA01801
STRPU_06501	BRALA23798
STRPU_16903	BRALA30174
STRPU_13819	BRALA14524
STRPU_12350	BRALA29773
STRPU_12803	BRALA07745
STRPU_24006	BRALA15987
STRPU_05018	BRALA30761
STRPU_14805	BRALA29697
STRPU_26357	BRALA16593
STRPU_07041	BRALA27731
STRPU_05282	BRALA28315
STRPU_22427	BRALA10740
STRPU_14492	BRALA25433
STRPU_07200	BRALA17892
STRPU_10825	BRALA15766
STRPU_23158	BRALA17998
STRPU_26522	BRALA16555
STRPU_22424	BRALA10584
STRPU_20170	BRALA20616
STRPU_14315	BRALA33783
STRPU_14885	BRALA27659
STRPU_04460	BRALA03647
STRPU_20466	BRALA35197
STRPU_21122	BRALA29577
STRPU_19234	BRALA34077
STRPU_21236	BRALA22509
STRPU_00884	BRALA13762
STRPU_04966	BRALA11888
STRPU_25913	BRALA29437
STRPU_19380	BRALA20618
STRPU_26516	BRALA21735
STRPU_21978	BRALA07980
STRPU_06642	BRALA05807
STRPU_13773	BRALA17016
STRPU_22049	BRALA31119
STRPU_06103	BRALA04568
STRPU_04474	BRALA06842
STRPU_08933	BRALA19477
STRPU_15354	BRALA19387
STRPU_08500	BRALA18650
STRPU_19423	BRALA20630
STRPU_25067	BRALA12888
STRPU_10713	BRALA08668
STRPU_21360	BRALA13353
STRPU_06251	BRALA21823
STRPU_19193	BRALA27713
STRPU_00112	BRALA15529
STRPU_06546	BRALA13681
STRPU_21969	BRALA00596
STRPU_05322	BRALA19421
STRPU_04548	BRALA03994
STRPU_10337	BRALA31695
STRPU_20610	BRALA21474
STRPU_05705	BRALA31577
STRPU_10871	BRALA19574
STRPU_21549	BRALA17425
STRPU_26809	BRALA15030
STRPU_25528	BRALA19937
STRPU_14680	BRALA26624
STRPU_21193	BRALA30970
STRPU_09296	BRALA35830
STRPU_15788	BRALA17689
STRPU_21618	BRALA30383
STRPU_24720	BRALA26260
STRPU_21308	BRALA25966
STRPU_21309	BRALA25968
STRPU_21310	BRALA25970
STRPU_19500	BRALA24843
STRPU_17075	BRALA24520
STRPU_25115	BRALA07082
STRPU_08932	BRALA25344
STRPU_16888	BRALA22980
STRPU_14406	BRALA07224
STRPU_22530	BRALA07985
STRPU_24853	BRALA13529
STRPU_24616	BRALA04542
STRPU_19602	BRALA02697
STRPU_26016	BRALA27313
STRPU_26031	BRALA20021
STRPU_26787	BRALA30072
STRPU_25312	BRALA03493
STRPU_06171	BRALA14242
STRPU_03576	BRALA23460
STRPU_22373	BRALA28136
STRPU_07199	BRALA17090
STRPU_00318	BRALA33185
STRPU_24334	BRALA09669
STRPU_17753	BRALA28627
STRPU_07211	BRALA16689
STRPU_11562	BRALA35417
STRPU_00599	BRALA18632
STRPU_20362	BRALA35665
STRPU_19277	BRALA35619
STRPU_27017	BRALA16533
STRPU_14556	BRALA28428
STRPU_25221	BRALA20003
STRPU_22046	BRALA04294
STRPU_11448	BRALA05656
STRPU_25760	BRALA20004
STRPU_00211	BRALA03156
STRPU_25924	BRALA03157
STRPU_22117	BRALA33518
STRPU_25001	BRALA04554
STRPU_14279	BRALA33635
STRPU_22434	BRALA04158
STRPU_18794	BRALA13305
STRPU_08344	BRALA06276
STRPU_19333	BRALA03574
STRPU_23931	BRALA17169
STRPU_22324	BRALA28214
STRPU_26568	BRALA00909
STRPU_06883	BRALA11703
STRPU_06933	BRALA06149
STRPU_20779	BRALA24117
STRPU_26356	BRALA23211
STRPU_12631	BRALA25389
STRPU_24012	BRALA13759
STRPU_06999	BRALA25556
STRPU_05744	BRALA08295
STRPU_06350	BRALA33661
STRPU_18850	BRALA00898
STRPU_17155	BRALA29358
STRPU_25430	BRALA03301
STRPU_24302	BRALA09683
STRPU_15312	BRALA10172
STRPU_11407	BRALA18789
STRPU_24482	BRALA16043
STRPU_21259	BRALA15238
STRPU_22408	BRALA30467
STRPU_21594	BRALA26139
STRPU_04784	BRALA03871
STRPU_23155	BRALA20496
STRPU_20537	BRALA10837
STRPU_12186	BRALA02434
STRPU_11659	BRALA02091
STRPU_13461	BRALA17045
STRPU_19581	BRALA10082
STRPU_22043	BRALA08022
STRPU_19813	BRALA33948
STRPU_12601	BRALA34432
STRPU_13494	BRALA09055
STRPU_18715	BRALA01178
STRPU_18716	BRALA23679
STRPU_06695	BRALA12194
STRPU_06871	BRALA05974
STRPU_21566	BRALA13293
STRPU_20797	BRALA13301
STRPU_20020	BRALA10056
STRPU_24284	BRALA12877
STRPU_09307	BRALA24490
STRPU_04815	BRALA21585
STRPU_08228	BRALA06285
STRPU_08229	BRALA06284
STRPU_20528	BRALA10823
STRPU_22034	BRALA10606
STRPU_21563	BRALA14527
STRPU_10384	BRALA11552
STRPU_17910	BRALA28831
STRPU_19015	BRALA05171
STRPU_23569	BRALA27046
STRPU_03838	BRALA21594
STRPU_26250	BRALA12515
STRPU_05504	BRALA23257
STRPU_14828	BRALA34310
STRPU_24891	BRALA13715
STRPU_19482	BRALA23656
STRPU_26640	BRALA13502
STRPU_23593	BRALA25731
STRPU_25654	BRALA22192
STRPU_23589	BRALA12795
STRPU_20061	BRALA02587
STRPU_15696	BRALA01807
STRPU_23123	BRALA21364
STRPU_18748	BRALA00744
STRPU_25935	BRALA05140
STRPU_27022	BRALA18203
STRPU_15453	BRALA12027
STRPU_26569	BRALA32315
STRPU_25047	BRALA04682
STRPU_14909	BRALA32297
STRPU_06080	BRALA13626
STRPU_05696	BRALA22751
STRPU_18374	BRALA05348
STRPU_19223	BRALA00801
STRPU_16445	BRALA10599
STRPU_03038	BRALA29914
STRPU_21983	BRALA04143
STRPU_21113	BRALA20882
STRPU_22107	BRALA00540
STRPU_04676	BRALA03663
STRPU_08499	BRALA13068
STRPU_15366	BRALA14959
STRPU_14124	BRALA14102
STRPU_25265	BRALA12514
STRPU_23372	BRALA04441
STRPU_10209	BRALA16335
STRPU_25231	BRALA03274
STRPU_22935	BRALA00081
STRPU_17391	BRALA12338
STRPU_14471	BRALA19376
STRPU_04979	BRALA26804
STRPU_02904	BRALA35105
STRPU_04950	BRALA11776
STRPU_27397	BRALA26844
STRPU_26323	BRALA03113
STRPU_14665	BRALA11989
STRPU_23333	BRALA12759
STRPU_23570	BRALA20038
STRPU_19409	BRALA18427
STRPU_21550	BRALA34175
STRPU_16752	BRALA09843
STRPU_11325	BRALA33856
STRPU_21877	BRALA21177
STRPU_27121	BRALA17119
STRPU_05906	BRALA11822
STRPU_25374	BRALA03146
STRPU_19189	BRALA10301
STRPU_13557	BRALA09033
STRPU_12243	BRALA02338
STRPU_24918	BRALA04723
STRPU_14886	BRALA27657
STRPU_24180	BRALA20178
STRPU_13716	BRALA09188
STRPU_27059	BRALA15051
STRPU_08351	BRALA06371
STRPU_21363	BRALA22494
STRPU_22622	BRALA28132
STRPU_20167	BRALA02532
STRPU_10409	BRALA30688
STRPU_22245	BRALA24856
STRPU_09304	BRALA21702
STRPU_14305	BRALA14998
STRPU_05760	BRALA19448
STRPU_23266	BRALA15366
STRPU_24165	BRALA04563
STRPU_25213	BRALA07148
STRPU_05548	BRALA18657
STRPU_22629	BRALA15361
STRPU_18396	BRALA25852
STRPU_26971	BRALA25512
STRPU_26844	BRALA14602
STRPU_20011	BRALA19541
STRPU_10318	BRALA30526
STRPU_14601	BRALA23597
STRPU_17512	BRALA15692
STRPU_12472	BRALA23860
STRPU_07979	BRALA35195
STRPU_15088	BRALA26880
STRPU_04925	BRALA16973
STRPU_11548	BRALA08785
STRPU_12288	BRALA08784
STRPU_23988	BRALA00290
STRPU_26714	BRALA16820
STRPU_17422	BRALA33620
STRPU_05319	BRALA08202
STRPU_05320	BRALA08201
STRPU_15034	BRALA18599
STRPU_08333	BRALA10453
STRPU_05708	BRALA22745
STRPU_26358	BRALA14646
STRPU_25823	BRALA12453
STRPU_01836	BRALA20733
STRPU_25366	BRALA03357
STRPU_14353	BRALA30500
STRPU_04947	BRALA11137
STRPU_15417	BRALA07314
STRPU_09850	BRALA11576
STRPU_23395	BRALA00637
STRPU_13208	BRALA23676
STRPU_26153	BRALA19988
STRPU_26885	BRALA17579
STRPU_27147	BRALA13541
STRPU_05828	BRALA16982
STRPU_24310	BRALA15995
STRPU_24886	BRALA12870
STRPU_10294	BRALA16394
STRPU_06423	BRALA14195
STRPU_11511	BRALA08770
STRPU_17978	BRALA29242
STRPU_12183	BRALA01976
STRPU_14729	BRALA07286
STRPU_19334	BRALA01185
STRPU_22006	BRALA24042
STRPU_16623	BRALA19471
STRPU_19160	BRALA06003
STRPU_19408	BRALA19531
STRPU_12298	BRALA24730
STRPU_13418	BRALA14145
STRPU_20600	BRALA13325
STRPU_20988	BRALA20548
STRPU_11672	BRALA20751
STRPU_04414	BRALA23987
STRPU_08439	BRALA11115
STRPU_26808	BRALA32878
STRPU_26818	BRALA15099
STRPU_04858	BRALA06708
STRPU_20417	BRALA31425
STRPU_14369	BRALA06810
STRPU_23315	BRALA11036
STRPU_08450	BRALA11238
STRPU_11147	BRALA08587
STRPU_10627	BRALA19576
STRPU_04346	BRALA06640
STRPU_13953	BRALA17006
STRPU_04183	BRALA06712
STRPU_08413	BRALA16705
STRPU_27240	BRALA26581
STRPU_03447	BRALA18889
STRPU_08067	BRALA16690
STRPU_04924	BRALA22460
STRPU_18503	BRALA01158
STRPU_21392	BRALA22627
STRPU_20790	BRALA22631
STRPU_11367	BRALA15808
STRPU_24305	BRALA09682
STRPU_05726	BRALA20184
STRPU_13772	BRALA08290
STRPU_12443	BRALA13847
STRPU_23714	BRALA12769
STRPU_17890	BRALA13682
STRPU_13255	BRALA21015
STRPU_10283	BRALA22369
STRPU_17791	BRALA33764
STRPU_03381	BRALA20406
STRPU_23757	BRALA18566
STRPU_05313	BRALA08314
STRPU_24028	BRALA07018
STRPU_20715	BRALA21202
STRPU_23398	BRALA00514
STRPU_20723	BRALA06483
STRPU_21599	BRALA01705
STRPU_21539	BRALA23451
STRPU_24820	BRALA15961
STRPU_22549	BRALA00254
STRPU_23184	BRALA13887
STRPU_08648	BRALA35235
STRPU_20538	BRALA17080
STRPU_22947	BRALA10695
STRPU_14644	BRALA14990
STRPU_25873	BRALA28901
STRPU_06366	BRALA13668
STRPU_26700	BRALA16554
STRPU_13251	BRALA15421
STRPU_12815	BRALA07680
STRPU_24854	BRALA13802
STRPU_25444	BRALA21219
STRPU_25447	BRALA17608
STRPU_22432	BRALA24284
STRPU_08314	BRALA23017
STRPU_19131	BRALA07725
STRPU_06496	BRALA16208
STRPU_22287	BRALA28026
STRPU_21281	BRALA22493
STRPU_25428	BRALA12498
STRPU_25608	BRALA16098
STRPU_26378	BRALA01930
STRPU_26876	BRALA16826
STRPU_21509	BRALA13327
STRPU_27222	BRALA13540
STRPU_18983	BRALA00752
STRPU_21237	BRALA13309
STRPU_08005	BRALA16639
STRPU_24402	BRALA14735
STRPU_23389	BRALA04133
STRPU_23771	BRALA10734
STRPU_10664	BRALA18782
STRPU_14120	BRALA24884
STRPU_25921	BRALA32010
STRPU_10745	BRALA34638
STRPU_24458	BRALA14768
STRPU_06392	BRALA05900
STRPU_21389	BRALA30313
STRPU_17744	BRALA19296
STRPU_07714	BRALA30065
STRPU_24079	BRALA06911
STRPU_24935	BRALA04692
STRPU_23770	BRALA04333
STRPU_14225	BRALA34444
STRPU_25237	BRALA12880
STRPU_06875	BRALA06035
STRPU_25325	BRALA20573
STRPU_23983	BRALA24188
STRPU_19999	BRALA10129
STRPU_09552	BRALA21684
STRPU_07407	BRALA27214
STRPU_26002	BRALA19974
STRPU_25391	BRALA16139
STRPU_21827	BRALA10757
STRPU_10662	BRALA25890
STRPU_09337	BRALA27930
STRPU_03085	BRALA25128
STRPU_21581	BRALA24133
STRPU_24733	BRALA32524
STRPU_11529	BRALA02488
STRPU_00161	BRALA15988
STRPU_26014	BRALA03561
STRPU_05411	BRALA11819
STRPU_21909	BRALA01086
STRPU_22073	BRALA26756
STRPU_21013	BRALA17839
STRPU_09878	BRALA28371
STRPU_15274	BRALA34460
STRPU_22695	BRALA28235
STRPU_22254	BRALA00597
STRPU_10937	BRALA05650
STRPU_16981	BRALA28081
STRPU_24669	BRALA10294
STRPU_06468	BRALA27150
STRPU_25669	BRALA22011
STRPU_26010	BRALA03165
STRPU_10670	BRALA26622
STRPU_23772	BRALA04168
STRPU_17535	BRALA29362
STRPU_21203	BRALA31220
STRPU_26230	BRALA12494
STRPU_01032	BRALA10747
STRPU_07496	BRALA15125
STRPU_22072	BRALA07764
STRPU_04810	BRALA18092
STRPU_14009	BRALA21012
STRPU_22721	BRALA17334
STRPU_21972	BRALA00477
STRPU_18988	BRALA00961
STRPU_08807	BRALA25027
STRPU_25431	BRALA03569
STRPU_19076	BRALA05331
STRPU_18001	BRALA27869
STRPU_04426	BRALA03642
STRPU_03468	BRALA10859
STRPU_25388	BRALA03222
STRPU_07062	BRALA01536
STRPU_04944	BRALA16976
STRPU_14642	BRALA24251
STRPU_26888	BRALA01606
STRPU_08488	BRALA25030
STRPU_23322	BRALA18973
STRPU_08385	BRALA13955
STRPU_26636	BRALA23210
STRPU_20009	BRALA10091
STRPU_16983	BRALA16893
STRPU_05244	BRALA19427
STRPU_26559	BRALA09515
STRPU_26961	BRALA09529
STRPU_12903	BRALA27842
STRPU_05909	BRALA08199
STRPU_26804	BRALA01391
STRPU_26728	BRALA17572
STRPU_04348	BRALA17947
STRPU_13209	BRALA14445
STRPU_21633	BRALA29575
STRPU_21991	BRALA00094
STRPU_21312	BRALA22582
STRPU_12690	BRALA23851
STRPU_14524	BRALA17951
STRPU_20309	BRALA10193
STRPU_19063	BRALA05038
STRPU_20137	BRALA19534
STRPU_04711	BRALA03706
STRPU_21314	BRALA22585
STRPU_10949	BRALA10689
STRPU_19730	BRALA35509
STRPU_15726	BRALA15900
STRPU_23522	BRALA12724
STRPU_17591	BRALA01956
STRPU_06818	BRALA24213
STRPU_21063	BRALA25109
STRPU_22556	BRALA08021
STRPU_12583	BRALA09871
STRPU_21322	BRALA13321
STRPU_20541	BRALA31053
STRPU_25173	BRALA33648
STRPU_04898	BRALA04015
STRPU_10219	BRALA24570
STRPU_24460	BRALA10354
STRPU_19163	BRALA05167
STRPU_26922	BRALA21645
STRPU_26821	BRALA09464
STRPU_19080	BRALA01268
STRPU_06494	BRALA16187
STRPU_03356	BRALA17798
STRPU_09877	BRALA32786
STRPU_20969	BRALA15175
STRPU_26859	BRALA16599
STRPU_11678	BRALA08920
STRPU_24795	BRALA15242
STRPU_23738	BRALA10956
STRPU_22194	BRALA16806
STRPU_15723	BRALA14045
STRPU_08670	BRALA10384
STRPU_07312	BRALA16842
STRPU_07355	BRALA15116
STRPU_03703	BRALA20906
STRPU_09539	BRALA16333
STRPU_12915	BRALA23866
STRPU_06439	BRALA12204
STRPU_24358	BRALA12192
STRPU_05345	BRALA22941
STRPU_05211	BRALA31862
STRPU_17938	BRALA15754
STRPU_09545	BRALA25855
STRPU_10313	BRALA09927
STRPU_06787	BRALA06146
STRPU_26081	BRALA22380
STRPU_25512	BRALA22383
STRPU_02778	BRALA05583
STRPU_06123	BRALA14289
STRPU_03382	BRALA30797
STRPU_05515	BRALA31201
STRPU_25411	BRALA20220
STRPU_09369	BRALA11457
STRPU_26501	BRALA13507
STRPU_21522	BRALA32132
STRPU_10366	BRALA13859
STRPU_14239	BRALA28922
STRPU_20535	BRALA30793
STRPU_20976	BRALA21204
STRPU_17021	BRALA00576
STRPU_20339	BRALA27549
STRPU_22200	BRALA07796
STRPU_24308	BRALA01936
STRPU_10439	BRALA05645
STRPU_17524	BRALA31269
STRPU_21288	BRALA24398
STRPU_22263	BRALA18565
STRPU_17872	BRALA19313
STRPU_24142	BRALA04579
STRPU_25215	BRALA04659
STRPU_25888	BRALA20555
STRPU_07157	BRALA01822
STRPU_17892	BRALA19668
STRPU_07648	BRALA16673
STRPU_25089	BRALA07054
STRPU_14371	BRALA01804
STRPU_17131	BRALA02256
STRPU_26368	BRALA16822
STRPU_05151	BRALA22945
STRPU_18159	BRALA05122
STRPU_04119	BRALA14211
STRPU_04118	BRALA23956
STRPU_23343	BRALA06116
STRPU_25177	BRALA06889
STRPU_07749	BRALA02000
STRPU_04674	BRALA06618
STRPU_25091	BRALA04572
STRPU_13019	BRALA06129
STRPU_13493	BRALA09018
STRPU_08774	BRALA10385
STRPU_17798	BRALA24804
STRPU_21182	BRALA15252
STRPU_19441	BRALA03008
STRPU_24164	BRALA11374
STRPU_14650	BRALA11420
STRPU_06785	BRALA11722
