BRALA00047	OFUSG13305.1
BRALA12767	OFUSG22244.1
BRALA24323	OFUSG02268.1
BRALA27164	OFUSG02267.1
BRALA17343	OFUSG19455.1
BRALA13025	OFUSG09432.1
BRALA16857	OFUSG01197.1
BRALA23306	OFUSG09809.1
BRALA18086	OFUSG10198.1
BRALA15329	OFUSG10403.1
BRALA07062	OFUSG16504.1
BRALA17353	OFUSG06373.1
BRALA20309	OFUSG05709.1
BRALA17324	OFUSG19094.1
BRALA11472	OFUSG19468.1
BRALA03171	OFUSG24311.1
BRALA22809	OFUSG24101.1
BRALA23665	OFUSG08036.1
BRALA23991	OFUSG05603.1
BRALA03784	OFUSG10734.1
BRALA27744	OFUSG10136.1
BRALA35021	OFUSG24119.1
BRALA20574	OFUSG04918.1
BRALA25560	OFUSG23884.1
BRALA14258	OFUSG13948.1
BRALA02414	OFUSG00692.1
BRALA34209	OFUSG00843.1
BRALA22440	OFUSG03472.1
BRALA16298	OFUSG10405.1
BRALA04706	OFUSG08207.1
BRALA10846	OFUSG12748.1
BRALA16859	OFUSG12705.1
BRALA02509	OFUSG00268.1
BRALA05554	OFUSG03592.1
BRALA14234	OFUSG10436.1
BRALA20028	OFUSG05906.1
BRALA27830	OFUSG26221.1
BRALA06444	OFUSG26967.1
BRALA25227	OFUSG22657.1
BRALA26376	OFUSG05057.1
BRALA12964	OFUSG12670.1
BRALA02169	OFUSG04235.1
BRALA11476	OFUSG06922.1
BRALA22355	OFUSG01300.1
BRALA26544	OFUSG17860.1
BRALA05628	OFUSG17649.1
BRALA07049	OFUSG04413.1
BRALA11353	OFUSG16535.1
BRALA11509	OFUSG02680.1
BRALA34921	OFUSG13933.1
BRALA06066	OFUSG14194.1
BRALA16654	OFUSG17604.1
BRALA06242	OFUSG10843.1
BRALA34798	OFUSG00465.1
BRALA13384	OFUSG00562.1
BRALA27239	OFUSG15026.1
BRALA13416	OFUSG12519.1
BRALA11245	OFUSG10605.1
BRALA21055	OFUSG16422.1
BRALA14346	OFUSG26397.1
BRALA28773	OFUSG13983.1
BRALA33037	OFUSG17282.1
BRALA16538	OFUSG26238.1
BRALA30660	OFUSG25122.1
BRALA19270	OFUSG13686.1
BRALA11237	OFUSG10663.1
BRALA28027	OFUSG06400.1
BRALA06638	OFUSG25135.1
BRALA02187	OFUSG00769.1
BRALA12258	OFUSG00459.1
BRALA02682	OFUSG26624.1
BRALA09740	OFUSG13799.1
BRALA15645	OFUSG09034.1
BRALA01615	OFUSG09588.1
BRALA33546	OFUSG11603.1
BRALA35030	OFUSG08999.1
BRALA17123	OFUSG13384.1
BRALA33750	OFUSG15615.1
BRALA06721	OFUSG10183.1
BRALA19981	OFUSG04842.1
BRALA01909	OFUSG08038.1
BRALA18766	OFUSG13419.1
BRALA18777	OFUSG23312.1
BRALA18757	OFUSG17288.1
BRALA20263	OFUSG16146.1
BRALA09404	OFUSG05616.1
BRALA25948	OFUSG21931.1
BRALA11436	OFUSG26101.1
BRALA20922	OFUSG16182.1
BRALA26019	OFUSG24899.1
BRALA17010	OFUSG16625.1
BRALA20218	OFUSG05213.1
BRALA04593	OFUSG19249.1
BRALA06975	OFUSG10550.1
BRALA03655	OFUSG18212.1
BRALA07439	OFUSG26600.1
BRALA05274	OFUSG12780.1
BRALA02780	OFUSG25720.1
BRALA35297	OFUSG08158.1
BRALA24651	OFUSG15403.1
BRALA14447	OFUSG09363.1
BRALA31828	OFUSG15858.1
BRALA06689	OFUSG18348.1
BRALA15294	OFUSG23301.1
BRALA20764	OFUSG00289.1
BRALA22100	OFUSG11384.1
BRALA15739	OFUSG16742.1
BRALA25025	OFUSG10486.1
BRALA25102	OFUSG14151.1
BRALA04448	OFUSG23435.1
BRALA05034	OFUSG23545.1
BRALA34339	OFUSG17482.1
BRALA07975	OFUSG16372.1
BRALA05812	OFUSG24707.1
BRALA12046	OFUSG09374.1
BRALA35905	OFUSG12452.1
BRALA33365	OFUSG19871.1
BRALA15028	OFUSG19638.1
BRALA09164	OFUSG21188.1
BRALA04957	OFUSG07297.1
BRALA20465	OFUSG20246.1
BRALA02719	OFUSG04116.1
BRALA02252	OFUSG07024.1
BRALA08511	OFUSG20200.1
BRALA15838	OFUSG21204.1
BRALA07937	OFUSG04324.1
BRALA25085	OFUSG09583.1
BRALA25081	OFUSG09573.1
BRALA03512	OFUSG04182.1
BRALA03509	OFUSG04180.1
BRALA25790	OFUSG12117.1
BRALA10199	OFUSG07066.1
BRALA15240	OFUSG11917.1
BRALA24991	OFUSG11356.1
BRALA15356	OFUSG05664.1
BRALA16338	OFUSG19110.1
BRALA32039	OFUSG24272.1
BRALA25012	OFUSG25290.1
BRALA10899	OFUSG11670.1
BRALA06390	OFUSG20891.1
BRALA15018	OFUSG15024.1
BRALA14731	OFUSG13439.1
BRALA26639	OFUSG15740.1
BRALA25256	OFUSG18419.1
BRALA13468	OFUSG09011.1
BRALA15664	OFUSG00468.1
BRALA18417	OFUSG07844.1
BRALA27475	OFUSG05597.1
BRALA29869	OFUSG05560.1
BRALA11493	OFUSG18708.1
BRALA18410	OFUSG08095.1
BRALA00852	OFUSG26476.1
BRALA24652	OFUSG16772.1
BRALA16624	OFUSG12822.1
BRALA18235	OFUSG07765.1
BRALA21379	OFUSG01659.1
BRALA13278	OFUSG11601.1
BRALA00684	OFUSG26348.1
BRALA15062	OFUSG09253.1
BRALA03454	OFUSG04744.1
BRALA13304	OFUSG21181.1
BRALA35966	OFUSG13247.1
BRALA03661	OFUSG18098.1
BRALA12618	OFUSG12617.1
BRALA09424	OFUSG19461.1
BRALA18598	OFUSG26317.1
BRALA03883	OFUSG11015.1
BRALA28915	OFUSG21784.1
BRALA07362	OFUSG03864.1
BRALA29439	OFUSG10583.1
BRALA22416	OFUSG08393.1
BRALA13010	OFUSG18181.1
BRALA14627	OFUSG09739.1
BRALA05942	OFUSG13897.1
BRALA11891	OFUSG02203.1
BRALA06607	OFUSG03227.1
BRALA33057	OFUSG21287.1
BRALA35023	OFUSG21288.1
BRALA25721	OFUSG06254.1
BRALA15931	OFUSG01326.1
BRALA03950	OFUSG10765.1
BRALA15636	OFUSG09113.1
BRALA15637	OFUSG05708.1
BRALA01067	OFUSG16936.1
BRALA15117	OFUSG05422.1
BRALA01010	OFUSG23367.1
BRALA31205	OFUSG03674.1
BRALA14278	OFUSG26848.1
BRALA14360	OFUSG02412.1
BRALA25493	OFUSG15391.1
BRALA07917	OFUSG25439.1
BRALA00213	OFUSG12798.1
BRALA30880	OFUSG03813.1
BRALA34956	OFUSG05586.1
BRALA14967	OFUSG20012.1
BRALA01166	OFUSG13133.1
BRALA02535	OFUSG19866.1
BRALA34784	OFUSG11803.1
BRALA15013	OFUSG24006.1
BRALA03386	OFUSG22814.1
BRALA30927	OFUSG24069.1
BRALA05832	OFUSG06211.1
BRALA04151	OFUSG21012.1
BRALA31687	OFUSG15297.1
BRALA30649	OFUSG22752.1
BRALA26265	OFUSG23310.1
BRALA35868	OFUSG10344.1
BRALA15685	OFUSG25409.1
BRALA28171	OFUSG09355.1
BRALA26089	OFUSG06172.1
BRALA02274	OFUSG00333.1
BRALA29935	OFUSG01349.1
BRALA06031	OFUSG24794.1
BRALA13099	OFUSG10615.1
BRALA22946	OFUSG09916.1
BRALA07218	OFUSG06554.1
BRALA18898	OFUSG11269.1
BRALA29271	OFUSG22439.1
BRALA16888	OFUSG01612.1
BRALA27156	OFUSG23395.1
BRALA18611	OFUSG06880.1
BRALA08267	OFUSG03577.1
BRALA23771	OFUSG07884.1
BRALA23435	OFUSG11653.1
BRALA23054	OFUSG11079.1
BRALA25996	OFUSG18180.1
BRALA14011	OFUSG11128.1
BRALA01775	OFUSG21420.1
BRALA24580	OFUSG06623.1
BRALA33943	OFUSG01141.1
BRALA34778	OFUSG09294.1
BRALA19351	OFUSG22135.1
BRALA06333	OFUSG10015.1
BRALA01777	OFUSG13205.1
BRALA18615	OFUSG17697.1
BRALA06714	OFUSG10192.1
BRALA03160	OFUSG05092.1
BRALA34670	OFUSG03578.1
BRALA28297	OFUSG08246.1
BRALA23772	OFUSG23662.1
BRALA04322	OFUSG15843.1
BRALA19704	OFUSG06218.1
BRALA01953	OFUSG03620.1
BRALA21413	OFUSG05767.1
BRALA05874	OFUSG00753.1
BRALA05151	OFUSG13385.1
BRALA32209	OFUSG22490.1
BRALA21721	OFUSG08998.1
BRALA10302	OFUSG11675.1
BRALA16408	OFUSG19488.1
BRALA06660	OFUSG10577.1
BRALA21468	OFUSG25104.1
BRALA24622	OFUSG13052.1
BRALA16622	OFUSG13433.1
BRALA24699	OFUSG08712.1
BRALA09830	OFUSG07419.1
BRALA23824	OFUSG25796.1
BRALA06237	OFUSG18259.1
BRALA13675	OFUSG25902.1
BRALA20322	OFUSG06029.1
BRALA19035	OFUSG01097.1
BRALA14574	OFUSG23718.1
BRALA23798	OFUSG14066.1
BRALA30174	OFUSG00657.1
BRALA14524	OFUSG16493.1
BRALA02260	OFUSG00837.1
BRALA15987	OFUSG21046.1
BRALA29697	OFUSG22336.1
BRALA29108	OFUSG12527.1
BRALA28315	OFUSG02208.1
BRALA10740	OFUSG17710.1
BRALA25433	OFUSG00679.1
BRALA17892	OFUSG13672.1
BRALA15766	OFUSG13295.1
BRALA16555	OFUSG09493.1
BRALA33310	OFUSG04266.1
BRALA28328	OFUSG21333.1
BRALA27659	OFUSG22310.1
BRALA03647	OFUSG18362.1
BRALA22257	OFUSG12431.1
BRALA12721	OFUSG25233.1
BRALA23674	OFUSG24362.1
BRALA11888	OFUSG02688.1
BRALA05444	OFUSG11223.1
BRALA08863	OFUSG11655.1
BRALA11723	OFUSG09029.1
BRALA20618	OFUSG23525.1
BRALA05807	OFUSG24714.1
BRALA17016	OFUSG16639.1
BRALA31119	OFUSG23446.1
BRALA33555	OFUSG22333.1
BRALA09338	OFUSG15862.1
BRALA34946	OFUSG15870.1
BRALA23223	OFUSG26017.1
BRALA20630	OFUSG26139.1
BRALA13353	OFUSG21773.1
BRALA34553	OFUSG25597.1
BRALA17267	OFUSG23321.1
BRALA10663	OFUSG17709.1
BRALA13681	OFUSG25897.1
BRALA22764	OFUSG03514.1
BRALA24399	OFUSG21600.1
BRALA05880	OFUSG00613.1
BRALA09990	OFUSG18910.1
BRALA04948	OFUSG15901.1
BRALA31577	OFUSG03850.1
BRALA19937	OFUSG05389.1
BRALA34864	OFUSG12033.1
BRALA30531	OFUSG12034.1
BRALA26624	OFUSG22659.1
BRALA12710	OFUSG06907.1
BRALA26064	OFUSG26910.1
BRALA01402	OFUSG09137.1
BRALA10469	OFUSG10163.1
BRALA30383	OFUSG11308.1
BRALA02419	OFUSG00139.1
BRALA25966	OFUSG12368.1
BRALA25968	OFUSG25173.1
BRALA25970	OFUSG21596.1
BRALA23003	OFUSG05815.1
BRALA20335	OFUSG19304.1
BRALA15179	OFUSG11281.1
BRALA24520	OFUSG00278.1
BRALA07082	OFUSG24583.1
BRALA25344	OFUSG18333.1
BRALA10467	OFUSG11138.1
BRALA16892	OFUSG01055.1
BRALA13634	OFUSG14405.1
BRALA02171	OFUSG00975.1
BRALA08057	OFUSG01950.1
BRALA13529	OFUSG21513.1
BRALA04542	OFUSG16039.1
BRALA27313	OFUSG22888.1
BRALA20021	OFUSG23094.1
BRALA12977	OFUSG12632.1
BRALA30072	OFUSG08463.1
BRALA03493	OFUSG04886.1
BRALA28136	OFUSG19377.1
BRALA12118	OFUSG13852.1
BRALA14226	OFUSG26688.1
BRALA01906	OFUSG17186.1
BRALA19634	OFUSG19939.1
BRALA28627	OFUSG00909.1
BRALA16689	OFUSG13391.1
BRALA27500	OFUSG26903.1
BRALA35665	OFUSG08218.1
BRALA25973	OFUSG21914.1
BRALA16533	OFUSG09740.1
BRALA20016	OFUSG05397.1
BRALA01193	OFUSG26510.1
BRALA17601	OFUSG09047.1
BRALA20003	OFUSG05054.1
BRALA04294	OFUSG04671.1
BRALA05656	OFUSG17652.1
BRALA20004	OFUSG20855.1
BRALA16420	OFUSG06075.1
BRALA03156	OFUSG23086.1
BRALA03157	OFUSG23087.1
BRALA04554	OFUSG04714.1
BRALA10474	OFUSG00339.1
BRALA04158	OFUSG04303.1
BRALA13305	OFUSG21109.1
BRALA15697	OFUSG00254.1
BRALA23622	OFUSG19351.1
BRALA06276	OFUSG11101.1
BRALA17169	OFUSG06083.1
BRALA24117	OFUSG12085.1
BRALA23211	OFUSG08473.1
BRALA25389	OFUSG07969.1
BRALA13759	OFUSG21048.1
BRALA25556	OFUSG14430.1
BRALA08295	OFUSG02151.1
BRALA30430	OFUSG21445.1
BRALA29358	OFUSG00182.1
BRALA05018	OFUSG17680.1
BRALA01186	OFUSG17216.1
BRALA15055	OFUSG09308.1
BRALA10162	OFUSG08082.1
BRALA16043	OFUSG17219.1
BRALA15238	OFUSG11698.1
BRALA19739	OFUSG06947.1
BRALA26139	OFUSG25097.1
BRALA35545	OFUSG11683.1
BRALA03871	OFUSG18539.1
BRALA20496	OFUSG06700.1
BRALA15669	OFUSG07052.1
BRALA05296	OFUSG21283.1
BRALA10976	OFUSG18936.1
BRALA20784	OFUSG01514.1
BRALA02434	OFUSG00761.1
BRALA02091	OFUSG00164.1
BRALA34283	OFUSG21286.1
BRALA35334	OFUSG07873.1
BRALA09055	OFUSG16555.1
BRALA09949	OFUSG12418.1
BRALA01178	OFUSG17597.1
BRALA23679	OFUSG16513.1
BRALA05974	OFUSG24914.1
BRALA13293	OFUSG22012.1
BRALA13301	OFUSG11826.1
BRALA10056	OFUSG08307.1
BRALA07389	OFUSG16696.1
BRALA21585	OFUSG11518.1
BRALA33045	OFUSG20104.1
BRALA06284	OFUSG10972.1
BRALA06045	OFUSG03164.1
BRALA10606	OFUSG23274.1
BRALA28914	OFUSG11790.1
BRALA14527	OFUSG12214.1
BRALA11552	OFUSG06577.1
BRALA28831	OFUSG01816.1
BRALA05171	OFUSG23281.1
BRALA27046	OFUSG03990.1
BRALA12515	OFUSG22904.1
BRALA34310	OFUSG15507.1
BRALA13715	OFUSG26565.1
BRALA20315	OFUSG06964.1
BRALA15635	OFUSG19864.1
BRALA03708	OFUSG02068.1
BRALA00878	OFUSG19252.1
BRALA12795	OFUSG18867.1
BRALA05457	OFUSG12710.1
BRALA02587	OFUSG07668.1
BRALA21364	OFUSG16803.1
BRALA00744	OFUSG12906.1
BRALA18203	OFUSG08693.1
BRALA12027	OFUSG11819.1
BRALA03891	OFUSG11014.1
BRALA02413	OFUSG00699.1
BRALA32315	OFUSG19658.1
BRALA04682	OFUSG04365.1
BRALA32297	OFUSG22559.1
BRALA17595	OFUSG09289.1
BRALA00801	OFUSG13316.1
BRALA12455	OFUSG20097.1
BRALA03660	OFUSG10956.1
BRALA04143	OFUSG16546.1
BRALA11706	OFUSG24917.1
BRALA20882	OFUSG12543.1
BRALA03932	OFUSG10926.1
BRALA00540	OFUSG23697.1
BRALA03663	OFUSG18100.1
BRALA17018	OFUSG04259.1
BRALA14959	OFUSG22242.1
BRALA00958	OFUSG20387.1
BRALA04441	OFUSG16610.1
BRALA34346	OFUSG14927.1
BRALA05134	OFUSG12738.1
BRALA04434	OFUSG11517.1
BRALA14733	OFUSG01836.1
BRALA00081	OFUSG17660.1
BRALA12426	OFUSG00051.1
BRALA12338	OFUSG00112.1
BRALA27576	OFUSG15294.1
BRALA26804	OFUSG02732.1
BRALA35105	OFUSG09067.1
BRALA25841	OFUSG06085.1
BRALA04076	OFUSG19946.1
BRALA14253	OFUSG18678.1
BRALA08900	OFUSG01227.1
BRALA20038	OFUSG18650.1
BRALA01935	OFUSG09251.1
BRALA34175	OFUSG11760.1
BRALA18901	OFUSG20438.1
BRALA08980	OFUSG00730.1
BRALA16416	OFUSG06537.1
BRALA17119	OFUSG09849.1
BRALA11822	OFUSG03220.1
BRALA10301	OFUSG13364.1
BRALA09033	OFUSG16237.1
BRALA11284	OFUSG16334.1
BRALA02338	OFUSG01895.1
BRALA02340	OFUSG01894.1
BRALA04723	OFUSG16664.1
BRALA27657	OFUSG22311.1
BRALA29005	OFUSG00673.1
BRALA15051	OFUSG09295.1
BRALA24377	OFUSG10796.1
BRALA25124	OFUSG12102.1
BRALA24385	OFUSG00815.1
BRALA28367	OFUSG06268.1
BRALA17653	OFUSG13178.1
BRALA28132	OFUSG18741.1
BRALA03360	OFUSG17921.1
BRALA02403	OFUSG01251.1
BRALA02532	OFUSG07758.1
BRALA25104	OFUSG09788.1
BRALA01339	OFUSG26462.1
BRALA24516	OFUSG00497.1
BRALA00617	OFUSG01944.1
BRALA21702	OFUSG05604.1
BRALA14998	OFUSG23879.1
BRALA21805	OFUSG26697.1
BRALA04563	OFUSG04091.1
BRALA07148	OFUSG16107.1
BRALA18657	OFUSG11554.1
BRALA25852	OFUSG21493.1
BRALA14602	OFUSG08901.1
BRALA27860	OFUSG01637.1
BRALA27977	OFUSG01585.1
BRALA23597	OFUSG22608.1
BRALA15692	OFUSG01031.1
BRALA23860	OFUSG08244.1
BRALA20990	OFUSG16551.1
BRALA20177	OFUSG14533.1
BRALA26880	OFUSG24129.1
BRALA08784	OFUSG00637.1
BRALA00543	OFUSG17100.1
BRALA16820	OFUSG09305.1
BRALA08202	OFUSG02484.1
BRALA08201	OFUSG02485.1
BRALA10453	OFUSG04263.1
BRALA00782	OFUSG21035.1
BRALA12453	OFUSG05056.1
BRALA03591	OFUSG18073.1
BRALA20733	OFUSG26256.1
BRALA04013	OFUSG10177.1
BRALA03357	OFUSG05283.1
BRALA11137	OFUSG03652.1
BRALA03874	OFUSG18109.1
BRALA24640	OFUSG15086.1
BRALA07314	OFUSG24111.1
BRALA29523	OFUSG25208.1
BRALA00637	OFUSG13628.1
BRALA19988	OFUSG05262.1
BRALA17579	OFUSG03861.1
BRALA13541	OFUSG19991.1
BRALA10027	OFUSG07902.1
BRALA03927	OFUSG11040.1
BRALA10034	OFUSG21531.1
BRALA29385	OFUSG06018.1
BRALA12870	OFUSG05737.1
BRALA16394	OFUSG19359.1
BRALA14195	OFUSG14358.1
BRALA08770	OFUSG00108.1
BRALA14859	OFUSG14675.1
BRALA07286	OFUSG24187.1
BRALA24042	OFUSG06280.1
BRALA06003	OFUSG17480.1
BRALA24730	OFUSG01608.1
BRALA19029	OFUSG05360.1
BRALA11966	OFUSG18896.1
BRALA14145	OFUSG16289.1
BRALA31587	OFUSG17257.1
BRALA13325	OFUSG25182.1
BRALA20751	OFUSG01359.1
BRALA11115	OFUSG10458.1
BRALA15099	OFUSG09158.1
BRALA10822	OFUSG11700.1
BRALA31425	OFUSG05074.1
BRALA06800	OFUSG17922.1
BRALA21121	OFUSG02569.1
BRALA06810	OFUSG22530.1
BRALA08048	OFUSG02551.1
BRALA11238	OFUSG10400.1
BRALA06024	OFUSG13920.1
BRALA04010	OFUSG11109.1
BRALA08587	OFUSG17397.1
BRALA19576	OFUSG21106.1
BRALA17006	OFUSG16393.1
BRALA06712	OFUSG18424.1
BRALA03777	OFUSG22022.2
BRALA26581	OFUSG05122.1
BRALA22460	OFUSG03037.1
BRALA22627	OFUSG11469.1
BRALA22631	OFUSG12080.1
BRALA03613	OFUSG05685.1
BRALA12664	OFUSG03346.1
BRALA20184	OFUSG03330.1
BRALA08290	OFUSG04034.1
BRALA31456	OFUSG04424.1
BRALA21440	OFUSG22304.1
BRALA12769	OFUSG06804.1
BRALA13315	OFUSG16677.1
BRALA13682	OFUSG00008.1
BRALA21015	OFUSG04037.1
BRALA24848	OFUSG17193.1
BRALA20406	OFUSG19616.1
BRALA08314	OFUSG02473.1
BRALA07018	OFUSG16311.1
BRALA06483	OFUSG12472.1
BRALA23451	OFUSG12330.1
BRALA00254	OFUSG23716.1
BRALA35235	OFUSG18002.1
BRALA17080	OFUSG25355.1
BRALA10695	OFUSG17063.1
BRALA28901	OFUSG05334.1
BRALA08129	OFUSG01933.1
BRALA24284	OFUSG12701.1
BRALA23603	OFUSG22297.1
BRALA23017	OFUSG10854.1
BRALA07725	OFUSG07596.1
BRALA30342	OFUSG23343.1
BRALA13568	OFUSG23334.1
BRALA33879	OFUSG23335.1
BRALA16208	OFUSG24750.1
BRALA28026	OFUSG06152.1
BRALA22493	OFUSG11491.1
BRALA13327	OFUSG21658.1
BRALA13540	OFUSG20144.1
BRALA00752	OFUSG21360.1
BRALA13309	OFUSG11347.1
BRALA06120	OFUSG26881.1
BRALA14735	OFUSG10654.1
BRALA04133	OFUSG16015.1
BRALA10734	OFUSG23430.1
BRALA18782	OFUSG16918.1
BRALA35992	OFUSG03123.1
BRALA32774	OFUSG23517.1
BRALA23567	OFUSG22403.1
BRALA29065	OFUSG20181.1
BRALA14948	OFUSG24177.1
BRALA14768	OFUSG13166.1
BRALA30313	OFUSG21708.1
BRALA20565	OFUSG18913.1
BRALA19296	OFUSG01257.1
BRALA30065	OFUSG16690.1
BRALA06911	OFUSG24342.1
BRALA04333	OFUSG04684.1
BRALA34444	OFUSG26111.1
BRALA04332	OFUSG04683.1
BRALA00132	OFUSG26257.3
BRALA04002	OFUSG10722.1
BRALA12880	OFUSG21015.1
BRALA05138	OFUSG12774.1
BRALA06035	OFUSG25843.1
BRALA21684	OFUSG05984.1
BRALA27214	OFUSG20935.1
BRALA19974	OFUSG20257.1
BRALA16139	OFUSG20541.1
BRALA25890	OFUSG17154.1
BRALA27930	OFUSG19246.1
BRALA19222	OFUSG01279.1
BRALA25128	OFUSG09460.1
BRALA24133	OFUSG12312.1
BRALA09601	OFUSG09269.1
BRALA28833	OFUSG01516.1
BRALA24997	OFUSG25224.1
BRALA07019	OFUSG14587.1
BRALA11819	OFUSG03656.1
BRALA15935	OFUSG03222.1
BRALA26756	OFUSG16185.1
BRALA17839	OFUSG21803.1
BRALA26659	OFUSG26423.1
BRALA28371	OFUSG05564.1
BRALA34460	OFUSG24083.1
BRALA00597	OFUSG23468.1
BRALA05650	OFUSG24041.1
BRALA19958	OFUSG05379.1
BRALA10294	OFUSG21415.1
BRALA27150	OFUSG14154.1
BRALA04168	OFUSG04589.1
BRALA09760	OFUSG21086.1
BRALA12494	OFUSG05267.1
BRALA27296	OFUSG21425.1
BRALA16537	OFUSG19388.1
BRALA10747	OFUSG21344.1
BRALA14260	OFUSG14006.1
BRALA00477	OFUSG23624.1
BRALA00961	OFUSG17354.1
BRALA03569	OFUSG04849.1
BRALA09366	OFUSG06702.1
BRALA02813	OFUSG26725.1
BRALA35145	OFUSG07691.1
BRALA10859	OFUSG09274.1
BRALA03222	OFUSG23132.1
BRALA16976	OFUSG03362.1
BRALA24251	OFUSG22343.1
BRALA01606	OFUSG09833.1
BRALA25030	OFUSG18535.1
BRALA13955	OFUSG05149.1
BRALA16893	OFUSG00065.1
BRALA24710	OFUSG11783.1
BRALA09515	OFUSG08879.1
BRALA30159	OFUSG11373.1
BRALA14486	OFUSG16498.1
BRALA34142	OFUSG19139.1
BRALA08199	OFUSG02471.1
BRALA12193	OFUSG23642.1
BRALA17947	OFUSG10221.1
BRALA14445	OFUSG16670.1
BRALA22582	OFUSG22042.1
BRALA23851	OFUSG07798.1
BRALA01346	OFUSG26569.1
BRALA17951	OFUSG15207.1
BRALA22379	OFUSG05114.1
BRALA10193	OFUSG08198.1
BRALA05038	OFUSG23546.1
BRALA03706	OFUSG10535.1
BRALA22585	OFUSG11461.1
BRALA13047	OFUSG10828.1
BRALA08906	OFUSG00323.1
BRALA01956	OFUSG00343.1
BRALA11528	OFUSG23083.1
BRALA08021	OFUSG16548.1
BRALA13321	OFUSG11624.1
BRALA33648	OFUSG16607.1
BRALA04015	OFUSG10884.1
BRALA24570	OFUSG19214.1
BRALA10354	OFUSG12772.1
BRALA19771	OFUSG06432.1
BRALA23942	OFUSG15141.1
BRALA00789	OFUSG05145.1
BRALA05167	OFUSG17350.1
