AENJA_23461	OFUSG13305.1
AENJA_12274	OFUSG21119.1
AENJA_21030	OFUSG17928.1
AENJA_20966	OFUSG03938.1
AENJA_08759	OFUSG09754.1
AENJA_10722	OFUSG12627.1
AENJA_05740	OFUSG02210.1
AENJA_15028	OFUSG16797.1
AENJA_06514	OFUSG07861.1
AENJA_23686	OFUSG08780.1
AENJA_13785	OFUSG00313.1
AENJA_24919	OFUSG08088.1
AENJA_16616	OFUSG09735.1
AENJA_01174	OFUSG16461.1
AENJA_26793	OFUSG07703.1
AENJA_22033	OFUSG09470.1
AENJA_12732	OFUSG07851.1
AENJA_05691	OFUSG03339.1
AENJA_26313	OFUSG04771.1
AENJA_09724	OFUSG03340.1
AENJA_20870	OFUSG05314.1
AENJA_20163	OFUSG11857.1
AENJA_23333	OFUSG17305.1
AENJA_08471	OFUSG15030.1
AENJA_24560	OFUSG07896.1
AENJA_26664	OFUSG03166.1
AENJA_24300	OFUSG07526.1
AENJA_15828	OFUSG17068.1
AENJA_11619	OFUSG15705.1
AENJA_23226	OFUSG19541.1
AENJA_09360	OFUSG11587.1
AENJA_25506	OFUSG04756.1
AENJA_20702	OFUSG00390.1
AENJA_25756	OFUSG06038.1
AENJA_17800	OFUSG14032.1
AENJA_14035	OFUSG00506.1
AENJA_19076	OFUSG08626.1
AENJA_20268	OFUSG17281.1
AENJA_20631	OFUSG00149.1
AENJA_23993	OFUSG08808.1
AENJA_23345	OFUSG06504.1
AENJA_12354	OFUSG18325.1
AENJA_14024	OFUSG07699.1
AENJA_10634	OFUSG25338.1
AENJA_18855	OFUSG00570.1
AENJA_22621	OFUSG14092.1
AENJA_15982	OFUSG26968.1
AENJA_20523	OFUSG12766.1
AENJA_02450	OFUSG03079.1
AENJA_21406	OFUSG06373.1
AENJA_12918	OFUSG05709.1
AENJA_12839	OFUSG19094.1
AENJA_13107	OFUSG19468.1
AENJA_00875	OFUSG06337.1
AENJA_16514	OFUSG24311.1
AENJA_06551	OFUSG04718.1
AENJA_16186	OFUSG21029.1
AENJA_23268	OFUSG22027.1
AENJA_25747	OFUSG05603.1
AENJA_03464	OFUSG00967.1
AENJA_12490	OFUSG20913.1
AENJA_06487	OFUSG24119.1
AENJA_24493	OFUSG04918.1
AENJA_20539	OFUSG15502.1
AENJA_06382	OFUSG23884.1
AENJA_08917	OFUSG00479.1
AENJA_17133	OFUSG19605.1
AENJA_15860	OFUSG04354.1
AENJA_23251	OFUSG13949.1
AENJA_19109	OFUSG12025.1
AENJA_19775	OFUSG00692.1
AENJA_03163	OFUSG04733.1
AENJA_10299	OFUSG18253.1
AENJA_10300	OFUSG18250.1
AENJA_10145	OFUSG07976.1
AENJA_19633	OFUSG03472.1
AENJA_01954	OFUSG08207.1
AENJA_14582	OFUSG06104.1
AENJA_25727	OFUSG14354.1
AENJA_21947	OFUSG09090.1
AENJA_08423	OFUSG08225.1
AENJA_09240	OFUSG00268.1
AENJA_16144	OFUSG00372.1
AENJA_16173	OFUSG18026.1
AENJA_15326	OFUSG11416.1
AENJA_26592	OFUSG26221.1
AENJA_00251	OFUSG19071.1
AENJA_06075	OFUSG07220.1
AENJA_21591	OFUSG20665.1
AENJA_10010	OFUSG12670.1
AENJA_08491	OFUSG16287.1
AENJA_04133	OFUSG12377.1
AENJA_13105	OFUSG06922.1
AENJA_01277	OFUSG24312.1
AENJA_12299	OFUSG21285.1
AENJA_26530	OFUSG05757.1
AENJA_04495	OFUSG17860.1
AENJA_03187	OFUSG17649.1
AENJA_09264	OFUSG04413.1
AENJA_18946	OFUSG16535.1
AENJA_24273	OFUSG13809.1
AENJA_11132	OFUSG13933.1
AENJA_20308	OFUSG14194.1
AENJA_17569	OFUSG17604.1
AENJA_00497	OFUSG10843.1
AENJA_11687	OFUSG00465.1
AENJA_15966	OFUSG05908.1
AENJA_05753	OFUSG04077.1
AENJA_06072	OFUSG13983.1
AENJA_03761	OFUSG17282.1
AENJA_03922	OFUSG26238.1
AENJA_10787	OFUSG25122.1
AENJA_12114	OFUSG16120.1
AENJA_18738	OFUSG01698.1
AENJA_03158	OFUSG10663.1
AENJA_08473	OFUSG06400.1
AENJA_07142	OFUSG20854.1
AENJA_12334	OFUSG07944.1
AENJA_13258	OFUSG25135.1
AENJA_06073	OFUSG26624.1
AENJA_06959	OFUSG13799.1
AENJA_04184	OFUSG15717.1
AENJA_24821	OFUSG09034.1
AENJA_15219	OFUSG09588.1
AENJA_13257	OFUSG26690.1
AENJA_04545	OFUSG13384.1
AENJA_00267	OFUSG15615.1
AENJA_09998	OFUSG10183.1
AENJA_19122	OFUSG17472.1
AENJA_05120	OFUSG17209.1
AENJA_25279	OFUSG09587.1
AENJA_14465	OFUSG20769.1
AENJA_16046	OFUSG17288.1
AENJA_08843	OFUSG16146.1
AENJA_22272	OFUSG05616.1
AENJA_21091	OFUSG09522.1
AENJA_05818	OFUSG16625.1
AENJA_06437	OFUSG05213.1
AENJA_22491	OFUSG07317.1
AENJA_16129	OFUSG06957.1
AENJA_15378	OFUSG18212.1
AENJA_20612	OFUSG10808.1
AENJA_06675	OFUSG12780.1
AENJA_19694	OFUSG25720.1
AENJA_16048	OFUSG14819.1
AENJA_02703	OFUSG17223.1
AENJA_00631	OFUSG20103.1
AENJA_00457	OFUSG15403.1
AENJA_10134	OFUSG06911.1
AENJA_01110	OFUSG18348.1
AENJA_01745	OFUSG26401.1
AENJA_22602	OFUSG03924.1
AENJA_01901	OFUSG14151.1
AENJA_21122	OFUSG23435.1
AENJA_13029	OFUSG23545.1
AENJA_06576	OFUSG17482.1
AENJA_19501	OFUSG17402.1
AENJA_04024	OFUSG24707.1
AENJA_25447	OFUSG09374.1
AENJA_09895	OFUSG00599.1
AENJA_19821	OFUSG12452.1
AENJA_00791	OFUSG19871.1
AENJA_02934	OFUSG19638.1
AENJA_04001	OFUSG06544.1
AENJA_08885	OFUSG10627.1
AENJA_22494	OFUSG18432.1
AENJA_20374	OFUSG22300.1
AENJA_18059	OFUSG11717.1
AENJA_08495	OFUSG20246.1
AENJA_14341	OFUSG24172.1
AENJA_01071	OFUSG19827.1
AENJA_25135	OFUSG25465.1
AENJA_24755	OFUSG10164.1
AENJA_17228	OFUSG20552.1
AENJA_12414	OFUSG01194.1
AENJA_02207	OFUSG20331.1
AENJA_02410	OFUSG21204.1
AENJA_26333	OFUSG04324.1
AENJA_17752	OFUSG09583.1
AENJA_23771	OFUSG12117.1
AENJA_24528	OFUSG07066.1
AENJA_06250	OFUSG11917.1
AENJA_08669	OFUSG11356.1
AENJA_02917	OFUSG05664.1
AENJA_14602	OFUSG04149.1
AENJA_25695	OFUSG24272.1
AENJA_26650	OFUSG17213.1
AENJA_14029	OFUSG11670.1
AENJA_06955	OFUSG23401.1
AENJA_10997	OFUSG20891.1
AENJA_08720	OFUSG26639.1
AENJA_21144	OFUSG15740.1
AENJA_08858	OFUSG18419.1
AENJA_09707	OFUSG04338.1
AENJA_20449	OFUSG09011.1
AENJA_03995	OFUSG00468.1
AENJA_19718	OFUSG07844.1
AENJA_20347	OFUSG05597.1
AENJA_07959	OFUSG05560.1
AENJA_08159	OFUSG18708.1
AENJA_03142	OFUSG26052.1
AENJA_20326	OFUSG26476.1
AENJA_25131	OFUSG02910.1
AENJA_10869	OFUSG09900.1
AENJA_14604	OFUSG23699.1
AENJA_13824	OFUSG17374.1
AENJA_25023	OFUSG20928.1
AENJA_15869	OFUSG07765.1
AENJA_06322	OFUSG01659.1
AENJA_05988	OFUSG18969.1
AENJA_14336	OFUSG24082.1
AENJA_22255	OFUSG11601.1
AENJA_23739	OFUSG26348.1
AENJA_15217	OFUSG09253.1
AENJA_25508	OFUSG04744.1
AENJA_24317	OFUSG21181.1
AENJA_06790	OFUSG06315.1
AENJA_00992	OFUSG02814.1
AENJA_00989	OFUSG13247.1
AENJA_26747	OFUSG18098.1
AENJA_15256	OFUSG01976.1
AENJA_01524	OFUSG19461.1
AENJA_01416	OFUSG11015.1
AENJA_02524	OFUSG21784.1
AENJA_02525	OFUSG08344.1
AENJA_04225	OFUSG10583.1
AENJA_18481	OFUSG08393.1
AENJA_19334	OFUSG14794.1
AENJA_11345	OFUSG09739.1
AENJA_19966	OFUSG13897.1
AENJA_05337	OFUSG02203.1
AENJA_16057	OFUSG21288.1
AENJA_16012	OFUSG19119.1
AENJA_19100	OFUSG02701.1
AENJA_20619	OFUSG06254.1
AENJA_23705	OFUSG10765.1
AENJA_08472	OFUSG05708.1
AENJA_18053	OFUSG16936.1
AENJA_07424	OFUSG23367.1
AENJA_02624	OFUSG03674.1
AENJA_23362	OFUSG26848.1
AENJA_15690	OFUSG15391.1
AENJA_22664	OFUSG25439.1
AENJA_20126	OFUSG12798.1
AENJA_25861	OFUSG03813.1
AENJA_12542	OFUSG02102.1
AENJA_08617	OFUSG20115.1
AENJA_13192	OFUSG24006.1
AENJA_22299	OFUSG22814.1
AENJA_11176	OFUSG03911.2
AENJA_08112	OFUSG09133.1
AENJA_20305	OFUSG15297.1
AENJA_23972	OFUSG22752.1
AENJA_19835	OFUSG23310.1
AENJA_05645	OFUSG10344.1
AENJA_03065	OFUSG12159.1
AENJA_04428	OFUSG07634.1
AENJA_25500	OFUSG25663.1
AENJA_11315	OFUSG09355.1
AENJA_16412	OFUSG22195.1
AENJA_04794	OFUSG06172.1
AENJA_15177	OFUSG00333.1
AENJA_10717	OFUSG01349.1
AENJA_25711	OFUSG24794.1
AENJA_14005	OFUSG10615.1
AENJA_08035	OFUSG24693.1
AENJA_26154	OFUSG22439.1
AENJA_03399	OFUSG14847.1
AENJA_14772	OFUSG22882.1
AENJA_18838	OFUSG06880.1
AENJA_22918	OFUSG03577.1
AENJA_10254	OFUSG07884.1
AENJA_18516	OFUSG11653.1
AENJA_11897	OFUSG11079.1
AENJA_15704	OFUSG18180.1
AENJA_21822	OFUSG11128.1
AENJA_14684	OFUSG21420.1
AENJA_02266	OFUSG07246.1
AENJA_09892	OFUSG01141.1
AENJA_03823	OFUSG09294.1
AENJA_25316	OFUSG22135.1
AENJA_16703	OFUSG10015.1
AENJA_14680	OFUSG13205.1
AENJA_05991	OFUSG18838.1
AENJA_22698	OFUSG17697.1
AENJA_12143	OFUSG18533.1
AENJA_18774	OFUSG12276.1
AENJA_06388	OFUSG10192.1
AENJA_11660	OFUSG05092.1
AENJA_17521	OFUSG08567.1
AENJA_26085	OFUSG03578.1
AENJA_14143	OFUSG15843.1
AENJA_05665	OFUSG03620.1
AENJA_01108	OFUSG05767.1
AENJA_20115	OFUSG20342.1
AENJA_06241	OFUSG00753.1
AENJA_26390	OFUSG13199.1
AENJA_17116	OFUSG13385.1
AENJA_19991	OFUSG22490.1
AENJA_21234	OFUSG08998.1
AENJA_11467	OFUSG25728.1
AENJA_11832	OFUSG01804.1
AENJA_21404	OFUSG06276.1
AENJA_26231	OFUSG10577.1
AENJA_11362	OFUSG08255.1
AENJA_18235	OFUSG25104.1
AENJA_05869	OFUSG01727.1
AENJA_24235	OFUSG11841.1
AENJA_15654	OFUSG10041.1
AENJA_16219	OFUSG07419.1
AENJA_21410	OFUSG18903.1
AENJA_25178	OFUSG25796.1
AENJA_03019	OFUSG18259.1
AENJA_19097	OFUSG02223.1
AENJA_17426	OFUSG25902.1
AENJA_14844	OFUSG06029.1
AENJA_10323	OFUSG01097.1
AENJA_25030	OFUSG17235.1
AENJA_23148	OFUSG23346.1
AENJA_21364	OFUSG14066.1
AENJA_20819	OFUSG00335.1
AENJA_08940	OFUSG00657.1
AENJA_15885	OFUSG16493.1
AENJA_23556	OFUSG19814.2
AENJA_17227	OFUSG13151.1
AENJA_16673	OFUSG00837.1
AENJA_15743	OFUSG21046.1
AENJA_09374	OFUSG12527.1
AENJA_05733	OFUSG02208.1
AENJA_22982	OFUSG17710.1
AENJA_23068	OFUSG13672.1
AENJA_20709	OFUSG13295.1
AENJA_05512	OFUSG09493.1
AENJA_05899	OFUSG10928.1
AENJA_22558	OFUSG04266.1
AENJA_24295	OFUSG08298.1
AENJA_14480	OFUSG21333.1
AENJA_16592	OFUSG22310.1
AENJA_11417	OFUSG18362.1
AENJA_18772	OFUSG12431.1
AENJA_13962	OFUSG08032.1
AENJA_13741	OFUSG05354.1
AENJA_19515	OFUSG05252.1
AENJA_24836	OFUSG09029.1
AENJA_24244	OFUSG03962.1
AENJA_02664	OFUSG23525.1
AENJA_21734	OFUSG24714.1
AENJA_05447	OFUSG16639.1
AENJA_18701	OFUSG23446.1
AENJA_25207	OFUSG15867.1
AENJA_19532	OFUSG22252.1
AENJA_00693	OFUSG09373.1
AENJA_00888	OFUSG25165.1
AENJA_05189	OFUSG26139.1
AENJA_23565	OFUSG21773.1
AENJA_07190	OFUSG16053.1
AENJA_17430	OFUSG25897.1
AENJA_23758	OFUSG16205.1
AENJA_10948	OFUSG21600.1
AENJA_16833	OFUSG19406.1
AENJA_18702	OFUSG04389.1
AENJA_23603	OFUSG03850.1
AENJA_18412	OFUSG11759.1
AENJA_02716	OFUSG05389.1
AENJA_10935	OFUSG11344.1
AENJA_00800	OFUSG13730.1
AENJA_03220	OFUSG09137.1
AENJA_24754	OFUSG10163.1
AENJA_05569	OFUSG17044.1
AENJA_09428	OFUSG11308.1
AENJA_19255	OFUSG00139.1
AENJA_15347	OFUSG12368.1
AENJA_15345	OFUSG25173.1
AENJA_15344	OFUSG21596.1
AENJA_25758	OFUSG19304.1
AENJA_21633	OFUSG00278.1
AENJA_19774	OFUSG24583.1
AENJA_07046	OFUSG20344.1
AENJA_25061	OFUSG18333.1
AENJA_21036	OFUSG11138.1
AENJA_13904	OFUSG06784.1
AENJA_07369	OFUSG01055.1
AENJA_09335	OFUSG16956.1
AENJA_07534	OFUSG06003.1
AENJA_17434	OFUSG14405.1
AENJA_11021	OFUSG14404.1
AENJA_26538	OFUSG21649.1
AENJA_01735	OFUSG01950.1
AENJA_03157	OFUSG16039.1
AENJA_13627	OFUSG22888.1
AENJA_06346	OFUSG06644.1
AENJA_20929	OFUSG08463.1
AENJA_10824	OFUSG04886.1
AENJA_11546	OFUSG19377.1
AENJA_23743	OFUSG26688.1
AENJA_16729	OFUSG12004.1
AENJA_02871	OFUSG17186.1
AENJA_23811	OFUSG19939.1
AENJA_25533	OFUSG00909.1
AENJA_13648	OFUSG13391.1
AENJA_26558	OFUSG00777.1
AENJA_07463	OFUSG19283.1
AENJA_11572	OFUSG03336.1
AENJA_16161	OFUSG08218.1
AENJA_07771	OFUSG21914.1
AENJA_10965	OFUSG09740.1
AENJA_22126	OFUSG05397.1
AENJA_00652	OFUSG26510.1
AENJA_00673	OFUSG05054.1
AENJA_22405	OFUSG04671.1
AENJA_07139	OFUSG20855.1
AENJA_04823	OFUSG23086.1
AENJA_04819	OFUSG23087.1
AENJA_10994	OFUSG04430.1
AENJA_23986	OFUSG04714.1
AENJA_06847	OFUSG00339.1
AENJA_01439	OFUSG04303.1
AENJA_14948	OFUSG00337.1
AENJA_24472	OFUSG21109.1
AENJA_21495	OFUSG11101.1
AENJA_19588	OFUSG26455.1
AENJA_14841	OFUSG06083.1
AENJA_15036	OFUSG16644.1
AENJA_02173	OFUSG12085.1
AENJA_03705	OFUSG08473.1
AENJA_15570	OFUSG21048.1
AENJA_04404	OFUSG14430.1
AENJA_04707	OFUSG16421.1
AENJA_14535	OFUSG12758.1
AENJA_12150	OFUSG02151.1
AENJA_14433	OFUSG06498.1
AENJA_04544	OFUSG21408.1
AENJA_00603	OFUSG17680.1
AENJA_13840	OFUSG17216.1
AENJA_03084	OFUSG24909.1
AENJA_12321	OFUSG17219.1
AENJA_10033	OFUSG11698.1
AENJA_06971	OFUSG06947.1
AENJA_10581	OFUSG25097.1
AENJA_24098	OFUSG11683.1
AENJA_26449	OFUSG18539.1
AENJA_10491	OFUSG21283.1
AENJA_04787	OFUSG18936.1
AENJA_02261	OFUSG04812.1
AENJA_12473	OFUSG01514.1
AENJA_12494	OFUSG00761.1
AENJA_02057	OFUSG00164.1
AENJA_10614	OFUSG20682.1
AENJA_17206	OFUSG00381.1
AENJA_19624	OFUSG04001.1
AENJA_02846	OFUSG11385.1
AENJA_14697	OFUSG16555.1
AENJA_11200	OFUSG17597.1
AENJA_04711	OFUSG16513.1
AENJA_23886	OFUSG24914.1
AENJA_07801	OFUSG22012.1
AENJA_10770	OFUSG08307.1
AENJA_25876	OFUSG13076.1
AENJA_11591	OFUSG16696.1
AENJA_00649	OFUSG11518.1
AENJA_08856	OFUSG17833.1
AENJA_22213	OFUSG23015.1
AENJA_25526	OFUSG11725.1
AENJA_19385	OFUSG03164.1
AENJA_15960	OFUSG23274.1
AENJA_18432	OFUSG11790.1
AENJA_26108	OFUSG12214.1
AENJA_00591	OFUSG01816.1
AENJA_26667	OFUSG23281.1
AENJA_01120	OFUSG03990.1
AENJA_02216	OFUSG22904.1
AENJA_15686	OFUSG15507.1
AENJA_07914	OFUSG26565.1
AENJA_12914	OFUSG06964.1
AENJA_17341	OFUSG08828.1
AENJA_22560	OFUSG19864.1
AENJA_10656	OFUSG05265.1
AENJA_01269	OFUSG14919.1
AENJA_06861	OFUSG18867.1
AENJA_22246	OFUSG11326.1
AENJA_22232	OFUSG16803.1
AENJA_14707	OFUSG12906.1
AENJA_17040	OFUSG08693.1
AENJA_21563	OFUSG11333.1
AENJA_06215	OFUSG11819.1
AENJA_00390	OFUSG11014.1
AENJA_19776	OFUSG00699.1
AENJA_01187	OFUSG19658.1
AENJA_22407	OFUSG22559.1
AENJA_10797	OFUSG09289.1
AENJA_14885	OFUSG26685.1
AENJA_12225	OFUSG10229.1
AENJA_19187	OFUSG21207.1
AENJA_24609	OFUSG13316.1
AENJA_25867	OFUSG16546.1
AENJA_11030	OFUSG24917.1
AENJA_05553	OFUSG21400.1
AENJA_21712	OFUSG12543.1
AENJA_05704	OFUSG10926.1
AENJA_07214	OFUSG23697.1
AENJA_18385	OFUSG18100.1
AENJA_14055	OFUSG04259.1
AENJA_10746	OFUSG22242.1
AENJA_23750	OFUSG16562.1
AENJA_26562	OFUSG12185.1
AENJA_01783	OFUSG19469.1
AENJA_14692	OFUSG14927.1
AENJA_13518	OFUSG12738.1
AENJA_24422	OFUSG11517.1
AENJA_19604	OFUSG04483.1
AENJA_00962	OFUSG17660.1
AENJA_11386	OFUSG00112.1
AENJA_19531	OFUSG15294.1
AENJA_06120	OFUSG02732.1
AENJA_06598	OFUSG09067.1
AENJA_26527	OFUSG06085.1
AENJA_19063	OFUSG01227.1
AENJA_21120	OFUSG16947.1
AENJA_04443	OFUSG02115.1
AENJA_06473	OFUSG06537.1
AENJA_07645	OFUSG09849.1
AENJA_08703	OFUSG13364.1
AENJA_14919	OFUSG16237.1
AENJA_08833	OFUSG16334.1
AENJA_13562	OFUSG16664.1
AENJA_14015	OFUSG04088.1
AENJA_17126	OFUSG05701.1
AENJA_21849	OFUSG22311.1
AENJA_02929	OFUSG09295.1
AENJA_02481	OFUSG10796.1
AENJA_25522	OFUSG18741.1
AENJA_02063	OFUSG17921.1
AENJA_17075	OFUSG09788.1
AENJA_26233	OFUSG10578.1
AENJA_14737	OFUSG10342.1
AENJA_07565	OFUSG00497.1
AENJA_18263	OFUSG03948.1
AENJA_11633	OFUSG05604.1
AENJA_09966	OFUSG23879.1
AENJA_00754	OFUSG26697.1
AENJA_09851	OFUSG04091.1
AENJA_17499	OFUSG03258.1
AENJA_01733	OFUSG11554.1
AENJA_14502	OFUSG21493.1
AENJA_05944	OFUSG09241.1
AENJA_05801	OFUSG26854.1
AENJA_06210	OFUSG08901.1
AENJA_06536	OFUSG01637.1
AENJA_07380	OFUSG14486.1
AENJA_10314	OFUSG22608.1
AENJA_23792	OFUSG01031.1
AENJA_12733	OFUSG08244.1
AENJA_14023	OFUSG16551.1
AENJA_02078	OFUSG10222.1
AENJA_00401	OFUSG24129.1
AENJA_16617	OFUSG00637.1
AENJA_22086	OFUSG17100.1
AENJA_21157	OFUSG09305.1
AENJA_05461	OFUSG02484.1
AENJA_05453	OFUSG02485.1
AENJA_24386	OFUSG16223.1
AENJA_08232	OFUSG04263.1
AENJA_23956	OFUSG05056.1
AENJA_01165	OFUSG18073.1
AENJA_06323	OFUSG26256.1
AENJA_02282	OFUSG05283.1
AENJA_02972	OFUSG03652.1
AENJA_22529	OFUSG18109.1
AENJA_10751	OFUSG15086.1
AENJA_03395	OFUSG24111.1
AENJA_03845	OFUSG22451.1
AENJA_08030	OFUSG22964.1
AENJA_16263	OFUSG13628.1
AENJA_08414	OFUSG05262.1
AENJA_08762	OFUSG03861.1
AENJA_14891	OFUSG11040.1
AENJA_25125	OFUSG21531.1
AENJA_08136	OFUSG06018.1
AENJA_20560	OFUSG05737.1
AENJA_02296	OFUSG19359.1
AENJA_10712	OFUSG00108.1
AENJA_07866	OFUSG14675.1
AENJA_13424	OFUSG24187.1
AENJA_17128	OFUSG06280.1
AENJA_25248	OFUSG17480.1
AENJA_24757	OFUSG01608.1
AENJA_26608	OFUSG16289.1
AENJA_15956	OFUSG17257.1
AENJA_02393	OFUSG20884.1
AENJA_12182	OFUSG25182.1
AENJA_03151	OFUSG01359.1
AENJA_11445	OFUSG17905.1
AENJA_08654	OFUSG22144.1
AENJA_04437	OFUSG10458.1
AENJA_07743	OFUSG00715.1
AENJA_12462	OFUSG09158.1
AENJA_13779	OFUSG17922.1
AENJA_15619	OFUSG02569.1
AENJA_19830	OFUSG23486.1
AENJA_24765	OFUSG18772.1
AENJA_01047	OFUSG10400.1
AENJA_01886	OFUSG13920.1
AENJA_02745	OFUSG17397.1
AENJA_16062	OFUSG21106.1
AENJA_05825	OFUSG16393.1
AENJA_03704	OFUSG18424.1
AENJA_04203	OFUSG22682.1
AENJA_25128	OFUSG11519.1
AENJA_15475	OFUSG11469.1
AENJA_19195	OFUSG12064.1
AENJA_19790	OFUSG05685.1
AENJA_00575	OFUSG03347.1
AENJA_01569	OFUSG03330.1
AENJA_05855	OFUSG04034.1
AENJA_02550	OFUSG04424.1
AENJA_03947	OFUSG06804.1
AENJA_04073	OFUSG16677.1
AENJA_09896	OFUSG00008.1
AENJA_09332	OFUSG17193.1
AENJA_21401	OFUSG06361.1
AENJA_16474	OFUSG19616.1
AENJA_18221	OFUSG02473.1
AENJA_23025	OFUSG12462.1
AENJA_00718	OFUSG12472.1
AENJA_02199	OFUSG23716.1
AENJA_02419	OFUSG18002.1
AENJA_25097	OFUSG25355.1
AENJA_22384	OFUSG06264.1
AENJA_04030	OFUSG24708.1
AENJA_09666	OFUSG24076.1
AENJA_22327	OFUSG05334.1
AENJA_22201	OFUSG11298.1
AENJA_06275	OFUSG11299.1
AENJA_06313	OFUSG01933.1
AENJA_23050	OFUSG14818.1
AENJA_18602	OFUSG04191.1
AENJA_20117	OFUSG12701.1
AENJA_15687	OFUSG22297.1
AENJA_16308	OFUSG07596.1
AENJA_19655	OFUSG23334.1
AENJA_19656	OFUSG23335.1
AENJA_22248	OFUSG06152.1
AENJA_26741	OFUSG11491.1
AENJA_00712	OFUSG08598.1
AENJA_00720	OFUSG21658.1
AENJA_02927	OFUSG20144.1
AENJA_14482	OFUSG08388.1
AENJA_07797	OFUSG21360.1
AENJA_06755	OFUSG11347.1
AENJA_08828	OFUSG25576.1
AENJA_13577	OFUSG10654.1
AENJA_15840	OFUSG23430.1
AENJA_19404	OFUSG16918.1
AENJA_21745	OFUSG03123.1
AENJA_25511	OFUSG04841.1
AENJA_01168	OFUSG23517.1
AENJA_24946	OFUSG22403.1
AENJA_18566	OFUSG13166.1
AENJA_05454	OFUSG02486.1
AENJA_06024	OFUSG21708.1
AENJA_26059	OFUSG18913.1
AENJA_06689	OFUSG02492.1
AENJA_07498	OFUSG16690.1
AENJA_08737	OFUSG24342.1
AENJA_10142	OFUSG04684.1
AENJA_26334	OFUSG26111.1
AENJA_10143	OFUSG25326.1
AENJA_11857	OFUSG10722.1
AENJA_12752	OFUSG12774.1
AENJA_14989	OFUSG25843.1
AENJA_13732	OFUSG19622.1
AENJA_15086	OFUSG05984.1
AENJA_17542	OFUSG20935.1
AENJA_21307	OFUSG20257.1
AENJA_18825	OFUSG20541.1
AENJA_23358	OFUSG13394.1
AENJA_24531	OFUSG17154.1
AENJA_00058	OFUSG09460.1
AENJA_00493	OFUSG12312.1
AENJA_01200	OFUSG09269.1
AENJA_01327	OFUSG01516.1
AENJA_01547	OFUSG25224.1
AENJA_02210	OFUSG05227.1
AENJA_03117	OFUSG14587.1
AENJA_04101	OFUSG03656.1
AENJA_15259	OFUSG24889.1
AENJA_18056	OFUSG26036.1
AENJA_09041	OFUSG16185.1
AENJA_18956	OFUSG21803.1
AENJA_09591	OFUSG16955.1
AENJA_09699	OFUSG26423.1
AENJA_11717	OFUSG05564.1
AENJA_11254	OFUSG24083.1
AENJA_15953	OFUSG23468.1
AENJA_16979	OFUSG24041.1
AENJA_18179	OFUSG23686.1
AENJA_18562	OFUSG21415.1
AENJA_21603	OFUSG14871.1
AENJA_19416	OFUSG14154.1
AENJA_23700	OFUSG04589.1
AENJA_02896	OFUSG05267.1
AENJA_07960	OFUSG19388.1
AENJA_05667	OFUSG21344.1
AENJA_07030	OFUSG20659.1
AENJA_07588	OFUSG14006.1
AENJA_11241	OFUSG10305.1
