	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
HELIO_ok	8905.0	9140.0	9792.0	9537.0	7478.0	8598.0	8634.0	4820.0	5092.0	7559.0	5569.0	0.0	7504.0	10141.0	7610.0	8351.0	7035.0	8618.0	9473.0	9174.0	4916.0	11448.0	7112.0	3009.0
HUMAN	13786.0	13479.0	14564.0	13955.0	18027.0	15732.0	15566.0	9950.0	9962.0	18816.0	11477.0	13088.0	0.0	12675.0	24364.0	14768.0	16564.0	15059.0	15245.0	15243.0	9580.0	14624.0	17645.0	5861.0
LYTVA_ok	11811.0	11315.0	12088.0	11486.0	8578.0	10255.0	10543.0	5654.0	6052.0	8708.0	6398.0	12418.0	8672.0	0.0	8810.0	10381.0	8040.0	10496.0	11716.0	11307.0	5897.0	16574.0	8021.0	3698.0
MOUSE	25163.0	24612.0	26510.0	25708.0	32204.0	28418.0	27848.0	17970.0	17819.0	33811.0	20860.0	24301.0	40893.0	23180.0	0.0	26852.0	29915.0	27724.0	27898.0	27682.0	17352.0	26579.0	31768.0	10022.0
NEMVE	10644.0	10383.0	10749.0	10245.0	9785.0	11247.0	11727.0	6955.0	7281.0	9882.0	7467.0	9548.0	9742.0	9693.0	9888.0	0.0	8999.0	11372.0	11581.0	11193.0	7691.0	10615.0	9091.0	4444.0
ORYLA	11386.0	10925.0	11924.0	11501.0	16249.0	13013.0	12770.0	8260.0	7675.0	16642.0	9515.0	10893.0	15192.0	10578.0	15312.0	11904.0	0.0	12464.0	12690.0	12541.0	7575.0	11958.0	14522.0	4449.0
OWEFU	12252.0	12059.0	12583.0	12243.0	11397.0	13963.0	14026.0	7930.0	7791.0	11541.0	8999.0	11271.0	11418.0	11354.0	11651.0	13128.0	10628.0	0.0	14165.0	13883.0	8366.0	12652.0	10831.0	4353.0
PFLAV	14584.0	14113.0	14215.0	13756.0	11484.0	15193.0	15998.0	7023.0	7532.0	11592.0	7952.0	12510.0	11132.0	13072.0	11311.0	14470.0	10557.0	15011.0	0.0	21522.0	7263.0	14219.0	10592.0	4341.0
SACKO_ok	12176.0	11570.0	11992.0	11640.0	10124.0	12565.0	12911.0	6520.0	6864.0	10372.0	7357.0	10606.0	10122.0	11041.0	10266.0	11555.0	9363.0	12584.0	18137.0	0.0	6650.0	12047.0	9461.0	4067.0
SCHMD	8208.0	8445.0	8710.0	8321.0	8209.0	8581.0	9065.0	7957.0	7391.0	8378.0	7812.0	7348.0	8574.0	7685.0	9083.0	10093.0	7559.0	9300.0	8657.0	8627.0	0.0	8286.0	7637.0	5262.0
STRPU_ok	14471.0	14400.0	15755.0	15249.0	11013.0	13455.0	13576.0	7096.0	7616.0	11226.0	8094.0	16524.0	11057.0	19460.0	11218.0	13202.0	10255.0	13262.0	15204.0	14172.0	7338.0	0.0	10379.0	4485.0
XENTR	10324.0	9963.0	10871.0	10563.0	14540.0	11895.0	11655.0	7221.0	6957.0	14687.0	8404.0	9861.0	14838.0	9567.0	15155.0	10844.0	13379.0	11320.0	11594.0	11481.0	6794.0	10928.0	0.0	4099.0
YEAST	2726.0	2771.0	2916.0	2807.0	2847.0	2900.0	2927.0	2630.0	2961.0	2894.0	2686.0	2673.0	2904.0	2622.0	2922.0	2940.0	2789.0	2879.0	2885.0	2923.0	2623.0	2892.0	2787.0	0.0
