	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
DROME	339.0	415.0	686.0	2203.0	1026.0	370.0	444.0	306.0	89.0	1976.0	0.0	216.0	1537.0	641.0	2366.0	678.0	905.0	738.0	529.0	475.0	954.0	1007.0	778.0	123.0
HELIO_ok	673.0	722.0	1529.0	5341.0	2304.0	827.0	926.0	504.0	146.0	4008.0	1657.0	0.0	2983.0	1664.0	4519.0	1190.0	2061.0	1687.0	1281.0	915.0	1434.0	3020.0	1849.0	222.0
HUMAN	363.0	445.0	725.0	2488.0	2288.0	517.0	551.0	291.0	80.0	5597.0	811.0	238.0	0.0	697.0	8336.0	685.0	1819.0	828.0	625.0	528.0	956.0	1091.0	726.0	97.0
LYTVA_ok	620.0	627.0	1327.0	4427.0	1944.0	716.0	818.0	436.0	120.0	3338.0	1428.0	360.0	2528.0	0.0	3812.0	1025.0	1764.0	1424.0	1053.0	810.0	1296.0	2974.0	1559.0	197.0
MOUSE	211.0	267.0	401.0	1345.0	1210.0	328.0	378.0	169.0	47.0	2895.0	433.0	117.0	1555.0	411.0	0.0	405.0	948.0	444.0	369.0	308.0	606.0	596.0	393.0	58.0
NEMVE	753.0	943.0	1436.0	4103.0	2104.0	845.0	1030.0	521.0	134.0	3637.0	1546.0	489.0	2869.0	1227.0	4287.0	0.0	1875.0	1623.0	1179.0	973.0	1658.0	1806.0	1696.0	200.0
ORYLA	370.0	474.0	804.0	2862.0	1478.0	538.0	587.0	301.0	82.0	6545.0	868.0	241.0	2299.0	770.0	5840.0	798.0	0.0	925.0	702.0	585.0	949.0	1217.0	737.0	134.0
OWEFU	682.0	772.0	1236.0	4014.0	1984.0	852.0	997.0	457.0	128.0	3493.0	1435.0	409.0	2631.0	1135.0	4077.0	1159.0	1743.0	0.0	1145.0	881.0	1366.0	1765.0	1548.0	198.0
PFLAV	678.0	827.0	1507.0	4949.0	2411.0	902.0	1053.0	468.0	157.0	4139.0	1684.0	456.0	3117.0	1302.0	4731.0	1172.0	2159.0	1755.0	0.0	1153.0	1477.0	2151.0	1936.0	218.0
SACKO_ok	705.0	790.0	1512.0	5047.0	2474.0	934.0	1084.0	504.0	155.0	4283.0	1728.0	462.0	3243.0	1321.0	4883.0	1249.0	2217.0	1823.0	2041.0	0.0	1558.0	2193.0	1989.0	210.0
SCHMD	390.0	456.0	678.0	1989.0	1047.0	419.0	524.0	320.0	89.0	1793.0	917.0	217.0	1409.0	571.0	2148.0	714.0	893.0	839.0	534.0	456.0	0.0	870.0	769.0	132.0
STRPU_ok	551.0	570.0	1276.0	4438.0	1959.0	686.0	771.0	415.0	126.0	3367.0	1444.0	307.0	2567.0	1535.0	3846.0	962.0	1729.0	1442.0	1001.0	752.0	1207.0	0.0	1573.0	192.0
XENTR	397.0	488.0	875.0	3136.0	2549.0	566.0	614.0	316.0	103.0	6257.0	995.0	262.0	2592.0	790.0	7047.0	822.0	2053.0	1033.0	765.0	656.0	993.0	1325.0	0.0	142.0
YEAST	405.0	486.0	674.0	1490.0	743.0	391.0	476.0	341.0	232.0	1346.0	706.0	288.0	1128.0	586.0	1588.0	704.0	668.0	586.0	477.0	504.0	970.0	750.0	629.0	0.0
