Orthogroup	BRAFL	MOUSE
OG0000002	bflo_03228, bflo_21287, bflo_03227, bflo_23657, bflo_04290, bflo_00094, bflo_17367, bflo_18222, bflo_07006, bflo_15449, bflo_00884, bflo_00880, bflo_00879, bflo_09101, bflo_09095, bflo_09111, bflo_09109, bflo_12588	MOUSE31557, MOUSE31558
OG0000002	bflo_17497, bflo_02368, bflo_17498, bflo_25563, bflo_06206, bflo_06205, bflo_25930, bflo_26131, bflo_26130, bflo_25287, bflo_00331, bflo_25393, bflo_26134, bflo_26137, bflo_25819, bflo_25402, bflo_11581, bflo_22671, bflo_22660, bflo_11130	MOUSE20993, MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137, MOUSE20995, MOUSE20994, MOUSE43167, MOUSE43166, MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159
OG0000004	bflo_21581, bflo_07267	MOUSE21111
OG0000004	bflo_07914	MOUSE31437
OG0000004	bflo_04032	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374, MOUSE30144
OG0000005	bflo_16145, bflo_16762, bflo_16144, bflo_15993, bflo_16755, bflo_04838, bflo_00488, bflo_17720, bflo_17905, bflo_09935, bflo_16770	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519
OG0000006	bflo_10484	MOUSE48684, MOUSE48683
OG0000006	bflo_06221	MOUSE11220
OG0000006	bflo_07660	MOUSE33561, MOUSE33562
OG0000006	bflo_14856, bflo_15258	MOUSE36359, MOUSE36360, MOUSE45321
OG0000006	bflo_22120	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955
OG0000006	bflo_16305	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673
OG0000006	bflo_22526	MOUSE54497
OG0000006	bflo_10066, bflo_10065	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111
OG0000006	bflo_12576	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	bflo_23572	MOUSE38532, MOUSE38531
OG0000006	bflo_06220	MOUSE10280
OG0000006	bflo_08237	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	bflo_06222	MOUSE19675
OG0000006	bflo_08431	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	bflo_22598	MOUSE08011, MOUSE15296
OG0000006	bflo_15412	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000006	bflo_10980	MOUSE03398
OG0000007	bflo_13266	MOUSE09063, MOUSE49748
OG0000007	bflo_05651	MOUSE51845, MOUSE20686
OG0000007	bflo_16444, bflo_15598	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	bflo_25603	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510
OG0000007	bflo_10207	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807
OG0000007	bflo_23632	MOUSE52320
OG0000007	bflo_13761	MOUSE49749
OG0000007	bflo_13742	MOUSE13954
OG0000007	bflo_13892	MOUSE09061
OG0000007	bflo_13084	MOUSE09062, MOUSE49739
OG0000007	bflo_12369	MOUSE04689, MOUSE37388
OG0000007	bflo_23309	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	bflo_23091	MOUSE38586, MOUSE06525
OG0000007	bflo_23283	MOUSE06204
OG0000007	bflo_24497	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
OG0000007	bflo_11392	MOUSE07031, MOUSE07030
OG0000008	bflo_25964, bflo_01367, bflo_00741	MOUSE25500
OG0000008	bflo_24920	MOUSE17513, MOUSE17514, MOUSE33182
OG0000008	bflo_18246, bflo_18438, bflo_17494, bflo_17234, bflo_17491, bflo_17495, bflo_05246, bflo_16441, bflo_26042, bflo_18070, bflo_16203, bflo_16234, bflo_16238, bflo_16233, bflo_16235, bflo_16231, bflo_16161, bflo_25263, bflo_24546	MOUSE25499, MOUSE25498, MOUSE25349
OG0000008	bflo_24820, bflo_25017, bflo_24835, bflo_05883, bflo_24836, bflo_23968, bflo_00088, bflo_24054, bflo_24837, bflo_24839, bflo_24838, bflo_24924	MOUSE50311
OG0000008	bflo_20071	MOUSE34799
OG0000010	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857	MOUSE49605, MOUSE49413
OG0000010	bflo_00973	MOUSE22876
OG0000010	bflo_07912, bflo_08373	MOUSE09529
OG0000010	bflo_25814, bflo_01084	MOUSE36610, MOUSE36609
OG0000010	bflo_06245, bflo_06244, bflo_00460, bflo_18660, bflo_18213	MOUSE43880, MOUSE43876, MOUSE43866, MOUSE43868, MOUSE43865, MOUSE43883, MOUSE43882, MOUSE43870, MOUSE43871, MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498
OG0000010	bflo_21956	MOUSE12661
OG0000011	bflo_13676	MOUSE47282
OG0000012	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000012	bflo_14731, bflo_13607, bflo_24594	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000013	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627
OG0000014	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941	MOUSE04189, MOUSE04186, MOUSE04184, MOUSE04187
OG0000014	bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893	MOUSE20912
OG0000014	bflo_18525, bflo_05141	MOUSE31149, MOUSE31150
OG0000014	bflo_04326, bflo_04339, bflo_04331	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686
OG0000014	bflo_06816	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976
OG0000015	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473	MOUSE03176, MOUSE35079
OG0000015	bflo_14872	MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500
OG0000015	bflo_14874	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	bflo_24142, bflo_23928, bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	bflo_22718, bflo_13606, bflo_23097, bflo_23092	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123
OG0000016	bflo_12769	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	bflo_20387	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335
OG0000019	bflo_22767, bflo_06001, bflo_05746, bflo_23533	MOUSE41500, MOUSE41496, MOUSE41501, MOUSE41497, MOUSE41498, MOUSE41499, MOUSE46139, MOUSE46138, MOUSE46137
OG0000019	bflo_26518, bflo_26519, bflo_04870	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640
OG0000019	bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556	MOUSE30063, MOUSE30064
OG0000020	bflo_12668	MOUSE39911
OG0000020	bflo_19465	MOUSE05499, MOUSE05500
OG0000020	bflo_19726	MOUSE53015
OG0000020	bflo_17473, bflo_27211	MOUSE07164
OG0000020	bflo_24908	MOUSE33588
OG0000020	bflo_12267	MOUSE23587, MOUSE23586
OG0000020	bflo_11497	MOUSE13612
OG0000020	bflo_01316, bflo_26255, bflo_05601	MOUSE06637, MOUSE06636
OG0000020	bflo_24504, bflo_09206, bflo_24474	MOUSE34933
OG0000020	bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513	MOUSE45175, MOUSE15405
OG0000020	bflo_16368	MOUSE24012
OG0000020	bflo_14118	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	bflo_07448	MOUSE09601, MOUSE09602
OG0000020	bflo_14450	MOUSE37001, MOUSE37002
OG0000020	bflo_00687	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	bflo_11723	MOUSE41024, MOUSE41023
OG0000021	bflo_11166, bflo_11165, bflo_11164	MOUSE40749, MOUSE41285, MOUSE41283, MOUSE41287, MOUSE41281, MOUSE41022
OG0000021	bflo_12821	MOUSE49041, MOUSE09998
OG0000021	bflo_20935	MOUSE04592
OG0000021	bflo_27402, bflo_22537	MOUSE44445
OG0000021	bflo_22539, bflo_22305	MOUSE53773
OG0000021	bflo_14957, bflo_14617, bflo_14568	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000021	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965	MOUSE19587
OG0000023	bflo_10816, bflo_10061	MOUSE46773, MOUSE46772
OG0000023	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512	MOUSE01124
OG0000023	bflo_20456	MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835
OG0000023	bflo_20896	MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863
OG0000023	bflo_10033, bflo_02724, bflo_02807	MOUSE02558, MOUSE02557
OG0000026	bflo_21516, bflo_21519, bflo_21523	MOUSE34507
OG0000026	bflo_26853, bflo_07376	MOUSE12605
OG0000026	bflo_03704, bflo_21877, bflo_14509, bflo_02973, bflo_03705, bflo_02969, bflo_17121, bflo_03998, bflo_09675, bflo_07770, bflo_18066, bflo_05329, bflo_21515, bflo_21517, bflo_21247, bflo_21501, bflo_21518, bflo_01508, bflo_00408, bflo_21522, bflo_21831, bflo_17285, bflo_17283, bflo_17284, bflo_05278, bflo_09823, bflo_06473, bflo_14607, bflo_03670, bflo_03671, bflo_14608, bflo_14866, bflo_15396, bflo_15364, bflo_15390, bflo_15388, bflo_15386, bflo_15381, bflo_09643, bflo_15362, bflo_08780	MOUSE38308, MOUSE38309
OG0000027	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610	MOUSE18678, MOUSE18679
OG0000028	bflo_23186, bflo_23170, bflo_06699, bflo_04841	MOUSE45380
OG0000028	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959	MOUSE30414, MOUSE30413, MOUSE51349
OG0000028	bflo_06498, bflo_18107	MOUSE51347, MOUSE51348, MOUSE47957, MOUSE12712, MOUSE29157, MOUSE29159
OG0000028	bflo_25761, bflo_19766, bflo_19099	MOUSE47956, MOUSE47954, MOUSE47955, MOUSE26458
OG0000028	bflo_06341	MOUSE44525
OG0000029	bflo_00003	MOUSE43115, MOUSE43116
OG0000029	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407	MOUSE17544, MOUSE15400
OG0000030	bflo_05230	MOUSE13263, MOUSE13264, MOUSE13265
OG0000031	bflo_02624	MOUSE26385
OG0000031	bflo_02501	MOUSE14840, MOUSE26448, MOUSE08530
OG0000031	bflo_02849	MOUSE08528, MOUSE08527
OG0000031	bflo_25562	MOUSE44529
OG0000031	bflo_06369	MOUSE39309, MOUSE01505
OG0000031	bflo_11397	MOUSE40719, MOUSE40720
OG0000031	bflo_15458	MOUSE13006, MOUSE13005
OG0000031	bflo_15459	MOUSE13007, MOUSE36274, MOUSE36271
OG0000031	bflo_02405	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579
OG0000032	bflo_12824, bflo_01429	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600
OG0000032	bflo_01810	MOUSE41899
OG0000032	bflo_23561, bflo_23038, bflo_01635	MOUSE29123
OG0000032	bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388	MOUSE23164
OG0000034	bflo_20326	MOUSE46353, MOUSE46347, MOUSE04536, MOUSE19996, MOUSE37608, MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	bflo_03308, bflo_13145	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	bflo_05871	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105
OG0000034	bflo_03310	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	bflo_07712, bflo_08443	MOUSE11491, MOUSE11490
OG0000034	bflo_03379	MOUSE20059
OG0000035	bflo_02157	MOUSE02570, MOUSE02571
OG0000035	bflo_10385	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	bflo_09462	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	bflo_09767, bflo_09277	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507
OG0000035	bflo_10386	MOUSE27104
OG0000036	bflo_13405, bflo_09641, bflo_13747, bflo_13748	MOUSE12248, MOUSE49436
OG0000036	bflo_13764, bflo_12886	MOUSE49768
OG0000036	bflo_13765, bflo_13767, bflo_03188	MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	bflo_08259, bflo_08260, bflo_16423, bflo_16325	MOUSE29724, MOUSE29725
OG0000036	bflo_12806, bflo_12805	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723
OG0000037	bflo_18550, bflo_02879	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306
OG0000037	bflo_10999	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378
OG0000037	bflo_01343, bflo_01342	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631
OG0000037	bflo_10180	MOUSE21441
OG0000038	bflo_18855	MOUSE22591, MOUSE22592
OG0000038	bflo_11477	MOUSE41278
OG0000039	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169	MOUSE32704
OG0000039	bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412	MOUSE23387
OG0000040	bflo_18133	MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748
OG0000040	bflo_18120, bflo_22334, bflo_22335, bflo_22336, bflo_18296, bflo_21600, bflo_21601, bflo_19151, bflo_22337, bflo_22516, bflo_10596, bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000041	bflo_05956	MOUSE28829, MOUSE21621, MOUSE06756, MOUSE06702, MOUSE13395, MOUSE28657
OG0000042	bflo_01922, bflo_01196, bflo_01197	MOUSE51171
OG0000042	bflo_10929, bflo_25898, bflo_02971, bflo_02974, bflo_03714, bflo_26102, bflo_03006, bflo_22040, bflo_03610, bflo_26101, bflo_02981, bflo_11796, bflo_02991, bflo_03706, bflo_26342, bflo_25465, bflo_00903	MOUSE15999, MOUSE51169, MOUSE51168, MOUSE51170, MOUSE51172, MOUSE38450, MOUSE38449, MOUSE38448, MOUSE38451
OG0000044	bflo_09762	MOUSE35862, MOUSE46639
OG0000044	bflo_07748	MOUSE41161, MOUSE41162
OG0000045	bflo_20899, bflo_17244	MOUSE25074
OG0000045	bflo_03910	MOUSE20735
OG0000046	bflo_09128, bflo_05621	MOUSE48114, MOUSE48113
OG0000046	bflo_12973, bflo_25564, bflo_11116, bflo_21984	MOUSE54722, MOUSE34003
OG0000046	bflo_17346, bflo_17140, bflo_17411, bflo_17138, bflo_15946, bflo_19960, bflo_03865, bflo_11219, bflo_01794, bflo_19942, bflo_19982, bflo_19954, bflo_19961, bflo_19955, bflo_19958, bflo_19956, bflo_19962, bflo_11929, bflo_19932, bflo_10620, bflo_14470, bflo_15030	MOUSE32874
OG0000048	bflo_15152	MOUSE55730
OG0000048	bflo_17669	MOUSE42201, MOUSE42202
OG0000048	bflo_20353	MOUSE06701
OG0000048	bflo_12849	MOUSE49641, MOUSE49640, MOUSE49639
OG0000049	bflo_17665	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986
OG0000049	bflo_12099	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311
OG0000049	bflo_12470, bflo_11081	MOUSE03391, MOUSE17233, MOUSE17232, MOUSE39154, MOUSE39153, MOUSE40910, MOUSE40909
OG0000049	bflo_17096, bflo_11847	MOUSE40908, MOUSE39155
OG0000051	bflo_08711	MOUSE40003
OG0000051	bflo_18195, bflo_17371	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064
OG0000053	bflo_21932, bflo_21926, bflo_18879, bflo_19026	MOUSE33288
OG0000054	bflo_04388	MOUSE48109
OG0000054	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534
OG0000055	bflo_23399	MOUSE03681, MOUSE08929
OG0000056	bflo_12398	MOUSE52879
OG0000056	bflo_25516	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581
OG0000056	bflo_15952	MOUSE37995, MOUSE37994
OG0000056	bflo_22428	MOUSE36570
OG0000057	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718
OG0000057	bflo_18987	MOUSE39640
OG0000058	bflo_24517	MOUSE17481
OG0000058	bflo_09194	MOUSE21857, MOUSE21254
OG0000058	bflo_23140	MOUSE10546
OG0000058	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899
OG0000058	bflo_23048, bflo_23141	MOUSE06401, MOUSE38608
OG0000058	bflo_00086	MOUSE40444
OG0000059	bflo_15172	MOUSE55069, MOUSE29771, MOUSE29770, MOUSE29769
OG0000059	bflo_21855	MOUSE52262, MOUSE52259, MOUSE52258
OG0000059	bflo_13996, bflo_14747	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589
OG0000060	bflo_01659, bflo_06661	MOUSE52080, MOUSE52079
OG0000060	bflo_01384	MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902
OG0000061	bflo_18545	MOUSE26618, MOUSE38907, MOUSE38906
OG0000061	bflo_19266, bflo_18688, bflo_18686, bflo_18896	MOUSE22377, MOUSE22378, MOUSE53042
OG0000061	bflo_18999, bflo_19344	MOUSE06425, MOUSE42762, MOUSE17361, MOUSE03955, MOUSE03956, MOUSE23297, MOUSE23298, MOUSE53307, MOUSE39884, MOUSE39883, MOUSE39889, MOUSE39886, MOUSE39890, MOUSE39885, MOUSE39887, MOUSE39892, MOUSE39891, MOUSE08504, MOUSE08505
OG0000061	bflo_19609, bflo_18544, bflo_19608, bflo_19290	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785
OG0000062	bflo_17250, bflo_01624	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586
OG0000062	bflo_13529	MOUSE52081
OG0000063	bflo_25923	MOUSE33697
OG0000063	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809
OG0000066	bflo_04761, bflo_11842	MOUSE53763
OG0000066	bflo_01779, bflo_01780, bflo_03911, bflo_17245, bflo_19059, bflo_20701, bflo_20080, bflo_20702, bflo_02867	MOUSE13756
OG0000067	bflo_06923, bflo_06916, bflo_24559, bflo_02686, bflo_17376, bflo_24606, bflo_18581, bflo_07727, bflo_04022, bflo_03936	MOUSE10267
OG0000069	bflo_26382, bflo_09323, bflo_20543, bflo_20542, bflo_20541, bflo_27333, bflo_05086, bflo_23255, bflo_23256	MOUSE30824
