Orthogroup	BRAFL	CAEEL
OG0000251	bflo_17944, bflo_01933, bflo_01932	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207
OG0000255	bflo_25398, bflo_21759	CAEEL05168
OG0000255	bflo_02995, bflo_03545, bflo_03501, bflo_09026, bflo_10822, bflo_26943, bflo_10188	CAEEL05715
OG0000256	bflo_15939	CAEEL11937, CAEEL19468
OG0000257	bflo_06086	CAEEL01910, CAEEL15386
OG0000258	bflo_22962	CAEEL19537
OG0000258	bflo_12243, bflo_27029	CAEEL09342
OG0000258	bflo_09846	CAEEL15770
OG0000260	bflo_11239, bflo_10598	CAEEL11482
OG0000265	bflo_15782	CAEEL20581
OG0000265	bflo_11416	CAEEL10364
OG0000266	bflo_05945	CAEEL02706
OG0000268	bflo_06433	CAEEL09209
OG0000268	bflo_18613	CAEEL08164
OG0000269	bflo_12947	CAEEL10894
OG0000271	bflo_18719, bflo_05948, bflo_05145, bflo_03702	CAEEL07236
OG0000273	bflo_25314	CAEEL18644
OG0000273	bflo_01441, bflo_15082	CAEEL20077
