Orthogroup	BRAFL	NEMVE
OG0000002	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099, bflo_13037, bflo_13533, bflo_03228, bflo_21287, bflo_03227, bflo_23657, bflo_04290, bflo_00094, bflo_17367, bflo_18222, bflo_07006, bflo_15449, bflo_00884, bflo_00880, bflo_00879, bflo_09101, bflo_09095, bflo_09111, bflo_09109, bflo_12588, bflo_17497, bflo_02368, bflo_17498, bflo_25563, bflo_06206, bflo_06205, bflo_25930, bflo_26131, bflo_26130, bflo_25287, bflo_00331, bflo_25393, bflo_26134, bflo_26137, bflo_25819, bflo_25402, bflo_11581, bflo_22671, bflo_22660, bflo_11130, bflo_17799, bflo_18344, bflo_04757, bflo_26393, bflo_11566, bflo_11880, bflo_08809, bflo_11571, bflo_18062, bflo_17796, bflo_17499, bflo_17810, bflo_17878, bflo_17798, bflo_17351, bflo_18490, bflo_10984	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	bflo_26614	NEMVE24647
OG0000003	bflo_26996	NEMVE12390
OG0000003	bflo_01321	NEMVE10016
OG0000003	bflo_26930, bflo_19434, bflo_27269	NEMVE11690, NEMVE00834, NEMVE07052, NEMVE02766, NEMVE07217, NEMVE09924, NEMVE18387, NEMVE09321
OG0000003	bflo_27439	NEMVE00038
OG0000003	bflo_09845	NEMVE07480, NEMVE02898
OG0000003	bflo_26004	NEMVE19925
OG0000003	bflo_18522	NEMVE11042
OG0000004	bflo_00546, bflo_11160	NEMVE08929
OG0000004	bflo_21581, bflo_07267	NEMVE08303, NEMVE11650, NEMVE08637, NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801, NEMVE09643
OG0000004	bflo_18067	NEMVE12484
OG0000004	bflo_05437	NEMVE19262
OG0000004	bflo_07950	NEMVE10715, NEMVE21151
OG0000004	bflo_24278	NEMVE10453, NEMVE03460
OG0000004	bflo_04032	NEMVE02378
OG0000004	bflo_21552, bflo_15225	NEMVE10612
OG0000005	bflo_10917	NEMVE05730
OG0000006	bflo_10484	NEMVE02889
OG0000006	bflo_06221	NEMVE10951
OG0000006	bflo_07660	NEMVE12700, NEMVE08468
OG0000006	bflo_22526	NEMVE10906
OG0000006	bflo_10066, bflo_10065	NEMVE21901
OG0000006	bflo_12576	NEMVE02590
OG0000006	bflo_23572	NEMVE03392
OG0000006	bflo_23665, bflo_23603	NEMVE06316
OG0000006	bflo_22579	NEMVE08216
OG0000006	bflo_06220	NEMVE16957
OG0000006	bflo_08237	NEMVE02351
OG0000006	bflo_06222	NEMVE14647
OG0000006	bflo_08431	NEMVE04712
OG0000006	bflo_22598	NEMVE13538
OG0000006	bflo_15412	NEMVE09477, NEMVE18497, NEMVE09475
OG0000006	bflo_10980	NEMVE08464
OG0000007	bflo_13266	NEMVE15003
OG0000007	bflo_05651	NEMVE14764
OG0000007	bflo_16444, bflo_15598	NEMVE13570
OG0000007	bflo_06255	NEMVE08145
OG0000007	bflo_25603	NEMVE06210
OG0000007	bflo_25903, bflo_24652, bflo_24653, bflo_24651, bflo_24654	NEMVE02350, NEMVE21807
OG0000007	bflo_10207	NEMVE09701, NEMVE03333
OG0000007	bflo_23632	NEMVE03816
OG0000007	bflo_13742, bflo_13892, bflo_13084	NEMVE16064
OG0000007	bflo_00716	NEMVE02349
OG0000007	bflo_12223	NEMVE01414, NEMVE06618
OG0000007	bflo_12369	NEMVE09467
OG0000007	bflo_23309	NEMVE03824
OG0000007	bflo_23091	NEMVE09051
OG0000007	bflo_23283	NEMVE03714
OG0000007	bflo_09771	NEMVE10605
OG0000007	bflo_24497	NEMVE09289
OG0000007	bflo_11392	NEMVE05677
OG0000008	bflo_25964, bflo_01367, bflo_00741, bflo_24920	NEMVE06079, NEMVE05558
OG0000008	bflo_08472, bflo_08473, bflo_00405, bflo_01106, bflo_08480, bflo_07328, bflo_08279, bflo_07763, bflo_24300, bflo_02874, bflo_22928	NEMVE09628, NEMVE18567, NEMVE02203, NEMVE08012, NEMVE11405, NEMVE11127, NEMVE08569, NEMVE18947
OG0000008	bflo_16759, bflo_16352, bflo_16351, bflo_16760, bflo_16631	NEMVE06108, NEMVE06085, NEMVE20467, NEMVE06105, NEMVE10336, NEMVE06107, NEMVE06106, NEMVE06092, NEMVE21801, NEMVE21791, NEMVE11595, NEMVE06088, NEMVE05561
OG0000008	bflo_17089	NEMVE04749, NEMVE07849
OG0000008	bflo_12140	NEMVE07817, NEMVE12766
OG0000008	bflo_11080	NEMVE19301, NEMVE04856, NEMVE05897
OG0000009	bflo_13612, bflo_25945, bflo_13658	NEMVE08980
OG0000009	bflo_22837, bflo_19871, bflo_04807, bflo_11131, bflo_22838, bflo_04755, bflo_05031, bflo_26511, bflo_05282, bflo_00619, bflo_12605, bflo_16228, bflo_11316, bflo_11969, bflo_19936	NEMVE02901
OG0000009	bflo_25982	NEMVE03675
OG0000010	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791
OG0000010	bflo_25814, bflo_01084	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063
OG0000010	bflo_08401	NEMVE07022, NEMVE00173, NEMVE08008
OG0000010	bflo_23855, bflo_02791, bflo_23795, bflo_23406	NEMVE22478, NEMVE16037, NEMVE06770, NEMVE17848
OG0000010	bflo_21956	NEMVE05383
OG0000011	bflo_20761, bflo_05867, bflo_04324, bflo_26561, bflo_24248, bflo_06820	NEMVE11104
OG0000012	bflo_03201, bflo_12089, bflo_03151, bflo_14493, bflo_14233, bflo_14492, bflo_14491, bflo_15468, bflo_23300, bflo_13550, bflo_14004, bflo_13556, bflo_22373, bflo_23580, bflo_22924, bflo_13858, bflo_23041, bflo_08994, bflo_08989, bflo_13492, bflo_13855, bflo_27094, bflo_13060, bflo_15354, bflo_14447, bflo_14731, bflo_13607, bflo_24594	NEMVE09268, NEMVE05547
OG0000012	bflo_16244, bflo_17650, bflo_27278	NEMVE01141, NEMVE23855, NEMVE18011, NEMVE02074
OG0000013	bflo_12936	NEMVE18475
OG0000013	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977
OG0000014	bflo_04326, bflo_04339, bflo_04331	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819
OG0000015	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473, bflo_11972, bflo_10460, bflo_14872	NEMVE09590, NEMVE09832, NEMVE01566
OG0000016	bflo_24737	NEMVE00914, NEMVE01462, NEMVE08573
OG0000016	bflo_12769	NEMVE05675
OG0000017	bflo_00104, bflo_25509, bflo_12984, bflo_04739, bflo_02215	NEMVE05055, NEMVE07301, NEMVE11302, NEMVE11298, NEMVE10134
OG0000018	bflo_08031	NEMVE07261
OG0000019	bflo_24292	NEMVE06549
OG0000019	bflo_10160, bflo_26497, bflo_00628	NEMVE10214
OG0000019	bflo_26518, bflo_26519, bflo_04870, bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556	NEMVE10489
OG0000020	bflo_04613	NEMVE16730
OG0000020	bflo_20627	NEMVE06048, NEMVE13554
OG0000020	bflo_13852	NEMVE13603
OG0000020	bflo_17473, bflo_27211	NEMVE05671
OG0000020	bflo_24908	NEMVE18721
OG0000020	bflo_12267	NEMVE14242
OG0000020	bflo_13699, bflo_11209, bflo_11497, bflo_01316, bflo_26255, bflo_05601, bflo_05497, bflo_24504, bflo_09206, bflo_24474, bflo_24384, bflo_16833, bflo_26236, bflo_20748, bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513, bflo_23109, bflo_01292	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862
OG0000020	bflo_16368	NEMVE05506
OG0000020	bflo_14118	NEMVE08770, NEMVE22771
OG0000020	bflo_07448	NEMVE13307
OG0000020	bflo_14450	NEMVE21746
OG0000020	bflo_00687	NEMVE13092
OG0000020	bflo_14415	NEMVE15151
OG0000021	bflo_07173	NEMVE25647
OG0000021	bflo_12821, bflo_20935	NEMVE17642, NEMVE17644, NEMVE21888
OG0000021	bflo_20505, bflo_09681	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095
OG0000021	bflo_27402, bflo_22537, bflo_22539, bflo_22305, bflo_14957, bflo_14617, bflo_14568, bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965	NEMVE04837
OG0000023	bflo_10816, bflo_10061	NEMVE01882
OG0000023	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512, bflo_20456	NEMVE02033, NEMVE05058, NEMVE00878
OG0000023	bflo_03971, bflo_03972, bflo_00874, bflo_06832, bflo_14042	NEMVE13647
OG0000023	bflo_20954	NEMVE18254
OG0000026	bflo_26853, bflo_07376	NEMVE24164, NEMVE07469
OG0000027	bflo_07313, bflo_06884, bflo_21207, bflo_21232, bflo_21997, bflo_16745, bflo_11436, bflo_08030, bflo_00219, bflo_00221, bflo_00220, bflo_22002, bflo_20174, bflo_13627, bflo_13309, bflo_13311, bflo_13310, bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000028	bflo_14636, bflo_15358	NEMVE07358, NEMVE05350, NEMVE02019
OG0000028	bflo_01235, bflo_02042	NEMVE06026, NEMVE05984
OG0000028	bflo_24390, bflo_24387, bflo_05196	NEMVE03003, NEMVE23660, NEMVE03469, NEMVE05286, NEMVE04640, NEMVE08022, NEMVE16966, NEMVE16972, NEMVE16973, NEMVE02982, NEMVE08442, NEMVE03100, NEMVE06698, NEMVE03432, NEMVE18759, NEMVE09822, NEMVE00992, NEMVE03007, NEMVE02052, NEMVE16048, NEMVE08155, NEMVE16956, NEMVE02432, NEMVE01030, NEMVE02426
OG0000029	bflo_25831	NEMVE10355, NEMVE09829, NEMVE10357
OG0000030	bflo_23616	NEMVE14217, NEMVE02377, NEMVE09974
OG0000030	bflo_05555, bflo_23730	NEMVE02213, NEMVE02794
OG0000030	bflo_09719, bflo_22462	NEMVE06265
OG0000031	bflo_04592, bflo_05889, bflo_05515, bflo_02310	NEMVE00311, NEMVE00632
OG0000031	bflo_02624	NEMVE01854
OG0000031	bflo_02501	NEMVE06981
OG0000031	bflo_02849	NEMVE01806
OG0000031	bflo_06021	NEMVE01412
OG0000031	bflo_06369	NEMVE02343
OG0000031	bflo_11397	NEMVE04984
OG0000031	bflo_15458	NEMVE07820
OG0000031	bflo_15459	NEMVE21885
OG0000031	bflo_02405	NEMVE22486
OG0000032	bflo_01811, bflo_01636	NEMVE08961, NEMVE08817
OG0000032	bflo_01430	NEMVE03085
OG0000033	bflo_01352, bflo_03633, bflo_15322	NEMVE07263, NEMVE03185, NEMVE16828, NEMVE02598, NEMVE24679, NEMVE02584, NEMVE12391
OG0000033	bflo_26002, bflo_04544, bflo_00163, bflo_06741, bflo_17809, bflo_03709, bflo_11321, bflo_11329, bflo_03793, bflo_19957, bflo_22799, bflo_18950, bflo_24853, bflo_19052, bflo_18243, bflo_00552, bflo_07886, bflo_24852, bflo_17791	NEMVE05503, NEMVE18079, NEMVE02721, NEMVE15415, NEMVE10748, NEMVE03167, NEMVE08927, NEMVE11580, NEMVE03129, NEMVE03126, NEMVE11341
OG0000033	bflo_11964, bflo_24309, bflo_19014, bflo_11315	NEMVE08276, NEMVE09890, NEMVE21344, NEMVE15725, NEMVE19380, NEMVE03161, NEMVE11272, NEMVE09721, NEMVE02571, NEMVE10598, NEMVE19678, NEMVE24522, NEMVE02588, NEMVE11685, NEMVE21301
OG0000034	bflo_20016	NEMVE16906
OG0000034	bflo_20326	NEMVE17012, NEMVE07311, NEMVE07285
OG0000034	bflo_03308, bflo_13145	NEMVE10927
OG0000034	bflo_05871	NEMVE10961, NEMVE24294
OG0000034	bflo_03310	NEMVE06675, NEMVE11922, NEMVE10845
OG0000034	bflo_07712, bflo_08443	NEMVE05344
OG0000034	bflo_15884	NEMVE06831
OG0000034	bflo_03379	NEMVE16104, NEMVE09479, NEMVE10924
OG0000035	bflo_02157	NEMVE23841
OG0000035	bflo_10385	NEMVE22226, NEMVE05357, NEMVE02194
OG0000035	bflo_09462	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233
OG0000036	bflo_12806, bflo_12805	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372
OG0000037	bflo_18550, bflo_02879, bflo_10999	NEMVE00865, NEMVE01113
OG0000037	bflo_01343, bflo_01342	NEMVE10401
OG0000037	bflo_10199, bflo_10232, bflo_10192	NEMVE15427
OG0000038	bflo_18833	NEMVE24201, NEMVE14716
OG0000038	bflo_10654	NEMVE02186
OG0000039	bflo_27127, bflo_15187, bflo_27466, bflo_26974, bflo_01763, bflo_23061, bflo_22995, bflo_23026, bflo_12184, bflo_10698, bflo_10998, bflo_10878, bflo_10625, bflo_09250, bflo_23001, bflo_01761, bflo_10810, bflo_23007, bflo_01762, bflo_15400	NEMVE06442, NEMVE10026, NEMVE09835, NEMVE12611
OG0000039	bflo_22047, bflo_13127, bflo_13500	NEMVE09831
OG0000039	bflo_25066, bflo_24169	NEMVE16411, NEMVE04657
OG0000041	bflo_00106, bflo_13477, bflo_00582, bflo_00913, bflo_10831, bflo_18111, bflo_17887, bflo_18216, bflo_16501, bflo_17380, bflo_17886, bflo_08425, bflo_05530, bflo_18780, bflo_09009, bflo_26911, bflo_03344, bflo_12945	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031
OG0000041	bflo_01738	NEMVE02337
OG0000041	bflo_05956	NEMVE05295
OG0000043	bflo_21607, bflo_03333, bflo_03334, bflo_21606, bflo_22480, bflo_21604, bflo_03332, bflo_20396, bflo_20397, bflo_26387, bflo_26388, bflo_26390, bflo_26385, bflo_26389, bflo_26386, bflo_01851, bflo_26391, bflo_26228, bflo_17461, bflo_25593, bflo_25594, bflo_25592, bflo_23222, bflo_23223, bflo_23219, bflo_23220, bflo_23221, bflo_23218	NEMVE21961, NEMVE21792, NEMVE19640
OG0000043	bflo_23211, bflo_07587	NEMVE14296
OG0000043	bflo_23226, bflo_23242, bflo_23238, bflo_23225, bflo_23224	NEMVE02775, NEMVE00615, NEMVE12385, NEMVE21267, NEMVE22714, NEMVE22026, NEMVE21348, NEMVE21359, NEMVE05121
OG0000044	bflo_14922	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743
OG0000044	bflo_26099, bflo_11229	NEMVE00148, NEMVE09327, NEMVE09586, NEMVE05553, NEMVE13115
OG0000044	bflo_09554	NEMVE04813
OG0000044	bflo_21687	NEMVE09195, NEMVE09209
OG0000044	bflo_07502	NEMVE12375, NEMVE01572
OG0000044	bflo_13320	NEMVE04962
OG0000044	bflo_10330	NEMVE08299, NEMVE08297, NEMVE08301, NEMVE10773, NEMVE02442, NEMVE17897, NEMVE07734
OG0000045	bflo_20899, bflo_17244	NEMVE24106
OG0000045	bflo_03910	NEMVE00309, NEMVE15224, NEMVE04686
OG0000045	bflo_03790, bflo_25952	NEMVE12767
OG0000045	bflo_05921	NEMVE03022, NEMVE15670, NEMVE03113
OG0000046	bflo_22680	NEMVE01253
OG0000046	bflo_09128, bflo_05621, bflo_14370, bflo_12973, bflo_25564, bflo_11116, bflo_21984, bflo_17346, bflo_17140, bflo_17411, bflo_17138, bflo_15946, bflo_19960, bflo_03865, bflo_11219, bflo_01794, bflo_19942, bflo_19982, bflo_19954, bflo_19961, bflo_19955, bflo_19958, bflo_19956, bflo_19962, bflo_11929, bflo_19932, bflo_10620, bflo_14470, bflo_15030	NEMVE08905, NEMVE15252
OG0000047	bflo_26688, bflo_22263, bflo_16428, bflo_15647	NEMVE12741, NEMVE05419
OG0000047	bflo_13834	NEMVE10640, NEMVE06306, NEMVE11518
OG0000048	bflo_15152	NEMVE05567
OG0000048	bflo_17882, bflo_09143, bflo_09129, bflo_09102, bflo_27224, bflo_13732, bflo_11483, bflo_11417, bflo_05102, bflo_05104, bflo_17693, bflo_18962, bflo_22214, bflo_23171, bflo_19625, bflo_19404, bflo_20902, bflo_17669	NEMVE14912
OG0000048	bflo_20353	NEMVE14024
OG0000048	bflo_12849	NEMVE15061
OG0000049	bflo_17665, bflo_12099, bflo_12470, bflo_11081, bflo_24254, bflo_25115	NEMVE19461, NEMVE02399, NEMVE21864
OG0000050	bflo_08634, bflo_13204	NEMVE20299
OG0000050	bflo_05159, bflo_06071, bflo_13661, bflo_23087, bflo_25684, bflo_00569, bflo_19319	NEMVE02458
OG0000050	bflo_13685	NEMVE20024, NEMVE15194, NEMVE17974
OG0000051	bflo_08711	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548
OG0000051	bflo_18195, bflo_17371	NEMVE18951, NEMVE15008
OG0000054	bflo_16354, bflo_16689	NEMVE01268
OG0000054	bflo_04388	NEMVE15086, NEMVE10916
OG0000054	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106	NEMVE05466
OG0000055	bflo_18013, bflo_21433	NEMVE16653
OG0000055	bflo_23239	NEMVE12695
OG0000055	bflo_23195, bflo_23241, bflo_23237	NEMVE15980, NEMVE21960
OG0000056	bflo_12398	NEMVE11933
OG0000056	bflo_25516, bflo_08200, bflo_07902, bflo_08069, bflo_08326, bflo_07804, bflo_22104, bflo_25681	NEMVE01724, NEMVE05835, NEMVE01653
OG0000056	bflo_15952	NEMVE01503, NEMVE04541
OG0000056	bflo_15237	NEMVE04649, NEMVE01116
OG0000056	bflo_22428	NEMVE19957, NEMVE15228
OG0000057	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221	NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190
OG0000057	bflo_01752	NEMVE06313
OG0000057	bflo_15261, bflo_15262	NEMVE09937, NEMVE08678, NEMVE07881
OG0000057	bflo_18987	NEMVE12366, NEMVE08787
OG0000057	bflo_09753, bflo_09754, bflo_09752, bflo_09751, bflo_09750, bflo_09743, bflo_09742, bflo_09744, bflo_09121, bflo_09741, bflo_09120, bflo_09740, bflo_09749, bflo_21348, bflo_20324	NEMVE10389, NEMVE10288
OG0000057	bflo_23697	NEMVE05767, NEMVE05753, NEMVE07561, NEMVE16869, NEMVE12777, NEMVE13925, NEMVE09515
OG0000057	bflo_24939, bflo_19525, bflo_00567, bflo_15438	NEMVE17706
OG0000058	bflo_09144	NEMVE06253
OG0000058	bflo_09194	NEMVE13151
OG0000059	bflo_10912, bflo_10938, bflo_11816, bflo_11814, bflo_11815	NEMVE00551, NEMVE09296, NEMVE11121
OG0000059	bflo_13996, bflo_14747	NEMVE15315, NEMVE02009, NEMVE06154
OG0000060	bflo_25984, bflo_26009	NEMVE15983, NEMVE23420, NEMVE00402
OG0000060	bflo_26723, bflo_02982, bflo_03812, bflo_03632, bflo_12626, bflo_02984, bflo_03589, bflo_02972, bflo_03696, bflo_03780, bflo_15133, bflo_15228, bflo_04988, bflo_15129, bflo_15134, bflo_15132, bflo_15227, bflo_01835, bflo_00757, bflo_01800	NEMVE00070, NEMVE04978, NEMVE04891, NEMVE14352, NEMVE05019, NEMVE21993, NEMVE15088
OG0000060	bflo_15783	NEMVE09694
OG0000060	bflo_09093, bflo_01709, bflo_01384, bflo_09821, bflo_09833, bflo_09838, bflo_09482	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777
OG0000062	bflo_13529	NEMVE14126
OG0000062	bflo_00246	NEMVE00002, NEMVE17871
OG0000063	bflo_11558	NEMVE18393
OG0000063	bflo_25147	NEMVE10930, NEMVE10935, NEMVE10931, NEMVE01013, NEMVE10933, NEMVE05615, NEMVE13213, NEMVE09357, NEMVE19786, NEMVE09682
OG0000063	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753	NEMVE09684
OG0000065	bflo_17538, bflo_21055, bflo_21054, bflo_02953, bflo_23807, bflo_08468, bflo_06983, bflo_24602, bflo_21009, bflo_20220, bflo_24720, bflo_02685, bflo_08301, bflo_08116, bflo_26288, bflo_26412, bflo_09607, bflo_07983	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551
OG0000066	bflo_26507, bflo_06316	NEMVE03297
OG0000066	bflo_05790, bflo_06779, bflo_06781, bflo_00120, bflo_10919, bflo_00979, bflo_20628, bflo_19878	NEMVE04595, NEMVE10342, NEMVE05434, NEMVE11135, NEMVE09963, NEMVE09584, NEMVE08347, NEMVE05616, NEMVE09280
OG0000066	bflo_04761	NEMVE02094, NEMVE00829
OG0000066	bflo_03911, bflo_17245, bflo_19059	NEMVE08140, NEMVE02115, NEMVE05395, NEMVE00242, NEMVE00199, NEMVE02160, NEMVE11189
OG0000066	bflo_09989	NEMVE14665, NEMVE01053
OG0000066	bflo_19880	NEMVE05161
OG0000066	bflo_26636	NEMVE06765
OG0000066	bflo_22827	NEMVE09456
OG0000067	bflo_08170	NEMVE10714
OG0000067	bflo_22984, bflo_22901, bflo_06785, bflo_23896, bflo_01576, bflo_00639, bflo_00640, bflo_22900	NEMVE09992, NEMVE05352, NEMVE17696, NEMVE13081, NEMVE04875
OG0000068	bflo_12119, bflo_12120, bflo_10855	NEMVE24661, NEMVE20048
OG0000069	bflo_09323	NEMVE21932
OG0000069	bflo_20543, bflo_20542, bflo_20541, bflo_27333	NEMVE14181
OG0000069	bflo_05086	NEMVE11511
OG0000069	bflo_26384	NEMVE21739
OG0000069	bflo_23216, bflo_23215	NEMVE22023
OG0000069	bflo_17459	NEMVE12246
OG0000069	bflo_23214	NEMVE21883, NEMVE21728
OG0000069	bflo_05168, bflo_23210	NEMVE15092
OG0000069	bflo_25959	NEMVE19917
OG0000069	bflo_07771	NEMVE02861
OG0000069	bflo_24611	NEMVE13176
OG0000069	bflo_25591	NEMVE21912
OG0000070	bflo_17097, bflo_18391, bflo_18274	NEMVE23951, NEMVE09231, NEMVE05946
OG0000071	bflo_09518, bflo_19908, bflo_10083, bflo_10138, bflo_11896	NEMVE09343, NEMVE08194, NEMVE08188, NEMVE03118, NEMVE12180, NEMVE22137, NEMVE06093, NEMVE06110, NEMVE16393, NEMVE06411, NEMVE16385, NEMVE06394, NEMVE03557, NEMVE06403
OG0000071	bflo_24861	NEMVE22171
OG0000071	bflo_26583, bflo_00416, bflo_09956, bflo_09957, bflo_09933, bflo_09944, bflo_09951	NEMVE04867
OG0000071	bflo_17295	NEMVE03090
OG0000071	bflo_21382, bflo_21381, bflo_10837, bflo_10250	NEMVE04860
OG0000071	bflo_03355	NEMVE23762, NEMVE04901
OG0000072	bflo_14354, bflo_14353	NEMVE01460
OG0000072	bflo_14484, bflo_04637	NEMVE07818
OG0000072	bflo_07882	NEMVE18743
