Orthogroup	BRAFL	AENJA_ok
OG0000009	bflo_22837, bflo_19871, bflo_04807, bflo_11131, bflo_22838, bflo_04755	AENJA_24005, AENJA_00782
OG0000009	bflo_25982	AENJA_19291, AENJA_12021, AENJA_05571, AENJA_12773
OG0000009	bflo_13010	AENJA_11504
OG0000010	bflo_05472	AENJA_15586
OG0000010	bflo_08393, bflo_07884, bflo_12780, bflo_08406	AENJA_04234
OG0000011	bflo_20761, bflo_05867	AENJA_10554, AENJA_20178, AENJA_19192, AENJA_02877, AENJA_17352, AENJA_20291, AENJA_06516, AENJA_22650, AENJA_14414
OG0000011	bflo_04324, bflo_26561, bflo_24248, bflo_06820	AENJA_22850
OG0000011	bflo_27088, bflo_03175	AENJA_26050
OG0000012	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014
OG0000012	bflo_14731, bflo_13607, bflo_24594	AENJA_02869
OG0000013	bflo_12936	AENJA_14640
OG0000014	bflo_01206, bflo_05905	AENJA_12276, AENJA_23299
OG0000014	bflo_04326, bflo_04339, bflo_04331	AENJA_25536
OG0000015	bflo_14872	AENJA_19636
OG0000015	bflo_14874	AENJA_18653
OG0000015	bflo_24142, bflo_23928	AENJA_17614
OG0000015	bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701	AENJA_19630
OG0000016	bflo_22718, bflo_13606, bflo_23097, bflo_23092	AENJA_11513
OG0000016	bflo_22486, bflo_01469, bflo_09907, bflo_10149, bflo_21276	AENJA_21813, AENJA_16651
OG0000016	bflo_12769	AENJA_02781
OG0000016	bflo_20387	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864
OG0000019	bflo_24292	AENJA_03417, AENJA_02272, AENJA_02277
OG0000019	bflo_10160, bflo_26497, bflo_00628	AENJA_02273
OG0000019	bflo_06284	AENJA_16475, AENJA_12690, AENJA_12693
OG0000019	bflo_26518, bflo_26519, bflo_04870	AENJA_24818, AENJA_20016
OG0000019	bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338
OG0000020	bflo_19465	AENJA_21688, AENJA_05309
OG0000020	bflo_19726	AENJA_02593, AENJA_02596
OG0000020	bflo_17473, bflo_27211	AENJA_15791
OG0000020	bflo_24908	AENJA_12903
OG0000020	bflo_12267	AENJA_09502
OG0000020	bflo_24384, bflo_16833, bflo_26236, bflo_20748, bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513	AENJA_23718, AENJA_02408
OG0000020	bflo_23109	AENJA_17847
OG0000020	bflo_01292	AENJA_15954
OG0000020	bflo_16368	AENJA_16929
OG0000020	bflo_14118	AENJA_04727
OG0000020	bflo_07448	AENJA_11444
OG0000020	bflo_18684	AENJA_07947
OG0000020	bflo_14450	AENJA_14659
OG0000020	bflo_00687	AENJA_12495
OG0000020	bflo_14415	AENJA_25422
OG0000021	bflo_11723	AENJA_14639
OG0000021	bflo_07173	AENJA_26606, AENJA_10786
OG0000021	bflo_12821	AENJA_16593
OG0000021	bflo_20935	AENJA_24950
OG0000021	bflo_20505, bflo_09681	AENJA_19175
OG0000021	bflo_27402, bflo_22537, bflo_22539, bflo_22305	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227
OG0000021	bflo_14957, bflo_14617, bflo_14568	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	bflo_10816, bflo_10061	AENJA_06341
OG0000023	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512, bflo_20456	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920
OG0000023	bflo_03801, bflo_20063, bflo_12134, bflo_20667, bflo_16641, bflo_17014, bflo_22812	AENJA_11914
OG0000023	bflo_03971, bflo_03972, bflo_00874, bflo_06832, bflo_14042	AENJA_26230
OG0000023	bflo_10033, bflo_02724, bflo_02807	AENJA_19909
OG0000026	bflo_10397	AENJA_22634, AENJA_08898, AENJA_15153, AENJA_22173
OG0000026	bflo_26853, bflo_07376	AENJA_21657
OG0000026	bflo_06473	AENJA_10129
OG0000026	bflo_14607, bflo_03670, bflo_03671, bflo_14608, bflo_14866, bflo_15396, bflo_15364, bflo_15390, bflo_15388, bflo_15386, bflo_15381, bflo_09643, bflo_15362, bflo_08780	AENJA_23516
OG0000026	bflo_11370	AENJA_04353, AENJA_08594, AENJA_10003
OG0000027	bflo_13627, bflo_13309, bflo_13311, bflo_13310	AENJA_05706, AENJA_05707
OG0000028	bflo_14636, bflo_15358	AENJA_04861, AENJA_01184
OG0000028	bflo_07777, bflo_07412, bflo_07411, bflo_18326, bflo_07776, bflo_08264	AENJA_02610, AENJA_09622
OG0000028	bflo_01235, bflo_02042	AENJA_19954
OG0000029	bflo_00003	AENJA_03155, AENJA_26378, AENJA_10650
OG0000029	bflo_25831	AENJA_26395
OG0000029	bflo_00316, bflo_26576	AENJA_05610
OG0000030	bflo_25955	AENJA_24351, AENJA_12274
OG0000030	bflo_23616	AENJA_21030
OG0000030	bflo_21367	AENJA_02005, AENJA_02015, AENJA_09694
OG0000031	bflo_02624	AENJA_09856
OG0000031	bflo_02501	AENJA_09858
OG0000031	bflo_02849	AENJA_20966
OG0000031	bflo_06021, bflo_25562	AENJA_08759
OG0000031	bflo_06369	AENJA_10722
OG0000031	bflo_11397	AENJA_02955
OG0000031	bflo_15458	AENJA_05740
OG0000031	bflo_02405	AENJA_15028
OG0000032	bflo_12824, bflo_01429	AENJA_06514
OG0000032	bflo_08327, bflo_09713, bflo_08329, bflo_08426, bflo_01810, bflo_01811, bflo_01636	AENJA_15565
OG0000032	bflo_01514, bflo_01513, bflo_01634, bflo_01633	AENJA_24093
OG0000032	bflo_23561, bflo_23038, bflo_01635	AENJA_12718, AENJA_12280, AENJA_12491
OG0000032	bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388	AENJA_12283
OG0000032	bflo_01430	AENJA_06513
OG0000033	bflo_01352, bflo_03633	AENJA_04460, AENJA_10095
OG0000033	bflo_15322	AENJA_15145
OG0000033	bflo_22799	AENJA_02993
OG0000033	bflo_11964	AENJA_13995, AENJA_12723, AENJA_12540
OG0000034	bflo_20016	AENJA_02790
OG0000034	bflo_20326	AENJA_21749
OG0000034	bflo_03308, bflo_13145	AENJA_02791
OG0000034	bflo_05871	AENJA_23686
OG0000034	bflo_03310	AENJA_13785
OG0000034	bflo_08443	AENJA_15701
OG0000034	bflo_15884	AENJA_24919
OG0000034	bflo_03379	AENJA_16616
OG0000035	bflo_02157	AENJA_01174
OG0000035	bflo_10387, bflo_26954	AENJA_26793
OG0000035	bflo_10385	AENJA_08825
OG0000035	bflo_09462	AENJA_12732
OG0000035	bflo_09767, bflo_09277	AENJA_12364, AENJA_26037
OG0000035	bflo_10386	AENJA_21683
OG0000036	bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188	AENJA_22120, AENJA_22191, AENJA_22190
OG0000036	bflo_08259, bflo_08260, bflo_16423, bflo_16325	AENJA_15638, AENJA_15641, AENJA_15644
OG0000036	bflo_12806, bflo_12805	AENJA_21299, AENJA_21302, AENJA_21301
OG0000037	bflo_18550, bflo_02879	AENJA_20944
OG0000037	bflo_10999	AENJA_05483, AENJA_06274
OG0000037	bflo_01342	AENJA_13632
OG0000037	bflo_10180	AENJA_22611, AENJA_22610
OG0000038	bflo_18833	AENJA_09926, AENJA_09925
OG0000038	bflo_16788	AENJA_26313
OG0000038	bflo_05210, bflo_10654	AENJA_16130
OG0000039	bflo_22047	AENJA_20870
OG0000039	bflo_25066, bflo_24169	AENJA_17497
OG0000039	bflo_06186	AENJA_26786
OG0000039	bflo_13135, bflo_00692, bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412	AENJA_20163
OG0000039	bflo_11811	AENJA_02471
OG0000039	bflo_15832	AENJA_07277
OG0000040	bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272	AENJA_11361
OG0000041	bflo_09009, bflo_26911, bflo_03344, bflo_12945	AENJA_24560
OG0000041	bflo_05956	AENJA_03404, AENJA_03405
OG0000044	bflo_09762	AENJA_12079
OG0000044	bflo_14922	AENJA_26664
OG0000044	bflo_07748	AENJA_24602
OG0000044	bflo_21420, bflo_01236, bflo_12257	AENJA_03123
OG0000044	bflo_21687	AENJA_06141
OG0000044	bflo_07502, bflo_13320, bflo_10330	AENJA_06789
OG0000045	bflo_20899, bflo_17244	AENJA_09277
OG0000045	bflo_00610	AENJA_04220, AENJA_24299
OG0000045	bflo_01071	AENJA_10338, AENJA_06988, AENJA_18923, AENJA_18166, AENJA_08775, AENJA_24135, AENJA_24507, AENJA_18165, AENJA_24504, AENJA_24136, AENJA_24130
OG0000045	bflo_05500, bflo_05502	AENJA_09131
OG0000045	bflo_06682, bflo_00542	AENJA_11592
OG0000046	bflo_09128, bflo_05621	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759
OG0000046	bflo_12973, bflo_25564, bflo_11116, bflo_21984, bflo_17346, bflo_17140, bflo_17411, bflo_17138, bflo_15946, bflo_19960, bflo_03865, bflo_11219, bflo_01794, bflo_19942, bflo_19982, bflo_19954, bflo_19961, bflo_19955, bflo_19958, bflo_19956, bflo_19962, bflo_11929, bflo_19932, bflo_10620, bflo_14470, bflo_15030	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340
OG0000046	bflo_12665	AENJA_18191
OG0000046	bflo_18241	AENJA_15828
OG0000047	bflo_26688, bflo_22263	AENJA_20068
OG0000047	bflo_15647	AENJA_25256, AENJA_10394, AENJA_14985, AENJA_05397
OG0000047	bflo_13834	AENJA_17689
OG0000048	bflo_07462	AENJA_23226
OG0000048	bflo_17882, bflo_09143, bflo_09129, bflo_09102, bflo_27224	AENJA_21270
OG0000048	bflo_17669	AENJA_09360
OG0000048	bflo_20353	AENJA_16735, AENJA_16736
OG0000048	bflo_12849	AENJA_25506
OG0000049	bflo_17665	AENJA_20702
OG0000049	bflo_12099	AENJA_25756
OG0000049	bflo_17113, bflo_17536	AENJA_24580, AENJA_11158
OG0000049	bflo_20712	AENJA_17680
OG0000050	bflo_08634, bflo_13204	AENJA_04055, AENJA_09800, AENJA_19193
OG0000050	bflo_05159, bflo_06071, bflo_13661, bflo_23087, bflo_25684, bflo_00569, bflo_19319	AENJA_01528, AENJA_02355, AENJA_00087
OG0000050	bflo_03294, bflo_04702	AENJA_05218, AENJA_12783
OG0000050	bflo_13685	AENJA_22540, AENJA_26360, AENJA_20350
OG0000051	bflo_08711	AENJA_18491, AENJA_12662
OG0000051	bflo_18195, bflo_17371	AENJA_24250
OG0000052	bflo_05328, bflo_02741	AENJA_07437
OG0000052	bflo_00114	AENJA_11489, AENJA_25939
OG0000054	bflo_04388	AENJA_06676, AENJA_23371
OG0000055	bflo_23317	AENJA_19390, AENJA_19388, AENJA_19387
OG0000056	bflo_12398	AENJA_20111
OG0000056	bflo_25516	AENJA_20268
OG0000056	bflo_08200, bflo_07902, bflo_08069, bflo_08326, bflo_07804, bflo_22104, bflo_25681	AENJA_20270
OG0000056	bflo_15952	AENJA_05228
OG0000056	bflo_22428	AENJA_19769, AENJA_19772, AENJA_25728, AENJA_23915, AENJA_20579, AENJA_01631, AENJA_03114
OG0000057	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114	AENJA_22751, AENJA_20208
OG0000057	bflo_13221	AENJA_16752, AENJA_23652
OG0000057	bflo_15261, bflo_15262	AENJA_15045
OG0000057	bflo_23697	AENJA_15044
OG0000057	bflo_24939, bflo_19525, bflo_00567, bflo_15438	AENJA_21589, AENJA_13773
OG0000058	bflo_09194	AENJA_23345
OG0000058	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935	AENJA_12354
OG0000058	bflo_19243, bflo_19245, bflo_19244	AENJA_14024
OG0000058	bflo_00086, bflo_23948	AENJA_10634
OG0000058	bflo_25011	AENJA_08370
OG0000059	bflo_21855	AENJA_13132
OG0000059	bflo_14547, bflo_15017	AENJA_17651
OG0000059	bflo_10912, bflo_10938, bflo_11816, bflo_11814, bflo_11815	AENJA_20505, AENJA_00656, AENJA_09821, AENJA_10475, AENJA_10476, AENJA_10481, AENJA_11528
OG0000059	bflo_11837, bflo_12278, bflo_12493, bflo_10907, bflo_06880, bflo_08754, bflo_11971, bflo_20092, bflo_20089	AENJA_18423, AENJA_19757, AENJA_10474, AENJA_00440, AENJA_20980, AENJA_20981, AENJA_26400
OG0000059	bflo_13996, bflo_14747	AENJA_11199, AENJA_02561, AENJA_02562
OG0000060	bflo_01659, bflo_06661	AENJA_17233
OG0000060	bflo_25984, bflo_26009	AENJA_19748
OG0000060	bflo_01384	AENJA_23597
OG0000061	bflo_18545	AENJA_07301
OG0000061	bflo_19266, bflo_18688, bflo_18686, bflo_18896, bflo_18999, bflo_19344	AENJA_07183
OG0000061	bflo_19609, bflo_18544, bflo_19608, bflo_19290	AENJA_26614, AENJA_08766
OG0000061	bflo_18543, bflo_02187, bflo_02797, bflo_02329, bflo_02369	AENJA_06999, AENJA_07304
OG0000062	bflo_13529	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000062	bflo_00246	AENJA_03699
OG0000063	bflo_25923, bflo_11558, bflo_26060	AENJA_04323
OG0000063	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753	AENJA_26394
OG0000066	bflo_04761, bflo_11842	AENJA_12655, AENJA_09505
OG0000067	bflo_08170	AENJA_21171
OG0000069	bflo_20543, bflo_20542, bflo_20541, bflo_27333	AENJA_15982
OG0000070	bflo_17097, bflo_18391, bflo_18274	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501
OG0000070	bflo_26467, bflo_13324, bflo_13447, bflo_13247, bflo_14268, bflo_27427, bflo_23408	AENJA_17946, AENJA_17947
OG0000070	bflo_19712, bflo_19610	AENJA_09128
OG0000070	bflo_18938, bflo_18939, bflo_18680, bflo_18677, bflo_08024, bflo_18676, bflo_06405, bflo_17765, bflo_24928, bflo_03653, bflo_13031, bflo_19530, bflo_18681, bflo_18560, bflo_19218, bflo_19322, bflo_19716, bflo_18678, bflo_18529, bflo_05505, bflo_19611, bflo_01821, bflo_08623, bflo_19607, bflo_03948	AENJA_05824
OG0000070	bflo_15003, bflo_25235	AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750
OG0000071	bflo_17295	AENJA_11228
OG0000071	bflo_21382, bflo_21381, bflo_10837, bflo_10250	AENJA_12271, AENJA_23369
OG0000071	bflo_03355	AENJA_22629, AENJA_19685, AENJA_10216, AENJA_21722, AENJA_10228, AENJA_19682
OG0000072	bflo_14353	AENJA_14652
OG0000072	bflo_14484	AENJA_13128
OG0000072	bflo_14474	AENJA_02450
OG0000072	bflo_07890	AENJA_05444
OG0000072	bflo_07359, bflo_08698	AENJA_24050, AENJA_00746
OG0000073	bflo_13167	AENJA_02295
OG0000073	bflo_13118, bflo_03414, bflo_26731	AENJA_03975, AENJA_15428
OG0000074	bflo_10921	AENJA_05555, AENJA_12312, AENJA_06058
OG0000074	bflo_14737	AENJA_24714
OG0000075	bflo_02192	AENJA_23745
OG0000075	bflo_24625	AENJA_05831
OG0000075	bflo_12189	AENJA_21406
OG0000075	bflo_11040	AENJA_12918
OG0000075	bflo_11652	AENJA_12839
OG0000077	bflo_09725	AENJA_13107
OG0000077	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366	AENJA_07475
OG0000077	bflo_09163	AENJA_08162
OG0000077	bflo_12964	AENJA_16514
OG0000078	bflo_23379, bflo_23493	AENJA_16680, AENJA_06754
OG0000079	bflo_00523	AENJA_16186
OG0000079	bflo_07371	AENJA_02482
OG0000079	bflo_20026	AENJA_17442
OG0000079	bflo_01658	AENJA_10507
OG0000079	bflo_04787, bflo_15789, bflo_21965, bflo_10278, bflo_21970, bflo_21968	AENJA_05095
OG0000081	bflo_15913, bflo_15912, bflo_16774, bflo_16578, bflo_25892, bflo_26241	AENJA_04625, AENJA_04630, AENJA_04629
OG0000081	bflo_20800, bflo_12774	AENJA_23268
OG0000082	bflo_04889	AENJA_25747
OG0000083	bflo_14979, bflo_14980, bflo_14849, bflo_14850, bflo_15203, bflo_08533	AENJA_21795
OG0000083	bflo_10398	AENJA_09136, AENJA_08957
OG0000084	bflo_10754	AENJA_24814
OG0000084	bflo_07872, bflo_07661, bflo_07747	AENJA_16500
OG0000085	bflo_00992	AENJA_05556
OG0000085	bflo_12569	AENJA_24493
OG0000085	bflo_20825	AENJA_06382
OG0000085	bflo_18272, bflo_18210	AENJA_08917
OG0000086	bflo_08959	AENJA_13798
OG0000087	bflo_21260	AENJA_23251
OG0000087	bflo_15461	AENJA_19109
OG0000087	bflo_08208	AENJA_08976
OG0000087	bflo_02993	AENJA_19775
OG0000087	bflo_02949	AENJA_03163
OG0000087	bflo_11911	AENJA_19935
OG0000087	bflo_22659	AENJA_04374, AENJA_10299
OG0000087	bflo_03240	AENJA_20453
OG0000088	bflo_12484, bflo_25913, bflo_26055, bflo_02835, bflo_07337, bflo_02839, bflo_02837, bflo_19718, bflo_03903, bflo_20323, bflo_00738	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104, AENJA_11026, AENJA_11029, AENJA_15119, AENJA_13877
OG0000088	bflo_20465	AENJA_03166, AENJA_03175, AENJA_08500
OG0000089	bflo_02193, bflo_05485, bflo_04536, bflo_25331, bflo_08302, bflo_01704, bflo_02380, bflo_07198, bflo_24284, bflo_27461, bflo_24333, bflo_05569, bflo_17128, bflo_12545, bflo_05487	AENJA_09905, AENJA_09906, AENJA_05338, AENJA_04745, AENJA_16486, AENJA_16485, AENJA_22237, AENJA_02539, AENJA_15610, AENJA_01496
OG0000090	bflo_01678	AENJA_03876
OG0000090	bflo_16621	AENJA_00372, AENJA_17985, AENJA_10145
OG0000090	bflo_15352	AENJA_19633
OG0000090	bflo_01805	AENJA_26164
OG0000090	bflo_02393	AENJA_01954
OG0000091	bflo_24376, bflo_24373, bflo_24374, bflo_18056, bflo_18055, bflo_18057, bflo_27165, bflo_18268, bflo_05649, bflo_27146, bflo_06396	AENJA_01383, AENJA_01384, AENJA_01385
OG0000093	bflo_06093, bflo_16506, bflo_04478, bflo_02929, bflo_25969, bflo_24926, bflo_16191, bflo_02689	AENJA_00982, AENJA_09061, AENJA_19888
OG0000093	bflo_21514, bflo_02944, bflo_02133, bflo_05347, bflo_02787, bflo_02137	AENJA_09135
OG0000093	bflo_22463	AENJA_08955
OG0000093	bflo_26663	AENJA_04649, AENJA_22923
OG0000094	bflo_11484	AENJA_26553
OG0000095	bflo_25489, bflo_01865, bflo_25182, bflo_11841, bflo_01804, bflo_01739, bflo_17156, bflo_03512	AENJA_19114, AENJA_16573, AENJA_22915, AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173, AENJA_25126, AENJA_11793, AENJA_23676
OG0000096	bflo_21246, bflo_21213	AENJA_25727
OG0000096	bflo_24085, bflo_09131	AENJA_08423
OG0000096	bflo_03032	AENJA_09240
OG0000096	bflo_18893	AENJA_14053
OG0000097	bflo_24938, bflo_05080, bflo_21325, bflo_05085, bflo_21849, bflo_03707, bflo_05045, bflo_21324, bflo_22420	AENJA_07989, AENJA_07990, AENJA_20179, AENJA_07992, AENJA_18648, AENJA_07730
OG0000098	bflo_22908, bflo_24811, bflo_02048, bflo_26159	AENJA_16173
OG0000098	bflo_24865	AENJA_10136, AENJA_10137
OG0000098	bflo_05564	AENJA_15215
OG0000099	bflo_24108, bflo_24745, bflo_24107, bflo_24106, bflo_26082, bflo_20818, bflo_08555, bflo_08438, bflo_06968, bflo_06885, bflo_08703, bflo_06078, bflo_08586, bflo_10326	AENJA_17408
OG0000099	bflo_17705, bflo_18245	AENJA_07638, AENJA_14869
OG0000100	bflo_12376	AENJA_04352, AENJA_16267, AENJA_08182
OG0000101	bflo_10195	AENJA_26592
OG0000101	bflo_22103, bflo_06854	AENJA_26594
OG0000101	bflo_05084, bflo_22415, bflo_05083, bflo_05081, bflo_22031, bflo_21326, bflo_22414, bflo_22046, bflo_05082, bflo_21328, bflo_21327	AENJA_00251
OG0000101	bflo_18450	AENJA_06142
OG0000101	bflo_07765, bflo_07393, bflo_18261, bflo_09088, bflo_24291, bflo_00022, bflo_08232, bflo_08101, bflo_08348, bflo_06024, bflo_18190, bflo_18188	AENJA_14914, AENJA_21479, AENJA_11421
