Orthogroup	BRAFL	ORYLA
OG0000021	bflo_27402, bflo_22537	ORYLA12092
OG0000021	bflo_22539, bflo_22305	ORYLA14389
OG0000021	bflo_14957, bflo_14617, bflo_14568	ORYLA06753
OG0000021	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965	ORYLA04245
OG0000023	bflo_10816, bflo_10061	ORYLA08126
OG0000023	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512	ORYLA02861, ORYLA18687
OG0000023	bflo_20456	ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476
OG0000023	bflo_20896	ORYLA03601
OG0000023	bflo_10033, bflo_02724, bflo_02807	ORYLA14352, ORYLA16095
OG0000026	bflo_26853, bflo_07376	ORYLA09539
OG0000027	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610	ORYLA04739
OG0000028	bflo_15045	ORYLA01165
OG0000028	bflo_23186, bflo_23170, bflo_06699, bflo_04841	ORYLA03205, ORYLA04463
OG0000028	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623
OG0000028	bflo_06498, bflo_18107	ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414
OG0000028	bflo_25761, bflo_19766, bflo_19099	ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684
OG0000028	bflo_06341	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547
OG0000029	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407	ORYLA15906
OG0000030	bflo_05230	ORYLA18077
OG0000030	bflo_25955	ORYLA07170
OG0000030	bflo_23730	ORYLA20234
OG0000031	bflo_02624	ORYLA09861, ORYLA15740
OG0000031	bflo_02501	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771
OG0000031	bflo_02849	ORYLA01770
OG0000031	bflo_06021	ORYLA06561
OG0000031	bflo_25562	ORYLA14932
OG0000031	bflo_06369	ORYLA10394, ORYLA11971
OG0000031	bflo_11397	ORYLA14237, ORYLA15433
OG0000031	bflo_15458	ORYLA04591, ORYLA04917
OG0000031	bflo_15459	ORYLA09501, ORYLA00346
OG0000031	bflo_02405	ORYLA09459, ORYLA08614, ORYLA06390
OG0000032	bflo_12824, bflo_01429	ORYLA09076, ORYLA06417
OG0000032	bflo_23561, bflo_23038, bflo_01635	ORYLA15502
OG0000032	bflo_01430	ORYLA06416
OG0000033	bflo_26002, bflo_04544, bflo_00163, bflo_06741, bflo_17809, bflo_03709, bflo_11321, bflo_11329, bflo_03793, bflo_19957, bflo_22799, bflo_18950, bflo_24853, bflo_19052, bflo_18243, bflo_00552, bflo_07886, bflo_24852, bflo_17791	ORYLA01373
OG0000034	bflo_20326	ORYLA07927, ORYLA16241, ORYLA04579, ORYLA02286, ORYLA17781
OG0000034	bflo_03308, bflo_13145	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558
OG0000034	bflo_05871	ORYLA07312
OG0000034	bflo_03310	ORYLA12339, ORYLA14860
OG0000034	bflo_07712, bflo_08443	ORYLA19697
OG0000034	bflo_03379	ORYLA14655
OG0000035	bflo_02157	ORYLA16101
OG0000035	bflo_10385	ORYLA11104, ORYLA14870, ORYLA12119
OG0000035	bflo_09462	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216
OG0000035	bflo_09767, bflo_09277	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268
OG0000035	bflo_10386	ORYLA17117, ORYLA14783
OG0000036	bflo_13405, bflo_09641, bflo_13747, bflo_13748	ORYLA07477, ORYLA12738, ORYLA06564, ORYLA02184
OG0000036	bflo_13764, bflo_12886	ORYLA15615, ORYLA15153
OG0000036	bflo_13765, bflo_13767, bflo_03188	ORYLA07495, ORYLA20280, ORYLA12724
OG0000036	bflo_08259, bflo_08260, bflo_16423, bflo_16325	ORYLA20440, ORYLA11184
OG0000036	bflo_12806, bflo_12805	ORYLA12571
OG0000037	bflo_18550, bflo_02879	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058
OG0000037	bflo_10999	ORYLA05151, ORYLA08136, ORYLA03090
OG0000037	bflo_01343, bflo_01342	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448
OG0000037	bflo_10180	ORYLA04725
OG0000038	bflo_04809	ORYLA16179
OG0000038	bflo_18855	ORYLA08393, ORYLA09754
OG0000039	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169	ORYLA07496
OG0000039	bflo_13135, bflo_00692, bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412	ORYLA16124
OG0000039	bflo_15832	ORYLA05812, ORYLA00801, ORYLA00802
OG0000040	bflo_18133	ORYLA04846, ORYLA04844
OG0000040	bflo_18120, bflo_22334, bflo_22335, bflo_22336, bflo_18296, bflo_21600, bflo_21601, bflo_19151, bflo_22337, bflo_22516, bflo_10596, bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406
OG0000041	bflo_05956	ORYLA13695, ORYLA09068, ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350
OG0000042	bflo_10929, bflo_25898, bflo_02971, bflo_02974, bflo_03714, bflo_26102, bflo_03006, bflo_22040, bflo_03610, bflo_26101, bflo_02981, bflo_11796, bflo_02991, bflo_03706, bflo_26342, bflo_25465, bflo_00903	ORYLA12797, ORYLA10877, ORYLA10878
OG0000043	bflo_19214	ORYLA03388
OG0000044	bflo_07748	ORYLA05288
OG0000044	bflo_21420, bflo_01236, bflo_12257	ORYLA05174
OG0000045	bflo_20899, bflo_17244	ORYLA09208, ORYLA09207
OG0000045	bflo_01071	ORYLA09209
OG0000045	bflo_03910	ORYLA02913
OG0000046	bflo_09128, bflo_05621	ORYLA00520
OG0000046	bflo_12973, bflo_25564, bflo_11116, bflo_21984	ORYLA18815, ORYLA05911
OG0000048	bflo_15152	ORYLA19472
OG0000048	bflo_07462	ORYLA14101
OG0000048	bflo_13732, bflo_11483, bflo_11417, bflo_05102, bflo_05104, bflo_17693, bflo_18962, bflo_22214, bflo_23171, bflo_19625, bflo_19404, bflo_20902	ORYLA19631
OG0000048	bflo_17669	ORYLA08002
OG0000048	bflo_20353	ORYLA11420
OG0000048	bflo_12849	ORYLA15054
OG0000049	bflo_17665	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584
OG0000049	bflo_12099	ORYLA13704, ORYLA13828, ORYLA15018
OG0000049	bflo_12470, bflo_11081	ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871
OG0000049	bflo_17096, bflo_11847	ORYLA14190, ORYLA14191, ORYLA11029
OG0000051	bflo_18195, bflo_17371	ORYLA05117
OG0000052	bflo_27040	ORYLA03847, ORYLA07122
OG0000052	bflo_19802, bflo_01398, bflo_21080, bflo_05328, bflo_02741, bflo_00114, bflo_05170, bflo_09046, bflo_09710, bflo_00584, bflo_04449, bflo_01355	ORYLA18368, ORYLA18615, ORYLA19851
OG0000053	bflo_21932, bflo_21926, bflo_18879, bflo_19026	ORYLA12857
OG0000054	bflo_04388	ORYLA00519
OG0000054	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284	ORYLA05953
OG0000055	bflo_23399	ORYLA00098, ORYLA00083, ORYLA00100
OG0000056	bflo_25516	ORYLA07324, ORYLA00315
OG0000056	bflo_15952	ORYLA17860
OG0000057	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221	ORYLA17686, ORYLA14639, ORYLA12170
OG0000058	bflo_09144	ORYLA11907
OG0000058	bflo_23140	ORYLA18104
OG0000058	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935	ORYLA11895, ORYLA12524, ORYLA19070
OG0000058	bflo_23048, bflo_23141	ORYLA00576, ORYLA16972
OG0000058	bflo_23142, bflo_24605, bflo_23135, bflo_23136	ORYLA18100, ORYLA18099, ORYLA18101, ORYLA18068
OG0000059	bflo_15172	ORYLA07253, ORYLA03181, ORYLA04042
OG0000059	bflo_21855	ORYLA09176
OG0000059	bflo_13996, bflo_14747	ORYLA04122, ORYLA03135, ORYLA01146
OG0000060	bflo_01659, bflo_06661	ORYLA01946, ORYLA04743
OG0000060	bflo_01384	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092
OG0000061	bflo_18545	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422
OG0000061	bflo_19266, bflo_18688, bflo_18686, bflo_18896	ORYLA10018, ORYLA07904, ORYLA07058
OG0000061	bflo_18999, bflo_19344	ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115
OG0000061	bflo_19609, bflo_18544, bflo_19608, bflo_19290	ORYLA07060, ORYLA08273
OG0000062	bflo_17250, bflo_01624	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546
OG0000062	bflo_13529	ORYLA10585, ORYLA11804
OG0000063	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753	ORYLA14082, ORYLA04940, ORYLA08134
OG0000066	bflo_04761, bflo_11842	ORYLA06398
OG0000067	bflo_06923, bflo_06916, bflo_24559, bflo_02686, bflo_17376, bflo_24606, bflo_18581, bflo_07727, bflo_04022, bflo_03936	ORYLA02381
OG0000068	bflo_12120	ORYLA16122
OG0000069	bflo_23212	ORYLA03855
OG0000069	bflo_01849	ORYLA04394
OG0000069	bflo_17459	ORYLA00227, ORYLA00099, ORYLA00041
OG0000069	bflo_05168, bflo_23210	ORYLA08015
OG0000069	bflo_26399, bflo_00093, bflo_25960, bflo_25962	ORYLA00084
OG0000069	bflo_07771	ORYLA03826
OG0000070	bflo_17097, bflo_18391, bflo_18274	ORYLA11329, ORYLA09412
OG0000070	bflo_19712, bflo_19610, bflo_18938, bflo_18939, bflo_18680, bflo_18677, bflo_08024, bflo_18676, bflo_06405, bflo_17765, bflo_24928, bflo_03653, bflo_13031, bflo_19530, bflo_18681, bflo_18560, bflo_19218, bflo_19322, bflo_19716, bflo_18678, bflo_18529, bflo_05505, bflo_19611, bflo_01821, bflo_08623, bflo_19607, bflo_03948, bflo_15003, bflo_25235	ORYLA07085, ORYLA17312
OG0000071	bflo_24861	ORYLA12049, ORYLA12050, ORYLA20329, ORYLA09791, ORYLA09793, ORYLA09792, ORYLA11588, ORYLA18704, ORYLA12712, ORYLA12714, ORYLA12716
OG0000072	bflo_14354	ORYLA01510, ORYLA00516, ORYLA03563, ORYLA04070
OG0000072	bflo_14484, bflo_04637	ORYLA00527, ORYLA04050, ORYLA03176
OG0000072	bflo_14474	ORYLA20464
OG0000073	bflo_23562	ORYLA06148, ORYLA06147
OG0000073	bflo_15886	ORYLA09058, ORYLA06772, ORYLA12397, ORYLA18725
OG0000074	bflo_10921	ORYLA10949, ORYLA14220, ORYLA15431
OG0000075	bflo_02192	ORYLA08229, ORYLA07050
OG0000075	bflo_02500	ORYLA10050
OG0000075	bflo_02607	ORYLA15750
OG0000075	bflo_24625	ORYLA05870, ORYLA14226
OG0000075	bflo_21844	ORYLA04438
OG0000075	bflo_02487	ORYLA10049, ORYLA15751
OG0000075	bflo_12189	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334
OG0000075	bflo_11040	ORYLA11054, ORYLA15824
OG0000075	bflo_12166	ORYLA14687, ORYLA10924, ORYLA15926
OG0000075	bflo_11652	ORYLA19688
OG0000077	bflo_09725	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787
OG0000077	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409
OG0000077	bflo_18777, bflo_23174	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450
OG0000078	bflo_03225, bflo_03224, bflo_03600, bflo_00994, bflo_16269, bflo_01905, bflo_16844, bflo_16039, bflo_09080, bflo_03425, bflo_02138	ORYLA13083, ORYLA13994, ORYLA10833
OG0000079	bflo_00523	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903
OG0000079	bflo_07371	ORYLA02351, ORYLA01210, ORYLA04604
OG0000079	bflo_20026	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726
OG0000079	bflo_01658	ORYLA13165
OG0000080	bflo_20693, bflo_04566	ORYLA09642, ORYLA12801
OG0000081	bflo_25900, bflo_13564, bflo_13563	ORYLA17325, ORYLA13622, ORYLA13621, ORYLA13623, ORYLA12409, ORYLA04160, ORYLA09392
OG0000082	bflo_15900	ORYLA02580
OG0000082	bflo_04889	ORYLA01470
OG0000082	bflo_00187	ORYLA09330
OG0000083	bflo_14979, bflo_14980, bflo_14849, bflo_14850, bflo_15203, bflo_08533	ORYLA04024, ORYLA20424
OG0000084	bflo_10754	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676
OG0000084	bflo_08430	ORYLA00399, ORYLA18720, ORYLA19616, ORYLA17981, ORYLA02328, ORYLA12505
OG0000085	bflo_00992	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818
OG0000085	bflo_12569	ORYLA06168
OG0000085	bflo_17482	ORYLA01458, ORYLA09387, ORYLA11376
OG0000085	bflo_20149	ORYLA02607, ORYLA17633, ORYLA03741
OG0000085	bflo_18272, bflo_18210	ORYLA02243, ORYLA05178
OG0000087	bflo_21260	ORYLA07293
OG0000087	bflo_11911	ORYLA15868, ORYLA15867
OG0000088	bflo_12484, bflo_25913, bflo_26055, bflo_02835, bflo_07337, bflo_02839, bflo_02837, bflo_19718, bflo_03903, bflo_20323, bflo_00738, bflo_20465	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524
OG0000089	bflo_17962, bflo_17832, bflo_01283, bflo_21188	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332
OG0000090	bflo_16621	ORYLA02080, ORYLA06082
OG0000090	bflo_02393	ORYLA01746, ORYLA06194
OG0000091	bflo_24376, bflo_24373, bflo_24374, bflo_18056, bflo_18055, bflo_18057, bflo_27165, bflo_18268, bflo_05649, bflo_27146, bflo_06396	ORYLA02531
OG0000093	bflo_08402, bflo_20451	ORYLA18669
OG0000093	bflo_26066, bflo_22106, bflo_08411, bflo_26076	ORYLA15023, ORYLA11108, ORYLA13845
OG0000094	bflo_11484	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149
OG0000096	bflo_21246, bflo_21213	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328
OG0000096	bflo_11038	ORYLA16077, ORYLA13956, ORYLA11296
OG0000096	bflo_17838	ORYLA13747, ORYLA08870
OG0000096	bflo_24085, bflo_09131	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104
OG0000096	bflo_03032	ORYLA12353, ORYLA17186
