Orthogroup	BRAFL	OWEFU
OG0000014	bflo_01206, bflo_05905	OFUSG05464.1.p1, OFUSG05465.1.p1, OFUSG06729.1.p1, OFUSG06729.2.p1, OFUSG06620.1.p1, OFUSG05782.1.p1, OFUSG05806.1.p1, OFUSG25239.1.p1, OFUSG05463.1.p1, OFUSG06975.1.p1, OFUSG19549.1.p1, OFUSG05975.1.p1
OG0000014	bflo_04326, bflo_04339, bflo_04331	OFUSG00805.1.p1
OG0000015	bflo_14874	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1
OG0000015	bflo_24142, bflo_23928	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1
OG0000015	bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970	OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1
OG0000016	bflo_21268, bflo_21464, bflo_21269	OFUSG24893.1.p1
OG0000016	bflo_22718, bflo_13606, bflo_23097, bflo_23092	OFUSG10402.1.p1
OG0000016	bflo_22486, bflo_01469, bflo_09907, bflo_10149, bflo_21276	OFUSG13895.1.p1
OG0000016	bflo_12769	OFUSG11848.1.p1
OG0000016	bflo_02107, bflo_22757, bflo_23260, bflo_02738, bflo_02096, bflo_02737, bflo_02551, bflo_26656, bflo_01790, bflo_20387	OFUSG14920.1.p1, OFUSG23914.1.p1
OG0000019	bflo_24292	OFUSG23776.1.p1
OG0000019	bflo_22767, bflo_06001, bflo_05746, bflo_23533	OFUSG23567.1.p1, OFUSG09103.1.p1
OG0000019	bflo_10160, bflo_26497, bflo_00628	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1
OG0000019	bflo_26518, bflo_26519, bflo_04870	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1
OG0000019	bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556	OFUSG19407.1.p1, OFUSG06826.1.p1
OG0000020	bflo_12668	OFUSG17234.1.p1
OG0000020	bflo_19465	OFUSG19131.1.p1
OG0000020	bflo_13699, bflo_11209, bflo_11497, bflo_01316, bflo_26255, bflo_05601, bflo_05497, bflo_24504, bflo_09206, bflo_24474, bflo_24384, bflo_16833, bflo_26236, bflo_20748, bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513	OFUSG13406.1.p1
OG0000020	bflo_01292	OFUSG14744.1.p1
OG0000021	bflo_11723	OFUSG18643.1.p1
OG0000021	bflo_11166, bflo_11165, bflo_11164	OFUSG03663.1.p1
OG0000021	bflo_12821	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1
OG0000021	bflo_20935	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1
OG0000021	bflo_27402, bflo_22537, bflo_22539, bflo_22305	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000021	bflo_14957, bflo_14617, bflo_14568	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1
OG0000023	bflo_10816, bflo_10061	OFUSG06069.1.p1
OG0000023	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512, bflo_20456	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	bflo_03971, bflo_03972, bflo_00874, bflo_06832, bflo_14042, bflo_20896, bflo_10033, bflo_02724, bflo_02807	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000023	bflo_02853	OFUSG14126.1.p1
OG0000026	bflo_21516, bflo_21519, bflo_21523	OFUSG08116.1.p1, OFUSG06159.1.p1, OFUSG25623.1.p1
OG0000026	bflo_14643, bflo_14642, bflo_14973	OFUSG02601.1.p1
OG0000026	bflo_26853, bflo_07376	OFUSG26427.1.p1
OG0000026	bflo_06473	OFUSG24229.1.p1
OG0000027	bflo_08030, bflo_00219, bflo_00221, bflo_00220, bflo_22002, bflo_20174	OFUSG26650.1.p1
OG0000027	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610	OFUSG21901.2.p1, OFUSG21901.1.p1
OG0000028	bflo_15045, bflo_23186, bflo_23170, bflo_06699, bflo_04841, bflo_14636, bflo_15358	OFUSG21057.1.p1, OFUSG21057.2.p1
OG0000028	bflo_07777	OFUSG05527.1.p1, OFUSG03389.1.p1
OG0000028	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959, bflo_06498, bflo_18107, bflo_25761, bflo_19766, bflo_19099	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
OG0000028	bflo_06341	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1
OG0000028	bflo_01235, bflo_02042	OFUSG16442.1.p1, OFUSG16442.2.p1
OG0000028	bflo_24390, bflo_24387, bflo_05196	OFUSG12432.2.p1, OFUSG12432.1.p1, OFUSG25286.1.p1, OFUSG11555.1.p1
OG0000029	bflo_00003	OFUSG25151.1.p1, OFUSG10698.1.p1, OFUSG20711.1.p1
OG0000029	bflo_25831	OFUSG21155.1.p1
OG0000029	bflo_13634	OFUSG16858.1.p1
OG0000030	bflo_08323, bflo_05230	OFUSG16143.1.p1
OG0000030	bflo_21886	OFUSG16141.1.p1, OFUSG16142.2.p1, OFUSG16142.1.p1
OG0000030	bflo_25955	OFUSG21119.1.p1
OG0000030	bflo_23616	OFUSG17928.1.p1
OG0000030	bflo_23730	OFUSG12869.1.p1
OG0000030	bflo_09678, bflo_10382	OFUSG26562.1.p1, OFUSG14908.1.p1, OFUSG24122.1.p1, OFUSG13621.1.p1, OFUSG26418.1.p1, OFUSG03647.1.p1, OFUSG12449.1.p1, OFUSG03648.1.p1, OFUSG03242.1.p1
OG0000030	bflo_22462	OFUSG14128.1.p1, OFUSG14128.2.p1
OG0000031	bflo_04592, bflo_05889, bflo_05515, bflo_02310, bflo_00531, bflo_15662	OFUSG03747.1.p1, OFUSG01964.1.p1
OG0000031	bflo_02624	OFUSG03902.1.p1, OFUSG03902.2.p1
OG0000031	bflo_02501	OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	bflo_02849	OFUSG03938.1.p1
OG0000031	bflo_06021, bflo_25562	OFUSG09754.1.p1
OG0000031	bflo_06369	OFUSG12627.1.p1
OG0000031	bflo_15458	OFUSG02210.1.p1
OG0000031	bflo_02405	OFUSG16797.1.p1
OG0000032	bflo_12824, bflo_01429	OFUSG07861.1.p1
OG0000032	bflo_23561, bflo_23038, bflo_01635	OFUSG26521.2.p1, OFUSG26521.1.p1
OG0000032	bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388	OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1
OG0000034	bflo_20326	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1
OG0000034	bflo_03308, bflo_13145	OFUSG01833.2.p1, OFUSG01833.1.p1
OG0000034	bflo_05871	OFUSG08780.1.p1
OG0000034	bflo_03310	OFUSG00313.1.p1
OG0000034	bflo_07712	OFUSG10792.1.p1, OFUSG10792.2.p1
OG0000034	bflo_15884	OFUSG08088.1.p1
OG0000034	bflo_03379	OFUSG09735.1.p1
OG0000035	bflo_02157	OFUSG16461.1.p1
OG0000035	bflo_10387, bflo_26954	OFUSG07703.1.p1
OG0000035	bflo_10385	OFUSG07007.1.p1, OFUSG07007.2.p1
OG0000035	bflo_09462	OFUSG07851.1.p1
OG0000035	bflo_09767, bflo_09277	OFUSG25460.1.p1, OFUSG07717.1.p1
OG0000035	bflo_10386	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1
OG0000036	bflo_13405, bflo_09641, bflo_13747, bflo_13748	OFUSG05112.1.p1
OG0000036	bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188	OFUSG06787.1.p1, OFUSG20561.1.p1, OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1
OG0000036	bflo_08259, bflo_08260, bflo_16423, bflo_16325	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1
OG0000036	bflo_12806, bflo_12805	OFUSG05272.1.p1
OG0000037	bflo_18550, bflo_02879	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1
OG0000037	bflo_10999	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1
OG0000037	bflo_01343	OFUSG13518.1.p1
OG0000037	bflo_10180	OFUSG24232.1.p1, OFUSG22475.1.p1
OG0000038	bflo_16371	OFUSG08090.1.p1
OG0000038	bflo_18868	OFUSG09678.1.p1
OG0000038	bflo_18833	OFUSG07063.1.p1, OFUSG04821.1.p1, OFUSG19292.1.p1
OG0000038	bflo_18855	OFUSG26080.1.p1, OFUSG26080.2.p1
OG0000039	bflo_02223, bflo_02227, bflo_03136, bflo_27317, bflo_19899, bflo_03164, bflo_20754, bflo_03799, bflo_03159, bflo_03174, bflo_20755, bflo_19898, bflo_16202, bflo_02225, bflo_27318, bflo_00568, bflo_03800	OFUSG12767.1.p1, OFUSG04725.1.p1
OG0000039	bflo_27127, bflo_15187, bflo_27466, bflo_26974, bflo_01763, bflo_23061, bflo_22995, bflo_23026, bflo_12184, bflo_10698, bflo_10998, bflo_10878, bflo_10625, bflo_09250, bflo_23001, bflo_01761, bflo_10810, bflo_23007, bflo_01762, bflo_15400	OFUSG17021.1.p1
OG0000039	bflo_25339	OFUSG13129.1.p1
OG0000039	bflo_22047, bflo_13127, bflo_13500	OFUSG05314.1.p1
OG0000039	bflo_26070	OFUSG13135.1.p1
OG0000039	bflo_06186	OFUSG21070.1.p1, OFUSG21072.1.p1, OFUSG21071.1.p1, OFUSG07209.1.p1
OG0000039	bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412	OFUSG11857.1.p1
OG0000039	bflo_15832	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1
OG0000041	bflo_09009, bflo_26911, bflo_03344, bflo_12945	OFUSG07896.1.p1
OG0000041	bflo_05956	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1
OG0000043	bflo_23211, bflo_07587	OFUSG22688.1.p1
OG0000043	bflo_23226, bflo_23242, bflo_23238, bflo_23225, bflo_23224	OFUSG21723.1.p1
OG0000044	bflo_14922	OFUSG03166.1.p1
OG0000044	bflo_09554	OFUSG06861.1.p1, OFUSG10172.1.p1, OFUSG19783.1.p1
OG0000044	bflo_21687	OFUSG11434.1.p1, OFUSG13798.1.p1, OFUSG12158.2.p1, OFUSG12158.1.p1
OG0000044	bflo_00108, bflo_00107, bflo_01958, bflo_01243, bflo_26025, bflo_26127, bflo_26635	OFUSG22654.1.p1, OFUSG22653.1.p1, OFUSG15735.1.p1, OFUSG15574.1.p1, OFUSG15256.2.p1, OFUSG15256.1.p1, OFUSG15731.1.p1, OFUSG15125.1.p1, OFUSG23742.1.p1, OFUSG15245.1.p1
OG0000045	bflo_00609	OFUSG07522.1.p1
OG0000045	bflo_00608	OFUSG07521.1.p1
OG0000045	bflo_23162	OFUSG11066.2.p1, OFUSG11066.1.p1
OG0000045	bflo_01071	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1
OG0000046	bflo_09128, bflo_05621	OFUSG14160.1.p1
OG0000046	bflo_12973, bflo_25564, bflo_11116, bflo_21984, bflo_17346, bflo_17140, bflo_17411, bflo_17138, bflo_15946, bflo_19960, bflo_03865, bflo_11219, bflo_01794, bflo_19942, bflo_19982, bflo_19954, bflo_19961, bflo_19955, bflo_19958, bflo_19956, bflo_19962, bflo_11929, bflo_19932, bflo_10620, bflo_14470, bflo_15030	OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1
