Orthogroup	BRAFL	DANRE
OG0000006	bflo_22526	DANRE20396, DANRE24336
OG0000006	bflo_10066, bflo_10065	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191
OG0000006	bflo_12576	DANRE11213, DANRE11212, DANRE11601
OG0000006	bflo_23572	DANRE30064, DANRE15483
OG0000006	bflo_23665	DANRE30060
OG0000006	bflo_06220	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	bflo_08237	DANRE05395
OG0000006	bflo_06222	DANRE20981, DANRE28318, DANRE19321
OG0000006	bflo_08431	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	bflo_22598	DANRE11156, DANRE11155
OG0000006	bflo_15412	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000006	bflo_10980	DANRE04654, DANRE04655
OG0000007	bflo_13266	DANRE26275, DANRE17982
OG0000007	bflo_05651	DANRE38320, DANRE26009, DANRE40798, DANRE40799
OG0000007	bflo_16444, bflo_15598	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
OG0000007	bflo_25603	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143
OG0000007	bflo_25903	DANRE40142
OG0000007	bflo_10207	DANRE07035, DANRE20085, DANRE04871, DANRE04210
OG0000007	bflo_23632	DANRE23214, DANRE28394, DANRE07751, DANRE07750
OG0000007	bflo_13761	DANRE12664
OG0000007	bflo_13742	DANRE03447
OG0000007	bflo_13892	DANRE26278, DANRE26279, DANRE17980, DANRE17979
OG0000007	bflo_13084	DANRE26277, DANRE17981, DANRE12992, DANRE12991
OG0000007	bflo_16800	DANRE21702
OG0000007	bflo_12369	DANRE08320, DANRE33659
OG0000007	bflo_23309	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	bflo_23091	DANRE30028, DANRE03038, DANRE28801
OG0000007	bflo_23283	DANRE30495, DANRE03657, DANRE03658
OG0000007	bflo_24497	DANRE02453, DANRE09326, DANRE09325
OG0000007	bflo_11392	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000008	bflo_24920	DANRE27059, DANRE36385, DANRE36384, DANRE36386, DANRE36383
OG0000008	bflo_12140	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452
OG0000008	bflo_11080	DANRE36653
OG0000008	bflo_20071	DANRE41005, DANRE41006
OG0000008	bflo_17599	DANRE18586
OG0000010	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857	DANRE38562, DANRE38564, DANRE38563, DANRE08709, DANRE08676, DANRE08677, DANRE08708
OG0000010	bflo_00973	DANRE28016, DANRE28015, DANRE28014, DANRE30968
OG0000010	bflo_07912, bflo_08373	DANRE39463, DANRE39462
OG0000010	bflo_25814, bflo_01084	DANRE34456, DANRE07824
OG0000010	bflo_06245, bflo_06244, bflo_00460, bflo_18660, bflo_18213	DANRE01777, DANRE23482, DANRE09723, DANRE09722, DANRE13204, DANRE13205, DANRE09716, DANRE09718, DANRE09717, DANRE09779, DANRE09778, DANRE01775, DANRE01774, DANRE01776, DANRE23481
OG0000011	bflo_27088, bflo_03175	DANRE34035, DANRE34036
OG0000012	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370	DANRE38177, DANRE38176
OG0000012	bflo_14731, bflo_13607, bflo_24594	DANRE12655, DANRE12656, DANRE12659
OG0000013	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838
OG0000014	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941	DANRE37898, DANRE35206, DANRE12526, DANRE12528, DANRE12527
OG0000014	bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893	DANRE11299, DANRE03520
OG0000014	bflo_18525, bflo_05141	DANRE40391
OG0000014	bflo_04326, bflo_04339, bflo_04331	DANRE17251, DANRE43403
OG0000014	bflo_06816	DANRE03675, DANRE03674, DANRE43177, DANRE29871
OG0000015	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473	DANRE07037, DANRE07036, DANRE03906, DANRE05961, DANRE41277, DANRE41276
OG0000015	bflo_14872	DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443
OG0000015	bflo_14874	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442
OG0000015	bflo_24142, bflo_23928, bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	bflo_22718, bflo_13606, bflo_23097, bflo_23092	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064
OG0000016	bflo_12769	DANRE02012
OG0000016	bflo_20387	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753
OG0000018	bflo_08031	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094
OG0000019	bflo_04871	DANRE29946, DANRE21114
OG0000019	bflo_24292	DANRE41681
OG0000019	bflo_26518, bflo_26519, bflo_04870	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	bflo_12668	DANRE03458
OG0000020	bflo_19465	DANRE10827, DANRE10826, DANRE10743
OG0000020	bflo_20627	DANRE37310
OG0000020	bflo_17473, bflo_27211	DANRE10670
OG0000020	bflo_12267	DANRE40536
OG0000020	bflo_11497	DANRE14742, DANRE09733
OG0000020	bflo_01316, bflo_26255, bflo_05601	DANRE18650, DANRE10748
OG0000020	bflo_24504, bflo_09206, bflo_24474	DANRE23011
OG0000020	bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513	DANRE24424, DANRE24423, DANRE27995
OG0000020	bflo_01292	DANRE30414
OG0000020	bflo_16368	DANRE27431, DANRE27432, DANRE27433
OG0000020	bflo_14118	DANRE06741, DANRE06740, DANRE15747
OG0000020	bflo_07448	DANRE06663, DANRE06664
OG0000020	bflo_14450	DANRE18984
OG0000020	bflo_00687	DANRE27379
OG0000021	bflo_11723	DANRE01661, DANRE22424, DANRE31606, DANRE31605
OG0000021	bflo_11166, bflo_11165, bflo_11164	DANRE39722, DANRE22090, DANRE36686, DANRE36683, DANRE36685, DANRE36633, DANRE13240, DANRE13243, DANRE13242, DANRE13246, DANRE13245, DANRE13241, DANRE24996, DANRE01663, DANRE01662
OG0000021	bflo_12821	DANRE38577, DANRE08977, DANRE08978, DANRE08976
OG0000021	bflo_20935	DANRE08348, DANRE33679
OG0000021	bflo_20505, bflo_09681	DANRE33712, DANRE33711, DANRE33342, DANRE33343
OG0000021	bflo_27402, bflo_22537	DANRE37717
OG0000021	bflo_22539, bflo_22305	DANRE02277
OG0000021	bflo_14957, bflo_14617, bflo_14568	DANRE27401, DANRE27403, DANRE27400
OG0000021	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965	DANRE20108
OG0000022	bflo_08168	DANRE32684, DANRE31894, DANRE07504
OG0000022	bflo_03149	DANRE32515, DANRE32024
OG0000023	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512	DANRE19492, DANRE40604
OG0000023	bflo_20456	DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477
OG0000023	bflo_20896	DANRE07548, DANRE07547
OG0000023	bflo_10033, bflo_02724, bflo_02807	DANRE01757
OG0000026	bflo_21516, bflo_21519, bflo_21523	DANRE25537, DANRE36265
OG0000026	bflo_26853, bflo_07376	DANRE42258, DANRE07529
OG0000027	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610	DANRE02909
OG0000028	bflo_15045	DANRE06013
OG0000028	bflo_23186, bflo_23170, bflo_06699, bflo_04841	DANRE08736, DANRE08737, DANRE20375
OG0000028	bflo_14636, bflo_15358	DANRE07178
OG0000028	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601, DANRE13468
OG0000028	bflo_06498, bflo_18107	DANRE13469, DANRE13470, DANRE15855, DANRE10772, DANRE17755, DANRE17756, DANRE02083
OG0000028	bflo_25761, bflo_19766, bflo_19099	DANRE07180, DANRE07179, DANRE15853, DANRE35763
OG0000028	bflo_06341	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964
OG0000029	bflo_00003	DANRE22154
OG0000029	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407	DANRE41268, DANRE41269, DANRE26531, DANRE01944
OG0000030	bflo_05230	DANRE34589, DANRE34588
OG0000030	bflo_21886	DANRE16388, DANRE16389
OG0000030	bflo_23730	DANRE41079, DANRE41078
OG0000030	bflo_22462	DANRE08391
OG0000031	bflo_04592, bflo_05889, bflo_05515, bflo_02310, bflo_00531, bflo_15662	DANRE20694
OG0000031	bflo_02624	DANRE41496, DANRE35535, DANRE23155
OG0000031	bflo_02501	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	bflo_02849	DANRE13622, DANRE13623
OG0000031	bflo_06021	DANRE26516
OG0000031	bflo_25562	DANRE26019
OG0000031	bflo_06369	DANRE11621
OG0000031	bflo_11397	DANRE02768, DANRE23382
OG0000031	bflo_15458	DANRE20276, DANRE16190, DANRE42316
OG0000031	bflo_15459	DANRE16189, DANRE42315, DANRE15746
OG0000031	bflo_02405	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848
OG0000032	bflo_12824, bflo_01429	DANRE24196, DANRE27892, DANRE27891
OG0000032	bflo_23561, bflo_23038, bflo_01635	DANRE22486, DANRE22485, DANRE22487, DANRE22488
OG0000032	bflo_01430	DANRE24197
OG0000034	bflo_20326	DANRE28945, DANRE28944, DANRE35039, DANRE35040, DANRE39926, DANRE00143, DANRE39455, DANRE35041
OG0000034	bflo_03308, bflo_13145	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947
OG0000034	bflo_05871	DANRE14484, DANRE09880, DANRE38036
OG0000034	bflo_03310	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000034	bflo_07712, bflo_08443	DANRE04100
OG0000034	bflo_03379	DANRE25182
OG0000035	bflo_02157	DANRE23313
OG0000035	bflo_10385	DANRE31052, DANRE25078, DANRE12998, DANRE12997
OG0000035	bflo_09462	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988
OG0000035	bflo_09767, bflo_09277	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761
OG0000035	bflo_10386	DANRE38222, DANRE38223, DANRE12948
OG0000036	bflo_13405, bflo_09641, bflo_13747, bflo_13748	DANRE37867, DANRE38271, DANRE14697
OG0000036	bflo_13764, bflo_12886	DANRE25335
OG0000036	bflo_13765, bflo_13767, bflo_03188	DANRE27775, DANRE38068, DANRE26145, DANRE38623
OG0000036	bflo_08259, bflo_08260, bflo_16423, bflo_16325	DANRE07186, DANRE30853
OG0000036	bflo_12806, bflo_12805	DANRE11991, DANRE38630
OG0000037	bflo_18550, bflo_02879	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287
OG0000037	bflo_10999	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383
OG0000037	bflo_01343, bflo_01342	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607
OG0000037	bflo_10180	DANRE11315
OG0000038	bflo_16371	DANRE01550, DANRE01549
OG0000038	bflo_16788	DANRE23401
OG0000038	bflo_05210, bflo_10654	DANRE41584
OG0000038	bflo_18855	DANRE15348
OG0000039	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169	DANRE38069, DANRE38070
OG0000039	bflo_15832	DANRE09344
OG0000040	bflo_18133	DANRE30036
OG0000040	bflo_18120, bflo_22334, bflo_22335, bflo_22336, bflo_18296, bflo_21600, bflo_21601, bflo_19151, bflo_22337, bflo_22516, bflo_10596, bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230
OG0000041	bflo_05956	DANRE36805, DANRE27215, DANRE24076, DANRE27216, DANRE05493, DANRE05492, DANRE18224, DANRE05473, DANRE36043, DANRE17635
OG0000042	bflo_10929, bflo_25898, bflo_02971, bflo_02974, bflo_03714, bflo_26102, bflo_03006, bflo_22040, bflo_03610, bflo_26101, bflo_02981, bflo_11796, bflo_02991, bflo_03706, bflo_26342, bflo_25465, bflo_00903	DANRE42454, DANRE42453, DANRE42455, DANRE08533, DANRE08529, DANRE08530, DANRE08535, DANRE08531, DANRE08532, DANRE08528, DANRE08534, DANRE08536, DANRE23872, DANRE23873, DANRE23870, DANRE23868, DANRE23869, DANRE23871, DANRE23875, DANRE23874
OG0000043	bflo_19214	DANRE43265
OG0000044	bflo_07748	DANRE05244, DANRE05245
OG0000045	bflo_20899, bflo_17244	DANRE38824
OG0000045	bflo_03910	DANRE00498, DANRE00497, DANRE34860, DANRE34861
OG0000045	bflo_00606	DANRE28069, DANRE28068
OG0000046	bflo_09128, bflo_05621	DANRE15742
OG0000046	bflo_12973, bflo_25564, bflo_11116, bflo_21984	DANRE20292, DANRE09276, DANRE42278, DANRE42280, DANRE42172, DANRE42168, DANRE42170, DANRE42174, DANRE42171, DANRE42169, DANRE42167, DANRE42279, DANRE42166, DANRE42173, DANRE42277, DANRE09606, DANRE09605
OG0000048	bflo_15152	DANRE16164, DANRE16166, DANRE16167, DANRE16163
OG0000048	bflo_07462	DANRE19398
OG0000048	bflo_27224	DANRE08311
OG0000048	bflo_13732, bflo_11483, bflo_11417, bflo_05102, bflo_05104, bflo_17693, bflo_18962, bflo_22214, bflo_23171, bflo_19625, bflo_19404, bflo_20902	DANRE14945, DANRE10170, DANRE10169
OG0000048	bflo_20353	DANRE17556, DANRE05472
OG0000048	bflo_12849	DANRE26183
OG0000049	bflo_17665	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854
OG0000049	bflo_12099	DANRE36715, DANRE36714, DANRE02678, DANRE12445
OG0000049	bflo_12470, bflo_11081	DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833
OG0000049	bflo_17096, bflo_11847	DANRE30744
OG0000050	bflo_13685	DANRE33098, DANRE32869, DANRE33097, DANRE32870
OG0000051	bflo_18195, bflo_17371	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457
OG0000053	bflo_21932, bflo_21926, bflo_18879, bflo_19026	DANRE17521
OG0000054	bflo_04388	DANRE06791, DANRE15743
OG0000054	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284	DANRE09041, DANRE09042
OG0000055	bflo_23317	DANRE24633
OG0000055	bflo_23399	DANRE00963
OG0000056	bflo_12398	DANRE40469
OG0000056	bflo_25516	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297
OG0000056	bflo_15952	DANRE40924, DANRE40923
OG0000056	bflo_22428	DANRE30239
OG0000057	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933
OG0000058	bflo_09144	DANRE17254
OG0000058	bflo_09194	DANRE01466, DANRE01467
OG0000058	bflo_23140	DANRE03528
OG0000058	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935	DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527
OG0000058	bflo_23048, bflo_23141	DANRE30014, DANRE15447
OG0000059	bflo_15172	DANRE15544, DANRE15545, DANRE15546, DANRE20191, DANRE20192, DANRE20189, DANRE15547, DANRE20190, DANRE08539, DANRE00843
OG0000059	bflo_21855	DANRE23878, DANRE23877, DANRE23876
OG0000059	bflo_13996, bflo_14747	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651
OG0000060	bflo_01659, bflo_06661	DANRE15035, DANRE15034, DANRE05268
OG0000060	bflo_01384	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576
OG0000061	bflo_18545	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684
OG0000061	bflo_19266, bflo_18688, bflo_18686, bflo_18896	DANRE21357, DANRE21356, DANRE21355, DANRE42236, DANRE42238, DANRE42237, DANRE03323, DANRE26316, DANRE26315
OG0000061	bflo_18999, bflo_19344	DANRE16979, DANRE30135, DANRE08363, DANRE08364, DANRE41399, DANRE24234, DANRE26883, DANRE26882, DANRE28200, DANRE36395, DANRE36396, DANRE36397, DANRE03215, DANRE23525, DANRE23526, DANRE28197, DANRE28196, DANRE28198, DANRE28195, DANRE28199, DANRE28194, DANRE28193, DANRE36398, DANRE24481, DANRE24482
OG0000061	bflo_19609, bflo_18544, bflo_19608, bflo_19290	DANRE26341, DANRE29170
OG0000062	bflo_17250, bflo_01624	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570
OG0000062	bflo_13529	DANRE18807, DANRE18806
OG0000063	bflo_25923	DANRE15770
OG0000063	bflo_25147	DANRE36896
OG0000063	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205
OG0000066	bflo_04761, bflo_11842	DANRE40339, DANRE40338, DANRE40337, DANRE40336
OG0000067	bflo_06923, bflo_06916, bflo_24559, bflo_02686, bflo_17376, bflo_24606, bflo_18581, bflo_07727, bflo_04022, bflo_03936	DANRE18991
OG0000069	bflo_09323, bflo_20543, bflo_20542, bflo_20541, bflo_27333, bflo_05086, bflo_23255, bflo_23256	DANRE26091
OG0000069	bflo_26384	DANRE26081, DANRE37466
OG0000069	bflo_23212	DANRE37428, DANRE26098
OG0000069	bflo_01849	DANRE37444, DANRE37413, DANRE37438, DANRE37456, DANRE26073
OG0000069	bflo_23216, bflo_23215	DANRE26154
OG0000069	bflo_17459	DANRE26088
OG0000069	bflo_23214	DANRE26077, DANRE26160, DANRE39502, DANRE39507, DANRE39496, DANRE39492, DANRE37450, DANRE26173, DANRE26170, DANRE26153, DANRE26152
OG0000069	bflo_05168	DANRE24751, DANRE34404, DANRE30153, DANRE08957, DANRE08956
OG0000069	bflo_25591	DANRE37404
