Orthogroup	BRAFL	YEAST
OG0000058	bflo_23140, bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935, bflo_19243, bflo_19245, bflo_19244, bflo_23048, bflo_23141, bflo_00086, bflo_23948, bflo_23142, bflo_24605, bflo_23135, bflo_23136	YEAST02120
OG0000069	bflo_20543, bflo_20542, bflo_20541, bflo_27333	YEAST03661
OG0000069	bflo_05168, bflo_23210	YEAST05172
OG0000079	bflo_00523, bflo_07371, bflo_20026, bflo_01658, bflo_04787, bflo_15789, bflo_21965, bflo_10278, bflo_21970, bflo_21968	YEAST05330
OG0000082	bflo_15900	YEAST03287
OG0000082	bflo_04889	YEAST04267, YEAST01834, YEAST03359
OG0000082	bflo_00187, bflo_13856	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000095	bflo_25489, bflo_01865, bflo_25182, bflo_11841, bflo_01804, bflo_01739, bflo_17156, bflo_03512	YEAST02993
OG0000096	bflo_21246, bflo_21213, bflo_11038	YEAST02643
OG0000096	bflo_17838	YEAST00638
OG0000096	bflo_24085, bflo_09131, bflo_03032, bflo_18893	YEAST05104, YEAST05564
OG0000103	bflo_00032, bflo_11180, bflo_11085, bflo_11875, bflo_11184, bflo_11179, bflo_11874, bflo_25842, bflo_00020, bflo_18284, bflo_20618, bflo_18283, bflo_17924, bflo_17758, bflo_00063, bflo_17754, bflo_17756, bflo_17751, bflo_17755, bflo_17752, bflo_00064, bflo_17757, bflo_17750, bflo_17749, bflo_23149, bflo_23791	YEAST02873
OG0000107	bflo_01852, bflo_21611, bflo_26398, bflo_23217, bflo_23247, bflo_21610, bflo_20401, bflo_23244, bflo_17463, bflo_12094, bflo_23245, bflo_23246, bflo_03338, bflo_03337, bflo_23249, bflo_23248	YEAST05173
OG0000113	bflo_25033, bflo_24791, bflo_00623, bflo_03827, bflo_03944, bflo_03952, bflo_03218, bflo_03217, bflo_01136, bflo_03958, bflo_03967, bflo_13900, bflo_13882, bflo_00036, bflo_24516, bflo_04504, bflo_07619	YEAST00378, YEAST01351, YEAST05581
OG0000116	bflo_08689, bflo_20788, bflo_20782, bflo_23861, bflo_08705, bflo_06882, bflo_01577, bflo_01252, bflo_01251, bflo_01104, bflo_06969, bflo_01254, bflo_20127, bflo_20129, bflo_18429, bflo_17359, bflo_03403, bflo_05410, bflo_25141	YEAST04456
OG0000122	bflo_02060, bflo_02098, bflo_02745, bflo_02079	YEAST04928
OG0000124	bflo_00313	YEAST01581, YEAST05113, YEAST03767
OG0000124	bflo_24557	YEAST04122
OG0000127	bflo_07113, bflo_07092, bflo_21614, bflo_21827, bflo_05798, bflo_06367, bflo_23284	YEAST06208
OG0000132	bflo_17456, bflo_25589, bflo_26376, bflo_25953, bflo_25590, bflo_25949, bflo_26371, bflo_26369, bflo_26372, bflo_00097, bflo_26373, bflo_26370, bflo_01753, bflo_26374, bflo_03326, bflo_03327, bflo_20394, bflo_21602, bflo_21603, bflo_03325, bflo_23200, bflo_23203, bflo_23205, bflo_23199, bflo_23202, bflo_23438	YEAST06016
OG0000137	bflo_09259, bflo_06365, bflo_20235, bflo_02070, bflo_04279, bflo_15519, bflo_14495, bflo_03009, bflo_18504, bflo_17184, bflo_22195, bflo_08835, bflo_10584, bflo_17627, bflo_17554, bflo_17629, bflo_17769	YEAST01851, YEAST00637
OG0000142	bflo_03118, bflo_25749, bflo_08776	YEAST02122
OG0000158	bflo_05936, bflo_15817	YEAST05568
OG0000160	bflo_01705, bflo_19837, bflo_19835, bflo_19840, bflo_22050, bflo_20492, bflo_19926, bflo_19836, bflo_19925, bflo_01559	YEAST04194
OG0000175	bflo_23016, bflo_27417, bflo_07263, bflo_01467, bflo_01116, bflo_12851, bflo_01312, bflo_01117, bflo_13246, bflo_27066, bflo_13038	YEAST00850, YEAST04327
OG0000179	bflo_08207, bflo_09019, bflo_09021	YEAST01123, YEAST04430
OG0000179	bflo_26285, bflo_26298, bflo_13642, bflo_13826, bflo_13967	YEAST02911, YEAST01281
OG0000179	bflo_14243	YEAST04108, YEAST03346
OG0000181	bflo_18642, bflo_10985, bflo_08690, bflo_05297	YEAST00824, YEAST00771
OG0000186	bflo_02546, bflo_02812, bflo_05784, bflo_16204, bflo_11482, bflo_17090, bflo_18489, bflo_18356, bflo_14115, bflo_13692, bflo_00080, bflo_21334, bflo_22015, bflo_07429, bflo_22026, bflo_22016, bflo_27377	YEAST00336
OG0000194	bflo_21202, bflo_21234, bflo_21437, bflo_25298, bflo_22596, bflo_13875, bflo_04521, bflo_09655, bflo_21442, bflo_16208, bflo_22482, bflo_21915, bflo_13415	YEAST01410
OG0000195	bflo_12247, bflo_11387, bflo_11071, bflo_22055, bflo_06670, bflo_06671, bflo_06263, bflo_21166	YEAST03414
OG0000211	bflo_12798, bflo_24378, bflo_09336, bflo_12040, bflo_25935, bflo_18019, bflo_09637, bflo_14216, bflo_06051, bflo_25629, bflo_06787	YEAST04964
OG0000221	bflo_02108, bflo_18535, bflo_18534, bflo_24796, bflo_00282	YEAST05872
OG0000222	bflo_14099, bflo_07131, bflo_00039, bflo_14098, bflo_15183, bflo_14097, bflo_00040, bflo_14514, bflo_24486, bflo_24255, bflo_05542	YEAST01460
OG0000225	bflo_11467, bflo_12198	YEAST06146
OG0000227	bflo_02314, bflo_02307, bflo_02636, bflo_10496	YEAST05815
OG0000228	bflo_06571, bflo_01182, bflo_20305, bflo_19868, bflo_18790, bflo_01983	YEAST04750
OG0000233	bflo_13285, bflo_18558, bflo_15944, bflo_15706, bflo_16241, bflo_16463	YEAST03726, YEAST03241, YEAST03242
OG0000238	bflo_23355, bflo_22808, bflo_13165, bflo_16032	YEAST06340, YEAST03834
OG0000240	bflo_04930	YEAST03827
OG0000240	bflo_08297, bflo_08298	YEAST04973
OG0000242	bflo_20686, bflo_18452, bflo_03394, bflo_03145, bflo_03738, bflo_12023, bflo_11849	YEAST00734
OG0000246	bflo_18308, bflo_04734, bflo_17998, bflo_02064, bflo_02119, bflo_00811, bflo_01094, bflo_01324, bflo_01096, bflo_00005, bflo_00017, bflo_04772	YEAST01746, YEAST01747
OG0000250	bflo_18168, bflo_27471, bflo_01291, bflo_19301, bflo_13424, bflo_14740, bflo_07487, bflo_03907	YEAST04716
OG0000255	bflo_20253, bflo_25398, bflo_21759, bflo_02995, bflo_03545, bflo_03501, bflo_09026, bflo_10822, bflo_26943, bflo_10188	YEAST02822
OG0000256	bflo_15939, bflo_05770, bflo_15447, bflo_15439, bflo_16355, bflo_06565, bflo_06704, bflo_05769, bflo_05771, bflo_02366	YEAST00266
OG0000258	bflo_22962, bflo_12243, bflo_27029, bflo_09846	YEAST00118
OG0000260	bflo_11239, bflo_10598	YEAST04323
OG0000265	bflo_11416	YEAST03885, YEAST03714
OG0000272	bflo_20963, bflo_15845, bflo_19452, bflo_16180, bflo_22100, bflo_15847, bflo_15430, bflo_01179, bflo_15846, bflo_01687	YEAST02076, YEAST01066
OG0000274	bflo_03639, bflo_26555, bflo_20638, bflo_07830, bflo_10410, bflo_02585, bflo_02441, bflo_02584, bflo_02210, bflo_03644, bflo_03640, bflo_03267, bflo_03269	YEAST02118, YEAST04573, YEAST01485
OG0000278	bflo_14386	YEAST03847
OG0000278	bflo_14160	YEAST03806
OG0000278	bflo_07463	YEAST04060
OG0000284	bflo_15835, bflo_05726, bflo_25543	YEAST05621
OG0000289	bflo_06472, bflo_25546, bflo_09861, bflo_09862	YEAST00645
OG0000305	bflo_11095, bflo_00776, bflo_26487	YEAST04899
OG0000308	bflo_21090, bflo_19079, bflo_23683, bflo_01607, bflo_12857	YEAST02548
OG0000310	bflo_21799, bflo_21828, bflo_21878, bflo_21890, bflo_21800, bflo_21316, bflo_21317, bflo_11809, bflo_11498, bflo_22698	YEAST02635
OG0000312	bflo_02438, bflo_02608, bflo_22345, bflo_14984	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	bflo_07081, bflo_24346	YEAST05106
OG0000316	bflo_26453, bflo_15463, bflo_07930, bflo_06029, bflo_05786	YEAST01673
OG0000317	bflo_27179, bflo_16112, bflo_25588, bflo_06250	YEAST01356
OG0000321	bflo_25250, bflo_14252, bflo_21833, bflo_24234	YEAST03264
OG0000323	bflo_20633, bflo_05046, bflo_06855, bflo_00944	YEAST02249
OG0000326	bflo_24771	YEAST06268, YEAST05286
OG0000326	bflo_24244, bflo_18099, bflo_05436, bflo_02499, bflo_17884, bflo_00946, bflo_00937, bflo_00010, bflo_00928, bflo_00963	YEAST06056
OG0000326	bflo_15022	YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102
OG0000327	bflo_09079, bflo_08966, bflo_02571	YEAST01354
OG0000338	bflo_20075, bflo_21195	YEAST02967
OG0000338	bflo_13201	YEAST04211
OG0000343	bflo_17341	YEAST03024, YEAST02736
OG0000345	bflo_07289, bflo_07615, bflo_10887, bflo_01446	YEAST01884
OG0000352	bflo_25258, bflo_17369, bflo_04494	YEAST04069
OG0000357	bflo_21193, bflo_12361	YEAST01925
OG0000359	bflo_23810, bflo_20615, bflo_21858, bflo_21418, bflo_21948, bflo_11427, bflo_22311, bflo_01605, bflo_14379	YEAST02489
OG0000363	bflo_16028, bflo_19825, bflo_20728, bflo_20486, bflo_19824, bflo_21073, bflo_04943	YEAST04081, YEAST05870
OG0000365	bflo_25324, bflo_18240	YEAST05831
OG0000367	bflo_12373, bflo_12346, bflo_01421	YEAST02141, YEAST03746, YEAST03210
OG0000372	bflo_24061, bflo_15126, bflo_06799	YEAST05988
OG0000373	bflo_20268, bflo_20832	YEAST02023
OG0000373	bflo_22970	YEAST04495, YEAST01417, YEAST05964
OG0000380	bflo_13786, bflo_25961, bflo_26368, bflo_26363, bflo_21905, bflo_09502, bflo_00556, bflo_19004, bflo_00616, bflo_09262, bflo_20427, bflo_01996	YEAST01047
OG0000385	bflo_19604, bflo_18599	YEAST03496
OG0000393	bflo_09981, bflo_03395, bflo_12314, bflo_10658, bflo_09983, bflo_13075, bflo_09730	YEAST04072, YEAST04071
OG0000393	bflo_12974	YEAST01302
OG0000397	bflo_09318	YEAST05080
OG0000399	bflo_18860, bflo_06800, bflo_08038	YEAST02160
OG0000400	bflo_17776, bflo_19312, bflo_10838, bflo_16066, bflo_00008	YEAST05911
OG0000402	bflo_10632, bflo_09977, bflo_13338, bflo_13171	YEAST01657, YEAST01929
OG0000405	bflo_06572	YEAST06055, YEAST00411
OG0000412	bflo_08591, bflo_05972, bflo_16322	YEAST04469
OG0000413	bflo_14739	YEAST04905, YEAST05340
OG0000413	bflo_21427	YEAST02838
OG0000419	bflo_03805, bflo_06647, bflo_09952, bflo_07379	YEAST05989
OG0000420	bflo_17746, bflo_20236, bflo_23413, bflo_23958, bflo_23642, bflo_23570, bflo_23412, bflo_07686, bflo_23569, bflo_23414, bflo_07685	YEAST03886
OG0000424	bflo_07069, bflo_07072, bflo_03509, bflo_03507	YEAST03563
OG0000426	bflo_10409	YEAST03848, YEAST01121
OG0000427	bflo_09135, bflo_24135, bflo_24132, bflo_23993, bflo_24588	YEAST02655, YEAST02439
OG0000429	bflo_09712, bflo_01906, bflo_00989, bflo_26612, bflo_00993, bflo_00990, bflo_05299, bflo_17239, bflo_05214, bflo_17214	YEAST02285
OG0000431	bflo_23110, bflo_21622	YEAST04014
OG0000433	bflo_22961, bflo_20671, bflo_17648	YEAST06177, YEAST00117
OG0000437	bflo_16797, bflo_13738, bflo_16390, bflo_13496	YEAST03074, YEAST02073
OG0000442	bflo_21599, bflo_17568, bflo_17631	YEAST05012
OG0000444	bflo_10204, bflo_10684	YEAST01115, YEAST04019
OG0000445	bflo_24863, bflo_01964, bflo_05054, bflo_18289, bflo_00589, bflo_06262, bflo_07278	YEAST03068
OG0000450	bflo_20906	YEAST04709, YEAST05909
OG0000461	bflo_20096	YEAST00120
OG0000467	bflo_11110	YEAST03162
OG0000468	bflo_03275, bflo_03654, bflo_03645, bflo_03264, bflo_03637, bflo_12349, bflo_09961, bflo_09959, bflo_09520, bflo_23431	YEAST04372
OG0000469	bflo_11324	YEAST02179, YEAST05440
OG0000469	bflo_04725	YEAST00863
OG0000474	bflo_00234, bflo_26570, bflo_00340	YEAST02384
OG0000476	bflo_17083, bflo_17081, bflo_27202, bflo_17084, bflo_17087, bflo_06569, bflo_06568, bflo_06570	YEAST03038
OG0000479	bflo_17734, bflo_20950	YEAST04139
OG0000480	bflo_24500, bflo_24748	YEAST05750
OG0000481	bflo_20169, bflo_20171	YEAST01040
OG0000481	bflo_15712	YEAST00916
OG0000481	bflo_07346	YEAST00827, YEAST00774
OG0000484	bflo_25251	YEAST05824
OG0000486	bflo_25698, bflo_15799, bflo_16994, bflo_13974, bflo_02817, bflo_07531	YEAST03122, YEAST04270
OG0000487	bflo_00817, bflo_09879	YEAST04968
OG0000487	bflo_14910, bflo_09870, bflo_09874, bflo_14913	YEAST02728
OG0000488	bflo_07158, bflo_07132, bflo_01931, bflo_26845, bflo_07048, bflo_12530	YEAST01414
OG0000490	bflo_16287	YEAST04297, YEAST00894
OG0000505	bflo_07768, bflo_07648, bflo_07767	YEAST03067
OG0000508	bflo_18835, bflo_00915, bflo_20411	YEAST04626
OG0000510	bflo_00250	YEAST04569, YEAST05730
OG0000515	bflo_07840, bflo_19448	YEAST04784, YEAST05876
OG0000519	bflo_04746, bflo_19841	YEAST04594, YEAST03616
OG0000520	bflo_20469, bflo_23733, bflo_07206	YEAST02979
OG0000523	bflo_20597, bflo_05805, bflo_15596, bflo_15930, bflo_15929, bflo_01419, bflo_01438	YEAST01952, YEAST05838, YEAST06082
OG0000529	bflo_24350, bflo_05041	YEAST05790, YEAST00048
OG0000534	bflo_19475, bflo_19472, bflo_23132	YEAST04932
OG0000549	bflo_01736, bflo_06860, bflo_06875, bflo_06867, bflo_06869, bflo_06873, bflo_08772, bflo_09508, bflo_08773, bflo_17976, bflo_10802, bflo_09069, bflo_07906	YEAST06280, YEAST02610, YEAST05060
OG0000552	bflo_07608, bflo_14381, bflo_22570, bflo_14667	YEAST05717
OG0000556	bflo_04590, bflo_27152, bflo_04594, bflo_04578, bflo_04602, bflo_04580, bflo_26760, bflo_04569, bflo_04581, bflo_14127, bflo_14889, bflo_14921, bflo_15340, bflo_14848, bflo_14895, bflo_14908, bflo_15484, bflo_04603, bflo_04605, bflo_04604, bflo_26761, bflo_04608, bflo_04577, bflo_04607, bflo_04609, bflo_14180, bflo_14902, bflo_15488, bflo_14896, bflo_14893, bflo_18541, bflo_14888, bflo_14898, bflo_04598, bflo_04601, bflo_15483, bflo_14455, bflo_15489, bflo_27151, bflo_15480, bflo_15486, bflo_15490, bflo_15481, bflo_20909, bflo_04596, bflo_15491, bflo_04588, bflo_04595, bflo_04614, bflo_04611, bflo_15493, bflo_15496, bflo_14899, bflo_14918, bflo_04612, bflo_14900, bflo_15341, bflo_14912, bflo_14904, bflo_14903, bflo_04618, bflo_14992	YEAST04616
OG0000561	bflo_08446, bflo_27388, bflo_22174, bflo_22164	YEAST06202, YEAST00331
OG0000562	bflo_01967, bflo_12589, bflo_27046	YEAST00314
OG0000563	bflo_03331, bflo_03330, bflo_03146	YEAST01406
OG0000566	bflo_08449, bflo_04927	YEAST05789, YEAST00049
OG0000573	bflo_24510, bflo_06124	YEAST05675
OG0000576	bflo_00644	YEAST00470, YEAST00193
OG0000579	bflo_12221	YEAST02484
OG0000582	bflo_16708	YEAST03615
OG0000587	bflo_22172	YEAST04063
OG0000587	bflo_21539	YEAST03372
OG0000588	bflo_25659, bflo_18379	YEAST05197
OG0000590	bflo_02465, bflo_13755	YEAST05110, YEAST05552, YEAST03727
OG0000592	bflo_18259, bflo_18186, bflo_18254, bflo_09136	YEAST00388
OG0000597	bflo_20762, bflo_20033, bflo_08218	YEAST04330
OG0000609	bflo_06226, bflo_10430, bflo_12331, bflo_11801, bflo_12180, bflo_10255, bflo_10429, bflo_02450, bflo_25757, bflo_26350	YEAST05180
OG0000612	bflo_10795, bflo_08808	YEAST02370
OG0000612	bflo_13076	YEAST03629
OG0000613	bflo_01058, bflo_06280	YEAST01072
OG0000623	bflo_05993	YEAST02411
OG0000623	bflo_18608, bflo_22702	YEAST05090
OG0000627	bflo_11148	YEAST02116, YEAST03957
OG0000639	bflo_00204, bflo_13390	YEAST02015
OG0000642	bflo_06990	YEAST00618
OG0000645	bflo_13206	YEAST05140
OG0000645	bflo_08017	YEAST04743
OG0000647	bflo_10183, bflo_23085, bflo_10185	YEAST04534
OG0000648	bflo_12702, bflo_12700	YEAST04178, YEAST05641
OG0000657	bflo_05123, bflo_08313, bflo_05126	YEAST03846
OG0000660	bflo_04466, bflo_18320, bflo_04617, bflo_13225	YEAST05150, YEAST01587
OG0000662	bflo_09255, bflo_23849	YEAST05937
OG0000663	bflo_00888, bflo_23628, bflo_06338, bflo_09350, bflo_14827, bflo_17699, bflo_17700, bflo_26019, bflo_04171, bflo_19376, bflo_07527, bflo_18187, bflo_21305, bflo_20187, bflo_21950, bflo_22513, bflo_05465, bflo_05466, bflo_00037, bflo_15313, bflo_20650, bflo_04957, bflo_04955, bflo_13482	YEAST02675, YEAST03294
OG0000672	bflo_21591	YEAST03771
OG0000672	bflo_18607	YEAST00984
OG0000676	bflo_01208	YEAST01503
OG0000676	bflo_21661	YEAST02962
OG0000683	bflo_08553, bflo_25223	YEAST03152, YEAST03537, YEAST05938
OG0000690	bflo_00919	YEAST04874
OG0000690	bflo_17423	YEAST02296
OG0000692	bflo_25652	YEAST01969
OG0000692	bflo_06417, bflo_03456, bflo_18236, bflo_07356, bflo_24982, bflo_16738	YEAST03487
OG0000694	bflo_13584, bflo_22435, bflo_13061, bflo_17901, bflo_16417	YEAST05978
OG0000699	bflo_22458	YEAST05706
OG0000701	bflo_10548	YEAST02239, YEAST02223
OG0000703	bflo_07565	YEAST05314
OG0000708	bflo_25666, bflo_11530	YEAST05997
OG0000709	bflo_24062	YEAST00057
OG0000724	bflo_17159	YEAST02013
OG0000732	bflo_21787, bflo_25639	YEAST04978
OG0000733	bflo_12810, bflo_07935	YEAST05474
OG0000735	bflo_01496	YEAST05945
OG0000737	bflo_09049	YEAST05188
OG0000744	bflo_07888, bflo_08706, bflo_13928	YEAST05951
OG0000745	bflo_16822, bflo_19075, bflo_22342	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	bflo_09173, bflo_17530, bflo_25764	YEAST01432, YEAST04483
OG0000753	bflo_07197, bflo_21758	YEAST01034, YEAST02037
OG0000757	bflo_14431, bflo_20811, bflo_18826, bflo_04296	YEAST01489
OG0000758	bflo_01097	YEAST01504
OG0000759	bflo_02579, bflo_02659	YEAST02878, YEAST05681
OG0000768	bflo_12288	YEAST02560, YEAST04269
OG0000772	bflo_08683, bflo_02996, bflo_06062, bflo_13063	YEAST04929
OG0000776	bflo_09243, bflo_19338, bflo_21158, bflo_19331, bflo_19332	YEAST04571, YEAST00195, YEAST00312
OG0000777	bflo_23099	YEAST06297, YEAST02627
OG0000779	bflo_16829, bflo_05592	YEAST03812
OG0000782	bflo_25636	YEAST01393, YEAST05616
OG0000791	bflo_18766	YEAST02375
OG0000794	bflo_20321, bflo_27324	YEAST04627
OG0000800	bflo_09025	YEAST03636
OG0000809	bflo_25858	YEAST01998
OG0000817	bflo_00856, bflo_07439	YEAST00389
OG0000817	bflo_18969	YEAST06112
OG0000824	bflo_13274	YEAST01319, YEAST02883
OG0000828	bflo_12837, bflo_12204, bflo_07597	YEAST00945, YEAST05476, YEAST00075
OG0000828	bflo_20839	YEAST02290
OG0000837	bflo_00035, bflo_12566, bflo_01440, bflo_15081, bflo_01439	YEAST06222
OG0000841	bflo_13469	YEAST02416
OG0000847	bflo_21169	YEAST02881, YEAST03544, YEAST06198
OG0000847	bflo_20471	YEAST02530, YEAST00209
OG0000849	bflo_02361, bflo_19468	YEAST04475
OG0000850	bflo_25536, bflo_08991	YEAST04287
OG0000852	bflo_13268	YEAST01266
OG0000854	bflo_00536, bflo_07303, bflo_07298, bflo_18632, bflo_26078, bflo_07314, bflo_07317, bflo_07311, bflo_07307, bflo_01973, bflo_16247, bflo_16220, bflo_16222, bflo_16356, bflo_11684	YEAST00248
OG0000855	bflo_04775, bflo_04776, bflo_16604, bflo_04853, bflo_16597	YEAST04755
OG0000857	bflo_03314	YEAST00309
OG0000868	bflo_17556	YEAST06157
OG0000871	bflo_17545, bflo_10176	YEAST03857
OG0000872	bflo_03017	YEAST03222, YEAST03741
OG0000875	bflo_01017, bflo_19415	YEAST00077
OG0000876	bflo_02085	YEAST05556
OG0000879	bflo_21594, bflo_19083, bflo_24230, bflo_18829, bflo_05186	YEAST06123
OG0000888	bflo_05276, bflo_05832, bflo_07374, bflo_19321	YEAST00288
OG0000889	bflo_12593, bflo_21142	YEAST00175
OG0000894	bflo_14750, bflo_23023	YEAST03763
OG0000896	bflo_13131	YEAST02476
OG0000896	bflo_09970	YEAST04923
OG0000898	bflo_01661, bflo_27387, bflo_22383, bflo_18644, bflo_18960, bflo_18639, bflo_18641, bflo_02165, bflo_17589, bflo_03891, bflo_03889, bflo_01144, bflo_14148, bflo_11015, bflo_21729, bflo_00527, bflo_15462, bflo_07227, bflo_12625, bflo_26024	YEAST06255, YEAST03431
OG0000905	bflo_26708, bflo_03252, bflo_03307, bflo_03660	YEAST00599
OG0000907	bflo_25628	YEAST02193
OG0000913	bflo_14588	YEAST03557, YEAST05101
OG0000914	bflo_10973	YEAST04745
OG0000921	bflo_15652	YEAST02526
OG0000925	bflo_09205, bflo_22447	YEAST05667, YEAST06025
OG0000932	bflo_19999	YEAST03525
OG0000933	bflo_21958	YEAST06306
