Orthogroup	BRAFL	DROME
OG0000048	bflo_15152	DROME07309
OG0000048	bflo_07462	DROME15626, DROME15625
OG0000048	bflo_17882, bflo_09143, bflo_09129, bflo_09102, bflo_27224, bflo_13732, bflo_11483, bflo_11417, bflo_05102, bflo_05104, bflo_17693, bflo_18962, bflo_22214, bflo_23171, bflo_19625, bflo_19404, bflo_20902, bflo_17669	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000048	bflo_12849	DROME01500
OG0000049	bflo_24254	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606
OG0000049	bflo_17096, bflo_11847	DROME18357, DROME18359, DROME18358
OG0000051	bflo_08711	DROME06654, DROME06655
OG0000054	bflo_16354, bflo_16689	DROME20361
OG0000054	bflo_04388	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284, bflo_15164	DROME21992
OG0000055	bflo_18013, bflo_21433, bflo_23317, bflo_23228, bflo_23240, bflo_23399, bflo_03335, bflo_20398, bflo_22481, bflo_20399, bflo_25595, bflo_25598, bflo_25596, bflo_17462, bflo_26379, bflo_26397, bflo_26396, bflo_26392, bflo_26395, bflo_26394, bflo_21609, bflo_21608, bflo_03336, bflo_23232, bflo_23227, bflo_23233, bflo_23235, bflo_23230, bflo_23231, bflo_23229, bflo_23234, bflo_23239, bflo_23195, bflo_23241, bflo_23237	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000056	bflo_22428	DROME04626, DROME04628, DROME04625, DROME04627, DROME04623, DROME04624
OG0000058	bflo_09144	DROME06565
OG0000058	bflo_09194	DROME14598
OG0000058	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731
OG0000060	bflo_25984, bflo_26009	DROME18201
OG0000060	bflo_26723, bflo_02982, bflo_03812, bflo_03632, bflo_12626, bflo_02984, bflo_03589, bflo_02972, bflo_03696, bflo_03780, bflo_15133, bflo_15228, bflo_04988, bflo_15129, bflo_15134, bflo_15132, bflo_15227, bflo_01835, bflo_00757, bflo_01800	DROME07035, DROME07034, DROME07036, DROME07859, DROME07858, DROME04014, DROME07857, DROME07856, DROME07855, DROME07854, DROME18200, DROME07037, DROME07038, DROME04458, DROME04457, DROME19175, DROME06539, DROME06538, DROME20480, DROME07291, DROME06112, DROME00867, DROME00220
OG0000060	bflo_15783	DROME15948
OG0000060	bflo_01709	DROME00430
OG0000061	bflo_18545	DROME05786, DROME05785, DROME05787, DROME20453
OG0000061	bflo_19609, bflo_18544, bflo_19608, bflo_19290	DROME05579, DROME05580, DROME06033
OG0000061	bflo_18543, bflo_02187, bflo_02797, bflo_02329, bflo_02369	DROME18900, DROME18901, DROME18899
OG0000062	bflo_13529	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000067	bflo_08170	DROME11908, DROME11924, DROME11927, DROME05633
OG0000068	bflo_12120	DROME18366, DROME18368, DROME18367
OG0000069	bflo_26382	DROME03768
OG0000069	bflo_09323, bflo_20543, bflo_20542, bflo_20541, bflo_27333, bflo_05086, bflo_23255, bflo_23256	DROME03713
OG0000069	bflo_26384	DROME03782
OG0000069	bflo_23212	DROME03778
OG0000069	bflo_23216, bflo_23215	DROME03748
OG0000069	bflo_17459	DROME03680
OG0000069	bflo_23214	DROME03689, DROME03743, DROME03723, DROME03773
OG0000069	bflo_05168	DROME19859
OG0000069	bflo_23210	DROME00928
OG0000069	bflo_24611	DROME03718
OG0000069	bflo_25591	DROME03758, DROME03753
OG0000070	bflo_17097, bflo_18391, bflo_18274	DROME04028, DROME04029, DROME06783
OG0000070	bflo_26467, bflo_13324, bflo_13447, bflo_13247, bflo_14268, bflo_27427, bflo_23408	DROME17588, DROME17589, DROME19032
OG0000072	bflo_14354, bflo_14353	DROME12247, DROME12248
OG0000072	bflo_04637	DROME00154
OG0000072	bflo_14474	DROME00750
OG0000072	bflo_07359	DROME14913
OG0000072	bflo_08698	DROME11831, DROME14422
OG0000074	bflo_10921	DROME03014
OG0000075	bflo_02500	DROME01374
OG0000075	bflo_02607	DROME01373
OG0000075	bflo_02487	DROME01375
OG0000075	bflo_12166	DROME04883, DROME04882
OG0000077	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366	DROME15696, DROME15698, DROME15697
OG0000077	bflo_18777, bflo_23174	DROME07079, DROME07077, DROME07078
OG0000077	bflo_09163	DROME18051
OG0000078	bflo_23379, bflo_23493	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111
OG0000079	bflo_07371	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	bflo_20026	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000079	bflo_01658	DROME01298
OG0000081	bflo_04833	DROME19963
OG0000081	bflo_20800, bflo_12774	DROME19345, DROME19344
OG0000082	bflo_15900	DROME20298
OG0000082	bflo_04889	DROME05998
OG0000082	bflo_00187	DROME11174, DROME11173, DROME15008
OG0000082	bflo_13856	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705
OG0000083	bflo_14979, bflo_14980, bflo_14849, bflo_14850, bflo_15203, bflo_08533	DROME17112
OG0000084	bflo_10754	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	bflo_08430	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833
OG0000085	bflo_12569	DROME00999, DROME00998, DROME01000
OG0000085	bflo_18272, bflo_18210	DROME10832, DROME10831
OG0000087	bflo_21260	DROME22088
OG0000087	bflo_08316, bflo_08208	DROME21450
OG0000087	bflo_02949, bflo_07784, bflo_11840	DROME03097
OG0000087	bflo_11911	DROME08842
OG0000087	bflo_22659, bflo_03240	DROME09495
OG0000088	bflo_12484, bflo_25913, bflo_26055, bflo_02835, bflo_07337, bflo_02839, bflo_02837, bflo_19718, bflo_03903, bflo_20323, bflo_00738	DROME01198, DROME01197
OG0000090	bflo_16621	DROME02752
OG0000090	bflo_15352	DROME00161, DROME00160, DROME00159, DROME00158
OG0000090	bflo_02393	DROME16241, DROME16240, DROME16239
OG0000091	bflo_21154, bflo_01995, bflo_01717, bflo_21558, bflo_12883, bflo_00479, bflo_26528, bflo_26529, bflo_00481, bflo_00480, bflo_15837, bflo_17845, bflo_25328, bflo_15820, bflo_15823	DROME00247, DROME16587, DROME05722, DROME16586, DROME16589, DROME16588, DROME21691, DROME21692, DROME21693, DROME16133, DROME19941
OG0000094	bflo_11484	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	bflo_25489, bflo_01865, bflo_25182, bflo_11841, bflo_01804, bflo_01739, bflo_17156, bflo_03512	DROME01438
OG0000096	bflo_21246, bflo_21213	DROME08195, DROME08196
OG0000096	bflo_11038	DROME08870
OG0000096	bflo_17838	DROME13163
OG0000096	bflo_24085, bflo_09131	DROME13915
OG0000096	bflo_03032	DROME09341
OG0000098	bflo_05564	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000099	bflo_14861, bflo_14862	DROME10335, DROME10334, DROME09743
OG0000099	bflo_18245	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996
OG0000100	bflo_04767	DROME09951
OG0000100	bflo_21405, bflo_11298, bflo_12376	DROME10813
OG0000101	bflo_05084, bflo_22415, bflo_05083, bflo_05081, bflo_22031, bflo_21326, bflo_22414, bflo_22046, bflo_05082, bflo_21328, bflo_21327, bflo_18450	DROME05458
OG0000103	bflo_00032, bflo_11180, bflo_11085, bflo_11875, bflo_11184, bflo_11179, bflo_11874, bflo_25842, bflo_00020, bflo_18284, bflo_20618, bflo_18283, bflo_17924, bflo_17758, bflo_00063, bflo_17754, bflo_17756, bflo_17751, bflo_17755, bflo_17752, bflo_00064, bflo_17757, bflo_17750, bflo_17749, bflo_23149	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989
OG0000103	bflo_23791	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000104	bflo_11828, bflo_20119	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670
OG0000104	bflo_00906	DROME16895, DROME16894
OG0000104	bflo_09275	DROME16546, DROME16548, DROME16547, DROME16549
OG0000104	bflo_06949	DROME17321, DROME17322
OG0000106	bflo_13898	DROME19783
OG0000106	bflo_13906, bflo_13902, bflo_13905	DROME02609
OG0000106	bflo_21022, bflo_22434, bflo_24648, bflo_24024, bflo_24023	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000107	bflo_26398	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752
OG0000110	bflo_13869, bflo_25534, bflo_09017, bflo_25934, bflo_26322	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727
OG0000111	bflo_23465, bflo_23571, bflo_23573, bflo_20710, bflo_08602, bflo_05768, bflo_25968, bflo_26203, bflo_01089, bflo_06150, bflo_06575, bflo_18443, bflo_07865, bflo_25866, bflo_23409, bflo_23905, bflo_22622, bflo_13544, bflo_21580, bflo_07025, bflo_01278, bflo_13984	DROME11971, DROME11972, DROME11973, DROME11975
OG0000113	bflo_25033, bflo_24791, bflo_00623, bflo_03827, bflo_03944, bflo_03952, bflo_03218, bflo_03217, bflo_01136, bflo_03958, bflo_03967	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
OG0000113	bflo_24516, bflo_04504, bflo_07619	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090
OG0000114	bflo_16447, bflo_20688, bflo_23618, bflo_04836, bflo_00471, bflo_24385, bflo_07559	DROME04013, DROME04512, DROME04513
OG0000116	bflo_05410, bflo_25141	DROME05231
OG0000117	bflo_22010	DROME17123
OG0000119	bflo_07858, bflo_19358, bflo_19300	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
OG0000119	bflo_19582, bflo_19602, bflo_19603, bflo_19479	DROME21220, DROME21219
OG0000119	bflo_18609	DROME06207, DROME06208, DROME08017, DROME06209
OG0000121	bflo_11325, bflo_07518	DROME17781, DROME08015
OG0000121	bflo_24496, bflo_24584	DROME10532
OG0000122	bflo_02060, bflo_02098, bflo_02745	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476
OG0000122	bflo_02079	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000123	bflo_10734	DROME17732, DROME17730, DROME17731
OG0000124	bflo_12150, bflo_12152, bflo_22917	DROME08713, DROME09900
OG0000124	bflo_24557	DROME21734
OG0000125	bflo_02406	DROME11932, DROME11934, DROME11935, DROME11936, DROME11933
OG0000125	bflo_04110	DROME04039, DROME04040, DROME04038
OG0000126	bflo_09507	DROME01805, DROME01804
OG0000126	bflo_21252	DROME21081, DROME21082, DROME21083, DROME21080
OG0000126	bflo_14089	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804
OG0000126	bflo_04718	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471
OG0000127	bflo_21827	DROME11205, DROME11204
OG0000127	bflo_05798	DROME08158
OG0000127	bflo_06367	DROME05986
OG0000127	bflo_23284	DROME18062
OG0000129	bflo_10761, bflo_09267	DROME07177, DROME07176, DROME07178, DROME10520
OG0000129	bflo_24146	DROME21055
OG0000130	bflo_08589, bflo_24777	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860
OG0000131	bflo_09427	DROME18073, DROME18075, DROME18074
OG0000132	bflo_17456, bflo_25589, bflo_26376, bflo_25953, bflo_25590, bflo_25949, bflo_26371, bflo_26369, bflo_26372, bflo_00097, bflo_26373, bflo_26370, bflo_01753, bflo_26374, bflo_03326, bflo_03327, bflo_20394, bflo_21602, bflo_21603, bflo_03325, bflo_23200, bflo_23203, bflo_23205, bflo_23199, bflo_23202	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774
OG0000144	bflo_06278, bflo_09394	DROME21183
OG0000147	bflo_24794	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556
OG0000147	bflo_01706	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266
OG0000147	bflo_26820, bflo_06307	DROME03466
OG0000147	bflo_09430	DROME17452, DROME17451
OG0000148	bflo_10991	DROME19762, DROME19761, DROME19763
OG0000148	bflo_17467, bflo_17466	DROME12939
OG0000149	bflo_07018, bflo_07764, bflo_07398, bflo_13976, bflo_13431, bflo_02277, bflo_07407	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236
OG0000149	bflo_07834	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699
OG0000154	bflo_17422	DROME12872, DROME12871
OG0000155	bflo_01192, bflo_04063, bflo_00310	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899
OG0000157	bflo_08074	DROME05619, DROME05620, DROME05621
OG0000157	bflo_10928, bflo_12452	DROME09786
OG0000157	bflo_13284	DROME05150, DROME05149
OG0000158	bflo_05936	DROME06825, DROME06824
OG0000159	bflo_18341	DROME09571, DROME09570
OG0000160	bflo_19837, bflo_19835, bflo_19840, bflo_22050, bflo_20492, bflo_19926, bflo_19836, bflo_19925, bflo_01559	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353
OG0000162	bflo_03351	DROME21138, DROME21116
OG0000162	bflo_03352, bflo_03068	DROME21145, DROME21122, DROME21105, DROME21144, DROME21140, DROME21154, DROME21132
OG0000162	bflo_00980	DROME08394, DROME08390, DROME08396, DROME08397, DROME08395, DROME08392, DROME08391, DROME08389, DROME08393
OG0000163	bflo_22675, bflo_22678, bflo_22689	DROME12520
OG0000163	bflo_00524	DROME19834, DROME00819
OG0000164	bflo_14791	DROME08486
OG0000167	bflo_06634	DROME04018, DROME04019
OG0000168	bflo_25648, bflo_06549, bflo_06560	DROME01783
OG0000171	bflo_20254	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199
