Orthogroup	BRAFL	SCHMD
OG0000006	bflo_22526, bflo_10066, bflo_10065, bflo_12576, bflo_23572, bflo_23665, bflo_23603, bflo_22579, bflo_06220, bflo_09963	SCHMD09638
OG0000006	bflo_08237	SCHMD23237
OG0000006	bflo_08431	SCHMD13710
OG0000006	bflo_10980	SCHMD18814
OG0000007	bflo_13266	SCHMD12323
OG0000007	bflo_16444, bflo_15598	SCHMD08294
OG0000007	bflo_06255	SCHMD22164, SCHMD13502
OG0000007	bflo_25603	SCHMD14635, SCHMD17075
OG0000007	bflo_10207	SCHMD03666
OG0000007	bflo_13742, bflo_13892, bflo_13084	SCHMD12296, SCHMD02893
OG0000007	bflo_00716, bflo_12223, bflo_16800	SCHMD08423
OG0000007	bflo_12369, bflo_21087, bflo_23309	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	bflo_23091	SCHMD19134
OG0000007	bflo_23283	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000007	bflo_11392	SCHMD02246
OG0000008	bflo_09106, bflo_19282	SCHMD02053
OG0000010	bflo_00973	SCHMD19321
OG0000010	bflo_07912, bflo_08373	SCHMD16346
OG0000010	bflo_08401, bflo_23855, bflo_02791, bflo_23795, bflo_23406	SCHMD02594, SCHMD02592
OG0000010	bflo_21956	SCHMD14061
OG0000010	bflo_08393, bflo_07884, bflo_12780, bflo_08406, bflo_13136	SCHMD05789, SCHMD04868
OG0000011	bflo_20761, bflo_05867	SCHMD05659
OG0000012	bflo_04680, bflo_21369, bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000015	bflo_14872	SCHMD16724
OG0000015	bflo_14874	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432
OG0000016	bflo_12769	SCHMD02183
OG0000017	bflo_00104, bflo_25509, bflo_12984, bflo_04739, bflo_02215	SCHMD13346
OG0000019	bflo_06284	SCHMD07568
OG0000020	bflo_19465	SCHMD00005
OG0000020	bflo_19726	SCHMD08736
OG0000020	bflo_13852	SCHMD24153
OG0000020	bflo_12267	SCHMD09886
OG0000020	bflo_16368	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	bflo_12821	SCHMD09794
OG0000021	bflo_27402, bflo_22537, bflo_22539, bflo_22305	SCHMD09793, SCHMD07893
OG0000021	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829
OG0000026	bflo_21516, bflo_21519, bflo_21523	SCHMD10899
OG0000026	bflo_06473	SCHMD22460
OG0000028	bflo_14636, bflo_15358	SCHMD09456, SCHMD01093
OG0000028	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959, bflo_06498, bflo_18107, bflo_25761, bflo_19766, bflo_19099	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	bflo_06341	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000029	bflo_00003	SCHMD10229, SCHMD16285, SCHMD03695, SCHMD08074, SCHMD15862
OG0000030	bflo_08323, bflo_05230	SCHMD17295
OG0000030	bflo_25955	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579
OG0000030	bflo_05555, bflo_23730	SCHMD25391
OG0000030	bflo_22462	SCHMD25427
OG0000031	bflo_02624, bflo_02501	SCHMD16950
OG0000031	bflo_02849	SCHMD11094
OG0000031	bflo_06369	SCHMD00185
OG0000031	bflo_11397, bflo_15458, bflo_15459	SCHMD17865
OG0000032	bflo_01810	SCHMD05706, SCHMD26195, SCHMD24540, SCHMD22975, SCHMD09223
OG0000032	bflo_01430	SCHMD05709
OG0000034	bflo_20016	SCHMD26718
OG0000034	bflo_20326	SCHMD13190, SCHMD26745
OG0000034	bflo_03308, bflo_13145	SCHMD11160, SCHMD18247
OG0000034	bflo_05871	SCHMD04875
OG0000034	bflo_03379	SCHMD07081
OG0000035	bflo_02157	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	bflo_09767, bflo_09277	SCHMD15627, SCHMD19701
OG0000036	bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808
OG0000037	bflo_18550, bflo_02879, bflo_10999	SCHMD19933
OG0000037	bflo_01343	SCHMD19522, SCHMD00541
OG0000037	bflo_01342	SCHMD00542, SCHMD17538
OG0000037	bflo_10180	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000038	bflo_16371, bflo_17414, bflo_18868, bflo_18778	SCHMD06293
OG0000038	bflo_16788	SCHMD15420
OG0000039	bflo_02223, bflo_02227, bflo_03136, bflo_27317, bflo_19899, bflo_03164, bflo_20754, bflo_03799, bflo_03159, bflo_03174, bflo_20755, bflo_19898, bflo_16202, bflo_02225, bflo_27318, bflo_00568, bflo_03800, bflo_27127, bflo_15187, bflo_27466, bflo_26974, bflo_01763, bflo_23061, bflo_22995, bflo_23026, bflo_12184, bflo_10698, bflo_10998, bflo_10878, bflo_10625, bflo_09250, bflo_23001, bflo_01761, bflo_10810, bflo_23007, bflo_01762, bflo_15400, bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169, bflo_26070, bflo_06186, bflo_13135, bflo_00692, bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412, bflo_11811, bflo_15832	SCHMD12270
OG0000040	bflo_18133	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395
OG0000041	bflo_09009, bflo_26911, bflo_03344, bflo_12945	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	bflo_18109	SCHMD04612
OG0000041	bflo_05956	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	bflo_21607, bflo_03333, bflo_03334, bflo_21606, bflo_22480, bflo_21604, bflo_03332, bflo_20396, bflo_20397, bflo_26387, bflo_26388, bflo_26390, bflo_26385, bflo_26389, bflo_26386, bflo_01851, bflo_26391, bflo_26228, bflo_17461, bflo_25593, bflo_25594, bflo_25592, bflo_23222, bflo_23223, bflo_23219, bflo_23220, bflo_23221, bflo_23218, bflo_23236, bflo_18646, bflo_23211, bflo_07587	SCHMD11455
OG0000043	bflo_23226, bflo_23242, bflo_23238, bflo_23225, bflo_23224	SCHMD17991, SCHMD07284, SCHMD04436, SCHMD10964, SCHMD10708, SCHMD11041, SCHMD12622, SCHMD10248, SCHMD06829, SCHMD01198, SCHMD04068
OG0000043	bflo_19214	SCHMD29206, SCHMD09758
OG0000044	bflo_21420, bflo_01236, bflo_12257	SCHMD06706
OG0000048	bflo_17882, bflo_09143, bflo_09129, bflo_09102, bflo_27224, bflo_13732, bflo_11483, bflo_11417, bflo_05102, bflo_05104, bflo_17693, bflo_18962, bflo_22214, bflo_23171, bflo_19625, bflo_19404, bflo_20902	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000049	bflo_24254	SCHMD17006
OG0000049	bflo_17096, bflo_11847	SCHMD22370
OG0000051	bflo_09149, bflo_08177, bflo_07909, bflo_07908, bflo_08424, bflo_08234, bflo_08120, bflo_08121, bflo_08122, bflo_02540, bflo_02589, bflo_02539, bflo_08374, bflo_10741, bflo_06938, bflo_08542, bflo_07135, bflo_08711	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000056	bflo_22428	SCHMD18401, SCHMD20469
OG0000057	bflo_09753, bflo_09754, bflo_09752, bflo_09751, bflo_09750, bflo_09743, bflo_09742, bflo_09744, bflo_09121, bflo_09741, bflo_09120, bflo_09740, bflo_09749, bflo_21348, bflo_20324, bflo_23697, bflo_24939, bflo_19525, bflo_00567, bflo_15438	SCHMD08094
OG0000058	bflo_09194	SCHMD04270
OG0000058	bflo_23140	SCHMD06371
OG0000059	bflo_14547, bflo_15017	SCHMD27096
OG0000059	bflo_10912, bflo_10938, bflo_11816, bflo_11814, bflo_11815	SCHMD20167, SCHMD15436, SCHMD05187, SCHMD26092, SCHMD18312, SCHMD29210, SCHMD05186, SCHMD20166, SCHMD27942, SCHMD05188, SCHMD13278
OG0000060	bflo_25984, bflo_26009	SCHMD17528
OG0000060	bflo_26723, bflo_02982, bflo_03812, bflo_03632, bflo_12626, bflo_02984, bflo_03589, bflo_02972, bflo_03696, bflo_03780, bflo_15133, bflo_15228, bflo_04988, bflo_15129, bflo_15134, bflo_15132, bflo_15227, bflo_01835, bflo_00757, bflo_01800	SCHMD16998
OG0000060	bflo_01709	SCHMD17292
OG0000060	bflo_01384	SCHMD03062
OG0000061	bflo_18545	SCHMD24930
OG0000061	bflo_19609, bflo_18544, bflo_19608, bflo_19290	SCHMD11039
OG0000062	bflo_17250, bflo_01624, bflo_13529	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	bflo_25923	SCHMD24452
OG0000063	bflo_11558	SCHMD26478, SCHMD21709
OG0000066	bflo_00475, bflo_00473, bflo_00474	SCHMD06601
OG0000066	bflo_04761, bflo_11842	SCHMD06030
OG0000066	bflo_01779, bflo_01780, bflo_03911, bflo_17245, bflo_19059, bflo_20701, bflo_20080, bflo_20702, bflo_02867, bflo_09989	SCHMD05807
OG0000066	bflo_19880	SCHMD11629, SCHMD22506
OG0000069	bflo_05086	SCHMD11437
OG0000069	bflo_05168, bflo_23210	SCHMD05798, SCHMD12262
OG0000069	bflo_07771	SCHMD18974
OG0000070	bflo_17097, bflo_18391, bflo_18274	SCHMD06745
OG0000070	bflo_27427, bflo_23408	SCHMD25128, SCHMD25923, SCHMD18099, SCHMD09836, SCHMD24858
OG0000071	bflo_03355	SCHMD08674, SCHMD04226
OG0000072	bflo_14354	SCHMD10090
OG0000072	bflo_23475, bflo_03649	SCHMD16868, SCHMD20563
OG0000072	bflo_08698	SCHMD14329
OG0000073	bflo_13167	SCHMD13212, SCHMD07291, SCHMD22957
OG0000073	bflo_23562	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123
OG0000075	bflo_21844	SCHMD10965
OG0000075	bflo_12189	SCHMD03704
OG0000075	bflo_11040	SCHMD21424
OG0000077	bflo_09725	SCHMD17571
OG0000077	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366	SCHMD23576
OG0000077	bflo_18777, bflo_23174	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000077	bflo_09163	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624
OG0000077	bflo_12964	SCHMD27493
OG0000078	bflo_23379, bflo_23493	SCHMD04822, SCHMD04523
OG0000079	bflo_00523	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	bflo_07371	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	bflo_01658, bflo_04787, bflo_15789, bflo_21965, bflo_10278, bflo_21970, bflo_21968	SCHMD06941, SCHMD04736
OG0000080	bflo_20693, bflo_04566	SCHMD10387, SCHMD06434
OG0000082	bflo_15900	SCHMD03263, SCHMD10119
OG0000082	bflo_00187	SCHMD29028
OG0000082	bflo_13856	SCHMD03363
OG0000083	bflo_07981	SCHMD16633
OG0000084	bflo_10754	SCHMD19821, SCHMD23941, SCHMD23870
OG0000084	bflo_07855, bflo_08694, bflo_08099	SCHMD28183
OG0000085	bflo_20147	SCHMD12837
OG0000085	bflo_12569	SCHMD12466
OG0000087	bflo_21260	SCHMD09405, SCHMD09406
OG0000087	bflo_15474	SCHMD25358
OG0000087	bflo_08316	SCHMD05857
OG0000087	bflo_08208	SCHMD05855
OG0000087	bflo_07784	SCHMD03393
OG0000087	bflo_03240	SCHMD16933, SCHMD25288, SCHMD17003, SCHMD07336
OG0000090	bflo_01805	SCHMD06769
OG0000093	bflo_14670	SCHMD03688, SCHMD07490
OG0000093	bflo_21514, bflo_02944, bflo_02133, bflo_05347, bflo_02787, bflo_02137	SCHMD04238
OG0000093	bflo_19907	SCHMD14744
OG0000093	bflo_22463	SCHMD00352
OG0000093	bflo_26663	SCHMD02917
OG0000093	bflo_15515, bflo_15405, bflo_15517, bflo_27119, bflo_14174, bflo_15413, bflo_15404, bflo_19904, bflo_08402, bflo_20451, bflo_26066, bflo_22106, bflo_08411, bflo_26076, bflo_15244, bflo_15246, bflo_15144, bflo_15245, bflo_12946, bflo_10451, bflo_08956, bflo_13239, bflo_15466, bflo_15075, bflo_11196, bflo_15194, bflo_02688, bflo_10905, bflo_07386	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028
OG0000094	bflo_16311	SCHMD21133, SCHMD07079
OG0000094	bflo_11484	SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375
OG0000095	bflo_25489, bflo_01865, bflo_25182, bflo_11841, bflo_01804, bflo_01739, bflo_17156, bflo_03512	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942, SCHMD01761
OG0000096	bflo_11038	SCHMD07753
OG0000096	bflo_03032, bflo_18893	SCHMD10033
OG0000097	bflo_18852, bflo_24938, bflo_05080, bflo_21325, bflo_05085, bflo_21849, bflo_03707, bflo_05045, bflo_21324, bflo_22420, bflo_11333	SCHMD22037, SCHMD20326
OG0000098	bflo_05564	SCHMD29644, SCHMD22119
OG0000099	bflo_24108, bflo_24745, bflo_24107, bflo_24106, bflo_26082, bflo_20818, bflo_08555, bflo_08438, bflo_06968, bflo_06885, bflo_08703, bflo_06078, bflo_08586, bflo_10326	SCHMD03930, SCHMD15019
OG0000099	bflo_17705, bflo_18245	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000103	bflo_23149	SCHMD29081, SCHMD19673
OG0000103	bflo_23791	SCHMD08147
OG0000106	bflo_13898, bflo_13906, bflo_13902, bflo_13905, bflo_13959, bflo_21022, bflo_22434, bflo_24648, bflo_24024, bflo_24023	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000107	bflo_03337	SCHMD04920, SCHMD23362, SCHMD21301, SCHMD11381, SCHMD05934
OG0000110	bflo_13869, bflo_25534, bflo_09017, bflo_25934, bflo_26322	SCHMD06031, SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056
OG0000110	bflo_23445, bflo_05644, bflo_25083, bflo_24963	SCHMD11887
OG0000113	bflo_25033, bflo_24791, bflo_00623, bflo_03827, bflo_03944, bflo_03952, bflo_03218, bflo_03217, bflo_01136, bflo_03958, bflo_03967	SCHMD06629, SCHMD02664
OG0000114	bflo_16447, bflo_20688, bflo_23618, bflo_04836, bflo_00471, bflo_24385, bflo_07559	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000115	bflo_23614	SCHMD28271, SCHMD15320
OG0000117	bflo_27532	SCHMD02895, SCHMD24345, SCHMD14483, SCHMD27351
OG0000117	bflo_22010	SCHMD07660, SCHMD02896, SCHMD11493
OG0000117	bflo_27311	SCHMD14102
OG0000119	bflo_07858, bflo_19358, bflo_19300, bflo_19582, bflo_19602, bflo_19603, bflo_19479, bflo_18609, bflo_17613	SCHMD02911
OG0000119	bflo_19352	SCHMD07212
OG0000121	bflo_25107, bflo_02806	SCHMD07020
OG0000123	bflo_10734	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977
OG0000124	bflo_12150, bflo_12152, bflo_22917, bflo_18598	SCHMD10270, SCHMD10271
OG0000124	bflo_00313	SCHMD11964, SCHMD20871, SCHMD16822
OG0000124	bflo_24557	SCHMD08774
OG0000126	bflo_09507	SCHMD00122, SCHMD06495, SCHMD00127
OG0000126	bflo_21252	SCHMD24144
OG0000126	bflo_14089	SCHMD01813, SCHMD04253
OG0000127	bflo_07113, bflo_07092	SCHMD21110
OG0000127	bflo_21827	SCHMD03781
OG0000128	bflo_25056, bflo_06196, bflo_05801, bflo_04928, bflo_06174, bflo_04919, bflo_08083, bflo_11997, bflo_11531, bflo_11996, bflo_11513, bflo_13695, bflo_14518, bflo_14769, bflo_20024, bflo_10688	SCHMD25789, SCHMD19594
OG0000129	bflo_20410	SCHMD23245, SCHMD26510, SCHMD08406
OG0000129	bflo_10761, bflo_09267	SCHMD20816
OG0000129	bflo_24123	SCHMD05405
OG0000129	bflo_21811	SCHMD03224
OG0000130	bflo_09285, bflo_18165, bflo_10954	SCHMD02824, SCHMD13205
OG0000130	bflo_24424, bflo_26104, bflo_25302, bflo_17830, bflo_24242, bflo_08589, bflo_24777	SCHMD17609
OG0000132	bflo_17456, bflo_25589, bflo_26376, bflo_25953, bflo_25590, bflo_25949, bflo_26371, bflo_26369, bflo_26372, bflo_00097, bflo_26373, bflo_26370, bflo_01753, bflo_26374, bflo_03326, bflo_03327, bflo_20394, bflo_21602, bflo_21603, bflo_03325, bflo_23200, bflo_23203, bflo_23205, bflo_23199, bflo_23202	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000137	bflo_20235, bflo_02070, bflo_04279	SCHMD04306
OG0000137	bflo_17627, bflo_17554, bflo_17629, bflo_17769	SCHMD09558
OG0000140	bflo_18991	SCHMD02421, SCHMD05316, SCHMD01679
OG0000142	bflo_03118	SCHMD14394, SCHMD01440, SCHMD00718
OG0000145	bflo_15672, bflo_15671, bflo_23904, bflo_00014, bflo_03978, bflo_23491, bflo_15651	SCHMD03152
OG0000147	bflo_24794	SCHMD11019
OG0000147	bflo_01706	SCHMD11968
OG0000148	bflo_17467, bflo_17466	SCHMD08056
OG0000148	bflo_17681	SCHMD08055
OG0000149	bflo_07407	SCHMD05440
OG0000151	bflo_26440	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000151	bflo_16242	SCHMD02747, SCHMD12342
OG0000153	bflo_16858	SCHMD18559
OG0000153	bflo_09367	SCHMD05163, SCHMD05160, SCHMD02381
OG0000157	bflo_08074	SCHMD06364
OG0000157	bflo_13284	SCHMD01802
OG0000158	bflo_05936	SCHMD18936
OG0000158	bflo_15817	SCHMD09898, SCHMD12271, SCHMD07912
OG0000159	bflo_01737	SCHMD26601, SCHMD09606
OG0000159	bflo_03187, bflo_18341, bflo_18486, bflo_10462, bflo_08858	SCHMD14942
OG0000162	bflo_04273	SCHMD01637
OG0000162	bflo_03351	SCHMD26694
OG0000162	bflo_03352, bflo_03068	SCHMD05631, SCHMD22574, SCHMD09891
OG0000163	bflo_22675, bflo_22678, bflo_22689	SCHMD23090
OG0000163	bflo_00524	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000166	bflo_20238	SCHMD08400
OG0000167	bflo_00939, bflo_07169	SCHMD16214, SCHMD15187
OG0000169	bflo_04857	SCHMD00386
OG0000169	bflo_04863	SCHMD00387
OG0000171	bflo_21876	SCHMD26790, SCHMD13950, SCHMD07239, SCHMD01258, SCHMD16118
OG0000174	bflo_06008, bflo_06009	SCHMD09838
OG0000174	bflo_00753, bflo_12996, bflo_07672	SCHMD22727, SCHMD14760, SCHMD22728
OG0000175	bflo_23016, bflo_27417, bflo_07263, bflo_01467, bflo_01116, bflo_12851, bflo_01312, bflo_01117	SCHMD18439, SCHMD17544
OG0000179	bflo_08207, bflo_09019, bflo_09021	SCHMD11075
OG0000179	bflo_26285, bflo_26298	SCHMD01320
OG0000179	bflo_13967	SCHMD00307
OG0000180	bflo_23997	SCHMD14947
OG0000180	bflo_24730	SCHMD20813
OG0000181	bflo_18642	SCHMD27609, SCHMD12097, SCHMD28522
OG0000181	bflo_08690	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328
OG0000182	bflo_06710, bflo_04535, bflo_04482, bflo_04306, bflo_01747, bflo_11472, bflo_21935, bflo_02087, bflo_23800, bflo_11473, bflo_09048	SCHMD07603
OG0000183	bflo_07655	SCHMD21103, SCHMD28756
OG0000183	bflo_23164, bflo_10143	SCHMD12130, SCHMD10333
OG0000185	bflo_19737	SCHMD07834
OG0000186	bflo_02812	SCHMD16812
OG0000186	bflo_05784, bflo_16204	SCHMD07850, SCHMD22114, SCHMD12081
OG0000186	bflo_17090, bflo_18489, bflo_18356	SCHMD11605
OG0000186	bflo_07429	SCHMD01519, SCHMD14176, SCHMD06313
OG0000188	bflo_22582, bflo_22586, bflo_06453	SCHMD07283
OG0000188	bflo_22344	SCHMD04013
OG0000192	bflo_25238	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000193	bflo_09355	SCHMD03682, SCHMD08341
OG0000194	bflo_21202, bflo_21234, bflo_21437, bflo_25298, bflo_22596, bflo_13875, bflo_04521, bflo_09655, bflo_21442, bflo_16208, bflo_22482, bflo_21915, bflo_13415	SCHMD11912, SCHMD12565
OG0000195	bflo_12247, bflo_11387, bflo_11071, bflo_22055	SCHMD06851
OG0000195	bflo_06670, bflo_06671, bflo_06263, bflo_21166	SCHMD06771
OG0000197	bflo_01547	SCHMD10696, SCHMD17861, SCHMD23209
OG0000198	bflo_04528, bflo_27455	SCHMD19721, SCHMD14674, SCHMD25939
OG0000200	bflo_15720, bflo_15718, bflo_16879	SCHMD07833, SCHMD18193, SCHMD17707
OG0000201	bflo_22807	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	bflo_21108	SCHMD00317, SCHMD09035
OG0000201	bflo_20635	SCHMD06305, SCHMD14342, SCHMD21248, SCHMD10519
OG0000203	bflo_18229, bflo_01170	SCHMD13221
OG0000204	bflo_24561	SCHMD05946, SCHMD11236, SCHMD20783
OG0000204	bflo_03487	SCHMD19671, SCHMD20793, SCHMD11234, SCHMD00858
OG0000205	bflo_23189	SCHMD01159, SCHMD14901, SCHMD14452, SCHMD14902, SCHMD14453
OG0000205	bflo_02483	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278
OG0000205	bflo_18880	SCHMD07996
OG0000207	bflo_18047, bflo_16828, bflo_15604, bflo_27157, bflo_15737, bflo_21694, bflo_15609, bflo_15622	SCHMD08593, SCHMD23499, SCHMD28860, SCHMD21038, SCHMD27067
OG0000207	bflo_13202	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396
OG0000208	bflo_20476	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900
OG0000210	bflo_06987, bflo_26146, bflo_25770, bflo_20932, bflo_08497, bflo_26177, bflo_25940	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393
OG0000210	bflo_12303	SCHMD26754
OG0000210	bflo_22179	SCHMD24015
OG0000211	bflo_14216	SCHMD21436
OG0000211	bflo_06787	SCHMD10115
OG0000214	bflo_09926	SCHMD27341
OG0000215	bflo_15298	SCHMD27729, SCHMD15945
OG0000218	bflo_03730, bflo_03990, bflo_03994, bflo_12836, bflo_00660, bflo_12835, bflo_20676, bflo_04003, bflo_04004, bflo_12871	SCHMD01527
OG0000220	bflo_05704	SCHMD07645
OG0000221	bflo_02108, bflo_18535, bflo_18534, bflo_24796, bflo_00282	SCHMD10720
OG0000222	bflo_14099, bflo_07131, bflo_00039, bflo_14098, bflo_15183, bflo_14097, bflo_00040, bflo_14514, bflo_24486, bflo_24255, bflo_05542	SCHMD21612, SCHMD08502
OG0000223	bflo_26185	SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493
OG0000223	bflo_09246, bflo_10307	SCHMD03921, SCHMD02888
OG0000223	bflo_21359, bflo_21358	SCHMD07141
OG0000225	bflo_11467, bflo_12198	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161
