# Format: Protein 1<tab>Protein 2<tab>Protein ID1<tab>ProteinID2<tab>Orthology type<tab>OMA group (if any)
# Every pair is listed only once, and in no particular order.
# The map between sequence number and ID are given
# in the file "Map-SeqNum-ID.map
1	1258	XENTR00001 | ENSXETP00000058738 | ENSXETT00000065862 | ENSXETG00000001053 | transmembrane protein 53 [Source:Jamboree;Acc:XB- GENE-1018172]	CAEEL01258 | T10B11.6.1 | CCD66244 | WBGene00020402 | Q9TZH8_CAEEL	many:many	
23	10891	XENTR00023 | ENSXETP00000061051 | ENSXETT00000066187 | ENSXETG00000004365 | fatty acid amide hydrolase, gene 2 [Source:Jamboree;Acc:XB-GENE-997947]	CAEEL10891 | B0218.1a.4 | CCD61383 | CCD61384 | WBGene00015047 | Fatty acid amide hydrolase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q17449]	many:many	14731
25	9503	XENTR00025 | ENSXETP00000061345 | ENSXETT00000061035 | ENSXETG00000004361 | fatty acid amide hydrolase, gene 3 [Source:Jamboree;Acc:XB-GENE-997956]	CAEEL09503 | F58H7.2 | CCD67285 | WBGene00019068 | O45089_CAEEL | Fatty Acid Amide Hydrolase homolog  [Source:RefSeq peptide;Acc:NP_500017]	many:many	
25	10889	XENTR00025 | ENSXETP00000061345 | ENSXETT00000061035 | ENSXETG00000004361 | fatty acid amide hydrolase, gene 3 [Source:Jamboree;Acc:XB-GENE-997956]	CAEEL10889 | B0218.2 | CCD61385 | WBGene00015048 | Q17447_CAEEL | Fatty Acid Amide Hydrolase homolog  [Source:RefSeq peptide;Acc:NP_501366]	many:many	27137
25	10891	XENTR00025 | ENSXETP00000061345 | ENSXETT00000061035 | ENSXETG00000004361 | fatty acid amide hydrolase, gene 3 [Source:Jamboree;Acc:XB-GENE-997956]	CAEEL10891 | B0218.1a.4 | CCD61383 | CCD61384 | WBGene00015047 | Fatty acid amide hydrolase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q17449]	many:many	
28	10717	XENTR00028 | ENSXETP00000035702 | ENSXETT00000035702 | ENSXETG00000016355 | A0A5G3LAD5_XENTR | MOB1, Mps One Binder kinase activator-like 2C [Source:Jamboree;Acc:XB-GENE-975743]	CAEEL10717 | T12B3.4a | CCD67578 | WBGene00020447 | Q9UAX1_CAEEL	many:1	
32	12767	XENTR00032 | ENSXETP00000035698 | ENSXETT00000035698 | AAI61776.1 | ENSXETG00000016349 | B1WBJ2_XENTR | cytochrome P450, family 4, subfamily B, polypeptide 1 [Source:Jamboree;Acc:XB-GENE-5924259]	CAEEL12767 | Y38C9B.1 | CCD61789 | WBGene00021412 | Q9N525_CAEEL | CYtochrome P450 family  [Source:RefSeq peptide;Acc:NP_503130]	many:many	
32	15151	XENTR00032 | ENSXETP00000035698 | ENSXETT00000035698 | AAI61776.1 | ENSXETG00000016349 | B1WBJ2_XENTR | cytochrome P450, family 4, subfamily B, polypeptide 1 [Source:Jamboree;Acc:XB-GENE-5924259]	CAEEL15151 | B0331.1 | CAB11775 | WBGene00007140 | O45219_CAEEL | CYtochrome P450 family  [Source:RefSeq peptide;Acc:NP_505490]	many:many	
33	12767	XENTR00033 | ENSXETP00000035696 | ENSXETT00000035696 | ENSXETG00000024498 | cytochrome P450, family 4, subfamily B, polypeptide 1 [Source:Jamboree;Acc:XB-GENE-963387]	CAEEL12767 | Y38C9B.1 | CCD61789 | WBGene00021412 | Q9N525_CAEEL | CYtochrome P450 family  [Source:RefSeq peptide;Acc:NP_503130]	many:many	
33	15151	XENTR00033 | ENSXETP00000035696 | ENSXETT00000035696 | ENSXETG00000024498 | cytochrome P450, family 4, subfamily B, polypeptide 1 [Source:Jamboree;Acc:XB-GENE-963387]	CAEEL15151 | B0331.1 | CAB11775 | WBGene00007140 | O45219_CAEEL | CYtochrome P450 family  [Source:RefSeq peptide;Acc:NP_505490]	many:many	
34	12767	XENTR00034 | ENSXETP00000035694 | ENSXETT00000035694 | ENSXETG00000024497 | Putative ortholog of cytochrome P450 4A11 precursor (EC 1.14.15.3) (CYPIVA11) (Fatty acid omega-hydroxylase) (P-450 HK omega) (Lauric acid omega-hydroxylase) (CYP4AII) (P450-HL-omega), 2 of 2 [Source:Jamboree;Acc:XB-GENE- 980014]	CAEEL12767 | Y38C9B.1 | CCD61789 | WBGene00021412 | Q9N525_CAEEL | CYtochrome P450 family  [Source:RefSeq peptide;Acc:NP_503130]	many:many	
34	15151	XENTR00034 | ENSXETP00000035694 | ENSXETT00000035694 | ENSXETG00000024497 | Putative ortholog of cytochrome P450 4A11 precursor (EC 1.14.15.3) (CYPIVA11) (Fatty acid omega-hydroxylase) (P-450 HK omega) (Lauric acid omega-hydroxylase) (CYP4AII) (P450-HL-omega), 2 of 2 [Source:Jamboree;Acc:XB-GENE- 980014]	CAEEL15151 | B0331.1 | CAB11775 | WBGene00007140 | O45219_CAEEL | CYtochrome P450 family  [Source:RefSeq peptide;Acc:NP_505490]	many:many	
35	12767	XENTR00035 | ENSXETP00000035687 | ENSXETT00000035687 | ENSXETG00000024496 | hypothetical protein LOC100036876 [Source:Jamboree;Acc:XB-GENE-5810927]	CAEEL12767 | Y38C9B.1 | CCD61789 | WBGene00021412 | Q9N525_CAEEL | CYtochrome P450 family  [Source:RefSeq peptide;Acc:NP_503130]	many:many	
35	15151	XENTR00035 | ENSXETP00000035687 | ENSXETT00000035687 | ENSXETG00000024496 | hypothetical protein LOC100036876 [Source:Jamboree;Acc:XB-GENE-5810927]	CAEEL15151 | B0331.1 | CAB11775 | WBGene00007140 | O45219_CAEEL | CYtochrome P450 family  [Source:RefSeq peptide;Acc:NP_505490]	many:many	
39	5801	XENTR00039 | ENSXETP00000035667 | ENSXETT00000035667 | CAJ82118.1 | ENSXETG00000016340 | cytidine monophosphate (UMP-CMP) kinase 1, cytosolic [Source:Jamboree;Acc:XB-GENE-980040]	CAEEL05801 | F40F8.1b | CTQ86482 | WBGene00009575 | A0A0K3ARK6_CAEEL | UMP-CMP kinase 2  [Source:UniProtKB/Swiss- Prot;Acc:Q20230]	1:many	30488
39	20230	XENTR00039 | ENSXETP00000035667 | ENSXETT00000035667 | CAJ82118.1 | ENSXETG00000016340 | cytidine monophosphate (UMP-CMP) kinase 1, cytosolic [Source:Jamboree;Acc:XB-GENE-980040]	CAEEL20230 | C29F7.3 | CAB07328 | WBGene00007812 | UMP-CMP kinase 1  [Source:UniProtKB/Swiss- Prot;Acc:O17622]	1:many	
46	5439	XENTR00046 | ENSXETP00000018998 | ENSXETT00000018998 | ENSXETG00000008680 | ELAV (embryonic lethal, abnormal vision)-like 4 (Hu antigen D) [Source:Jamboree;Acc:XB-GENE-948210]	CAEEL05439 | F35H8.5 | CAA85327 | WBGene00001368 | Q20084_CAEEL	many:1	16833
52	4639	XENTR00052 | ENSXETP00000062767 | ENSXETT00000060482 | ENSXETG00000002835 | tetratricopeptide repeat domain 39A [Source:Jamboree;Acc:XB-GENE-1014287]	CAEEL04639 | C32D5.6 | CCD66032 | WBGene00016314	many:1	
56	977	XENTR00056 | ENSXETP00000006166 | ENSXETT00000006166 | AAI21305.1 | ENSXETG00000002831 | oxysterol binding protein-like 9 [Source:Jamboree;Acc:XB-GENE-948223]	CAEEL00977 | C32F10.1a.2 | CCD61906 | WBGene00016331 | O01686_CAEEL | Oxysterol-binding protein  [Source:RefSeq peptide;Acc:NP_491691]	1:1	5264
59	4710	XENTR00059 | ENSXETP00000063168 | ENSXETT00000065992 | AAH87817.1 | CAJ83068.1 | ENSXETG00000008056 | basic transcription factor 3-like 4 [Source:Jamboree;Acc:XB-GENE-948236]	CAEEL04710 | C56C10.8.1 | CCD68179 | WBGene00002045 | Transcription factor BTF3 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q18885]	many:1	
61	2747	XENTR00061 | ENSXETP00000017660 | ENSXETT00000017660 | ENSXETG00000008058 | coiled-coil and C2 domain containing 1B [Source:Jamboree;Acc:XB-GENE-997988]	CAEEL02747 | Y37H9A.3 | CAB63350 | WBGene00012578 | Coiled-coil and C2 domain-containing protein 1-like [Source:UniProtKB/Swiss-Prot;Acc:Q9U2M8]	many:1	2522
63	15469	XENTR00063 | ENSXETP00000052923 | ENSXETT00000052923 | AAI58942.1 | CAJ82119.1 | ENSXETG00000008060 | B0JYW3_XENTR | PRP38 pre-mRNA processing factor 38 domain containing A [Source:Jamboree;Acc:XB-GENE-979997]	CAEEL15469 | D1054.14 | CAA98434 | WBGene00008380 | Q18942_CAEEL | yeast PRP (splicing factor) related  [Source:RefSeq peptide;Acc:NP_505762]	1:1	21790
67	5918	XENTR00067 | ENSXETP00000017668 | ENSXETT00000017668 | AAI21617.1 | AAI61460.1 | ENSXETG00000008063 | B1WAQ3_XENTR | Sel1 repeat containing 1 [Source:Jamboree;Acc:XB- GENE-6258829]	CAEEL05918 | ZK20.4a.1 | CAA93779 | WBGene00013925 | Cytochrome c oxidase assembly factor 7 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q23450]	1:1	32441
68	5042	XENTR00068 | ENSXETP00000017669 | ENSXETT00000017669 | ENSXETG00000008064 | zyg-11 homolog B [Source:Jamboree;Acc:XB-GENE- 5829605]	CAEEL05042 | C08B11.1 | CAA34493 | CAA86661 | WBGene00006996 | Early embryogenesis protein zyg-11 [Source:UniProtKB/Swiss-Prot;Acc:P21541]	1:1	
69	9475	XENTR00069 | ENSXETP00000017670 | ENSXETT00000017670 | AAI57263.1 | ENSXETG00000008065 | A9ULH7_XENTR | enoyl CoA hydratase domain containing 2 [Source:Jamboree;Acc:XB-GENE-948250]	CAEEL09475 | F56B3.5 | CCD71953 | WBGene00001154 | O45106_CAEEL | Enoyl-CoA Hydratase  [Source:RefSeq peptide;Acc:NP_499993]	many:1	
70	6068	XENTR00070 | ENSXETP00000017674 | ENSXETT00000017674 | AAH89745.1 | ENSXETG00000024490 | sterol carrier protein 2 [Source:Jamboree;Acc:XB- GENE-975762]	CAEEL06068 | Y57A10C.6 | BAA20377 | CAA19548 | WBGene00013284 | Non-specific lipid-transfer protein-like 2 [Source:UniProtKB/Swiss-Prot;Acc:G5EDP2]	1:1	13510
72	11655	XENTR00072 | ENSXETP00000061450 | ENSXETT00000065239 | ENSXETG00000008070 | carnitine palmitoyltransferase 2 [Source:Jamboree;Acc:XB-GENE-963400]	CAEEL11655 | R07H5.2a | CAB03233 | WBGene00011122 | G5ECS9_CAEEL | Carnitine Palmitoyl Transferase  [Source:RefSeq peptide;Acc:NP_001040977]	1:1	7418
73	15184	XENTR00073 | ENSXETP00000017687 | ENSXETT00000017687 | ENSXETG00000008071 | chromosome 1 open reading frame 123 [Source:Jamboree;Acc:XB-GENE-5847259]	CAEEL15184 | F46B6.12 | CAC35815 | WBGene00009776 | UPF0587 protein F46B6.12  [Source:UniProtKB/Swiss- Prot;Acc:Q9BI88]	1:1	41854
74	2354	XENTR00074 | ENSXETP00000017688 | ENSXETT00000017688 | ENSXETG00000008072 | A0A5G3K7A1_XENTR | mago-nashi homolog, proliferation-associated [Source:Jamboree;Acc:XB-GENE-493540]	CAEEL02354 | R09B3.5 | AAB66721 | AHX83788 | CAB03239 | WBGene00003123 | A0A023T4K3_CAEEL | Protein mago nashi homolog  [Source:UniProtKB/Swiss- Prot;Acc:P49029]	1:1	42542
75	4767	XENTR00075 | ENSXETP00000017690 | ENSXETT00000017690 | ENSXETG00000008073 | low density lipoprotein receptor-related protein 8, apolipoprotein e receptor [Source:Jamboree;Acc:XB-GENE- 980035]	CAEEL04767 | T13C2.6b | CCD70328 | WBGene00020481 | Q7JP80_CAEEL	many:1	
86	6281	XENTR00086 | ENSXETP00000043218 | ENSXETT00000043218 | ENSXETG00000019993 | mitochondrial ribosomal protein L37 [Source:Jamboree;Acc:XB-GENE-979922]	CAEEL06281 | Y48E1B.5 | CAB07691 | WBGene00013004 | O18199_CAEEL | Mitochondrial Ribosomal Protein, Large [Source:RefSeq peptide;Acc:NP_496850]	1:1	
87	6250	XENTR00087 | ENSXETP00000063536 | ENSXETT00000060158 | ENSXETG00000019994 | single stranded DNA binding protein 3 [Source:Jamboree;Acc:XB-GENE-998011]	CAEEL06250 | Y48C3A.8a.1 | CAV31815 | CAV31816 | WBGene00012990 | Single-stranded DNA-binding protein homolog sam-10 [Source:UniProtKB/Swiss-Prot;Acc:B7FAS6]	many:1	
90	4447	XENTR00090 | ENSXETP00000043240 | ENSXETT00000043240 | ENSXETG00000020003 | tetratricopeptide repeat domain 4 [Source:Jamboree;Acc:XB-GENE-975773]	CAEEL04447 | C17G10.2 | CCD64950 | WBGene00015916 | Q09974_CAEEL	1:1	16776
93	18407	XENTR00093 | ENSXETP00000063122 | ENSXETT00000063378 | ENSXETG00000020010 | 24-dehydrocholesterol reductase [Source:Jamboree;Acc:XB-GENE-979905]	CAEEL18407 | F52H2.6 | CCD71661 | WBGene00018718 | Diminuto-like protein  [Source:UniProtKB/Swiss- Prot;Acc:O17397]	1:1	10207
96	15775	XENTR00096 | ENSXETP00000043252 | ENSXETT00000043252 | ENSXETG00000020014 | aspartyl-tRNA synthetase 2, mitochondrial [Source:Jamboree;Acc:XB-GENE-979933]	CAEEL15775 | F10C2.6 | CAB04081 | WBGene00001095 | P90831_CAEEL | aspartyl(D) Amino-acyl tRNA Synthetase [Source:RefSeq peptide;Acc:NP_506019]	1:1	
98	18133	XENTR00098 | ENSXETP00000043267 | ENSXETT00000043267 | ENSXETG00000020019 | RAB GTPase activating protein 1-like [Source:Jamboree;Acc:XB-GENE-483580]	CAEEL18133 | F35H12.2b | CCD70615 | WBGene00018075 | H2KZZ6_CAEEL | TBC (Tre-2/Bub2/Cdc16) domain family  [Source:RefSeq peptide;Acc:NP_508179]	many:1	
101	12936	XENTR00101 | ENSXETP00000043296 | ENSXETT00000043296 | AAH81366.1 | ENSXETG00000020033 | Q66IF8_XENTR | serpin peptidase inhibitor, clade C (antithrombin), member 1 [Source:Jamboree;Acc:XB-GENE-975782]	CAEEL12936 | C05E4.3 | AAS13527 | CCD63235 | WBGene00005642 | G5EE40_CAEEL | SeRPin  [Source:RefSeq peptide;Acc:NP_503315]	many:many	
101	12940	XENTR00101 | ENSXETP00000043296 | ENSXETT00000043296 | AAH81366.1 | ENSXETG00000020033 | Q66IF8_XENTR | serpin peptidase inhibitor, clade C (antithrombin), member 1 [Source:Jamboree;Acc:XB-GENE-975782]	CAEEL12940 | C05E4.1.2 | AAS13528 | CCD63233 | WBGene00005643 | O17365_CAEEL | SeRPin  [Source:RefSeq peptide;Acc:NP_503318]	many:many	
101	13152	XENTR00101 | ENSXETP00000043296 | ENSXETT00000043296 | AAH81366.1 | ENSXETG00000020033 | Q66IF8_XENTR | serpin peptidase inhibitor, clade C (antithrombin), member 1 [Source:Jamboree;Acc:XB-GENE-975782]	CAEEL13152 | Y32G9A.4 | AAS13529 | CCD74300 | WBGene00005644 | G5ECY2_CAEEL | SeRPin  [Source:RefSeq peptide;Acc:NP_503528]	many:many	
101	14529	XENTR00101 | ENSXETP00000043296 | ENSXETT00000043296 | AAH81366.1 | ENSXETG00000020033 | Q66IF8_XENTR | serpin peptidase inhibitor, clade C (antithrombin), member 1 [Source:Jamboree;Acc:XB-GENE-975782]	CAEEL14529 | C03G6.19 | AAS13530 | CCD62703 | WBGene00005647 | G5EFH4_CAEEL | SeRPin  [Source:RefSeq peptide;Acc:NP_504890]	many:many	
101	14768	XENTR00101 | ENSXETP00000043296 | ENSXETT00000043296 | AAH81366.1 | ENSXETG00000020033 | Q66IF8_XENTR | serpin peptidase inhibitor, clade C (antithrombin), member 1 [Source:Jamboree;Acc:XB-GENE-975782]	CAEEL14768 | F20D6.4b | AAS13532 | CCD68322 | WBGene00005648 | Q6QUQ6_CAEEL | SeRPin  [Source:RefSeq peptide;Acc:NP_001023822]	many:many	
101	14770	XENTR00101 | ENSXETP00000043296 | ENSXETT00000043296 | AAH81366.1 | ENSXETG00000020033 | Q66IF8_XENTR | serpin peptidase inhibitor, clade C (antithrombin), member 1 [Source:Jamboree;Acc:XB-GENE-975782]	CAEEL14770 | F20D6.3 | CCD68320 | WBGene00005649 | SeRPin  [Source:RefSeq peptide;Acc:NP_505108]	many:many	
111	1449	XENTR00111 | ENSXETP00000047142 | ENSXETT00000047142 | ENSXETG00000024709 | glutaminase [Source:HGNC Symbol;Acc:4331]	CAEEL01449 | F30F8.2 | CAB03030 | WBGene00009271 | Putative glutaminase 3  [Source:UniProtKB/Swiss- Prot;Acc:Q93650]	1:many	
111	5040	XENTR00111 | ENSXETP00000047142 | ENSXETT00000047142 | ENSXETG00000024709 | glutaminase [Source:HGNC Symbol;Acc:4331]	CAEEL05040 | DH11.1.2 | CAA88938 | WBGene00008435 | Putative glutaminase 2  [Source:UniProtKB/Swiss- Prot;Acc:Q19013]	1:many	7871
113	7307	XENTR00113 | ENSXETP00000029260 | ENSXETT00000029260 | ENSXETG00000013339 | splicing factor 3b, subunit 1, 155kDa [Source:Jamboree;Acc:XB-GENE-959867]	CAEEL07307 | T08A11.2 | CAA90777 | WBGene00011605 | G5EEQ8_CAEEL	1:1	1262
114	1434	XENTR00114 | ENSXETP00000029225 | ENSXETT00000029225 | AAI35296.1 | CAJ83795.1 | ENSXETG00000013336 | F6T871_XENTR | zinc finger CCCH-type containing 15 [Source:Jamboree;Acc:XB-GENE-5800360]	CAEEL01434 | F27D4.4a | CAB01969 | WBGene00009189 | Zinc finger CCCH domain-containing protein 15 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q93618]	1:1	13162
115	8396	XENTR00115 | ENSXETP00000029197 | ENSXETT00000029197 | ENSXETG00000013317 | integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51) [Source:Jamboree;Acc:XB-GENE- 488969]	CAEEL08396 | F54F2.1 | CCD71234 | WBGene00003929 | Integrin alpha pat-2  [Source:UniProtKB/Swiss- Prot;Acc:P34446]	many:1	
116	8422	XENTR00116 | ENSXETP00000030402 | ENSXETT00000030402 | AAI21844.1 | CAJ81879.1 | ENSXETG00000013895 | calcitonin receptor-like [Source:Jamboree;Acc:XB- GENE-5736126]	CAEEL08422 | ZK643.3b | CAO82061 | WBGene00014035 | A7LPE2_CAEEL | G-protein coupled receptor seb-2 [Source:UniProtKB/Swiss-Prot;Acc:P30650]	many:1	
117	8245	XENTR00117 | ENSXETP00000053828 | ENSXETT00000053828 | AAI67888.1 | CAJ82405.1 | ENSXETG00000025118 | Q28IE1_XENTR | MOB1, Mps One Binder kinase activator-like 3 [Source:Jamboree;Acc:XB-GENE-948291]	CAEEL08245 | C30A5.3 | CCD62652 | WBGene00016238	1:1	30766
118	9020	XENTR00118 | ENSXETP00000016359 | ENSXETT00000016359 | AAH77018.1 | ENSXETG00000007511 | Q6DES6_XENTR | transformer 2 beta homolog [Source:Jamboree;Acc:XB- GENE-5864557]	CAEEL09020 | C18D11.4a.2 | CAB07322 | WBGene00004705 | Q9XTZ2_CAEEL | SR Protein (splicing factor)  [Source:RefSeq peptide;Acc:NP_001255142]	many:1	
119	6884	XENTR00119 | ENSXETP00000016354 | ENSXETT00000016354 | AAI35841.1 | ENSXETG00000007509 | A4II42_XENTR | heat shock 60kDa protein 1 (chaperonin) [Source:Jamboree;Acc:XB-GENE-980059]	CAEEL06884 | Y22D7AL.5a.2 | AAA28077 | CCD73746 | WBGene00002025 | Chaperonin homolog Hsp-60, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P50140]	1:1	9530
120	6883	XENTR00120 | ENSXETP00000016357 | ENSXETT00000016357 | AAH77653.1 | CAJ81476.1 | ENSXETG00000007510 | Q6DDD2_XENTR; A0A5G3IPV0_XENTR | heat shock 10kDa protein 1 (chaperonin 10) [Source:Jamboree;Acc:XB-GENE-963412]	CAEEL06883 | Y22D7AL.10.1 | CCD73751 | WBGene00021248 | Q965Q1_CAEEL	1:1	52759
121	15540	XENTR00121 | ENSXETP00000003955 | ENSXETT00000003955 | AAH68217.1 | AAH82343.1 | CAJ82356.1 | ENSXETG00000025116 | actin, beta [Source:Jamboree;Acc:XB-GENE-490883]	CAEEL15540 | T04C12.4.1 | AAA27887 | AAA27889 | CAA34717 | CAA34719 | CAB04676 | CAB04678 | WBGene00000065 | Actin-1  [Source:UniProtKB/Swiss-Prot;Acc:P0DM41]	many:many	
121	15541	XENTR00121 | ENSXETP00000003955 | ENSXETT00000003955 | AAH68217.1 | AAH82343.1 | CAJ82356.1 | ENSXETG00000025116 | actin, beta [Source:Jamboree;Acc:XB-GENE-490883]	CAEEL15541 | T04C12.5.1 | AAA27888 | CAA34718 | CAB04675 | WBGene00000064 | Actin-2  [Source:UniProtKB/Swiss-Prot;Acc:P10984]	many:many	17277
121	18778	XENTR00121 | ENSXETP00000003955 | ENSXETT00000003955 | AAH68217.1 | AAH82343.1 | CAJ82356.1 | ENSXETG00000025116 | actin, beta [Source:Jamboree;Acc:XB-GENE-490883]	CAEEL18778 | M03F4.2a | AAA27890 | CAA34720 | CCD83476 | WBGene00000066 | Actin-4  [Source:UniProtKB/Swiss-Prot;Acc:P10986]	many:many	
128	18097	XENTR00128 | ENSXETP00000016328 | ENSXETT00000016328 | ENSXETG00000007492 | A0A5G3H3T1_XENTR | potassium inwardly-rectifying channel, subfamily J, member 12 [Source:Jamboree;Acc:XB-GENE-6048235]	CAEEL18097 | M02A10.2c | CDH93479 | WBGene00002150 | U4PN13_CAEEL | Inward Rectifying K (potassium) channel family [Source:RefSeq peptide;Acc:NP_001256976]	many:1	
130	11865	XENTR00130 | ENSXETP00000021783 | ENSXETT00000021783 | AAH80440.1 | CAJ83570.1 | ENSXETG00000009892 | Q28FZ4_XENTR | cleavage and polyadenylation specific factor 4, 30kDa [Source:Jamboree;Acc:XB-GENE-948302]	CAEEL11865 | F11A10.8 | CAE45045 | WBGene00044329 | Q7YTG9_CAEEL | Cleavage and Polyadenylation Specificity Factor [Source:RefSeq peptide;Acc:NP_001023126]	1:1	29123
135	16561	XENTR00135 | ENSXETP00000062148 | ENSXETT00000063427 | AAI22039.1 | ENSXETG00000009883 | O-sialoglycoprotein endopeptidase-like 1 [Source:Jamboree;Acc:XB-GENE-948324]	CAEEL16561 | C01G10.10a | CAB02716 | WBGene00007237 | Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q93170]	1:1	15731
138	11868	XENTR00138 | ENSXETP00000021747 | ENSXETT00000021747 | ENSXETG00000009878 | asparagine synthetase domain containing 1 [Source:Jamboree;Acc:XB-GENE-940928]	CAEEL11868 | M18.3 | CAA92825 | WBGene00010889 | Q21555_CAEEL	1:1	
139	274	XENTR00139 | ENSXETP00000021742 | ENSXETT00000021742 | ABL75285.1 | ENSXETG00000009874 | A1YWG5_XENTR | solute carrier family 40 (iron-regulated transporter), member 1 [Source:Jamboree;Acc:XB-GENE- 963435]	CAEEL00274 | Y37E3.16.1 | CCD73436 | WBGene00021354 | Q8IA95_CAEEL | FerroPortiN  [Source:RefSeq peptide;Acc:NP_001032985]	many:many	9997
139	13050	XENTR00139 | ENSXETP00000021742 | ENSXETT00000021742 | ABL75285.1 | ENSXETG00000009874 | A1YWG5_XENTR | solute carrier family 40 (iron-regulated transporter), member 1 [Source:Jamboree;Acc:XB-GENE- 963435]	CAEEL13050 | R09B5.4 | CCD68880 | WBGene00019977 | O44607_CAEEL | FerroPortiN  [Source:RefSeq peptide;Acc:NP_503422]	many:many	
149	7186	XENTR00149 | ENSXETP00000050340 | ENSXETT00000050340 | ENSXETG00000023303 | A0A5G3KEB4_XENTR | unc-93 homolog A [Source:Jamboree;Acc:XB-GENE- 5800507]	CAEEL07186 | C46F11.1a | CAA45760 | CAA45761 | CAB03760 | CAI70399 | WBGene00006822 | Putative potassium channel regulatory protein unc-93 [Source:UniProtKB/Swiss-Prot;Acc:Q93380]	many:1	
