Orthogroup	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST	Total
OG0000092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	274
OG0000093	7	9	2	0	4	47	73	0	0	6	0	3	5	8	5	3	5	25	15	3	22	24	3	0	269
OG0000094	2	6	6	39	18	2	4	2	0	31	24	2	13	2	49	4	12	8	3	2	26	3	8	0	266
OG0000095	11	4	12	12	10	8	7	9	2	11	18	6	11	12	11	8	7	18	24	19	8	26	10	1	265
OG0000096	5	6	8	19	20	8	7	6	7	27	7	6	21	7	28	8	17	6	7	7	8	10	15	4	264
OG0000097	10	2	15	41	3	11	9	0	0	6	0	5	3	21	10	0	0	15	49	31	2	22	5	0	260
OG0000098	12	11	7	20	13	7	5	4	0	21	9	4	10	8	23	3	14	11	24	12	22	8	8	0	256
OG0000099	6	0	6	9	17	18	16	6	0	29	19	3	11	7	26	6	14	13	9	7	14	8	11	0	255
OG0000100	32	9	6	50	4	8	16	0	0	13	2	6	0	26	0	16	3	0	16	2	0	42	4	0	255
OG0000101	7	11	5	13	7	27	23	5	1	10	2	5	11	6	20	17	9	9	22	13	3	11	15	0	252
OG0000102	27	7	5	42	5	15	8	0	0	8	0	1	4	4	8	4	6	4	58	25	13	4	4	0	252
OG0000103	2	1	2	23	14	26	11	9	1	37	27	2	14	2	20	2	25	7	2	2	3	2	17	1	252
OG0000104	3	5	11	13	14	6	8	2	0	30	15	5	18	7	42	12	13	9	8	8	2	7	12	0	250
OG0000105	12	15	32	51	0	7	4	0	0	1	0	17	0	41	0	1	0	1	3	4	0	56	0	0	245
OG0000106	9	8	11	13	10	10	11	4	1	20	7	4	15	6	18	8	11	20	14	8	8	15	14	0	245
OG0000107	0	1	1	2	2	16	22	16	1	25	23	1	15	7	13	9	5	1	25	28	6	20	5	1	245
OG0000108	19	20	6	10	15	34	26	0	0	31	0	2	9	1	12	0	13	3	21	8	1	3	7	0	241
OG0000109	30	5	23	43	0	15	17	0	0	2	0	9	0	15	3	2	0	2	19	15	0	40	0	0	240
OG0000110	14	8	6	24	4	14	20	4	1	6	6	14	3	17	4	12	4	19	11	9	9	29	2	0	240
OG0000111	2	0	3	10	17	22	18	2	0	22	4	0	14	3	35	0	11	1	18	37	4	4	12	0	239
OG0000112	7	7	7	23	0	38	38	0	0	0	0	0	0	6	0	25	0	27	19	13	0	27	0	0	237
OG0000113	3	2	11	17	10	17	16	7	1	11	13	3	12	4	29	3	12	9	19	15	2	5	9	5	235
OG0000114	5	5	8	20	18	7	5	5	2	22	18	4	10	4	21	3	16	7	15	4	12	8	10	3	232
OG0000115	8	3	9	19	3	36	32	1	0	3	0	3	3	7	4	26	2	28	20	10	2	9	1	0	229
OG0000116	3	4	22	29	2	19	12	1	1	4	1	11	2	13	2	8	2	5	44	14	2	25	2	1	229
OG0000117	9	37	5	9	11	14	22	6	0	4	1	6	5	5	10	14	3	13	17	20	9	6	2	0	228
OG0000118	4	20	1	4	2	36	20	0	0	1	0	2	0	47	0	0	0	0	48	6	0	37	0	0	228
OG0000119	4	6	12	45	11	10	7	2	3	20	12	7	11	6	19	2	11	8	5	5	2	10	10	0	228
OG0000120	2	5	9	12	9	6	7	22	0	13	26	1	12	2	19	20	11	12	5	4	22	5	3	0	227
OG0000121	9	17	17	23	7	13	7	2	0	19	4	3	5	5	7	8	7	11	24	15	7	11	6	0	227
OG0000122	5	10	4	28	18	4	2	2	1	24	17	5	12	4	34	3	14	17	1	1	6	6	8	1	227
OG0000123	12	4	4	3	14	5	5	0	0	18	13	7	8	10	11	20	13	15	11	21	9	15	8	0	226
OG0000124	8	5	9	30	14	8	5	6	2	26	4	5	10	4	16	5	17	3	9	9	9	6	10	5	225
OG0000125	7	5	12	24	14	5	4	1	0	29	8	6	17	5	27	0	13	13	9	8	2	5	10	0	224
OG0000126	2	4	4	12	14	4	3	4	5	30	25	4	15	4	31	5	14	9	3	3	10	3	12	4	224
OG0000127	6	4	8	8	23	7	9	4	0	28	6	5	16	5	20	16	15	6	7	6	4	5	14	1	223
OG0000128	11	8	13	29	4	16	17	3	2	5	0	6	7	14	7	17	4	8	21	5	3	14	5	4	223
OG0000129	7	3	3	3	19	8	10	7	1	40	5	3	13	3	22	4	17	13	5	3	13	4	17	0	223
OG0000130	1	2	5	3	22	15	14	0	0	37	7	1	5	7	16	12	23	13	11	3	3	7	16	0	223
OG0000131	12	4	7	17	6	14	12	2	0	26	3	5	3	16	3	3	7	5	20	12	0	36	9	0	222
OG0000132	1	6	13	9	2	26	22	7	1	22	23	4	7	6	8	13	7	1	8	11	6	9	9	1	222
OG0000133	2	8	9	6	53	6	4	0	0	59	0	0	7	0	10	1	17	18	4	16	0	0	0	0	220
OG0000134	11	13	12	4	0	4	18	0	0	0	0	8	0	76	0	17	0	5	34	9	0	9	0	0	220
OG0000135	7	5	3	1	7	30	44	0	0	13	0	0	0	0	0	20	0	21	26	16	2	1	23	0	219
OG0000136	5	5	9	32	2	16	11	0	0	4	0	3	2	10	2	26	3	9	41	20	2	14	2	0	218
OG0000137	5	6	8	18	10	17	16	5	1	9	0	4	7	5	17	13	9	11	18	14	6	10	7	2	218
OG0000138	11	30	12	12	0	19	24	0	0	0	0	6	0	1	0	0	6	1	54	25	0	16	0	0	217
OG0000139	6	7	10	49	1	23	24	0	0	2	0	6	1	8	5	4	1	13	20	11	5	20	1	0	217
OG0000140	13	0	11	10	10	16	12	1	0	24	2	1	11	6	23	3	8	4	8	7	7	6	32	0	215
OG0000141	13	3	11	14	4	6	8	1	0	4	2	10	6	30	10	0	4	11	28	17	1	26	5	0	214
OG0000142	9	6	10	18	10	3	4	6	2	9	8	2	9	11	9	10	8	4	10	13	19	25	8	1	214
OG0000143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	213
OG0000144	30	16	19	22	0	3	4	0	0	0	1	6	0	23	0	22	0	23	6	5	0	32	0	0	212
OG0000145	2	18	1	5	9	32	45	0	0	23	0	0	5	0	5	11	6	2	25	11	1	1	10	0	212
OG0000146	20	9	15	25	3	14	87	0	0	0	0	0	0	5	0	9	0	0	4	7	0	13	0	0	211
OG0000147	6	8	7	7	12	5	5	2	4	24	15	4	9	7	26	8	12	10	5	7	10	4	13	0	210
OG0000148	4	3	7	9	25	5	9	4	0	33	4	3	13	2	30	2	16	11	2	5	4	11	8	0	210
OG0000149	5	2	9	13	10	9	4	4	2	15	16	6	6	12	7	11	8	11	15	12	2	25	5	0	209
OG0000150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	209
OG0000151	4	4	11	5	21	5	5	0	0	42	0	3	13	3	21	9	17	10	4	4	11	3	13	0	208
OG0000152	19	5	25	39	2	0	0	0	0	4	0	2	0	12	0	3	0	1	24	20	0	51	0	0	207
OG0000153	11	8	30	27	5	26	27	1	0	10	0	3	2	5	4	0	10	2	8	9	4	11	4	0	207
OG0000154	11	2	8	8	4	11	13	1	0	50	2	2	1	4	6	31	8	5	16	8	0	14	2	0	207
OG0000155	2	1	7	6	9	3	1	5	0	22	21	9	14	9	47	10	7	9	3	4	10	3	5	0	207
OG0000156	0	0	0	0	0	37	164	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	205
OG0000157	3	4	4	9	15	5	4	13	4	26	10	4	14	2	16	3	19	4	6	6	13	5	13	2	204
OG0000158	2	1	3	26	20	2	0	8	3	28	2	2	16	3	32	2	20	3	2	2	8	5	13	1	204
OG0000159	6	5	3	3	7	6	8	4	0	7	2	15	6	20	11	15	7	23	6	6	3	36	4	0	203
OG0000160	3	3	2	6	6	10	18	4	1	15	10	4	10	9	7	12	5	27	20	11	9	7	3	1	203
OG0000161	29	42	12	12	0	0	0	0	0	0	0	6	0	43	0	28	0	0	13	1	0	16	0	0	202
OG0000162	2	1	1	0	8	5	14	0	0	19	65	1	10	2	31	7	9	9	1	1	8	1	7	0	202
OG0000163	7	8	6	8	14	5	5	3	0	26	11	5	10	2	19	11	15	1	11	17	5	4	8	0	201
OG0000164	8	6	2	8	11	14	10	23	0	16	13	4	7	8	12	2	9	13	10	7	0	12	5	0	200
OG0000165	2	1	1	1	20	7	8	1	0	30	2	1	19	1	30	7	25	2	16	7	0	1	18	0	200
OG0000166	8	4	9	19	6	8	5	0	0	10	0	11	7	20	18	5	7	11	12	7	5	21	6	0	199
OG0000167	5	7	9	23	18	6	7	2	2	20	4	5	14	4	20	0	14	3	6	5	6	6	13	0	199
OG0000168	5	7	6	11	14	4	4	6	0	23	3	3	9	6	15	9	14	7	20	10	5	9	9	0	199
OG0000169	12	9	8	6	8	16	20	1	0	10	0	5	6	8	13	4	12	24	9	4	2	15	5	0	197
OG0000170	1	1	0	0	0	0	1	0	0	189	1	0	0	0	0	1	1	0	0	2	0	0	0	0	197
OG0000171	4	6	6	17	9	12	15	3	1	15	15	3	13	4	11	7	12	7	9	6	7	6	8	0	196
OG0000172	12	3	2	14	9	16	16	1	0	13	10	2	6	2	7	8	7	9	40	8	0	3	8	0	196
OG0000173	4	2	3	2	26	3	3	1	0	36	5	2	16	2	32	8	20	2	3	2	7	2	15	0	196
OG0000174	4	4	7	30	7	8	5	2	1	8	2	6	7	5	10	9	6	11	16	8	6	26	7	0	195
OG0000175	7	4	13	28	7	11	5	4	2	10	6	5	6	5	13	4	5	9	20	11	5	6	6	2	194
OG0000176	0	0	0	0	78	0	0	0	0	53	0	0	11	0	23	0	24	0	0	0	0	1	4	0	194
OG0000177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	193	0	0	0	194
OG0000178	12	17	8	20	0	4	5	0	0	0	0	7	0	12	0	6	0	3	36	41	0	21	0	0	192
OG0000179	6	5	14	10	9	13	8	9	2	16	4	4	14	8	9	6	10	5	5	6	9	7	7	6	192
OG0000180	12	2	3	5	11	8	8	4	0	14	8	8	5	11	17	8	9	10	9	16	3	15	6	0	192
OG0000181	7	6	10	14	13	4	4	4	4	24	3	7	8	4	9	8	11	5	6	5	10	12	11	2	191
OG0000182	13	19	6	18	11	11	10	0	0	9	2	2	2	12	0	7	7	3	29	13	4	11	1	0	190
OG0000183	4	3	6	26	15	3	5	4	3	27	15	4	9	3	24	3	9	5	4	3	5	3	6	0	189
OG0000184	13	3	13	16	2	10	10	5	2	4	0	8	7	12	18	4	3	13	13	11	0	12	9	0	188
OG0000185	6	1	6	31	16	4	5	2	0	31	14	3	9	3	13	2	16	8	4	3	1	4	6	0	188
OG0000186	6	4	11	3	2	17	15	5	1	6	6	5	6	6	7	15	1	17	17	12	9	14	2	1	188
OG0000187	22	6	22	40	6	4	4	0	0	7	0	5	0	5	0	0	2	1	23	37	0	3	0	0	187
OG0000188	2	11	5	7	6	24	18	2	0	7	2	3	7	3	9	30	3	11	12	9	3	6	7	0	187
OG0000189	0	0	0	0	0	0	0	0	0	183	1	1	0	0	0	0	0	0	0	0	0	2	0	0	187
OG0000190	17	10	11	41	3	8	8	0	0	9	0	8	4	9	16	0	5	0	9	9	0	14	5	0	186
OG0000191	2	1	0	0	8	15	36	8	0	18	0	0	7	0	11	40	4	19	3	1	9	0	4	0	186
OG0000192	8	8	11	11	10	4	6	5	4	20	4	7	6	6	15	6	8	5	10	11	9	6	5	0	185
OG0000193	5	2	6	13	11	7	5	18	1	15	13	0	18	4	11	12	6	4	5	8	5	3	11	0	183
OG0000194	2	11	9	32	6	13	16	4	1	5	0	7	5	8	15	2	3	2	10	8	2	15	4	2	182
OG0000195	4	4	8	26	4	8	8	10	1	11	5	7	7	5	12	1	2	12	9	9	11	12	4	1	181
OG0000196	26	29	7	17	0	2	3	0	0	0	0	1	0	6	0	2	0	3	33	49	0	2	0	0	180
OG0000197	4	4	4	6	12	12	8	6	0	23	3	3	18	1	17	0	16	10	7	7	3	6	10	0	180
OG0000198	6	6	12	18	4	13	12	3	0	2	1	6	7	6	14	9	3	4	13	5	3	27	6	0	180
OG0000199	0	0	0	1	26	0	1	0	0	62	0	0	22	0	27	1	8	0	0	0	13	1	18	0	180
OG0000200	3	4	1	3	4	6	7	8	0	15	15	2	13	2	32	4	6	28	6	3	3	7	7	0	179
OG0000201	3	3	4	21	16	3	6	1	3	26	6	4	10	5	22	7	10	4	3	3	10	3	6	0	179
OG0000202	1	1	3	12	16	4	4	2	0	19	10	2	16	3	37	2	15	3	2	2	7	3	15	0	179
OG0000203	4	5	5	4	17	10	10	1	1	17	12	3	10	4	9	12	15	12	3	3	1	5	14	0	177
OG0000204	2	6	6	18	12	4	3	0	1	24	10	2	11	2	22	9	11	9	2	4	10	3	6	0	177
OG0000205	5	1	6	9	15	3	3	4	0	22	10	4	9	4	14	7	13	8	6	6	15	5	8	0	177
OG0000206	9	1	1	2	1	34	24	0	0	6	0	5	1	14	2	19	4	1	7	5	0	36	5	0	177
OG0000207	1	2	3	6	7	9	10	2	3	16	2	8	7	11	15	2	6	27	1	1	10	19	9	0	177
OG0000208	2	4	2	19	7	7	14	4	0	9	6	2	9	5	10	2	4	12	21	13	12	6	6	0	176
OG0000209	3	14	4	6	5	21	22	1	0	5	0	3	2	2	4	43	2	25	3	4	3	3	0	0	175
OG0000210	9	7	10	10	2	9	10	1	0	2	4	7	3	10	6	21	0	13	16	14	8	10	3	0	175
OG0000211	7	5	5	9	9	11	9	5	1	14	10	5	8	5	13	11	10	6	6	9	2	5	8	1	174
OG0000212	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174
OG0000213	2	1	18	27	3	6	6	0	0	5	1	5	2	8	3	0	2	20	18	30	0	14	2	0	173
OG0000214	18	7	2	1	0	4	22	0	0	0	0	0	1	4	0	4	0	1	61	43	2	1	1	0	172
OG0000215	7	3	14	28	5	5	3	6	0	7	1	5	3	6	8	10	5	15	22	5	3	7	4	0	172
OG0000216	2	12	8	40	1	8	8	0	0	6	0	2	3	3	3	2	3	14	28	10	0	18	1	0	172
OG0000217	3	0	0	0	8	0	0	0	0	24	0	0	37	0	54	0	12	0	0	0	0	0	33	0	171
OG0000218	9	10	10	19	2	12	16	3	1	2	0	2	2	23	3	6	1	4	12	9	2	21	1	0	170
OG0000219	22	6	12	9	1	22	19	0	0	1	0	5	1	9	3	2	0	13	17	6	0	20	2	0	170
OG0000220	6	7	9	22	8	3	3	2	2	18	8	6	7	7	17	5	7	2	12	4	3	6	6	0	170
OG0000221	3	3	5	11	12	5	4	2	7	22	0	3	13	3	29	6	14	6	4	4	1	3	9	1	170
OG0000222	2	3	7	28	4	11	6	0	1	10	14	4	5	8	7	4	4	10	14	9	8	6	3	1	169
OG0000223	3	2	6	15	8	7	3	2	1	16	1	5	6	3	25	14	5	8	4	7	17	3	8	0	169
OG0000224	0	0	0	0	34	0	0	0	0	34	0	0	25	0	27	0	29	0	0	0	0	0	20	0	169
OG0000225	2	2	6	9	10	2	2	7	1	19	1	4	13	3	24	2	8	10	5	8	8	6	15	1	168
OG0000226	4	12	11	10	3	8	9	3	2	7	5	3	3	6	6	8	2	16	24	16	2	5	2	0	167
OG0000227	3	6	5	7	18	4	4	1	0	25	7	3	11	5	14	7	12	4	3	4	8	4	10	1	166
OG0000228	3	6	3	18	6	6	12	0	1	15	0	7	4	12	12	2	9	13	3	4	4	22	2	1	165
OG0000229	13	17	10	17	3	17	16	14	0	4	1	3	2	4	2	6	2	3	16	8	0	5	2	0	165
OG0000230	4	6	13	11	5	14	11	12	0	9	8	3	6	2	10	4	6	13	9	5	4	5	5	0	165
OG0000231	3	3	9	18	11	5	5	5	0	18	12	2	7	4	9	5	7	10	7	5	8	6	6	0	165
OG0000232	16	13	9	5	0	10	13	2	0	14	6	2	9	5	13	22	1	11	3	1	2	7	0	0	164
OG0000233	4	2	7	15	3	6	6	5	0	3	5	3	2	4	2	51	2	17	6	8	6	3	1	3	164
OG0000234	2	2	4	23	8	2	2	3	1	20	24	2	8	1	31	3	7	6	2	2	4	2	5	0	164
OG0000235	5	2	6	6	6	12	25	2	0	14	1	4	5	7	7	2	5	4	20	12	1	12	6	0	164
OG0000236	4	6	9	17	4	8	8	1	0	6	13	5	3	4	3	3	3	21	17	16	1	9	2	0	163
OG0000237	16	9	16	17	0	0	9	0	0	1	0	0	0	32	0	0	0	0	29	31	0	3	0	0	163
OG0000238	4	1	6	11	11	4	6	5	1	10	19	3	11	5	8	5	5	9	10	8	3	6	9	3	163
OG0000239	3	4	6	14	12	3	5	3	1	24	20	3	7	3	14	4	12	4	2	3	7	4	5	0	163
OG0000240	5	4	10	14	4	3	3	0	3	4	31	3	2	8	13	1	3	16	2	3	2	25	2	2	163
OG0000241	58	11	23	15	0	3	9	0	0	0	0	2	0	20	0	2	0	0	16	1	1	1	0	0	162
OG0000242	4	6	5	11	10	7	8	11	1	14	8	4	7	1	12	9	5	3	11	5	5	6	8	1	162
OG0000243	4	5	8	29	1	5	2	2	0	2	3	3	4	9	6	4	2	22	26	11	4	8	2	0	162
