Orthogroup	SACKO_ok	HUMAN
OG0000034	SACKO_16505	HUMAN01831, HUMAN13891
OG0000034	SACKO_05860	HUMAN04678
OG0000034	SACKO_20630, SACKO_18516, SACKO_29852	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	SACKO_20915	HUMAN04988
OG0000035	SACKO_02558	HUMAN06576
OG0000035	SACKO_19408	HUMAN09866
OG0000035	SACKO_12639	HUMAN06191, HUMAN03898
OG0000035	SACKO_13246	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810
OG0000035	SACKO_16912, SACKO_19307, SACKO_22660	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	SACKO_08422	HUMAN04383
OG0000036	SACKO_28321	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	SACKO_21179, SACKO_14647	HUMAN11289
OG0000036	SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688	HUMAN22872
OG0000036	SACKO_28315	HUMAN27983, HUMAN15223
OG0000037	SACKO_22630	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817
OG0000037	SACKO_05171	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000037	SACKO_15149	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	SACKO_21107, SACKO_21121, SACKO_07542, SACKO_17953, SACKO_17956	HUMAN03689
OG0000038	SACKO_00016	HUMAN18259, HUMAN18258
OG0000038	SACKO_05258, SACKO_05271	HUMAN18257
OG0000039	SACKO_24480	HUMAN02107, HUMAN02110, HUMAN02111
OG0000039	SACKO_16726, SACKO_16701	HUMAN29023
OG0000040	SACKO_27347, SACKO_18726, SACKO_31332, SACKO_18377, SACKO_18375, SACKO_18381, SACKO_18372, SACKO_21524, SACKO_18370, SACKO_21492, SACKO_21526, SACKO_12837, SACKO_20866, SACKO_06279, SACKO_20851	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	SACKO_08282	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298
OG0000041	SACKO_06515	HUMAN19139, HUMAN27913
OG0000044	SACKO_25267	HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717
OG0000045	SACKO_11123	HUMAN02932
OG0000045	SACKO_32893, SACKO_32938, SACKO_32925	HUMAN29444
OG0000046	SACKO_04617, SACKO_18448	HUMAN23116
OG0000046	SACKO_27244, SACKO_27309, SACKO_27311, SACKO_25196, SACKO_25208	HUMAN29094
OG0000047	SACKO_17315	HUMAN22760
OG0000048	SACKO_15652, SACKO_15237, SACKO_15246	HUMAN08560, HUMAN08561
OG0000048	SACKO_03133	HUMAN16328
OG0000048	SACKO_17673	HUMAN16644
OG0000048	SACKO_29639	HUMAN11449
OG0000049	SACKO_08936	HUMAN25699, HUMAN05316
OG0000049	SACKO_25469	HUMAN20965, HUMAN26499
OG0000049	SACKO_25472	HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433
OG0000051	SACKO_26547, SACKO_15743, SACKO_15729, SACKO_15742, SACKO_15726	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000053	SACKO_03479	HUMAN01064
OG0000054	SACKO_17476	HUMAN23119
OG0000054	SACKO_33924, SACKO_28075, SACKO_02978, SACKO_02968, SACKO_33533, SACKO_31837, SACKO_03553, SACKO_03606, SACKO_03590, SACKO_22513, SACKO_14957, SACKO_14966, SACKO_22867, SACKO_12976, SACKO_09411, SACKO_09416, SACKO_04221	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964
OG0000056	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194
OG0000056	SACKO_22063, SACKO_13826, SACKO_16845, SACKO_11517, SACKO_05139	HUMAN14865
OG0000058	SACKO_23572	HUMAN17378, HUMAN03592
OG0000059	SACKO_01899	HUMAN21611
OG0000059	SACKO_18357	HUMAN05382, HUMAN22839, HUMAN23845
OG0000060	SACKO_26044	HUMAN25284
OG0000060	SACKO_08309	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988
OG0000061	SACKO_02041	HUMAN17964, HUMAN26554
OG0000061	SACKO_02073	HUMAN18142, HUMAN20809, HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337
OG0000061	SACKO_02064	HUMAN26138, HUMAN26137, HUMAN12821
OG0000062	SACKO_15950, SACKO_15963, SACKO_09033	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	SACKO_15645	HUMAN25285
OG0000063	SACKO_12392	HUMAN14398, HUMAN28499, HUMAN00858
OG0000063	SACKO_30337	HUMAN21099
OG0000063	SACKO_15119	HUMAN18628, HUMAN03783, HUMAN03782
OG0000066	SACKO_23403	HUMAN29798
OG0000067	SACKO_29221, SACKO_31855, SACKO_31833, SACKO_12536, SACKO_12547, SACKO_12538, SACKO_06258, SACKO_31568, SACKO_29251, SACKO_32787, SACKO_32780, SACKO_02541, SACKO_12383, SACKO_13178, SACKO_19397, SACKO_21210, SACKO_13183, SACKO_02285, SACKO_12598, SACKO_16903, SACKO_03814, SACKO_03817, SACKO_18910	HUMAN24070, HUMAN22809
OG0000068	SACKO_00510, SACKO_11410	HUMAN26983
OG0000068	SACKO_06365	HUMAN30510, HUMAN30509, HUMAN20837, HUMAN20380, HUMAN30511, HUMAN21486, HUMAN06933
OG0000070	SACKO_18930, SACKO_18932	HUMAN25671, HUMAN29634, HUMAN30393
OG0000070	SACKO_16529, SACKO_03669, SACKO_06869, SACKO_08780, SACKO_08776, SACKO_17153, SACKO_29369, SACKO_16538, SACKO_10537, SACKO_10050, SACKO_01480, SACKO_29930	HUMAN14161
OG0000072	SACKO_25103, SACKO_25111	HUMAN22965, HUMAN22964, HUMAN04101
OG0000072	SACKO_14515	HUMAN22852
OG0000072	SACKO_31517	HUMAN03255, HUMAN03252
OG0000074	SACKO_04859	HUMAN07045, HUMAN07044, HUMAN21437
OG0000074	SACKO_00567, SACKO_23013	HUMAN09283
OG0000074	SACKO_01565, SACKO_20235, SACKO_20240, SACKO_02109, SACKO_12436, SACKO_31326, SACKO_31311, SACKO_16881, SACKO_29200, SACKO_29259, SACKO_32314, SACKO_29235, SACKO_02421, SACKO_29199, SACKO_29193, SACKO_29237, SACKO_29214, SACKO_02420, SACKO_15509, SACKO_14575, SACKO_14398, SACKO_14464, SACKO_14421, SACKO_26150, SACKO_06386, SACKO_14271, SACKO_08735	HUMAN15238, HUMAN13822
OG0000075	SACKO_07161	HUMAN12839, HUMAN02593
OG0000075	SACKO_31868	HUMAN18233
OG0000075	SACKO_31864	HUMAN06329
OG0000075	SACKO_16948	HUMAN00444
OG0000075	SACKO_18318	HUMAN05218
OG0000075	SACKO_31867	HUMAN18234, HUMAN06328
OG0000075	SACKO_23452	HUMAN01424, HUMAN01425, HUMAN26867
OG0000075	SACKO_23651	HUMAN05783, HUMAN21047
OG0000075	SACKO_09677	HUMAN20335, HUMAN20336, HUMAN20532
OG0000075	SACKO_16926	HUMAN26884
OG0000077	SACKO_10609, SACKO_13734	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606
OG0000077	SACKO_03449	HUMAN21328, HUMAN05501
OG0000077	SACKO_24063	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146
OG0000077	SACKO_16621, SACKO_13762	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341
OG0000077	SACKO_02025	HUMAN23402
OG0000078	SACKO_29101, SACKO_02475	HUMAN15000, HUMAN04284, HUMAN06996
OG0000079	SACKO_22850	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	SACKO_28168	HUMAN22600, HUMAN22601, HUMAN24340
OG0000079	SACKO_02973	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260
OG0000079	SACKO_02974	HUMAN13037
OG0000081	SACKO_09027	HUMAN21909, HUMAN27509
OG0000082	SACKO_10320, SACKO_23913, SACKO_28357, SACKO_23907, SACKO_09409, SACKO_23931, SACKO_23906, SACKO_26214, SACKO_32295	HUMAN29167
OG0000082	SACKO_12474	HUMAN23869
OG0000082	SACKO_23968	HUMAN23871
OG0000083	SACKO_30590	HUMAN07535, HUMAN22993
OG0000084	SACKO_10969, SACKO_17061, SACKO_10264, SACKO_10253	HUMAN03696
OG0000084	SACKO_06467, SACKO_06545, SACKO_31931	HUMAN22975
OG0000084	SACKO_25939, SACKO_05229, SACKO_05226, SACKO_29112, SACKO_05196, SACKO_05204, SACKO_34192, SACKO_05203, SACKO_05224, SACKO_05166, SACKO_05235, SACKO_10741, SACKO_10738, SACKO_10729, SACKO_10733, SACKO_06583	HUMAN22750, HUMAN17196, HUMAN03227
OG0000085	SACKO_23009	HUMAN12866, HUMAN20608, HUMAN17788
OG0000085	SACKO_25563	HUMAN26172
OG0000085	SACKO_10208	HUMAN19734, HUMAN19733, HUMAN05027
OG0000085	SACKO_33849	HUMAN25832
OG0000087	SACKO_18343	HUMAN11956
OG0000087	SACKO_09961	HUMAN02557
OG0000087	SACKO_21024	HUMAN17213
OG0000087	SACKO_23310, SACKO_14360	HUMAN21001
OG0000087	SACKO_28507	HUMAN18010
OG0000087	SACKO_23472	HUMAN21063
OG0000087	SACKO_06733	HUMAN10659
OG0000088	SACKO_22121, SACKO_03740, SACKO_08568, SACKO_17308, SACKO_10633, SACKO_10635, SACKO_31806, SACKO_21553, SACKO_32685, SACKO_32679, SACKO_28645, SACKO_11604, SACKO_11610, SACKO_24227, SACKO_24190, SACKO_14146, SACKO_31824, SACKO_31840, SACKO_27885, SACKO_20075, SACKO_18749, SACKO_25662, SACKO_04357, SACKO_25835, SACKO_02277, SACKO_25182, SACKO_33837, SACKO_01867, SACKO_33325, SACKO_11683	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367
OG0000089	SACKO_27338	HUMAN29653, HUMAN25674
OG0000090	SACKO_21411	HUMAN24709
OG0000090	SACKO_28463, SACKO_27294, SACKO_22823, SACKO_27256, SACKO_22832, SACKO_22824	HUMAN28948
OG0000093	SACKO_04129	HUMAN25814, HUMAN25815, HUMAN26490, HUMAN26491, HUMAN20914
OG0000094	SACKO_30142	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866
OG0000094	SACKO_14416	HUMAN02204, HUMAN29518, HUMAN14811, HUMAN14814, HUMAN29867, HUMAN14812
OG0000095	SACKO_22134, SACKO_02519	HUMAN26970, HUMAN26969, HUMAN26968, HUMAN26971, HUMAN26972, HUMAN27896, HUMAN27895, HUMAN07634, HUMAN21634, HUMAN21633, HUMAN18120
OG0000096	SACKO_00041	HUMAN30343, HUMAN07778, HUMAN21683
OG0000096	SACKO_02842	HUMAN01418, HUMAN23507, HUMAN06774
OG0000096	SACKO_13904	HUMAN27289
OG0000096	SACKO_24537	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866
OG0000096	SACKO_23084	HUMAN04200
OG0000096	SACKO_27312, SACKO_27255	HUMAN21561
OG0000098	SACKO_30373, SACKO_19685	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602
OG0000098	SACKO_15840	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771
OG0000099	SACKO_04331	HUMAN22987, HUMAN30307, HUMAN05422, HUMAN24115, HUMAN05424
OG0000099	SACKO_03078	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390
OG0000101	SACKO_13586, SACKO_13587, SACKO_31937	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478
OG0000101	SACKO_23978, SACKO_23977	HUMAN22036, HUMAN22037
OG0000101	SACKO_17213, SACKO_17194, SACKO_17207, SACKO_30330	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830
OG0000102	SACKO_09072, SACKO_09096, SACKO_13190	HUMAN08946, HUMAN02473
OG0000102	SACKO_03174, SACKO_24642, SACKO_24634, SACKO_24635, SACKO_25830, SACKO_27386, SACKO_24644, SACKO_06606, SACKO_24917, SACKO_26731, SACKO_33717, SACKO_06602, SACKO_23037, SACKO_18657, SACKO_18650, SACKO_28533, SACKO_15184, SACKO_18640	HUMAN29446, HUMAN29103
OG0000103	SACKO_33359	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888
OG0000103	SACKO_23497	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080
OG0000104	SACKO_13626, SACKO_13628, SACKO_13620	HUMAN05724, HUMAN19523
OG0000104	SACKO_19425	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742
OG0000104	SACKO_13617	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722
OG0000104	SACKO_06378, SACKO_13688	HUMAN19373
OG0000104	SACKO_16066	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799
OG0000106	SACKO_19035	HUMAN27844
OG0000106	SACKO_31163, SACKO_03309, SACKO_31157, SACKO_05024, SACKO_19089, SACKO_19090, SACKO_26319	HUMAN01589, HUMAN09602
OG0000107	SACKO_11530, SACKO_10874, SACKO_28015, SACKO_06746	HUMAN01575, HUMAN24611
OG0000107	SACKO_10895	HUMAN24628
OG0000108	SACKO_23326	HUMAN12801, HUMAN02912, HUMAN06356, HUMAN17551
OG0000111	SACKO_16656	HUMAN10226, HUMAN20105, HUMAN13252, HUMAN08327, HUMAN18760, HUMAN30250, HUMAN19322, HUMAN27802, HUMAN27801, HUMAN00609, HUMAN25761, HUMAN25760, HUMAN27800, HUMAN19324
OG0000113	SACKO_14235, SACKO_07253, SACKO_22562, SACKO_28107, SACKO_25640, SACKO_27005	HUMAN00919
OG0000113	SACKO_09021	HUMAN02820, HUMAN26992, HUMAN26993, HUMAN26990
OG0000113	SACKO_09973	HUMAN26991
OG0000114	SACKO_05497, SACKO_05499, SACKO_05519	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199
OG0000116	SACKO_18613, SACKO_08085, SACKO_18612, SACKO_18615, SACKO_03400, SACKO_03390	HUMAN01486
OG0000116	SACKO_31632	HUMAN18678
OG0000117	SACKO_32122	HUMAN04356, HUMAN04357
OG0000117	SACKO_05824	HUMAN14531
OG0000119	SACKO_14170	HUMAN17875, HUMAN06568, HUMAN12949
OG0000119	SACKO_22937, SACKO_22948, SACKO_22971	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779
OG0000119	SACKO_28303	HUMAN17940, HUMAN20669
OG0000121	SACKO_13416, SACKO_17485, SACKO_17484, SACKO_03657	HUMAN23092, HUMAN03659
