Orthogroup	SACKO_ok	MOUSE
OG0000007	SACKO_25751	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	SACKO_17363	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510
OG0000007	SACKO_07507	MOUSE32557
OG0000007	SACKO_03410	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807
OG0000007	SACKO_33128	MOUSE49749
OG0000007	SACKO_15684	MOUSE13954
OG0000007	SACKO_15694	MOUSE09061
OG0000007	SACKO_22717	MOUSE09062, MOUSE49739
OG0000007	SACKO_00920	MOUSE38585
OG0000007	SACKO_27771	MOUSE04689, MOUSE37388
OG0000007	SACKO_27817	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	SACKO_00927	MOUSE38586, MOUSE06525
OG0000007	SACKO_02233	MOUSE06204
OG0000007	SACKO_31102, SACKO_31073	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
OG0000007	SACKO_11981	MOUSE07031, MOUSE07030
OG0000008	SACKO_05714, SACKO_03429	MOUSE03822, MOUSE03823
OG0000008	SACKO_07048	MOUSE25499, MOUSE25498, MOUSE25349
OG0000008	SACKO_10317	MOUSE50311
OG0000010	SACKO_31740	MOUSE36610, MOUSE36609, MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888
OG0000012	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000012	SACKO_01736	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000012	SACKO_05175	MOUSE38313
OG0000014	SACKO_10784, SACKO_10786	MOUSE31054, MOUSE02337, MOUSE14097, MOUSE06495, MOUSE06496, MOUSE06497, MOUSE06101, MOUSE06102, MOUSE06100
OG0000014	SACKO_33738, SACKO_26423, SACKO_26460	MOUSE31149, MOUSE31150
OG0000014	SACKO_06765, SACKO_21227, SACKO_28145, SACKO_13011, SACKO_28125, SACKO_13001	MOUSE22789, MOUSE22790, MOUSE00987
OG0000014	SACKO_13283	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686
OG0000014	SACKO_06958	MOUSE04191
OG0000015	SACKO_31697	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509, SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968	MOUSE48959, MOUSE48960, MOUSE15414
OG0000016	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946	MOUSE13078, MOUSE13077
OG0000016	SACKO_11717, SACKO_14898	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	SACKO_26527	MOUSE44334
OG0000016	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335
OG0000019	SACKO_28153	MOUSE41500, MOUSE41496, MOUSE41501, MOUSE41497, MOUSE41498, MOUSE41499, MOUSE46139, MOUSE46138, MOUSE46137
OG0000019	SACKO_23880	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640
OG0000019	SACKO_20403, SACKO_20414	MOUSE30063, MOUSE30064
OG0000020	SACKO_25295, SACKO_05608	MOUSE45177
OG0000020	SACKO_22951	MOUSE05499, MOUSE05500
OG0000020	SACKO_32378	MOUSE07164
OG0000020	SACKO_20642	MOUSE33588
OG0000020	SACKO_08732	MOUSE23587, MOUSE23586
OG0000020	SACKO_21519	MOUSE26371
OG0000020	SACKO_08704, SACKO_24262, SACKO_13567, SACKO_14956, SACKO_28904	MOUSE45175, MOUSE15405, MOUSE15402
OG0000020	SACKO_16107, SACKO_20105	MOUSE24012
OG0000020	SACKO_15854	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	SACKO_20295	MOUSE35162
OG0000020	SACKO_29670	MOUSE09601, MOUSE09602
OG0000020	SACKO_24638	MOUSE37001, MOUSE37002
OG0000020	SACKO_04828	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	SACKO_24549	MOUSE41024, MOUSE41023
OG0000021	SACKO_32115	MOUSE49041, MOUSE09998
OG0000021	SACKO_15594	MOUSE04592
OG0000021	SACKO_25838	MOUSE44445, MOUSE53773, MOUSE44446
OG0000021	SACKO_24637, SACKO_24630, SACKO_24646, SACKO_24640	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000023	SACKO_10529	MOUSE46773, MOUSE46772
OG0000023	SACKO_06926	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835
OG0000026	SACKO_19144	MOUSE34507
OG0000026	SACKO_23233	MOUSE12605
OG0000026	SACKO_15830, SACKO_19336, SACKO_18847, SACKO_04619, SACKO_24091, SACKO_06770	MOUSE38308, MOUSE38309
OG0000027	SACKO_30755, SACKO_33108, SACKO_05489, SACKO_05485, SACKO_05487, SACKO_04609, SACKO_04624, SACKO_33129, SACKO_21634, SACKO_02136	MOUSE18379, MOUSE18380, MOUSE36638, MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636
OG0000027	SACKO_02698	MOUSE18678, MOUSE18679
OG0000028	SACKO_00730, SACKO_00734	MOUSE30414, MOUSE30413, MOUSE51349, MOUSE51347, MOUSE51348, MOUSE47957, MOUSE12712, MOUSE29157, MOUSE29159, MOUSE47956, MOUSE47954, MOUSE47955, MOUSE26458
OG0000028	SACKO_00054, SACKO_29910	MOUSE44525
OG0000029	SACKO_10012, SACKO_10033	MOUSE43115, MOUSE43116
OG0000029	SACKO_04574	MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995
OG0000029	SACKO_15001	MOUSE17544, MOUSE15400
OG0000029	SACKO_16822, SACKO_04689, SACKO_33098, SACKO_33086, SACKO_33097, SACKO_33076	MOUSE26337, MOUSE23727, MOUSE29998, MOUSE16471
OG0000030	SACKO_06190, SACKO_06196	MOUSE13263, MOUSE13264, MOUSE13265
OG0000030	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432
OG0000030	SACKO_07650, SACKO_31340, SACKO_33296, SACKO_16706, SACKO_20032	MOUSE21340
OG0000031	SACKO_18621	MOUSE26385
OG0000031	SACKO_18614	MOUSE14840, MOUSE26448, MOUSE08530
OG0000031	SACKO_26607, SACKO_21501	MOUSE39309, MOUSE01505
OG0000031	SACKO_14417	MOUSE13006, MOUSE13005
OG0000031	SACKO_32680	MOUSE48656, MOUSE48889
OG0000031	SACKO_14578	MOUSE13007, MOUSE36274, MOUSE36271
OG0000031	SACKO_03088	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579
OG0000031	SACKO_31006	MOUSE13008
OG0000032	SACKO_26058	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600
OG0000032	SACKO_20615	MOUSE41899
OG0000032	SACKO_20618, SACKO_18250, SACKO_18255, SACKO_27193, SACKO_27208, SACKO_28754	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	SACKO_02664	MOUSE29123
OG0000032	SACKO_04047, SACKO_04056, SACKO_31787, SACKO_31778, SACKO_31779, SACKO_31775, SACKO_31777, SACKO_31788, SACKO_31776, SACKO_31785, SACKO_04038, SACKO_28244, SACKO_28242, SACKO_28243	MOUSE23164
OG0000034	SACKO_08906	MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	SACKO_15619	MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011
OG0000034	SACKO_19192	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	SACKO_16505	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105
OG0000034	SACKO_05860	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	SACKO_20630, SACKO_18516, SACKO_29852	MOUSE11491, MOUSE11490
OG0000034	SACKO_20915	MOUSE20059
OG0000035	SACKO_02558	MOUSE02570, MOUSE02571
OG0000035	SACKO_19408	MOUSE51376, MOUSE51375, MOUSE51377
OG0000035	SACKO_12639	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	SACKO_13246	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	SACKO_16912, SACKO_19307, SACKO_22660	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507
OG0000035	SACKO_08422	MOUSE27104
OG0000036	SACKO_28321	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	SACKO_21179, SACKO_14647	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439
OG0000036	SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688	MOUSE29724, MOUSE29725
OG0000036	SACKO_28315	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723
OG0000036	SACKO_14641	MOUSE49438
OG0000037	SACKO_22630	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306
OG0000037	SACKO_05171	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378
OG0000037	SACKO_15149	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631
OG0000037	SACKO_21107, SACKO_21121, SACKO_07542, SACKO_17953, SACKO_17956	MOUSE21441
OG0000038	SACKO_05258, SACKO_05271	MOUSE22591, MOUSE22592
OG0000039	SACKO_24480	MOUSE24093, MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091, MOUSE24088
OG0000039	SACKO_16726, SACKO_16701	MOUSE32704
OG0000040	SACKO_27347, SACKO_18726, SACKO_31332, SACKO_18377, SACKO_18375, SACKO_18381, SACKO_18372, SACKO_21524, SACKO_18370, SACKO_21492, SACKO_21526, SACKO_12837, SACKO_20866, SACKO_06279, SACKO_20851	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000041	SACKO_08282	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266
OG0000041	SACKO_06515	MOUSE28829, MOUSE21621
OG0000044	SACKO_25267	MOUSE09513, MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857, MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857, MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643
OG0000045	SACKO_11123	MOUSE25074
OG0000045	SACKO_32893, SACKO_32938, SACKO_32925	MOUSE25340, MOUSE25339, MOUSE25341
OG0000045	SACKO_03986, SACKO_29244	MOUSE17353, MOUSE07193
OG0000046	SACKO_04617, SACKO_18448	MOUSE48114, MOUSE48113
OG0000046	SACKO_27244, SACKO_27309, SACKO_27311, SACKO_25196, SACKO_25208	MOUSE54722, MOUSE34003, MOUSE32874
OG0000048	SACKO_15652, SACKO_15237, SACKO_15246	MOUSE07448, MOUSE07449, MOUSE07453, MOUSE07451, MOUSE07452
OG0000048	SACKO_03133	MOUSE42201, MOUSE42202
OG0000048	SACKO_17673	MOUSE06701
OG0000048	SACKO_29639	MOUSE49641, MOUSE49640, MOUSE49639
OG0000049	SACKO_08936	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986
OG0000049	SACKO_25469	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311
OG0000049	SACKO_25472	MOUSE03391, MOUSE17233, MOUSE17232, MOUSE39154, MOUSE39153, MOUSE40910, MOUSE40909
OG0000051	SACKO_26547, SACKO_15743, SACKO_15729, SACKO_15742, SACKO_15726	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064
OG0000053	SACKO_03479	MOUSE33288
OG0000054	SACKO_17476	MOUSE48109
OG0000054	SACKO_33924, SACKO_28075, SACKO_02978, SACKO_02968, SACKO_33533, SACKO_31837, SACKO_03553, SACKO_03606, SACKO_03590, SACKO_22513, SACKO_14957, SACKO_14966, SACKO_22867, SACKO_12976, SACKO_09411, SACKO_09416, SACKO_04221	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534
OG0000056	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842
OG0000056	SACKO_22063	MOUSE36570
OG0000058	SACKO_23572	MOUSE21857, MOUSE21254
OG0000058	SACKO_00929, SACKO_00933, SACKO_00911	MOUSE38609, MOUSE40444
OG0000059	SACKO_01899	MOUSE52262, MOUSE52259, MOUSE52258
OG0000059	SACKO_18357	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589
OG0000060	SACKO_26044	MOUSE52080, MOUSE52079
OG0000060	SACKO_08309	MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902
OG0000061	SACKO_02041	MOUSE26618, MOUSE38907, MOUSE38906
OG0000061	SACKO_02073	MOUSE22377, MOUSE22378, MOUSE53042, MOUSE06425, MOUSE42762, MOUSE17361, MOUSE03955, MOUSE03956, MOUSE23297, MOUSE23298, MOUSE53307, MOUSE39884, MOUSE39883, MOUSE39889, MOUSE39886, MOUSE39890, MOUSE39885, MOUSE39887, MOUSE39892, MOUSE39891, MOUSE08504, MOUSE08505
OG0000061	SACKO_02064	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785
OG0000062	SACKO_15950, SACKO_15963, SACKO_09033	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586
OG0000062	SACKO_15645	MOUSE52081
OG0000063	SACKO_12392	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696
OG0000063	SACKO_30337	MOUSE10885, MOUSE10881
OG0000063	SACKO_15119	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809
OG0000066	SACKO_23403	MOUSE53763
OG0000067	SACKO_29221, SACKO_31855, SACKO_31833, SACKO_12536, SACKO_12547, SACKO_12538, SACKO_06258, SACKO_31568, SACKO_29251, SACKO_32787, SACKO_32780, SACKO_02541, SACKO_12383, SACKO_13178, SACKO_19397, SACKO_21210, SACKO_13183, SACKO_02285, SACKO_12598, SACKO_16903, SACKO_03814, SACKO_03817, SACKO_18910	MOUSE19580, MOUSE31455
OG0000068	SACKO_06365	MOUSE54270, MOUSE52919, MOUSE52920, MOUSE52921, MOUSE14430, MOUSE41087, MOUSE41088, MOUSE02009
OG0000069	SACKO_07016, SACKO_15035	MOUSE30824
OG0000070	SACKO_18930, SACKO_18932	MOUSE00175, MOUSE00176, MOUSE00177, MOUSE00178, MOUSE55320, MOUSE54102
OG0000070	SACKO_16529, SACKO_03669, SACKO_06869, SACKO_08780, SACKO_08776, SACKO_17153, SACKO_29369, SACKO_16538, SACKO_10537, SACKO_10050, SACKO_01480, SACKO_29930	MOUSE01400, MOUSE01399
OG0000072	SACKO_25103, SACKO_25111	MOUSE30088, MOUSE45691
OG0000072	SACKO_14515	MOUSE29660
OG0000072	SACKO_31517	MOUSE00771, MOUSE00773, MOUSE00770, MOUSE00774, MOUSE00772
OG0000074	SACKO_04859	MOUSE01754, MOUSE40707
OG0000074	SACKO_00567, SACKO_23013	MOUSE27442, MOUSE27441
OG0000074	SACKO_01565, SACKO_20235, SACKO_20240, SACKO_02109, SACKO_12436, SACKO_31326, SACKO_31311, SACKO_16881, SACKO_29200, SACKO_29259, SACKO_32314, SACKO_29235, SACKO_02421, SACKO_29199, SACKO_29193, SACKO_29237, SACKO_29214, SACKO_02420, SACKO_15509, SACKO_14575, SACKO_14398, SACKO_14464, SACKO_14421, SACKO_26150, SACKO_06386, SACKO_14271, SACKO_08735	MOUSE43699, MOUSE19006
OG0000075	SACKO_07161	MOUSE05779, MOUSE03707
OG0000075	SACKO_31868	MOUSE22546
OG0000075	SACKO_31864	MOUSE14633
OG0000075	SACKO_16948	MOUSE34423
OG0000075	SACKO_18318	MOUSE45151
OG0000075	SACKO_31867	MOUSE22547, MOUSE14629, MOUSE14632, MOUSE14631, MOUSE14630
OG0000075	SACKO_23452	MOUSE31075, MOUSE39073
OG0000075	SACKO_23651	MOUSE41200, MOUSE41199, MOUSE41201, MOUSE11240, MOUSE11239
OG0000075	SACKO_09677	MOUSE14370, MOUSE14371, MOUSE14372, MOUSE40742
OG0000075	SACKO_16926	MOUSE39111, MOUSE39110, MOUSE39108, MOUSE39109
OG0000077	SACKO_10609, SACKO_13734	MOUSE27949, MOUSE03243, MOUSE03242, MOUSE12725, MOUSE12726, MOUSE12727
OG0000077	SACKO_03449	MOUSE15867, MOUSE51200
OG0000077	SACKO_24063	MOUSE27778, MOUSE27779, MOUSE21334, MOUSE35957
OG0000077	SACKO_16621, SACKO_13762	MOUSE52108, MOUSE34401, MOUSE16118
OG0000077	SACKO_02025	MOUSE10502
OG0000078	SACKO_29101, SACKO_02475	MOUSE48544, MOUSE27283, MOUSE27282, MOUSE01884
OG0000079	SACKO_22850	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603
OG0000079	SACKO_28168	MOUSE36924, MOUSE36920, MOUSE36921, MOUSE36917, MOUSE36919, MOUSE36918, MOUSE36916, MOUSE36922, MOUSE36928, MOUSE36927, MOUSE55500, MOUSE03421, MOUSE03420, MOUSE03419
OG0000079	SACKO_02973	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479
OG0000079	SACKO_02974	MOUSE05042
OG0000081	SACKO_09027	MOUSE51879
OG0000082	SACKO_10320, SACKO_23913, SACKO_28357, SACKO_23907, SACKO_09409, SACKO_23931, SACKO_23906, SACKO_26214, SACKO_32295	MOUSE25920
OG0000082	SACKO_12474	MOUSE19184
OG0000083	SACKO_30590	MOUSE38865, MOUSE38864, MOUSE38866, MOUSE30042
OG0000084	SACKO_10969, SACKO_17061, SACKO_10264, SACKO_10253	MOUSE21451
OG0000084	SACKO_06467, SACKO_06545, SACKO_31931	MOUSE30075, MOUSE30074
OG0000084	SACKO_25939, SACKO_05229, SACKO_05226, SACKO_29112, SACKO_05196, SACKO_05204, SACKO_34192, SACKO_05203, SACKO_05224, SACKO_05166, SACKO_05235, SACKO_10741, SACKO_10738, SACKO_10729, SACKO_10733, SACKO_06583	MOUSE31596, MOUSE40356, MOUSE00836
OG0000085	SACKO_23009	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267
OG0000085	SACKO_08919	MOUSE54745
OG0000085	SACKO_25563	MOUSE50493, MOUSE50494, MOUSE50492
OG0000085	SACKO_10208	MOUSE15351, MOUSE19993
