Orthogroup	SACKO_ok	CAPO3
OG0000055	SACKO_06734, SACKO_16034, SACKO_06736, SACKO_22855, SACKO_06730, SACKO_06723, SACKO_22841, SACKO_06754, SACKO_06753, SACKO_10896, SACKO_10914, SACKO_10917, SACKO_10872, SACKO_10884, SACKO_27588, SACKO_10909, SACKO_10921, SACKO_10902, SACKO_27559, SACKO_10916, SACKO_30027	CAPO301479, CAPO301432
OG0000056	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672, SACKO_32711, SACKO_24077, SACKO_19128, SACKO_03331, SACKO_23806, SACKO_06355, SACKO_01699, SACKO_04324, SACKO_33186, SACKO_24135, SACKO_10684, SACKO_34077, SACKO_21890, SACKO_14382, SACKO_02173, SACKO_16829, SACKO_08042, SACKO_11469, SACKO_13827, SACKO_01900, SACKO_22063, SACKO_13826, SACKO_16845, SACKO_11517, SACKO_05139	CAPO305974, CAPO306012, CAPO306941
OG0000058	SACKO_15454, SACKO_23572	CAPO305595
OG0000060	SACKO_26044, SACKO_07510, SACKO_24235, SACKO_14759, SACKO_25092, SACKO_25096, SACKO_25098, SACKO_31798, SACKO_14758, SACKO_18890, SACKO_08309	CAPO305373
OG0000062	SACKO_16743, SACKO_15950, SACKO_15963, SACKO_09033, SACKO_15645, SACKO_01291, SACKO_22149	CAPO300910
OG0000063	SACKO_12392, SACKO_30345, SACKO_30337, SACKO_05560, SACKO_17344, SACKO_15225, SACKO_21554, SACKO_13817, SACKO_13819, SACKO_20636, SACKO_21551, SACKO_15119	CAPO300270
OG0000066	SACKO_02924, SACKO_12792, SACKO_04159, SACKO_04149, SACKO_32467, SACKO_12791, SACKO_22294, SACKO_01637, SACKO_22338, SACKO_23403, SACKO_02070, SACKO_09024	CAPO308057
OG0000069	SACKO_07016, SACKO_15035	CAPO302182
OG0000082	SACKO_10320, SACKO_23913, SACKO_28357, SACKO_23907, SACKO_09409, SACKO_23931, SACKO_23906, SACKO_26214, SACKO_32295	CAPO304738
OG0000082	SACKO_12474	CAPO306626
OG0000082	SACKO_26490	CAPO300843
OG0000082	SACKO_12848, SACKO_24599, SACKO_24554, SACKO_24557, SACKO_24563, SACKO_12893	CAPO306232
OG0000085	SACKO_10531, SACKO_23009, SACKO_08919	CAPO303061
OG0000085	SACKO_25563, SACKO_10208, SACKO_29731, SACKO_33849	CAPO303047
OG0000089	SACKO_27338, SACKO_27360	CAPO300386, CAPO300810, CAPO302098
OG0000091	SACKO_25558, SACKO_23916, SACKO_16030, SACKO_16068, SACKO_05246, SACKO_05031, SACKO_05056, SACKO_05059, SACKO_05047, SACKO_05030, SACKO_28587, SACKO_28597, SACKO_28593, SACKO_28598, SACKO_28601	CAPO301134
OG0000095	SACKO_28112, SACKO_28146, SACKO_22238, SACKO_22239, SACKO_09533, SACKO_14638, SACKO_28141, SACKO_28147, SACKO_28111, SACKO_05633, SACKO_28134, SACKO_05646, SACKO_28114, SACKO_22231, SACKO_28136, SACKO_28131, SACKO_05648	CAPO301288, CAPO306046
OG0000096	SACKO_02842	CAPO301431
OG0000096	SACKO_13904	CAPO307955
OG0000096	SACKO_24537	CAPO300294
OG0000096	SACKO_23084, SACKO_27312, SACKO_27255	CAPO307017
OG0000101	SACKO_13586, SACKO_13587, SACKO_31937, SACKO_05234, SACKO_24340, SACKO_08457, SACKO_23978, SACKO_23977, SACKO_08939, SACKO_17213, SACKO_17194, SACKO_17207, SACKO_30330	CAPO306858
OG0000103	SACKO_33359, SACKO_23497	CAPO302453
OG0000106	SACKO_19035, SACKO_31163, SACKO_03309, SACKO_31157, SACKO_05024, SACKO_19089, SACKO_19090, SACKO_26319	CAPO300017
OG0000110	SACKO_10755, SACKO_10759, SACKO_10764, SACKO_28436, SACKO_28440, SACKO_19692, SACKO_19702, SACKO_09064, SACKO_22197	CAPO300387
OG0000116	SACKO_31632	CAPO305622
OG0000119	SACKO_14170, SACKO_22937, SACKO_22948, SACKO_22971, SACKO_28303	CAPO304642
OG0000122	SACKO_31419	CAPO307824
OG0000124	SACKO_19309	CAPO304324
OG0000124	SACKO_18436, SACKO_18432	CAPO302553
OG0000126	SACKO_30837	CAPO302484
OG0000126	SACKO_27653	CAPO306676
OG0000126	SACKO_09501	CAPO300572
OG0000128	SACKO_09563, SACKO_21605, SACKO_14613, SACKO_15316, SACKO_15336	CAPO306991, CAPO304956
OG0000129	SACKO_20115, SACKO_00164, SACKO_17443	CAPO303361
OG0000132	SACKO_02565	CAPO305174
OG0000137	SACKO_15706, SACKO_03335, SACKO_14791, SACKO_24679, SACKO_26787, SACKO_26762, SACKO_21535, SACKO_21490, SACKO_25869, SACKO_08934, SACKO_08979, SACKO_08926	CAPO305369
OG0000142	SACKO_25766, SACKO_02162, SACKO_02157, SACKO_25774, SACKO_21060, SACKO_25772, SACKO_25778, SACKO_25760, SACKO_02153, SACKO_02160, SACKO_28263, SACKO_02155, SACKO_31525	CAPO302031, CAPO302030
OG0000147	SACKO_29987	CAPO308132
OG0000147	SACKO_18080, SACKO_06120	CAPO304230
OG0000149	SACKO_25876, SACKO_25874, SACKO_25452, SACKO_33731, SACKO_25477, SACKO_31812, SACKO_01160, SACKO_10629, SACKO_25873, SACKO_24272, SACKO_00593, SACKO_01114	CAPO305206, CAPO306214
OG0000157	SACKO_13943	CAPO305956
OG0000157	SACKO_19300	CAPO302981
OG0000157	SACKO_02395, SACKO_02389, SACKO_28274	CAPO305824
OG0000160	SACKO_18893, SACKO_04388, SACKO_11262, SACKO_24189	CAPO301680
OG0000167	SACKO_13978, SACKO_13975, SACKO_13984, SACKO_13999, SACKO_13976	CAPO301364, CAPO303476
OG0000171	SACKO_30921, SACKO_17743, SACKO_17747, SACKO_04473, SACKO_30895, SACKO_18626	CAPO304813
OG0000174	SACKO_28192, SACKO_28201, SACKO_15819, SACKO_32551, SACKO_10689, SACKO_27263, SACKO_23847, SACKO_25875	CAPO304629
OG0000175	SACKO_20858	CAPO303513
OG0000175	SACKO_26661	CAPO303920
OG0000179	SACKO_06450, SACKO_05905	CAPO300694
OG0000179	SACKO_15469	CAPO303342
OG0000181	SACKO_04152	CAPO301108
OG0000181	SACKO_07379	CAPO302034
OG0000181	SACKO_04775	CAPO307692
OG0000181	SACKO_32918	CAPO300374
OG0000183	SACKO_02174	CAPO305638
OG0000183	SACKO_12428	CAPO302591
OG0000183	SACKO_26873	CAPO305829
OG0000184	SACKO_20563, SACKO_02843, SACKO_02840, SACKO_05038, SACKO_00035	CAPO307711
OG0000184	SACKO_18335, SACKO_17629	CAPO304928
OG0000186	SACKO_02704	CAPO301875
OG0000192	SACKO_06335, SACKO_06336, SACKO_21054	CAPO300533
OG0000192	SACKO_31547	CAPO301980
OG0000193	SACKO_23908, SACKO_25908, SACKO_13008, SACKO_13012, SACKO_11767, SACKO_11772, SACKO_19913, SACKO_30076	CAPO302628
OG0000194	SACKO_08434, SACKO_00029, SACKO_00051, SACKO_32303, SACKO_32313, SACKO_25043, SACKO_25042, SACKO_00049	CAPO305195
OG0000195	SACKO_19025, SACKO_17832, SACKO_17833, SACKO_08489, SACKO_30751, SACKO_02091, SACKO_28206, SACKO_28209, SACKO_33037	CAPO305454
OG0000201	SACKO_33320	CAPO307729
OG0000203	SACKO_10536, SACKO_33009, SACKO_21607	CAPO302139
OG0000204	SACKO_32823, SACKO_07430, SACKO_19755, SACKO_07433	CAPO303090
OG0000207	SACKO_30239	CAPO304105, CAPO304106, CAPO304714
OG0000211	SACKO_32655, SACKO_09451, SACKO_20445, SACKO_09187, SACKO_14823, SACKO_14809, SACKO_14837, SACKO_08705, SACKO_16984	CAPO306209
OG0000218	SACKO_18819, SACKO_13048, SACKO_18813, SACKO_18841, SACKO_19249, SACKO_01440, SACKO_08052, SACKO_01447, SACKO_01430	CAPO300559
OG0000220	SACKO_05945, SACKO_14764, SACKO_29293, SACKO_17745	CAPO306780, CAPO307695
OG0000221	SACKO_07311, SACKO_32418, SACKO_20289, SACKO_15443	CAPO300247
OG0000222	SACKO_32534, SACKO_32533, SACKO_05115, SACKO_12196, SACKO_15846, SACKO_11870, SACKO_11831, SACKO_13269, SACKO_16972	CAPO304211
OG0000223	SACKO_06054, SACKO_00009, SACKO_07484, SACKO_12223, SACKO_30421, SACKO_18466, SACKO_30424	CAPO308126
OG0000225	SACKO_25492, SACKO_26675, SACKO_25518, SACKO_23391, SACKO_25483, SACKO_25473, SACKO_25501, SACKO_25456	CAPO305347
OG0000226	SACKO_21639, SACKO_00395	CAPO306934
OG0000226	SACKO_00399	CAPO303463
OG0000234	SACKO_21028, SACKO_01549	CAPO301359
OG0000238	SACKO_14320, SACKO_28194	CAPO305428
OG0000239	SACKO_23050, SACKO_03853, SACKO_23070	CAPO302089
OG0000240	SACKO_18260, SACKO_18199	CAPO303214
OG0000240	SACKO_04929	CAPO303372
OG0000242	SACKO_31437	CAPO304847
OG0000244	SACKO_07492, SACKO_25063, SACKO_25053, SACKO_16205, SACKO_25569, SACKO_21049	CAPO301556
OG0000246	SACKO_32904, SACKO_11087, SACKO_07496, SACKO_26312, SACKO_07493, SACKO_20188	CAPO303496
OG0000248	SACKO_05978, SACKO_32557, SACKO_32579, SACKO_32576	CAPO307635, CAPO302481, CAPO302487
OG0000250	SACKO_06222	CAPO305827
OG0000255	SACKO_30688	CAPO306632
OG0000255	SACKO_00039	CAPO301531
OG0000255	SACKO_02560, SACKO_04653, SACKO_21059, SACKO_27247	CAPO300499
OG0000256	SACKO_19804	CAPO307884
OG0000256	SACKO_31234, SACKO_11114, SACKO_10962, SACKO_00717, SACKO_10964, SACKO_29212, SACKO_18022, SACKO_00855, SACKO_17003, SACKO_05084	CAPO306483
OG0000257	SACKO_15321, SACKO_31460, SACKO_24626, SACKO_04483, SACKO_29914, SACKO_30726	CAPO300414
OG0000258	SACKO_00377	CAPO301106
OG0000258	SACKO_10833, SACKO_32411	CAPO301746
OG0000260	SACKO_23657	CAPO300399
OG0000265	SACKO_28292, SACKO_17354	CAPO306126
OG0000265	SACKO_17458, SACKO_06245	CAPO306540
OG0000271	SACKO_28542	CAPO304641
OG0000273	SACKO_25860, SACKO_18590	CAPO305109
OG0000273	SACKO_18588	CAPO307666
OG0000273	SACKO_00732	CAPO300804
OG0000273	SACKO_11419	CAPO306869
OG0000277	SACKO_10207	CAPO303621
OG0000277	SACKO_13321	CAPO301295
OG0000277	SACKO_25436	CAPO300254, CAPO307814, CAPO307752
OG0000278	SACKO_13664	CAPO300620
OG0000278	SACKO_06388	CAPO305822
OG0000278	SACKO_11366	CAPO302023
OG0000278	SACKO_13514	CAPO303638
OG0000282	SACKO_12850, SACKO_12863, SACKO_29302, SACKO_07792, SACKO_07779, SACKO_07698	CAPO308183
OG0000284	SACKO_05744, SACKO_27435	CAPO305695
OG0000285	SACKO_27700, SACKO_27727, SACKO_26924, SACKO_26919	CAPO303377
OG0000288	SACKO_26577, SACKO_24123, SACKO_26576, SACKO_26567, SACKO_30464, SACKO_30462, SACKO_00022, SACKO_14626, SACKO_14628, SACKO_22642, SACKO_03207, SACKO_03219, SACKO_20827, SACKO_11800, SACKO_11811, SACKO_31062, SACKO_27711, SACKO_13171, SACKO_13172, SACKO_27724, SACKO_14625, SACKO_00017	CAPO305142
OG0000289	SACKO_25627, SACKO_09751, SACKO_25537, SACKO_25538	CAPO307835
OG0000295	SACKO_09750, SACKO_11826, SACKO_07984, SACKO_24242, SACKO_00439, SACKO_00457, SACKO_00431, SACKO_07988, SACKO_28032, SACKO_00434, SACKO_29580, SACKO_29578, SACKO_28240, SACKO_29581	CAPO302113, CAPO302799
OG0000299	SACKO_16759	CAPO306599
OG0000306	SACKO_05951, SACKO_05913	CAPO308212
OG0000308	SACKO_05538, SACKO_27953	CAPO304037
OG0000308	SACKO_28741	CAPO303083
OG0000310	SACKO_14353, SACKO_33497, SACKO_11427, SACKO_11441, SACKO_11487, SACKO_05157, SACKO_15555	CAPO305978
OG0000312	SACKO_12498, SACKO_12512	CAPO304557
OG0000312	SACKO_09512	CAPO302691
OG0000313	SACKO_25102, SACKO_12413	CAPO307072
OG0000313	SACKO_24651, SACKO_21609, SACKO_11070, SACKO_26885, SACKO_01992, SACKO_18918, SACKO_03803	CAPO301348
OG0000314	SACKO_19523, SACKO_04289, SACKO_09369, SACKO_31479, SACKO_20267, SACKO_20257, SACKO_33534	CAPO304303
OG0000315	SACKO_21990	CAPO307611
OG0000315	SACKO_02387	CAPO308167
OG0000316	SACKO_23643	CAPO307924, CAPO300321
OG0000317	SACKO_14463	CAPO306620
OG0000319	SACKO_08516, SACKO_11140, SACKO_31044, SACKO_30308, SACKO_04054, SACKO_08909, SACKO_21180, SACKO_31045, SACKO_31043, SACKO_32883	CAPO303225
OG0000322	SACKO_10414, SACKO_08269, SACKO_08262, SACKO_14465, SACKO_25809	CAPO306406
OG0000326	SACKO_09487	CAPO308358, CAPO307947
OG0000326	SACKO_00052, SACKO_00067, SACKO_08423, SACKO_24590	CAPO303322
OG0000327	SACKO_09977, SACKO_09994, SACKO_14731	CAPO308120
OG0000335	SACKO_02210, SACKO_02207, SACKO_02196, SACKO_21724, SACKO_16362, SACKO_18697, SACKO_17377, SACKO_30257, SACKO_27152, SACKO_19044, SACKO_05322, SACKO_17674, SACKO_33911, SACKO_22067, SACKO_22042	CAPO307753
OG0000338	SACKO_20111, SACKO_31237, SACKO_13513	CAPO304735
OG0000339	SACKO_04937, SACKO_04891, SACKO_14938, SACKO_17398	CAPO305264
OG0000343	SACKO_01767	CAPO306429
OG0000345	SACKO_19848	CAPO300769
OG0000352	SACKO_34178, SACKO_18132, SACKO_00810, SACKO_00821, SACKO_22008, SACKO_07999	CAPO300356
OG0000357	SACKO_14095	CAPO301487
OG0000359	SACKO_17662	CAPO305417
OG0000359	SACKO_33693, SACKO_21762, SACKO_26778	CAPO301540
OG0000359	SACKO_21197	CAPO306866
OG0000360	SACKO_27760, SACKO_01921, SACKO_01907, SACKO_11056	CAPO300757
OG0000363	SACKO_08051	CAPO305594
OG0000364	SACKO_08428, SACKO_08491, SACKO_29762, SACKO_31752, SACKO_30845	CAPO301330, CAPO300908
OG0000365	SACKO_00503	CAPO302286
OG0000367	SACKO_26443, SACKO_11424	CAPO301272
OG0000371	SACKO_25535, SACKO_21537, SACKO_19490, SACKO_27434, SACKO_00209, SACKO_27645, SACKO_13929	CAPO307503
OG0000372	SACKO_07164, SACKO_32909, SACKO_01910, SACKO_24569, SACKO_24546	CAPO307553
OG0000373	SACKO_05445, SACKO_09368	CAPO301744
OG0000385	SACKO_16439, SACKO_20574, SACKO_20579, SACKO_25649, SACKO_25651, SACKO_14863, SACKO_20587, SACKO_25647, SACKO_08050, SACKO_16440	CAPO300182, CAPO305781, CAPO305517
OG0000390	SACKO_01353, SACKO_01355	CAPO307000
OG0000392	SACKO_27590	CAPO300351
OG0000393	SACKO_24305, SACKO_07706, SACKO_06930, SACKO_34206	CAPO307627
OG0000397	SACKO_06461	CAPO304372
OG0000399	SACKO_31626, SACKO_26961, SACKO_24326	CAPO302781
OG0000402	SACKO_12739, SACKO_05257, SACKO_05263, SACKO_05292, SACKO_17632, SACKO_17651, SACKO_17642, SACKO_17652, SACKO_15505, SACKO_18949, SACKO_05251, SACKO_05260, SACKO_18973	CAPO300999
OG0000405	SACKO_03471	CAPO300636
OG0000412	SACKO_28880, SACKO_04784	CAPO306116
OG0000412	SACKO_20586, SACKO_09277	CAPO307159
OG0000413	SACKO_11939	CAPO302663
OG0000413	SACKO_26133	CAPO304678
OG0000416	SACKO_27496	CAPO300647, CAPO303519
OG0000419	SACKO_13227	CAPO304227
OG0000420	SACKO_13998, SACKO_10383	CAPO307162
OG0000422	SACKO_01649, SACKO_01631	CAPO301071
OG0000424	SACKO_03765, SACKO_31497	CAPO302770, CAPO306814
OG0000426	SACKO_26352, SACKO_06534	CAPO302714
OG0000426	SACKO_02762	CAPO306829
OG0000427	SACKO_23359	CAPO303813
OG0000431	SACKO_06822	CAPO306585
OG0000431	SACKO_26117	CAPO304684
OG0000433	SACKO_07666	CAPO304838, CAPO302573
OG0000434	SACKO_12594, SACKO_17023, SACKO_06502, SACKO_00315, SACKO_06501, SACKO_06510, SACKO_06511, SACKO_06508, SACKO_21017	CAPO304471
OG0000435	SACKO_25249, SACKO_21913, SACKO_31971	CAPO308080
OG0000436	SACKO_03318, SACKO_03316	CAPO305799
OG0000437	SACKO_07819, SACKO_20319, SACKO_31109, SACKO_31119, SACKO_31108	CAPO300952
OG0000442	SACKO_00306	CAPO302753, CAPO302633
OG0000444	SACKO_08879, SACKO_08903	CAPO305423
OG0000444	SACKO_16809	CAPO301239
OG0000445	SACKO_01829, SACKO_19774, SACKO_27379, SACKO_27346, SACKO_08275, SACKO_00462, SACKO_33751, SACKO_27331, SACKO_27357	CAPO301584
OG0000447	SACKO_31056	CAPO300691
OG0000450	SACKO_20176, SACKO_20166, SACKO_10223	CAPO307586, CAPO307446
OG0000453	SACKO_27333, SACKO_27397, SACKO_25837, SACKO_27383, SACKO_06847, SACKO_06848, SACKO_27408, SACKO_27399, SACKO_27407, SACKO_27405, SACKO_03955, SACKO_29489, SACKO_11542	CAPO305025
OG0000454	SACKO_15534	CAPO301952
OG0000461	SACKO_15370	CAPO303645, CAPO304085, CAPO303531
OG0000461	SACKO_07130, SACKO_07109	CAPO307456
OG0000467	SACKO_32050	CAPO302214
OG0000468	SACKO_06371, SACKO_06372, SACKO_06400, SACKO_23390, SACKO_12657, SACKO_06761, SACKO_11651, SACKO_29000, SACKO_28335	CAPO302003, CAPO303185
OG0000469	SACKO_32529, SACKO_32539	CAPO306584, CAPO302277
OG0000470	SACKO_13430, SACKO_20424	CAPO307521
OG0000474	SACKO_26694	CAPO307766
OG0000475	SACKO_01439, SACKO_01437, SACKO_01446, SACKO_18627	CAPO303779
OG0000476	SACKO_29718, SACKO_29707, SACKO_29711, SACKO_16110	CAPO306104
OG0000479	SACKO_30305	CAPO303549
OG0000479	SACKO_20169	CAPO304267
OG0000480	SACKO_21578, SACKO_16958, SACKO_31389	CAPO307201
OG0000481	SACKO_18810	CAPO300053
OG0000481	SACKO_02151, SACKO_09218	CAPO304800
OG0000481	SACKO_17872	CAPO304355
OG0000484	SACKO_23202	CAPO304750
OG0000485	SACKO_12872, SACKO_32346	CAPO303224, CAPO303026
OG0000486	SACKO_03067, SACKO_03069, SACKO_29945, SACKO_29937, SACKO_07182, SACKO_07195, SACKO_21708, SACKO_28616, SACKO_28629	CAPO306048, CAPO306972
OG0000488	SACKO_32393	CAPO305871
OG0000491	SACKO_09275	CAPO305506
OG0000494	SACKO_09661, SACKO_20661, SACKO_20676, SACKO_20667, SACKO_20670, SACKO_29545	CAPO300277
OG0000505	SACKO_07335	CAPO303790, CAPO306121
OG0000506	SACKO_28370	CAPO304587
OG0000508	SACKO_04141	CAPO303408, CAPO307945
OG0000508	SACKO_03535	CAPO302590
OG0000510	SACKO_00307, SACKO_08802	CAPO303128, CAPO305095
OG0000511	SACKO_16608, SACKO_16632, SACKO_17075	CAPO301322
OG0000514	SACKO_06731	CAPO307292
OG0000516	SACKO_26866, SACKO_23319, SACKO_05262, SACKO_21254, SACKO_26833	CAPO302072
OG0000519	SACKO_15404, SACKO_19079, SACKO_19078, SACKO_19075, SACKO_19086, SACKO_19096, SACKO_19095, SACKO_19099, SACKO_19087, SACKO_32736	CAPO300709
OG0000520	SACKO_09249, SACKO_06826	CAPO304720
OG0000522	SACKO_08798, SACKO_03537, SACKO_08795, SACKO_03413, SACKO_08800, SACKO_20367	CAPO306204
OG0000528	SACKO_04604, SACKO_09093, SACKO_23862	CAPO300417
OG0000530	SACKO_04253	CAPO306919
OG0000532	SACKO_04033, SACKO_04027, SACKO_04015, SACKO_04019	CAPO301913
OG0000538	SACKO_05534, SACKO_05532	CAPO300039
OG0000548	SACKO_24136, SACKO_21638, SACKO_01196	CAPO307253, CAPO307370
OG0000549	SACKO_09190, SACKO_09189, SACKO_27792	CAPO305341
OG0000551	SACKO_00109, SACKO_01283, SACKO_27987	CAPO305700
OG0000552	SACKO_16965, SACKO_16841, SACKO_22479, SACKO_21195	CAPO302805
OG0000553	SACKO_30818, SACKO_27631, SACKO_24378	CAPO302261
OG0000554	SACKO_04829	CAPO300205
OG0000561	SACKO_01260, SACKO_27682, SACKO_33677, SACKO_00159, SACKO_01255, SACKO_31249	CAPO307817, CAPO304686, CAPO304296
OG0000563	SACKO_05456	CAPO305151
OG0000566	SACKO_13906, SACKO_18189	CAPO306820
OG0000567	SACKO_32703, SACKO_18072, SACKO_21311, SACKO_16516, SACKO_01005	CAPO300710, CAPO302895
