Orthogroup	SACKO_ok	APOSJ_ok
OG0000028	SACKO_21077, SACKO_21076, SACKO_18955, SACKO_29407	APOSJ_31043, APOSJ_25716, APOSJ_25715, APOSJ_57817
OG0000029	SACKO_27642, SACKO_27630, SACKO_27646, SACKO_08652, SACKO_02246, SACKO_27633, SACKO_08653, SACKO_30490, SACKO_30494, SACKO_05717, SACKO_21895, SACKO_27648, SACKO_19028, SACKO_29723	APOSJ_32485
OG0000029	SACKO_12540, SACKO_04574	APOSJ_26876, APOSJ_26877, APOSJ_64430
OG0000029	SACKO_07374	APOSJ_13377
OG0000029	SACKO_14992, SACKO_14998, SACKO_15002	APOSJ_45558
OG0000029	SACKO_16822, SACKO_04689, SACKO_33098, SACKO_33086, SACKO_33097, SACKO_33076	APOSJ_01736, APOSJ_00280, APOSJ_39397, APOSJ_49234, APOSJ_49235, APOSJ_49236, APOSJ_02895, APOSJ_39949
OG0000030	SACKO_34042	APOSJ_01764, APOSJ_30576
OG0000030	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348
OG0000030	SACKO_24772	APOSJ_26580
OG0000030	SACKO_23559	APOSJ_46611, APOSJ_46610
OG0000030	SACKO_16655, SACKO_09928, SACKO_09940	APOSJ_42302, APOSJ_42296, APOSJ_42301, APOSJ_42295, APOSJ_02556, APOSJ_42297, APOSJ_42298
OG0000030	SACKO_34092, SACKO_34095	APOSJ_30575
OG0000030	SACKO_33974	APOSJ_13201
OG0000030	SACKO_26701	APOSJ_45466
OG0000031	SACKO_18621	APOSJ_56428
OG0000031	SACKO_18614	APOSJ_58452
OG0000031	SACKO_16512	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293
OG0000031	SACKO_26607, SACKO_21501	APOSJ_07842, APOSJ_07841
OG0000031	SACKO_14417	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162
OG0000031	SACKO_32680	APOSJ_01762
OG0000031	SACKO_03088	APOSJ_03114, APOSJ_03115
OG0000031	SACKO_31006	APOSJ_44849, APOSJ_44847, APOSJ_44846, APOSJ_44844
OG0000032	SACKO_02664	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569
OG0000034	SACKO_08906	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193
OG0000034	SACKO_15619	APOSJ_17818, APOSJ_17819
OG0000034	SACKO_19192	APOSJ_09404, APOSJ_13545, APOSJ_44168
OG0000034	SACKO_16505	APOSJ_60565, APOSJ_21305
OG0000034	SACKO_05860	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928
OG0000034	SACKO_29852	APOSJ_63084, APOSJ_59127
OG0000034	SACKO_18648	APOSJ_09729
OG0000034	SACKO_20915	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607
OG0000035	SACKO_31939	APOSJ_39487, APOSJ_39488, APOSJ_39486, APOSJ_39485, APOSJ_39489
OG0000035	SACKO_02558	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929
OG0000035	SACKO_31936	APOSJ_64100, APOSJ_64034, APOSJ_48933, APOSJ_44915, APOSJ_44916, APOSJ_44917, APOSJ_45491
OG0000035	SACKO_19408	APOSJ_13857
OG0000035	SACKO_12639	APOSJ_11969, APOSJ_09937
OG0000035	SACKO_16912	APOSJ_53790
OG0000035	SACKO_19307, SACKO_22660	APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311
OG0000035	SACKO_07333, SACKO_04598	APOSJ_12145, APOSJ_12146
OG0000035	SACKO_08422	APOSJ_14503
OG0000036	SACKO_28321	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280
OG0000036	SACKO_14647	APOSJ_40313, APOSJ_57892, APOSJ_57894
OG0000036	SACKO_15030	APOSJ_44483, APOSJ_44484
OG0000036	SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668
OG0000036	SACKO_28315	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054
OG0000037	SACKO_22630	APOSJ_63529, APOSJ_64474, APOSJ_63530
OG0000037	SACKO_05171	APOSJ_40888, APOSJ_40889
OG0000037	SACKO_15149	APOSJ_41930, APOSJ_41929
OG0000037	SACKO_17953, SACKO_17956	APOSJ_19984, APOSJ_19985, APOSJ_59245
OG0000037	SACKO_33312, SACKO_33301, SACKO_07664, SACKO_07652, SACKO_16025	APOSJ_34355, APOSJ_34356, APOSJ_34354, APOSJ_05458, APOSJ_62847, APOSJ_62846, APOSJ_62845, APOSJ_62844, APOSJ_05457, APOSJ_05456, APOSJ_05455, APOSJ_05454, APOSJ_05453, APOSJ_05452, APOSJ_06751, APOSJ_24879
OG0000038	SACKO_01199	APOSJ_11403, APOSJ_11402, APOSJ_06808, APOSJ_11405, APOSJ_10464
OG0000038	SACKO_00016	APOSJ_05677, APOSJ_26230, APOSJ_08121, APOSJ_08120, APOSJ_07933, APOSJ_58733, APOSJ_16433, APOSJ_12115, APOSJ_12110
OG0000038	SACKO_05258, SACKO_05271	APOSJ_30481
OG0000039	SACKO_24480	APOSJ_36538, APOSJ_23775, APOSJ_06567
OG0000039	SACKO_16726, SACKO_16701, SACKO_22588	APOSJ_23948
OG0000040	SACKO_18377, SACKO_18375, SACKO_18381, SACKO_18372, SACKO_21524, SACKO_18370, SACKO_21492, SACKO_21526, SACKO_12837, SACKO_20866, SACKO_06279, SACKO_20851	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679
OG0000041	SACKO_08282	APOSJ_07883
OG0000041	SACKO_06500, SACKO_06515	APOSJ_00247
OG0000042	SACKO_09704, SACKO_06360, SACKO_13545, SACKO_01479, SACKO_01780, SACKO_01784, SACKO_06831, SACKO_06769, SACKO_11034, SACKO_11057, SACKO_23094, SACKO_05345, SACKO_01657, SACKO_14496	APOSJ_60830, APOSJ_16283, APOSJ_27361
OG0000043	SACKO_10927, SACKO_10915	APOSJ_56130
OG0000044	SACKO_25267, SACKO_00121	APOSJ_20279, APOSJ_20278
OG0000044	SACKO_11589	APOSJ_22626, APOSJ_55615, APOSJ_55614, APOSJ_28339, APOSJ_28351, APOSJ_28336, APOSJ_22636, APOSJ_03631
OG0000044	SACKO_12560, SACKO_18675	APOSJ_46280
OG0000044	SACKO_33185, SACKO_12809, SACKO_27728, SACKO_25979	APOSJ_55841
OG0000045	SACKO_32881	APOSJ_60841
