Orthogroup	SACKO_ok	ORYLA
OG0000029	SACKO_15001	ORYLA15906
OG0000029	SACKO_16822, SACKO_04689, SACKO_33098, SACKO_33086, SACKO_33097, SACKO_33076	ORYLA08651, ORYLA09837
OG0000030	SACKO_06190, SACKO_06196	ORYLA18077
OG0000030	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170	ORYLA01628, ORYLA19626, ORYLA02922
OG0000030	SACKO_23559	ORYLA07170
OG0000030	SACKO_07650, SACKO_31340, SACKO_33296, SACKO_16706, SACKO_20032	ORYLA08220
OG0000031	SACKO_18621	ORYLA09861, ORYLA15740
OG0000031	SACKO_18614	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771
OG0000031	SACKO_16512	ORYLA06561
OG0000031	SACKO_21501	ORYLA10394, ORYLA11971
OG0000031	SACKO_14417	ORYLA04591, ORYLA04917
OG0000031	SACKO_32680	ORYLA06754, ORYLA07156, ORYLA02513
OG0000031	SACKO_14578	ORYLA09501, ORYLA00346
OG0000031	SACKO_03088	ORYLA09459, ORYLA08614, ORYLA06390
OG0000031	SACKO_31006	ORYLA06240
OG0000032	SACKO_26058	ORYLA09076, ORYLA06417
OG0000032	SACKO_20618, SACKO_18250, SACKO_18255, SACKO_27193, SACKO_27208, SACKO_28754	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717
OG0000032	SACKO_02664	ORYLA15502
OG0000034	SACKO_15619	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147
OG0000034	SACKO_19192	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558
OG0000034	SACKO_16505	ORYLA07312
OG0000034	SACKO_05860	ORYLA12339, ORYLA14860
OG0000034	SACKO_20630, SACKO_18516, SACKO_29852	ORYLA19697
OG0000034	SACKO_20915	ORYLA14655
OG0000035	SACKO_02558	ORYLA16101
OG0000035	SACKO_19408	ORYLA17474, ORYLA12588, ORYLA14952
OG0000035	SACKO_12639	ORYLA11104, ORYLA14870, ORYLA12119
OG0000035	SACKO_13246	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216
OG0000035	SACKO_16912, SACKO_19307, SACKO_22660	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268
OG0000035	SACKO_08422	ORYLA17117, ORYLA14783
OG0000036	SACKO_28321	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724
OG0000036	SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688	ORYLA20440, ORYLA11184
OG0000036	SACKO_28315	ORYLA12571
OG0000037	SACKO_22630	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058
OG0000037	SACKO_05171	ORYLA05151, ORYLA08136, ORYLA03090
OG0000037	SACKO_15149	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448
OG0000037	SACKO_21107, SACKO_21121, SACKO_07542, SACKO_17953, SACKO_17956	ORYLA04725
OG0000038	SACKO_01199	ORYLA16180, ORYLA16179
OG0000038	SACKO_05258, SACKO_05271	ORYLA08393, ORYLA09754
OG0000039	SACKO_24480	ORYLA13584, ORYLA13588, ORYLA13587
OG0000039	SACKO_16726, SACKO_16701	ORYLA07496
OG0000040	SACKO_01629, SACKO_21533	ORYLA18356
OG0000040	SACKO_27347, SACKO_18726, SACKO_31332, SACKO_18377, SACKO_18375, SACKO_18381, SACKO_18372, SACKO_21524, SACKO_18370, SACKO_21492, SACKO_21526, SACKO_12837, SACKO_20866, SACKO_06279, SACKO_20851	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406
OG0000041	SACKO_08282	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118
OG0000041	SACKO_06515	ORYLA13695, ORYLA09068
OG0000043	SACKO_09694	ORYLA03388
OG0000044	SACKO_25267	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261
OG0000044	SACKO_33185, SACKO_12809, SACKO_27728, SACKO_25979	ORYLA05174
OG0000045	SACKO_11123	ORYLA09208, ORYLA09207
OG0000045	SACKO_32893, SACKO_32938, SACKO_32925	ORYLA02935
OG0000045	SACKO_32920	ORYLA09209
OG0000046	SACKO_04617, SACKO_18448	ORYLA00520
OG0000046	SACKO_27244, SACKO_27309, SACKO_27311, SACKO_25196, SACKO_25208	ORYLA18815, ORYLA05911
OG0000048	SACKO_04413	ORYLA17217
OG0000048	SACKO_24161	ORYLA14101
OG0000048	SACKO_15652, SACKO_15237, SACKO_15246	ORYLA09010, ORYLA09283, ORYLA10119
OG0000048	SACKO_12018	ORYLA14965
OG0000048	SACKO_03133	ORYLA08002
OG0000048	SACKO_17673	ORYLA11420
OG0000048	SACKO_29639	ORYLA15054
OG0000049	SACKO_08936	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584
OG0000049	SACKO_25469	ORYLA13704, ORYLA13828, ORYLA15018
OG0000049	SACKO_25472	ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871
OG0000051	SACKO_26547, SACKO_15743, SACKO_15729, SACKO_15742, SACKO_15726	ORYLA05117
OG0000053	SACKO_03479	ORYLA12857
OG0000054	SACKO_17476	ORYLA00519
OG0000054	SACKO_33924, SACKO_28075, SACKO_02978, SACKO_02968, SACKO_33533, SACKO_31837, SACKO_03553, SACKO_03606, SACKO_03590, SACKO_22513, SACKO_14957, SACKO_14966, SACKO_22867, SACKO_12976, SACKO_09411, SACKO_09416, SACKO_04221	ORYLA05953
OG0000056	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077
OG0000059	SACKO_01899	ORYLA09176
OG0000059	SACKO_18357	ORYLA04122, ORYLA03135, ORYLA01146
OG0000060	SACKO_26044	ORYLA01946, ORYLA04743
OG0000060	SACKO_08309	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092
OG0000061	SACKO_02041	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422
OG0000061	SACKO_02073	ORYLA10018, ORYLA07904, ORYLA07058, ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115
OG0000061	SACKO_02064	ORYLA07060, ORYLA08273
OG0000062	SACKO_15950, SACKO_15963, SACKO_09033	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546
OG0000062	SACKO_15645	ORYLA10585, ORYLA11804
OG0000063	SACKO_12392	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933
OG0000063	SACKO_30337	ORYLA19987, ORYLA10868, ORYLA20199
OG0000063	SACKO_15119	ORYLA14082, ORYLA04940, ORYLA08134
OG0000066	SACKO_23403	ORYLA06398
OG0000067	SACKO_29221, SACKO_31855, SACKO_31833, SACKO_12536, SACKO_12547, SACKO_12538, SACKO_06258, SACKO_31568, SACKO_29251, SACKO_32787, SACKO_32780, SACKO_02541, SACKO_12383, SACKO_13178, SACKO_19397, SACKO_21210, SACKO_13183, SACKO_02285, SACKO_12598, SACKO_16903, SACKO_03814, SACKO_03817, SACKO_18910	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414
OG0000068	SACKO_06043	ORYLA16122
OG0000068	SACKO_06365	ORYLA20259, ORYLA15438, ORYLA14153, ORYLA11242, ORYLA11243, ORYLA14701, ORYLA15913, ORYLA10852
OG0000070	SACKO_18930, SACKO_18932	ORYLA11329, ORYLA09412
OG0000070	SACKO_16529, SACKO_03669, SACKO_06869, SACKO_08780, SACKO_08776, SACKO_17153, SACKO_29369, SACKO_16538, SACKO_10537, SACKO_10050, SACKO_01480, SACKO_29930	ORYLA07085, ORYLA17312
OG0000072	SACKO_25103, SACKO_25111	ORYLA00527, ORYLA04050, ORYLA03176
OG0000072	SACKO_14515	ORYLA20464
OG0000072	SACKO_31517	ORYLA05266
OG0000074	SACKO_04859	ORYLA10949, ORYLA14220, ORYLA15431
OG0000074	SACKO_20268	ORYLA15428
OG0000075	SACKO_07161	ORYLA08229, ORYLA07050
OG0000075	SACKO_31868	ORYLA10050
OG0000075	SACKO_31864	ORYLA15750
OG0000075	SACKO_16948	ORYLA05870, ORYLA14226
OG0000075	SACKO_18318	ORYLA04438
OG0000075	SACKO_31867	ORYLA10049, ORYLA15751
OG0000075	SACKO_23452	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334
OG0000075	SACKO_23651	ORYLA11054, ORYLA15824
OG0000075	SACKO_09677	ORYLA14687, ORYLA10924, ORYLA15926
OG0000075	SACKO_16926	ORYLA19688
OG0000077	SACKO_10609, SACKO_13734	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787
OG0000077	SACKO_03449	ORYLA09130, ORYLA06009, ORYLA03431
OG0000077	SACKO_24063	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409
OG0000077	SACKO_16621, SACKO_13762	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729
OG0000077	SACKO_02025	ORYLA17450
OG0000078	SACKO_29101, SACKO_02475	ORYLA13083, ORYLA13994, ORYLA10833
OG0000079	SACKO_22850	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903
OG0000079	SACKO_28168	ORYLA02351, ORYLA01210, ORYLA04604
OG0000079	SACKO_02973	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726
OG0000079	SACKO_02974	ORYLA17895
OG0000082	SACKO_10320, SACKO_23913, SACKO_28357, SACKO_23907, SACKO_09409, SACKO_23931, SACKO_23906, SACKO_26214, SACKO_32295	ORYLA02580
OG0000082	SACKO_12474	ORYLA01470
OG0000082	SACKO_26490	ORYLA09330
OG0000083	SACKO_30590	ORYLA04024, ORYLA20424
OG0000084	SACKO_10969, SACKO_17061, SACKO_10264, SACKO_10253	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676
OG0000084	SACKO_06467, SACKO_06545, SACKO_31931	ORYLA07195, ORYLA01287
OG0000084	SACKO_25939, SACKO_05229, SACKO_05226, SACKO_29112, SACKO_05196, SACKO_05204, SACKO_34192, SACKO_05203, SACKO_05224, SACKO_05166, SACKO_05235, SACKO_10741, SACKO_10738, SACKO_10729, SACKO_10733, SACKO_06583	ORYLA00399, ORYLA18720, ORYLA19616, ORYLA17981, ORYLA02328, ORYLA12505
OG0000085	SACKO_23009	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818
OG0000085	SACKO_25563	ORYLA06168
OG0000085	SACKO_10208	ORYLA17935
OG0000085	SACKO_33849	ORYLA02243, ORYLA05178
OG0000086	SACKO_16708	ORYLA18822
OG0000087	SACKO_19449, SACKO_18343	ORYLA07293
OG0000087	SACKO_23472	ORYLA15867
OG0000088	SACKO_22121, SACKO_03740, SACKO_08568, SACKO_17308, SACKO_10633, SACKO_10635, SACKO_31806, SACKO_21553, SACKO_32685, SACKO_32679, SACKO_28645, SACKO_11604, SACKO_11610, SACKO_24227, SACKO_24190, SACKO_14146, SACKO_31824, SACKO_31840, SACKO_27885, SACKO_20075, SACKO_18749, SACKO_25662, SACKO_04357, SACKO_25835, SACKO_02277, SACKO_25182, SACKO_33837, SACKO_01867, SACKO_33325, SACKO_11683	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524
OG0000089	SACKO_27338	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332
OG0000090	SACKO_21411	ORYLA02080, ORYLA06082
OG0000090	SACKO_28463, SACKO_27294, SACKO_22823, SACKO_27256, SACKO_22832, SACKO_22824	ORYLA01746, ORYLA06194
OG0000093	SACKO_04129	ORYLA18765, ORYLA18669, ORYLA15023, ORYLA11108, ORYLA13845
OG0000094	SACKO_30142	ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240
OG0000094	SACKO_14416	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149
OG0000095	SACKO_22134, SACKO_02519	ORYLA14595, ORYLA20341, ORYLA20340, ORYLA09081, ORYLA08748, ORYLA09168, ORYLA08687
OG0000096	SACKO_00041	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328
OG0000096	SACKO_02842	ORYLA16077, ORYLA13956, ORYLA11296
OG0000096	SACKO_13904	ORYLA13747, ORYLA08870
OG0000096	SACKO_24537	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104
OG0000096	SACKO_23084	ORYLA12353
OG0000096	SACKO_27312, SACKO_27255	ORYLA10017
OG0000098	SACKO_30373, SACKO_19685	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777
OG0000098	SACKO_15840	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721
OG0000099	SACKO_04331	ORYLA20429, ORYLA04253, ORYLA01278, ORYLA03578, ORYLA04559, ORYLA01343
OG0000099	SACKO_03078	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063
OG0000101	SACKO_13586, SACKO_13587, SACKO_31937	ORYLA12058
OG0000101	SACKO_24340, SACKO_08457	ORYLA08387
OG0000101	SACKO_23978, SACKO_23977	ORYLA09166, ORYLA09165
OG0000101	SACKO_17213, SACKO_17194, SACKO_17207, SACKO_30330	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654
OG0000102	SACKO_09072, SACKO_09096, SACKO_13190	ORYLA19358, ORYLA00094
OG0000102	SACKO_13900	ORYLA12106
OG0000102	SACKO_03174, SACKO_24642, SACKO_24634, SACKO_24635, SACKO_25830, SACKO_27386, SACKO_24644, SACKO_06606, SACKO_24917, SACKO_26731, SACKO_33717, SACKO_06602, SACKO_23037, SACKO_18657, SACKO_18650, SACKO_28533, SACKO_15184, SACKO_18640	ORYLA18027, ORYLA02390, ORYLA02592
OG0000103	SACKO_33359	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966
OG0000103	SACKO_23497	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059
OG0000104	SACKO_13626, SACKO_13628, SACKO_13620	ORYLA03680, ORYLA06072
OG0000104	SACKO_19425	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226
OG0000104	SACKO_13617	ORYLA03679
OG0000104	SACKO_06378, SACKO_13688	ORYLA09408
OG0000104	SACKO_16066	ORYLA14236, ORYLA14756, ORYLA10856
OG0000106	SACKO_19035	ORYLA06794
OG0000106	SACKO_31163, SACKO_03309, SACKO_31157, SACKO_05024, SACKO_19089, SACKO_19090, SACKO_26319	ORYLA05764, ORYLA14913, ORYLA14914
OG0000108	SACKO_05297	ORYLA11649, ORYLA11648, ORYLA16478, ORYLA16477
OG0000108	SACKO_23326	ORYLA20108, ORYLA16484, ORYLA08061, ORYLA07077, ORYLA15731, ORYLA13754
OG0000111	SACKO_16656	ORYLA16810, ORYLA16333, ORYLA00657, ORYLA18197, ORYLA16684, ORYLA01366, ORYLA07106, ORYLA09236, ORYLA01992, ORYLA04883, ORYLA16219
OG0000113	SACKO_14235, SACKO_07253, SACKO_22562, SACKO_28107, SACKO_25640, SACKO_27005	ORYLA17645, ORYLA13433
OG0000113	SACKO_09021	ORYLA10897, ORYLA10893, ORYLA10892, ORYLA10894, ORYLA10895, ORYLA10896
OG0000113	SACKO_08824, SACKO_32049, SACKO_03802, SACKO_24392, SACKO_25438, SACKO_24416, SACKO_01082	ORYLA15283
OG0000114	SACKO_05497, SACKO_05499, SACKO_05519	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653
OG0000116	SACKO_18613, SACKO_08085, SACKO_18612, SACKO_18615, SACKO_03400, SACKO_03390	ORYLA09389
OG0000116	SACKO_31632	ORYLA19541
OG0000117	SACKO_32122	ORYLA15132
OG0000119	SACKO_14170	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823
