Orthogroup	SACKO_ok	SCHMD
OG0000011	SACKO_22764	SCHMD09818, SCHMD25014, SCHMD05659
OG0000012	SACKO_29085, SACKO_29089, SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000012	SACKO_05175	SCHMD06045, SCHMD22580
OG0000014	SACKO_09441, SACKO_09449, SACKO_09439, SACKO_09461, SACKO_06966, SACKO_06947, SACKO_08105, SACKO_08147, SACKO_09870, SACKO_16092, SACKO_31551, SACKO_29003, SACKO_10634, SACKO_14937, SACKO_17414, SACKO_06936, SACKO_32656, SACKO_09455, SACKO_09442, SACKO_09453, SACKO_09445, SACKO_09444, SACKO_09452, SACKO_06943, SACKO_06984	SCHMD11444
OG0000014	SACKO_06958	SCHMD00336, SCHMD17936, SCHMD15732, SCHMD17591, SCHMD13208
OG0000015	SACKO_31692	SCHMD16725
OG0000015	SACKO_31697	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432
OG0000015	SACKO_31684	SCHMD16722
OG0000016	SACKO_06844	SCHMD13029
OG0000016	SACKO_19317, SACKO_06877, SACKO_04946	SCHMD16694
OG0000016	SACKO_14898	SCHMD02183
OG0000016	SACKO_26527	SCHMD05700
OG0000017	SACKO_32297, SACKO_17667, SACKO_00987, SACKO_29799, SACKO_25642, SACKO_32786, SACKO_07720, SACKO_00134, SACKO_02355	SCHMD13346
OG0000018	SACKO_12447	SCHMD07328, SCHMD06128, SCHMD00596, SCHMD22969
OG0000019	SACKO_31972	SCHMD23009
OG0000019	SACKO_15751, SACKO_33114, SACKO_23914, SACKO_33498, SACKO_30908	SCHMD07568
OG0000020	SACKO_25295, SACKO_05608	SCHMD01272
OG0000020	SACKO_22951	SCHMD00005
OG0000020	SACKO_26712	SCHMD24153
OG0000020	SACKO_08732	SCHMD09886
OG0000020	SACKO_16107, SACKO_20105	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	SACKO_17226, SACKO_17242, SACKO_17184	SCHMD05055, SCHMD22715, SCHMD07894
OG0000021	SACKO_32115	SCHMD09794
OG0000021	SACKO_31258, SACKO_00486, SACKO_14364, SACKO_10771, SACKO_11695, SACKO_09800, SACKO_24631	SCHMD10526, SCHMD19498
OG0000021	SACKO_25838	SCHMD09793, SCHMD07893
OG0000026	SACKO_19144	SCHMD10899
OG0000026	SACKO_24091	SCHMD22460
OG0000027	SACKO_30755, SACKO_33108, SACKO_05489, SACKO_05485, SACKO_05487, SACKO_04609, SACKO_04624, SACKO_33129, SACKO_21634, SACKO_02136	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531
OG0000028	SACKO_00730, SACKO_00734, SACKO_00031, SACKO_00042, SACKO_00048, SACKO_00060	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	SACKO_21235	SCHMD22912, SCHMD03422
OG0000028	SACKO_00054, SACKO_29910	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000029	SACKO_10012, SACKO_10033	SCHMD03695, SCHMD08074, SCHMD15862
OG0000029	SACKO_12540	SCHMD21600, SCHMD23194, SCHMD18727
OG0000030	SACKO_19657	SCHMD19597
OG0000030	SACKO_19659, SACKO_06190, SACKO_06196	SCHMD17295
OG0000030	SACKO_33115	SCHMD08372, SCHMD09761, SCHMD00598, SCHMD20460, SCHMD24720
OG0000030	SACKO_19506	SCHMD07576, SCHMD09292
OG0000030	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000030	SACKO_24772	SCHMD20495, SCHMD12490
OG0000030	SACKO_23559	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579
OG0000030	SACKO_26701	SCHMD25427
OG0000031	SACKO_18621, SACKO_18614	SCHMD16950
OG0000031	SACKO_26607, SACKO_21501	SCHMD00185
OG0000031	SACKO_14417, SACKO_32680, SACKO_14578	SCHMD17865
OG0000031	SACKO_31006	SCHMD04192
OG0000032	SACKO_20615	SCHMD05706, SCHMD26195, SCHMD24540, SCHMD22975, SCHMD09223
OG0000034	SACKO_08906	SCHMD13190, SCHMD26745
OG0000034	SACKO_19192	SCHMD11160, SCHMD18247
OG0000034	SACKO_16505	SCHMD04875
OG0000034	SACKO_20915	SCHMD07081
OG0000035	SACKO_31939	SCHMD06303
OG0000035	SACKO_02558	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	SACKO_16912, SACKO_19307, SACKO_22660	SCHMD15627, SCHMD19701
OG0000036	SACKO_21179, SACKO_14647	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086
OG0000036	SACKO_14641	SCHMD10087, SCHMD20124, SCHMD27854
OG0000037	SACKO_22630, SACKO_22633, SACKO_05171	SCHMD19933
OG0000037	SACKO_15149	SCHMD00542, SCHMD17538
OG0000037	SACKO_21107, SACKO_21121, SACKO_07542, SACKO_17953, SACKO_17956	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000037	SACKO_16025	SCHMD26619
OG0000038	SACKO_05247, SACKO_30496, SACKO_31791, SACKO_05160, SACKO_12129, SACKO_08713, SACKO_08733, SACKO_07500	SCHMD06293
OG0000038	SACKO_00016	SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983
OG0000038	SACKO_13897	SCHMD01619
OG0000039	SACKO_24480, SACKO_16726, SACKO_16701, SACKO_22588, SACKO_16548, SACKO_15245, SACKO_26168, SACKO_17372, SACKO_25878	SCHMD12270
OG0000040	SACKO_01629	SCHMD25293, SCHMD21694, SCHMD27504, SCHMD01749, SCHMD05916, SCHMD12013, SCHMD13146
OG0000041	SACKO_08282	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	SACKO_06515	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	SACKO_16081, SACKO_11560, SACKO_06732, SACKO_06744, SACKO_30022, SACKO_28017, SACKO_06742, SACKO_06747, SACKO_06718, SACKO_22845, SACKO_22851, SACKO_06719, SACKO_27090, SACKO_10903, SACKO_10887, SACKO_10910, SACKO_10918, SACKO_27578, SACKO_10867, SACKO_10904, SACKO_27580, SACKO_10923, SACKO_10919, SACKO_06713, SACKO_06727, SACKO_06759, SACKO_00470	SCHMD05570, SCHMD05172, SCHMD24343, SCHMD10917, SCHMD15077, SCHMD11820
OG0000043	SACKO_10927, SACKO_10915, SACKO_11078	SCHMD11455
OG0000043	SACKO_09694	SCHMD29206, SCHMD09758
OG0000044	SACKO_33185, SACKO_12809, SACKO_27728, SACKO_25979	SCHMD06706
OG0000048	SACKO_12018	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000049	SACKO_25472	SCHMD07231, SCHMD18899, SCHMD19386, SCHMD26352
OG0000049	SACKO_03908	SCHMD17006
OG0000051	SACKO_01323, SACKO_05894, SACKO_05920, SACKO_05919, SACKO_05947, SACKO_05961, SACKO_05937, SACKO_05924, SACKO_05914, SACKO_05927, SACKO_21265, SACKO_05598, SACKO_21276, SACKO_00826, SACKO_19765, SACKO_21267, SACKO_21272, SACKO_21225, SACKO_21248, SACKO_21467	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000055	SACKO_06734, SACKO_16034, SACKO_06736, SACKO_22855, SACKO_06730, SACKO_06723, SACKO_22841, SACKO_06754, SACKO_06753, SACKO_10896, SACKO_10914, SACKO_10917, SACKO_10872, SACKO_10884, SACKO_27588, SACKO_10909, SACKO_10921, SACKO_10902, SACKO_27559, SACKO_10916, SACKO_30027	SCHMD14415, SCHMD22203, SCHMD17892, SCHMD29195
OG0000056	SACKO_22063	SCHMD18401, SCHMD20469
OG0000058	SACKO_23572	SCHMD04270
OG0000059	SACKO_09491	SCHMD27096
OG0000059	SACKO_31255, SACKO_10806, SACKO_13822	SCHMD05186, SCHMD20166
OG0000060	SACKO_07510	SCHMD17528
OG0000060	SACKO_24235, SACKO_14759, SACKO_25092, SACKO_25096, SACKO_25098, SACKO_31798, SACKO_14758	SCHMD16998
OG0000060	SACKO_08309	SCHMD03062
OG0000061	SACKO_02041	SCHMD24930
OG0000061	SACKO_02064	SCHMD11039
OG0000062	SACKO_16743, SACKO_15950, SACKO_15963, SACKO_09033, SACKO_15645	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	SACKO_12392	SCHMD04855
OG0000063	SACKO_30345, SACKO_30337	SCHMD09653
OG0000066	SACKO_12792	SCHMD02363
OG0000066	SACKO_04149, SACKO_32467, SACKO_12791	SCHMD06601
OG0000066	SACKO_23403	SCHMD06030
OG0000066	SACKO_02070	SCHMD26212
OG0000066	SACKO_09024	SCHMD17583
OG0000068	SACKO_13373, SACKO_07008, SACKO_31433, SACKO_13374, SACKO_13369, SACKO_13372, SACKO_13381	SCHMD05762, SCHMD05760, SCHMD05763
OG0000070	SACKO_18930, SACKO_18932	SCHMD06745
OG0000070	SACKO_04002, SACKO_16666	SCHMD25128, SCHMD25923, SCHMD18099, SCHMD09836, SCHMD24858
OG0000071	SACKO_03523, SACKO_08311	SCHMD08674, SCHMD04226
OG0000073	SACKO_26782	SCHMD07917, SCHMD02585, SCHMD02588
OG0000075	SACKO_18318	SCHMD10965
OG0000075	SACKO_23452	SCHMD03704
OG0000075	SACKO_23651	SCHMD21424
OG0000077	SACKO_13734	SCHMD17571
OG0000077	SACKO_24063	SCHMD23576
OG0000077	SACKO_16621, SACKO_13762, SACKO_02025	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000077	SACKO_24085	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624
OG0000077	SACKO_24142, SACKO_25682, SACKO_24970	SCHMD15208, SCHMD02698
OG0000077	SACKO_24184, SACKO_27806	SCHMD27373
OG0000078	SACKO_29101	SCHMD04824, SCHMD04525
OG0000079	SACKO_22850	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	SACKO_28168	SCHMD16559, SCHMD24052, SCHMD18199
OG0000080	SACKO_06247	SCHMD10387, SCHMD06434
OG0000082	SACKO_10320, SACKO_23913, SACKO_28357, SACKO_23907, SACKO_09409, SACKO_23931, SACKO_23906, SACKO_26214, SACKO_32295	SCHMD03263, SCHMD10119
OG0000082	SACKO_26490	SCHMD29028
OG0000082	SACKO_12848, SACKO_24599, SACKO_24554, SACKO_24557, SACKO_24563, SACKO_12893	SCHMD03363
OG0000082	SACKO_23968	SCHMD23210
OG0000083	SACKO_09837	SCHMD16633
OG0000084	SACKO_10969, SACKO_17061, SACKO_10264, SACKO_10253, SACKO_06467, SACKO_06545, SACKO_31931	SCHMD19821, SCHMD23941, SCHMD23870
OG0000084	SACKO_32609, SACKO_07147, SACKO_31500, SACKO_15836, SACKO_05963, SACKO_27847, SACKO_20086, SACKO_20590, SACKO_20079, SACKO_05966, SACKO_22421, SACKO_20089, SACKO_17161, SACKO_31858, SACKO_21702, SACKO_03895, SACKO_28384, SACKO_05240, SACKO_30129, SACKO_05174, SACKO_01317	SCHMD28183
OG0000084	SACKO_32704, SACKO_32645, SACKO_32691	SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409
OG0000085	SACKO_08919	SCHMD12837
OG0000085	SACKO_25563	SCHMD12466
OG0000085	SACKO_10208	SCHMD18327
OG0000087	SACKO_19449	SCHMD09399
OG0000087	SACKO_18343	SCHMD09405, SCHMD09406
OG0000087	SACKO_09961	SCHMD25358
OG0000087	SACKO_21024	SCHMD05857, SCHMD05855
OG0000090	SACKO_00841	SCHMD15560
OG0000090	SACKO_07409, SACKO_00530, SACKO_16260	SCHMD06769
OG0000093	SACKO_04129	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028
OG0000094	SACKO_30142	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753
OG0000094	SACKO_14416	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000095	SACKO_28112, SACKO_28146, SACKO_22238, SACKO_22239, SACKO_09533, SACKO_14638, SACKO_28141, SACKO_28147, SACKO_28111, SACKO_05633, SACKO_28134, SACKO_05646, SACKO_28114	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942
OG0000096	SACKO_02842	SCHMD07753
OG0000096	SACKO_23084, SACKO_27312, SACKO_27255	SCHMD10033
OG0000097	SACKO_05734, SACKO_32747, SACKO_18258, SACKO_18299, SACKO_18263, SACKO_32170, SACKO_09795, SACKO_16800, SACKO_17524, SACKO_16802, SACKO_10228, SACKO_19559, SACKO_01366, SACKO_19548, SACKO_17961, SACKO_17950, SACKO_31266, SACKO_11687, SACKO_11694, SACKO_10750, SACKO_30828, SACKO_01368, SACKO_01358, SACKO_10227, SACKO_19566, SACKO_19554, SACKO_19549, SACKO_15806	SCHMD22037, SCHMD20326
OG0000098	SACKO_11921	SCHMD20591, SCHMD11947, SCHMD19086, SCHMD11199, SCHMD08311
OG0000098	SACKO_15840	SCHMD29644, SCHMD22119
OG0000098	SACKO_02598	SCHMD06392, SCHMD12932, SCHMD10502
OG0000099	SACKO_32686, SACKO_02428, SACKO_05765	SCHMD03930, SCHMD15019
OG0000099	SACKO_04331	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972
OG0000099	SACKO_03078	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000099	SACKO_07176	SCHMD14698, SCHMD05542
OG0000102	SACKO_13900	SCHMD26069, SCHMD21030
OG0000103	SACKO_33359	SCHMD29081, SCHMD19673
OG0000103	SACKO_23497	SCHMD08147
OG0000106	SACKO_19035, SACKO_31163, SACKO_03309, SACKO_31157, SACKO_05024, SACKO_19089, SACKO_19090, SACKO_26319	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000107	SACKO_10895	SCHMD04920
OG0000108	SACKO_24279, SACKO_06005, SACKO_06013	SCHMD17863
OG0000110	SACKO_09064, SACKO_22197	SCHMD11887
OG0000111	SACKO_18092	SCHMD18184, SCHMD22856, SCHMD10726, SCHMD13982
OG0000113	SACKO_14235, SACKO_07253, SACKO_22562, SACKO_28107, SACKO_25640, SACKO_27005, SACKO_09021	SCHMD06629, SCHMD02664
OG0000114	SACKO_05497, SACKO_05499, SACKO_05519	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000115	SACKO_01023	SCHMD28271, SCHMD15320
OG0000116	SACKO_28117	SCHMD19105
OG0000117	SACKO_05824	SCHMD02895
OG0000117	SACKO_17564, SACKO_17585, SACKO_17575, SACKO_17577, SACKO_17609, SACKO_17600	SCHMD24345, SCHMD14483, SCHMD27351
OG0000117	SACKO_00604	SCHMD02591
OG0000117	SACKO_14556	SCHMD11493
OG0000119	SACKO_14170, SACKO_22937, SACKO_22948, SACKO_22971, SACKO_28303	SCHMD02911
OG0000120	SACKO_22704	SCHMD07084
OG0000120	SACKO_27188	SCHMD09518
OG0000120	SACKO_22701	SCHMD23689, SCHMD27697, SCHMD28733, SCHMD27017, SCHMD27126, SCHMD26530, SCHMD23012, SCHMD27124, SCHMD23690, SCHMD27316, SCHMD27128, SCHMD24437, SCHMD28934, SCHMD26823, SCHMD27125, SCHMD24781, SCHMD24780, SCHMD27988
OG0000121	SACKO_15163, SACKO_26268, SACKO_32139, SACKO_01099, SACKO_22905, SACKO_28129, SACKO_02275	SCHMD07020
OG0000123	SACKO_20017, SACKO_30223, SACKO_21671	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977
OG0000123	SACKO_24090	SCHMD07646
OG0000123	SACKO_31884	SCHMD11130, SCHMD15099
OG0000123	SACKO_31894	SCHMD22122, SCHMD14008
OG0000124	SACKO_33754, SACKO_22345, SACKO_19309	SCHMD10270, SCHMD10271
OG0000124	SACKO_20093	SCHMD11964, SCHMD20871, SCHMD16822
OG0000124	SACKO_18436, SACKO_18432	SCHMD08774
OG0000126	SACKO_30837	SCHMD24144
OG0000126	SACKO_27653	SCHMD06494
OG0000126	SACKO_09501	SCHMD01813, SCHMD04253
OG0000127	SACKO_08394	SCHMD03781
OG0000128	SACKO_09563, SACKO_21605, SACKO_14613, SACKO_15316, SACKO_15336	SCHMD25789, SCHMD19594
OG0000129	SACKO_20115	SCHMD23245, SCHMD26510, SCHMD08406
OG0000129	SACKO_00164	SCHMD05405
OG0000129	SACKO_17443	SCHMD03224
OG0000132	SACKO_03725, SACKO_03718, SACKO_03729, SACKO_03732, SACKO_03727, SACKO_15011, SACKO_05386, SACKO_28049	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000137	SACKO_08934, SACKO_08979, SACKO_08926	SCHMD09558
OG0000137	SACKO_15711, SACKO_32541	SCHMD29744
OG0000139	SACKO_27972, SACKO_01854, SACKO_11499, SACKO_13298, SACKO_11505, SACKO_11502	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124
OG0000142	SACKO_25766	SCHMD14394
OG0000142	SACKO_31525	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364
OG0000147	SACKO_09597	SCHMD11019
OG0000147	SACKO_29987	SCHMD11968
OG0000148	SACKO_01164	SCHMD08056
OG0000151	SACKO_07713	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000151	SACKO_18655	SCHMD02747, SCHMD12342
OG0000155	SACKO_31592	SCHMD05383, SCHMD06593, SCHMD10992
OG0000155	SACKO_06509	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787
OG0000157	SACKO_13943	SCHMD03548, SCHMD06363
OG0000157	SACKO_28274	SCHMD15302
OG0000158	SACKO_08920	SCHMD18936
OG0000158	SACKO_03214	SCHMD09898, SCHMD12271, SCHMD07912
OG0000159	SACKO_05468	SCHMD26601, SCHMD09606
OG0000159	SACKO_22675, SACKO_19118, SACKO_08600, SACKO_12615	SCHMD14942
OG0000162	SACKO_12057	SCHMD01637
OG0000163	SACKO_09864, SACKO_25511, SACKO_24199, SACKO_08181, SACKO_22365, SACKO_00496, SACKO_02782, SACKO_20535, SACKO_00262, SACKO_25620, SACKO_20819, SACKO_11130, SACKO_28728, SACKO_28760, SACKO_28733, SACKO_28643	SCHMD23090
OG0000163	SACKO_18542	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000166	SACKO_19780	SCHMD15704, SCHMD08401
OG0000167	SACKO_13975	SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730
OG0000168	SACKO_12471, SACKO_12477, SACKO_14676, SACKO_05799, SACKO_02929, SACKO_15285, SACKO_02947	SCHMD19556
OG0000168	SACKO_01284	SCHMD29139, SCHMD28842, SCHMD22979, SCHMD29401
OG0000169	SACKO_10602	SCHMD00386
OG0000169	SACKO_10600	SCHMD00387
OG0000171	SACKO_17743	SCHMD26790, SCHMD13950
OG0000171	SACKO_17747	SCHMD01258, SCHMD16118
OG0000173	SACKO_13484	SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093
OG0000174	SACKO_28192, SACKO_28201	SCHMD09838
OG0000174	SACKO_15819, SACKO_32551, SACKO_10689, SACKO_27263	SCHMD22727, SCHMD14760, SCHMD22728
OG0000174	SACKO_23847, SACKO_25875	SCHMD08354, SCHMD22729
OG0000175	SACKO_03910	SCHMD23748, SCHMD18438, SCHMD03520
OG0000175	SACKO_14233, SACKO_29688, SACKO_29680, SACKO_29673, SACKO_25380, SACKO_25374, SACKO_03909, SACKO_25371, SACKO_20858	SCHMD18439, SCHMD17544
OG0000179	SACKO_06450, SACKO_05905, SACKO_06440	SCHMD11075
OG0000179	SACKO_15469	SCHMD01320
OG0000181	SACKO_04152	SCHMD27609, SCHMD12097, SCHMD28522
OG0000181	SACKO_04775	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328
OG0000182	SACKO_13611, SACKO_25918, SACKO_26557, SACKO_19860, SACKO_00796, SACKO_15422, SACKO_28851, SACKO_16686, SACKO_10161, SACKO_15394, SACKO_21176, SACKO_00058, SACKO_24885	SCHMD07603
OG0000183	SACKO_02174	SCHMD21103, SCHMD28756
OG0000183	SACKO_12428, SACKO_26873	SCHMD12130, SCHMD10333
OG0000186	SACKO_16624	SCHMD16812
OG0000186	SACKO_11363	SCHMD01519, SCHMD14176, SCHMD06313
OG0000188	SACKO_09766, SACKO_05116	SCHMD04013
OG0000192	SACKO_01682, SACKO_22597	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000193	SACKO_13008, SACKO_13012, SACKO_11767, SACKO_11772, SACKO_19913, SACKO_30076	SCHMD22652, SCHMD22559
OG0000194	SACKO_00029, SACKO_00051, SACKO_32303, SACKO_32313, SACKO_25043, SACKO_25042, SACKO_00049	SCHMD11912, SCHMD12565
OG0000195	SACKO_19025, SACKO_17832, SACKO_17833	SCHMD06851
OG0000195	SACKO_02091, SACKO_28206, SACKO_28209	SCHMD06771
OG0000195	SACKO_33037	SCHMD25463, SCHMD25751
OG0000197	SACKO_26257	SCHMD10696, SCHMD17861, SCHMD23209
OG0000200	SACKO_32070	SCHMD07833, SCHMD18193, SCHMD17707
OG0000201	SACKO_33320	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	SACKO_08895	SCHMD00317, SCHMD09035
OG0000201	SACKO_29729	SCHMD10520
OG0000202	SACKO_02029	SCHMD17013
OG0000203	SACKO_10536, SACKO_33009	SCHMD13221
OG0000204	SACKO_32823, SACKO_07430	SCHMD05946, SCHMD11236, SCHMD20783
OG0000204	SACKO_07433	SCHMD00861
OG0000205	SACKO_11367	SCHMD14902, SCHMD14453
OG0000205	SACKO_12864	SCHMD11532
OG0000205	SACKO_12929	SCHMD07996
OG0000207	SACKO_30239	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396
OG0000208	SACKO_07539, SACKO_21983, SACKO_21989, SACKO_07554, SACKO_07549, SACKO_31156, SACKO_07529	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900
OG0000209	SACKO_24005	SCHMD02092
OG0000209	SACKO_30179	SCHMD22454
OG0000210	SACKO_22931, SACKO_25704, SACKO_20958, SACKO_25645, SACKO_08089, SACKO_27026, SACKO_03879, SACKO_25701, SACKO_29265, SACKO_08686, SACKO_27035, SACKO_33727	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393
OG0000210	SACKO_27615	SCHMD26754
OG0000210	SACKO_06920	SCHMD24015
OG0000211	SACKO_20445	SCHMD21436
OG0000214	SACKO_27664, SACKO_12571, SACKO_20029	SCHMD24110
OG0000214	SACKO_13204, SACKO_34104, SACKO_05052, SACKO_32511	SCHMD27341
OG0000215	SACKO_24652, SACKO_16614	SCHMD15383
OG0000218	SACKO_18819, SACKO_13048, SACKO_18813, SACKO_18841, SACKO_19249, SACKO_01440, SACKO_08052, SACKO_01447, SACKO_01430	SCHMD01527
OG0000220	SACKO_14764	SCHMD15387, SCHMD08237
