Orthogroup	SACKO_ok	PFLAV
OG0000010	SACKO_12952, SACKO_12967, SACKO_01342, SACKO_30645	TCONS_00043350.p1, TCONS_00043340.p1, TCONS_00043354.p1, TCONS_00043343.p1
OG0000010	SACKO_30054	TCONS_00018080.p1
OG0000010	SACKO_31740	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1
OG0000010	SACKO_19852, SACKO_19839	TCONS_00026035.p1
OG0000010	SACKO_20088	TCONS_00030635.p1
OG0000011	SACKO_22764	TCONS_00034929.p1, TCONS_00004504.p1, TCONS_00005682.p1, TCONS_00015386.p1, TCONS_00033759.p1, TCONS_00033581.p1, TCONS_00025195.p1, TCONS_00051327.p1, TCONS_00035599.p1, TCONS_00050721.p1, TCONS_00004502.p1, TCONS_00051583.p1, TCONS_00054546.p1, TCONS_00038556.p1, TCONS_00002579.p1, TCONS_00020984.p3, TCONS_00034049.p1, TCONS_00046669.p1, TCONS_00029680.p1, TCONS_00036298.p1
OG0000012	SACKO_29085, SACKO_29089	TCONS_00004701.p1
OG0000012	SACKO_25852	TCONS_00015125.p1
OG0000012	SACKO_05170	TCONS_00011214.p1
OG0000012	SACKO_05236	TCONS_00011213.p1, TCONS_00011211.p1
OG0000012	SACKO_05231	TCONS_00009883.p1
OG0000012	SACKO_27422, SACKO_01346	TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1
OG0000012	SACKO_05227	TCONS_00011207.p1
OG0000012	SACKO_05213	TCONS_00011209.p1
OG0000012	SACKO_06922	TCONS_00021579.p1
OG0000012	SACKO_10565	TCONS_00021578.p1
OG0000012	SACKO_06077	TCONS_00003238.p1
OG0000012	SACKO_27004	TCONS_00039905.p1, TCONS_00032295.p1, TCONS_00032296.p1, TCONS_00032297.p1, TCONS_00032030.p1, TCONS_00040847.p1
OG0000012	SACKO_22874, SACKO_22859, SACKO_22880, SACKO_22844, SACKO_22910, SACKO_22879, SACKO_11626, SACKO_32189, SACKO_16345, SACKO_22854, SACKO_22913	TCONS_00040142.p1, TCONS_00041123.p1, TCONS_00041126.p1, TCONS_00040752.p1, TCONS_00041125.p1, TCONS_00040146.p1, TCONS_00041122.p1, TCONS_00041121.p1, TCONS_00040753.p1, TCONS_00039583.p1, TCONS_00033028.p1, TCONS_00033510.p1, TCONS_00039917.p1, TCONS_00039906.p1, TCONS_00040840.p1, TCONS_00040839.p1, TCONS_00039915.p1, TCONS_00040842.p1, TCONS_00040844.p1, TCONS_00039914.p1, TCONS_00040835.p1, TCONS_00039910.p1, TCONS_00039907.p1, TCONS_00040838.p1, TCONS_00039909.p1, TCONS_00040836.p1, TCONS_00040830.p1, TCONS_00040829.p1, TCONS_00049940.p1, TCONS_00054720.p1, TCONS_00040833.p1, TCONS_00039918.p1
OG0000012	SACKO_01736	TCONS_00041660.p1, TCONS_00041661.p1
OG0000013	SACKO_23938, SACKO_23926, SACKO_23909, SACKO_00772, SACKO_15693	TCONS_00008448.p1, TCONS_00008447.p1, TCONS_00008446.p1, TCONS_00015580.p1, TCONS_00008650.p1, TCONS_00021089.p1, TCONS_00021092.p1, TCONS_00021090.p1
OG0000013	SACKO_06986, SACKO_24278, SACKO_06939, SACKO_06938, SACKO_06953, SACKO_06963, SACKO_06946, SACKO_06944	TCONS_00014846.p1, TCONS_00043683.p1, TCONS_00043682.p1
OG0000013	SACKO_09997, SACKO_02509, SACKO_16247	TCONS_00017254.p1
OG0000013	SACKO_20134	TCONS_00030446.p1, TCONS_00030445.p1
OG0000013	SACKO_20882, SACKO_20884, SACKO_25123, SACKO_25143, SACKO_25131, SACKO_25137	TCONS_00021208.p1
OG0000014	SACKO_03371	TCONS_00027485.p1, TCONS_00027177.p1
OG0000014	SACKO_03415, SACKO_03391	TCONS_00026948.p1, TCONS_00026951.p1
OG0000014	SACKO_22208	TCONS_00011368.p1, TCONS_00011367.p1
OG0000014	SACKO_17210	TCONS_00019370.p1
OG0000014	SACKO_07037	TCONS_00055951.p1
OG0000014	SACKO_09441, SACKO_09449, SACKO_09439, SACKO_09461, SACKO_06966, SACKO_06947, SACKO_08105, SACKO_08147, SACKO_09870, SACKO_16092, SACKO_31551, SACKO_29003, SACKO_10634, SACKO_14937, SACKO_17414, SACKO_06936, SACKO_32656, SACKO_09455, SACKO_09442, SACKO_09453, SACKO_09445, SACKO_09444, SACKO_09452, SACKO_06943, SACKO_06984	TCONS_00018745.p1, TCONS_00016636.p1, TCONS_00018744.p1
OG0000014	SACKO_25933, SACKO_00449, SACKO_12265, SACKO_12257	TCONS_00000124.p1
OG0000014	SACKO_10784	TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1
OG0000014	SACKO_10786	TCONS_00010527.p1, TCONS_00011555.p1
OG0000014	SACKO_33738	TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1
OG0000014	SACKO_26423, SACKO_26460	TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1
OG0000014	SACKO_06765	TCONS_00050449.p1, TCONS_00050450.p1, TCONS_00050447.p1, TCONS_00050443.p1, TCONS_00050441.p1, TCONS_00050444.p1, TCONS_00050448.p1
OG0000014	SACKO_21227	TCONS_00042641.p1, TCONS_00043962.p1, TCONS_00043963.p1, TCONS_00043964.p1, TCONS_00042645.p1, TCONS_00010921.p1, TCONS_00042643.p1
OG0000014	SACKO_13283	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1
OG0000014	SACKO_33008	TCONS_00018576.p1, TCONS_00018574.p1, TCONS_00018581.p1, TCONS_00000312.p1, TCONS_00001858.p1, TCONS_00017715.p1, TCONS_00017563.p1, TCONS_00017559.p1, TCONS_00017555.p1, TCONS_00017562.p1, TCONS_00017557.p1, TCONS_00018572.p1, TCONS_00017567.p1, TCONS_00017565.p1, TCONS_00017560.p1, TCONS_00017553.p1, TCONS_00017554.p1, TCONS_00018563.p1
OG0000014	SACKO_33001	TCONS_00017039.p1, TCONS_00017041.p1, TCONS_00017038.p1, TCONS_00016927.p1
OG0000014	SACKO_33229, SACKO_27033	TCONS_00053337.p1, TCONS_00054007.p1
OG0000014	SACKO_33003	TCONS_00017566.p1, TCONS_00017552.p1, TCONS_00017551.p1
OG0000015	SACKO_07983	TCONS_00007433.p1
OG0000015	SACKO_01122	TCONS_00029137.p1
OG0000015	SACKO_01126	TCONS_00028127.p1
OG0000015	SACKO_09494	TCONS_00043495.p1
OG0000015	SACKO_31697	TCONS_00042561.p1, TCONS_00043863.p1
OG0000015	SACKO_11254, SACKO_29684, SACKO_11255	TCONS_00017456.p1
OG0000015	SACKO_11287	TCONS_00018530.p1
OG0000015	SACKO_11889	TCONS_00017014.p1
OG0000015	SACKO_08390	TCONS_00018220.p1
OG0000015	SACKO_24571	TCONS_00042403.p1
OG0000015	SACKO_02855	TCONS_00047528.p1, TCONS_00048847.p1
OG0000015	SACKO_22485	TCONS_00017787.p1, TCONS_00042857.p1
OG0000015	SACKO_22502	TCONS_00017072.p1, TCONS_00018222.p1
OG0000015	SACKO_17011	TCONS_00029340.p1
OG0000015	SACKO_07089	TCONS_00028215.p1
OG0000015	SACKO_00034	TCONS_00028475.p1
OG0000015	SACKO_00056	TCONS_00029530.p1
OG0000015	SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290	TCONS_00017844.p1
OG0000015	SACKO_08251	TCONS_00042572.p1
OG0000015	SACKO_11425	TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1
OG0000015	SACKO_33292	TCONS_00017849.p1
OG0000015	SACKO_33299	TCONS_00017852.p1
OG0000015	SACKO_09394, SACKO_11453	TCONS_00028843.p1
OG0000016	SACKO_26503, SACKO_06921	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1
OG0000016	SACKO_08552, SACKO_02763, SACKO_27519	TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1
OG0000016	SACKO_31968	TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1
OG0000016	SACKO_06844	TCONS_00012620.p1, TCONS_00013829.p1
OG0000016	SACKO_15439	TCONS_00021462.p1
OG0000016	SACKO_19317, SACKO_06877, SACKO_04946	TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1
OG0000016	SACKO_23373, SACKO_07103, SACKO_18319	TCONS_00022184.p1
OG0000016	SACKO_14898	TCONS_00003602.p1
OG0000016	SACKO_26527	TCONS_00048341.p1
OG0000016	SACKO_06390	TCONS_00049735.p1
OG0000016	SACKO_10752	TCONS_00048016.p1
OG0000016	SACKO_25451	TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1
OG0000016	SACKO_06368, SACKO_16222	TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1
OG0000016	SACKO_01152, SACKO_01198	TCONS_00020323.p1, TCONS_00020321.p1
OG0000016	SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917	TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1
OG0000017	SACKO_32297	TCONS_00043073.p1, TCONS_00050389.p1, TCONS_00031952.p1, TCONS_00031929.p1, TCONS_00003294.p1, TCONS_00017646.p1, TCONS_00035188.p1, TCONS_00012374.p1, TCONS_00010804.p1, TCONS_00041803.p1, TCONS_00053694.p1
OG0000017	SACKO_17667	TCONS_00034099.p1, TCONS_00035359.p1, TCONS_00049944.p1, TCONS_00032138.p1, TCONS_00052165.p1
OG0000017	SACKO_00987, SACKO_29799	TCONS_00056182.p1, TCONS_00037236.p1, TCONS_00037011.p1, TCONS_00054246.p1
OG0000017	SACKO_25642	TCONS_00034588.p2
OG0000017	SACKO_32786, SACKO_07720	TCONS_00049861.p1
OG0000018	SACKO_12447	TCONS_00046017.p1, TCONS_00025610.p1, TCONS_00028359.p1
OG0000018	SACKO_25250	TCONS_00053509.p1
OG0000018	SACKO_10156	TCONS_00048003.p1, TCONS_00010166.p1, TCONS_00018552.p2, TCONS_00050690.p1, TCONS_00001438.p1, TCONS_00031143.p1
OG0000018	SACKO_21669, SACKO_17074	TCONS_00037698.p1, TCONS_00033891.p1, TCONS_00031409.p1, TCONS_00051415.p1, TCONS_00030438.p1
OG0000018	SACKO_20752	TCONS_00045433.p1, TCONS_00018885.p1, TCONS_00030533.p1
OG0000019	SACKO_05035	TCONS_00042378.p1
OG0000019	SACKO_20530, SACKO_31918	TCONS_00025657.p1, TCONS_00025658.p1, TCONS_00025659.p1
OG0000019	SACKO_29250	TCONS_00029505.p1
OG0000019	SACKO_29837	TCONS_00028039.p1, TCONS_00028037.p1, TCONS_00028042.p1, TCONS_00028040.p1, TCONS_00028035.p1, TCONS_00029509.p1
OG0000019	SACKO_29254	TCONS_00014266.p1, TCONS_00027859.p1
OG0000019	SACKO_28153	TCONS_00028459.p1, TCONS_00028453.p1, TCONS_00028457.p1, TCONS_00028458.p1, TCONS_00028452.p1, TCONS_00028462.p1, TCONS_00028460.p1, TCONS_00028461.p1, TCONS_00029609.p1
OG0000019	SACKO_32997, SACKO_06343, SACKO_26551, SACKO_34158, SACKO_09261, SACKO_14219	TCONS_00007298.p1, TCONS_00007301.p1
OG0000019	SACKO_09585, SACKO_04627	TCONS_00016343.p1, TCONS_00053172.p1, TCONS_00050837.p1
OG0000019	SACKO_12671	TCONS_00056903.p1, TCONS_00053134.p1, TCONS_00017582.p1
OG0000019	SACKO_03203	TCONS_00047760.p1
OG0000019	SACKO_15751	TCONS_00009265.p1
OG0000019	SACKO_33114	TCONS_00009269.p1, TCONS_00009271.p1
OG0000019	SACKO_33498	TCONS_00008241.p1
OG0000019	SACKO_08012	TCONS_00042526.p1, TCONS_00042527.p1
OG0000019	SACKO_30988, SACKO_16263	TCONS_00042528.p1
OG0000019	SACKO_31008, SACKO_30986	TCONS_00042379.p1
OG0000019	SACKO_17301	TCONS_00042363.p1
OG0000019	SACKO_23880	TCONS_00020725.p1
OG0000019	SACKO_20403, SACKO_20414	TCONS_00042480.p1
OG0000019	SACKO_10721	TCONS_00009589.p1, TCONS_00043166.p1, TCONS_00043167.p1, TCONS_00050243.p1, TCONS_00050238.p1, TCONS_00050241.p1, TCONS_00050235.p1, TCONS_00050242.p1, TCONS_00050237.p1, TCONS_00050240.p1, TCONS_00050234.p1, TCONS_00050233.p1, TCONS_00050246.p1, TCONS_00050249.p1, TCONS_00043170.p1, TCONS_00043821.p1
OG0000020	SACKO_34195	TCONS_00042133.p1
OG0000020	SACKO_25295	TCONS_00044902.p1
OG0000020	SACKO_22951	TCONS_00055662.p1
OG0000020	SACKO_26712	TCONS_00007359.p1
OG0000020	SACKO_32378	TCONS_00011932.p1, TCONS_00014940.p1
OG0000020	SACKO_15147	TCONS_00018790.p1
OG0000020	SACKO_20642	TCONS_00054537.p1
OG0000020	SACKO_08732	TCONS_00047850.p1
OG0000020	SACKO_26124	TCONS_00020870.p1
OG0000020	SACKO_26857	TCONS_00009371.p1
OG0000020	SACKO_10515	TCONS_00020242.p1
OG0000020	SACKO_21519	TCONS_00045845.p1
OG0000020	SACKO_08704	TCONS_00028429.p1
OG0000020	SACKO_24262	TCONS_00029461.p1
OG0000020	SACKO_13567, SACKO_14956	TCONS_00053209.p1
OG0000020	SACKO_28904	TCONS_00022182.p1
OG0000020	SACKO_19273	TCONS_00013032.p1
OG0000020	SACKO_23553	TCONS_00019497.p1
OG0000020	SACKO_23513	TCONS_00020535.p1
OG0000020	SACKO_16107, SACKO_20105	TCONS_00016378.p1
OG0000020	SACKO_20295	TCONS_00051401.p1
OG0000020	SACKO_29670	TCONS_00031077.p1
OG0000020	SACKO_04148	TCONS_00056690.p1
OG0000020	SACKO_24638	TCONS_00042754.p1
OG0000020	SACKO_04828	TCONS_00019367.p1
OG0000020	SACKO_14423	TCONS_00041844.p1
OG0000021	SACKO_17226, SACKO_17242, SACKO_17184	TCONS_00047235.p1, TCONS_00047455.p1
OG0000021	SACKO_04567	TCONS_00025493.p1
OG0000021	SACKO_32115	TCONS_00007765.p1
OG0000021	SACKO_15594	TCONS_00006555.p1
OG0000021	SACKO_33152	TCONS_00005425.p1
OG0000021	SACKO_29742	TCONS_00005068.p1, TCONS_00005066.p1
OG0000021	SACKO_12803	TCONS_00047524.p1
OG0000021	SACKO_31258, SACKO_00486	TCONS_00048529.p1, TCONS_00048461.p1
OG0000021	SACKO_14364	TCONS_00048530.p1, TCONS_00048462.p1
OG0000021	SACKO_10771, SACKO_11695, SACKO_09800	TCONS_00048631.p1, TCONS_00047352.p1
OG0000021	SACKO_24631	TCONS_00044070.p1, TCONS_00044077.p1
OG0000021	SACKO_25838	TCONS_00016243.p1
OG0000021	SACKO_24637	TCONS_00042218.p1
OG0000021	SACKO_24630	TCONS_00044055.p1
OG0000021	SACKO_24646	TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1
OG0000021	SACKO_24640	TCONS_00044068.p1
OG0000023	SACKO_10529	TCONS_00026137.p1
OG0000023	SACKO_06926	TCONS_00004930.p1
OG0000023	SACKO_14770	TCONS_00029827.p1
OG0000023	SACKO_29082, SACKO_29077	TCONS_00006339.p1, TCONS_00006341.p1
OG0000023	SACKO_02636	TCONS_00023484.p1, TCONS_00023448.p1, TCONS_00023486.p1, TCONS_00023450.p1
