Orthogroup	SACKO_ok	CAEEL
OG0000031	SACKO_14417	CAEEL07076
OG0000032	SACKO_20618, SACKO_18250, SACKO_18255, SACKO_27193, SACKO_27208, SACKO_28754	CAEEL19615
OG0000032	SACKO_02664, SACKO_04047, SACKO_04056, SACKO_31787, SACKO_31778, SACKO_31779, SACKO_31775, SACKO_31777, SACKO_31788, SACKO_31776, SACKO_31785, SACKO_04038, SACKO_28244, SACKO_28242, SACKO_28243	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	SACKO_08906	CAEEL07900
OG0000034	SACKO_15619	CAEEL13037
OG0000034	SACKO_19192	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	SACKO_16505	CAEEL01132
OG0000034	SACKO_05860	CAEEL03140, CAEEL03141
OG0000035	SACKO_02558	CAEEL01943
OG0000035	SACKO_07333, SACKO_04598	CAEEL20458
OG0000036	SACKO_28321	CAEEL15057
OG0000036	SACKO_28315	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	SACKO_05171	CAEEL17629, CAEEL17628
OG0000037	SACKO_15149	CAEEL20275
OG0000037	SACKO_21107, SACKO_21121, SACKO_07542, SACKO_17953, SACKO_17956	CAEEL09012, CAEEL08645
OG0000038	SACKO_01199	CAEEL05762
OG0000038	SACKO_05258, SACKO_05271	CAEEL07106
OG0000039	SACKO_16548	CAEEL01485
OG0000041	SACKO_08282	CAEEL05494
OG0000043	SACKO_08499, SACKO_08500, SACKO_08492, SACKO_22653, SACKO_08433	CAEEL10737, CAEEL11712, CAEEL06333, CAEEL01948, CAEEL06326, CAEEL14855, CAEEL10930, CAEEL06322, CAEEL16894, CAEEL14940, CAEEL11691, CAEEL10934, CAEEL14937, CAEEL14954, CAEEL14951, CAEEL11702
OG0000043	SACKO_16081, SACKO_11560, SACKO_06732, SACKO_06744, SACKO_30022, SACKO_28017, SACKO_06742, SACKO_06747, SACKO_06718, SACKO_22845, SACKO_22851, SACKO_06719, SACKO_27090, SACKO_10903, SACKO_10887, SACKO_10910, SACKO_10918, SACKO_27578, SACKO_10867, SACKO_10904, SACKO_27580, SACKO_10923, SACKO_10919, SACKO_06713, SACKO_06727, SACKO_06759, SACKO_00470	CAEEL15122
OG0000044	SACKO_33185, SACKO_12809, SACKO_27728, SACKO_25979	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097
OG0000049	SACKO_08936	CAEEL02028
OG0000049	SACKO_25469	CAEEL19631
OG0000049	SACKO_25472	CAEEL10349
OG0000051	SACKO_01323, SACKO_05894, SACKO_05920, SACKO_05919, SACKO_05947, SACKO_05961, SACKO_05937, SACKO_05924, SACKO_05914, SACKO_05927, SACKO_21265, SACKO_05598, SACKO_21276, SACKO_00826, SACKO_19765, SACKO_21267, SACKO_21272, SACKO_21225, SACKO_21248, SACKO_21467	CAEEL18565
OG0000051	SACKO_26547, SACKO_15743, SACKO_15729, SACKO_15742, SACKO_15726	CAEEL09464
OG0000054	SACKO_17476	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000055	SACKO_06734, SACKO_16034, SACKO_06736, SACKO_22855, SACKO_06730, SACKO_06723, SACKO_22841, SACKO_06754, SACKO_06753, SACKO_10896, SACKO_10914, SACKO_10917, SACKO_10872, SACKO_10884, SACKO_27588, SACKO_10909, SACKO_10921, SACKO_10902, SACKO_27559, SACKO_10916, SACKO_30027	CAEEL14858
OG0000056	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672, SACKO_32711	CAEEL05273
OG0000058	SACKO_23572	CAEEL06550
OG0000058	SACKO_28012, SACKO_10650, SACKO_28003, SACKO_28030	CAEEL09297
OG0000059	SACKO_09491	CAEEL08332
OG0000060	SACKO_18890	CAEEL20840
OG0000061	SACKO_02041	CAEEL08422
OG0000061	SACKO_22956, SACKO_22933	CAEEL07898
OG0000061	SACKO_27147	CAEEL20509
OG0000062	SACKO_15645	CAEEL02955
OG0000063	SACKO_12392	CAEEL05773
OG0000063	SACKO_30345	CAEEL11408
OG0000063	SACKO_15119	CAEEL04400
OG0000066	SACKO_02924	CAEEL18679
OG0000066	SACKO_22294, SACKO_01637, SACKO_22338, SACKO_23403	CAEEL20109
OG0000067	SACKO_14495, SACKO_30959, SACKO_15224, SACKO_22683, SACKO_10271, SACKO_21618, SACKO_13951, SACKO_01508, SACKO_26251	CAEEL19271
OG0000068	SACKO_06043, SACKO_06365	CAEEL09504
OG0000068	SACKO_13373, SACKO_07008, SACKO_31433, SACKO_13374, SACKO_13369, SACKO_13372, SACKO_13381	CAEEL06439
OG0000069	SACKO_07016, SACKO_15035	CAEEL14766
OG0000070	SACKO_08575, SACKO_04002, SACKO_16666	CAEEL19861
OG0000071	SACKO_03523, SACKO_08311	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077
OG0000072	SACKO_30660	CAEEL07368
OG0000075	SACKO_16948	CAEEL03008
OG0000075	SACKO_23651	CAEEL11367
OG0000075	SACKO_09677, SACKO_16926	CAEEL11291
OG0000077	SACKO_10609, SACKO_13734	CAEEL01559
OG0000077	SACKO_24063	CAEEL18883
OG0000077	SACKO_16621, SACKO_13762, SACKO_02025	CAEEL06904
OG0000077	SACKO_24085	CAEEL18420
OG0000077	SACKO_24142, SACKO_25682, SACKO_24970, SACKO_24184, SACKO_27806	CAEEL20549, CAEEL20548
OG0000078	SACKO_15309	CAEEL18404
OG0000079	SACKO_02973, SACKO_02974	CAEEL07248
OG0000082	SACKO_10320, SACKO_23913, SACKO_28357, SACKO_23907, SACKO_09409, SACKO_23931, SACKO_23906, SACKO_26214, SACKO_32295	CAEEL18954, CAEEL04897
OG0000082	SACKO_12474	CAEEL13927
OG0000082	SACKO_26490	CAEEL12687
OG0000082	SACKO_12848, SACKO_24599, SACKO_24554, SACKO_24557, SACKO_24563, SACKO_12893	CAEEL01784, CAEEL05942, CAEEL05941
OG0000084	SACKO_10969, SACKO_17061, SACKO_10264, SACKO_10253, SACKO_06467, SACKO_06545, SACKO_31931	CAEEL10610, CAEEL18185
OG0000084	SACKO_32700, SACKO_32675, SACKO_32692	CAEEL10264
OG0000084	SACKO_32609, SACKO_07147, SACKO_31500, SACKO_15836, SACKO_05963, SACKO_27847, SACKO_20086, SACKO_20590, SACKO_20079, SACKO_05966, SACKO_22421, SACKO_20089, SACKO_17161, SACKO_31858, SACKO_21702, SACKO_03895, SACKO_28384, SACKO_05240, SACKO_30129, SACKO_05174, SACKO_01317, SACKO_32704, SACKO_32645, SACKO_32691	CAEEL10989
OG0000084	SACKO_25939, SACKO_05229, SACKO_05226, SACKO_29112, SACKO_05196, SACKO_05204, SACKO_34192, SACKO_05203, SACKO_05224, SACKO_05166, SACKO_05235, SACKO_10741, SACKO_10738, SACKO_10729, SACKO_10733, SACKO_06583	CAEEL08514, CAEEL10452
OG0000085	SACKO_23009	CAEEL06909
OG0000085	SACKO_25563	CAEEL03085
OG0000085	SACKO_10208	CAEEL08077
OG0000090	SACKO_21411	CAEEL18451
OG0000090	SACKO_17164, SACKO_07050, SACKO_04369, SACKO_25384, SACKO_27824, SACKO_07409, SACKO_00530, SACKO_16260, SACKO_30571, SACKO_08789, SACKO_29590, SACKO_24104, SACKO_28463, SACKO_27294, SACKO_22823, SACKO_27256, SACKO_22832, SACKO_22824	CAEEL10114
OG0000094	SACKO_30142	CAEEL10719
OG0000094	SACKO_14416	CAEEL18425
OG0000095	SACKO_28112, SACKO_28146, SACKO_22238, SACKO_22239, SACKO_09533, SACKO_14638, SACKO_28141, SACKO_28147, SACKO_28111, SACKO_05633, SACKO_28134, SACKO_05646, SACKO_28114, SACKO_22231, SACKO_28136, SACKO_28131, SACKO_05648	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114
OG0000095	SACKO_22134, SACKO_02519	CAEEL03536
OG0000096	SACKO_00041	CAEEL16555
OG0000096	SACKO_02842	CAEEL11088
OG0000096	SACKO_13904	CAEEL08533
OG0000096	SACKO_24537	CAEEL11776
OG0000096	SACKO_23084	CAEEL06051
OG0000096	SACKO_27312, SACKO_27255	CAEEL07422
OG0000098	SACKO_11921	CAEEL01602
OG0000098	SACKO_15840	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	SACKO_04331	CAEEL07999, CAEEL08340
OG0000099	SACKO_03078	CAEEL05000, CAEEL01295
OG0000099	SACKO_07176	CAEEL19098, CAEEL14903
OG0000101	SACKO_17213, SACKO_17194, SACKO_17207, SACKO_30330	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	SACKO_33359	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	SACKO_23497	CAEEL01469, CAEEL18445
OG0000104	SACKO_13626, SACKO_13628, SACKO_13620	CAEEL04070
OG0000104	SACKO_19425, SACKO_13617, SACKO_06378, SACKO_13688, SACKO_16066	CAEEL18800
OG0000106	SACKO_31163, SACKO_03309, SACKO_31157, SACKO_05024, SACKO_19089, SACKO_19090, SACKO_26319	CAEEL19130, CAEEL20701
OG0000110	SACKO_09064, SACKO_22197	CAEEL10319, CAEEL17689
OG0000111	SACKO_18092	CAEEL12675
OG0000111	SACKO_08576, SACKO_15955, SACKO_15960, SACKO_03302, SACKO_04060, SACKO_32005, SACKO_30394, SACKO_09934, SACKO_16488, SACKO_19622, SACKO_19627, SACKO_03978, SACKO_04484, SACKO_24288, SACKO_23101, SACKO_21281, SACKO_25450, SACKO_26426, SACKO_27946, SACKO_18003, SACKO_18007, SACKO_17994, SACKO_18005, SACKO_13765, SACKO_23099, SACKO_23087, SACKO_23097, SACKO_03404, SACKO_04492, SACKO_06031, SACKO_06036, SACKO_11819, SACKO_11823, SACKO_02299, SACKO_10299, SACKO_16656	CAEEL20845
OG0000113	SACKO_14235, SACKO_07253, SACKO_22562, SACKO_28107, SACKO_25640, SACKO_27005, SACKO_09021	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	SACKO_05494	CAEEL03306, CAEEL13040
OG0000114	SACKO_05497, SACKO_05499, SACKO_05519	CAEEL18136
OG0000116	SACKO_31632	CAEEL14875
OG0000117	SACKO_06638	CAEEL15828
OG0000117	SACKO_00604	CAEEL06492
OG0000117	SACKO_14556	CAEEL07433
OG0000119	SACKO_14170	CAEEL08480
OG0000119	SACKO_22937, SACKO_22948, SACKO_22971	CAEEL08396
OG0000120	SACKO_09614	CAEEL14397
OG0000120	SACKO_22704	CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053
OG0000120	SACKO_27188	CAEEL10779, CAEEL14431
OG0000124	SACKO_33754, SACKO_22345	CAEEL19897
OG0000124	SACKO_02327	CAEEL15384, CAEEL15382
OG0000125	SACKO_31925, SACKO_18243, SACKO_25407	CAEEL19671
OG0000126	SACKO_09501	CAEEL09101
OG0000127	SACKO_08426	CAEEL19207
OG0000127	SACKO_08394	CAEEL20452
OG0000127	SACKO_07799	CAEEL00838
OG0000128	SACKO_09563, SACKO_21605, SACKO_14613, SACKO_15316, SACKO_15336	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	SACKO_17443	CAEEL12325
OG0000131	SACKO_07703, SACKO_07705	CAEEL08663
OG0000131	SACKO_00898	CAEEL07634
OG0000132	SACKO_26256, SACKO_00485	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	SACKO_08934, SACKO_08979, SACKO_08926	CAEEL10559
OG0000137	SACKO_15711, SACKO_32541	CAEEL15802, CAEEL15801
OG0000147	SACKO_09609, SACKO_09597	CAEEL04811
OG0000147	SACKO_29987	CAEEL18488
OG0000148	SACKO_07198, SACKO_01163	CAEEL09804
OG0000148	SACKO_07197	CAEEL12387, CAEEL10870
OG0000149	SACKO_25876, SACKO_25874	CAEEL02847
OG0000154	SACKO_30029	CAEEL02932
OG0000155	SACKO_31592, SACKO_06509	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957
OG0000157	SACKO_13943	CAEEL00241
OG0000157	SACKO_30737	CAEEL14384, CAEEL15927, CAEEL15568, CAEEL01598, CAEEL16076, CAEEL14820, CAEEL15084, CAEEL11463
OG0000158	SACKO_08920	CAEEL20117, CAEEL08684
OG0000159	SACKO_05468	CAEEL19486
OG0000159	SACKO_08600, SACKO_12615	CAEEL05281
OG0000160	SACKO_19890, SACKO_08004, SACKO_22012, SACKO_20174, SACKO_20186, SACKO_19221, SACKO_18893, SACKO_04388, SACKO_11262, SACKO_24189, SACKO_16994	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	SACKO_28728, SACKO_28760, SACKO_28733, SACKO_28643	CAEEL08313
OG0000163	SACKO_18542	CAEEL20194, CAEEL08850
OG0000164	SACKO_29240, SACKO_04512, SACKO_12280, SACKO_18028	CAEEL09304
OG0000164	SACKO_06293	CAEEL05807
OG0000167	SACKO_13978	CAEEL02846
OG0000168	SACKO_12471, SACKO_12477, SACKO_14676, SACKO_05799, SACKO_02929, SACKO_15285, SACKO_02947	CAEEL10744, CAEEL09425, CAEEL11389, CAEEL18543, CAEEL05482
OG0000168	SACKO_01287, SACKO_01284	CAEEL19018
OG0000169	SACKO_10602	CAEEL15798
OG0000172	SACKO_29021, SACKO_31081, SACKO_31088	CAEEL04412
OG0000173	SACKO_13484, SACKO_13483	CAEEL04156
OG0000174	SACKO_28192, SACKO_28201	CAEEL09479
OG0000175	SACKO_14233	CAEEL19241
OG0000175	SACKO_29688, SACKO_29680, SACKO_29673, SACKO_25380, SACKO_25374, SACKO_03909, SACKO_25371, SACKO_20858	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	SACKO_06450, SACKO_05905, SACKO_06440	CAEEL13640
OG0000179	SACKO_15469	CAEEL02965, CAEEL06713
OG0000179	SACKO_14493, SACKO_04822	CAEEL19466, CAEEL07193
OG0000180	SACKO_21622, SACKO_21614, SACKO_21606, SACKO_21611, SACKO_21612, SACKO_21608, SACKO_21625, SACKO_21602, SACKO_12452, SACKO_19707, SACKO_15868, SACKO_10450	CAEEL03002, CAEEL02981, CAEEL03753
OG0000181	SACKO_04152	CAEEL07684
OG0000181	SACKO_07379	CAEEL10858
OG0000181	SACKO_04775	CAEEL10772
OG0000181	SACKO_32918	CAEEL12632
OG0000183	SACKO_02174	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	SACKO_26873	CAEEL18435
OG0000184	SACKO_18335, SACKO_17629	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164
OG0000185	SACKO_00274	CAEEL14200
OG0000186	SACKO_32106	CAEEL18013
OG0000186	SACKO_11363	CAEEL13010
OG0000188	SACKO_19058, SACKO_28325, SACKO_12331	CAEEL13361
OG0000193	SACKO_23908	CAEEL09482, CAEEL14826
OG0000193	SACKO_25908	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079
OG0000193	SACKO_11767, SACKO_11772, SACKO_19913, SACKO_30076	CAEEL08719, CAEEL15014, CAEEL15011, CAEEL13132, CAEEL16410, CAEEL16409, CAEEL08797, CAEEL15012, CAEEL15013, CAEEL13133, CAEEL18985
OG0000194	SACKO_32303, SACKO_32313, SACKO_25043, SACKO_25042, SACKO_00049	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382
OG0000195	SACKO_30751, SACKO_02091, SACKO_28206, SACKO_28209	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312
OG0000197	SACKO_22174, SACKO_22266, SACKO_22140, SACKO_22156	CAEEL04387
OG0000197	SACKO_26257	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188
OG0000200	SACKO_32070	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152
OG0000201	SACKO_08895	CAEEL07587
OG0000202	SACKO_30211	CAEEL20283
OG0000202	SACKO_02029	CAEEL09165
OG0000203	SACKO_21607	CAEEL09812
OG0000205	SACKO_11367	CAEEL13029
OG0000205	SACKO_32641, SACKO_26211, SACKO_12929	CAEEL07272, CAEEL07274, CAEEL07273
OG0000207	SACKO_30239	CAEEL05874, CAEEL00203
OG0000209	SACKO_28272	CAEEL07432
OG0000210	SACKO_06920	CAEEL19469
OG0000211	SACKO_20445	CAEEL15290
OG0000211	SACKO_09187	CAEEL01111, CAEEL01112
OG0000211	SACKO_16984	CAEEL02311
OG0000218	SACKO_18819, SACKO_13048, SACKO_18813, SACKO_18841, SACKO_19249, SACKO_01440, SACKO_08052, SACKO_01447, SACKO_01430	CAEEL07824, CAEEL20213
OG0000221	SACKO_07311, SACKO_32418	CAEEL10747
OG0000223	SACKO_30421, SACKO_18466, SACKO_30424	CAEEL01621, CAEEL00892
OG0000225	SACKO_25492, SACKO_26675, SACKO_25518, SACKO_23391, SACKO_25483, SACKO_25473, SACKO_25501, SACKO_25456	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	SACKO_21642, SACKO_00740, SACKO_28518, SACKO_12634, SACKO_12631, SACKO_12625, SACKO_12642, SACKO_00392, SACKO_21639, SACKO_00395	CAEEL12318
OG0000226	SACKO_00399	CAEEL10068, CAEEL15041
OG0000227	SACKO_16510, SACKO_14267, SACKO_16493, SACKO_24661	CAEEL19645
OG0000229	SACKO_15646, SACKO_15650, SACKO_15659, SACKO_31947, SACKO_14243, SACKO_02834, SACKO_02833, SACKO_29261	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478
OG0000230	SACKO_24726	CAEEL14845, CAEEL19792
OG0000230	SACKO_09121, SACKO_09814, SACKO_09818, SACKO_09815	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825, CAEEL03884, CAEEL05141, CAEEL04123, CAEEL04876
OG0000231	SACKO_17320	CAEEL08481
OG0000231	SACKO_33888	CAEEL01724
OG0000233	SACKO_18635	CAEEL19660, CAEEL15634
OG0000233	SACKO_32623, SACKO_22318	CAEEL03636, CAEEL19665, CAEEL19664
OG0000234	SACKO_21028	CAEEL02295
OG0000234	SACKO_01549	CAEEL03013, CAEEL03014
OG0000235	SACKO_19953, SACKO_19968, SACKO_19956, SACKO_05304, SACKO_19955, SACKO_19937, SACKO_19971, SACKO_07025, SACKO_07031, SACKO_07024, SACKO_07029, SACKO_07026	CAEEL10795, CAEEL07012
OG0000236	SACKO_00233	CAEEL19835
OG0000238	SACKO_14320, SACKO_28194	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387
OG0000239	SACKO_03853	CAEEL14926
OG0000239	SACKO_23070	CAEEL00570
OG0000242	SACKO_11564, SACKO_24398, SACKO_19170, SACKO_19165	CAEEL05302
OG0000242	SACKO_31437	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477
OG0000244	SACKO_07492, SACKO_25063, SACKO_25053, SACKO_16205, SACKO_25569, SACKO_21049	CAEEL11789, CAEEL12688
OG0000245	SACKO_20342	CAEEL20391
OG0000249	SACKO_33702, SACKO_33706, SACKO_33698	CAEEL00206
OG0000250	SACKO_06222	CAEEL07261
OG0000250	SACKO_19847	CAEEL04698
OG0000250	SACKO_08487	CAEEL06732
OG0000251	SACKO_28377, SACKO_16947	CAEEL03667
OG0000251	SACKO_18952	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207
OG0000255	SACKO_00039	CAEEL05168
OG0000255	SACKO_02560, SACKO_04653, SACKO_21059, SACKO_27247	CAEEL05715
OG0000256	SACKO_19804	CAEEL11937, CAEEL19468
OG0000258	SACKO_00377	CAEEL19537
OG0000258	SACKO_10833	CAEEL09342
OG0000258	SACKO_32411	CAEEL15770
OG0000260	SACKO_23657, SACKO_18171, SACKO_03721	CAEEL11482
OG0000261	SACKO_30834	CAEEL20767
OG0000265	SACKO_28292, SACKO_17354	CAEEL20581
OG0000265	SACKO_17458, SACKO_06245	CAEEL10364
OG0000266	SACKO_27992, SACKO_01423, SACKO_16650, SACKO_16595, SACKO_16641, SACKO_22439, SACKO_16630, SACKO_27988, SACKO_27996, SACKO_27981, SACKO_27979	CAEEL19596
OG0000268	SACKO_00617	CAEEL08931
