Orthogroup	CAEEL	ASTMX
OG0000198	CAEEL03057, CAEEL05629, CAEEL09718	ASTMX21468, ASTMX05049, ASTMX19231, ASTMX14686
OG0000201	CAEEL07587	ASTMX16364, ASTMX16005, ASTMX04412, ASTMX17973, ASTMX12848
OG0000202	CAEEL20283	ASTMX12677, ASTMX14453, ASTMX09955, ASTMX19428, ASTMX05837, ASTMX07752, ASTMX02721, ASTMX17241, ASTMX18862, ASTMX09691, ASTMX06807
OG0000203	CAEEL09812	ASTMX05697, ASTMX05660, ASTMX08043, ASTMX20187, ASTMX06010, ASTMX05240, ASTMX05701, ASTMX05700, ASTMX19932, ASTMX11805, ASTMX19931, ASTMX05273, ASTMX00753
OG0000205	CAEEL13029	ASTMX13522, ASTMX10816, ASTMX16114, ASTMX14153, ASTMX22625
OG0000205	CAEEL07272, CAEEL07274, CAEEL07273	ASTMX20510, ASTMX07381, ASTMX02305, ASTMX10670, ASTMX05423, ASTMX14679
OG0000207	CAEEL05874, CAEEL00203	ASTMX11086, ASTMX18027, ASTMX11639, ASTMX13861, ASTMX20482, ASTMX19782, ASTMX06362
OG0000209	CAEEL07432	ASTMX21724
OG0000210	CAEEL19469	ASTMX16896
OG0000211	CAEEL15290	ASTMX02506
OG0000211	CAEEL01111, CAEEL01112	ASTMX08965
OG0000211	CAEEL02311	ASTMX00388, ASTMX07887
OG0000215	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289	ASTMX09309, ASTMX14457
OG0000218	CAEEL07824, CAEEL20213	ASTMX14255, ASTMX06375
OG0000220	CAEEL07565, CAEEL08758	ASTMX14009, ASTMX14010, ASTMX09978, ASTMX02750, ASTMX13093, ASTMX15732
OG0000221	CAEEL10747	ASTMX13257, ASTMX12726, ASTMX08699, ASTMX18546, ASTMX17261, ASTMX17047
OG0000221	CAEEL06648	ASTMX00084, ASTMX22683, ASTMX10185
OG0000223	CAEEL01621, CAEEL00892	ASTMX15854
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	ASTMX16084, ASTMX16085, ASTMX16083, ASTMX11790, ASTMX09442, ASTMX17744, ASTMX14393, ASTMX04772, ASTMX20768, ASTMX04717
OG0000226	CAEEL12318	ASTMX03292
OG0000226	CAEEL10068, CAEEL15041	ASTMX10407
OG0000227	CAEEL19645	ASTMX14934, ASTMX14933, ASTMX18558, ASTMX02672, ASTMX19343, ASTMX10190, ASTMX21887, ASTMX17511, ASTMX21030, ASTMX00467, ASTMX17802, ASTMX07384, ASTMX15014, ASTMX15013, ASTMX08655, ASTMX14981, ASTMX11122, ASTMX17731
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	ASTMX14119, ASTMX05743, ASTMX07950
OG0000230	CAEEL14845, CAEEL19792	ASTMX01329
