Orthogroup	CAEEL	OWEFU
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076	OFUSG09732.1.p1
OG0000028	CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1
OG0000028	CAEEL19515, CAEEL07887	OFUSG16442.1.p1, OFUSG16442.2.p1
OG0000029	CAEEL09623, CAEEL15333	OFUSG21449.1.p1
OG0000029	CAEEL20320	OFUSG25151.1.p1, OFUSG10698.1.p1, OFUSG20711.1.p1
OG0000029	CAEEL11851	OFUSG26611.2.p1, OFUSG26611.1.p1
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	OFUSG04213.1.p1
OG0000030	CAEEL04353	OFUSG17928.1.p1, OFUSG18203.1.p1, OFUSG10901.1.p1, OFUSG10241.1.p1
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	OFUSG26562.1.p1, OFUSG14908.1.p1, OFUSG24122.1.p1, OFUSG13621.1.p1, OFUSG26418.1.p1, OFUSG03647.1.p1, OFUSG12449.1.p1, OFUSG03648.1.p1, OFUSG03242.1.p1, OFUSG14128.1.p1, OFUSG14128.2.p1, OFUSG15638.1.p1, OFUSG15630.1.p1, OFUSG05089.1.p1, OFUSG05089.2.p1
OG0000031	CAEEL02023	OFUSG03902.1.p1, OFUSG03902.2.p1, OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	CAEEL04718	OFUSG09754.1.p1
OG0000031	CAEEL07076	OFUSG02210.1.p1
OG0000032	CAEEL19615	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	OFUSG26521.2.p1, OFUSG26521.1.p1, OFUSG23307.1.p1, OFUSG23306.1.p1, OFUSG20977.1.p1, OFUSG20976.1.p1, OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1
OG0000034	CAEEL07900	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	OFUSG01833.2.p1, OFUSG01833.1.p1
OG0000034	CAEEL01132	OFUSG08780.1.p1
OG0000034	CAEEL03140, CAEEL03141	OFUSG00313.1.p1
OG0000035	CAEEL01943	OFUSG16461.1.p1
OG0000035	CAEEL20458, CAEEL18575, CAEEL18576	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1
OG0000036	CAEEL18405, CAEEL11240	OFUSG06787.1.p1
OG0000036	CAEEL15057	OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	OFUSG05272.1.p1
OG0000037	CAEEL17629, CAEEL17628	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1
OG0000037	CAEEL03654	OFUSG13518.1.p1
OG0000037	CAEEL17375, CAEEL15833, CAEEL14419, CAEEL11118, CAEEL19473, CAEEL15437, CAEEL08950, CAEEL19908, CAEEL17993	OFUSG06378.1.p1, OFUSG06379.1.p1
OG0000037	CAEEL09012, CAEEL08645	OFUSG24232.1.p1, OFUSG22475.1.p1
OG0000038	CAEEL05762	OFUSG15211.1.p1
OG0000038	CAEEL07106	OFUSG26080.1.p1, OFUSG26080.2.p1
OG0000039	CAEEL00466	OFUSG11857.1.p1
OG0000039	CAEEL18993	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1
OG0000040	CAEEL07223, CAEEL10049, CAEEL07225, CAEEL07224, CAEEL07229, CAEEL20365, CAEEL20227, CAEEL05468, CAEEL05498, CAEEL09191, CAEEL09190, CAEEL05505, CAEEL05502, CAEEL05503, CAEEL05501, CAEEL05504, CAEEL05500, CAEEL05506, CAEEL18896	OFUSG17305.1.p1
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121	OFUSG26511.5.p1, OFUSG26511.1.p1, OFUSG26511.3.p1, OFUSG26511.2.p1, OFUSG26511.4.p1, OFUSG15030.1.p1, OFUSG24031.1.p1, OFUSG24027.1.p1
OG0000041	CAEEL19747	OFUSG19628.1.p1, OFUSG17131.1.p1, OFUSG15513.1.p1, OFUSG15137.1.p1, OFUSG07153.1.p1, OFUSG07153.2.p1
OG0000041	CAEEL05494	OFUSG06586.2.p1, OFUSG06586.1.p1, OFUSG06587.1.p1, OFUSG07896.1.p1
OG0000043	CAEEL15122	OFUSG12022.1.p1
OG0000044	CAEEL19801	OFUSG23614.1.p1, OFUSG23614.2.p1, OFUSG09537.1.p1
OG0000044	CAEEL08025	OFUSG06861.1.p1, OFUSG10172.1.p1, OFUSG19783.1.p1, OFUSG11434.1.p1, OFUSG13798.1.p1, OFUSG12158.2.p1, OFUSG12158.1.p1
OG0000048	CAEEL16396	OFUSG11586.1.p1
OG0000049	CAEEL02028	OFUSG00390.1.p1
OG0000049	CAEEL19631	OFUSG06038.1.p1
OG0000049	CAEEL10349	OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1
OG0000051	CAEEL19606	OFUSG14314.1.p1
OG0000051	CAEEL18565	OFUSG17623.1.p1, OFUSG24736.1.p1
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1
OG0000056	CAEEL05273	OFUSG17281.1.p1
OG0000058	CAEEL06550	OFUSG06504.1.p1
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	OFUSG18325.1.p1
OG0000059	CAEEL06767	OFUSG03206.4.p1, OFUSG03206.2.p1, OFUSG03206.1.p1, OFUSG03206.3.p1
OG0000059	CAEEL08332	OFUSG03529.1.p1, OFUSG03529.2.p1
OG0000060	CAEEL08516	OFUSG25748.1.p1, OFUSG06220.1.p1, OFUSG06220.2.p1
OG0000060	CAEEL20840	OFUSG09429.1.p1
OG0000060	CAEEL08749, CAEEL08751, CAEEL08470	OFUSG08326.1.p1, OFUSG08326.2.p1
OG0000061	CAEEL08422	OFUSG24472.3.p1, OFUSG24472.1.p1, OFUSG24472.2.p1, OFUSG16519.1.p1, OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1
OG0000061	CAEEL07898	OFUSG04054.2.p1, OFUSG04054.1.p1, OFUSG04054.3.p1
OG0000061	CAEEL20509	OFUSG16363.1.p1, OFUSG16363.2.p1
OG0000062	CAEEL02955	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1
OG0000063	CAEEL05773	OFUSG17109.2.p1, OFUSG17109.1.p1
OG0000065	CAEEL04467	OFUSG22574.1.p1, OFUSG23358.1.p1, OFUSG12395.1.p1, OFUSG23801.1.p1, OFUSG23802.1.p1, OFUSG23800.1.p1, OFUSG01605.1.p1, OFUSG15392.1.p1, OFUSG01606.1.p1, OFUSG01817.1.p1, OFUSG16109.1.p1, OFUSG08606.1.p1, OFUSG25251.1.p1, OFUSG10638.1.p1, OFUSG03941.1.p1, OFUSG20646.1.p1, OFUSG26222.1.p1, OFUSG00747.1.p1, OFUSG00365.1.p1, OFUSG20533.1.p1
OG0000065	CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243	OFUSG15764.2.p1, OFUSG15764.4.p1, OFUSG15764.3.p1, OFUSG15764.1.p1, OFUSG13353.1.p1, OFUSG22698.1.p1, OFUSG15763.1.p1, OFUSG02049.1.p1, OFUSG22680.1.p1, OFUSG22697.1.p1, OFUSG16096.1.p1, OFUSG15767.1.p1, OFUSG12866.1.p1, OFUSG09226.1.p1, OFUSG09226.2.p1, OFUSG25542.1.p1, OFUSG21873.1.p1, OFUSG21872.1.p1, OFUSG07631.1.p1, OFUSG23384.1.p1, OFUSG15143.1.p1, OFUSG15928.1.p1, OFUSG00649.1.p1, OFUSG25620.1.p1, OFUSG08202.1.p1, OFUSG19583.1.p1, OFUSG13387.1.p1
OG0000066	CAEEL18679	OFUSG15075.1.p1
OG0000066	CAEEL20109	OFUSG12881.1.p1, OFUSG12880.1.p1, OFUSG01773.1.p1, OFUSG01842.1.p1, OFUSG18415.1.p2, OFUSG18410.1.p1, OFUSG01823.1.p1, OFUSG01911.1.p1, OFUSG18410.2.p1, OFUSG18412.1.p2, OFUSG26741.1.p1, OFUSG26737.1.p1, OFUSG25402.1.p1, OFUSG26742.1.p1, OFUSG13079.1.p1, OFUSG25914.1.p1, OFUSG00863.1.p1, OFUSG04883.1.p1, OFUSG04882.1.p1, OFUSG04885.1.p2, OFUSG21263.1.p1, OFUSG23527.1.p1, OFUSG16951.1.p1, OFUSG16951.2.p1, OFUSG09162.1.p1, OFUSG22461.1.p1, OFUSG03668.1.p1, OFUSG23652.3.p1, OFUSG23652.1.p1, OFUSG23652.2.p1, OFUSG12986.1.p1, OFUSG23651.1.p1, OFUSG23651.2.p1, OFUSG23651.3.p1, OFUSG07546.1.p1, OFUSG14827.1.p1, OFUSG13498.2.p1, OFUSG13498.1.p1
OG0000066	CAEEL18639	OFUSG03611.1.p1
OG0000067	CAEEL19271	OFUSG26465.1.p1
OG0000068	CAEEL09504	OFUSG19455.1.p1
OG0000068	CAEEL06439	OFUSG06649.2.p1, OFUSG06649.1.p1
OG0000069	CAEEL14766, CAEEL06233	OFUSG26968.1.p1
OG0000070	CAEEL07192	OFUSG09432.1.p1
OG0000070	CAEEL19861	OFUSG07601.1.p1, OFUSG19636.1.p1, OFUSG12494.1.p1, OFUSG12493.1.p1, OFUSG19637.1.p1, OFUSG25749.1.p1
OG0000070	CAEEL06499	OFUSG12713.1.p1
OG0000071	CAEEL11416	OFUSG10230.1.p1
OG0000071	CAEEL01923, CAEEL10649, CAEEL04912, CAEEL09257, CAEEL12747	OFUSG08527.1.p1
OG0000071	CAEEL07848, CAEEL20562, CAEEL18107	OFUSG18279.1.p1, OFUSG18280.1.p1, OFUSG18277.1.p1, OFUSG13697.1.p1, OFUSG09087.1.p1, OFUSG08108.1.p1
OG0000071	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077	OFUSG17431.1.p1, OFUSG17011.1.p1, OFUSG17010.1.p1, OFUSG08342.1.p1, OFUSG25772.1.p1, OFUSG15787.1.p1, OFUSG16028.1.p2, OFUSG18632.1.p1, OFUSG13731.1.p1
OG0000072	CAEEL07368	OFUSG02543.3.p1, OFUSG02543.1.p1, OFUSG02543.2.p1
OG0000075	CAEEL03008	OFUSG13755.2.p1, OFUSG13755.1.p1
OG0000075	CAEEL11367	OFUSG05709.1.p1
OG0000075	CAEEL11291	OFUSG18892.2.p1, OFUSG18892.1.p1, OFUSG19094.1.p1
OG0000077	CAEEL01559	OFUSG19468.1.p1
OG0000077	CAEEL18776, CAEEL19129	OFUSG05894.1.p1
OG0000077	CAEEL18883	OFUSG05945.4.p1, OFUSG05945.3.p1, OFUSG05945.2.p1, OFUSG05945.1.p1
OG0000077	CAEEL06904	OFUSG04692.1.p1
OG0000077	CAEEL18420	OFUSG05776.1.p1, OFUSG24718.1.p1
OG0000077	CAEEL20549, CAEEL20548	OFUSG19471.1.p1, OFUSG19327.1.p1, OFUSG06337.1.p1
OG0000078	CAEEL18404	OFUSG16348.1.p1, OFUSG16350.1.p1, OFUSG04342.1.p1, OFUSG04340.1.p1, OFUSG04336.1.p1, OFUSG16350.2.p1, OFUSG16350.3.p1, OFUSG14729.1.p1, OFUSG25407.3.p1, OFUSG25407.2.p1, OFUSG25408.1.p1, OFUSG25407.1.p1, OFUSG06117.1.p1, OFUSG13932.1.p1, OFUSG09478.1.p1, OFUSG04630.1.p1, OFUSG00727.1.p1
OG0000078	CAEEL11831	OFUSG19789.1.p1, OFUSG03268.1.p1, OFUSG02334.1.p1, OFUSG03266.2.p1, OFUSG03266.3.p1, OFUSG03267.1.p1, OFUSG03266.1.p1, OFUSG19794.1.p1, OFUSG19793.1.p1, OFUSG19793.2.p1, OFUSG01423.4.p1, OFUSG01423.1.p1, OFUSG01423.2.p1, OFUSG01423.3.p1, OFUSG01423.5.p1, OFUSG02459.1.p1, OFUSG02461.1.p1
OG0000079	CAEEL18822, CAEEL09849	OFUSG21029.1.p1
OG0000079	CAEEL10489	OFUSG23598.1.p1, OFUSG13995.1.p1, OFUSG00197.1.p1, OFUSG00197.2.p1, OFUSG13998.1.p1
OG0000079	CAEEL07248	OFUSG24101.1.p1
OG0000082	CAEEL18954, CAEEL04897	OFUSG08036.1.p1
OG0000082	CAEEL13927	OFUSG05603.1.p1
OG0000082	CAEEL12687	OFUSG21176.1.p1, OFUSG21175.1.p1
OG0000082	CAEEL01784, CAEEL05942, CAEEL05941	OFUSG21079.1.p1, OFUSG10604.1.p1
OG0000084	CAEEL19682, CAEEL11723, CAEEL19532, CAEEL12802, CAEEL16493, CAEEL20091, CAEEL20155, CAEEL18755	OFUSG06238.1.p1, OFUSG06238.2.p1
OG0000084	CAEEL10610, CAEEL18185	OFUSG05733.1.p1, OFUSG06631.1.p1
OG0000084	CAEEL10264	OFUSG10435.1.p1
OG0000084	CAEEL10989	OFUSG10414.1.p1, OFUSG10414.2.p1, OFUSG10414.3.p1, OFUSG10519.1.p1, OFUSG10110.1.p1, OFUSG10110.2.p1, OFUSG10016.2.p1, OFUSG10016.1.p1
OG0000084	CAEEL20634	OFUSG10734.1.p1
OG0000084	CAEEL08514, CAEEL10452	OFUSG10136.1.p1
OG0000085	CAEEL06909	OFUSG23228.1.p1, OFUSG17240.1.p1
OG0000085	CAEEL07542	OFUSG24119.1.p1
OG0000085	CAEEL03085	OFUSG04918.1.p1
OG0000085	CAEEL08077	OFUSG15502.1.p1
OG0000090	CAEEL18451	OFUSG07976.1.p1
OG0000090	CAEEL10114	OFUSG03472.1.p1, OFUSG17931.1.p1, OFUSG10405.1.p1, OFUSG08207.1.p1
OG0000091	CAEEL01090	OFUSG12748.1.p1
OG0000091	CAEEL05045	OFUSG07415.1.p1, OFUSG07415.2.p1, OFUSG07949.1.p1
OG0000094	CAEEL10719	OFUSG06104.1.p1
OG0000094	CAEEL18425	OFUSG07673.3.p1, OFUSG07673.1.p1, OFUSG07673.2.p1, OFUSG07673.4.p1
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	OFUSG11139.1.p1, OFUSG11139.2.p1, OFUSG20731.1.p1, OFUSG10751.1.p1, OFUSG10752.1.p1, OFUSG05076.1.p1, OFUSG05077.1.p1, OFUSG04927.1.p1, OFUSG04834.1.p1, OFUSG05311.1.p1, OFUSG05311.3.p1, OFUSG05311.2.p1, OFUSG23053.1.p1, OFUSG20564.2.p1, OFUSG20564.1.p1, OFUSG06065.1.p1, OFUSG03477.1.p1, OFUSG05320.1.p1
OG0000096	CAEEL16555	OFUSG14354.1.p1
OG0000096	CAEEL11088	OFUSG06591.1.p1
OG0000096	CAEEL08533	OFUSG12705.1.p1
OG0000096	CAEEL11776	OFUSG08225.1.p1
OG0000096	CAEEL06051	OFUSG00268.1.p1
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	OFUSG09622.1.p1, OFUSG09623.1.p1
OG0000099	CAEEL07999, CAEEL08340	OFUSG03815.1.p1, OFUSG03814.2.p1, OFUSG03814.3.p1, OFUSG03814.1.p1
OG0000099	CAEEL05000, CAEEL01295	OFUSG00228.1.p1, OFUSG00229.1.p1, OFUSG00229.2.p1, OFUSG01427.1.p1, OFUSG00259.1.p1, OFUSG00259.2.p1
OG0000099	CAEEL19098, CAEEL14903	OFUSG11416.1.p1
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	OFUSG16240.1.p1, OFUSG16959.1.p1, OFUSG24300.2.p1, OFUSG24300.1.p1
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	OFUSG11159.3.p1, OFUSG11159.1.p1, OFUSG11159.4.p1, OFUSG11159.2.p1, OFUSG11159.5.p1
OG0000103	CAEEL01469, CAEEL18445	OFUSG10643.2.p1, OFUSG10643.1.p1
OG0000104	CAEEL04070	OFUSG23222.1.p1, OFUSG23223.1.p1
OG0000104	CAEEL18800	OFUSG17041.2.p1, OFUSG17041.1.p1, OFUSG09600.1.p1, OFUSG17170.1.p1, OFUSG09069.1.p1, OFUSG06025.1.p1
OG0000106	CAEEL19130, CAEEL20701	OFUSG15466.1.p1, OFUSG15467.1.p1, OFUSG20218.1.p1, OFUSG20218.2.p1, OFUSG24132.1.p1, OFUSG24131.1.p1, OFUSG24131.2.p1, OFUSG24130.1.p1, OFUSG24130.2.p1, OFUSG05307.1.p1, OFUSG24133.1.p1, OFUSG24133.2.p1, OFUSG15090.1.p1, OFUSG15395.1.p1, OFUSG15393.1.p1, OFUSG05895.1.p1
